-0.0031166+0.0002554i,-0.0032695-9.7925e-05i,-0.0020543+0.0014098i,-0.00017164+0.00060025i,0.0012656-0.00080508i,0.0015131-0.00072293i,0.00028785+0.00012105i,8.3375e-05+0.00066103i,0.0012672+0.00077225i,0.0013067+0.0011881i,0.00074557+0.0011881i,0.00053255+0.00041731i,0.00088369-0.00028962i,0.0012671-0.00049474i,0.00081162-0.00069772i,0.00016182-7.8748e-05i,-0.00031214+0.00089807i,-0.00071525+0.00065394i,-0.00060167-2.6023e-05i,-0.00063005-0.00041218i,-0.00065067+6.4757e-06i,-0.00033107-9.4319e-05i,-0.00015865-0.00012474i
0.00085459+3.3981e-05i,0.0010668-0.00054245i,0.0016879-0.0014936i,0.0018302-0.00092749i,0.0019621-0.0012312i,0.0016234-0.0015975i,0.0011989-0.00026646i,0.001196+0.00072094i,0.00088093+0.00024279i,0.00018616-0.00011569i,-0.00045807-0.0003181i,-0.00034106-0.00057713i,0.00041044-0.00026309i,0.00018272-9.3576e-06i,-0.00016097+0.00026135i,-0.00044297-3.0379e-06i,-0.00065935-0.00075051i,-0.00025357-0.00092317i,-0.0001464-0.00063638i,-0.0001534-0.00033654i,-0.00011356+0.00061617i,0.00016051+0.001351i,5.6093e-05+0.001542i
0.0026742-0.0010743i,0.0025953-0.0011267i,0.0033821-0.001893i,0.0027833-0.0032988i,0.0010089-0.0036266i,0.00093833-0.0028355i,0.0011236-0.0016431i,0.00086549-0.0005755i,0.00067326-0.00017145i,0.00041459-0.00068541i,0.00058665-0.00042868i,0.00039841-0.00018008i,0.00041276-0.0001179i,0.0001518-0.00057905i,0.00010639-0.00089601i,0.00048483-0.00089548i,0.0004693-0.00046611i,0.00044839+0.00039141i,0.00018496+0.00074803i,-0.00026426+0.00057504i,3.0102e-05+0.00035129i,0.00054747+0.00082202i,0.00052301+0.00068526i
0.0018141-0.00019433i,0.0031796+6.228e-05i,0.0032584-0.0022302i,0.0014894-0.0025305i,0.00093734-0.0019533i,0.00092066-0.00078666i,0.00071812+0.00020235i,0.0010136+0.00044325i,0.00043377+0.00058613i,-0.00021339-0.00025221i,0.00023922-0.0010951i,0.00042918-0.00077754i,-4.7231e-05+0.0001651i,-0.0004835-8.6986e-05i,-0.0004411-0.00044427i,-0.00062682-0.0006611i,-0.001029-0.00066055i,-0.00055031-0.00025685i,5.8477e-05-8.0264e-06i,0.00028356-0.00044224i,0.0002874-0.00046653i,4.5133e-05-0.00024096i,-0.00040171-0.00035522i
0.0012566+0.0007364i,0.00097454+0.00043477i,0.0013655-0.00035809i,0.0011691-0.00087673i,0.00084243-0.0011394i,7.2223e-05-0.0012638i,-0.00017508-0.00044894i,-0.00025907-0.00018385i,-0.00039268-0.00041132i,0.00018726-0.00022348i,0.00044074+0.00039793i,0.0004652+0.00075913i,0.00053403+0.00058014i,0.0005161+0.00015433i,0.00023263-0.00038639i,-0.00025185-0.0012157i,-0.00022803-0.0014586i,0.00028156-0.00037268i,5.2471e-05+0.00028049i,-0.00046402+0.00035337i,-0.00049033-0.00027055i,-0.00098369-0.00033608i,-0.00072763+0.00057183i
0.0010288-0.0013731i,6.7456e-05-0.0005479i,-1.9624e-05-0.00086073i,0.0010826-0.001033i,0.0018696-0.001539i,0.0020615-0.0014788i,0.00083865-0.0010551i,-0.00039128-0.0013444i,-0.00056257-0.0012207i,-0.00022089-0.00076616i,-5.7049e-05-1.2482e-06i,-1.9023e-05-0.000108i,-6.5473e-05-0.00043565i,-0.00064657+2.793e-05i,-0.0013625-9.7519e-05i,-0.00064473-0.00085453i,0.00021435-0.0010259i,-0.00012417-0.00023947i,-0.00032786+0.00032266i,0.00016635+0.0008714i,-0.00039748+0.001182i,-0.00046534+0.00060292i,-0.00012641+0.00022546i
0.00088944-0.00031516i,0.00018741-0.00096921i,0.0011403-0.00078791i,0.00092117-0.00085235i,0.00052975-0.0012813i,0.00059236-0.0011822i,0.00087098-0.00047873i,0.00017074+6.6109e-05i,-6.7528e-05-0.00016953i,0.0011708-0.00061813i,0.0017286-0.00041689i,0.00099506+2.0071e-06i,-0.00010096+0.00019621i,1.9934e-05-0.00037715i,0.00085983-0.00065944i,0.00068564-0.00040787i,0.00025318-0.00017722i,-1.2746e-05+0.00046194i,0.00014572+0.0010131i,0.0006466+0.00019679i,0.00084461-0.00024767i,0.00034547+0.00029076i,-9.1709e-06+0.00028638i
0.00094673+0.0010303i,0.0016821+0.00037141i,0.0028532-0.00071949i,0.002429-0.0012177i,0.0010331-0.0012015i,0.00010267-0.0010274i,9.9533e-05-0.0012107i,0.00024377-0.00077568i,6.8465e-05-0.00098083i,-4.5363e-05-0.0015388i,-5.6912e-05-0.00062596i,-0.00029697+0.0003432i,-0.00019134-5.0916e-05i,-0.00040185-0.00088189i,-0.00077792-0.0010741i,-0.00057282-0.00062325i,-0.00012611-6.8793e-05i,-7.8674e-05+0.000286i,0.0003652+0.00052904i,0.0008377+0.00086179i,0.00036506+0.0013401i,-6.4934e-05+0.00070721i,0.00024262+9.9282e-05i
0.0014318+0.0018265i,0.0016346+0.0012768i,0.0028837-0.00014001i,0.0034635-0.0014188i,0.0031826-0.0025369i,0.0020492-0.002974i,0.00079244-0.0012028i,0.00043668+0.00032659i,0.00083983+0.00012078i,0.0010653-0.00025447i,0.0012758-0.00023341i,0.0011168+9.4531e-05i,0.00054083+0.00030235i,7.0381e-05+0.00091589i,-0.00031032+0.00099267i,-0.00011127+0.00054055i,-0.00011234+0.00042802i,-5.2353e-06+5.5033e-05i,-0.00011866+0.00029472i,-0.00069724-3.2553e-05i,-0.00037383-0.00029313i,0.00040443+0.00020798i,0.00010771+0.00033967i
-0.00028186+0.00026054i,-0.00087278+7.7697e-05i,-8.6609e-05+0.00029313i,0.0009708-0.00023499i,0.0015596+0.00018278i,0.00091998-4.2061e-05i,-5.2137e-05-0.00066575i,0.00064321-0.00041871i,0.0017704+0.00026381i,0.00091348+0.00012129i,-0.00076124-0.00070302i,-0.0009228-0.0010594i,-5.1691e-05-0.00013572i,-0.00029076+0.00053069i,-0.00020145-0.00013244i,0.00022079-0.0003395i,0.00022585+0.00055104i,0.00016033+0.0009473i,-0.00095035+0.00036189i,-0.0016155-0.00014565i,-0.0008248-0.00042586i,-0.00012358-0.00066699i,0.00019347-0.00034504i
0.0027247+0.0015398i,0.0033153+0.00099943i,0.0040884+0.0007819i,0.0039238-0.00025504i,0.0030532-0.0011836i,0.0023725-0.00089548i,0.00143-0.0001946i,0.00056303+0.00093719i,0.00049382+0.0010165i,0.00022015+3.2608e-05i,-0.00051878-0.00038878i,-0.00029314-0.00014471i,0.00019102-0.00020718i,0.00034323-0.00086586i,0.00052719-0.00080004i,0.00046113-0.00028891i,0.00052597-4.2331e-05i,0.00025531+0.0010586i,-2.832e-05+0.00099949i,-5.511e-05+0.00057422i,-0.00017615+0.00023273i,0.0002782-0.00074353i,0.00063324-0.00099548i
9.0827e-05+0.00066919i,0.00073245+0.00018833i,0.0005235-0.00099174i,0.00033162-0.0012948i,0.00046126-0.0015755i,0.00024334-0.0014444i,-0.00035578-0.00059471i,-0.00010577-0.00028312i,0.00041083+7.4186e-05i,0.0002504+0.00064674i,0.00014013-0.00016205i,0.00028291-0.00072192i,0.00016071-0.00019884i,0.00055973-5.2959e-05i,0.00054249+0.00025803i,0.0002562+0.00026644i,-0.00015853-0.00046428i,-0.00039139-0.0011619i,-1.5129e-05-0.00052026i,0.00010853+0.00054621i,-0.00026563+0.00082356i,-0.00078175-0.00037206i,-0.0012497-0.0013563i
-0.0018629-0.00014637i,-0.0019532+4.2789e-05i,-0.0021259-0.00016847i,-0.00066148-0.00079322i,0.00081624-0.0012587i,0.00062001-0.0011397i,0.00027777-0.00073691i,0.00015399-0.00010413i,-0.00068476-0.00035569i,-0.00097088-0.00087015i,-0.00022412-0.00040804i,0.00080509+0.00053127i,0.0009827+0.00077812i,0.00084684+0.00018675i,-4.3218e-05-0.00027336i,-0.00090255-0.00062819i,-0.00091265-0.001234i,-0.00044038-0.0012912i,0.0002793-0.00049798i,0.00042347+7.3775e-05i,0.00039023+4.8587e-06i,0.00028032-0.00037281i,0.00037028-0.00052026i
0.00075099+0.00030889i,0.00097858+0.00058455i,0.0013884-0.00021787i,0.0021995-0.00064534i,0.0019683-0.00077779i,0.00056563-0.00028983i,0.00036907+0.00013219i,0.00084818+0.00054002i,7.3843e-05-5.6464e-05i,-0.00059089-0.00061624i,0.00026152-0.00071842i,0.00013024-2.4555e-05i,-0.00069271+9.8293e-05i,-0.00072026-0.00061387i,-0.00043698-0.00050427i,-0.00012125-0.00030235i,-0.00070168-0.00010523i,-0.00032555-9.0635e-05i,0.00084426-0.00039242i,0.00094693-1.7253e-05i,0.00094711-1.9138e-05i,0.00072375-0.00034809i,0.00066066-6.3211e-05i
0.0004809+0.0024931i,0.00015813+0.0019836i,0.00061732+0.0011067i,0.002134-5.3031e-05i,0.0024779-0.0016618i,0.00097872-0.0017707i,0.00012716-0.00064742i,2.9338e-05-6.1564e-05i,-0.00052728-8.5512e-06i,-0.0001385-0.00030236i,0.00011988+1.7858e-05i,0.00020164-0.00032912i,0.00012391-0.0004342i,-0.0001194-0.00014875i,9.2922e-05-0.00035853i,4.2471e-05-0.00057168i,0.00043761-0.00012609i,0.00058523+0.00033222i,-0.00018783+0.00028373i,0.00040386+2.42e-05i,0.0012108-0.00031441i,0.00084638-0.00047547i,0.00033133-3.7016e-05i
-0.00016277-0.0025483i,-1.2787e-05-0.0022802i,1.3929e-05-0.0014616i,0.00051938-0.00083076i,0.0014717-0.00042706i,0.00060554-0.00035916i,-0.0005638+4.0456e-05i,0.00023959+0.00039056i,0.00069671+0.00045198i,0.00017167+0.00025968i,0.00023211+5.9826e-05i,0.00042464+0.00022457i,0.00030862+0.00070197i,0.00068331+8.7709e-05i,0.00064-0.00026493i,8.9945e-05+9.9257e-05i,2.9689e-05+0.00051346i,-0.00029823+0.00072634i,0.00011884+0.00070457i,0.00081572+0.00062905i,0.00095578+0.00024783i,0.0005226-0.00036387i,-0.00012223-0.00046257i
0.0013606-0.00026777i,0.0027391+0.00057478i,0.0034493+9.3455e-05i,0.0024146-0.0015439i,0.0011479-0.0025385i,0.00095396-0.0017549i,0.00078894-0.0011632i,0.0002105-0.00061186i,0.00032814-0.00047511i,0.00074448-0.0010712i,0.00046306-0.00018142i,-0.0001585+0.00060538i,-0.00083993-0.00033088i,-0.0012006-0.00053879i,-0.0012939-0.00022098i,-0.00094088-0.00020663i,-0.00058776-0.00036856i,-0.00030215-0.0010731i,-5.5585e-05-0.00085947i,-6.9484e-05-4.8808e-05i,-0.00061714-0.00017348i,-0.00057638-0.00054344i,0.00015443-0.00016947i
0.0022036+0.00083868i,0.0021574+0.00047751i,0.0023184-0.00073183i,0.001411-0.0016501i,0.00081105-0.0018519i,0.00069099-0.0010187i,0.00012651+0.00020732i,-0.00023897+5.7855e-05i,-9.0112e-05-0.0011123i,0.0002529-0.0013087i,0.00016263-0.00097551i,-0.00041281-0.00063905i,-0.00071001+2.8458e-05i,-0.00048451+0.00026246i,-0.00072908+3.305e-05i,-0.0014386-2.9082e-05i,-0.00052445-0.00025779i,0.0004518+0.0004032i,-9.3983e-05+0.00050492i,-0.00038645+0.00028728i,0.00012626+0.00014016i,-0.00026194+0.00058697i,-0.00060865+0.0011651i
-0.00055494-0.00069124i,0.00053513-0.0007182i,-0.00044886-0.00040575i,-0.00051141+4.3164e-05i,0.0014161-0.00026528i,0.0024046+1.8726e-05i,0.0010033+0.00047044i,0.00053269+7.8685e-05i,0.00035482-0.00048803i,-4.65e-05-5.883e-06i,0.00022623+0.00094278i,-0.00010322+0.00076763i,7.2152e-05-0.00015305i,0.00040474-0.00069932i,0.0004949-0.00028352i,0.00041464+0.00022845i,-0.00051878+0.00060249i,-0.0018382+0.00074239i,-0.0018159-4.1749e-05i,-0.00073755-0.0004552i,-5.7054e-05-0.00032115i,0.00080699-0.00089227i,0.00097532-0.00087581i
-0.0011757-0.00087533i,-0.00026098-0.00051906i,9.824e-05+0.0014735i,0.00044714+0.0010967i,0.0014774-0.00071584i,0.0019513-0.00079563i,0.0012613+0.0001905i,0.00067425-9.9874e-05i,0.00071759-2.9282e-05i,0.0011205-0.00017739i,0.00075757-0.00035959i,0.00037016-0.00014392i,0.00029063-0.00014905i,0.00013573-2.7078e-05i,0.00059873-0.00012268i,0.00058615-0.0002456i,0.00017771+0.00015121i,-0.00040162+0.00031104i,-0.00049214+0.00059508i,0.00030148+0.00057814i,0.00083705-0.00034467i,0.00038746-0.00048104i,-0.00045633-0.00014304i
-0.0020698-0.00060572i,-0.0021646+0.00039458i,-0.0022433+0.00054875i,-0.00075593+0.00087771i,0.0010023+0.0011566i,0.0020295+0.00056707i,0.0017531+0.00025886i,0.00090249+0.0008764i,0.0010141+0.00052063i,0.00069199+0.00034164i,-0.00046163+0.00034637i,-0.00092301-0.0001017i,-0.00050175+0.00011537i,0.00034723+5.2421e-05i,0.000643-0.00021281i,0.00043963+3.0429e-05i,0.00036488+0.000257i,-0.0001635+0.00029343i,-0.00084431+0.00081544i,-0.00070845+0.0012039i,-0.00073839+0.00045243i,-0.0012166-0.00013398i,-0.0017847-0.00057001i
0.0036289-0.0023061i,0.0031959-0.0027668i,0.0019954-0.0038639i,0.0013265-0.0039671i,0.00051086-0.0026337i,0.00061904-0.0010085i,0.00057826+0.00025421i,0.00067953+0.00026688i,0.00060669-0.0003826i,-7.8941e-06-0.00032932i,0.00012718+0.0002461i,0.0007922+0.0007816i,0.00089602+0.0015286i,0.00099826+0.0012804i,0.001069+0.0007317i,0.00045754+0.00039278i,-6.5424e-05+0.00024396i,-0.00051436-4.3639e-05i,-0.00097182-0.00079912i,-0.00059854-0.00094519i,-0.00034439-0.00050662i,7.6166e-05-0.0004655i,-3.1671e-05-0.00038395i
0.0031857-0.00074973i,0.002833-0.00069103i,0.0027618-0.0017213i,0.0024192-0.0027194i,0.00063063-0.002853i,-0.0001338-0.0010037i,0.00014401-4.4836e-05i,9.0692e-06+0.00010962i,-0.00056867-0.00044718i,-0.00073794-0.0012987i,-0.00088076-0.0012762i,-0.0010419-0.00056625i,-0.00043421+0.00017722i,1.4603e-05-0.00040219i,-3.9684e-05-0.0004146i,-0.00071447+5.9946e-05i,-0.0010979-0.00081757i,-0.0006654-0.0016692i,0.00014808-0.00057103i,0.00050521+0.00037017i,0.0005797+0.00075751i,0.00041342+0.00089236i,-0.00024309+0.00024916i
0.00086003+0.00028753i,0.0016549+6.0402e-05i,0.0025583+0.00042362i,0.0027512-0.00012487i,0.0025955-0.0014449i,0.0014252-0.001037i,0.00063137-0.00036658i,7.6341e-05-0.00034493i,0.00026436+0.00022993i,0.00043889+0.00012829i,0.00010721+0.0001449i,8.3588e-05+0.00058206i,-0.00025848+0.00015801i,-0.00066686+0.00034594i,-0.00056494+0.00013663i,0.00011926-0.00036467i,-0.00036869+3.3867e-05i,0.00015412+0.00020923i,0.00077376-0.00030207i,-0.00046802-0.00039358i,-0.00056731-0.00020403i,0.00026404-0.00019732i,0.00012209+0.00045016i
-0.00079812+0.00087325i,0.00056142+0.00081571i,0.0013119+0.00093009i,0.002563+6.4875e-05i,0.0030406-0.0018808i,0.0017202-0.0016106i,-0.00012341+0.00029531i,-0.00089734+0.0003462i,-6.1666e-05-0.00031877i,0.00019859-0.00025606i,-3.8986e-05-0.0002224i,3.4269e-05-0.00076441i,-7.4194e-05-0.00085331i,-0.00040867-0.00045928i,-0.00080679-0.00072769i,-0.0009178-0.00053025i,-9.1595e-05+0.00024826i,0.00033885+3.7079e-05i,-7.581e-05+0.00037453i,-0.00015704+0.00093638i,4.1771e-05+0.00067776i,0.00087594+0.0004582i,0.00071135+7.142e-05i
-0.0011209-0.0029898i,-0.00059884-0.0029891i,-0.00041415-0.0024898i,-0.00012341-0.001153i,0.0004632+0.00019153i,0.00025675+0.00053768i,-0.00050226+0.00055417i,-0.00090177+0.0001746i,-0.00088772-7.5144e-05i,-0.00097441+0.00053442i,0.00033915+0.00074257i,0.0013372+0.00032246i,0.00041822+0.00012521i,9.5579e-05+0.00019829i,0.0002304+0.00037866i,0.00013656+0.0008836i,-0.00031878+0.00094342i,-0.00050404+0.00041766i,-0.00042264-0.0004775i,0.00023089-0.00070971i,0.00052401+0.00060543i,0.00019148+0.0010131i,0.0003294+0.00084919i
0.00092778+0.0002368i,0.001227-0.00038824i,0.0016519-0.00099621i,0.001932-0.0013997i,0.002729-0.0014194i,0.0034195-0.0012328i,0.0028071-0.00023917i,0.0013336+0.00094427i,0.00029657+0.0011136i,-0.00045636+0.00049653i,-0.00080267-0.00081322i,-0.00012518-0.0014886i,0.00098184-0.00082862i,0.00095115-0.00021908i,3.8124e-05+0.00021444i,-0.00057323+0.00027735i,-0.00028828+0.00019081i,0.0002809-7.9973e-05i,0.00084904-0.00012755i,0.00072628+0.00029779i,3.44e-05+0.00040918i,-3.729e-05-0.00019945i,0.00026467-0.00026947i
-0.001095-0.00019466i,-0.00099782-0.00013486i,-0.00024465+0.00033666i,0.00066406+0.00076664i,0.0012985-0.0004984i,0.00096093-0.0011205i,0.00050134-0.00011551i,-2.8722e-05+0.00017708i,-0.00030426+0.00014508i,-0.0004488-0.00014838i,-0.00029606-0.0003835i,0.00013225-6.0852e-05i,2.886e-05+8.7557e-05i,-0.00020961-6.8123e-06i,-0.00030813-0.00033637i,3.8794e-05-0.00059938i,0.00046285-0.0003982i,0.00031374+0.00027576i,0.00014559+0.00034002i,0.00017508-9.2599e-05i,0.00017048+5.8831e-05i,0.00033199+0.00045603i,0.00084591+0.0006808i
-0.00025569-0.0010561i,8.3554e-05-0.0019196i,0.00059409-0.00010893i,0.0020739+0.0012894i,0.003002+0.00084543i,0.0023102-0.00020233i,0.00081547-0.00035617i,1.3015e-05+0.00088857i,-9.1945e-06+0.0012667i,0.00017469+0.00054479i,-0.00010516-4.3103e-06i,-0.00019168-0.00028751i,-3.7706e-05+0.00052071i,0.00034891+0.00061485i,0.00060675-0.00037734i,0.00012088+4.2415e-06i,-0.00059758+0.00019831i,-0.00035497-0.00051791i,-9.5674e-05-0.00094488i,0.000111-0.00028195i,-6.93e-05-0.00031558i,-0.00061884-0.00055377i,-0.00025584-0.00022656i
0.00037689-0.0002341i,0.00019564+0.00012339i,0.00033314-2.9626e-05i,0.0012834-0.00095948i,0.0012124-0.0018698i,0.0008899-0.0016053i,-5.0484e-05-0.00085626i,-0.0011104-0.00031125i,-0.00089724+7.525e-05i,-0.00031756+0.00036155i,-0.00013107+6.8032e-05i,0.00017785-0.00040872i,0.00079557-0.00036839i,0.0014662-0.00012871i,0.0016761+2.2156e-06i,0.0012337-0.00013568i,-9.8421e-06+0.00074164i,-0.00098592+0.00052119i,-0.00049905+4.3313e-05i,-0.0006394+0.00030656i,-0.001186+0.00013821i,-0.00045047+0.0002615i,0.00055225+0.00088466i
-0.00051498-0.0016576i,-2.5542e-05-0.0015407i,0.001018-0.00084905i,0.0013754-0.00078919i,0.0015269-0.0013051i,0.0014055-0.0015217i,0.00058978-0.00041956i,0.00056663+1.6126e-05i,0.00069693-2.6782e-05i,0.00039936-0.00012634i,-0.00032205+0.00029675i,-0.00077217+6.8677e-05i,-0.00022141-0.00040402i,0.0001206-0.00020651i,-0.00034067-2.2643e-05i,-0.00037666+0.00038437i,-0.00069699+0.00037727i,-0.00047956+0.00022289i,-3.415e-05-0.00042582i,-0.00027938-0.0009466i,-0.00068526-0.00034517i,-0.00026853+0.00016235i,0.00036281+8.3619e-05i
0.00027084+0.00045029i,0.0010207+0.00057753i,0.0014589+0.00065593i,0.0021828+0.0005357i,0.003014+0.00036281i,0.0022305-0.00042459i,0.00078383-0.00019546i,0.0007132-0.00039466i,0.00058442-0.0010558i,0.00011505-0.00030313i,-0.00012815-5.0794e-05i,-0.00015524-0.00042702i,0.00066864-0.00095268i,0.0011948-0.00090505i,0.0011763-0.00054963i,0.001536-0.000326i,0.0014485+9.4469e-05i,0.00088188+0.0001504i,0.00029988-0.00031257i,-0.00050605-0.00018327i,-0.00038683+0.00022233i,0.00038053+0.00056655i,-0.00036673+0.00017618i
0.00024878-0.00056044i,0.0005146-0.00010775i,-0.00014118-0.00136i,-0.00016117-0.0014926i,0.00048436-0.00046471i,-0.00010899+0.00033398i,-0.00058545+0.00029436i,-0.00026554-0.00033784i,6.7229e-05-0.00094669i,4.9818e-05-0.0010118i,0.00034009+0.00028398i,-0.00022612+0.00098253i,-0.00012958-3.3118e-05i,0.00085677-0.0011829i,0.00059608-0.00073618i,0.0002901-7.1642e-05i,-0.00046214+4.0602e-05i,-0.00066517+0.00049784i,0.00020148+0.00037663i,0.00034806+0.00028712i,1.5181e-05+0.00024065i,-3.849e-06+0.00016653i,0.00063207+0.00025495i
