-0.0022064+0.00097204i,-0.00034964+0.00027688i,-0.00055789+0.00038416i,-0.00010955+0.00010457i,0.00050369+0.00061829i,-0.00025431+0.0017905i,-0.00071674+0.0012i,0.00025853-2.8923e-05i,0.0015284-6.5358e-05i,0.0016253+3.9692e-05i,0.00081863-0.00074056i,0.00040842-0.0017674i,-1.0559e-05-0.0018972i,-0.00072741-0.0014574i,-0.0012826-0.001385i,-0.00058095-0.00074806i,0.00045331+0.00010643i,0.00037802+0.00016369i,0.00016369-0.00032681i,3.1315e-05-0.00061326i,0.00027441-0.00030899i,0.00081649+8.2178e-05i,0.00026449+3.7246e-05i
0.00058396-7.8614e-05i,9.3327e-05+0.00066319i,-0.00024504-0.00039429i,-0.00067255-0.00073156i,-0.0010515+0.00016678i,-0.00074277+0.00055831i,4.4098e-05+0.00046361i,0.00030566+0.00010656i,0.00094182-0.00088656i,0.0012057-0.0011291i,0.00039358-0.00064553i,-6.9597e-05-0.00056865i,-0.00043427-0.00035725i,-0.00066753-0.00011199i,-0.00014933+0.00016973i,0.00036874+0.0008194i,-0.00012002+0.00093828i,-0.00076273+0.00044073i,-0.00062141+0.00037416i,-0.00031936+0.00061447i,-0.00057964+0.00031642i,-0.0010525-0.0004897i,-0.00085569-0.00030881i
0.00016732-0.00054284i,0.00033527-2.2978e-05i,-0.00059355+0.00033377i,-0.0015939+0.001354i,-0.0013276+0.0016978i,-0.00034789+0.0015402i,-0.00051509+0.0019279i,-0.00011525+0.0019033i,0.00084624+0.0006876i,0.0005735-0.00027405i,5.852e-05-0.00035782i,0.00078019+0.00010964i,0.0012433+0.00083997i,0.0010617+0.00045422i,0.00060317-0.00047588i,-0.00023005-0.0007356i,-0.00077893-0.00019346i,-0.00074656+0.00068892i,-0.00032954+0.00075005i,0.00032303+0.00027065i,0.00027102+0.0003875i,-0.00042973+0.00024841i,-0.00044897-2.5819e-05i
0.00036815+0.0010162i,0.0013119+0.00079202i,0.0017639+0.00086156i,0.0022814+0.00061735i,0.002303-0.00038096i,0.00067434-0.00021511i,-0.0001709+0.00044538i,0.00026896+0.00023934i,0.00078258-0.00084836i,0.0012357-0.00098511i,0.00050188-6.2438e-05i,-0.00043661+0.00019631i,-0.0005676-0.00015493i,-0.00073894+0.0002243i,-0.00057345-0.00010115i,-0.00021939-0.00071461i,0.00029816-0.00064629i,0.00060086-0.0002639i,0.00014593+0.00063108i,-0.00012946+0.00087909i,0.00030692-0.00010398i,0.00034472-0.00072229i,0.00038838-0.00047829i
-0.00048439+0.0017826i,-0.00049765+0.001255i,0.00015204+0.0011781i,0.0013744+0.0011365i,0.0021772+0.00024565i,0.0015145-0.00034923i,0.0010608+0.0002649i,0.00086902-0.00014438i,0.0015115-0.00052269i,0.0017414-0.00050738i,0.00025507-0.00052637i,-0.0015161-0.00024537i,-0.0010435+0.00017803i,-0.00028782+0.00054301i,-0.001504+0.00076048i,-0.0011362+0.00090115i,0.00066442+0.00056281i,0.00031346+0.00046027i,-0.00077041+0.0013942i,-0.00062649+0.0014728i,2.2012e-05+0.00076877i,0.0005242+0.00022663i,0.00084294-0.00013225i
-0.00047139+0.00061552i,0.00013541+0.00054205i,0.00071566+0.0014709i,0.00017614+0.00132i,-0.00051855+0.0002069i,-0.00091366+0.00052644i,-0.0011017+0.00095111i,-0.00019784+0.00071672i,0.00020113+0.00032049i,0.0004364+0.00035237i,0.00081979-0.00055416i,0.00097866-0.0012266i,7.1977e-05-0.00096623i,-0.0010708-0.00065408i,-0.0013998-0.00045685i,-0.0011975-0.00020231i,-0.00030996+0.00024946i,0.00018845+0.00013823i,-0.00021283+4.7304e-05i,-0.00025216+0.0003344i,0.0005806+0.00052279i,0.00057858+0.00036995i,-0.0001249+0.00042553i
-0.00022281-0.00031948i,-0.00071134+0.00015467i,-6.0099e-05+0.00077856i,0.00075345+0.001813i,0.0011658+0.0017317i,0.00079453+0.0016438i,0.0002757+0.0019926i,0.00066727+0.0016611i,0.0011129+0.00085142i,0.0015166-0.00011357i,0.0012759-7.9823e-05i,0.00050426+0.00011805i,0.00056042-0.0008067i,0.00047275-0.00060247i,0.00013342-0.00041351i,-0.00039489-5.1352e-05i,-0.00037935+0.00071082i,-0.00029171+0.0014625i,-0.00022441+0.0018075i,-0.00027014+0.00068307i,-0.00023485-0.00033407i,0.00044099+0.0002777i,0.00040417+0.00096273i
0.00061698-0.00082141i,0.0010411-2.4419e-05i,0.00088139+0.00055445i,0.00028983+0.00067217i,0.00010861+0.0012313i,7.0888e-05+0.0011886i,8.9319e-05+0.0011747i,0.00041195+0.00089238i,0.0012066+0.00013758i,0.0022395-0.00043797i,0.0021886-0.00065072i,0.0010771-0.00038811i,0.00061512-7.6824e-06i,-0.00020052+0.00029275i,-0.00071909+0.00075482i,-2.1903e-05+0.00098363i,6.3763e-05+0.0011045i,0.00030764+0.00077292i,0.00026755+0.00022849i,-0.00030423+3.8477e-05i,-0.00083574-0.00021885i,-0.00057253-0.00056067i,-0.00060924-0.00069703i
0.0013279-0.0011127i,1.5617e-05-0.00032282i,-0.00056215-0.00091564i,-0.0006947-0.0010166i,-0.00027896+5.2745e-06i,-0.00027475+0.0018368i,-4.2359e-05+0.0024152i,0.00051679+0.00060867i,0.00068228-0.00092978i,0.00052609-0.0010781i,0.0002758-0.001197i,-0.00027421-0.0011846i,-0.0010435-0.00088691i,-0.00032317-0.0005175i,-0.00018419-0.00011207i,-0.00042634-0.0006057i,0.00077016-0.00087074i,0.001148-0.00026586i,0.00029442+0.00074355i,-0.00015728+0.001002i,-0.0004427+0.00046596i,-3.0885e-05-0.00025053i,0.00080473-0.00017192i
-0.0011861-0.00039254i,-0.00078074+4.707e-05i,-0.00044119+0.0010748i,-0.00081564+0.0014312i,-0.00091746+0.0011766i,-0.00076822+0.0013774i,-0.00045731+0.000963i,0.00022397+3.4752e-05i,0.00040925-0.00077819i,-0.0002021-0.0012434i,-0.00046259-0.00095137i,-0.00052336-0.00022167i,-0.00053862+0.00035942i,5.5007e-05-0.00036611i,0.00018124-0.0012575i,-4.2343e-05-0.0007515i,0.00021189-0.00053823i,0.00047678+8.1778e-05i,-0.00020263+0.00075894i,-0.00045112+0.00030672i,0.00016428-0.0001886i,0.00039395-0.00032423i,-6.8345e-05-0.00044581i
0.00016648+0.0012288i,-0.00041018+0.0011836i,-0.00050972+0.0020799i,0.0011114+0.0018073i,0.0020071+0.00039535i,0.0013885-0.00045713i,0.00038848-0.00010079i,-0.00016795+0.00023605i,-0.00055239+0.00090561i,-0.00033927+0.00045801i,0.00041115-0.00094592i,0.00042489-0.0011846i,0.00025347-0.00074365i,0.00056431-0.00025513i,0.00026197+0.00057942i,-8.8889e-05+0.0010815i,-0.00035767+0.00082334i,-0.00060278+0.00077392i,-0.00065449+0.00057274i,-5.9548e-05+1.2314e-05i,0.00094908+0.0002773i,0.0008574+0.00037687i,-0.00015986-0.00042686i
-0.00056524+0.00076049i,8.0963e-05-0.00018197i,0.00032818-5.9386e-05i,0.00076401+0.00018844i,0.0011873+0.00085629i,0.00017372+0.00047318i,-0.0016146+0.00049635i,-0.0018642+9.3513e-05i,-0.00024387-0.00036653i,0.00069858+0.0004274i,1.6308e-06+0.00042871i,-0.00022465+4.3122e-05i,-7.3997e-05+0.00026388i,-0.00056524+0.00054426i,-0.00013179+0.00043391i,0.00014392+0.00043082i,-0.00015758+0.00022366i,-0.00040789-1.4315e-05i,-0.00083939-0.00027572i,-0.00097536-0.00070995i,-0.0008368-0.00080099i,-0.0010173-0.00039999i,-0.00014306+0.00070082i
6.1849e-06+0.00096443i,-9.3142e-05+0.0014052i,0.00057849+0.0018756i,0.00067207+0.0020221i,0.00025666+0.0016706i,-0.00049145+0.00088909i,-0.00063708+0.00074477i,0.00036163+0.0011861i,0.00059638+0.00090036i,0.0012878+0.00077077i,0.0017528+0.00055479i,0.0011489+8.2999e-05i,0.00022202+0.00017727i,-0.00064117+9.8364e-05i,-0.00067479-0.0002417i,-0.00047283-0.00027957i,-0.00051642+4.6066e-05i,-0.00014326-3.2247e-05i,9.1595e-05+0.00031692i,-0.00017843+0.00023852i,-0.00035671-4.0791e-05i,-0.00085543-0.00019139i,-0.0012454-0.00069083i
-1.5855e-06+0.00094293i,-0.00058461-0.00015145i,0.00024141+0.00054677i,0.001921+0.0018199i,0.0022149+0.0013222i,0.001125+0.00086412i,-0.00032624+0.0013311i,-0.00037422+0.0010695i,0.0011405+0.00059484i,0.0018506+0.00020326i,0.0021418-0.00042179i,0.0011463-0.00054888i,-0.00070313-0.00018008i,-0.0014194+7.5343e-05i,-0.0010109+0.00047709i,-0.00082128+0.00053896i,-0.00097223-0.00012631i,-0.00079309+0.00041041i,9.4422e-05+0.001111i,0.0010665+0.00074688i,0.00031858+0.0010059i,-0.00046646+0.0010821i,-0.0002791+0.0005869i
-0.0010946+0.00023942i,-0.0011975-9.2121e-05i,-0.00077545-0.00013646i,-1.104e-05+1.4579e-05i,0.00088931+0.001187i,0.0009654+0.0019534i,0.00030372+0.0017744i,0.00015528+0.00088479i,0.00078866-0.0011467i,0.0016111-0.0025512i,0.0013222-0.002086i,0.00037902-0.00041084i,0.00010261+0.00019565i,0.00069207-0.00012591i,0.00075526+0.00049296i,0.00037339+0.0010829i,-0.00018373+0.00072282i,-0.00032421+0.00026669i,-0.00025398+0.00015095i,-0.00057076+5.44e-05i,-0.00039828+0.00043528i,-0.00057197+0.0010359i,-0.00040134+0.0011812i
-0.00037984-0.00040244i,-0.0014565+0.00057459i,-0.00080539+0.0009514i,0.00073817+0.0013935i,0.00050079+0.0022783i,-8.9065e-05+0.0022594i,-0.00076734+0.0017271i,-0.00095241-0.00060907i,-3.9652e-05-0.00302i,0.00018444-0.002675i,-0.00061282-0.001664i,-0.00064354-0.00078387i,-0.00045228+0.00021304i,-0.00018013+0.00064361i,-0.00047288+0.00071429i,-0.00046849+0.0006893i,0.00025637+0.0010972i,0.00016066+0.00076047i,-1.6494e-05+0.00016554i,-0.00046789+0.00028595i,-0.0011938+0.00033511i,0.00023518+0.00029019i,0.0010328+0.00062937i
0.00025872+0.00040853i,0.000879+0.00052207i,0.00044623+0.00096642i,0.00026195+0.00062301i,0.00036909-0.00025442i,-0.00010031-0.00017878i,-0.00061968+0.00069901i,-0.00057799+0.00086274i,-0.00011975+0.00028394i,0.00011879+0.00041346i,-0.00042144+0.00066405i,-0.00079596+0.00050918i,-0.0011031+0.00060945i,-0.0010396+0.0010328i,-0.00065414+0.0010738i,-0.00017223+0.00020493i,-5.0859e-05+4.3947e-05i,-0.00017727+0.00052917i,1.2492e-05+0.00059892i,-8.8344e-05+0.00014713i,-0.00047363-0.00010522i,-0.00035273-0.00038269i,-0.00065642-0.00027237i
7.6791e-05-0.001339i,-0.00042855-0.0003431i,0.00070588+0.0002072i,0.0016808+0.00014842i,0.0017455+0.00021122i,0.0012369+0.001248i,0.00075627+0.0016669i,0.0008424+0.0013819i,0.00099309+0.0013398i,0.00069607+0.0016178i,0.00051792+0.001191i,-9.6117e-05+0.00031687i,-7.1268e-05-0.00012534i,2.4018e-05-0.00019169i,-0.00044506+8.3691e-05i,-0.00090663+0.00039213i,-0.0012209-0.00015282i,-0.00088305-0.00057954i,-0.00020975-0.0003721i,0.00073514-0.00032054i,0.001196+0.00037392i,0.00084119+0.00054246i,0.00063042-9.4957e-05i
0.00051087-0.0011355i,-0.00013987-0.00077015i,4.4848e-06+0.00011346i,-0.00014117+0.00026668i,-0.00037687+0.00084326i,-0.0011949+0.0021538i,-0.0010486+0.0031806i,2.38e-05+0.0029337i,0.00067744+0.0013848i,0.0012279+8.4735e-05i,0.0014871-0.00060076i,0.00092824-0.00043655i,0.00011818+7.1642e-05i,0.00044346+0.00018142i,0.00023655+0.0002553i,-0.00054283+0.00022933i,-0.00033823-0.0005973i,-1.824e-05-0.00033232i,-0.0005077+0.00010658i,-0.00060652+7.918e-05i,1.8379e-06+0.00052649i,-9.0631e-05+9.6085e-05i,0.00020545-0.00051931i
-0.00051191+0.00022842i,0.00032191+0.0012212i,-0.00021894+0.00096992i,-0.00072318+0.00074395i,-0.00080908+0.00081007i,-0.0013626+0.00074703i,-0.00079503+0.0011413i,0.00068902+0.0005514i,0.0015087-0.00055305i,0.0020326-0.0007763i,0.0019063-0.0012014i,0.0016444-0.0012539i,0.0011514-0.00027163i,-0.00032431+0.00012965i,-0.0014639-0.00043783i,-0.0016635-0.00041084i,-0.001704-0.00014735i,-0.0012719-0.00039092i,-0.00048517-6.6553e-05i,1.1688e-05-0.00013214i,0.00045256-7.4798e-05i,0.00053719-0.00016521i,0.0003244+0.00027583i
-0.00013856+0.00096562i,-0.00010671+0.0011575i,0.00070262+0.00012915i,0.00093072-0.00017543i,0.00016114+0.00038016i,-5.1858e-05+0.00096518i,0.0004652+0.0012073i,0.001647+0.00048377i,0.0028313-0.00037696i,0.003019-0.00046621i,0.0020108-0.00051412i,0.00084153-0.00058646i,0.00019096+0.00030247i,-0.00031393+0.00083645i,-0.00064714+0.00067235i,-0.0010335+0.0004842i,-0.00068753-4.9794e-05i,0.00018562-0.00067766i,0.00057642-0.000898i,0.00037969-0.0006779i,-3.7584e-05-0.00024694i,0.00020654+0.0004159i,0.00031774+0.0011284i
0.00013306-0.0014939i,-0.00014542+0.00035505i,2.1762e-05+0.00018879i,0.00031064-0.00047889i,0.0005721+0.00061818i,8.0585e-05+0.0013473i,-0.0001263+0.0012855i,0.0006127+0.0010436i,0.00016506-0.00018219i,-0.00047125-0.001759i,-0.00027458-0.0015522i,-0.00059563-0.00015568i,-0.00049979+0.0011559i,-0.00054879+0.0015785i,-0.00023774+0.000897i,5.6887e-05+0.00030622i,-0.0001762-0.00019423i,0.00033973+3.411e-05i,0.00050915+0.00045798i,-3.8805e-05+0.00026233i,-0.00036097+0.00069406i,-0.00020427+0.00099003i,-0.00022576+0.00092404i
0.0011072-0.00034451i,0.00080635-8.4433e-05i,0.00085314+0.00022111i,0.00074323+0.00011631i,0.00052302+0.00017052i,-0.00015674+0.00061012i,-0.001164+0.0013262i,-0.0012671+0.00081686i,-0.00078392-0.00027725i,-0.00010477-0.00097854i,-0.00016097-0.00073961i,-0.00035426+8.6264e-05i,-0.00015739+0.0008233i,0.00051223+0.0010011i,0.00034066+0.0002705i,-0.00044676-8.8689e-05i,-0.00060751+0.00077826i,-0.00034877+0.00083836i,5.8805e-05+0.00037259i,0.0001048+0.0010239i,9.6555e-05+0.00087964i,-0.00015065+0.00017615i,-0.00036772+0.00015177i
0.00054743+0.0021647i,0.00024446+0.0025823i,0.0012524+0.002169i,0.0015887+0.0016242i,0.00024241+0.0012315i,-0.0012357-0.00030199i,-0.0014045-0.00084035i,0.0002941-0.00026693i,0.0014742-0.00022123i,0.00044396-0.00046425i,-0.00061365-0.00030438i,-0.00052289+0.00012376i,-0.00051078+7.2215e-05i,-0.0002006-4.816e-05i,-0.00011803+7.3108e-05i,-2.405e-05-0.0001592i,0.00010678-0.00074489i,-0.00031343-0.00048129i,-0.00035341+0.00012324i,-0.00041657+0.00076128i,-0.00057773+0.00097645i,-0.00056433+0.0010752i,-9.5711e-05+0.0011833i
4.2177e-05+0.0012739i,-0.00083172+4.6906e-05i,1.2765e-05-0.00047646i,0.0010463+4.7556e-05i,0.00071352+0.0003533i,-0.00018047+0.00030856i,0.00029934+0.0002916i,0.0018822+0.0010801i,0.0027782+0.0011769i,0.0023678+0.00068585i,0.0020585+0.00087523i,0.0013176+0.00077454i,0.00051127-0.00019474i,0.00051801-0.00065983i,9.034e-06-0.0004347i,-0.00042958-0.00025613i,-0.00026626-0.00011062i,-0.00069938+0.00011594i,-0.00058792-1.7814e-05i,-9.6053e-05-0.0002895i,0.00033557+0.00030174i,0.00043189+0.00063451i,-9.7698e-05+0.00059077i
0.0014807-0.0020728i,0.0013017-0.0011709i,0.0003644-0.00029419i,-0.00034983-0.00012651i,-0.00091074+0.00058151i,-0.0013545+0.0022333i,-0.00020756+0.0029612i,0.0009596+0.0024904i,0.00080718+0.0015898i,0.00064703+0.001215i,-0.00027941+0.00022331i,-0.00093194-0.00087483i,-0.0010642-0.00060295i,-0.00075876-6.7613e-05i,-0.00025856+0.00036643i,8.1377e-05+0.0010174i,0.00023381+0.0014465i,0.00011708+0.0010374i,0.00045654+0.00055723i,0.00046586+0.0003839i,0.00010456+0.00019344i,0.00031714+0.00055336i,-0.00013789+0.00071798i
0.00079265-0.00063027i,0.00049419-6.779e-05i,-0.00015425-0.00014604i,0.00065401+0.0010743i,0.0012853+0.0030173i,0.0006899+0.0032255i,-0.00038595+0.001679i,-0.00079062+0.0002278i,-0.00013756-0.0011099i,0.0010824-0.0021523i,0.00052853-0.001449i,-0.00089195-0.00038972i,-0.00091867+0.00044094i,-0.00081102-0.00026252i,-0.00086329-0.00018135i,-0.0011368+0.00062684i,-0.0016552+0.00072065i,-0.00070296+0.00095634i,0.00015633+0.00099805i,-4.484e-05+0.0008154i,-0.00046621+0.0004478i,-0.0003467-0.00020946i,-0.00021208-0.0011927i
-0.0011987+0.0022454i,-0.0006669+0.0014224i,0.00014254-1.6071e-05i,0.00010034+0.00033022i,-0.00063119+0.0014053i,-0.00039643+0.0010524i,-0.00052291+4.7096e-05i,-0.00018145-0.00098918i,0.001338-0.0021492i,0.0019925-0.0020286i,0.0013617-0.001254i,0.00063541+3.3959e-05i,0.00016204+0.00039129i,-9.6724e-06-0.00056838i,-0.00068626-5.3369e-05i,-0.00077402+0.0007924i,-3.0305e-05+0.00056883i,6.6868e-06+0.00079335i,-0.00054361+0.00085141i,-0.00052454+5.2168e-05i,-0.00020859-0.00037008i,-0.00051217+0.0002342i,-0.00017797+2.7438e-05i
-0.00063827-0.00016441i,-0.0010924-1.2769e-06i,-0.00058144+0.00098273i,0.00071187+0.0013864i,0.0015038+0.0010315i,0.00084983+0.0012237i,0.00071442+0.0016768i,0.0016723+0.0017647i,0.0020427+0.00073087i,0.0019119-0.00025096i,0.001543-0.00020716i,0.00061305+0.00042913i,0.00041414+0.00029224i,0.00043336+2.1833e-05i,0.00012276+0.0001293i,0.00014584-0.00048915i,0.00027098-0.00078665i,-0.00037045-0.00012347i,-0.00069126-4.8405e-05i,-0.00046397+5.1921e-06i,-0.00076206+0.00066678i,-0.00069072+0.00098655i,-0.00072609+0.00079601i
0.00069866+0.00046781i,0.0003535+0.00097578i,0.00065325+0.00039679i,0.0010151+5.0674e-05i,0.00073501+0.00082324i,0.00026185+0.0017681i,-0.000443+0.0025704i,-0.00059752+0.0024884i,-0.0010966+0.0012425i,-0.0013572-0.00020001i,-0.0016764-0.00011476i,-0.0019227-6.3008e-05i,-0.0015145+2.3112e-05i,-0.00084291+0.0002608i,-0.00067604+0.00033149i,-0.00062474-0.00011609i,-0.00016325-0.00027577i,0.00082833+0.00036912i,0.0010817+0.0001219i,0.00093379-0.00015718i,0.00061649-0.00036499i,0.00028673-0.0008477i,0.00061684-0.0011548i
0.0010358+0.00059398i,0.0016735+0.0003177i,0.0014167+3.5634e-06i,0.0010497+0.00092064i,0.00054606+0.0012283i,-0.00020922+0.0014699i,-0.0018022+0.0012336i,-0.0020225+0.00027743i,-0.00078051-0.0005516i,-0.00030202-0.0011399i,-0.00039025-0.001391i,-0.00051707-0.00086391i,-0.00032128-0.00069939i,-0.00038541-0.00065013i,-0.00018695-0.00087106i,0.0001802-0.00016727i,0.00026113+0.00070932i,0.00072376+0.00076405i,0.00082824+0.00076292i,0.0007269+0.0008411i,0.00096303+0.0011035i,0.00055381+0.00073144i,3.7422e-05+0.00046467i
-1.4902e-05+0.00019007i,-0.00083058+0.00029327i,0.00023975+0.00014507i,0.00084097+0.00054956i,-0.00019372+0.0004624i,-0.0011215+0.0002962i,-0.00057463+0.00062795i,0.0010739+0.00041049i,0.0023642-0.00044745i,0.002562-0.00071579i,0.0022299-0.00075248i,0.0020582-0.00036435i,0.0013667+0.00053538i,0.00018264+0.00033255i,-0.0001804-0.0002477i,-0.00034014-0.00014354i,-0.00069283+0.00051262i,-0.00051585+0.00066079i,-0.00057246+0.00049209i,-0.00039614+0.0009159i,7.0061e-05+0.0005825i,0.00059438-0.0001342i,0.0008857-0.00018219i
0.0024808-0.0013422i,0.00050577-0.0010484i,-4.0164e-05+0.00027094i,0.00031992+0.00098265i,-0.00023634+0.0014578i,-0.0010773+0.0022275i,-1.743e-06+0.0020812i,0.0020574+0.0021691i,0.0025755+0.0026456i,0.0021899+0.0026928i,0.0016241+0.0028172i,-9.0886e-06+0.0022646i,-0.0013698+0.001288i,-0.0009924+8.981e-05i,-0.00047832-0.0006689i,-0.00025886-0.00068571i,0.0001504-0.00025457i,0.0003775-0.00049893i,0.00051963-0.00044104i,0.0001322+0.00014996i,-9.7567e-05-0.00014855i,0.00036111-0.00046329i,7.7885e-05-3.7231e-05i
-0.0011464+0.001146i,-0.0011022+0.0014668i,-2.2408e-05+0.0015379i,0.00173+0.0026047i,0.0020121+0.0029251i,0.00031229+0.0030081i,-0.00071214+0.0022758i,-0.00013293+0.0020208i,0.0006708+0.0015968i,0.00089166+0.00071862i,0.00040465+0.00051864i,-0.00051437-4.4681e-06i,-0.0011981+0.00017653i,-0.00082182+0.00047136i,-0.00031023+3.9945e-05i,0.00022238-0.00029165i,0.00027503+0.0004317i,0.00030546+0.0014461i,0.00039882+0.0014755i,0.00039688+0.00075472i,0.0003394+0.00051902i,-6.5565e-05+0.00079086i,-0.00068406+0.0010545i
-0.001334-0.00093412i,-0.0014315+0.00040137i,-0.00034882+0.00019151i,0.00069783+0.00010332i,0.0010563+0.00036311i,-0.00046391+2.0142e-05i,-0.00082787-0.00076465i,-0.00022484-0.0012084i,3.563e-06-0.0025358i,0.00022974-0.0041749i,-0.00018711-0.0037316i,-0.00036083-0.0030251i,5.6166e-05-0.0018865i,0.00043107-0.00053304i,-0.00024507+0.00030771i,-0.00039856+0.00046757i,-0.0005499+0.0008731i,-0.00073188+0.0015283i,-0.00019673+0.0012464i,-0.00045676+0.00076464i,-7.6525e-05+0.00032121i,0.00071682-4.2005e-05i,0.00073929-0.00033239i
-5.0296e-05+0.00040324i,-0.000775-9.7218e-05i,-0.00050888+0.0006451i,-0.00011315+0.0011426i,-0.00044457+0.00062294i,-0.00031815-0.00062149i,0.00069703-0.00095118i,0.0021266-0.00040748i,0.0034554-0.0010321i,0.0030916-0.0016909i,0.0021627-0.0021952i,0.0017763-0.0023349i,0.00081097-0.0013176i,-0.00035207-0.0011097i,-0.0010929-0.00084374i,-0.0014182-3.5755e-05i,-0.0014877-0.00018315i,-0.0015408-0.00040389i,-0.0012326-1.3913e-05i,-0.0006774+0.00031244i,-0.00046262+0.00064763i,-0.00014766+0.0010838i,0.0010036+0.0009874i
0.00081344+0.0017202i,-0.00017338+0.00085415i,-0.0001236+0.0012073i,0.00097206+0.0021742i,0.0019621+0.0022535i,0.001908+0.0012615i,0.0011481+0.00085758i,0.0011301+0.0015086i,0.0012966+0.0022921i,0.00057057+0.0029518i,-0.00019756+0.0025167i,-0.00047591+0.0013696i,-0.00035654+0.00015516i,-0.00011116-0.00063081i,0.00035669-0.00055267i,3.5177e-05-0.00064439i,-0.00032704-0.00063404i,0.00038202+3.375e-05i,9.919e-05+0.00038893i,-0.00019876+0.00052688i,-0.0004404+0.00090059i,-0.00080867+0.001162i,-0.00042779+0.00044059i
0.00074192-0.00017744i,0.00071287+4.0764e-05i,0.00041456+0.00088467i,0.0012213+0.00059074i,0.002068+0.00081345i,0.0016093+0.0020198i,-0.00039761+0.002172i,-0.0019961+0.0018378i,-0.0018919+0.0015778i,-0.0020398+0.0021001i,-0.0024695+0.002401i,-0.0023202+0.0019264i,-0.00215+0.0010473i,-0.0017065+0.00046373i,-0.00085099+6.4649e-05i,-0.00025676-0.00022756i,-0.00018679+9.6808e-06i,-0.0010802+0.0010246i,-0.0010792+0.001735i,-0.00010967+0.001348i,1.8358e-05+0.00021263i,-0.00024934+0.00015112i,-7.4359e-06+0.00013227i
0.0015937-0.00077217i,0.00094152-0.00066632i,0.00013562-0.0011994i,-0.0010728-0.00082104i,-0.0010577-0.0008278i,-0.0014309-0.00066034i,-0.0017098-0.0005114i,4.9974e-05-0.00035765i,0.0012756+0.00011559i,0.0011701+4.0217e-05i,0.00064629-0.00073339i,-0.00062378-0.00095i,-0.0011767-0.00070183i,-0.00084734-0.00021588i,-0.00069731+0.00018573i,-0.00052341+3.5972e-05i,-0.00067568-2.7038e-06i,-0.00067283+0.00013449i,-0.00075419+0.00012936i,-0.0003483+0.00051582i,-0.00023794+0.0005273i,0.00030947+0.0002014i,0.0010809-0.00020343i
-0.0024785+0.0010192i,-0.0025543+0.00049624i,-0.0017864+0.00081729i,-0.00082019+0.0014846i,-0.00046416+0.00084733i,-0.00019167+0.00041858i,0.00024146+0.0007558i,0.0013211+0.00035417i,0.0031481-6.1917e-05i,0.0041942-0.0012372i,0.0041481-0.0016529i,0.0028292-0.00084271i,0.0016897+0.00036692i,0.00031533+0.00013222i,-0.00088775-0.00011911i,-0.0011473+0.00046935i,-0.0012282+0.00087834i,-0.00088428+0.00085909i,-0.00038299+0.00084715i,-0.00031716+0.00025259i,-0.00026427+5.5482e-05i,-7.386e-05+0.0009642i,-0.00021259+0.0014241i
-0.0014578+0.00043366i,-0.00054797-0.00027441i,-0.00096615+0.00099224i,-0.00041242+0.0019643i,0.00071979+0.0014156i,0.0016938+0.0011631i,0.0020114+0.0020048i,0.00161+0.0018969i,0.00088485+0.0009702i,0.0010557+0.00095702i,0.0019286+0.0011266i,0.0014738+0.0011679i,0.00061782+0.0011088i,0.0004974+0.00041502i,0.00067509+4.7743e-06i,0.000491-6.5906e-05i,0.00040629-8.8776e-05i,-1.6562e-05+0.00027614i,-0.00016351+0.00058489i,0.00059398+0.00048836i,0.0011308+0.00031779i,0.00073378+0.0010807i,-0.00023537+0.00094443i
-0.0018027+0.001239i,-0.00014876+0.0011916i,0.0013953+0.002125i,0.0020675+0.0027046i,0.001593+0.0020405i,0.00059754+0.00087563i,-0.00076381+0.0010448i,-0.001228+0.00071619i,-0.0014982+0.00010442i,-0.0019032-0.0002566i,-0.0015945-0.00041561i,-0.0014331+0.0004197i,-0.0012256+0.0012313i,-0.001273+0.00093786i,-0.00087568+0.00026456i,0.00057002+0.0006192i,0.0012971+0.00067517i,0.0012137+0.0005183i,0.001125+0.0012831i,0.00067421+0.0012372i,0.00042353+0.00031792i,0.00061454-0.00080349i,0.00059137-0.00060209i
-0.001251-0.00055438i,-0.0012725+4.6558e-05i,-0.00056164+0.001039i,4.4132e-05+0.0015457i,-7.476e-05+0.0011479i,0.00019689+0.00089975i,0.00042163+0.00021762i,0.00090759-0.00052542i,0.00095821-0.0013291i,0.00026567-0.0019768i,-0.00040402-0.0021139i,-0.00089287-0.0015177i,-0.0013482-0.00056842i,-0.0014562-0.0013918i,-0.0014028-0.0016785i,-0.001343+0.00026472i,-0.0012053+0.0023061i,-0.00086104+0.0029046i,-0.00043111+0.0017999i,5.5777e-05+0.00025605i,0.00031756-0.00028253i,-0.0001566-0.00018392i,7.6346e-05+3.998e-05i
0.001066-0.00056684i,0.0010815+0.00053851i,0.00024487-0.00034103i,1.9804e-05-0.00098512i,0.00013422-0.00083368i,0.0002417+0.0002703i,0.00075299+0.0013128i,0.0018406+0.0018215i,0.0020183+0.0010569i,0.0021296+2.6541e-05i,0.0023133+0.00021812i,0.0015826+0.0001744i,0.0012909-0.00070539i,0.0012303-0.00090257i,0.00016348-0.00063325i,-0.00039928-0.00031507i,-0.00077079-0.00021133i,-0.0010755+0.0005054i,-0.00039411+0.00052631i,0.00048843-0.00015869i,0.00095624-2.0921e-07i,0.00098206+0.00049445i,-0.00015033+0.00057352i
