0.0012382-0.00075481i,0.00070466-0.0024314i,-0.00066823-0.0025581i,-0.0016151-0.00077157i,-0.0022359+0.0013621i,-0.0017068+0.0020745i,0.00037846+0.0020161i,0.0017744+0.0018849i,0.0016793+0.00081203i,0.00077338-0.00033892i,7.2018e-05-0.00053001i,-0.00013373-0.00066619i,0.00025706-0.00062588i,0.00018473-0.00030496i,-0.00065534-0.00028854i,-0.00071422+0.0002901i,-0.00010994+0.0005695i,0.00059582+0.0001327i,0.00079839-0.00030423i,0.00074477-0.00068379i,0.0013084-0.00042182i,0.001109-0.0002456i,0.00046247-0.00026204i
-0.00024999-0.00037056i,-0.00043629-0.00094779i,-0.00031594-0.00087878i,-0.00012638-0.00054777i,0.00030196+6.9188e-06i,0.00046311+0.0003011i,0.00053803-5.403e-05i,0.0010005-0.00011239i,0.00059145+9.0164e-05i,4.8782e-07-0.00026921i,-0.00030752-0.00053794i,-0.00069375-0.0002339i,-0.0006778+0.00011375i,-0.00047398+0.00067143i,-3.5598e-06-0.00021865i,-8.6464e-05-0.0012855i,-0.00046242-0.00097858i,-0.00049716-0.0001411i,-0.00032204+7.959e-06i,0.00028896-9.8429e-05i,0.00033493+0.00016079i,-0.00029633+0.00037728i,-0.0004492-0.00067917i
-0.0015079-0.0016068i,-0.00207-0.00084931i,-0.0023329-8.4382e-05i,-0.0024264+0.00037753i,-0.001185+0.00054882i,0.00010379-2.5024e-05i,0.00087539+9.5461e-06i,0.00039666-8.2995e-05i,-0.00028564-0.00018788i,-0.00060614+0.00014152i,-0.00021997+0.00043048i,0.00041417+0.00087882i,0.00033585+0.00061745i,-0.00010011-0.00019996i,-0.00024853-0.00061033i,0.00039035-0.00043506i,0.00056274-0.00025891i,0.00032091-0.00011819i,0.00048711+0.00031031i,-0.00037944-5.8043e-05i,-0.00060893-0.00023145i,-0.00025989+0.00033286i,-5.0115e-07+0.00025722i
-0.0010417-0.0011134i,-0.0011083-2.5069e-05i,-0.0015715+0.0018028i,-0.0008135+0.0018821i,0.00072237+0.0012561i,0.0020285+0.00097592i,0.0022383+0.00034572i,0.0017461-0.00016147i,0.00055383-0.00018999i,-3.8251e-05-0.00026007i,-0.0001324-0.00018627i,-6.2075e-05-0.00022163i,0.00083838-0.00043386i,0.00073383-0.0004572i,-0.00064359-0.00097426i,-0.000918-0.0013945i,8.9981e-06-0.0015426i,0.00047337-0.0013487i,0.00044676-0.00095604i,0.00016816-2.2386e-05i,-0.000612+0.00052139i,-0.00086733+0.00047163i,0.00062484+0.00028873i
-1.0733e-05-0.0021565i,-0.0010494-0.001741i,-0.001307-0.00096842i,-0.0003811-0.00070788i,0.00018116-0.00032429i,-1.4613e-05-0.00014086i,0.00015004+0.00041542i,0.00072542+0.0010921i,0.00049426+0.00015055i,0.00018051-0.00084858i,0.00039255-0.00061517i,-0.00031078-0.00054784i,-0.00046765-0.00097967i,-0.00010567-0.00033267i,7.7718e-06+0.00044003i,0.00014739+0.00039162i,4.6283e-05+0.00013072i,0.00020143+3.3071e-06i,0.00065851+0.00026971i,0.00020952+0.00047766i,-6.4519e-05-2.7444e-05i,0.00048824-0.00038043i,0.00094714-0.00049856i
0.00017688-0.0020108i,-0.00023595-0.0023446i,-0.00069884-0.0025616i,3.8405e-05-0.00098138i,0.00049175+0.0013287i,0.00093852+0.0016713i,0.0010294+0.0012381i,0.00049435+0.0014755i,-0.00047946+0.00082604i,-0.0010223-0.00014089i,-0.00037906-0.00033345i,2.2159e-05-0.00041658i,9.5767e-05-0.00024562i,0.00081053-8.3404e-05i,0.0012126+0.0003861i,0.00099993+0.00041602i,0.00045576+0.00040696i,-1.7338e-05+0.00021803i,0.00037485-0.00059505i,0.00018499-0.0012114i,-0.00084884-0.00064249i,-0.001158+2.8606e-05i,-0.00047081-0.00073582i
0.00055642+0.00081578i,0.0018531-6.5873e-05i,0.0019119-4.1752e-05i,0.0018025+0.00049157i,0.0013799+0.00018355i,0.00078749+0.00014197i,0.00049741+0.00010825i,0.00083421-0.00026585i,0.0012293+6.578e-05i,0.00050344-3.2421e-05i,-0.00025828-0.00070963i,-0.00021732-0.0011438i,-0.00010193-0.0013566i,-0.00025611-0.0004527i,5.581e-05+0.00011425i,0.00053258-8.4114e-05i,0.00082228-3.7195e-05i,1.4726e-06+0.00015032i,-0.00042887+0.00084108i,-0.00029182+0.00060612i,0.00014073+6.6959e-05i,0.00034117-0.00026412i,0.00037437-0.00056862i
0.0022088+0.00028389i,-0.00018091+0.00042365i,-0.0012887+0.000261i,-0.00087912-0.00020061i,-0.00073951-0.00014839i,-0.00025806+0.00033282i,0.00046274+0.00051646i,0.00055495+1.575e-05i,0.00048274-0.00075522i,0.00043522-0.00091179i,-1.5316e-05-0.00058254i,-0.0003586-3.268e-06i,2.026e-05+0.0002863i,-0.00042881+0.00044426i,-0.00066834+0.00044879i,-0.00065644+0.00049782i,-0.00060479+0.00024608i,-0.00043076-0.0003978i,0.00025087-0.0013267i,0.00058312-0.0011466i,-7.8077e-05-0.0003191i,0.00024545-0.00051094i,0.00023003-0.00096214i
0.00096319+0.00029506i,0.0018661-0.00045309i,0.00092176-0.0010372i,0.00065913-0.00069705i,0.00059207+0.00059962i,0.0004164+0.00093252i,0.00081393+0.00093967i,0.00097769+0.00044933i,0.00063944+0.00023019i,0.00012354+0.00045428i,3.8016e-05+0.00035162i,6.704e-05+0.00066853i,-0.00031711+0.0009957i,4.7376e-05+0.00047732i,0.00042547+0.00013434i,0.00013572-0.00010136i,-0.00028114-0.00036909i,-0.00045331-0.00059902i,-0.00021876-0.00087534i,0.00049339-0.00025103i,0.00084949+0.00082674i,0.00053633+0.00079811i,-2.377e-05+0.00034241i
0.0011347+0.00076101i,-0.00031137+7.6057e-05i,-0.0005247+0.00046678i,5.3594e-05+0.00037293i,0.00082434-0.0002776i,0.00091501-0.00031658i,0.00051387-6.4398e-05i,0.00099276-0.00053863i,0.0008314-0.00035204i,-0.00041979+0.00035758i,-0.001097+0.0004275i,-0.00053076-0.00045103i,-0.00023042-0.00050976i,-0.00059231-0.00021125i,-0.0011168-0.00085657i,-0.0015387-0.00045465i,-0.00086093+0.00090058i,0.00045191+0.0005044i,0.00073626+8.467e-06i,-2.5884e-05+0.00056984i,-0.00086945+0.00088775i,-0.0010864+0.0001609i,-0.00023832-0.00095887i
-0.00024617-0.0018552i,-0.001072-0.0012855i,-0.0016-0.00064855i,-0.002037-0.00015019i,-0.00074478+0.00060831i,0.00093074+0.00084116i,0.0013603+0.00045178i,0.0015998-0.00033708i,0.0012456-0.00064328i,0.00026709-0.0003306i,-0.00028308-0.0003498i,-0.00080009-0.00015692i,-0.0014812+0.00082192i,-0.0011617+0.00092311i,-0.00021604+0.00030969i,-0.0005048-0.00016455i,-0.0010744-0.00071778i,-0.0011659-0.00043718i,-0.00038404-0.00060973i,0.0007648-0.00065784i,0.00074225-6.2507e-05i,0.00025603+6.673e-05i,-1.6265e-05-0.00013361i
-6.4992e-05-0.001061i,-0.00032463-0.001062i,-0.00075633-0.00086548i,-0.00077993-0.00041996i,-0.00044236+0.00018596i,8.2401e-05+0.00093043i,0.00027791+0.0013121i,0.00035079+0.0013771i,0.00044454+0.0008875i,0.00064501+0.00065842i,0.00041634+0.00058151i,-0.00018347+0.00013433i,-0.00047916-0.00016727i,-0.0005002-0.00064741i,-0.00067302-0.00082713i,-0.00030165-0.00034563i,0.00048543-0.00022297i,0.00088169-0.00060203i,0.00097904-0.00071007i,0.00096724-0.00086961i,0.00043168-0.00034932i,-0.00029214+0.00027206i,-0.00018187+0.00019914i
0.00034765-0.0023808i,0.00042979-0.0030136i,-0.00051733-0.002239i,-0.0003246-0.00033893i,0.00036653+0.00071192i,0.00097618+1.8593e-05i,0.0011565-0.00072774i,0.0010546-0.0001995i,0.00053395-0.00027887i,-0.00028004-0.00051466i,-0.00012768+0.00010571i,-0.00033703-0.00034171i,-0.00079857-0.00097276i,-0.00038765-0.00078952i,-0.00037943-7.8152e-05i,-6.0185e-05-0.00010375i,0.00046096-0.00047883i,0.00032628-0.0003856i,0.00011978-0.00041893i,0.0003515-0.00042727i,0.0011064-0.00013952i,0.00098202+0.00023391i,0.00057396+0.00030751i
0.00066183-0.0019312i,0.000902-0.0018334i,-0.00042587-0.0013893i,-0.0013462-0.00088233i,-0.0012222-0.00060563i,-0.0010106-0.00024611i,-0.00038784+0.00011128i,0.00015087+0.00017012i,0.00076471-0.0002113i,0.00048679-0.00032917i,-6.0722e-05-0.00035519i,-0.00053709-0.00067387i,-0.00059997-0.00079619i,2.4336e-05-0.00059511i,2.2846e-05-0.00049i,2.4859e-05-0.00018183i,5.6532e-05+7.4037e-05i,-0.00080557-0.00089778i,-0.0009241-0.00075092i,7.1879e-05+0.00013133i,0.00010973-0.00052257i,-0.00033024-0.00047916i,-0.00024609+0.00048661i
0.00019535-0.0027966i,0.00016042-0.00293i,-0.0013072-0.0026883i,-0.0016753-0.0007307i,-0.0013709+0.0010032i,-0.00064246+0.0010289i,0.00040651+0.00073971i,0.001013+0.00076835i,0.00097608-0.0004262i,0.00093666-0.00069851i,0.00072699-0.00018608i,0.00065273-4.0391e-05i,0.00049439+0.00056538i,0.00040842+0.0002469i,0.0007928+0.00043955i,0.00063981+0.00079355i,0.00027352+0.00052197i,0.0003846+0.00044136i,-0.00015002-0.00022989i,-0.00062446-0.00060813i,-0.0005974-0.00051167i,-0.00040629+0.00026039i,4.829e-05+0.00084886i
0.00073167-0.0010494i,0.0014221-0.00062221i,0.002488-0.00086169i,0.0020406-0.00090243i,0.00056464-0.00043989i,0.00057101+0.0001982i,0.0010796+0.0005155i,0.0010319+0.00035695i,0.00084135-2.6347e-05i,0.00048942-0.00029788i,0.00093364-0.00073558i,0.0015422-0.00079812i,0.00099614-0.00036802i,-0.00015649+0.00024115i,-0.00047939+0.00019059i,-0.00021548-0.00062573i,0.00014629-0.00017683i,6.9515e-05-0.0001693i,-0.00021542-0.00086897i,9.9638e-05-0.00026996i,0.00027283-0.00058366i,0.00082894-0.00061794i,0.00074456+0.00087418i
0.00067299+0.0014127i,0.00073495+0.0014963i,0.00090939+0.00076377i,-0.00035959-0.00022551i,-0.0011465-0.00058764i,8.7992e-05-0.00044595i,0.00067019+0.00017139i,-0.00037486+0.00038163i,-0.0012482-1.0766e-05i,-0.00089153-0.00037589i,-0.00018316-0.00034119i,-9.0963e-05-0.0002732i,-0.0004386-0.00030379i,-0.00069896+6.5811e-05i,-0.00093418+0.00062918i,-0.00054618+0.00020184i,5.606e-05-0.00016393i,0.00058333+0.00031667i,0.00040688+0.00044753i,0.00038908+0.00019793i,0.00018192+0.00049529i,5.2156e-05+0.00053742i,0.00098759-0.00024868i
0.00086244-0.00039877i,-0.0003542-0.001752i,-5.7113e-05-0.0018925i,0.00058025-0.001243i,0.00047843-0.00030584i,-7.4329e-06+0.00062233i,0.00029373+0.001007i,0.0012705+0.00057502i,0.0014844+0.00053856i,0.0011977+0.00071635i,0.00044852-0.00022396i,-0.00047738-0.00028963i,-0.0011681+0.0001587i,-0.00093395-0.00033024i,-0.00065655-0.000661i,-0.00044157-0.00052682i,-0.00053506+0.00013015i,-0.00033454+0.00054682i,-0.0002656+0.00049706i,-4.1505e-05-0.00014828i,0.00063944+2.3866e-05i,0.00035865+0.00025453i,7.3041e-05+0.00013364i
-0.0006918-0.00028358i,-0.00059312-0.00093524i,-0.0013096-0.00078945i,-0.0001287+0.00025559i,0.00085583+0.00025985i,0.00043288+0.00027451i,0.00021646+0.00040186i,0.0012294+0.0006378i,0.0018126+0.00089688i,0.0010959+0.00036386i,-0.00011293+0.00025723i,-0.00036712+0.0004892i,-0.00017383+0.00028018i,-0.00014887-5.4596e-05i,0.00015448-0.00013338i,-0.00012351+0.00016858i,-0.00026217-0.0004465i,-0.00030011-0.00036217i,-0.0008252+0.00081731i,-0.001053+0.0011413i,-0.00052874+0.0010075i,-0.00044262+0.00087541i,-0.00099349+0.00033742i
0.00017184-0.00092205i,0.00027912-0.0019763i,-0.0010211-0.0011409i,-0.00081558-0.00057607i,0.00063025+2.1036e-06i,0.0014414+0.00028282i,0.0011984-8.1719e-05i,0.00030707+0.00019136i,0.00065685+2.5566e-05i,0.00032867-0.00016424i,-0.00032006+0.00020562i,-0.00016698-0.00013492i,-0.00011829-0.00029016i,-0.00025494+0.00017845i,-0.00013902-0.00037064i,0.00022042-0.00059938i,0.00049371-0.00027557i,0.00034459-0.00018869i,-0.00070152-0.00047875i,-0.00058086-0.00057051i,-0.00025587+0.00037831i,-0.00025391+0.00072347i,0.00010542-5.5162e-05i
-0.00046339-0.00041675i,7.7769e-05-0.0014096i,-0.00034407-0.0021077i,-0.00044198-0.00095812i,-0.00047507+0.00060721i,-0.00043433+0.0010703i,-0.00012664+0.00086389i,0.00038781+0.00020326i,0.00051128-5.2066e-05i,0.0001965+4.0289e-05i,-0.00018174-0.00043955i,-0.00081515-0.00082778i,-0.00096081-0.0010551i,-0.00074798-0.0010043i,-0.00036186-0.00069757i,0.00021444-0.00066048i,0.00015025-0.0001183i,-0.00056123-0.00053202i,-0.00085323-0.00097873i,-0.00038257-0.0011286i,0.00046471-0.00074808i,0.00094355-0.00022851i,0.00019253+0.00069395i
-0.001407-0.00055727i,-0.00084511-0.001014i,-0.0002999-0.00047328i,-1.5973e-05+2.5726e-05i,0.00026157+0.00019981i,0.00023493-2.1201e-05i,0.00050477-0.00013583i,0.00058668+0.00041006i,0.00038241+0.00018824i,0.00057106-0.00020352i,0.00064941+4.6835e-05i,0.00042033-7.4471e-05i,0.00026361+0.0002755i,-0.00011344-3.6774e-06i,-6.4644e-06-0.00092515i,0.00074598-0.00078293i,0.00048958-0.00014975i,-0.00028945+0.00051766i,-2.8784e-05+0.00092025i,0.00029386+0.00038394i,0.00065232-0.00044529i,0.0011936-0.0002484i,0.00090312+0.00032057i
0.00093028-0.0010954i,0.0020784-0.0028347i,0.0030627-0.0032445i,0.0022046-0.001866i,0.0013682-0.00082952i,0.0012703-0.00065605i,0.0013411-0.00058798i,0.0015013-0.0002576i,0.0010892+5.0728e-05i,0.00024828-6.4682e-05i,-2.868e-05-0.00043875i,-0.0006174-0.00090925i,-0.0014809-0.00087492i,-0.0016028-0.0006466i,-0.00068864-0.00091553i,0.00027005-0.00049343i,2.4134e-05-0.00029979i,-9.9634e-05-0.00095443i,9.4173e-05-0.00053274i,0.00011186+0.00012554i,-0.00020882-8.1247e-05i,-0.00030995-0.00024519i,-0.00022297-0.00042851i
0.0014357-0.003257i,0.00077284-0.0026857i,-9.6704e-05-0.0018076i,-0.00093326-0.001538i,-0.0011315-0.0011876i,-2.8038e-07+5.055e-05i,0.00022764+0.00088099i,0.00048855+0.00089976i,0.00091791+0.00053329i,0.00060972+0.00012175i,0.00031366+0.00016103i,-4.1526e-05+0.00027182i,-0.0007661-0.00013486i,2.2766e-05+0.00039766i,0.00044787+0.0010821i,1.0233e-05+0.00072912i,-0.00032757+0.00089945i,-0.00053026+0.00052451i,-0.00030753-8.7742e-05i,0.00077905-6.3314e-06i,0.00062891-8.72e-05i,-0.0006158-0.00027283i,-0.00064851-0.0005633i
0.00045422-0.0011918i,0.0008405-0.00025407i,-0.0005541+0.00026158i,-0.0013537+0.0007779i,8.5264e-05+0.00074642i,0.00096883-8.9311e-05i,0.0012159-0.00010222i,0.0013602+0.00041488i,0.00064716+8.9195e-05i,-8.6072e-05-0.00075637i,1.5396e-05-0.00041826i,0.00025597+0.00039582i,0.00055119+0.00074173i,0.00026301+0.00032952i,-0.00036724-0.00038126i,7.9819e-05-0.00076136i,0.0002174-0.00059801i,0.00020631-0.00058363i,0.00062363-0.0011021i,-9.1668e-06-0.00039435i,-0.00059119+0.00042028i,0.00020763+5.6514e-05i,0.00062323-0.00038354i
0.00049512-0.00052111i,0.0007433-0.0014603i,0.00083617-0.0013342i,0.00035636-0.00065751i,0.00015094-0.00022489i,-0.00031656+0.00030111i,0.00012017+7.9647e-05i,0.00062158-0.00028492i,9.2751e-05-0.00022616i,2.6656e-05+9.0695e-05i,0.00023796+0.00045048i,0.00011876-0.00025435i,-4.1845e-05-0.0011031i,0.00011224-0.0012174i,-3.2838e-05-0.00089361i,-0.00077175-4.1686e-07i,-0.0012144+0.00082458i,-0.00062134+0.00058479i,0.00029333+0.00065837i,0.00078097+0.00093479i,0.00079113+0.00056031i,0.00045449+0.0001411i,-0.00040858+0.00026975i
0.0016577-0.0013859i,0.0013491-0.0021571i,-0.00021265-0.0026972i,-0.0003711-0.0017006i,0.00028915-0.000296i,0.00084173+0.00040123i,0.00053307+0.00032353i,0.00028064-0.00052304i,0.00079018-0.0006685i,0.0003042-0.00062264i,-0.00039842-0.00036038i,-4.6716e-05-0.0001789i,0.00083344-0.00029801i,0.00025063-4.4956e-06i,-0.0010499-0.00015944i,-0.00129-0.00038624i,-0.00052423-0.00023517i,0.00018952-0.00043845i,0.00061189-0.00062637i,-0.00017214-0.000429i,-0.00029509-0.00021984i,0.0008349+0.00021121i,0.00075064+0.00017911i
0.00086885+0.00068882i,0.00085514-0.00013791i,0.0004414+0.00038943i,-8.0424e-05+0.00096646i,0.00012144+6.564e-05i,1.9032e-05+0.00035695i,0.00068451+0.00059759i,0.0011562+0.00074015i,0.0014115+0.00060218i,0.0009679-7.1342e-05i,2.7558e-05-0.00034726i,0.00042871-0.00031113i,8.9233e-05-0.00068569i,-0.00053234-0.00090315i,-0.00036975-0.00085891i,-0.00087774-0.00043394i,-0.0011802-0.00058948i,-0.00074925-0.001426i,-0.00016739-0.0013824i,9.2433e-05-0.00023938i,0.00033316+0.00073379i,0.00066755+0.00094202i,0.00031146+0.00071588i
0.00086516+0.00060993i,0.00098592-0.00023089i,0.0010318+0.00030768i,0.0001256-7.6097e-05i,-0.0001224-0.0010736i,-0.00014836-0.0007025i,0.00010418-0.00014782i,-0.00013333-0.00071884i,-0.00035403-0.00058953i,0.00018629+0.00020942i,0.00094547-0.00010205i,0.0004757-0.00018688i,-0.0008907-0.0003136i,-0.0014722-0.0010863i,-0.0014262-0.001226i,-0.0010062-0.00072057i,-0.00074351-1.9764e-05i,-0.00065611+0.00051328i,-0.00015187+0.00046889i,0.00031631+0.000118i,0.00091362+0.00033524i,0.0011224+0.00042185i,0.00072999-0.00034023i
-0.0015124+0.00040381i,-0.0014921+0.0011323i,-0.0012321+0.0014288i,6.2552e-05+0.0015235i,0.0010546+0.00043413i,0.00097314-0.00041334i,0.0010504+0.00036895i,0.0012634+0.00047616i,0.0011092+0.00020436i,0.00090464+0.00075975i,0.00015414+9.8849e-05i,-0.00039847-0.0013498i,-0.00014927-0.0016443i,0.0004928-0.0018028i,-4.6133e-05-0.0014807i,-0.00061457-0.00095953i,0.00034296-0.00071983i,0.00043912+1.5934e-05i,-3.5234e-05-1.7267e-05i,-0.00041365-8.1236e-05i,-0.00096213+0.00046453i,-0.00059568+0.00098532i,-0.00011658+0.00093032i
-0.00027234-0.0010263i,4.9093e-05-0.00081924i,-0.00023245+0.00013185i,-0.00016011+0.00033172i,0.0006539-7.6809e-05i,0.00098451-0.00028917i,0.0013829+0.00032312i,0.0016065+0.00051786i,0.00073193-0.00010362i,7.8976e-05+4.9263e-05i,0.00037302-9.9741e-05i,0.00077968-0.00046024i,0.00011166-0.00020867i,-0.00017276-0.00039555i,0.00019645-0.00047236i,0.00041307-0.0006593i,0.00069337-0.00073208i,0.00037255-7.8455e-06i,6.907e-05+0.00044815i,0.00054369+0.00071321i,0.00080727+0.0006261i,0.00082856+0.00076532i,0.00038197+0.00061053i
0.0018587-0.003092i,0.0012085-0.0031762i,0.00015809-0.0028665i,0.0003852-0.0014076i,0.0006837+6.058e-06i,-0.00039027+0.000928i,-0.00057108+0.0014076i,0.0006075+0.00034783i,0.0012269-0.00049583i,0.0015042-0.00085319i,0.0013085-0.00070855i,-0.00017699+5.0751e-05i,-0.00066774+0.00057809i,-1.4319e-05+0.00095938i,-6.1507e-05+0.00091005i,-0.00024835+0.00052776i,-0.00030259+0.0003118i,-0.00052641-0.00025372i,-0.00024815-0.00034009i,-9.368e-06+0.00028917i,0.00024539+0.00062058i,0.00073098+7.0782e-05i,0.00087148-0.00032354i
