-0.0015136-7.8962e-05i,0.00031015-0.0011796i,-0.0014845-0.0010509i,-0.0025471-0.00015619i,-0.0021904+0.0013781i,-0.0012829+0.0016197i,-0.0006546+0.0010825i,-0.00017031+0.00083588i,0.00057779+0.0004936i,0.00094278-0.00059695i,0.00026927-0.00061086i,0.00029322+3.3176e-05i,0.0011751+0.00018233i,0.0012834-0.00049177i,0.00087655-0.00038122i,-0.0004359+0.00074192i,-0.00082475+0.00043554i,0.00012694-0.00018592i,0.00049488+2.6222e-05i,0.00022027+9.3055e-05i,0.00017857-2.2592e-05i,5.7298e-05-0.00048903i,0.00054575-0.00055043i
-0.00042644-0.00081458i,-0.00041176-0.001418i,0.00021411-0.0011247i,8.4743e-05-0.00055212i,-0.00032791-6.3642e-05i,-0.00039132-0.00017045i,-0.00017097-0.0004985i,-0.00011464-0.00033089i,-2.9669e-05-0.0004074i,8.2619e-06-0.00038359i,-0.00023226+0.00034043i,2.3886e-05+0.0011225i,0.00015993+0.00097195i,0.00033808+0.00094856i,0.00053234+0.0011398i,0.00045257+0.0010269i,0.00020741+0.00093979i,0.0002689+0.00012856i,0.00029158-0.0007156i,-0.00013014-0.00072208i,-0.00054805-3.1468e-05i,-0.0002786+0.00050802i,-0.00010906+0.00010641i
0.00017612-0.00052859i,0.00025399-0.00086084i,6.0782e-05-0.0014517i,-0.00056571-0.0012329i,-0.00041962-0.001049i,0.0003656-0.00083874i,0.00061289-0.00065526i,0.00090785-0.00051514i,0.00036886+0.00025261i,-0.00086637+0.0010526i,-0.00085794+0.0016611i,-0.00048709+0.0017182i,-0.0012987+0.0006032i,-0.00095625-6.6099e-05i,0.00012263+8.5381e-05i,0.00033293-0.00042764i,0.0010125-0.00059469i,0.00077964-0.00057075i,0.00021111-0.00018217i,-0.0002894+8.7095e-05i,-0.00018789-0.00074292i,8.6155e-05-0.00093194i,-0.0001447-0.00086136i
0.0012445+0.00043102i,0.0015105+0.00027329i,0.0023028+0.00022934i,0.0016083+0.00042019i,2.4627e-05+0.00016829i,-0.00037572-0.00042196i,0.00010569-0.00090019i,0.0010692-0.00043313i,0.0011082+0.00041014i,-4.7265e-05+0.00039532i,-0.00026757+7.5872e-05i,0.00028786+0.00021555i,0.00060222+0.00031546i,0.00049367+0.00075695i,0.00031561+0.00033096i,0.00035652-0.00016083i,0.00036282-0.00021889i,0.00033653-0.00087325i,-0.00023563-0.00091071i,-0.00043416-0.00049414i,-0.0002773-0.00073175i,0.00013497-0.00039869i,0.00028312+0.00056879i
-0.001076-0.0025669i,-0.0019922-0.0019287i,-0.0030936-0.0008147i,-0.0033091+0.0006034i,-0.0026191+0.00061763i,-0.00093604+0.00025389i,0.00085234+0.00029596i,0.0012039-0.00015203i,0.00071396-0.00046722i,-0.00024819-7.1574e-05i,-0.00060335+0.001059i,-0.00022035+0.0018989i,0.00031214+0.0010211i,0.00013962-0.00022946i,0.00043189-6.5661e-05i,0.0010951+0.00032589i,0.00081464+0.00062249i,0.00038766+0.00082414i,0.00030634+0.0012187i,0.00034529+0.0015914i,0.00021339+0.00073149i,0.00026623-0.00020015i,0.0005485+0.00034136i
0.0015298-0.00024922i,0.0019744-0.00044191i,0.001584-0.0010783i,0.0004197-0.00088352i,-0.0012147-0.00012091i,-0.0014432+0.00029919i,-0.0008202+0.00055347i,-0.00073489+0.00013547i,-0.00069289-0.00051433i,-0.00037462-0.00050662i,-0.00020921-0.00013217i,-0.00013502+0.00012207i,-0.00014757+0.00026844i,0.00044181+0.00081426i,0.00050202+0.0004506i,-0.00034316-4.4049e-05i,-0.00073871-2.5176e-05i,4.1844e-05-0.00033846i,0.00026471-0.00043752i,0.00048768-0.0002458i,0.00062159-0.00058981i,0.00051355-0.00076371i,0.00047032-0.00032975i
-0.0017161+0.00034072i,-0.00048558-0.00019211i,0.00056477+0.00013588i,-1.7383e-05+0.00063359i,-0.00061181+0.00035485i,-0.00021846-0.00055342i,0.00057397-0.00087846i,0.0002432-0.00056468i,-0.00011067-0.00015271i,-0.00025721+0.00023173i,-0.00052187+0.00044745i,-0.00014247+0.00017905i,0.00045567+9.7244e-05i,0.0001546-4.0786e-05i,0.00011899-0.00060743i,3.9545e-05-0.00078082i,-0.00013359-0.00012691i,0.00032162+9.3829e-05i,0.00059125-0.00019467i,6.2797e-05-0.00022722i,-0.0003721-0.00016472i,-0.00021374+0.00018309i,0.00073579+0.0005355i
0.00039993-0.00090389i,0.00099667-0.00065138i,0.00042615-6.3366e-05i,-0.00061878+0.0012175i,-0.0010519+0.00088216i,-0.00026691-0.00039041i,0.00014616-0.001118i,-0.00028565-0.00061177i,-0.0010625-0.00021049i,-0.0012423-0.00051766i,-0.00069783+0.00023502i,-0.0006504+0.0012949i,-0.00052417+0.0010156i,0.00015211+0.00044635i,0.00017863-2.7571e-05i,-6.6008e-06+0.00035187i,0.00051465+0.00034598i,0.00011796+3.6617e-05i,-0.00040551+0.00014608i,0.0001633+0.00079937i,0.00031665+0.0009631i,-0.00015982+9.0611e-05i,-0.00041835-0.00022383i
0.00095554+0.00089694i,0.00082429-6.707e-05i,0.00047043-0.001777i,-0.000121-0.0015376i,-0.00028495-0.00022943i,-0.00039989+1.3617e-05i,-7.9005e-05-0.00080069i,0.00056721-0.00061112i,0.00011012+0.00040226i,-0.00026852+0.00097013i,0.00020269+0.0016107i,-0.00013842+0.0020152i,0.00016116+0.0011879i,0.00062329+0.00068435i,0.00027594+0.00039591i,0.00029974-4.0053e-05i,0.001059-0.00018998i,0.0014551-0.00024128i,0.00095174+3.561e-05i,0.00037616+0.00031023i,-9.2316e-05-0.00023625i,-0.0004522-0.00072804i,-0.00031468+5.6463e-05i
-0.0012309-0.0015535i,-0.0022566-0.00043443i,-0.0021039+0.0003677i,-0.0013232+0.00072388i,-0.0010623+0.00034233i,-0.00099751+0.00031843i,-0.00036626+9.8314e-05i,6.6221e-05-0.00089559i,-0.00020246-0.0011147i,-0.00060535-0.00063573i,-0.00084024+0.0003092i,-0.00036161+0.00050128i,-0.00024714-0.00033591i,0.00047092-0.00014569i,0.0014909+0.00080945i,0.00069876+0.00077956i,0.00058697+0.0004055i,0.00086509+9.1165e-05i,-0.00011778+0.00014959i,8.0128e-06-0.00014695i,0.00072892-0.00078664i,0.00039702-0.00032582i,0.00012638+0.0006266i
-0.0013478-0.00024011i,-0.0016585+0.00045819i,-0.0017667-0.000222i,-0.0017115-9.1658e-07i,-0.001112+0.00096383i,-0.00098494+0.00087683i,-0.00031378-7.7502e-06i,0.00035362-0.00043553i,-7.835e-05-0.00019394i,-0.00084585-0.00031542i,-0.0011618+9.6524e-05i,-0.00037873+0.00015581i,0.00025307+8.6286e-05i,0.0003219-0.00043589i,-1.0168e-05-0.00067966i,-0.0003132-0.00063934i,-6.8298e-05-0.00078981i,0.0002466-0.00050598i,3.449e-05-0.00055853i,-0.00037655-0.00089976i,-8.2507e-05-0.0011622i,0.00012876-0.0012859i,0.00029238-0.00061659i
0.00046059+7.0016e-05i,-0.00020207-0.00070556i,-0.00061662-0.0017054i,-0.00020531-0.0014972i,-0.00036249-0.00081029i,-0.00079448+7.1858e-05i,-0.00060024+0.00054445i,-0.0007098+8.6697e-05i,-0.0009293-0.00057072i,-0.00054644-0.00058973i,-4.1287e-06+9.2149e-05i,0.00072229+0.0011115i,0.0005414+0.00078876i,0.00036594-3.1751e-05i,0.00090282-1.137e-05i,0.00070276-0.00020496i,-0.00022205-0.0002231i,-0.00068668+0.00017267i,-0.00050874+0.00018549i,7.3435e-05-0.00029067i,-3.5717e-05-0.00015538i,-0.0001174-0.000101i,-0.00010034-0.00055161i
-0.001412+0.0002971i,-0.0012605+0.0011213i,-0.00037936+0.0016351i,0.00040203+0.0010221i,0.0010059+0.00038305i,0.0012691-0.00060107i,0.00036181-0.00076793i,-0.00087959-0.00015695i,-0.0012182+0.00016647i,-0.0010973+0.00088302i,-0.00027093+0.0016698i,0.00075635+0.00088932i,0.000524-0.00011322i,-2.0276e-05-0.00032593i,0.0001913-0.00067698i,0.00072638-0.00020372i,0.0010915+0.000478i,0.00088705+0.00054136i,0.0006745+0.00057831i,0.00060152+0.00021944i,0.00026846-0.00055788i,-0.00036309-0.00029573i,-0.0011126-0.00029837i
-0.0026816+0.001253i,-0.0025341+0.0017745i,-0.0025171+0.002367i,-0.0012786+0.0032192i,0.00033664+0.0024355i,0.0015367+0.00096637i,0.00046347+8.1206e-05i,-0.0010763-0.00035342i,-0.0004044-0.00065542i,4.1772e-05-0.00040409i,-0.00011357+0.00010776i,-0.0002254+0.00041721i,0.00015367+0.00031237i,0.00037017-0.00021873i,0.00076788-0.00095149i,0.00097643-0.00055291i,0.00037131+0.00012419i,-0.00035664-7.5211e-05i,-0.00029529-0.00060062i,0.00043808-0.00041615i,0.00048613-6.8052e-05i,2.4335e-05+2.6466e-05i,0.00017057+8.6671e-05i
7.9061e-05-0.00029301i,0.00050243-0.00045249i,0.0004694-0.00042734i,-0.00043691-0.00026763i,-0.00096254-0.00053508i,-0.00012969-0.00075308i,0.00015383-0.00080136i,-0.00025895-0.00055109i,-0.00060683-0.00055945i,-0.00094065-0.00060944i,-0.0008546+0.0001279i,-0.00055485+0.00078069i,0.00027609+0.00059954i,0.00053622+0.0002814i,0.00040618+0.00034618i,6.3003e-05+0.00063148i,0.00013048+0.00059694i,0.00074473+0.00042807i,0.0012668+7.2091e-05i,0.0012863+6.7552e-05i,0.00033842+0.00062927i,-2.0004e-05+0.00063195i,0.00018855+0.00060133i
0.0015048+0.00042548i,0.0012962-0.00030788i,0.00072348-0.00047651i,-9.0738e-05-0.00063741i,-0.00065732-0.00072377i,-0.00039044-0.00034844i,0.00026543-0.00044087i,0.0005612-0.00034209i,5.7995e-05-0.00044345i,-0.0013005-0.00050112i,-0.0021522-7.6342e-05i,-0.0016389+0.0005289i,-0.00032353+0.001439i,0.00017991+0.0010791i,0.00041033+0.00012696i,0.00030018-0.00043298i,0.00046643-0.00070793i,0.0006605-0.00094675i,0.00049208-0.00046259i,0.00062591+0.00016778i,0.00022002+0.00051161i,-9.5968e-05+2.0945e-05i,-0.00042377-0.0010005i
0.0016219-0.0010045i,0.0016446-0.0022177i,0.00090983-0.0010718i,-0.00038835-4.2819e-05i,-0.00078753-0.00049125i,-0.00075588+5.0131e-06i,-0.00037087+0.00019304i,-0.00013035-0.00039356i,0.0003967-0.0004827i,0.00046607-0.00063782i,0.00017016-0.00077156i,0.00013547+0.00035135i,-1.2237e-05+0.0016685i,-0.00020165+0.0016802i,0.00017189+0.00066463i,0.00091987+0.00039322i,0.0014889+0.00096892i,0.0011899+0.0010087i,0.00047179+0.0008431i,0.0010536+0.0011177i,0.00068993+0.0008071i,0.00026419+0.00024845i,0.00033895+0.00076702i
0.0026467-0.00069083i,0.0017801-0.0016948i,0.00078997-0.0021189i,9.5691e-05-0.0017723i,-0.00069852-0.0010436i,-0.0012059+0.00040304i,-0.0013571+0.00043152i,-0.00059-0.00094645i,-0.00067367-0.0012809i,-0.0012091-0.0004377i,-0.00014998+0.00052813i,7.0478e-05+0.0011239i,-0.00038588+0.001028i,-0.00044707+0.00063136i,-0.00044582+0.00041059i,-0.00030314+0.00027138i,0.00066284+0.00023225i,0.0011205+0.00044593i,0.00027025+0.00012909i,-0.0001803+0.00052255i,0.00023321+0.00047449i,-3.0102e-05-0.000508i,-0.00061958-0.00017325i
-0.0013414+0.00017121i,-0.00090262+0.00046467i,-0.00043886+0.00067216i,0.00046212+0.00013072i,-0.00010041-0.00088548i,-0.00028915-0.0015248i,8.9404e-05-0.0011836i,-0.00024655-0.0010495i,4.0116e-05-0.00081749i,-7.5773e-05-0.00026379i,-0.00046672+0.00031684i,-0.00046923+0.00040364i,0.00011178+0.00078875i,0.00083174+0.00080969i,0.00075729+0.00040836i,0.00066389-0.00044745i,0.00065877-0.00051671i,0.00074252-0.00018338i,0.00052139-0.00052748i,0.00044318-0.00055346i,0.0010374-0.00038986i,0.0012849-0.00057326i,0.00086062-0.00026492i
0.00081682-0.00063993i,3.1159e-05-0.00026057i,-0.0010679+0.00081875i,-0.00066195+0.00080932i,-0.00024087+0.00087149i,-2.827e-05+0.0010354i,0.00016816+0.00067398i,0.00037503+0.00031703i,-4.3799e-05-0.00057464i,-0.00081654-0.00085541i,-0.00096819+9.5901e-05i,-0.00069971+0.00052535i,-0.0003437+0.00059393i,0.00037975+0.00015169i,0.00071275+0.00044511i,0.00044162+0.00044306i,-0.00036145-0.00014524i,-0.00032726-0.00062205i,-0.00011897-0.00034472i,0.00032144+0.00038081i,0.00099209+0.00050868i,0.0010513+0.00032635i,0.00080766+0.00010448i
1.6234e-05+0.0013382i,0.00016709+0.0010386i,-0.00017068-0.0001405i,0.00033111-0.00031025i,-9.6985e-05+0.00012704i,-0.0010764+0.00031164i,-0.0002208+0.00035472i,-0.00024678-0.00079123i,-0.00029527-0.00090512i,-2.1705e-05+0.00034672i,-0.00054057+0.00040237i,-0.00089693+0.00095979i,-0.00080559+0.001767i,-0.0010538+0.0017697i,-0.0010422+0.00089695i,-0.00091783-6.7356e-05i,-0.00072979-1.3129e-05i,-0.00054579+6.3404e-05i,-0.0007347-0.00049116i,-0.00083043-0.00087107i,-0.00035126-0.00054448i,-0.00024695-2.0769e-05i,-0.00018119+0.00020983i
-0.00051653-0.0013032i,-0.0010974-0.00093618i,-0.0013386-0.000451i,-0.001154-0.00075398i,-0.00055443-0.0012084i,-0.00042453-0.00093366i,-0.00027337-0.00023078i,-0.00046021-0.00023516i,-0.00070057-0.00030793i,-0.00067666+0.00031878i,-0.00043484+0.00015041i,-0.00011552-6.9466e-06i,-0.00016787+0.00030407i,-0.0002983+5.0826e-05i,-0.0001238-0.00056439i,6.2715e-05-0.00026177i,0.00022765+0.00086354i,0.00061781+0.0013222i,0.00043208+0.00095483i,1.2281e-05+0.00033374i,-0.0001336-0.00044476i,-0.00055429-0.00064312i,-0.00064917-0.000148i
-0.00095494+0.0013102i,-0.00011715+0.0015578i,0.00043878+0.0018561i,0.00025434+0.0014745i,-0.00036415+0.00052362i,0.00012004+0.00024142i,0.00076865+0.00055944i,0.00071989+0.0011127i,0.00025417+0.00057152i,-0.00035547+0.00021916i,-0.00066092+0.00028574i,-0.00073285-0.00017682i,-0.00064463-0.00082138i,0.00010973-0.00029063i,0.00030385+0.00046002i,8.4897e-05+0.00023472i,-0.00017426-0.00032406i,-2.6968e-05-0.00089658i,0.00041875-0.0010524i,0.00040609-0.00074632i,0.00054159-0.00029671i,0.00082419+0.00036168i,0.0013535+0.00029811i
-0.00094279-0.00066005i,-0.00069946-0.0015389i,-0.00030255-0.0019792i,-0.0006867-0.00085872i,-0.0017985-0.0011334i,-0.0018372-0.0014092i,-0.00074458-0.00028104i,0.00057555-5.9608e-05i,0.0012063-0.00013997i,0.0011945+0.00015382i,0.0004992+0.00029116i,-0.00062697+0.00034165i,-0.0013332+0.00029064i,-0.00063572-0.00025856i,-0.00047486-0.00072698i,-0.00098393-0.00067985i,-0.00013568-0.00021038i,0.0004892+0.00016132i,0.00047698-0.00042834i,0.00060957-0.00054238i,0.00049708-0.00040682i,-0.00027286-0.00053643i,-0.00062091-0.00069743i
0.0022808+0.0010306i,0.001899+0.0010169i,0.0014876+0.0012819i,0.0011512-0.00024967i,0.0019103-0.001964i,0.0011196-0.0020251i,-0.0004681-0.0008191i,-0.00064789-0.00033429i,-0.00056165-0.00076984i,-0.0004733-0.00099012i,-0.0002785-0.00074462i,-0.00062847-0.00018841i,-0.00043248-2.3453e-06i,-8.218e-05-0.00024124i,-0.0001481-0.00029772i,0.00019749-0.00038561i,0.00010749-6.799e-05i,-0.00036939-0.00058241i,-0.00098545-0.0015019i,-0.00070971-0.00043202i,-0.00045405+0.00034269i,-0.00052007-0.00011358i,-6.8108e-05-0.00032125i
-0.0019036+0.0015639i,-0.0015754+0.00036493i,-0.0004223+0.0005231i,0.00022044+0.00049413i,-0.00023196-0.00069179i,-0.00021009-0.00081628i,0.00026782+2.6841e-05i,9.928e-05+6.803e-05i,9.8729e-05-0.00063143i,-0.0004427+6.6542e-05i,-0.00057409+0.00065878i,-0.00025303+0.00044746i,-5.2045e-05+0.00091635i,0.00013624+0.00074278i,0.00046016-0.00029464i,0.00060624-0.0001648i,0.00042116+0.00030568i,0.00046541-0.00032544i,0.00021112-0.0012966i,-0.00040319-0.00067748i,6.0251e-05+1.5658e-05i,0.00052531-0.00027426i,0.00028915-0.00066041i
0.0010504-0.00058925i,0.0016777-0.0001924i,0.0013886-0.00044737i,0.0012658-0.00080516i,0.00096047-0.00050967i,-0.00020354-0.00070867i,-0.00012487-0.00068119i,-7.6918e-05-0.00041016i,-0.00051016-0.00015463i,-0.0010337+0.00011186i,-0.0010887+0.00033438i,9.7634e-05+0.00063154i,0.00049177+0.0011797i,-5.0485e-05+0.001194i,0.00022706+0.0010187i,0.00058037+0.00032778i,0.00045906-2.9011e-05i,0.00047622-1.5037e-05i,0.00041238-0.00022961i,0.00071734+0.00028814i,0.0010527+0.00062592i,0.00062093+0.00082095i,2.8005e-05+0.00083555i
0.0023975+0.00057024i,-0.00021825-0.00048125i,-0.0016949+0.0003007i,-0.0017167+0.00019989i,-0.0015742-0.0001644i,-0.001073-0.00037067i,-0.0011441-0.0011177i,-0.00065041-0.0010711i,-0.00046461-0.000293i,-0.0012715+0.00039707i,-0.0013234+0.00086031i,-0.00078158+0.00043721i,-0.00018993-0.00062021i,9.303e-05-0.0010705i,0.0002204-0.00029292i,-0.00010362+0.00023063i,-0.00021942-0.00010856i,-0.00020625-0.0010129i,-0.00043518-0.0011656i,-0.000322-6.5055e-05i,-0.00037509+0.0008254i,-0.00026875+0.00076271i,0.00013448+0.00015814i
-0.0022232+0.00030723i,-0.0015636+0.00056792i,-0.0010684-0.00087207i,-0.0014155-0.001653i,-0.0013215-0.00050771i,-0.00050614+0.00046297i,-9.0319e-05-0.00035781i,0.00056349-0.0012966i,0.00040493-0.0010633i,-0.00068914+0.00017082i,-0.00072286+0.0013641i,-0.00014257+0.0014489i,0.00021548+0.00099688i,0.00057899+9.3784e-05i,0.0002479-0.00016484i,0.00017727+0.00021021i,5.4572e-05+0.00019843i,9.09e-05-0.00015914i,-0.00013915-0.00087119i,-0.00072957-0.00092945i,-0.00041075-0.0004184i,0.00041972+0.00017024i,0.0006198+0.00099709i
0.0011299+0.00091375i,0.0010024+0.0013708i,0.0016802+0.0016722i,0.0012436+0.00092468i,0.00051712-0.00024627i,0.0010458-0.00052317i,0.00041239-0.000362i,-0.00031374-8.7587e-05i,-0.0005234+0.00027143i,-0.00028962+0.00045905i,0.00056389+0.00026702i,0.00030927+0.0002564i,-0.00069764+0.00029597i,-0.00057037-0.00017666i,-0.00087713-6.8364e-06i,-0.0011397+5.1491e-05i,-0.00034208+8.0974e-05i,0.00039169+0.00012175i,0.00085278-0.00079408i,0.00045884-0.00076492i,-0.0009643-0.00030105i,-0.0015203-0.00030326i,-0.00094937-0.00064049i
-0.0024657+0.0013192i,-0.0025398+0.0020444i,-0.0024221+0.003096i,-0.0015029+0.0023315i,4.4726e-05+0.0010261i,0.00089585+0.00045986i,5.4947e-05-0.00028596i,-0.00065066-6.5493e-05i,-0.00059654+0.00036682i,-0.00042516+0.00032814i,-0.00011165+0.00073877i,0.00017158+0.00090852i,0.00011998+0.00034243i,0.00051576+6.3705e-05i,0.00084792-0.00038309i,0.00053286+1.6215e-05i,-3.6837e-05+0.00077324i,4.8013e-05+0.00018505i,0.00040775-0.00037274i,0.00025723-0.00039242i,-0.00053613-0.00056694i,7.9281e-05-0.00068778i,9.5035e-05-0.00054379i
-0.0012359+0.0013259i,-0.0010212+0.0018172i,-8.9049e-05+0.00084684i,0.00067658+0.00023329i,0.00041566+0.00071354i,0.00076518+0.0011396i,0.0001913-0.0001393i,-0.00094254-0.00037572i,-0.00088089+0.00018182i,-0.00033596+0.00072518i,-0.00086632+0.001012i,-0.00097971+0.00063915i,-0.00033476+0.00026221i,-0.00058033-0.00045411i,-6.173e-05-0.00015752i,0.0008565+0.00074256i,0.00070441+0.00080947i,-6.1841e-05+0.00020783i,-0.00019425-4.3549e-05i,0.00050923+3.4808e-05i,0.0007462+0.00030129i,-2.4806e-05+0.00037178i,-0.00023641+0.00012718i
