-0.002187+1.3371e-05i,-0.00058309+0.00020079i,0.0012477-0.00011405i,0.00054205+0.00067087i,0.00011324+0.00076183i,0.00010142-0.00052835i,-0.00013638-0.00053784i,-0.00021055-2.515e-05i,0.00047027-0.00025206i,0.0011713-0.00033692i,0.00060666-0.00073916i,0.00037775-0.00070072i,-0.00015676-7.9905e-05i,-0.00035369-3.9356e-05i,0.00045324-8.7702e-05i,0.00057708+6.7579e-08i,-0.0005749+0.00045416i,-0.0013316+0.00019012i,6.9023e-05-0.00022909i,0.00062704-0.00030657i,0.00073755-0.00043177i,0.00049742-1.2653e-05i,-0.00094389+0.00029158i
0.0031411+0.00055957i,0.0034249-0.00020752i,0.0033822-0.001163i,0.00312-0.0016634i,0.0019434-0.0014379i,0.00054329-0.00038319i,-0.00013815+0.000603i,0.00056514+0.00050554i,0.00099728+0.00031846i,0.0009744-0.00022585i,0.00033697-0.00048383i,-0.00035279+0.00058355i,-0.00084852+0.0010468i,-0.00046605+8.3415e-05i,0.00061643-0.00047391i,0.0011595-0.00015569i,0.0007249+9.7381e-05i,0.000609+0.00052494i,0.00068573+0.0005133i,0.00058197+0.00044951i,0.00014858-0.00023772i,0.00037937-0.00071004i,0.0013663+0.00013339i
0.00068372+0.00027647i,0.00048454+0.00081038i,0.0004396+0.0011202i,-0.00058795+0.00090911i,-0.0013208-5.876e-05i,-0.0010155+0.00024879i,-0.00071381+0.0009996i,-0.00029121+0.00080859i,0.00040492+0.0007291i,0.00045428+0.00058124i,0.00018235-4.121e-05i,-8.061e-05+0.0003184i,0.00015821+0.00088782i,0.0002733+0.00010084i,0.00030557-0.00035774i,9.3103e-05+0.00034502i,-0.00023671+0.0005148i,2.9404e-05+0.00046943i,2.4852e-05+0.00018812i,0.00023379-0.0005237i,0.00026843-0.00069342i,0.00018522-0.00062792i,0.00066007-0.00080273i
-0.00060197+7.5159e-05i,-0.00069048-0.00027284i,0.0002276+0.00043564i,0.0012424+0.00077389i,0.0014429+0.00019499i,0.0010334+0.00079487i,-0.00054161+0.0014286i,-0.0015794+0.0013771i,-0.0008342+0.00069353i,0.00041403+0.0001429i,-7.2197e-06+0.00010439i,-0.00056681-0.00046107i,6.108e-05-0.0015704i,0.00092494-0.0012543i,0.00036201+2.6383e-05i,-0.00020636+9.1665e-05i,0.00030152-9.8568e-07i,0.00080524+0.00014553i,0.0007747+9.7795e-05i,0.00033742-6.6374e-05i,0.00040316+9.9967e-05i,0.00032124-1.9876e-05i,0.00010568-0.00054616i
-0.0012945-0.00040522i,-0.00082105+0.00029218i,-9.6573e-05+0.00041239i,-0.00018232+0.00029849i,-0.0012878+0.001116i,-0.0013389+0.00088237i,-0.00089045-0.00023355i,-0.00080728-3.9637e-05i,0.00019275+0.00054097i,0.00095855+0.00034837i,0.00065187-6.3718e-05i,0.00045495+3.5421e-05i,0.00046944-0.00013798i,0.00069374-0.00047122i,0.00034261+0.0001257i,-0.00031971+0.00014898i,0.00019517-0.0005254i,0.00046895-0.000825i,0.00019383-0.00095651i,0.00033226-0.00046298i,-0.00035699-0.00041368i,-0.00042742-0.00089458i,0.00032667-0.0011257i
-1.2905e-05+0.00052406i,-0.00050079-0.00011508i,0.0013204-0.0012685i,0.0018961-0.0017158i,0.00018731-0.0018738i,-0.0013091-0.0017434i,-0.0015156-0.00074053i,0.0001105-3.6487e-05i,0.0013525+5.1143e-06i,0.0011082-0.00012669i,0.00044242+0.00019997i,0.00042614+0.00036255i,0.00038144+0.00029059i,-0.00031584-0.00010011i,0.00034769-0.00027094i,0.00071397-0.00023494i,0.00014423+4.8601e-05i,6.6928e-05+9.2376e-05i,0.00022446-4.2221e-05i,-0.00010839-0.00010403i,-0.00028937-0.00092323i,-6.482e-05-0.0010629i,0.00040455-0.00048751i
0.00045078+0.00027979i,0.00055872+0.00025685i,0.00025827+0.00061447i,3.2073e-05+0.0010509i,0.00070484+0.00026556i,0.0011655-0.00012321i,0.00038672-3.3861e-05i,-0.000171+5.0888e-05i,0.00023341+3.2844e-06i,0.00041632+0.00014744i,-0.00018261+0.00054635i,-0.00053077+4.6376e-05i,-0.000385-1.1925e-06i,-0.00022535-0.00021629i,0.00021918-0.00069411i,0.0011297+3.4433e-05i,0.0011672+0.00023094i,0.0010434-0.00047507i,0.00075557-0.00066393i,-5.9725e-05-8.8763e-06i,-0.00010405+0.00042889i,-1.5363e-06-0.00023162i,-0.00073194-0.00033345i
0.00086317+0.0019215i,0.00050716+0.0032525i,0.0013329+0.0023803i,0.0017308+0.00025819i,0.00099999-0.00097286i,-0.00091922-0.0007501i,-0.0018277+0.00027894i,6.8513e-05-0.0001314i,0.0014307-0.00095073i,0.00023494-0.0012228i,-0.00059159-0.0011822i,-0.00028714-0.00012569i,-0.00032298+0.00017678i,-0.00017022-0.00068986i,0.00016792-0.00069558i,0.00048031-4.1495e-06i,0.0003753-0.00014348i,0.00057393-0.00067323i,0.00054713-0.00052564i,0.00032264+0.00013828i,0.00029062+0.00037174i,-0.00046172-0.00011185i,-0.00062273+0.0001341i
-0.0008358+0.0010641i,-0.00010978-0.00015746i,0.001477-0.001466i,0.0019691-0.0015481i,0.0016594-0.0012583i,0.00081198-0.00074903i,-1.5098e-05+0.00049518i,-0.00074324+0.00071643i,0.00016922+0.00059863i,0.0013603+0.0011215i,4.5336e-05+0.00054165i,-0.00024491-0.00060499i,0.00040529+3.434e-05i,7.8456e-05+0.0005113i,-0.0002837-0.00024683i,0.00047482-0.00026149i,0.00081483+0.00075241i,0.00023234+0.0010556i,7.9674e-05+0.00066384i,5.1493e-05+0.00037862i,0.0005439+0.00026824i,0.00074662+0.00049956i,0.00060792+0.00034283i
-0.0010651+0.00068075i,8.2482e-05+3.9681e-05i,0.00018322+0.00050257i,0.0012304+0.0015295i,0.0016726+0.0013315i,0.00054227+0.00039508i,-9.6379e-05-0.00019172i,-0.0003792-0.00014937i,-0.00042191-0.00038038i,0.0010385-0.00067712i,0.0016829-0.00055528i,0.0008732-0.00069765i,-0.00018114-0.00074404i,-0.00060324-0.00050476i,-0.00060279-0.00022474i,-0.0009505-0.00027166i,-0.00049265-0.0004753i,0.00027188-0.00047508i,0.00060515-0.00065962i,0.00071047-0.00056529i,0.00010975-1.9122e-05i,-0.00058374+0.00034775i,-0.00062478+3.2779e-05i
-0.00042691+0.00064756i,-0.00024766+0.00090242i,-0.00092826+0.0011821i,-0.000773+0.00044204i,-0.00097608-0.00043878i,-0.0012343+0.00011341i,-0.00037478+0.00095903i,0.00041104+0.00042026i,0.00073544-0.00053463i,0.00059003-0.00027185i,0.00062403+0.00072025i,0.0011781+0.00023299i,0.0019779-0.00026934i,0.0020367-0.00011516i,0.00050408-0.0006551i,-0.00060371-0.00071442i,4.5879e-05-0.00065654i,0.00045329-0.00017709i,0.00015004+0.00039652i,0.00040141+9.3953e-05i,0.00041361-0.00051127i,-0.00020187-0.00076885i,-0.00046462-0.00073229i
-0.00088732+0.0021263i,-0.00066121+0.002481i,0.00064164+0.001813i,0.0015567+0.0011807i,0.0012464+0.0011104i,0.00078497+7.844e-06i,4.8868e-05-0.00055551i,-0.00019849+0.00014334i,0.00061911+0.00074304i,0.00076145-2.126e-05i,0.00034223-0.00050089i,-0.00033793+0.00018979i,-0.00022961+0.00069648i,-0.00011341+0.00098946i,4.3269e-05+0.00041957i,0.00044045-0.00054318i,6.1351e-05-1.8489e-05i,-5.8497e-05+0.00045669i,0.00034974-0.00022047i,0.00061275-0.00020267i,0.00051743-0.00020419i,0.00018248+2.8946e-06i,-0.00055974+0.00095387i
0.0010574+0.0015843i,0.0011325+0.0027869i,0.00083645+0.0026931i,0.00099374+0.00137i,0.00099375+9.4964e-05i,-0.00012269+0.00013034i,-0.00097815+0.00094793i,-0.00062419+0.001122i,0.00020949+0.00015484i,0.00034501-0.0011016i,-0.00026172-0.00048512i,2.4049e-05+0.00086622i,0.00028475+0.0011606i,0.00019702+0.00040363i,0.00021933+0.00014566i,0.00014247+0.00061011i,0.00016077+0.00049487i,-9.8115e-05+0.00012491i,-0.00048841+0.00046794i,-0.00031873+0.00061485i,0.00068742+0.00022084i,0.00073542+2.3965e-06i,-0.00011495-0.00048958i
-0.00045038-1.2187e-05i,-0.0002088-0.0001491i,0.00012221-0.0007738i,-0.00025062-0.0016804i,-0.00079986-0.001651i,-0.0012338-0.0006984i,-0.0002489-2.431e-05i,0.001001+0.00029136i,0.001303+0.00027293i,0.0011717+0.00011422i,0.00053355-0.00014748i,0.00037159-4.8022e-05i,0.00082506+0.00053981i,0.0012397+0.00080313i,0.0011972+0.0011139i,0.00068524+0.00079419i,0.00055875-0.00023581i,0.00079614-0.00064263i,0.00031499-2.1488e-05i,-6.7423e-05+0.00037481i,-0.00019343+0.00020896i,-0.0002871-6.1543e-07i,-0.0001968-0.00037151i
