-0.00065902+0.00024617i,-0.00048356-0.00087427i,0.00010278-0.00093885i,5.7882e-05-0.0010834i,-0.00056827-0.00061087i,-0.00097007+0.00048206i,-7.8522e-05+0.0010376i,0.00078761+0.0012938i,0.001053+0.0011274i,0.0013132-7.9598e-05i,0.0011249-0.0010809i,0.00053757-0.00076547i,-0.00041693-0.00029732i,-0.00048252-0.00039489i,7.9492e-05-0.000238i,0.0011067+9.1726e-05i,0.001115+1.6954e-05i,0.00032059-0.00015748i,-0.00021461+9.2282e-06i,-0.00035354+0.00026672i,-0.00013444+0.00015973i,1.8098e-05-9.9452e-05i,0.00032952-0.0002647i
-0.0008342-0.0015612i,-0.0015291-0.0017336i,-0.0023365-0.0008922i,-0.0027085+0.00091103i,-0.0016832+0.0019113i,-0.00013192+0.00091173i,0.00015974+0.00038193i,-0.00013025+0.00072984i,-0.00010035+0.00034262i,-0.00045865-0.00046567i,5.0834e-05-0.00018467i,1.9108e-05+0.00069081i,-0.00094076-0.00032263i,-0.0012515-0.00058091i,-0.00087591+0.00048331i,-4.8733e-05+0.00025365i,0.00054277-0.0001579i,0.0003373+2.1974e-05i,-2.927e-05-0.0001918i,-0.00043586-3.2356e-05i,-0.00057805+0.00054159i,-0.0004118+0.00026269i,-0.00029693+0.00028438i
-0.0030534+0.0013094i,-0.0023065+0.00042897i,-0.0026449+0.0009945i,-0.0021495+0.0010588i,-0.00038013+2.171e-06i,0.000868-0.00035733i,0.0007644-0.00031889i,-8.5696e-05-2.0408e-05i,-0.00057987+0.00055289i,4.9823e-06+0.0003867i,0.00016302+0.00046891i,0.00010742+0.0010788i,0.0005145+0.0014548i,0.00080927+0.0015414i,0.0002701+0.00066297i,-0.00059265+1.0019e-05i,-0.0013009-0.00024789i,-0.0011996-0.00038119i,-0.00024648-0.00023105i,0.00028227+0.00019535i,0.00033894+0.00077405i,0.00016308+0.001055i,-0.00033798+0.00055459i
-8.568e-05+0.0015635i,0.0011104+0.0017626i,0.00054609+0.0028079i,0.00068796+0.0026598i,0.0017457+0.0018426i,0.0022785+0.00080461i,0.0014786+0.0002385i,0.00041568-0.00045149i,0.00029351-0.00090383i,0.00037756-0.00064715i,0.00029726-0.00016262i,0.00098733-0.00019687i,0.0017137-0.00020977i,0.0016156+4.6409e-05i,0.0015223+0.0001645i,0.0006463-2.9807e-05i,-0.00028674+0.00030569i,-0.00012026+0.0012107i,3.8257e-05+0.00079263i,0.00051729+9.7073e-05i,0.000818-5.8949e-05i,0.00058534-0.00089699i,0.00013266-0.00089805i
0.00049813-0.00017296i,-0.00027706+0.00015315i,-0.00014408-0.00022538i,0.00076693-0.00050633i,0.00042978-0.00030657i,9.6145e-05-0.0004912i,0.00024512-0.00041396i,-6.853e-05+0.00015301i,-0.00033799-0.00016133i,-0.00038741-0.00074595i,-0.00088458-0.00049411i,-0.001151-0.00010907i,-0.00025377+4.228e-05i,0.00056814-0.0005123i,0.00066958-0.00087003i,-0.00020684-0.000408i,-0.00058401+0.00033368i,-0.0004833+0.00049122i,-0.0005481+0.0006342i,-0.00036236+0.0005253i,-3.1414e-05+0.00012807i,0.00046611-0.00032934i,0.00061481-0.00045775i
-0.00094459-0.001788i,-0.0013679-0.0016905i,-0.0033007-0.0011447i,-0.0035111-9.4921e-05i,-0.001383+0.0012961i,0.00082183+0.0017214i,0.00063397+0.00098109i,-0.00013011+0.00016303i,-9.4432e-05+0.00020288i,-3.3921e-05+0.0010135i,-0.00024846+0.0014206i,-0.00024725+0.00070024i,-0.00098189+6.1893e-06i,-0.00096013-0.00017097i,-0.00055793+0.00078009i,-0.00084034+0.00045168i,-0.00017317-0.0002959i,0.00056055+0.00070779i,0.00046749+0.00096481i,0.00010494+0.0001482i,-0.00022533-0.00053148i,-0.00066504-0.0005462i,-0.0002239-0.00039421i
-0.0018196+0.001226i,-0.001217+0.0020599i,-0.0019338+0.0020631i,-0.0011446+0.0018487i,0.00029211+0.0012974i,0.0010263+0.00026664i,0.00051807+3.5845e-05i,-0.00021446+0.00012229i,0.00030817-1.3577e-06i,0.00050484+0.00048056i,-0.00066005+0.00057365i,-0.00083972+0.00062584i,-0.00059794+0.00083246i,0.00037316+0.00040496i,0.0011162+0.0002195i,0.0004123+0.00025517i,-0.00018942+0.00013223i,-2.6298e-05-5.9121e-05i,-0.00046366+4.917e-05i,-0.0011219+0.0001305i,-0.0005724-0.00062871i,0.00032712-0.0010468i,0.00030933-0.00066175i
3.1825e-05+0.00086196i,-0.00074204+0.0012094i,-0.00089723+0.00039713i,-0.001006-0.00046068i,-0.0015214-0.00026373i,-0.0010516+9.0954e-05i,-0.00036132+0.00065424i,-0.0010478+0.00017784i,-0.00063368-0.00035488i,-0.0001404-0.00057722i,-0.00013652-0.0014858i,0.00015011-0.0010685i,0.00025115+3.6064e-05i,0.00047026-0.00089733i,0.00070638-0.0011987i,0.00058301-0.00024989i,0.0009741+1.1902e-05i,0.00072217-0.0002812i,6.4039e-05+1.8501e-05i,0.0004125+0.00090349i,0.00066869+0.00064136i,0.00027623+0.00054076i,-2.4721e-05+0.00030528i
-0.00015606-0.00075239i,-0.0016668-0.0018238i,-0.0016119-0.001109i,-0.0015086+0.00039352i,-0.00068658+0.00056855i,0.00017883+0.00030082i,-0.00020384-0.00073813i,0.00026206-0.0010158i,9.0048e-05-0.00087602i,-0.00087438-0.0011362i,-0.00059257-0.00047582i,-0.00049955+0.00056051i,-0.0015395-1.1162e-05i,-0.0014981-0.0010576i,-0.00064958-0.00036608i,-0.00019264+0.00065216i,-0.00035166+0.00085839i,-0.00087743+0.00072492i,-0.00077834+0.00030022i,-0.00019975+2.205e-05i,0.00033646-0.00018253i,0.00048354-0.00047371i,0.00064974-0.0013661i
-0.00051432-0.0013417i,-0.0012369-0.0014562i,-0.0018164-0.0014459i,-0.0015928-0.0010413i,-0.00080298-0.00037412i,0.0001789+0.00044061i,0.00016498+0.00073022i,-0.00013713+0.00056663i,-7.2004e-05+8.7942e-05i,0.00017305-0.00043496i,0.00025472-0.0010083i,0.00019538-0.00086132i,-0.00024535-3.3052e-05i,-0.00053624+0.00062258i,-0.00046363+0.0007258i,-0.00065507-0.00031722i,-0.00020343-0.00079346i,0.0003759-0.00046245i,8.3024e-05+0.00028155i,-0.00012111+0.0010507i,0.00020669+0.00072178i,0.00019759+0.00027371i,6.5504e-05-0.00016974i
-0.00084673+0.00022937i,-0.0013747-0.0007231i,-0.0024966-0.0006115i,-0.0023731+0.00012713i,-0.0014331+0.00089994i,0.00011843+0.00053243i,0.0006368-0.00031952i,0.00041993+0.00013991i,0.00079612+0.00024613i,0.00079124+0.00074593i,0.0011744+0.0012497i,0.00081076+0.0010159i,-0.00071287+6.7117e-05i,-0.0011511-0.00074113i,-0.00014341-0.00061409i,0.00021411+0.00058693i,-0.00042091+0.0010144i,-0.00079652-7.5057e-05i,-0.00018697-9.3709e-05i,-0.00023255+0.00078102i,-0.00062358+0.00038845i,-0.00036174-0.00024371i,-8.9738e-05-4.6789e-05i
-0.0021668+8.8216e-05i,-0.0020155+0.00062595i,-0.0027097+0.00037231i,-0.002441+0.00083969i,-0.0012719+0.00082291i,0.00025659-0.00021407i,0.00015393-0.00011831i,-0.00031064+0.00036811i,-0.00027269+0.00039129i,-0.0004603+0.00071672i,1.7432e-05+0.00061749i,0.0011465-0.00039125i,0.00073596+0.00025977i,-0.000284+0.0012667i,-5.3769e-05+0.00082098i,0.00017693+0.00019159i,0.00021188-0.0002984i,5.0736e-05-0.00068383i,0.00021102-0.0007662i,0.0010538-0.001169i,0.00085375-0.00081907i,-0.00013903+0.00016926i,-0.0002827+0.00047235i
0.0014484+2.3827e-05i,0.00063098+0.0004342i,0.0009741+0.00098615i,0.00071423+0.00059498i,0.00050147-0.00032688i,0.00025635-0.00039687i,-0.00050426-0.00032162i,-0.00037835-9.1535e-05i,1.2845e-05+8.2463e-05i,-3.1655e-05+4.2893e-05i,-0.00029963-0.00011584i,-0.00031006-0.00059317i,-1.4574e-05-0.0014215i,0.00024213-0.0010886i,0.00018319-0.00026934i,-0.00016648-0.00026596i,5.6031e-05-0.00046179i,1.3569e-05-0.00013475i,-0.00017851+0.00083257i,0.00020877+0.00096139i,0.000589-8.555e-05i,5.1627e-05-0.00079876i,-3.0001e-05-0.00077229i
0.0020423-0.0011598i,0.0023923-0.0010323i,0.0015501-0.00078199i,0.00039771+0.0005019i,7.3384e-05+0.0013673i,0.0005647+0.0010596i,0.00032733+0.00031311i,0.00021913-0.00058655i,0.0003316-0.0010474i,0.00017138-0.00082527i,-0.00016433-0.0011575i,-0.00049494-0.0018049i,-0.00070837-0.0019006i,-0.00026715-0.00083879i,0.00017544+0.00022302i,0.00023533+1.2729e-05i,-6.3749e-05-0.00019801i,-0.00051649+0.00018813i,-0.000707+0.00022642i,-0.00043055+0.00033462i,0.0001169-9.1767e-05i,0.0006482-0.00072395i,0.00090031-0.00046033i
7.9731e-05+0.00061839i,0.00029816+0.0012507i,0.0004208+0.0031641i,-0.00032177+0.0026267i,0.00040592+0.00022479i,0.00097646-0.00078071i,-0.00013101-0.0010889i,-0.00051027-0.00062253i,-0.00017339-0.00038821i,-0.00016847-0.00088295i,-0.00062211-0.00044993i,-0.00056157-0.00032557i,-9.4719e-05-0.00045364i,0.00093717-0.00042275i,0.0014567-0.00035063i,0.0010332+3.9815e-05i,0.0002984+0.00078376i,-0.00036382+0.00029104i,-0.00077909-0.00062678i,-0.00064624-0.00070047i,-0.00022986-0.00051359i,-8.2605e-05+0.00027408i,0.00010873+0.00043148i
0.00028738-0.0031366i,0.00066422-0.0031478i,-0.00042264-0.0043578i,-0.0011116-0.0042933i,-0.00059413-0.0017963i,-0.0006304-0.00015452i,-0.00036987+0.00070342i,0.00023545+0.0016851i,-5.6445e-05+0.00097588i,-0.00076955-0.00012526i,-0.00073028+0.00038135i,-0.00020184+0.00016627i,-0.0003682-0.00045566i,-0.0008651-0.00051122i,-0.00039971-0.00067131i,5.7272e-05-0.00015717i,-0.00053654+0.0010822i,-0.00068692+0.00089747i,-0.00022526-1.1222e-05i,-2.3217e-05-0.0001376i,-0.00022287-0.00023905i,0.0003491-0.00032282i,0.00043298-0.00038523i
-0.0023136-0.00075871i,-0.0023428+0.00019866i,-0.0026146+0.00039945i,-0.0015988+0.0010274i,-3.0492e-05+0.0014549i,0.0011747+0.0011875i,0.0014258+0.0010547i,0.00090224+0.00095302i,0.0007494+0.00024022i,0.00060871-0.00032074i,0.00065526-2.4879e-05i,0.00038774+0.00040199i,0.00023509+0.00068563i,-2.4222e-05+0.0010295i,3.7028e-05+0.0011428i,0.000351+0.0012786i,0.00054084+0.00087482i,0.00047485+0.00039106i,3.7845e-05+0.00041416i,-0.0004678+0.00025009i,-0.00068191-0.00010052i,-0.00011329+0.00042905i,-0.00012279+8.5778e-05i
-0.0014752-3.7479e-05i,-0.0010612-0.0009304i,-0.00085248-0.0006625i,-0.00063706+0.00047938i,9.0209e-05+0.0010742i,0.00030751+0.0010442i,-0.00012034+0.00075759i,-0.00032212-0.0002452i,-6.2194e-05-0.0012139i,0.00041459-0.0011189i,0.00090103-0.00044419i,0.00026488+0.00015567i,-0.00040813+0.0001852i,-0.00036397-0.00061059i,-0.00048551-0.00028576i,-0.00013315-0.00013907i,0.00016585+7.4586e-06i,-0.00037274+0.00030075i,-0.00087318+0.00035555i,-0.0004618+0.00041378i,0.00049744-2.1245e-05i,0.0003262-0.00049522i,2.4183e-06-0.0009218i
-0.0018903-0.0013195i,-0.0023601-0.0020507i,-0.0026488-0.0017968i,-0.0023247-0.00081337i,-0.0015359+0.0003327i,0.00026982+0.00093703i,0.00035451-9.2307e-06i,-0.00071266-0.0008683i,-0.00040784-0.00018823i,-0.00051015+0.00042086i,-0.00054901-6.9065e-05i,-1.096e-05-0.00011231i,0.00049734+3.2876e-05i,0.00099977+0.00044568i,0.00081353+0.0011348i,0.00036724+0.00090262i,0.00012244-2.2025e-05i,0.00045567-0.00037816i,0.00052348+0.00043437i,5.356e-05+0.0010043i,-0.00030543+0.00080712i,0.00013251+0.0003791i,0.00035341-1.9891e-05i
0.00033209+0.0012619i,0.0015989+0.00086933i,0.0011701+0.00059846i,-7.8513e-06+0.00029802i,-0.00024881+0.00026212i,-0.00031765-0.00011896i,-0.00069766-0.00023336i,-0.00056101+0.00021751i,-9.3991e-05+0.00058233i,-0.0005216-4.9906e-05i,-4.6182e-05-0.00060686i,0.00070277-0.00014674i,0.00032645+0.00055649i,-0.00037111+0.00058193i,-0.00023078+3.626e-05i,0.00018385-0.0002635i,-0.00012156+7.2146e-05i,-0.00065675+0.00038476i,-0.0011542+0.0004028i,-0.00086891-0.000238i,-0.00059426-0.0011011i,-0.00032568-0.00068306i,-9.1696e-05+0.00052909i
-0.0015071+2.0114e-05i,-0.0020794-0.00029364i,-0.0015596+0.00014365i,-0.00053392+0.0010135i,0.00032434+0.0007731i,0.0014145+0.00047601i,0.0014464+0.00029922i,0.00057771+0.00029517i,-0.00015907+0.00098487i,-0.00015285+0.00099517i,2.8477e-05-0.00027729i,-0.00017796-0.00024011i,2.0747e-05+0.00027287i,0.00049123-3.2651e-05i,0.00022676+0.00036567i,0.00030987+0.00065165i,0.00021435+0.00053368i,0.00013128+0.00071594i,0.00019103+0.00084988i,-2.8856e-05+0.00049494i,-0.00031728+9.391e-05i,-0.00049575+0.00026616i,-7.5553e-05-1.2221e-06i
-0.0015657-0.00075367i,-0.0020124-0.00026904i,-0.0021583+0.00026289i,-0.00081954+0.0008066i,-0.00024552+0.000614i,-5.7687e-05-3.1988e-05i,-0.00035015-0.0005221i,-0.00054696-0.000114i,-0.00068843+0.00058374i,-0.00039077-6.833e-05i,-0.00037193+5.4376e-05i,-0.00058616+0.00035947i,-0.00023929+7.9153e-05i,-0.00030039+0.00027829i,-0.00020965-1.7868e-05i,0.00033045-0.00011029i,0.00046785-0.00010623i,-0.00011335-0.00019267i,-0.00098325-0.00038629i,-0.0010188-6.3985e-05i,-0.00081961+0.00021899i,-6.6244e-05-0.00019359i,0.0010135-0.0001199i
-0.0021465+0.00039887i,-0.00096397-1.0172e-05i,-0.0013355+0.0013574i,-0.0020166+0.0015766i,-0.00059044+0.0013637i,0.00037861+0.0016317i,-7.0162e-05+0.00089115i,-0.00063443+0.00035196i,-0.00027007+1.5739e-05i,-0.00013786-0.00041612i,-0.00029474+0.0002106i,5.5849e-05-4.9656e-05i,0.00037759-0.00026234i,0.00035077+0.00061741i,0.00057569+0.00097121i,0.00073645+0.00044089i,0.00041874+2.3103e-05i,0.00038118+0.00026971i,0.00057363+0.00068536i,0.000813+0.00014321i,0.00042975+0.00023366i,-0.00017826+0.00046582i,-0.00067466+0.0001583i
0.00019416+0.00021733i,-0.00026626+0.00077553i,0.00030691+0.00051098i,0.00082488-0.00016612i,0.00032821-0.00046299i,8.0607e-05-0.00070877i,0.00038073-0.0015644i,0.00068587-0.001306i,0.00032501-0.00029622i,-0.00024915-0.00041662i,-0.00052839-0.00069696i,-0.00050354+9.376e-05i,-0.00055309+0.00026225i,0.00035285+0.00022232i,0.0012609+0.0002334i,0.00023168+0.00028759i,-0.00083334-2.19e-06i,-0.00082127+6.9627e-05i,-1.8453e-05+0.00031268i,0.0011614-0.00030278i,0.0012217-0.00058227i,0.00033543-0.00014967i,-6.0002e-05+8.1495e-05i
0.00084277-0.00084061i,0.00015291-0.0013315i,-0.00090872-0.0015567i,-0.0016391-0.001252i,-0.0015203+0.00011654i,-7.978e-05+0.00089623i,0.00067993+0.00055523i,0.00089034+0.00031979i,0.00090274-0.00021222i,0.00078002-0.00024219i,0.00074526-0.00011845i,-2.6691e-05-0.000421i,-0.00064542-0.0010733i,-0.00065029-0.0013212i,-3.9165e-05-0.0006761i,-9.599e-05-0.00014928i,-0.00074824+0.00013082i,-9.0244e-05+0.00047464i,-0.00040125+0.00020462i,-0.0011163-0.00048367i,-0.001251-0.0005491i,-0.0016711-9.2726e-05i,-0.00077676-0.00023426i
-0.00039235-0.00019341i,-0.00032764+0.00066719i,-0.0011611+0.0021265i,-0.0013766+0.0023519i,-0.00035086+0.0011536i,0.001232+0.00016408i,0.0013041-0.00011469i,0.0004296+0.0003906i,-0.00032408+0.0011436i,-8.6654e-05+0.0010986i,0.00016364+0.00091548i,-0.00033016+0.00097163i,3.7787e-05+0.00046785i,0.00031123+0.00026316i,0.00060858+0.00105i,0.000368+0.0013746i,0.00017068+0.00070486i,0.00038675+0.00023086i,0.0001365+5.9316e-05i,0.00039892-0.00039931i,0.00019087-5.7945e-05i,-0.00019398+3.4535e-05i,0.00023961-0.0001971i
