-0.0025002+0.00259i,-0.0033279+0.0020477i,-0.0028348+0.0014253i,-0.00087372-2.2254e-05i,-0.0002618-0.00075325i,0.00014573-4.8074e-06i,0.0006928+8.7589e-05i,0.00080488-9.6406e-05i,0.00082022-0.00039483i,0.0010335-0.001025i,0.0010655-0.00056662i,0.00078544-0.00013821i,0.00029918+0.00010385i,0.00026673+0.00061567i,-0.00023439+0.0004438i,-0.00038286-0.00047651i,-0.00035277-0.00042058i,-0.00094703+2.9161e-05i,-0.0011382+0.0004929i,-0.0007768+0.00012784i,-0.00042492-0.00025354i,-0.00086885+4.9107e-05i,-0.00070358+0.00033169i
0.0014359+0.0011963i,0.00063055+0.00064644i,0.001863+0.00060746i,0.0024398+0.00036111i,0.0016545-0.0015987i,0.00078297-0.0020251i,0.00039199-0.0012958i,0.00071704-0.0010969i,0.00090428-0.00067489i,5.35e-05-4.4315e-05i,-0.00046807+0.000265i,-0.00013531-1.0905e-05i,-2.4916e-05-0.00043828i,0.00028659-0.00099243i,-0.00025536-0.00099084i,-0.0010763-0.00061012i,-0.00037047-0.0005233i,0.00051939-0.00044141i,0.00019515-7.5509e-05i,-8.4246e-05-1.5243e-05i,8.7015e-06-0.00038606i,2.5928e-05-8.2089e-05i,0.00020186+0.00042097i
0.0051611+0.0005726i,0.0046282-0.00063088i,0.0045062-0.0011517i,0.0022989-0.0016572i,-0.00053273-0.0024287i,-0.00086479-0.0020656i,0.00043298-0.0010488i,0.0010504-0.00047586i,0.0003518-0.00061508i,0.0001887-0.00080232i,-1.9469e-05-0.00039704i,-0.0001011-0.00055861i,0.00014707-0.00067304i,-0.00045492-0.00026843i,-0.00035138-0.00011183i,0.00059416-0.00074442i,0.00090169-0.0013046i,0.00027488-0.0010153i,-0.00011464-0.00046645i,0.00033098-0.00073507i,0.00026017-0.0010621i,0.0001255-0.00069457i,0.00036618-0.00024934i
-0.00027452+0.0017972i,-8.8937e-05+0.0024603i,0.00105+0.0025064i,0.00012966+0.0012672i,-0.00050783-0.00017992i,0.00018296-0.00068365i,0.00055053-0.00032415i,1.1425e-05-0.00028652i,2.9904e-05-0.00047471i,0.00080586-0.00031581i,0.000891-0.00017181i,0.00013274-9.6752e-05i,-0.00025938+7.8661e-06i,-0.00014865-0.00011849i,-0.00028057-0.0006292i,-0.00070942-0.0012136i,-0.00029584-0.0011753i,-0.00023077-0.00024072i,-0.00024295-5.1841e-06i,5.3867e-05-0.00045136i,0.00072452-0.00054347i,0.00085337-0.00040587i,-0.00046936+0.00015392i
-0.00038457-0.0010579i,-0.00014217-6.5549e-05i,0.0004591+0.00055281i,0.00076267+0.00043878i,0.00053099-0.0007256i,0.0013851-0.0019168i,0.0017612-0.0017611i,0.00070114-0.001147i,-0.00034131-0.0010789i,-0.00094676-0.00043478i,-0.0010096+0.00070797i,-0.00014792+0.00095717i,-0.00010651+0.00064378i,-0.00045758+0.00039186i,-0.00017262-0.00036404i,8.4785e-05-0.00060409i,0.00043138-0.00081143i,0.0005578-0.00093i,0.00034481-0.00043468i,0.00014886+1.7457e-06i,-4.0423e-05+1.7958e-05i,0.00037555-0.00030377i,0.001081-0.00079193i
-0.00022684+0.00073081i,0.00027904+0.00023264i,0.0011435-3.4588e-06i,0.0012222-0.00051502i,0.00061577-0.0013539i,0.00042614-0.0016962i,0.00055011-0.00097976i,0.00035345-0.00028784i,-0.00038766-0.00015072i,-0.0011666+0.00050192i,-0.00088409+0.00011049i,-0.00082156-0.00037632i,-0.00087342-0.00030361i,-0.00011356-0.00040267i,0.00085091-0.00032916i,0.0010378-0.00053791i,0.00031346-0.00082787i,-0.00058574-0.0003066i,-0.00056874-0.00022475i,-0.00023445-9.0521e-05i,-0.00045593+0.00046317i,-0.00019166+0.000265i,-0.00045243-0.00036908i
-0.0020483+0.0008452i,-0.0028031+0.0012849i,-0.0023377+0.001233i,-0.001561+0.00025402i,-0.00030186-0.00029972i,0.0007814-0.00018506i,0.00079908-0.00028503i,-0.00049621-0.00072006i,-0.0018377+4.9042e-05i,-0.0015702+0.0013957i,-0.00075331+0.0019951i,-0.00040245+0.00088149i,-0.00032972-0.00014467i,-0.00010294-4.1292e-05i,6.9176e-05+0.00053901i,-0.00023144+0.00064554i,-0.00032961-0.00019446i,1.618e-05-0.0010353i,0.0004498-0.0010638i,0.00061321-0.00016929i,0.00039006+0.00067015i,-3.9811e-05+0.00028293i,-0.00056347-6.0353e-05i
0.00046333-5.0399e-05i,0.0012198+0.00038541i,0.00086497+0.00025556i,0.00039641-0.00076316i,0.00088196-0.0012578i,0.00021561-0.0013382i,-0.00048472-0.00071294i,-0.00071044-0.000399i,-0.00082833-0.00051809i,-0.00027578-3.3088e-05i,0.0003517+0.00028406i,0.00047095+0.00033911i,0.00030474+0.00017954i,-0.00067456-0.00061199i,-0.00079454-0.00075464i,-0.00037158-0.00021046i,-0.00029826-0.00015496i,-0.00028295-1.6754e-05i,0.00016338+0.00056696i,0.00089057+0.00029611i,0.00093741-0.00033513i,0.00020002-0.00050026i,-0.00076834-0.0005397i
-0.00043753+0.0013415i,-0.00056783+0.0025485i,-0.00092364+0.002259i,-0.00086025+0.0013883i,-0.00092875+0.00078706i,-0.00083055+0.00057997i,0.00032193-0.00015199i,0.0012992-0.00082457i,0.00069192-0.00080097i,-0.0008494-0.00032331i,-0.0010892+0.00017471i,-0.0012446+0.00042625i,-0.001126+0.00062194i,-4.91e-05+0.00058804i,8.7677e-05+0.00058248i,-0.00054605+0.00071971i,-0.00036042+0.0003996i,0.00031652+0.00013686i,0.00042367-1.1496e-05i,0.00024946-0.00064011i,-7.3426e-06-0.00086724i,0.0003714+0.00020504i,0.00090086+0.00040484i
0.00010971-1.9534e-06i,-0.00017914-0.00078031i,0.00083904-0.0013059i,0.00082585-0.0016858i,0.0004778-0.0018858i,0.00012206-0.0020022i,0.00054779-0.0012573i,0.00015962-0.00080583i,-0.00095813-0.0011801i,-0.00096081-0.0010347i,-0.0013983-0.0009597i,-0.0014693-0.00080456i,-0.00044887-0.0004304i,-0.00058883-0.00023948i,-0.00079744-0.00049186i,-0.00053013-0.00067395i,-0.00054559-0.0002441i,-0.00031795-0.00022067i,-0.00084124-0.0001688i,-0.00091832+0.00037602i,-0.00026246+0.00027368i,0.00033384+0.00024042i,0.00026741+0.00030841i
-0.00032496+0.0013589i,-0.00089432+0.0018283i,-0.00065238+0.0019854i,-0.0010191+0.0016378i,-0.0008823+0.0012766i,0.00058277+0.00057865i,0.0012542+0.00042148i,0.0014091+0.0004346i,0.00099972+0.0002698i,1.7683e-05+0.00035782i,-0.00056933-8.5363e-05i,-0.00027196-0.00075488i,0.00046923-0.00062885i,0.0012822+9.0193e-05i,0.0013071+0.00044202i,0.00061875+0.00022985i,-0.00010497-9.3274e-05i,0.00022583+6.6763e-05i,0.0013593+0.000317i,0.0012516-0.00025912i,0.00013206-0.00098082i,-0.00041204-0.00078316i,-0.00016895+0.00025034i
-0.001722+0.0017719i,-0.0010824+0.0009877i,0.00020961-0.0002437i,0.0012049-0.001236i,0.0016711-0.0018034i,0.0017948-0.0016203i,0.0019508-0.001162i,0.0011929-0.00073819i,0.00022532-0.0012501i,-5.0214e-05-0.0012683i,0.00010153-0.00068343i,0.00039301-0.00031437i,0.00059972+8.2086e-05i,0.00048666+0.00034792i,-8.8642e-05-0.0001018i,-0.00074182-0.00040281i,-0.00083733-1.6843e-05i,-0.00094427-0.00075661i,-0.00027724-0.0014313i,0.00074082-0.00095272i,0.00033502-0.00037972i,0.00015523+0.00042085i,9.6252e-05+0.0010825i
-0.0023279-0.001073i,-0.0024273+0.00040764i,-0.0024622+0.0010655i,-0.0013853+0.00084649i,-0.000342-2.0744e-05i,0.00084426-0.00099509i,0.0006636-0.00097994i,-0.00025229-0.00073048i,0.00019525-0.00059667i,-0.00040336+0.00082178i,-0.0011752+0.0013729i,-0.00035141+0.00057888i,-0.00061501+0.00025721i,-0.0003183-0.00010508i,0.00039458+0.00010644i,0.00013305-0.00018555i,0.00035296-0.00058793i,0.00022876+0.00022968i,-4.5804e-05+0.00063384i,0.00040669+0.0004792i,0.0003197+0.0001853i,-0.00028033+0.00019879i,0.00038502+0.00028992i
0.0012666+0.0009495i,0.0021364+0.00069771i,0.0024098-0.00038019i,0.0014023-0.0013572i,-0.00054315-0.0017105i,-0.0010349-0.0012384i,-0.00020146-0.00080952i,0.00060735-0.00036538i,-5.9192e-05-9.0923e-06i,-0.0009966-0.00013109i,-0.00037012-0.00031635i,0.00034129-0.00029378i,9.1357e-06+4.4514e-05i,0.00027004+3.0292e-05i,0.00049547-0.00013617i,0.00037524-6.9793e-05i,0.0004219-0.00014904i,0.00020621+1.2222e-05i,0.00010184+0.00049465i,0.00052455+0.00043423i,0.00061377+0.00046913i,0.00038049+0.00036532i,-7.6666e-05-0.00023086i
-0.0012996-0.00018413i,-0.0023289-0.00051869i,-0.0017391-0.00068257i,-0.00059198-0.00035409i,4.6982e-05-0.00030099i,0.00034137+0.00020325i,0.00011947+0.00054233i,-0.00030486-0.00011243i,-6.8812e-05-0.00058746i,0.00043868-0.00030788i,2.8328e-05+0.00090153i,-0.00013349+0.0012444i,-0.00029576+0.00077933i,-0.00034659+0.00022119i,0.00022462-0.00060692i,0.00017174-0.0016281i,7.678e-06-0.0010069i,-0.00049565-0.00049295i,-0.00071384-0.0010771i,0.00016187-0.00044043i,4.8843e-05+0.00061526i,-0.00018086+0.00049722i,-9.3606e-05+6.7485e-05i
0.00048686-0.00041141i,0.00011666-0.00087893i,-0.00063198-0.00064326i,-0.00034578-0.0015194i,0.00011525-0.0021639i,0.00032858-0.0013063i,0.00124-0.00066882i,0.0022286-0.00060495i,0.0012329-0.00050169i,0.00050993-0.0005185i,0.00079883-0.0010982i,0.00042814-0.00043337i,-2.1803e-05+0.00039221i,0.00027834+0.0004363i,0.00072407+0.00017376i,0.0012328-0.00011649i,0.00082966+0.00030862i,5.9114e-06+0.00030882i,-0.00051314-0.00035704i,-0.00037473-7.7215e-05i,5.4294e-05+0.00093747i,0.00022825+0.0012274i,0.00025686+0.0012914i
0.00077435-0.00075697i,0.00055355+9.8956e-05i,0.0011821+0.00092457i,0.00055444-1.9208e-06i,0.00025917-0.00086217i,-6.3115e-05-0.0015542i,0.0002854-0.0022129i,0.00014084-0.0020473i,-0.00077295-0.0013673i,-0.00098842-0.00047138i,-0.00074596+2.2328e-05i,-0.00042647+0.00018274i,-0.00068424-0.00015914i,-0.0008956-0.00069271i,-0.00039841-0.00035548i,0.00016316-0.00011617i,-0.00034887-0.00076081i,-0.0012749-0.0010125i,-0.0010319-0.00066848i,-2.595e-05-0.00026198i,0.00022445-0.00044434i,3.3884e-05-0.00070812i,-0.00016197-0.00054756i
0.00019451+0.0014118i,-0.00013125+0.0013626i,0.00058861+0.00093882i,0.00088587+7.3633e-06i,7.0442e-05+8.5898e-05i,-0.00029385-1.5022e-05i,0.00025886+1.5965e-05i,0.00066617+0.00030727i,0.00038938+0.00039079i,0.00033465+0.00035669i,0.00061937+0.0005617i,0.00060564+0.0012769i,0.00098193+0.0014667i,0.00081878+6.2374e-05i,0.00011964-0.00039807i,0.00017604-0.00013177i,-3.9234e-05-0.00060779i,-0.00049924-0.00077613i,-0.00058606-0.0006156i,-0.00068681-0.00043858i,-0.00087207-0.0010372i,-0.0011651-0.00072301i,-0.00064996+0.00035913i
0.0013441+0.00017053i,0.0020071+0.0012608i,0.0023912+0.0011577i,0.0021946+0.00096971i,0.0013498+0.00011124i,0.0014654-0.00063649i,0.0013235-0.00014327i,0.00029987+0.00033841i,-0.00077764+8.3826e-05i,-0.00073297-6.4417e-05i,0.00011987-0.00056922i,0.00020466-0.0012402i,-0.00039958-0.00081481i,-0.00047684-0.00016597i,-0.00048474+2.5732e-05i,-5.0208e-05-4.9978e-05i,0.0003606+7.0585e-05i,0.00051255+0.00037592i,0.00018709-0.00011014i,-0.00012295-0.00083647i,-3.4233e-05-0.00034524i,0.00057933-0.00013726i,0.00046439-1.3663e-05i
0.00010346+0.00053877i,0.0010567+0.00038162i,0.00056421+4.5212e-05i,-0.00031887-0.00054361i,6.69e-05-0.0021487i,0.00010227-0.0027269i,0.00027821-0.0015885i,0.0003484-0.00075891i,-4.1369e-06-0.00057976i,0.00012173-0.00067978i,0.00010961-0.00057856i,-0.00033385-9.2946e-05i,-0.00016278-7.603e-05i,-8.9701e-05-0.00038552i,6.5572e-05-0.00013587i,-7.492e-05+0.00015327i,-0.00056046+0.00010463i,-0.0010118-0.00020727i,-0.0011851-0.00015891i,-0.0010116+0.00027714i,-4.1139e-05+0.00095745i,0.00080471+0.00080288i,0.00069878-4.4133e-05i
-0.00020984-0.0016295i,-0.00073025-0.00089918i,0.00047395-0.00076176i,0.0010199-0.00036827i,-0.00058604-0.0004443i,-0.0014059-0.00084142i,-0.00058154-0.00096889i,-0.00035367-0.0012603i,-0.00014729-0.0011906i,0.00028055-0.00037625i,0.00069006+0.00040734i,0.00047776+0.00095998i,-0.0004121+0.00060732i,-0.0003023-0.00021552i,0.00020796-7.2671e-05i,-0.00021276-0.0009116i,6.66e-05-0.00092702i,0.00042157-0.00036911i,0.0011344+0.00035452i,0.0014278+0.00048881i,0.00099823+0.00035952i,-0.00010888+0.00013035i,-0.00066074-0.00057841i
0.0022391+0.00046281i,0.0020522+2.174e-05i,0.0019731+0.00040036i,0.0011881-0.00049184i,0.00055108-0.0011442i,5.3055e-05-0.00027867i,-8.9533e-05-0.00013545i,0.00067277-0.00076848i,0.00064963-0.00053954i,-0.00033939-0.00048452i,-0.00054315-0.00093785i,-0.00044234-0.00080411i,0.00023775+4.4375e-05i,-4.8985e-05+0.00029974i,-0.0005421+0.00059336i,-0.00027175+5.556e-05i,0.00010427-0.00052783i,0.00038382-0.00035826i,0.00017073-0.00023752i,0.00061983-0.00042162i,0.00050129-0.00083133i,0.00035743-0.00041402i,0.00024697-0.00026936i
-0.0003489-0.00053378i,-0.00065299+0.00032354i,-0.001894+0.00069258i,-0.00076605-0.00011541i,0.00070516-0.00099864i,0.0014635-0.0010884i,0.0017872-0.00098389i,0.0016985-0.0012889i,0.00070691-0.0014431i,-0.00094054-0.00024155i,-0.00074511+0.00041254i,8.8056e-05-9.1917e-05i,0.00021083-0.00014088i,0.00013564+0.0003196i,-0.00021249+0.00068405i,4.963e-05+0.00014137i,0.00014443-0.00054331i,-0.00033888-0.00055594i,0.00027778+6.4503e-05i,0.00071575+0.00019594i,0.00020745-0.00029959i,0.00031735+0.00022019i,0.00025054+0.00065854i
-0.0031413-0.0011089i,-0.0025172-0.0017678i,-0.0031065-0.0022018i,-0.0026992-0.0019823i,-0.0015955-0.0011992i,-0.00059445-0.0003861i,5.0917e-05-0.0012165i,0.00087271-0.0012009i,0.00019348-0.00057739i,-0.00075381-0.0004487i,-0.00050595+0.00015176i,6.3194e-05+0.00042072i,0.00041591+0.00013497i,-9.1308e-05+0.00051478i,-0.00022771+0.00087199i,0.00027583-2.2757e-05i,1.9853e-05-0.00027946i,-0.00028357-0.0003592i,0.00011516-0.00025933i,0.00019555-0.00039164i,0.00018151-0.00045468i,0.00018743+9.0342e-05i,0.00036772+0.00042774i
-0.0013706+0.00070628i,-0.00084603+0.00086722i,0.0002997+0.00085745i,0.0013955+0.0010947i,0.0018316+0.00039548i,0.0012606-0.00072588i,0.00075696-0.0011768i,0.00030525-0.0018813i,-0.00085627-0.0018313i,-0.00081684-0.0015685i,-0.00024985-0.0015223i,-0.00041874-0.00088345i,-0.00055668+9.3361e-06i,-9.977e-05-0.00010572i,9.4768e-05-0.0012888i,-0.00032934-0.0012043i,-0.00014333-0.00055207i,-0.00019366-0.00044326i,-5.703e-05+0.00026502i,5.4644e-05+0.00089541i,0.00026569+0.00036968i,0.00022867-0.00045158i,-9.6983e-05-0.00034369i
0.0018172+0.00069643i,0.0024106+0.001118i,0.0021291+0.0018758i,0.0013343+0.00060536i,0.00052916-0.0014501i,9.6309e-05-0.0018144i,0.00071198-0.0016255i,0.0013593-0.0016407i,0.00052573-0.0010838i,-0.00075538-0.00014144i,-0.0012956-0.00034712i,-0.00072463-0.00082772i,-4.9894e-05-0.001257i,-0.00010518-0.0013473i,3.0655e-06+1.2249e-05i,0.000345+0.00054691i,0.00063307+0.00019627i,0.0004263+0.0001466i,0.00013852+0.00022338i,0.00016237+9.7232e-06i,0.00043239+2.9309e-05i,4.059e-05+0.00029662i,-0.0006595+0.00045023i
0.0010538+5.1073e-05i,0.00031539+0.00037508i,0.00057609+0.00012856i,0.00080866-5.5894e-05i,2.8237e-05-0.0007131i,-0.000686-0.0008681i,0.00017344-0.00028611i,0.00096088+0.00017074i,0.00026707+0.00013947i,-0.00065007-0.00047706i,-0.00071025-0.0010723i,-0.00017017-0.0012041i,-5.0814e-05-0.00066291i,-0.0003997-0.00064748i,0.00059861-0.00058151i,0.000982-0.0001493i,0.00023473+0.00010811i,-0.00024808+0.00020988i,-0.00023153+0.00032767i,-0.00011344+0.0003654i,1.7991e-05+0.00020728i,0.0004916+0.00039825i,0.00053692+0.00017162i
-0.00077711-0.00099467i,-0.00038132-0.00038189i,-0.00071405-0.001001i,-0.0013423-0.0020953i,-0.00071467-0.0018675i,-0.00023521-0.0015685i,0.00067042-0.001062i,0.0011242-0.00057434i,-3.3671e-05-0.0005648i,-0.001279-0.00022922i,-0.0011663+0.0003879i,-0.00033898+0.00078341i,-0.0006252+0.00024298i,-0.00053004-0.00053001i,-5.8756e-05-0.00080447i,0.00042225-0.00067049i,0.00094285-0.00014285i,0.00028124-0.00019691i,0.00012339-0.00024824i,0.00037115-1.6109e-05i,3.4949e-05-0.00026601i,-0.00021094+0.00014321i,-0.00035245+0.00072744i
0.0015724+0.0012911i,0.0031197+0.0015796i,0.0035153+0.0015873i,0.0027977+0.0012595i,0.002097+0.00017807i,0.00072744-0.00034045i,-0.00020863-0.0002514i,0.0001294-4.8347e-05i,-4.0481e-05-0.00044833i,-0.00014351-0.001009i,-0.00025062-0.00086523i,-0.001158-0.0005349i,-0.00088365-0.00065296i,-0.00020324-0.0011426i,0.00020071-0.00098879i,0.00029968-0.00033128i,0.00049344-0.00014353i,0.00064245+0.00058384i,0.00031299+0.00096422i,-0.00037547+0.00058596i,-0.00065556+0.00072159i,-0.00080606-0.00011245i,-0.00066085-0.00064935i
-0.0014354-0.0032733i,-0.0013962-0.0041322i,-0.0021728-0.0024454i,-0.0016878-0.00040743i,-0.00054397+1.0729e-05i,0.00028489+0.0008043i,0.00097149+0.00036698i,0.00101-0.0007521i,0.00031918-0.00091339i,-0.00074882-0.00049888i,-0.001064-0.00042825i,-0.00077527+0.00028229i,-0.00079044+0.0013242i,-0.0011009+0.00024756i,-0.0011427-0.0011016i,-0.0010473-0.00084734i,-0.0012176-0.00017978i,-0.00085912-0.00073473i,-2.5159e-05-0.0010679i,9.5322e-05-6.6776e-06i,-0.00024002+0.00050132i,0.00022689+3.1724e-05i,0.001001-0.00045191i
-0.0010866-0.0016839i,-0.0010182-0.001072i,-0.00090754-0.0007391i,-0.00025796-0.00048941i,-0.00026357-0.00057256i,-2.13e-05-0.0009168i,0.00090763-0.00060951i,0.001139-0.0002283i,0.0005697-0.00020427i,-0.00049813-0.00033575i,-0.00074279-0.00041321i,-0.00071503-0.00067473i,-0.00069442-0.00076099i,-0.00073706-0.00024322i,-0.00037677-0.00027922i,0.00038502-0.00034554i,0.00073257-0.0001893i,0.00019942-0.00057252i,-0.00069983-0.0013066i,-0.00041183-0.0012883i,0.0005988-0.00049911i,0.00037667+0.00030244i,-0.00078817+0.00035474i
-0.00025031+0.00082907i,0.00024215+0.00019755i,-0.00017036+0.0011325i,-0.00010619+0.00080406i,0.00080281-0.00077458i,0.00079411-0.00068006i,0.00071613-0.00061002i,0.0012143-0.00087221i,0.00062016-0.0006794i,0.00032345-0.00048537i,0.00084769-0.00015381i,0.00054855-0.00014809i,3.5678e-05-0.0015252i,-0.0002553-0.0020607i,6.4106e-05-0.0012174i,0.00041229-0.00019455i,3.6306e-05+0.00020777i,-0.00028972-0.00030686i,0.00017984-0.0010516i,0.00011916-0.00076979i,-0.00020408-0.00045846i,0.00011547-0.00045645i,0.00018212-0.00016929i
-0.0013104+0.00023369i,-0.0016262+0.00021772i,-0.00060511+0.0004792i,0.00061467+0.0013589i,0.00075439+0.0010904i,0.00088558+0.00012432i,0.00067933+3.9902e-05i,0.00040173-0.00084428i,0.00013648-0.0012621i,-0.00050442-0.00036832i,-0.00034908-0.00043171i,0.00033251-0.00037185i,0.00039972+0.00017739i,0.00035661-0.00016108i,0.00050662-0.00015317i,0.00088076+0.00054096i,0.00044997+0.00021276i,-0.00023346-0.00068242i,-0.00035001-0.00073626i,3.6644e-05-0.00037793i,0.00011063+0.0001214i,-0.00023701+0.000354i,7.5028e-05+0.00042335i
