-0.0017486-0.00070043i,-0.0019668-0.00050618i,-0.0019061+0.00090569i,-0.0026017+0.00244i,-0.0023422+0.0028812i,-0.0016215+0.0030133i,-0.0014248+0.0026418i,-0.0008011+0.0023894i,5.0304e-05+0.002073i,0.0007294+0.0012989i,0.00093593+0.00016099i,-0.00033492-0.00088099i,-0.0007417-0.0011395i,-0.00053671-0.00027752i,-0.001158+0.0011425i,-0.00080914+0.0013155i,0.00017378+0.00047604i,0.00097644+0.00073627i,0.00084544+0.00099244i,0.0003517+0.00051614i,4.8975e-05+0.00022365i,-0.00044697+0.00042512i,1.9481e-05-8.4944e-05i
0.0012482+0.0012203i,0.0016933+0.001476i,0.003137+0.0010819i,0.0029761+0.00037065i,0.0011154-4.8565e-05i,-0.00084857-0.00033888i,-0.0012806+0.00019212i,-0.00048262+0.0010125i,-0.00011767+0.00095022i,0.00048985-0.00029064i,0.001121-0.00075818i,0.00012678-0.00035143i,-0.00028046-0.00045783i,-2.7672e-05-0.0011934i,0.000117-0.001046i,9.0215e-05+1.5845e-05i,-0.00069195+0.00043268i,-0.0012068-0.00014837i,-0.00090973-0.00051457i,5.4277e-05-0.00028272i,0.00084944-0.00017979i,0.00091005-0.00049466i,0.0011376-0.00054323i
-0.00087703+2.8619e-05i,-0.00072425-0.0010155i,-0.00074308+0.00035832i,-0.00079982+0.0026717i,-0.00059197+0.0026843i,0.00014535+0.00094312i,0.0005142+0.00033362i,0.00016847+0.00054901i,-0.00070651+0.00057047i,-0.00093108+0.00047386i,-0.00080715-0.00016023i,-0.00059496-0.00040149i,-0.00086959+0.00072108i,-0.00060233+0.0011689i,0.000241+0.00060215i,0.00063074-0.00017434i,0.0010648-0.00024602i,0.0009657-7.53e-05i,0.00036279+4.1147e-05i,-0.00022755-0.00062363i,-0.00058346-0.00089934i,-0.0003631-0.00040361i,-1.3136e-05-7.1393e-06i
-0.00023324+0.0002031i,-7.5754e-05+0.0006669i,0.00070008+0.001053i,0.00084559+0.0016678i,1.6586e-05+0.0026416i,-2.3433e-05+0.0023863i,-0.00015857+0.0012634i,-0.00036027+0.00092627i,-0.00077531+0.0014211i,-0.0013651+0.0012623i,-0.0012447+0.00077801i,-0.0009165+0.00045719i,-0.00089794+0.00012217i,-0.0008191+0.00054121i,-0.00043173+0.00019268i,-0.00035796-0.0001401i,-7.5637e-05+9.4369e-05i,0.00038066+0.00042676i,0.0002258-7.6917e-05i,-0.00028858-0.00089091i,-0.00024951-0.0010556i,0.0002317-0.00059371i,0.00062534-0.00035476i
0.00063986+0.00034907i,0.00080613+0.00092393i,0.0014283+0.0011425i,0.00093209+0.00036408i,-3.3907e-05-0.00014885i,-0.00075097+0.00049279i,-0.0015805+0.0012666i,-0.0019217+0.0013239i,-0.0016153+0.0015107i,-0.0016522+0.0013432i,-0.0015249+0.00041024i,-0.00060543+9.8843e-05i,-0.0002838+6.0039e-05i,-0.00079661+0.00023222i,-0.00036756+0.00021401i,-2.3834e-05+4.4615e-05i,-0.00018856+0.00029848i,0.00039571-0.0001428i,0.00012083-0.00052383i,0.00061861-0.00039421i,0.0012976-3.9241e-05i,0.00052661+6.348e-05i,7.3552e-05-0.00048763i
-0.0011869-0.00027065i,-0.0013112-0.00065268i,-0.0025322+4.3231e-05i,-0.0026447+0.0012779i,-0.0012359+0.0019375i,0.00024198+0.0031163i,-5.2213e-05+0.0033724i,-0.0012465+0.0018665i,-0.0019969+0.00088701i,-0.0015772+0.0013154i,-0.0012465+0.0014947i,-0.0010453+0.0015225i,0.00010181+0.001539i,0.00072683+0.0013801i,0.00040898+0.00076138i,-0.0002297+0.00035331i,-0.00027329-0.00021908i,7.227e-05-0.00068195i,0.0005277-0.00087416i,0.00071884-0.00084867i,0.00026196+0.00083871i,-0.00042718+0.001002i,-0.00056031-0.00051409i
-0.00056227+0.0017527i,0.00062787+0.001539i,0.0021174+0.0012567i,0.0023506+0.0011877i,0.0020524+0.00073539i,0.0012037-0.00028156i,9.196e-05-0.00013916i,-0.00035785+0.00077837i,-0.00063793+0.0012062i,-0.00084277+0.00085722i,-0.00075556+0.00017737i,-0.00025216-0.00034977i,0.00022768-0.00072164i,-0.00022618-0.00056134i,-0.00056481+0.00011055i,9.221e-06+0.00091211i,-8.2694e-05+0.0019526i,0.00029882+0.0012834i,0.00086534+0.00053812i,0.00071051+0.00069511i,0.0011863+0.00017964i,0.0014466-0.00059149i,0.00035898-0.00064292i
0.0022266-0.00034454i,0.0019755-0.00075186i,0.0012686+5.3716e-05i,0.00049638+0.00091342i,0.00040932+0.0013425i,-0.00029758+0.0014671i,-0.00076748+0.001013i,-0.00050538+0.00067327i,-3.9438e-05+0.00045273i,0.0002052+0.00035936i,0.00027987+0.00065283i,0.00038296+0.00071823i,0.00102+9.3367e-05i,0.0011063-0.00026079i,0.00021295+3.6839e-05i,0.00011331-3.6047e-05i,0.00033918+3.1671e-05i,0.00039222+0.00045092i,0.00066162+0.00019905i,0.00044265+0.00020151i,-0.00029302-4.4599e-05i,-0.00084296+0.00020721i,-0.00044712+0.00024162i
-0.0013831-0.0016094i,-0.0016872-0.00064805i,-0.0025365+0.00032622i,-0.0020932+0.00079335i,-0.00088447+0.00075735i,-0.00038546+0.0016916i,-8.0396e-05+0.0021594i,-0.00010871+0.0016548i,-0.00062519+0.0015553i,-0.00041519+0.00098459i,-5.546e-05+6.9263e-05i,-0.00026559-4.0228e-05i,-0.00063006+0.00063946i,-0.00068148+0.00076366i,-0.00070122+0.00047167i,-0.00051907-0.00020416i,-7.1333e-05-0.0010201i,0.00012897-0.00024661i,0.00039916+0.0002932i,-0.00023366-0.00015229i,-0.00072483-0.0001649i,-0.00064662-0.00051089i,-0.00080505-0.00029798i
0.00094822-0.0019904i,0.0011295-0.003388i,0.0015473-0.0043236i,0.00053902-0.0027887i,-0.00033067-0.0002324i,-0.00049633+0.0019539i,-0.0014082+0.0022087i,-0.001711+0.0014109i,-0.0014503+0.00054188i,-0.0010464+3.4717e-05i,-0.0004898+0.00024378i,-0.00035938+5.1672e-05i,-0.0010265-0.00045901i,-0.0014013+0.00026811i,-0.0011148+0.00019423i,-0.00051879+0.00020652i,-3.7886e-05+0.00069396i,-0.00033623+0.00037465i,-0.00065273+0.00054615i,-0.00060814+0.00080271i,-0.00055601+0.00065802i,-0.00059226+0.0004812i,-0.00033698+0.00046877i
-0.001359+0.0010375i,6.174e-05+0.0022767i,-0.0001238+0.0033092i,-0.0003714+0.0031876i,-0.00019187+0.001831i,1.3142e-06+0.0010491i,-0.00045611+0.0010131i,-0.0013781+0.0010296i,-0.0011979+0.0015095i,-0.00018537+0.0014618i,-0.00029763+0.00077976i,-0.00080248+0.00052481i,-0.00036038+0.00055695i,1.4638e-05+0.00082252i,0.00038652+0.00051743i,0.00034935+4.3175e-05i,0.00034228+0.00023348i,0.00036405-9.7146e-05i,0.00048689-0.00092279i,0.00062743-0.0010588i,0.00061968-0.00029541i,0.00074675-9.8304e-05i,0.00078721-0.00047639i
0.0012246-0.0016995i,0.0001204-0.0012615i,-0.00088727-0.0015176i,-0.0015634-0.0015093i,-0.0013061-0.00020526i,-0.00052248+0.0013213i,-0.00020094+0.0016513i,-0.00010725+0.0011764i,2.6451e-05+0.0011723i,-0.00048521+0.00063078i,-0.00098133-7.3655e-05i,-0.0014044+0.00023871i,-0.0012708+0.0010198i,-0.00041408+0.0010775i,-0.00040024+0.00039487i,-0.0003219-0.00017118i,-0.00015159-0.00076226i,-0.00072205-0.0010396i,-0.00067945-0.00092338i,0.00050006-0.0001633i,0.00087858+0.00076318i,0.00052971+0.0010298i,-0.00039092+0.00029933i
0.0017114+0.0013469i,0.0012167+0.0015819i,0.0011993+0.00079835i,0.00067245+0.00029155i,5.9416e-05+0.00083493i,-0.00056213+0.00078606i,-0.0013651+0.00084972i,-0.0015339+0.0010278i,-0.00095069+0.00089517i,-1.2508e-05+0.0010405i,0.00035555+0.00068826i,-0.00017788+0.00022478i,-0.00020919+0.00010889i,0.00031982+0.00053108i,0.00015485+0.00040998i,9.8591e-05-0.0004293i,0.00016056-0.00032827i,0.00018197-0.0005016i,0.0003407-0.00058885i,0.00042345-0.00066369i,0.00020074-0.00086604i,-0.00018442-0.000944i,-4.1712e-05-0.00093131i
-0.00055148-0.0014887i,-0.00070875-0.00027606i,-0.0014281+0.00053343i,-0.0013986+0.0017346i,-0.0011206+0.002776i,-0.00082919+0.0026547i,-0.00078588+0.0017467i,-0.0010227+0.0012099i,-0.00046402+0.0012594i,-0.00070297+0.00098141i,-0.00084371+0.00017083i,-2.4645e-05-0.00011895i,0.00014697+0.00039533i,6.5799e-05+0.00049368i,-0.00030827-4.632e-05i,-0.00056824-0.00080676i,-0.0003228-0.00010917i,-0.00067672+0.00045958i,-0.00084048-3.176e-05i,0.00027744-0.00018032i,0.00085917-0.00064678i,8.2692e-05-0.00029007i,-0.00023203+0.00027633i
-0.00039516-0.00062025i,0.00025056+0.00055355i,0.00029963+0.0021896i,0.00028102+0.0019957i,0.00049547+0.00093941i,0.00043711-0.00025661i,-0.00034987-0.00011553i,-0.0014176+0.00068838i,-0.0013705+0.00069851i,-0.00021247+0.00052011i,0.0002162+0.00072114i,-0.00038491+0.00056003i,-0.00095788+0.00076115i,-0.00091953+0.00093524i,-0.00051508+0.00074482i,-0.00055714+0.00029053i,-0.00079677-0.00089395i,-0.00029772-0.0010146i,-0.00032757-0.00036112i,-0.00036781+4.2837e-05i,-5.0312e-06+0.00048958i,-7.7042e-05+0.00046479i,0.00037674-4.2404e-05i
0.00078892-0.0015285i,0.00075212-0.001355i,0.00042344-0.0012664i,-0.00025416-0.0016416i,-0.00096333-0.0012251i,-0.0011563-3.6354e-05i,-0.0013132+0.00064608i,-0.0018646+0.0014091i,-0.0018118+0.0014346i,-0.001261+0.00030877i,-0.0006892-0.00014877i,-0.00058746-0.00046293i,-0.0006345+5.3207e-05i,-0.00035441+0.00033695i,0.00030047+0.00011188i,0.00082644+9.3465e-05i,0.0010324+4.9355e-05i,0.00060413+0.00037387i,0.00014279-0.00012639i,0.00016824-0.00089855i,0.00044602-0.0011214i,0.0008482-0.00096069i,0.0009279-0.00063857i
-0.0018391+0.00069858i,-0.0020361+0.0015974i,-0.0015177+0.0031308i,-0.0011183+0.0033285i,-0.0010841+0.0022385i,-0.00049052+0.0012587i,-0.00036347+0.00016952i,-0.00075451+0.00039492i,-0.00076199+0.001287i,-0.0013713+0.0013407i,-0.0012568+0.00075932i,-0.0011637+0.00029792i,-0.0013012+0.00023824i,-0.0011607+0.00065655i,-0.00074332+0.00053911i,-0.00044453-0.00018406i,-0.00035727+9.1095e-06i,-0.00016443+1.1831e-05i,-7.8549e-05+1.9565e-05i,0.00035506+0.0004532i,0.00057864+0.00062266i,-0.000625+0.00038523i,-0.0007482+0.00021574i
0.00069134+9.3459e-05i,0.00048625-0.00041046i,0.0010265-0.00088165i,0.00070424-0.00039425i,0.00044892+0.00055895i,0.00072415+0.0010591i,0.00045641+0.0013885i,-0.00021434+0.001686i,-4.7707e-05+0.0016135i,0.00024549+0.0016797i,-0.00047367+0.0017451i,-0.0013189+0.00063582i,-0.001637-0.00053252i,-0.0013359-0.00083114i,-0.00057574-0.00016228i,-0.00038901+0.00017764i,-7.1854e-05-0.00010287i,0.00013087-0.00040587i,0.00050014-0.00046697i,0.00020698-0.00019151i,-0.00053307-9.5332e-05i,-0.00046415-0.00020824i,-0.00027893-0.00026281i
-0.0014609+0.00044117i,-0.0008509+0.0018528i,-6.378e-05+0.0018482i,0.0010246+0.0007662i,0.00093457+0.00057488i,-0.00045084+0.0016557i,-0.00091612+0.0014702i,-0.0011603+0.00084569i,-0.001002+0.0010849i,-0.0010091+0.0011628i,-0.0012135+0.00064682i,-0.0006378+0.00045377i,-0.00089091+0.00048309i,-0.00097014+0.00017385i,-0.00040612+0.00055354i,-6.4525e-06+0.00099894i,0.00021164+0.00056797i,0.00060677-0.00012871i,0.00040501-0.00065367i,-0.00053473-0.00031178i,-0.0010223+7.5312e-05i,-0.0011293-0.00043574i,-0.0012375-0.00051775i
-0.00071988+0.00028832i,0.00041277-0.00012178i,0.00082889+0.0011215i,0.0010453+0.0016556i,0.00081237+0.0018223i,0.00021305+0.0017872i,-0.00049284+0.0021492i,-0.00053939+0.0024114i,-0.00062335+0.0017047i,-0.00042425+0.00098903i,-0.0003588+0.00056691i,-0.00070864+0.0004027i,-0.00026146+0.00037077i,0.00055604+0.00042614i,0.00021709+0.0001027i,-0.00054659+8.7218e-05i,-0.00018895+0.00030075i,0.00064013+0.00056845i,0.00083825+9.1793e-05i,0.0010519-7.3941e-05i,0.00066175-8.5942e-05i,0.00070503-0.00053939i,0.00041724-0.00093364i
0.00079515-0.0026317i,0.00064496-0.00085887i,-0.0013392-7.207e-06i,-0.0021135+0.00012108i,-0.0012595+0.00031954i,-0.00047856+0.0016069i,-0.00073261+0.0014033i,-0.00069122+0.00057698i,-0.00039079+0.00044775i,-0.00027741+0.00039268i,-0.0010226+0.00041621i,-0.0015093-0.00016667i,-0.00090261-0.00015466i,-0.00062167+0.0005461i,-0.0007208+0.00028098i,-0.00099302+0.00036428i,-0.0012916+0.00063733i,-0.00094896-6.8209e-05i,-0.00033895-0.00077816i,-0.0004096-0.00033861i,-0.0011347-0.00024008i,-0.00075064-0.00050681i,0.00036451-0.00073652i
0.00016853-0.00095866i,-1.8317e-05-0.00035894i,0.00010518-0.00014534i,0.00026358+0.00053384i,-0.00072404+0.00097946i,-0.0014841+0.0011585i,-0.0011739+0.0019368i,-0.0008487+0.0019989i,-0.000605+0.0021035i,-0.00079522+0.0018477i,-0.0013481+0.00058682i,-0.00059662-0.00014387i,-0.00056703-1.0761e-05i,-0.0016314+0.0003967i,-0.0012842+0.0003514i,-9.3562e-05+0.00024238i,0.00060324+0.0006041i,0.00044828+0.00062441i,0.00014841+0.00027567i,8.5774e-05+0.00021323i,0.00022005-0.00033883i,0.00032185-0.00061347i,-0.00020308-0.00075498i
-5.51e-05+0.00042858i,-7.9693e-05+0.0001858i,0.00033223+0.00027623i,0.0018753+0.00071809i,0.0012555+0.0014725i,0.0006579+0.0015513i,0.00057702+0.0015999i,-5.7715e-05+0.0023394i,-0.00072225+0.0023544i,-0.00050553+0.002429i,0.00013709+0.0024512i,-0.00017722+0.001176i,-0.00035679+0.00034857i,-0.00022445+0.00062678i,-0.0011311+0.00062685i,-0.00090143+0.00092146i,2.8862e-05+0.0013947i,0.00090217+0.0003839i,0.0010222-0.00035573i,-2.1895e-05-3.4077e-05i,4.0386e-05+0.00046003i,0.00034098+0.0003576i,0.00029785-0.00024783i
-0.00045938+0.00079183i,-0.00033539+0.0011136i,-0.00065787-0.00023028i,-0.00085966-0.00096824i,-0.0012988+0.00012795i,-0.0020573+0.00072656i,-0.0020694+0.00088213i,-0.0012359+0.0010221i,-0.00080817+0.0010688i,-0.00068457+0.00095783i,-0.000631+0.00074658i,-0.00028163+0.00077216i,-0.00022567+0.00061883i,-7.9039e-05-0.0005132i,0.00032451-0.00044201i,-0.00025779+0.00067063i,-0.0003987+0.00072363i,-0.00012554+0.00027493i,-0.00023474+0.000236i,-0.00091476+0.00089954i,-0.00016434+0.0015985i,0.00038326+0.00095377i,-0.00010398+0.00011984i
-0.00058371+0.00034788i,-0.00032023+0.00049738i,0.00048183+0.00035266i,0.00070509+0.0013084i,0.00010357+0.002068i,-0.00081134+0.0019062i,-0.001373+0.001456i,-0.001425+0.0010563i,-0.0012445+0.00094504i,-0.0009581+0.00059478i,-0.00020547+0.00057279i,-0.00022854+0.00056934i,-0.00041499+0.00027375i,-0.00087759+0.00048224i,-0.00083012+0.000674i,-0.00060581+0.00054863i,-0.00069013+0.0007023i,-6.732e-06+0.0010485i,0.00021545+0.00032768i,0.00022417-0.0010156i,0.0010379-0.0011849i,0.0016116-0.00083797i,0.00092008-0.0004065i
-0.00039537-0.001079i,-0.00014398-0.00053012i,-0.0011712+0.0011853i,-0.0016456+0.0018004i,-0.00055521+0.0019221i,0.00051967+0.0019082i,-0.00050539+0.0011263i,-0.0017386+0.00069069i,-0.001165+0.00059181i,-0.00030869+5.8901e-06i,0.00019336-0.00012987i,-2.8133e-05+0.00065849i,4.4604e-05+0.0011486i,8.5614e-05+0.00091985i,-6.969e-05+0.00050049i,0.00023203-7.8636e-05i,0.0007266-0.00015626i,0.00080093-0.00047185i,-0.00038212-0.0011111i,-0.0013711-0.00060763i,-0.00098366+0.0002322i,-0.00059553+0.00066921i,-0.0008942+0.0002955i
-0.00011378-0.0004025i,-5.6832e-05-0.0002616i,0.0010404+0.00015523i,0.00072925+0.0012263i,9.2776e-05+0.0022451i,0.00011083+0.0019575i,-0.00023708+0.00056693i,-0.00086489+0.00027531i,-0.001422+0.0012444i,-0.0016038+0.0020207i,-0.0012884+0.0017116i,-0.00050883+0.00089599i,-0.00049225+0.00088286i,-0.00051356+0.0013751i,-0.00029837+0.0014229i,-0.00058729+0.00096293i,-0.00079463+0.00021307i,-0.00046221-0.0004115i,-0.00034462+4.8776e-05i,-0.00077027+0.00040684i,-0.00044943+0.000695i,-9.1265e-05+0.0011386i,-0.00045843+0.00022842i
-0.0018309+0.00035519i,-0.0013525+0.0011498i,-0.0015014+0.0034897i,-0.0019628+0.0040777i,-0.0015212+0.0024512i,-0.00065336+0.00092415i,-0.00010906+0.00071448i,-0.00024141+0.00090583i,-0.00066238+0.00084422i,-9.1597e-05+0.0016775i,0.00047539+0.0018625i,0.00026095+0.00041755i,0.00021266-0.00054386i,0.00051561+0.00012099i,0.00011858+0.00036454i,-0.00035505+0.00041811i,0.00018624+0.00054204i,0.00073834-0.00029386i,-4.5493e-05-0.0012385i,-0.00028424-0.0010733i,-0.00019426-0.00065324i,-0.00048408+3.9502e-05i,0.00025886+0.00058709i
0.0017918+6.377e-06i,0.0022193+0.0014692i,0.0014295+0.0017314i,0.00029014+0.0015013i,0.00035463+0.0011927i,0.00037596+0.0020707i,-0.00077243+0.0029781i,-0.0015024+0.0019892i,-0.00097279+0.00049789i,-0.00035674+0.00035768i,5.3364e-05+0.0005077i,-0.0004093+0.00018667i,-0.00064261+0.00012536i,-0.00029006+0.00014219i,-0.00024337+0.00064304i,0.0002273+0.0010243i,0.00071032+0.00027976i,0.00038294-0.00071309i,0.00024013-0.00071498i,0.00030563-0.00087583i,-0.0001264-0.0011846i,-0.00045486-0.00093525i,-0.00070383-0.00017393i
