-0.00063872+0.00042383i,0.00020141-0.0008542i,-0.00044623-0.00033985i,0.00027947+0.00046474i,8.2047e-05+0.0023744i,-0.00091979+0.0031343i,-0.0011637+0.0025763i,-0.0011764+0.0025696i,-0.00051558+0.0014498i,-0.00010806-6.8389e-05i,0.00036859-0.0010952i,0.0001305-0.001104i,-0.0014411-0.00057212i,-0.001272-0.00083598i,-0.00048886+0.00039359i,-0.00075688+0.00098522i,-0.00075696+0.00021624i,-0.00041141+0.00044585i,-8.1846e-05+0.00047355i,-0.00012731-0.00014749i,-0.00048985-0.0007793i,7.8852e-06-0.00079953i,0.00087679-0.00019888i
-3.2159e-05+5.1278e-05i,0.00018111+0.00066918i,0.0014562+0.00059502i,0.0016162+0.00022917i,0.00096434-0.00034061i,0.00039866-9.0615e-05i,4.2443e-05+0.00067757i,3.6419e-05+0.00077812i,-0.00016973+0.00089097i,-0.0002672+0.00073233i,-8.9176e-05-0.00027982i,0.00068542+3.0636e-05i,0.0014962+0.00041222i,0.0012164+0.00034789i,0.0001917+0.00075924i,-0.00010796+0.0011154i,0.00024567+0.00052712i,0.00066306-0.00029948i,0.00067519+0.00080158i,7.5005e-05+0.0018423i,0.00019738+0.00083263i,0.00021465+0.00029706i,-0.00010373+0.00059938i
9.7864e-05-0.00069227i,0.00054112-0.00096708i,-0.00035382-0.0018215i,-0.00041897-0.0015015i,-0.00070298-0.00019813i,-0.0012773+0.00062159i,-0.00095697+0.0007639i,-0.00026228+0.00053708i,-0.00037869+0.0008493i,-0.00023588+0.00031549i,0.00048691-3.8721e-05i,0.0010452+0.00063566i,0.0013408+0.00041812i,0.00067057-0.00031834i,-8.7901e-05-0.0010726i,-0.00038463-0.0013523i,-0.00032938-0.00032075i,-0.0011335+0.00063144i,-0.0014033+0.00068014i,-0.0010965+0.00059556i,-0.00074476+0.00030457i,-0.00060055+7.7265e-05i,-0.00050691+0.00041683i
-0.0008169-0.0010029i,-0.0003616-0.00012551i,2.3633e-05+0.0008646i,-0.00085042+0.0017506i,-0.00096702+0.0012689i,3.1707e-05+0.00061704i,0.0007364+0.00092103i,0.00067912+0.00086595i,0.00021499+0.00037801i,0.00012557-0.00015185i,-0.0002443+9.0577e-05i,-0.00012609+0.00013246i,0.00026441-0.00019466i,3.065e-05+4.7503e-05i,0.00011313+0.00018151i,-0.0001236+0.0005172i,-0.00070869+0.00038321i,-0.00097337+0.00022682i,-0.00019324+0.00060242i,0.00070579+0.0010108i,0.00043382+0.00056575i,0.00021026+0.0001863i,-6.6025e-05+0.00055115i
-0.0014167-0.00038949i,-0.0015398-0.0013574i,-0.0017887-0.00024916i,-0.0011794+0.00093585i,0.00034293+0.0012992i,0.00033968+0.0017121i,-0.00037524+0.0020266i,-0.00013222+0.0013613i,-0.00040497+0.0004964i,-0.00074312+6.4357e-05i,0.00013342-0.0002691i,0.00093719-0.00052595i,0.00073277-0.00055644i,-6.6842e-05-2.4065e-05i,-0.00063635-0.00016025i,-0.00046901+0.00023949i,-1.162e-05+0.00058633i,0.00036482+0.00027404i,0.00044697+0.0010176i,0.00050919+0.0011233i,0.00055385+0.00017324i,0.0003846+0.00038064i,0.00045415+0.00040108i
0.0022141-0.00082349i,0.0017281-0.0015575i,0.0011553-0.0021049i,0.00022197-0.00093771i,-0.00051037+0.00063196i,-0.0005247+0.00077375i,2.3518e-05+0.00075195i,0.00029573+0.0010816i,3.6219e-05+0.00084275i,0.00036071+0.00089276i,7.7111e-05+0.00095153i,-0.00015876+0.00047223i,0.0001715+4.7351e-05i,-8.9042e-05+0.00013704i,-0.00039226+0.00014233i,0.00034378-0.00016743i,0.00022038-0.00016043i,-0.00016737-4.3327e-05i,0.00044005+5.1502e-05i,-0.00017383+0.00019481i,-0.0012811-0.00018022i,-0.00031709-0.00042466i,0.00095137-0.00012962i
0.0010171+0.00092885i,-2.2933e-05+1.5899e-05i,0.00019151-0.00059867i,0.00039525-0.00080191i,0.00022324-0.00091746i,-0.00018336+0.00023761i,0.00064659+0.00097267i,0.0010356+0.00092089i,0.00083733+0.00041745i,0.0013854+0.0001097i,0.00089659+0.00031785i,0.00010253+0.00081069i,-0.00023374+0.00029334i,-0.00050915-0.00026969i,-0.00064336-0.00010622i,-0.00055696-2.5687e-05i,-0.0002179-1.8551e-05i,-0.00022075-3.1202e-05i,-0.0005278+0.0004224i,-0.00063611+0.0004119i,-0.00080756-0.00059299i,-0.00055792-0.0012159i,-0.0001012-0.00040635i
-0.0001689+0.00036359i,-0.0010408-0.0002305i,-0.0016435-0.0014536i,-0.00041745-0.0012694i,0.00081811+0.00075871i,-0.00044271+0.0019948i,-0.0013375+0.0016305i,-0.0005448+0.00069856i,0.00015393-0.00034681i,3.7941e-06-0.0010716i,-3.3179e-05-0.0014537i,0.0007816-0.001103i,0.00091803-0.0006733i,0.0013761-0.00056415i,0.0017999-0.00010306i,0.0010018-0.00058527i,-0.0002089-0.0010244i,-0.00051142-0.00012935i,-0.00088789+0.00073518i,-0.00097868+0.00034147i,-0.00086007-0.00013749i,-0.00053964+0.00035169i,0.00078072+0.00037926i
-0.00071657-0.00085949i,-3.7719e-05-0.00032675i,0.00039347+0.00035732i,0.00080578+0.001537i,-4.9417e-05+0.0023699i,-0.00072076+0.0020347i,-8.721e-05+0.0012506i,-0.00052512+0.00029446i,-0.00080262-1.8228e-05i,-0.00062628+3.6829e-05i,-0.00042996-0.00065914i,-0.00017985-0.0004829i,-0.00083414+0.00055695i,-0.00072409+0.00065591i,-0.00015801-1.9459e-05i,-9.6106e-05-8.718e-05i,-0.00049889-0.00011926i,-0.00050673-0.00030412i,-0.00030242+0.00014635i,9.1403e-06+0.00012661i,0.0001629+7.2085e-05i,9.9069e-07+0.00056588i,-0.00049101+0.00075407i
-0.0004902-0.00056968i,1.9906e-05-0.00056382i,-0.0003624-0.00056027i,-0.0015138+0.00082995i,-0.0012281+0.0017613i,-0.00013018+0.0017578i,0.00010424+0.00086938i,0.00076433+0.00034719i,0.00026926+0.00017481i,-0.00059416-9.6654e-06i,-2.5091e-05+8.958e-05i,0.0009146-0.00076898i,0.0014998-0.0016994i,0.0010493-0.0014142i,-0.00011618-0.00051563i,-0.00037197+0.00015601i,-3.6361e-05+0.00034305i,-0.00047797+0.00044991i,-0.00067244+0.00024285i,-0.00015982-8.8225e-05i,0.00017646+0.00022324i,-0.00011223+0.00021534i,-0.00062478-0.00059518i
0.00083219+0.00050896i,0.001009-0.00042054i,0.0014599+0.00029702i,0.0011326+0.00031977i,0.00055649+0.00066621i,8.0739e-05+0.00056532i,-0.00043705+0.00066574i,-0.00047139+0.00093114i,-8.8378e-05+0.00024812i,-0.00022269-0.00039539i,-9.7154e-05-0.00047422i,-0.00028189-0.00028611i,-0.00054654-0.00044697i,-0.00053865+9.2267e-05i,3.257e-05+0.00072122i,0.00051124+0.00087848i,-0.0006934+0.0006286i,-0.0010591+2.4746e-05i,-0.00033133-0.00026183i,-0.00019071-4.4775e-06i,0.00025876+0.00062701i,0.00075304+0.0012727i,0.00025299+0.0014463i
-0.0011189+8.0217e-05i,-0.00018016-0.00055652i,0.00058386-0.00012012i,0.00094676+0.0015805i,0.00074695+0.0020014i,-0.00049459+0.0010761i,-0.0010652+0.0012966i,-0.0011053+0.0010625i,-0.0011285+0.00044361i,-0.00039276+0.00026104i,-0.0004454-0.00024698i,-0.00085877-0.0013744i,-0.0005549-0.0017207i,-3.4743e-05-0.00066669i,-0.00024694+0.00060836i,-0.00081778+0.00051783i,-0.00079426+7.8851e-05i,0.00041286+0.00031565i,0.0010226+0.00045679i,0.00074157+0.00045576i,7.2389e-05+0.00069663i,3.3616e-05+0.00077126i,0.00016796+0.0006903i
-0.0011418+0.00018147i,-0.00047769+0.0011913i,-8.6273e-05+0.0011679i,0.00046221+0.0014363i,0.00044015+0.0023093i,-3.5178e-05+0.0015072i,0.00023279-4.7772e-05i,-1.6323e-05+8.2305e-05i,-0.00021817+0.00081143i,0.00027773+0.00080832i,0.0006282-0.00053754i,0.00059168-0.0011128i,-7.1703e-05-0.00040071i,-0.00024063-0.00052848i,0.00012954-0.00047758i,-3.7239e-06+0.000361i,-0.00052674+0.0015306i,-0.00075422+0.0019572i,-0.0010395+0.0011016i,-0.00058768-2.9609e-05i,-0.00070065-0.00047908i,-0.00058801-0.00035738i,0.0004716-0.00012176i
0.0017162+0.0012362i,0.0013429-8.7265e-05i,0.00079687-0.0017534i,0.0011785-0.0024006i,0.0015739-0.0021585i,0.00033352-0.0013703i,-0.0010515-0.00040539i,-0.00055506+0.00028384i,0.00070185+0.00018793i,0.00043866-0.00057755i,-0.0009522-0.00082071i,-0.0005067-0.00079406i,0.00046646+0.00019547i,0.00038452+0.0011175i,-0.0002393+0.0006835i,-5.5747e-05-0.00018248i,0.00027194-0.00050409i,0.0001538-0.00028636i,-0.00010042+0.00059913i,0.00034455+0.0012164i,0.0007944+0.00064301i,0.00013394+0.0003663i,-0.00060504+0.00067834i
0.0010479+8.7779e-06i,0.0011316-0.00099046i,0.0025556-0.001442i,0.0023268-0.0016814i,0.0014449-0.0012771i,1.7169e-05-0.00043136i,-0.001171+0.0015481i,-0.00099419+0.0018306i,-8.034e-05+0.00026266i,0.00067432-0.00022578i,-0.00048261+0.00047208i,-0.0013762+0.00032614i,-0.00040601-3.3704e-05i,0.00026686+0.0005574i,0.00082931+0.0012678i,0.00050867+0.0010701i,0.00020008-0.00018735i,-0.00018043-0.00019966i,-0.00072461+0.00041994i,0.00040461+0.00067308i,0.00042077+0.0002894i,0.00038048-0.00028687i,0.00034351-0.00065019i
2.348e-06-0.00057162i,-0.0014243-0.00084198i,-0.001393-0.00077876i,-0.00034937-0.00040883i,-0.00024016+0.000327i,-0.00056136+0.0010948i,0.00014846+0.0014715i,0.0012333+0.0011375i,0.00068045+0.00077165i,-0.00067661-0.00034185i,-0.00026147-0.00070365i,4.5891e-05+9.0957e-05i,-4.078e-05+0.00030539i,0.00049648-5.1101e-05i,0.00070461+0.00028886i,0.00027927+0.00069901i,7.5907e-05+0.00077893i,-0.0001692+0.00016619i,-0.0005719-0.00074934i,-0.00021108-0.00087968i,0.00094109-0.00079284i,0.0015265-0.00048695i,0.0016353-0.00062372i
0.00079916-0.00024888i,0.00038474+0.00023641i,-0.00082072-0.00011171i,-0.00040295-0.00021139i,0.00040575+0.00013697i,0.00043488+3.8058e-05i,-0.00031166+0.00053189i,-0.00064913+0.00077239i,-0.00025447-0.0001001i,0.00010268-0.00046929i,4.4239e-05+0.00017227i,-0.00012354+0.00075823i,0.00042268+0.00062614i,0.00043071+0.00033763i,0.00065809+4.0899e-05i,0.00074878+0.00037224i,-0.00040389+0.00073575i,-0.00020995+0.00048597i,0.00035762-8.9585e-05i,0.00023307-0.00049319i,-0.00011526-0.00018322i,-0.00030506-0.00013127i,-0.00027322+0.00031035i
0.00054754+7.1891e-05i,0.00093947-0.0006938i,0.00062632-0.0017979i,-0.00016355-0.0013453i,-0.00052+0.00030971i,-0.00075999+0.0017382i,-0.00062165+0.0023597i,6.2836e-05+0.0021529i,-0.00039176+0.0014627i,-0.00070024+0.00040506i,-0.00082451+0.00031027i,-0.00014044+0.00026106i,0.00058611-4.432e-05i,0.00039546-0.00034058i,0.00024332-0.00049042i,-0.00036709-0.00058393i,-0.00064237-0.00098738i,-0.00025255-0.0011376i,0.00031735-0.0005427i,0.00065719+0.00058809i,0.00080733+0.00073623i,0.00078734+0.00020175i,0.00081339+0.00075987i
0.00099477+0.001987i,0.0015881+0.00077828i,0.0019723-0.00011219i,0.0019551+0.00051909i,0.0011516+0.00067273i,0.00032884+0.00014777i,-0.00038821+0.00040417i,-0.00055159+0.00057696i,1.7507e-05+4.21e-05i,-0.00023195+0.00010392i,-0.00026622-0.00019519i,0.00034598-0.00019704i,-0.00039091+8.1222e-05i,-0.0002361-0.00046075i,0.00097131-0.00021389i,0.0011078+0.00054631i,0.001257+0.00057993i,0.00054801+8.4582e-05i,-0.00062386+0.00015076i,0.00015505+0.00020142i,0.00065916-0.00044202i,-1.8143e-05-4.2171e-05i,-0.00013118-0.00032863i
-0.0034367+0.00040799i,-0.0036516+0.00014572i,-0.0025073+0.00068188i,-0.00096894+0.0014344i,0.00052691+0.0010282i,0.0010027-0.00034226i,7.2065e-05-0.00025598i,-0.0008314+0.00034576i,-0.0016205+6.127e-05i,-0.00088607+7.868e-05i,0.0002228+1.0252e-05i,0.0006598-0.00063191i,9.9551e-06-0.00065139i,-0.0006801-0.00075656i,-0.00044363-0.00036204i,-0.00049228+0.00067061i,-0.00076754+0.0006893i,-0.00037752+0.00043163i,0.00025742+0.00053238i,0.00033904-2.6029e-05i,-0.00024023-0.00069668i,-0.00011945+6.769e-05i,0.00050968+0.00068911i
-0.00083257-0.0017757i,-0.00079413-0.0022117i,-0.00254-0.0015892i,-0.0023455-0.00019715i,-0.00090884+0.0017077i,-0.00056354+0.002705i,-0.00030507+0.001588i,0.00012375+0.00050103i,-1.574e-05+0.00016488i,-1.3095e-05-6.8835e-05i,0.00041957-0.00020875i,0.00050554+0.00077166i,0.00052723+0.00095477i,0.0007462-0.00062134i,0.00080253-0.0010545i,0.00029048-0.00048314i,-0.00044078+0.00045434i,-0.00070207+0.00036439i,-0.00034703+0.0004022i,-0.00030173+0.00064824i,-9.1418e-05+0.00032563i,6.3632e-05+0.00033318i,4.0988e-05+0.00022884i
0.0011054+0.00053403i,0.00083888+0.0011053i,0.0015129+0.0002352i,0.0013345+0.00050451i,-0.00044396+0.00080548i,-0.00068548+0.0010322i,0.00061939+0.0015899i,0.0010984+0.0010341i,0.00098525+0.00043691i,0.00048235-3.8165e-05i,0.00033651-0.00054589i,-0.00033456-0.00027599i,-0.00041556+0.00019015i,2.2001e-05+0.00070737i,-5.5109e-05+0.00036781i,-0.00027167-0.00012333i,-4.1055e-06-7.3285e-05i,-0.00033831-0.00029777i,-0.00069777+0.00013598i,-0.00029797-0.00029303i,0.00056888-0.00081838i,0.00061051-0.00086037i,-3.6059e-05-0.0007924i
-0.0017821+0.0017848i,-0.00050335+0.0019504i,-0.00017575+0.003278i,-0.00036915+0.0036016i,9.4842e-06+0.0029481i,0.00076968+0.0019742i,0.00094408+0.0008827i,6.1405e-05+0.00028848i,-0.0010669+0.0005138i,-0.00040656+0.0010761i,0.00069864+0.00086336i,0.00080487+0.00020578i,-0.00013326-7.6978e-06i,-0.0014986-3.1418e-05i,-0.0015689+4.4654e-06i,-0.0008034+6.6901e-05i,-0.00094529-0.00043495i,-0.0010778-0.00071257i,-0.000445+3.88e-05i,0.00019636+0.00085051i,0.00015991+0.0010642i,7.3052e-05+0.0008859i,9.7452e-05+0.00050765i
-0.00083772-0.00065393i,-0.0011984-0.00066452i,-0.0017254+0.00039225i,-0.0018686+0.00094764i,-0.0014184+0.0017606i,-0.0010785+0.0018519i,-9.5257e-05+0.00059587i,4.0361e-05+2.7947e-05i,-0.00079193+0.00045815i,-0.00059473+0.0004956i,-0.00029222+0.00038092i,-0.00025214+0.00039867i,-0.00018563+0.00017483i,0.00017347+7.3682e-06i,-5.8018e-05+0.00042883i,-0.00096505+0.0010802i,-0.0012654+0.00087556i,-0.00058332+0.000808i,6.7451e-05+0.0010976i,0.00019085+0.00068075i,0.00014129-3.8277e-05i,0.00046934-0.0006732i,0.00067642-0.00080421i
0.0012265+0.00016129i,0.000843-0.0010898i,0.0008659-0.0018321i,0.0012638-0.0011469i,0.0011017+8.6165e-05i,0.00022267+0.00098135i,8.9646e-06+0.0016389i,0.00015244+0.0015329i,0.00038229+0.00042793i,0.000162+0.00046724i,0.0003266+0.00042108i,0.00043338-0.00046998i,0.00064466-0.00072052i,0.00067562-0.00021432i,0.00010663+0.00043654i,-0.0005474+0.00063728i,-0.0011328+0.00063448i,-0.00063985+0.00058311i,0.00015815+0.00079364i,0.0001175+0.00048163i,9.6192e-05+8.9802e-05i,0.00091892-0.00031589i,0.0010538-0.00020708i
0.0015958-0.00083379i,0.0016191-0.00045686i,0.0017057+4.9771e-05i,0.0011185+9.686e-05i,0.00053504+0.0002301i,5.1098e-05+0.00052845i,-0.00066806+0.0013635i,-0.00047287+0.0016249i,0.00021858+0.00095028i,0.00049097+0.00017879i,0.00015301-0.00012556i,-0.0001197+0.00021839i,1.2022e-06+0.00027144i,0.00041913+0.00053277i,0.00030766+0.00018749i,-0.00033019-0.00046484i,-0.00024341-3.2221e-06i,5.2885e-05+0.00041608i,0.00030236-0.00013061i,0.00057132-3.4344e-05i,0.00024322+0.00047903i,0.0003365+0.00098275i,0.001075+0.0010105i
0.00015608-0.00066117i,-0.00044695-0.0014141i,-0.00086249-0.001617i,-0.00084351-0.0011944i,-0.0012041+0.00059468i,-0.0014023+0.001427i,-0.00097493+0.00083789i,-0.00062244+0.00096626i,-9.1223e-05+0.0011266i,0.00025532+0.00045189i,0.00057909-0.00027222i,0.00073784-0.0004239i,0.00058532+3.2033e-05i,-0.00035166+0.0005949i,-0.00071619+0.00040139i,-0.00071411-0.00023796i,-0.00060329-0.00067532i,-0.00010294-0.00092533i,4.5657e-05-0.00114i,0.00060503-0.00094185i,0.00084618-0.00024333i,0.00046418+0.00015524i,0.00059864+0.000732i
-0.00045509+0.0022625i,-8.435e-05+0.00094532i,0.0010511-0.00023216i,0.0015451-0.00086541i,0.0013347-8.9268e-05i,0.00030222+0.00052459i,-0.00088599+0.00049343i,-0.0010094+0.00063571i,-0.00016913+0.00069297i,0.00066442+0.0006667i,0.00016975+0.00054734i,-0.00019791-0.00023371i,0.00065183-0.00019752i,0.00019219+0.00082482i,-0.0006282+0.00098752i,-0.0003739+0.00033572i,-0.00026072+9.7133e-05i,-0.00070789-0.00023726i,-0.00073046-0.00044916i,-0.00027409+0.0004681i,9.5339e-05+0.00058053i,0.00053288+0.00072564i,0.00075073+0.00099272i
0.0012523+0.0012117i,0.0015961+0.00015528i,0.0024585-0.00035994i,0.0021931+5.2114e-05i,0.0015154+0.0013089i,0.00051837+0.0016686i,-0.00081908+0.0011402i,-0.00068223+0.0006726i,-0.00050925+0.00060399i,-0.00052635+0.00071272i,0.0001724+0.00073853i,-0.00017244+0.00057237i,-0.00061471+0.00033535i,-5.2536e-05+0.0002296i,9.4476e-05+0.00063879i,-9.7375e-05+0.00061481i,-0.0002401+0.00050537i,-0.00035056+0.00085736i,-0.00017288+0.00032594i,0.00014954-0.00065745i,0.00066366-0.00064195i,0.0013398+0.00012427i,0.0012645+0.00047671i
0.0016144+0.0012768i,0.0021936+0.00022608i,0.0022871+0.00073966i,0.0018172+0.00087526i,0.001046+9.1395e-05i,0.00029837-0.00022156i,0.00018384-0.000335i,0.00024289+0.00037069i,-9.9187e-05+0.00060513i,-0.00055521-0.00012566i,0.00047244-0.00085486i,0.00073422-0.0011889i,0.00048806-0.00097628i,-0.00030629-0.00048784i,-0.00060146+4.2791e-05i,0.0009078+8.8124e-07i,0.00075011-0.00045199i,-0.00016252-0.00045346i,-0.00036287+0.00018519i,1.4258e-06+0.00061257i,-9.3383e-05+0.00052034i,-4.3763e-05+0.00035253i,0.00028606+0.00034302i
0.00052844+0.00022921i,0.00067186-0.00016974i,-8.4227e-05-0.00067453i,-0.0010907-0.00033062i,-0.0013861+0.0005851i,-0.0016853+0.00085261i,-0.0021085+0.00047607i,-0.0016105-0.00025348i,-0.00063283-0.00052497i,-0.00028819+0.0002615i,-0.00054324+0.00032965i,2.2932e-05-0.00069481i,0.00026149-0.00068493i,0.00015485-0.00037942i,0.0005844-8.5446e-05i,-4.0969e-08+3.2589e-05i,-0.00073598-0.00023673i,-0.0010734+0.0005496i,-0.0016288+0.00077756i,-0.000842+0.00027406i,-5.5403e-05+0.00030325i,0.00015997-0.00039409i,-5.7361e-05-0.00080703i
0.001358+0.00053975i,0.00089521+0.00017623i,0.00092398-0.00055936i,0.00062694-0.00093097i,0.00017274-0.00035372i,-0.00058181+0.00077214i,-0.00097261+0.0016479i,-0.00046997+0.0015372i,-0.00031402+0.00074571i,-0.00024065-5.5754e-05i,-9.0239e-05-0.00063496i,-9.9248e-06-0.0011757i,0.00023504-0.000645i,9.2042e-05+0.0003887i,0.00014671+0.00027921i,-0.00011849-0.00013455i,-0.00035905-0.00058844i,-0.00034121-0.00082535i,-0.00060204-0.00095118i,-0.00065876-0.00091308i,-0.00084111-7.5085e-05i,-0.00077324+0.00071729i,-0.00034646+0.00057079i
