-0.00048361-0.00059655i,-0.0016777-0.0010141i,-0.0023184-0.00078369i,-0.0019455+0.0004048i,-0.0016812+0.0015501i,-0.0017486+0.0019551i,-0.00050563+0.0014841i,0.00032801+0.0010645i,0.00082753+0.00069083i,0.0013037+0.00020373i,0.0011705-0.00038356i,0.00052695-0.00030156i,6.7178e-05-0.00015242i,-9.2776e-05+0.00015449i,-0.00057527+0.00045551i,-0.00081199+0.00034515i,-0.00080913+0.0004112i,-0.00012702-0.00033233i,0.00016413-0.00070573i,-2.1714e-05+6.5184e-05i,-0.00035587+9.2856e-05i,-0.00086004-0.00022535i,-0.00091244+0.00040195i
0.0010784-0.0021756i,0.00048026-0.001418i,-0.00096549-0.0012636i,-0.00090026-0.00061076i,-0.00029327+0.0012242i,0.00024362+0.0016189i,0.00042226+0.0010159i,-0.00028303+0.00036399i,-0.00040431-0.00073537i,0.00017547-0.0011795i,0.00030097-0.00064751i,-9.6211e-05+0.00030187i,-0.00010123+0.00041693i,0.00038217+4.2661e-05i,0.00051123-0.00028096i,0.00041914-0.00062584i,0.00079162-0.00087043i,0.00068852-0.00047583i,-5.0076e-05-6.1654e-05i,0.00014331-2.2596e-05i,-0.00017705+0.00012076i,-0.00030628+8.6877e-05i,-0.00019177-0.00015369i
-0.0013162+0.0013931i,-0.0019711+0.00080537i,-0.0014933+0.00037231i,-0.00067704-0.00044504i,-0.00087706-0.00061754i,-0.00086542-5.3609e-05i,-0.00014598+0.00067233i,-5.7179e-05+0.00085259i,0.00020093+0.00096139i,0.00082369+0.00055824i,0.00066684+0.00056416i,0.00048737+0.00022062i,0.00036064-0.0010547i,3.5324e-05-0.0014901i,-0.00011363-0.00090426i,-0.00017351-0.0005052i,-0.00031903-0.00085968i,0.00016674-0.00075475i,0.00077955-0.00043533i,0.00022553-0.00032269i,0.00022744-0.00033104i,0.00093917-0.00013151i,0.00030958-0.00040408i
0.00073196+0.0011945i,0.00057556-9.3772e-05i,0.0010786-0.00021631i,0.00075933-0.00072429i,-7.1353e-05-0.0016333i,0.00025082-0.0021533i,0.00038054-0.0012543i,-0.00048625-0.00011876i,-0.00045619+4.8891e-05i,-0.00023087-8.9245e-05i,0.00053008-0.00075182i,0.0007959-0.00043075i,-0.00093015+0.00027548i,-0.0014359+9.9919e-05i,-0.0011548-0.00032664i,-0.00082338-0.00049856i,-3.6517e-05-0.00022361i,0.0002091-0.00025744i,0.0002856-0.00012343i,0.00029166+0.00045243i,0.00052709+0.00061229i,0.00086572-7.7268e-05i,0.0008275-0.00081076i
-0.0011688-0.00085941i,-0.00073173-0.00055589i,-0.00013304-0.00041085i,-0.00053479-0.00075366i,-0.0011297+0.0001507i,-0.00050124+0.0010267i,-0.00015548+0.00019907i,-0.00095169-0.00016707i,-0.00090622-0.00018546i,-0.00021408-0.00047218i,-0.00051409-0.00055801i,-0.00046041-0.00027976i,-0.0003382-0.00012054i,-0.00060983+0.00012944i,-0.00044277+4.2597e-05i,-0.0001476-0.00044467i,0.00068582-0.0011168i,0.0010451-0.00062295i,0.00032281+0.00040385i,0.00018797-0.00010159i,-0.00011002-0.00034853i,-0.0010359-0.000351i,-0.0012093-0.00043689i
-0.0022588+0.00070729i,-0.002013-0.00027278i,-0.0012587-0.00032622i,-0.00030273+0.0003027i,0.00057631+0.00086462i,8.0609e-05+0.00025094i,-0.00058011-0.00081179i,-0.00084688-0.00087579i,-0.00080722-0.00025143i,-0.000836+4.1025e-05i,-0.00058541+3.0443e-05i,-0.00067465+0.00054545i,-0.00060836+0.0011422i,-0.00054335+0.00045671i,-0.00019835-8.8999e-05i,0.00076932+1.4095e-05i,0.0012679-0.00077464i,0.00097313-0.0017259i,0.00018062-0.00091033i,-0.00032572+8.4569e-05i,0.0001587+0.00018541i,0.00031181-1.9443e-05i,0.0004959+0.00031682i
0.00017733+0.00086019i,0.0012212+0.0014694i,0.0010741+0.0010982i,0.00043017+0.00069671i,8.2578e-05-7.2253e-07i,-0.00021256-0.00041671i,3.8635e-05-0.00052619i,0.00079072-0.0001882i,0.00037665+0.00051277i,-0.00058948+0.0007054i,-0.00094603+0.00030405i,-0.0010886+0.00026474i,-0.00053812+0.00052588i,2.8007e-05+0.00012418i,-0.00019758-0.00046981i,-0.00044654-0.00018377i,-0.00058712-9.9981e-05i,-0.00033475-1.6307e-05i,5.1271e-05+0.00021034i,0.00027262+0.00067418i,-0.00023298+0.00075647i,-0.00026347+0.00041673i,0.00022014+0.00038306i
0.00098925+0.00052042i,0.00083983+0.00049202i,-7.081e-05+4.2298e-05i,-0.00040078+0.00033939i,3.1859e-05+0.00030719i,0.00037088-0.00014544i,0.00040638+0.00010631i,-4.9294e-05+6.6276e-05i,-0.00071784-0.00010469i,-2.9812e-05-6.1815e-05i,0.00051095-0.00069828i,2.7253e-05-0.00077261i,0.00010777+6.2883e-05i,0.00049856+0.0004144i,0.00021784+0.00027041i,-0.00059238+0.00032321i,-0.00049123+0.00021689i,0.00020237-0.00010455i,0.00047079-0.0006309i,0.00034125-0.00047057i,-0.00010444+6.3627e-05i,-0.00030958-3.2847e-05i,-0.00085786-9.7621e-06i
9.9624e-05-0.0024235i,-0.00039825-0.0028854i,-0.0010116-0.0022753i,-0.0013997-0.00099103i,-0.0014504-3.8812e-05i,-0.00070967+0.00053051i,0.00051622-0.0002592i,0.00062611-0.0008567i,-0.00026267+3.0695e-05i,-0.00035781+0.00035124i,0.00037666+8.8599e-06i,0.00038129-0.00012544i,0.00021445+0.00020698i,0.00023159+0.00057252i,-0.00011477+0.00025779i,0.00045738-0.00012609i,0.00089576-9.777e-05i,0.00086438+3.7956e-05i,0.0011801+0.00023926i,0.0013785+1.0245e-05i,0.00087175+0.00028752i,0.00051053+0.00053093i,0.00044198-0.00048056i
0.0016428+0.00080796i,0.0017444+0.00092716i,0.0013212-0.00021144i,-0.00022346-0.00091141i,-0.0020058-0.00092069i,-0.0016116-0.0010254i,-0.0004929-0.00050615i,0.00023219-0.00038462i,0.00097827-0.00053227i,-1.9461e-05+0.00061808i,-0.0012377+0.00055919i,-0.0013526-0.00031883i,-0.00087605-8.4559e-05i,0.00031641+0.00083535i,0.00060254+0.0010917i,0.00033449-0.00012071i,2.3727e-05-0.00056071i,0.00012399+0.00011113i,0.00046311+0.00031029i,9.4715e-05+0.00014894i,0.00018067+0.00062204i,-9.4312e-05+0.00061045i,-0.00047214-4.6918e-05i
0.001537+0.00048777i,0.00057611-0.00069619i,0.0011798-0.00086779i,0.00066056-0.0009066i,-0.0010025-0.0016202i,-0.0013007-0.00050209i,3.1275e-05+0.00053432i,0.0012677+0.00015077i,0.0012608+0.0001537i,7.5152e-05-3.0866e-05i,-0.0008574-0.00068905i,-0.00037443-0.00082351i,0.00020716-0.00030813i,-0.0002347+0.00074246i,-0.00071444+0.0015131i,-0.00031962+0.0010865i,-0.00021095+0.00076525i,-0.00024302+0.00076341i,0.00017287+0.0010816i,0.00041206+0.0012743i,8.2038e-05+0.00083215i,-4.1782e-05+0.00061325i,-0.0001026+0.00025377i
-0.00027219+0.0009843i,0.00083431+0.00098242i,0.0011707+0.0014044i,0.00054302+0.00055665i,-0.000344-0.00088593i,-0.00077459-0.0013382i,-0.0010664-0.00066934i,-0.00084287-0.00047821i,-0.00051228-0.0005798i,-0.00037733-0.0010213i,-1.5733e-05-0.00099487i,-0.00059457-5.5622e-05i,-0.00077343+0.00010416i,-0.00031639-0.0008077i,-2.5302e-05-0.0016778i,6.6527e-05-0.00085787i,-0.00047741-0.00014147i,-0.00032791-0.00073878i,0.00056046-0.00068616i,0.00036122+2.1883e-05i,-0.00021793+0.00043505i,-0.00026432+0.00014104i,-0.00036042-0.00068727i
0.00064084+0.0016932i,0.00058492+0.0012306i,0.00069722+0.00061659i,0.00071146-0.0011032i,-2.0938e-06-0.0017456i,-0.0007587-0.0014464i,-0.00077251-0.00065288i,-0.00043024+0.00067813i,-0.0002666+0.0011743i,-0.00016971+0.00047422i,1.129e-05+1.9628e-05i,-0.00024945-0.00054963i,-0.00071339-0.0005876i,-0.00065659-0.00035719i,-0.00077235-0.0002718i,-0.00031318-0.00049797i,-0.00010754-0.00015504i,-0.00053536+0.00015827i,-0.00019757-5.9646e-05i,9.8241e-05+0.00031591i,-8.1734e-06+0.00069261i,9.1351e-05+0.00049992i,-0.00019499+0.00046652i
-0.0019013+0.00076537i,-0.0012795+0.00093293i,-0.0011084+0.00021225i,-0.00068811-0.00010813i,2.839e-05+0.0010073i,-0.00012649+0.00078511i,0.00023391+0.00027887i,0.00057123+0.00064265i,0.00029671+0.00088587i,3.8893e-05+0.00018078i,0.00031554+0.00024404i,0.00032187+0.00035749i,-0.00029728+1.1038e-05i,-0.00055467-0.00046838i,0.00055068-0.0010183i,3.1114e-06-0.0011212i,-0.00060144-0.00077781i,0.00017718-0.00025465i,0.00046707+0.00043202i,0.00017883+0.00087673i,-0.00019036+0.00021255i,6.1067e-05+2.0707e-05i,-0.00045882+0.00017254i
0.0011642-0.00046125i,0.0009899-0.00014263i,0.0010028-4.5851e-05i,0.00083495-0.00065865i,0.00070013-0.00060599i,0.0001237+0.00014389i,-0.00072953+7.8339e-05i,2.2033e-05-0.00029086i,0.00090547-0.0006297i,-0.00016558-0.00021231i,-0.001025+0.00038252i,-0.0012289+0.00034823i,-0.0011351+0.00018094i,-0.0006305+0.00072373i,-0.00015988+0.0012939i,-0.00017669+0.0011949i,-0.0010824+0.0003408i,-0.00098551+4.6188e-06i,0.00024196+0.00015279i,0.0008333+7.5384e-05i,0.00045316-3.1147e-05i,-0.00030071-0.00025198i,-0.00081064-0.00022234i
-0.00091458+0.0010048i,-0.00037725+0.0017379i,0.00083647+0.00078589i,0.00083206-0.00055133i,-0.00014498-0.0010296i,1.5909e-05-0.00094158i,0.00044393-0.00061368i,0.00085969-0.00084283i,0.0011647-0.00070109i,0.00073829-0.0003276i,0.00043609-0.00067689i,-0.00031006-0.00029804i,-0.00052047+0.00015028i,-0.00080898+0.00026097i,-0.00097315-0.00032576i,-0.00040523-0.00081606i,-0.00024299-0.00032781i,0.00015155+0.00052812i,-6.49e-05+0.00080001i,-0.00024592-0.00010826i,0.00040461-0.0010947i,1.677e-05-0.0016906i,-0.00048731-0.0014631i
0.00139-0.00030235i,0.00062717+0.00049078i,-0.00068821+0.0010002i,-0.0014753+0.00085375i,-0.0016108+0.00077104i,-0.001078+0.0013218i,-6.6169e-05+0.0010261i,0.00011303-0.00030389i,1.0853e-05-0.00076181i,0.00018799-0.00031893i,-0.0005095-0.00015688i,-0.00095759-0.00017889i,-0.00032522+0.00022325i,0.00015643-0.0002572i,-0.00028649-0.00012845i,-0.00040854+0.00059371i,-0.00012377+0.00033564i,0.0004231-0.00018859i,0.001048-0.00016828i,0.0014855-0.00034503i,0.0012683-0.00032366i,0.0006083-8.4791e-05i,6.2933e-05-0.00028621i
0.0016029-0.001858i,0.0013939-0.0031302i,-1.8568e-06-0.0025868i,-0.0010806-0.0011721i,-0.0012921-0.00063253i,-0.0010605-0.00022123i,7.8072e-06+5.7723e-05i,0.00049542+0.00034409i,-0.00021626+0.00058994i,-0.0011832+0.00063106i,-0.00090663+0.00017098i,0.00044257+2.3842e-05i,0.0010604+0.00076936i,0.00096234+0.001316i,0.00099025+0.0011812i,0.00051892+0.00098434i,0.00030358+0.00072589i,0.00022165+0.00016091i,-9.6307e-05-0.00036736i,-9.0852e-05-0.00051703i,0.00024433-0.00090135i,-0.0001905-0.0004222i,-0.00048464+0.00013178i
0.0023212+0.002187i,0.0031341+0.0025588i,0.0026059+0.0014183i,0.0018814-0.00040017i,0.001363-0.0009952i,0.00028471-0.00025103i,-3.8003e-05+0.00041326i,0.00028387+0.0011204i,0.00013375+0.0012255i,0.00013666+0.00077949i,-0.0004103+0.00039891i,-0.0010817-0.00059426i,-0.00035433-0.00062961i,-0.00019084+0.00039499i,-0.00062076+0.0004668i,-0.00023908-0.00032907i,0.00055-0.0011841i,1.0435e-05-0.0015922i,-0.00054043-0.00075453i,0.00036317-6.8894e-05i,0.00091449-0.00020682i,0.00029358-0.00021727i,-6.5623e-05+0.00060738i
-0.00082388-0.0015247i,-0.0017011-0.0014877i,-0.0016402-0.0016436i,-0.0012116-0.0016192i,-0.00075917-0.0013077i,-0.00060704-0.0005872i,0.00016729-0.00063148i,0.00051157-0.0012568i,1.0753e-05-0.0012226i,0.00044805-0.0012512i,0.00078591-0.00080121i,-0.00055027-0.0001965i,-0.00087066+5.8629e-05i,-9.635e-05+0.00012236i,-5.4265e-05+4.6263e-05i,-0.00023073+0.00016163i,-0.00037015+0.00025788i,-0.00047694-0.00015324i,0.00019167-0.00053823i,0.00033169-0.00062859i,0.00023902-0.00012644i,-0.00015383-0.00045715i,-0.00059657+8.3178e-05i
-0.00093021-0.0011568i,-0.0010123+0.00019933i,-0.0019894+0.0011233i,-0.0022281+0.001172i,-0.0012567+0.0010462i,-0.00034904+0.00042337i,-0.00064809-0.00041945i,-0.00079009-0.00056912i,-0.00076061-0.00010926i,-0.00091226+0.00054752i,-0.00040624+0.00074182i,-0.00020782+0.00044584i,-7.2237e-06-0.0002006i,0.0006982-0.00031188i,0.0012372-2.5831e-05i,0.00082266+0.00047986i,-0.00012006+0.00025291i,-0.00027525-0.0004589i,-0.00040887-0.00032097i,-0.00034936+3.0884e-05i,0.00020061+8.7744e-05i,0.00012043+0.00010152i,0.00049553-0.00032559i
4.9233e-05+0.00067492i,0.00055263+0.00091417i,-0.00023186-0.00011866i,-0.0012639-0.00061596i,-0.0016083-0.00060913i,-0.0011077-0.00086051i,-0.00030464-0.00050419i,0.00015336-0.00032044i,-3.7759e-05+5.0904e-07i,-0.00039475+0.00035325i,-0.001218-2.1333e-06i,-0.001213-0.00036673i,-0.00075398-0.00031299i,-0.00044103-2.6139e-05i,-0.00042794+9.7949e-05i,-0.00030348+0.00038086i,-3.989e-05+0.00061421i,-0.00021823+7.7586e-05i,0.00036869-0.00032783i,0.00057039-0.00038438i,-0.00028655+0.000178i,-0.00022225+0.00028465i,-0.00039455-3.8853e-05i
0.0015965-0.0013025i,0.0017605-0.0014654i,0.00096151-0.00099247i,4.2235e-05-0.0006527i,-0.00032863+0.00017894i,-0.00074986+0.00048913i,8.0974e-06+5.149e-05i,0.0001757-0.00074731i,-0.00017101-0.0015999i,7.4355e-05-0.0010284i,0.00045863+0.00058824i,0.000265+0.0015661i,-0.00042282+0.00062835i,7.485e-06-0.00043164i,-0.0001434+0.00029772i,-4.9042e-05+0.0010532i,0.00028692+3.0281e-05i,0.00036385-0.00097977i,0.001165-0.00023987i,0.0014063+0.00029566i,0.00051688+0.00036373i,-0.0011965+0.00038105i,-0.0011868+3.0544e-05i
0.0022645-0.0032929i,0.0011557-0.0028006i,-0.00024256-0.002775i,-0.00064893-0.0021653i,-0.00079349-0.00064926i,-0.00030883+0.00027728i,0.00051357-0.00021971i,0.00099452-0.0009921i,0.00059742-0.00062066i,-0.0002326-0.00083338i,-0.0010279-0.00069709i,-0.001347+0.00044822i,-0.0012527+0.00045446i,-0.00029605+0.0005116i,0.00055202+0.00098047i,0.00047531+0.0010047i,0.00021616+0.00056759i,0.00016476-0.00024425i,0.00052209-0.00044749i,0.00067933+5.9337e-06i,-0.00019358+0.00014264i,-0.0008729+0.0007433i,-0.0008694+0.00097379i
-0.001629-0.00083915i,-0.0018508-0.00075508i,-0.0014137-0.00049026i,-0.0014765-0.00080696i,-0.00097007-0.0013613i,-0.00037015-0.0012046i,0.00044858+6.2216e-05i,0.0007273+0.00049262i,2.3682e-05-2.6908e-05i,-0.00055131-8.9207e-05i,-0.00074276+0.00015705i,-0.00094823-0.00018871i,-0.00029116-0.00070395i,8.5311e-05-0.00046124i,4.241e-05-1.859e-05i,4.1694e-05-0.00020824i,0.00040571-0.00033328i,0.00035981-0.00044799i,-0.00024841-0.00013888i,-0.00067511+0.00015443i,-0.00036542-0.00012251i,-2.9815e-05-0.00061962i,-6.5067e-05-0.00055714i
0.0015371-4.2262e-05i,0.0011431-7.3589e-05i,0.00072326-0.00032554i,-0.00027998-0.00012422i,-0.00096806-2.101e-05i,-0.00085784-0.000169i,-5.8181e-05-2.183e-05i,0.00073436+0.00024148i,0.00066832+2.3835e-05i,-1.9656e-06+3.9949e-05i,-0.00014233-6.6938e-05i,-0.00061242-0.0004836i,-0.0010591-0.0008349i,-0.0011453-0.00081528i,-0.00035445-0.00020552i,0.00035793+0.0005995i,0.00037285+0.00059837i,0.00052219+0.00017843i,2.8079e-05-5.9034e-05i,-0.00019787-0.00011051i,0.00018372-0.00016255i,0.00051071+8.981e-05i,0.00049227+0.00039023i
0.00041745-0.00026591i,8.9252e-05-0.00053034i,-0.00029167-0.00019452i,-0.00019526-0.00033676i,5.3108e-05-0.00095966i,-0.00041776-0.00088286i,-0.00049995-0.0012505i,-0.00037577-0.00082885i,-0.00044401+4.6903e-05i,-0.00082086-1.7472e-05i,-0.00083551-6.2791e-05i,-0.00069293+0.00036039i,-0.00027686+0.00051116i,0.00021018+0.0002567i,0.00011836-8.5803e-05i,1.1392e-05-0.00035628i,0.00056038-0.00024149i,0.0010129+0.00020796i,0.00059925-0.00016201i,0.00033567-0.00062094i,-0.00031343-0.0002709i,-0.00057407-0.00052294i,-0.00028498-0.00075287i
-0.00038831-0.00066832i,-0.00076905-0.00011786i,-0.00081884-0.00063283i,-0.0015957-0.00048759i,-0.0020637-0.00035958i,-0.0018523-0.00038748i,-0.001231-0.00025565i,-0.00049554-0.00047284i,-0.00031517-0.00033841i,0.00014101-0.00016871i,0.00030626-1.298e-05i,0.00015321+0.00049281i,0.00010923+8.7114e-05i,0.00093333-0.00039725i,0.00082725-0.00027548i,1.8796e-06-4.3056e-05i,0.00017394-0.00018251i,0.00012846-0.00079708i,-2.9726e-05-0.0013299i,1.0407e-05-0.0011946i,0.00039877-0.00070888i,0.0010717-0.00019248i,-0.00011214+9.0022e-05i
-0.0012805-0.00048443i,-0.00034216-0.0007333i,-0.00026534+0.00043698i,-0.00040211+0.00035386i,-0.00034852-0.00076321i,-0.0005326-0.00029822i,-0.00025063-0.0001076i,0.00030172-0.00059848i,0.00044963-0.00033917i,0.00059303-0.00022152i,0.00094233-0.00060438i,0.00090157-0.00067153i,0.0006958-0.00038784i,2.379e-05-0.00024469i,-0.00030944-0.00014422i,-0.00029949+0.00025984i,-0.00097188+0.00016045i,-0.00021195+2.5598e-05i,0.00064626+0.00012021i,-0.00011722-0.00066183i,-0.00040183-0.001423i,-0.00052869-0.0014069i,-0.00045674-0.00061232i
-0.0007867+0.00084206i,-0.0010664+0.00094533i,-0.0012262+0.00053596i,-0.00028623+0.00033585i,0.00051374+9.1583e-05i,0.00046234-2.1657e-05i,0.00017168+0.00012636i,0.00026731+0.00025744i,0.00034806+0.00028923i,0.00023997+0.00064967i,0.00019628+0.00039577i,0.00041969-0.00014786i,0.00014491-0.0001593i,-0.00026089+0.00023789i,-4.6693e-05+0.00084294i,-0.00031878+0.00046322i,-0.00044389+0.00076441i,0.00045447+0.0018506i,0.00070711+0.0011535i,0.00011937-2.1908e-05i,6.6658e-06-0.00020626i,0.00029544-6.0107e-05i,0.00047394+0.00021185i
0.0013598+0.0022748i,0.00067378+0.0017184i,0.000722+0.0017625i,0.0018538+0.00092759i,0.002306-8.9098e-05i,0.0011108-0.00030272i,-4.8451e-05-0.00018112i,-0.00012373-8.4614e-05i,0.00066139-0.00047726i,0.0011915-0.00032737i,0.00034866-0.00049196i,-0.00051402-0.0012893i,-0.00079016-0.00047606i,-0.00025056+0.00058218i,-0.00032444+0.00012066i,-0.00040991-2.4644e-05i,0.00030146-0.00018899i,0.00012588-0.00096769i,-0.00023567-0.00051951i,0.00013058+0.00037426i,-5.1893e-05+0.00042168i,-0.00018988+0.00023614i,-7.8483e-05-1.8535e-05i
-0.0016903+0.0011636i,-0.0013256+0.0012637i,-0.00034864+0.00078808i,0.0004644+0.00037343i,0.00040824-0.0004244i,-0.00031178-0.00080993i,-0.00063381-0.00047418i,2.4745e-05+3.2409e-05i,-0.00031458-0.00011712i,-0.00060599+0.0002534i,0.00063082-0.00029451i,0.00060987-0.001819i,-0.00026525-0.0011092i,-0.00031623-0.00040476i,6.9961e-05-0.00040758i,-0.00035643+6.6887e-05i,-0.0001982+0.00023861i,0.00062881+0.00016272i,0.00051317+5.8519e-06i,-0.00021509-1.1926e-06i,-0.00041566-8.8432e-05i,-0.00018271-0.00048121i,3.5446e-05-0.00040782i
