-0.0010166-0.00098474i,-3.5905e-05-0.0012465i,6.6184e-05-0.00012207i,0.0003911+0.0011451i,0.00089694+0.0011515i,0.00083348+0.00040607i,0.00015169-2.2095e-05i,0.00026149-4.2702e-06i,-0.00044991+0.00012923i,-0.0013699+0.0005518i,-0.0013083+0.00054562i,-0.0010445+0.00031456i,-0.0012513+0.00030003i,-0.0010442-2.2303e-05i,-0.00025614-2.2548e-05i,0.00042771+0.0003673i,0.00081337+0.00035222i,0.00096791-4.1383e-05i,0.00064965-0.00028172i,9.4086e-05-0.00012293i,0.00036869+0.00054069i,0.00082727+0.00077275i,0.0004148-0.00017392i
0.00023076-0.00037772i,-0.00093916-0.00056594i,-0.0010131-0.0002195i,-0.00058971-0.00018198i,-0.0013098-0.00047702i,-0.0016969-0.00039041i,-0.001098-0.00019405i,-0.00098957-0.00013631i,-0.00068016+8.9615e-05i,-0.00057903-2.0681e-06i,-0.000312-0.00010231i,-0.00047342+0.0002438i,-0.00083282+0.00028584i,-0.00066739-0.00014261i,-0.00025835-0.00040282i,0.00064934-5.7543e-05i,0.0011752-0.00013739i,0.00087616-0.00013924i,-0.00038945-0.00087519i,-0.00090152-0.0010238i,-0.00063938-9.4049e-05i,-0.00043698+0.00053395i,0.00052747+0.00063919i
0.0016533+0.00070329i,0.0034676+0.0003296i,0.0029519+0.00073692i,0.0012223+0.00031584i,0.00045073+0.00034348i,-0.00039401+0.00063216i,-0.00085496+0.00077115i,-0.00062326+0.00028436i,3.2232e-05+0.0001523i,0.00065224+0.00047254i,2.98e-05+0.00036744i,-0.00021255+0.00097386i,0.0003913+0.0014467i,0.00026216+0.00094905i,2.3127e-05+0.0010434i,0.00054601+0.0012594i,0.00027838+0.00092096i,0.00016076+0.00055742i,0.00033542+0.00038603i,-0.00020216+0.00060177i,-0.00069319+0.00093711i,-0.00065142+0.0013159i,-0.00048278+0.0016286i
0.00070549+0.0026317i,0.0016837+0.00092613i,0.0019729+0.00028844i,0.0016722-0.00023069i,0.0013059-0.00087943i,0.00011178-0.00070279i,-0.00083888-0.0003036i,-0.00093229+3.7286e-05i,-0.00029286+0.00040734i,0.00040366+0.00050732i,-5.9186e-05+0.0001248i,-0.0003088+1.5088e-06i,0.0003584-0.00029763i,0.00023898-0.0008493i,0.0001909-0.00057567i,0.00042873-0.00010175i,0.00081998+0.00017341i,0.0010928+0.0003727i,4.2271e-05-0.00044198i,-0.00066603-0.0011157i,-4.1354e-05-4.4405e-05i,0.00035993+0.00055754i,0.00044387-4.2187e-05i
-0.0003332+0.0004622i,-0.0010882+0.00071733i,-0.00077585+0.0010248i,-0.00039949+0.00026371i,-0.00085981-0.0011387i,-0.0014511-0.0011217i,-0.0016587-0.00050365i,-0.0015812-0.00016582i,-0.00044159+0.00055438i,-0.00035674+0.00088636i,-0.00095236+0.00058303i,3.0534e-05+0.00047468i,0.00022662+0.00061056i,-0.00043594-2.008e-05i,-0.00084965-0.00088902i,-0.00047971-0.00057921i,-0.00047652-0.00021003i,-0.00082898-4.6123e-05i,-0.00048935-5.4103e-06i,-0.00024209-5.3942e-05i,0.00020198-0.00096138i,-0.00021949-0.001302i,-0.00058244-0.00030185i
0.0020509-8.1094e-05i,0.0023768+0.00031955i,0.0020708+0.00046926i,0.00068605+0.0010022i,-0.00075974+0.0014653i,-0.0012593+0.0011242i,-0.00066595+0.00049042i,-0.00018305+0.00010077i,-0.00042472+0.00017568i,-0.00089291+0.00051119i,-0.00059769-0.00016424i,-0.00042856-0.00070519i,-0.0011045-0.00024365i,-0.0013157-0.00015297i,-0.00044746+0.00030391i,-3.9911e-05+0.00039036i,-0.00018923-7.5681e-05i,-7.8498e-05-0.00061296i,1.7266e-06-0.00097767i,5.8051e-05-0.00041982i,-0.00030446-0.00078632i,0.00020679-0.00053292i,0.00053752-0.00035198i
0.00025762-0.0012991i,0.00032167-0.00054348i,0.0004385+0.00033089i,-0.00015727+0.00069034i,-0.00020846-0.00022949i,-0.00019838-0.00062916i,-0.00046904-0.0011827i,0.00017289-0.0019361i,0.00041178-0.00079386i,-0.00027646-0.00013553i,-0.00013846-0.0007714i,0.00053693-0.0008167i,0.00039217-0.000594i,0.00037869+1.3678e-05i,9.1983e-05+0.00062586i,0.00042703+0.00047465i,0.0012425+0.0001544i,0.0010457-0.00061265i,0.00025648-0.00097989i,-0.00078424-0.00028543i,-0.00055762+4.7372e-05i,0.0001654-0.00047998i,0.00048113-0.00035788i
0.00028366+0.00015685i,-0.00016528+0.00079985i,0.00057199+0.00046544i,0.00044663-0.00034278i,-0.00012985-0.0010702i,-0.00038391-0.0010141i,-0.00053891-0.00040195i,-0.00037204+0.00030861i,2.5023e-05+0.00073253i,-0.00010118+0.00026792i,-0.00089303+0.00024588i,-0.00034451+7.4122e-05i,0.00058349-0.00024005i,0.00024562-4.3255e-05i,0.00024723+0.00017049i,0.00037763+5.7742e-05i,-0.00032217-5.3709e-05i,-0.00069596-6.0354e-05i,-0.00060095+5.7572e-05i,-0.0002061+0.00025377i,-1.5791e-05+0.00025025i,0.00040953-6.3583e-05i,0.00011548+0.00031748i
0.0038655+0.00076348i,0.0027159+0.0014464i,0.0017452+0.0010152i,0.00079463+0.00064039i,-0.0011917+0.0010873i,-0.0016303+0.0011073i,-0.00093249+0.00058315i,-0.00043492+0.00021091i,-0.000394+0.00050015i,-0.00039762+0.00029177i,-0.00034505-0.00030347i,-0.0002448+0.00036479i,-0.0005307+0.0015696i,-0.00076152+0.001904i,-0.00050362+0.0015518i,-0.00025062+0.00065309i,0.00086381+0.00044851i,0.0014205+0.00019477i,0.00093594-0.00058414i,-0.00018421+4.9241e-05i,-0.0007279+0.00028181i,-0.00029256+0.00029832i,0.0010588+0.00076348i
0.0013606-0.00099669i,0.0010098-0.0009075i,-8.3955e-05-0.00078669i,-0.00058189-0.00052286i,-0.0011974+0.00016216i,-0.0013466+0.0005165i,-0.00058164+0.00012913i,-0.00027762-0.00014893i,-0.000153+0.00017177i,0.00031729+0.00095036i,0.00054463+0.00073285i,0.00039346+0.00039015i,-0.00021269+0.00068604i,-0.00021241+0.00035243i,-0.00034192+0.00042665i,-0.00021544+0.0010492i,0.00026643+0.00068551i,0.00018674-0.00061346i,0.00026435-0.0014861i,0.00048278-0.0016704i,0.00030278-0.00086418i,-5.0162e-05-3.3387e-05i,-0.00064818+0.00016997i
