-0.0035667-0.00099943i,-0.003515-0.0001319i,-0.0039776+0.00092942i,-0.0039898+0.0015702i,-0.0024414+0.0022023i,-0.0010714+0.0023477i,5.7967e-05+0.0019193i,0.0012806+0.001412i,0.0018273+0.00042554i,0.0011531-0.00038146i,0.00018471-2.4652e-05i,-6.6883e-06+0.00010916i,0.00054692-0.00027222i,0.00058644+3.7232e-06i,0.00014823-2.6355e-05i,7.3442e-05-0.00023215i,-0.00039461+0.00035939i,-0.00084517+0.00036269i,-0.00027285+0.00020679i,-0.00048798+0.00057001i,-0.00089688+0.0012768i,-0.0009248+0.00022193i,-0.00051051-0.00041017i
-0.00038429-0.00054794i,-0.00021287-0.00025362i,0.00025178-0.00092294i,0.00047379-0.0011535i,0.00038918-0.00069328i,0.001196-0.00010513i,0.0015066+0.00013231i,0.00080149-0.00041886i,0.0012407-0.00066465i,0.0017619-1.2398e-06i,0.00066759-0.00028847i,0.00048638-0.00051553i,0.00039203+0.00021641i,-0.00051314+0.00042621i,-0.00063214-0.00035691i,-0.00040684-0.00048808i,9.6855e-05-0.00034849i,0.0004795-0.00087358i,0.0003223-0.00029873i,-0.00010773+0.00054948i,0.00035112+0.00075481i,0.00086454+0.00089942i,-1.2557e-05+0.00069984i
0.0018614-0.001389i,0.00088337-0.0018222i,-0.00050107-0.0038024i,-0.0012476-0.0045818i,-0.00098715-0.0033452i,-0.00020449-0.0010245i,0.0012156+0.00066728i,0.0018071+0.00023345i,0.00075062-0.0010765i,0.00042737-0.0013483i,0.00064483-0.0010419i,0.00030688-0.00032953i,3.2878e-05+2.6776e-05i,0.00049088-0.000102i,5.5697e-05-0.00019824i,-0.00070945-0.00060242i,-0.00098772-0.00072717i,-0.00043696-0.00024772i,0.00027395+0.00026309i,0.00042697+0.00028268i,0.00023771-0.00023577i,-0.00011888-0.00086995i,-0.00062063-0.00096487i
0.00031547-0.00030442i,-0.00062653+0.00076952i,-0.00086941-0.00011706i,-0.00059019-0.0015712i,-0.00039463-0.00072356i,0.00043632+0.00088838i,0.0012761+0.00072113i,0.0011443-3.5885e-05i,0.0013156-6.133e-05i,0.0012827+0.00011192i,0.00068032+0.00055681i,6.31e-05+0.00027346i,-0.0003978-0.00045875i,-0.00020174-0.00036766i,0.00038071-0.00026909i,0.00013333+6.8485e-05i,-0.00036755+0.00069179i,-0.00047426+0.00072495i,-0.00062352+0.00036183i,-0.00021211+0.00012899i,0.00033022-0.00024174i,0.00025654-0.00034851i,-0.00037095-0.00019053i
-0.001625-0.0045213i,-0.0013184-0.0043307i,-0.0021217-0.0034139i,-0.0027164-0.0024317i,-0.0018625-0.0013219i,-0.00048543-0.00028095i,0.00094775+0.00019825i,0.0021249-0.00010432i,0.0018658-0.00049213i,0.00083389-0.0002465i,0.00029516+7.2861e-05i,0.00063584-5.8922e-05i,0.00063176-3.4505e-05i,0.00033265-0.00027027i,4.5228e-05-0.00080638i,-0.00032765-0.000312i,-0.00029393+5.6381e-05i,0.00019176-0.00024064i,0.00011267-0.00039432i,-0.00071192+0.00030504i,-0.00025643+0.00077006i,0.00034394+0.00031665i,0.00052206+0.00026745i
0.00042776+0.002819i,0.0016629+0.0017797i,0.0023668+0.0013677i,0.0017274+0.00024025i,0.00097792-0.0010114i,0.00061536-0.00067803i,0.00073698-0.00019656i,0.00018262+0.00018984i,0.00022617-4.4238e-05i,0.0013552+0.00022703i,0.0015195+0.00092788i,0.00072894+0.00048065i,0.00014564+0.00019906i,5.5686e-05+0.00051565i,-0.00034884-0.00019759i,1.0573e-05-0.001094i,-0.00016421-0.00073839i,-0.00030382+2.7322e-05i,-0.00012287+9.5907e-05i,-0.00025611-0.00020865i,-0.00018751-0.00026761i,0.00011749+0.00026674i,0.00070432+0.00034092i
-0.0011055+0.00011248i,-0.001589+0.00045183i,-0.0011546+0.00075675i,0.00023054-0.00058964i,0.0010143-0.0011799i,0.0012867-0.00058752i,0.0014416-0.00046233i,0.0012656-0.00069948i,0.0012931-0.00038775i,0.0014005-0.00012093i,0.0016668+0.000334i,0.0015148+0.00073912i,0.00045094+0.00042437i,-0.00018942+0.0002298i,-0.00034409-5.3826e-05i,-6.3925e-05-0.00042905i,0.00053184-0.00040114i,0.00041984+0.00061653i,-8.2389e-05+0.0012533i,0.00042058+0.00036079i,0.00031248+1.7923e-05i,-0.00011222+7.37e-05i,-0.00010277+0.00031233i
-0.00088647+0.0017063i,-0.00127+0.0015366i,-0.0005174+0.0013136i,0.00056802+0.0014169i,0.0008432+0.0011789i,0.00079424+0.00082939i,0.0013267+0.00047289i,0.001359+0.00014197i,0.00061329+9.8225e-05i,0.00080553-0.00056082i,0.0016483-0.00078152i,0.0013305-0.00018663i,0.00038619+0.00058303i,7.1367e-05+0.00035168i,0.00081884-0.0006583i,0.00094734-0.00072297i,0.00020346-0.0002486i,-0.00043037-0.00027255i,-0.0011598-0.0008374i,-0.0011672-0.00093243i,-0.00029461-0.00044875i,0.00023003-0.00024414i,0.00099556-0.00041413i
-0.00037962-0.00072997i,0.00015289-0.00027416i,-4.526e-05-5.6349e-05i,-7.9959e-05-0.00067802i,-6.8659e-05-0.00019284i,0.00053939+0.00070102i,0.0015496+0.0005144i,0.0016975+0.00026347i,0.00093037-6.0988e-05i,0.00044874-0.00058798i,-0.00034479-0.00079183i,-0.00074486-0.00066432i,-0.00015333-8.6906e-05i,0.00050581-0.00034385i,0.00044546-0.00054113i,0.00036454-0.00081166i,0.00037553-0.00045444i,-0.00024409-2.9307e-05i,-0.0011301-0.0002889i,-0.00024568-0.00022417i,0.00034118-0.00041122i,8.6177e-05-0.00033466i,0.00016192+0.00024619i
0.0022689-0.00047272i,0.0023891-0.00045901i,0.0016732-0.00089323i,0.0012654-0.0017511i,0.00070718-0.0016125i,-0.00024447-0.00069513i,-0.00011387-0.00029809i,0.00025175+9.7991e-05i,0.00025005+0.00077656i,0.00022873+0.00032433i,9.8869e-05+0.000335i,-0.00013926-0.00015933i,1.2434e-05-0.00078624i,-4.8214e-05-0.00044438i,-0.00049887-0.00041022i,-0.00071209-0.00050513i,-0.0006412-0.00058316i,-0.00033691-0.00038021i,0.0001204+0.00030501i,0.00045061+0.0010722i,0.00029774+0.00095427i,0.00037102+0.00019524i,5.2298e-05+4.1556e-05i
-0.00039032-8.6371e-05i,0.00018725-0.00050719i,0.00049001-0.0011903i,0.00034702-0.0011011i,0.0011391-0.0009957i,0.0016429-0.00028607i,0.0015049+0.00013638i,0.0015229-0.0010838i,0.00096921-0.0006361i,-8.4134e-05+0.00034106i,-0.00058327+0.00056571i,-2.1649e-06+0.001088i,0.00034891+7.962e-05i,-0.00044187-0.00043535i,-0.00042301-0.00036935i,3.2743e-05-0.00070667i,-0.00020783-0.00026746i,-8.5514e-05-0.0003607i,-0.00016571-0.00062901i,-0.00021979-4.1157e-05i,-9.7665e-05+0.0004644i,-8.841e-05+0.0004624i,0.00026126+0.00062652i
-0.0018685+0.0018625i,-0.0011652+0.0011255i,-0.00078027+0.00020918i,6.3245e-05+4.0946e-05i,0.0012363-0.00025209i,0.0016294-0.00073244i,0.00091703+4.8377e-05i,0.00059909+0.00035329i,0.00096569+0.00010194i,0.001441+2.2311e-05i,0.0012137+0.00028393i,0.00034683+0.00037438i,0.00076313+0.00034702i,0.0012178+9.4922e-06i,0.00038427-0.0011968i,-0.00015939-0.0011491i,0.00031153-0.00046441i,-6.3917e-06+5.3919e-05i,-0.00063286+0.00033165i,-0.00040388+0.00018041i,0.0002369+0.0003604i,0.00020056+0.00015992i,-3.5212e-06-0.00028964i
-0.0014973-0.00070834i,-0.00064437-0.00074675i,-0.0006529-0.00043671i,-0.0016287+0.00024941i,-0.0015851+0.00066764i,-0.00080196+0.00082691i,9.6542e-05+0.0011552i,0.00093021+0.00097681i,0.0016212+7.3634e-05i,0.0020084-0.00031987i,0.0017163-0.00017364i,0.00066803-0.00035924i,0.0002618-0.0006467i,0.00013047-0.0008666i,-0.00040838-0.00074769i,-0.00083275-0.00038387i,-0.00021962-0.00024416i,-8.7624e-05-0.00052519i,-0.00060355-0.00012076i,-0.00070573+0.00044738i,-0.00070219+0.00060381i,-0.00011261+0.00060688i,0.00078607+0.00043491i
0.00050209-0.00015917i,-0.00027572+0.00085693i,-0.0010768+0.00040385i,-0.00138-0.0010746i,-0.0011357-0.0016062i,0.00053774-0.00019686i,0.001949+0.001234i,0.0013043+0.00053413i,0.00043729-0.00055963i,0.00073345-0.00096405i,0.00096909-0.0011753i,0.00038271-0.0011937i,-0.00027597-0.00083749i,-5.7795e-05-0.00037179i,0.00059452-0.0003731i,0.00075445-0.00018368i,0.00052916+0.00068519i,0.00023936+0.00092178i,0.00013935+0.00079093i,0.00022481+0.0006137i,-0.00010705+0.00059765i,-0.00043143+0.00055999i,-0.00012529+0.00063816i
-0.001034+0.00036374i,-0.0014032-0.00051089i,-0.0014329-0.0025746i,-0.0012119-0.0025715i,-0.0010346-0.0007755i,-0.00017192+0.00032254i,0.00095632+0.00016757i,0.0013055-0.00017321i,8.7238e-05-0.00067041i,-0.00046925-0.0017183i,2.5208e-05-0.0019899i,0.00012863-0.00079411i,0.00026783+0.00071568i,0.00055691+0.00087988i,9.2263e-05-8.1646e-05i,-0.00097284-0.00024685i,-0.0010247-7.0716e-05i,-0.00023079+0.00025984i,-0.00021733+0.00045351i,-0.00015623+0.00024083i,-0.00018021-0.00019466i,-0.0003638-0.00066653i,0.00032499-0.00062481i
0.00096742-0.00089099i,0.00078806-0.0019992i,0.001074-0.0020503i,2.576e-06-0.0016662i,-0.00018302-0.0018805i,-0.00014703-0.00038735i,0.00030285+0.00069419i,0.0010363-4.953e-05i,0.00021752+0.00051008i,-0.0004009+1.8971e-05i,-0.0001985-0.00026726i,-0.0009214+0.00066123i,-0.0011597+0.00083498i,8.4447e-06+0.00076047i,0.0005416-3.3186e-05i,-0.00026195-0.00039054i,-0.00079009-0.00010133i,-0.00042155+7.68e-05i,2.0505e-05+0.0002848i,0.00059995-0.00013086i,0.00078345-0.00068865i,4.1939e-07-0.00049179i,-0.00087754-0.00030301i
3.8318e-05+0.00043731i,0.000225-1.2279e-05i,-0.00032622-0.0013236i,-0.0013841-0.0019989i,-0.00062957-0.00050734i,0.00057818+0.0014244i,0.0015054+0.0014775i,0.0025804+0.00016494i,0.0026936+0.00019361i,0.0017872+0.0015403i,0.0004196+0.0010792i,9.5601e-05-0.00039334i,0.00018228-0.00014387i,-0.00059589+5.8553e-05i,-0.00099059-0.0006211i,-0.00028655-0.00083687i,-6.4862e-05-0.00041869i,-0.00061498-0.00025231i,-0.00054989-0.00044942i,-0.00035094-8.0971e-05i,-0.0007472-0.00017821i,-0.00094641+2.5121e-05i,-0.00025746+0.00051201i
-0.0013191-0.0010678i,-0.0013769-0.00068176i,-0.001052-0.0010062i,-0.0019565-0.0015465i,-0.0014576-0.0016209i,0.00070645-0.00053527i,0.0025351-0.00037647i,0.0027704-0.0007645i,0.0016893-0.00018342i,0.0010649-1.7703e-05i,0.00043245+0.00023568i,0.00015408+0.0002084i,0.00042603-0.00017832i,6.3118e-05-0.00017978i,-0.00025053-0.00040504i,-0.00045512-0.0010698i,-0.00041887-0.0017029i,-0.00029484-0.0011383i,-0.0006321+8.9385e-05i,-9.7042e-05+0.00035798i,0.00091917+0.00027074i,0.00025622+0.00068558i,-0.00012985+0.00079858i
0.00046599-0.00025415i,0.00047021-0.0017173i,0.00019798-0.0027471i,-0.00090601-0.0035017i,-0.00096384-0.0024641i,-0.00020756-0.0007052i,0.0012696-0.00018012i,0.0018376-0.00084404i,0.0015078-0.00070411i,0.0018138-4.4818e-05i,0.0022377-4.6519e-05i,0.0020976+1.7292e-05i,0.0017024+3.9582e-05i,0.001089+9.1292e-05i,-4.2589e-05-0.0002179i,0.00010992-0.0003816i,0.00060046-0.00012532i,-0.00014579-0.00077601i,-0.00046104-0.00079622i,-0.00062176-0.00018817i,-0.00068239+0.00038939i,-0.00035133+0.00041788i,-0.00021898-4.7152e-05i
-0.0019775-0.0019188i,-0.0019439-0.00088346i,-0.0012618-0.00065253i,-0.00011297-0.00078094i,0.00015046+0.00036174i,0.00038424+0.0012064i,0.0012637+0.00073919i,0.0012664-3.3944e-05i,0.0011901-0.00026804i,0.0018058-0.0005372i,0.0014791-0.00089651i,0.0010398-0.00057644i,0.0013189+3.0575e-05i,0.00060244+0.00058666i,-0.0002897+0.00020336i,-0.00020052-0.0005818i,-0.00038113-0.00083814i,-0.00056371-0.00097028i,-0.00030388-0.0005004i,0.00012818+0.00016851i,-6.5142e-06+0.00059987i,-0.00015461+0.00061398i,0.00060888+0.00045694i
-0.0020953-0.0010758i,-0.0023293-0.0018006i,-0.0029285-0.0013318i,-0.0020621-0.00032456i,-0.00099758+3.4124e-05i,-0.00026541+0.00039673i,0.00077445+0.0002643i,0.0015158-0.00017905i,0.0011668-0.00039509i,0.00022556-0.0009946i,-8.5326e-05-0.00043808i,-0.00020175+0.00032029i,0.00042872+0.00039277i,0.001111+0.00028353i,0.0010702-0.00018634i,0.00050517-0.0011292i,-7.3866e-05-0.0010085i,-0.00034322+0.00036441i,-0.00021274+0.00069059i,-0.00015241-7.302e-05i,-0.00053013+0.00013346i,-0.00053912-0.00025008i,-0.0004334-0.00041129i
-0.0021796+0.00058441i,-0.0017247+0.0013925i,-0.00074698+0.0017773i,-0.00011109+0.0011678i,-0.00020215+9.5054e-06i,0.0010435-0.00052304i,0.0024548+0.00021222i,0.0020041+0.00022407i,0.0010731-0.00065029i,4.6283e-05-7.4247e-05i,-0.00037763+0.00047785i,-0.00021807+0.00095662i,-0.00019491+0.0010281i,-0.00012905+0.00042798i,-0.00022236-0.00048376i,-0.00034705-0.00075406i,6.2086e-05-0.00040065i,0.00041816-0.00061214i,0.00032892-0.00090083i,-8.9264e-05-0.0010395i,-5.5885e-05-0.00052211i,0.00059398+0.00019108i,0.00045117+0.00043468i
-0.0024277-0.0027846i,-0.0034364-0.0019892i,-0.0033884-0.0011495i,-0.0028143-0.00025335i,-0.0025095+0.00069032i,-0.00023618+0.0014234i,0.0015154+0.0012744i,0.00081908+0.00030073i,-6.5411e-05-0.00011561i,-0.00030736+0.0013331i,-0.0006069+0.0019865i,-2.0484e-06+0.0014562i,0.00077676+0.00087809i,0.00066673+0.00013559i,0.00051161-0.00029336i,0.000186-0.00029495i,-0.0012537-0.00039487i,-0.0020221-0.00039452i,-0.0010777+7.8588e-05i,-0.00053241+0.00087806i,-0.00042621+0.00057253i,-8.0933e-05-0.00032367i,-0.00027723-0.00085144i
-0.0010253-0.0013116i,-0.00065391-0.0012306i,-0.00028193-0.0020694i,-0.0014487-0.0019393i,-0.0021315-0.0015408i,-0.00044651-0.00031927i,0.0015745-0.00041905i,0.0021628-0.00077211i,0.0019478+0.00024934i,0.0013243+0.0010175i,-0.00030119+0.0011586i,-0.0016142+0.00076141i,-0.0014298+0.00011054i,-0.0012731-0.00015184i,-0.00075074-0.00022633i,0.00012387+2.5133e-05i,0.00025742-0.00021241i,-9.4565e-05-0.00073115i,1.8278e-06-0.00069202i,0.00011125-5.2908e-05i,-2.9231e-05+0.00043029i,-0.000594+9.7136e-06i,-0.00074315+0.00087084i
-0.0024592+0.0016179i,-0.0015982+0.0017287i,-0.00036197+0.0020995i,-0.0002099+0.0011494i,0.00028249-0.0004452i,0.00077191-0.00038955i,0.0007872+0.00039886i,0.00068244+0.00017765i,0.00056123+0.00031808i,0.0014331+0.00076877i,0.002113+0.00080809i,0.0017731+0.0008154i,0.001194+0.00010219i,0.0010865-0.00078846i,0.00071287-0.0013859i,0.00044456-0.0013112i,0.00031003-0.00017985i,-0.00033268+0.00021707i,-0.00055532+8.688e-05i,5.4474e-05-0.00019913i,0.001118-0.0003462i,0.00091677-0.00052801i,0.00036013-0.00072762i
0.0020999+0.00010522i,0.0022805-0.00046375i,0.0034121-0.0021841i,0.0025085-0.0032484i,0.00028941-0.0023555i,-0.0006217-0.0011758i,0.00049924-0.00010061i,0.00083487-0.00027036i,0.00069819-0.0011625i,0.0017861-0.0010621i,0.0016053-0.0010067i,0.00055763-0.0015651i,-0.00011635-0.0014358i,0.00036624-0.00089642i,0.0010759-0.00064402i,0.00059888-0.00069608i,0.00025685-0.00029296i,-0.00013761+0.00082272i,-0.00025164+0.0010308i,5.3099e-05+0.0005975i,0.0001259+1.7529e-05i,-0.00023796-6.9747e-05i,-0.00017958-0.00010359i
-0.00098533-9.2328e-05i,-0.0013829+0.0002077i,-0.0016937+0.00091155i,-0.0006102+0.00034847i,6.0932e-05-0.00020462i,0.00011437+0.00086908i,0.00051607+0.001637i,0.00038752+0.0014215i,7.0448e-05+0.00078764i,-0.00023914-0.00023327i,-0.00034641-0.00087909i,-0.0002208-0.0012377i,-0.0004123-0.001205i,-0.00038319-0.00061635i,5.3407e-06-3.0304e-05i,0.00035845-0.0002966i,0.00061455-0.00048512i,-0.0001894-2.082e-06i,-0.000778+0.00047427i,-0.00062826+0.00068441i,-0.00047744+0.00099027i,-0.00042506+0.0011869i,-0.00013971+0.0010052i
0.00033014-0.0017859i,0.00024171-0.0016803i,-0.0009927-0.0022027i,-0.0015338-0.0019594i,-0.00097745-0.00094166i,-0.00032579+0.0002177i,0.00075884+0.00073382i,0.0015501+9.9994e-05i,0.00095565+0.00039267i,0.00032333+0.00095808i,-0.0004233+0.00037882i,-0.00084409-0.00012309i,-0.00059779-0.00024789i,6.5898e-05-6.1449e-05i,0.00020113-0.0006136i,0.00017479-0.0005767i,0.00017723+0.00032953i,8.3129e-05+0.00016762i,0.00035445+5.4927e-05i,0.00027831+0.00025309i,-0.00034308+0.00018989i,-0.00070121+3.9382e-05i,-0.00049928+0.00036247i
-0.00082501-0.0016275i,-0.00092325-0.00030427i,-0.0013594-0.00056814i,-0.0014798-0.00056305i,-0.0013646+0.00026i,0.00024271+0.00062788i,0.0025494+0.00066402i,0.0029362+0.00025092i,0.0014977+0.00042795i,0.00019103+0.00042394i,-0.00016525+0.00053099i,-2.8304e-05+0.00036761i,0.00075866-0.00012554i,0.00016681-7.3654e-05i,-0.00058553-0.00023637i,-9.0924e-05-0.00049293i,-0.00010783+0.00045286i,-0.00062323+0.00035157i,-0.00062363-0.00022259i,-0.00065455+0.00010568i,2.0032e-05+0.00083796i,0.00046048+0.0008496i,0.00051011+0.00055942i
-0.00092228+0.0010364i,-0.0012234+0.0006735i,-0.00053184+0.00044405i,-0.00011524-0.00018472i,0.0014925-0.00062579i,0.0024955+0.00037508i,0.0028371+0.00079703i,0.0028764+0.00034222i,0.0022115-0.00023704i,0.0022607-8.9639e-05i,0.0019798+0.00038434i,0.0010522+0.0007388i,0.00033142+0.00012514i,0.00020152-0.00044822i,-0.00029677-0.0002262i,-0.00053665-0.00024933i,-0.00087881-0.00093611i,-0.0012546-0.00082664i,-0.0008484-0.00035898i,-0.001069-0.00037833i,-0.00088277-0.0002318i,0.00014227-0.00017175i,1.9799e-05+0.00015554i
-0.00030371-0.00079303i,0.0002144-0.00062668i,0.00062347-0.00055635i,0.00039244-0.00071502i,-0.0010005-0.0010671i,-0.00094043-0.0007325i,0.0013351-0.00044495i,0.0022777-0.00074526i,0.0013157-0.00087721i,0.00074853-0.00054996i,0.0009976-5.9154e-05i,0.0014092+0.00028346i,0.0012212-1.4796e-05i,9.3875e-05-0.00040696i,-0.00029157-0.00036712i,0.00013636-0.00019411i,0.00014991-0.00027874i,-0.00043491-0.00054499i,-0.00085219-0.00056631i,-0.00054759-0.00097681i,-0.00037474-0.00093893i,-0.00034797-0.00012409i,-2.2511e-05+6.169e-05i
0.0010101-0.001184i,0.00024718-0.0016077i,5.7811e-05-0.0020268i,0.00088912-0.0026023i,0.0010574-0.0021876i,0.0010928-0.00035695i,0.0013741+0.00048578i,0.001467+0.00022119i,0.0013448-0.00039127i,0.0014713-0.00096016i,0.0015494-0.0010337i,0.0016909-0.00059033i,0.00090658-0.00020307i,-4.172e-05-4.542e-05i,-0.00010618-0.00038666i,-0.00029728-0.00068605i,0.00025296-0.00093322i,0.00016014-0.00064546i,-0.00053054+6.7305e-05i,-9.2258e-05+0.00047963i,0.00058901+0.00062763i,0.00036952+0.00044406i,-0.00021853-0.00025171i
-0.00043489-0.0014185i,0.0011225-0.001834i,0.00027359-0.0019419i,-0.0017688-0.0020663i,-0.001504-0.0010243i,0.00037759+0.00075452i,0.0014979+0.0010307i,0.0017471-0.00016748i,0.0010505-0.00083264i,-0.00010104-0.0010233i,-0.00024-0.0015054i,-0.00010631-0.0014501i,-0.00018183-0.00021012i,9.5757e-05+0.00054741i,0.00031171-0.00015043i,0.00073045-0.0007192i,0.00077021-0.00047964i,-0.00039113+0.00027308i,-0.00054058+0.00051359i,0.00020315-0.00010555i,-0.00025303-0.00090579i,-0.00095048-0.00070046i,-0.00088+0.00019566i
