0.0010862+8.3481e-05i,0.00057134-0.00015285i,0.0011018-0.00093791i,6.3121e-05-0.001738i,-0.0022616-0.00071773i,-0.0025946+0.0011997i,-0.0010157+0.0027006i,0.00066354+0.0016533i,0.0010844-0.00030003i,0.00081897-0.0013719i,0.00025822-0.0016896i,-0.00029253-0.0013049i,-0.00091738-0.0010316i,-0.00098937-0.00028621i,-0.00085416+0.00038168i,-0.0011616+1.6356e-05i,-0.0012847-0.00048796i,-0.00099961-0.00031i,-0.00038492+0.00032375i,0.00026828+0.00087016i,0.00019118+0.00036593i,-0.00044037-0.00020143i,-0.00045592-0.00012648i
-0.00099713+0.00060548i,-0.00047362-0.00016337i,-0.00080789-0.00031687i,-0.001886-0.00023019i,-0.0026497+0.00048119i,-0.0024013+0.0010037i,-0.0016522+0.00030208i,-0.0010178-0.0011057i,-0.00037476-0.0017063i,4.0446e-05-0.00055604i,0.0003955+0.00022174i,-0.00067438-2.5682e-05i,-0.0012285+0.00033037i,-0.00022924+0.00034921i,0.00080587+1.5776e-05i,0.00092997+0.00037681i,0.00030412+0.00089909i,-0.00068886+0.0010038i,-0.00058442+0.00081327i,-0.00025569-1.135e-05i,-0.00071594-0.00062031i,-0.00080502-0.0003651i,0.00014232-0.00021751i
0.00034471-0.00090549i,-0.00060632-0.00023633i,-0.00058425-0.0010539i,-0.00058082-0.0012105i,-0.0015161-0.0005029i,-0.0020375+0.00018697i,-0.0014399-0.00040932i,-0.00048244-0.0016671i,-0.00014601-0.0018677i,-0.00029271-0.0010363i,-5.9488e-06-0.0008947i,0.00021411-0.0008113i,0.00020382-0.00055057i,-0.00011497-0.00047892i,-0.00029512-0.00077211i,-0.00013815-0.0016498i,7.7892e-05-0.0011002i,-0.00045917-0.00018121i,-0.00078932+5.4856e-05i,-0.00045676-3.2063e-05i,0.00016109-0.00045716i,0.00029731+0.00029842i,-0.00042129+0.00042565i
0.00091303-0.00029064i,0.00052212+0.00014712i,-0.00062672+5.4177e-06i,-0.0011603+0.00012091i,-0.0015626+0.0012959i,-0.0016405+0.0015383i,-0.00066395+0.00056046i,0.00011851-0.00027718i,0.00021854-0.00074431i,-0.00037032-8.2721e-05i,-0.0002306+9.6865e-05i,0.00046299-0.00085432i,0.00050515-0.0016081i,7.7717e-05-0.0013124i,3.8417e-05+0.00011864i,0.00015633+0.00037531i,0.00052356-0.00030633i,0.00064973-0.00029386i,0.00052123+0.00035954i,0.00016402+0.00023201i,4.3082e-05-0.00081822i,-0.00016274-0.0009179i,-0.00053274-0.00015632i
-0.0022966+0.0020556i,-0.0026089+0.0016422i,-0.0024343+0.001335i,-0.00084399+0.0015826i,-0.00090707+0.0006179i,-0.001641-0.00091425i,-0.0005087-0.0011447i,0.0012827-0.0010559i,0.00058942-0.0010916i,-0.00031035-0.0004488i,-2.6255e-05+0.00050659i,-8.6263e-05+0.00052821i,-0.0005371-0.00031223i,-0.00039466-0.00079956i,6.0503e-05-0.0002603i,0.00032423+0.00038078i,0.00052755+0.00071587i,0.00051117+0.00047313i,0.00039073+0.00037454i,0.00027878+0.0001238i,4.6753e-05-0.00021127i,2.1191e-05-0.00056531i,-0.00011226-0.00032843i
0.00047762+0.00089502i,0.0008806+0.0010682i,0.0011652+0.0015332i,-0.00033851+0.0012221i,-0.0021542+0.00067964i,-0.0015043-6.5397e-05i,-0.00029872+6.9953e-05i,0.00078962-0.00038476i,0.0016556-0.0011582i,0.0011915-0.001108i,-6.7621e-05-0.00052979i,-0.0011067-0.0003667i,-0.0011123-0.00038752i,5.2255e-05-2.4272e-05i,0.00071484-7.1365e-05i,0.00043175-0.00051243i,0.00012279-0.00048033i,-0.00026-0.00039098i,-0.00021151-0.0001222i,0.00043557+0.00057601i,0.00025126-0.00019233i,-4.8116e-05-0.0008698i,-0.00032322-0.00063643i
0.0001234+0.00066126i,0.00033161+0.00062352i,-0.0010019-0.00014835i,-0.0020271-0.00086671i,-0.0022705-0.00048667i,-0.0017147+1.7393e-05i,-0.00052078-0.0004101i,-5.8069e-05-0.0015328i,-0.00099907-0.0020101i,-0.002001-0.0013996i,-0.0018945-0.00071778i,-0.0012211-0.0001901i,-0.00057857+0.00043622i,-0.00024249+0.00098726i,-0.00028908+0.00044716i,-0.0003762-0.00011493i,-8.3698e-05+8.2682e-06i,-0.00050164-2.2197e-05i,-0.00028669-0.00018548i,0.00037414-0.00011481i,7.7066e-05+0.00017926i,-0.00037967-6.1124e-06i,-0.00019992+0.00016976i
-0.00060928+1.7962e-05i,-0.00035164-0.00035623i,-0.00011921+0.00036796i,-0.0003926+0.00095792i,-0.00080029+0.0010752i,-0.00067873+0.00025349i,0.00047595-0.00070802i,0.0013746-0.0011395i,0.00062109-0.0018274i,-0.00067049-0.0018558i,-0.0011825-0.00096022i,-0.00076312-0.00042879i,-0.00022017+0.00038229i,-0.00010502+0.00082076i,0.00036238+0.00046391i,0.00076988+0.00033225i,0.0003597-7.8398e-05i,8.9783e-05-0.00056547i,-3.026e-05-0.00087349i,-0.00047761-0.0011223i,-0.00039015-0.00070209i,0.00035628-0.00089604i,0.00057389-0.001035i
-0.00017069+0.00061986i,-0.0005019+0.00038815i,0.00014273+0.00025151i,-0.00041405-0.00074831i,-0.001484-0.0012192i,-0.0013441-0.0001232i,-0.00015425+0.00042489i,0.00060473-0.00038796i,-0.00013345-0.0013826i,-0.00053006-0.001308i,-0.00013834-0.00098277i,3.3841e-06-0.00064381i,-0.00042494-0.00028024i,-0.00038397-0.00034913i,-9.0246e-05-0.00016346i,-3.7486e-05+0.00049816i,0.00023331+0.00094592i,0.0011097+0.00045063i,0.00061429-0.00043261i,-0.00035557-0.00036646i,-0.00049797-4.0792e-05i,-0.00080912-0.00014748i,-0.00061023-0.00036439i
0.00027098-0.0015281i,-0.00011646-0.0013254i,-0.001456-0.00020951i,-0.0028288-0.00012012i,-0.0032811-0.00036528i,-0.0022785+0.00014863i,-0.0010547+0.00051132i,-0.00033126-0.00053992i,-0.00019117-0.0016791i,-0.00093849-0.0012693i,-0.00061882-0.00079769i,-0.00026874-0.00046009i,-0.00057474+0.00013876i,-0.00020927-0.00015873i,8.101e-05-0.00095463i,5.6513e-05-0.00041582i,-0.00011325-0.00033363i,0.00026521-0.00063781i,0.00068318-0.00025684i,0.00043094-0.00026445i,6.1287e-05-0.00094358i,2.9699e-05-0.0016317i,-1.6431e-05-0.001451i
-0.001769+0.0026549i,-0.0015118+0.0014585i,-0.00077891+0.0020574i,-0.00052391+0.0017403i,-0.0010731+0.00068181i,-0.0012952-0.00071211i,-0.00059276-0.0013592i,4.762e-05-0.0013478i,-0.00022798-0.0011281i,-0.00070503-0.00045016i,1.3584e-05-0.00020143i,4.6117e-05+0.0001343i,-0.00032216+0.00070018i,0.00011657+0.0003627i,0.00045589-0.00046073i,0.00014209-0.000385i,-0.00027357+0.00021522i,-0.00010171+5.8477e-05i,0.00043831-0.00041915i,0.00060187-0.0012777i,0.00048261-0.0013278i,0.00046531+0.00011687i,-9.3448e-05+0.0008869i
-0.00095423+0.00072641i,-0.001253-0.00034213i,-0.00040764-0.0006652i,6.088e-05-0.00048683i,-7.6752e-05-0.00014086i,-0.00032583+0.00069118i,9.9068e-05+0.00012326i,0.00067217-0.0015317i,9.8651e-05-0.0014406i,-0.00055546-0.00071917i,-0.00041831-0.00049474i,-0.00042899-2.5815e-05i,-0.00046211+6.5884e-05i,-0.00068995+0.00011404i,-0.00040847+2.1054e-05i,0.00042124+0.00053581i,0.0010421+0.00052054i,0.00046655-1.9342e-05i,-0.00030387-0.00014148i,0.00012762+5.2225e-05i,0.00016316-0.00030757i,-8.4922e-06-0.00039698i,0.00033292-0.00017868i
0.00022453-0.0005599i,9.1562e-05-0.00092686i,-0.0013931-0.0013787i,-0.0028903-0.001742i,-0.0039816-0.0012294i,-0.0028672-0.00061703i,-0.00060313-0.00025872i,0.001467-0.00053851i,0.00099245-0.0016186i,-0.00058331-0.0014729i,-0.0010585-0.00040016i,-0.00043681-0.00032382i,-1.6573e-05+4.6597e-05i,0.00013425+0.00037254i,-0.00058959-2.9796e-05i,-0.0010939-0.0001743i,-0.00059381-0.00031838i,-0.00060297-0.00049787i,-0.00040072-0.00091584i,9.7042e-05-0.0005629i,0.00033941-0.00041984i,0.00054604-1.1649e-05i,8.0142e-05+0.00083583i
-0.0015123-0.0019521i,-0.0012114-0.001803i,-0.00047987-0.0016527i,-0.00065166-0.00034356i,-0.0014595+0.0009975i,-0.0019134+0.00097288i,-0.00067479-0.00012962i,0.0014256-0.0011627i,0.0016949-0.0015573i,0.00036588-0.00090266i,-7.5275e-05-3.1055e-05i,0.00020069+0.00042724i,-0.00050466+3.4809e-05i,-0.00065964-0.00047623i,-0.00055252+0.00010882i,-0.00097478+0.00016029i,-0.00062843-0.00071831i,3.4169e-05-0.00056735i,-7.9452e-05-0.00035666i,-0.00096647-3.8415e-05i,-0.00089314+0.00082535i,-0.00039131+0.00064142i,0.00016803+0.00015261i
0.00018392-0.002025i,0.00036406-0.0012921i,-4.9892e-05-0.0022976i,-0.0010861-0.0027164i,-0.0021964-0.001362i,-0.002376+0.00039525i,-0.001146+0.00082785i,0.00031658+0.0001422i,0.00079795-0.00108i,7.6396e-05-0.0021217i,-0.0011032-0.0022028i,-0.00083966-0.0017316i,-0.00020485-0.00094161i,-0.00033915-0.00068986i,-0.00063225-0.00023136i,-0.00069529+0.00018528i,-0.00047769-0.00019658i,-0.00010086-0.00059601i,3.074e-05-0.00017683i,-0.0001519+6.7349e-05i,-8.2863e-05+0.0001156i,-0.00061837+0.0003503i,-0.00054419+4.064e-05i
0.0021775-0.0012456i,0.0011643-0.0018046i,-4.6873e-06-0.0030543i,-0.00082904-0.0027094i,-0.0019718-0.0010825i,-0.0024791-0.00031247i,-0.0017663-0.00027304i,-0.00095083-0.00096734i,-0.00056466-0.0020563i,-0.00027043-0.0021693i,3.5615e-05-0.0013545i,0.00017624-0.0011235i,-6.9909e-05-0.0012176i,-0.00011767-0.00086323i,0.00029094-0.00071112i,0.0003369-0.00073498i,0.00081075+0.00014148i,0.0011108+0.00081824i,0.00041992+0.0010286i,0.00021222+0.0006778i,0.00063342+0.00045002i,0.00042888-0.00021347i,0.00081393-5.548e-05i
0.00031402+0.0021553i,-0.00049794+0.0015815i,-0.00020755+0.00111i,-0.00026584+0.00032215i,-0.0020545-0.00013874i,-0.0020148-5.9962e-05i,-0.00068877-0.00019513i,1.6295e-05-0.00088993i,0.00031146-0.001352i,9.4276e-05-0.0010176i,-1.6504e-06-0.00092858i,0.00017681-0.00029512i,-0.0001401+0.00028388i,3.7185e-05+0.00010663i,0.00013448-0.00026685i,-0.00013692-0.00032751i,-0.00043611-0.00034141i,-0.0005584-0.0005678i,2.4133e-05+5.6269e-05i,0.00032516+9.9639e-05i,0.00051751+0.00023468i,2.6073e-05+0.00017376i,-0.00053318-0.00010706i
0.00069855-0.00025491i,0.0012545-0.00044452i,0.00012956+0.00093858i,-0.00089262+0.00055892i,-0.0014273-0.00080705i,-0.0017698-0.0013045i,-0.0010094-0.0010653i,8.8461e-05-0.0018631i,0.0003176-0.002437i,0.00058695-0.0011873i,0.00056532-0.00034263i,7.35e-05-0.00027114i,0.00020065-0.0005403i,0.00015887-0.00030861i,-0.0001422-0.00018785i,-0.00053584+0.00018887i,-0.00070886+0.00038564i,-0.00038772-0.00017544i,-0.00012017+0.00017517i,0.00022872+0.00085867i,0.00046869+0.00053432i,0.0002453-0.00033855i,-0.00028089-0.00033268i
-0.0013024+0.00030518i,-0.0020694-0.00030233i,-0.0021173+0.00047006i,-0.0013998+0.0012912i,-0.001262+0.00065457i,-0.0012672-0.00041129i,-0.00082197-0.00058255i,-0.00034409+2.6883e-05i,-0.00080423-0.00068321i,-0.0018114-0.0013381i,-0.0013272-0.001023i,-0.0005789-0.00096085i,-0.00018811-0.00021305i,0.00036871+0.00063163i,0.00044107+0.0014272i,0.00022096+0.0016544i,0.0002088+0.00068519i,-0.00054508+0.00014679i,-0.00092126+0.00025243i,-0.00023185+9.1274e-05i,0.00029488+0.00017528i,0.00067182+0.00033552i,7.0389e-05+8.8293e-05i
0.00080437+0.0026822i,0.00046003+0.0023796i,-5.1775e-05+0.0010166i,-0.00055206-0.00081043i,-0.0017622-0.0017262i,-0.002058-0.0018198i,-0.00041813-0.0017113i,0.0011906-0.0013302i,0.00046556-0.00082439i,-0.00026476-0.00087247i,0.00027555-0.00083704i,-0.00037592-0.00017263i,-0.00064925-9.7202e-05i,-0.00042998-0.00012799i,-0.00055926+0.00017969i,-0.00059324-0.00030718i,-0.0004082-0.00097831i,4.0881e-05-0.0013328i,0.00016681-0.00098371i,-0.00032392-0.00023533i,-0.00092311+0.00016382i,-0.0015315+0.0004894i,-0.0010261+0.00068953i
0.0017716-0.0011845i,0.00078491-0.001045i,-0.00023302-0.0023137i,-0.00087735-0.0021634i,-0.0024162-0.00057713i,-0.0025977+0.00048718i,-0.0014653+0.00073979i,-0.00034693-0.00085782i,0.00014329-0.0021711i,0.00016402-0.0019502i,-0.00027669-0.00065576i,-0.00080374-4.0655e-06i,-0.00040827-0.0004307i,0.00040923-0.00084384i,0.0001547-0.00045679i,-0.00087943-0.00026234i,-0.00067185-0.00023513i,0.00019023-0.00022824i,-8.6479e-05-0.00039788i,-0.00061838-2.121e-05i,-0.00052124+0.00073986i,-0.00037871+0.00064346i,0.00029276+0.00014769i
0.001491+0.00030447i,0.0013648+0.00065897i,0.0010212+0.00018344i,9.5051e-05-0.00099094i,-0.00078002-0.0013136i,-0.0017115-0.00019539i,-0.00047014+0.00077425i,0.0015369+0.00010294i,0.0013056-0.0016149i,0.00054241-0.0016756i,0.00047765-0.00037094i,0.0001652+0.00074681i,-0.00043288+0.00092434i,-0.00073669+0.00010553i,-0.00030577-0.00044851i,3.4162e-05-9.3607e-05i,0.00019734+0.00043404i,-0.00015488+0.00025542i,-0.00014946-0.00014066i,7.5686e-05-1.8666e-05i,-0.00056393+0.00019412i,-0.0011927-0.00046326i,-0.0010475-0.00034211i
-0.0010689+0.00092166i,-0.00011874+0.0005457i,0.00033461+0.00076121i,0.00016703-0.00035177i,0.00022521-0.0012448i,-0.00096965-0.00063547i,-0.0013909-0.00090143i,-0.00056303-0.0012498i,0.00017343-0.0011447i,0.00034735-0.00087776i,-0.00034345-0.00048398i,0.00015715+0.0001291i,0.00035878-0.00014731i,0.00029247-0.0002964i,0.00075172-0.00087293i,0.0015022-0.00098047i,0.0010852+0.00029673i,0.00024266+0.00047045i,0.00026494-0.00010858i,0.00032401-5.2035e-05i,0.00081448+0.00033379i,0.00096314+0.00053914i,0.00043444+0.00062129i
-0.0014173+0.00088499i,-0.0014734+0.0013258i,-0.0019903+0.0018775i,-0.0025528+0.0015856i,-0.0024131+0.00068265i,-0.0015656-5.1534e-05i,-0.00011995+0.00026869i,0.0007184+0.00026651i,0.00019296-0.00098608i,-0.0005042-0.0015264i,-0.00017714-0.0014976i,0.00045732-0.00074487i,0.00046814-0.00030634i,0.00026587+0.00015527i,0.00078526+0.00051915i,0.001118+0.00023633i,4.4808e-05+0.0004048i,-0.00053127+0.00038856i,-0.00050275+0.00087314i,-0.00026778+0.00075871i,0.0001744+0.00016025i,0.00010044-9.8526e-05i,0.00035492-0.00016961i
0.0012598+0.00033319i,0.0013383+0.00026702i,0.000821-0.0010357i,0.00013483-0.0019502i,-0.00024817-0.0014818i,-0.0011535-0.0005345i,-0.0012232-0.000112i,-0.00049581-0.00071215i,8.1294e-05-0.0013466i,-0.00010639-0.001375i,-0.00081158-0.001657i,-0.00026786-0.0019826i,6.4375e-05-0.0010304i,-0.00071665+9.9793e-05i,-0.00034896-0.0001973i,5.9486e-05-0.0006463i,2.8537e-07-0.00071356i,0.00064488-0.00086291i,0.00080738-0.0003663i,0.00048559-9.3831e-05i,-0.00019204+0.00015469i,-0.00078785+0.00076569i,-0.00064846+0.00056247i
-0.00018107-0.0016991i,-0.00086617-0.0010672i,-0.0011741-0.00023496i,-0.001339+0.00074717i,-0.0020752+0.00053i,-0.0028174+5.2495e-05i,-0.002148+0.00012823i,-0.0001955-0.00019691i,0.00070804-0.0011536i,-3.9826e-05-0.0016257i,-0.00055136-0.00091774i,-0.00064422+5.9944e-05i,-0.00086962+0.00014151i,-0.00063504+0.00012391i,-0.00073455+0.00076208i,-0.00070146+0.0012264i,-0.00058309+0.00086152i,-0.00081593-0.00021154i,-0.00070902-0.00077326i,0.00022599-0.00042788i,0.0011421+0.00047744i,0.00086248+0.0011857i,-0.00031908+0.001574i
0.00020079+6.0579e-07i,-0.00092724-0.00015013i,-0.0010577-0.00085945i,-0.00048534-0.00046618i,-0.00095306+0.00027071i,-0.0010463+0.00025292i,-0.00036386+0.00016155i,0.00015238-0.00072495i,0.00014493-0.0021109i,-0.00098343-0.0017516i,-0.0013746-0.00057063i,-0.00061115+0.00095465i,-0.00086869+0.0015615i,-0.0017439+0.00058766i,-0.0016368+0.00030599i,-0.00065764+0.00027202i,-0.00044857-0.00030466i,-0.00067052-0.00045049i,-0.00034022+8.0378e-05i,1.0717e-05+4.5526e-05i,-0.00043275-0.00017347i,-0.0011675+0.00052333i,-0.0009914+0.00040785i
0.0009174-0.0012898i,0.0006798-0.0014233i,-0.0001526-0.0012577i,-0.00080321-0.00080428i,-0.001495-0.0009814i,-0.0020961-0.0015563i,-0.0012011-0.0015372i,0.00080547-0.0015196i,0.00084064-0.0016987i,0.00010429-0.0011415i,-0.00051089-0.00055739i,-0.0015085-0.00080145i,-0.0021648-0.00030813i,-0.0017462+0.0004457i,-0.0014949+0.00027556i,-0.0019515+0.0001305i,-0.0011138+0.0001866i,0.00035669+0.00060345i,8.0435e-05+0.00023271i,-0.00081071-7.7603e-06i,-0.0002033+0.00050861i,0.00079052+0.00024469i,0.00079064-0.00032685i
0.0020357+0.00015272i,0.0020528+0.00050392i,0.00069628-0.00079949i,-0.0014493-0.0015957i,-0.0030568-0.0013646i,-0.0023419-0.00025312i,-0.00067147+0.00052537i,0.00031044-0.00024232i,0.00061082-0.00097454i,0.00025155-0.0016842i,-0.0002709-0.0019122i,-0.00067932-0.00086123i,-0.0011644-0.00032742i,-0.00083317-0.00085515i,-0.00025406-0.0013183i,-0.00062511-0.0013023i,-0.00034035-0.00063575i,-2.4303e-06-0.00012486i,-0.00055421-0.00029851i,-0.00052675-0.00072606i,-2.3718e-06-0.00040832i,0.00014807+0.00020653i,0.00018725+0.00010548i
-0.001243-0.0007283i,-0.00067097-0.00085811i,-0.00075928-0.0010126i,-0.0015957-0.00097652i,-0.0030104-0.00042938i,-0.0026093+0.000132i,-0.00059515+0.00031698i,0.00063481-0.00012409i,0.00080788-0.0011606i,0.00024197-0.0014656i,-0.00020755-0.00094505i,-0.000489-0.00023678i,-0.00024145+7.9638e-05i,-5.8939e-05-0.0004699i,-0.00034224-0.00025468i,-0.000444+0.00035936i,-4.8857e-05+0.00049932i,0.00044532+0.00049149i,-0.00020413+8.1625e-06i,-0.00085758+1.6413e-05i,-0.00077794+6.171e-06i,-0.00083296-5.3632e-05i,2.4207e-05+0.00027421i
0.0028675+9.4631e-05i,0.0027302+0.0001116i,0.0023497+9.9962e-05i,0.001324+0.00015873i,-0.00033222-0.00041631i,-0.0021429-0.00049521i,-0.00097862-5.4452e-05i,0.0013822-0.0010988i,0.0014774-0.0019025i,0.00027355-0.0013278i,5.6328e-05-0.0011708i,-0.00030406-0.0011502i,0.00019383-0.00048286i,0.00082039-0.00025203i,-1.626e-05-0.00029067i,-0.00021203-0.00043994i,-0.00021722-0.00073545i,-0.00055388-0.0003988i,-0.00015727-0.00050325i,4.8875e-05-0.00049657i,0.00040563-0.00029291i,0.00094491-0.00041377i,0.00088019-0.00036399i
-0.00018117-0.00075937i,-0.00082265-0.00096219i,-0.001973-0.0020278i,-0.0017799-0.0014342i,-0.0020096-0.001166i,-0.0015487-0.00081498i,-8.2682e-05-0.00017877i,0.00044467-0.0012899i,0.00042252-0.0028644i,-0.00023179-0.0020423i,-0.0004783-0.00061753i,5.4545e-06+0.00018597i,-0.00048209+0.00015273i,-0.0011156+0.00044645i,-0.00072533+0.00096987i,-0.00037041+0.00081647i,-0.00045264+0.00049358i,0.00032755+0.00041655i,0.00058244+0.00031497i,-0.00018341+0.00013854i,-0.00032904-0.00033166i,0.00065895-0.00094871i,-6.4475e-06-0.0003917i
