-0.0016773+0.0013466i,-0.0011186+0.0013747i,-0.0020949+0.00079411i,-0.0021019+0.00097023i,-0.0017445+0.0008416i,-0.0019371+0.00048791i,-0.0013368+0.0012824i,-8.5076e-05+0.0018657i,0.00017521+0.00090042i,1.8244e-05+8.5637e-06i,0.00027195-5.9506e-05i,0.00059892-0.00018535i,0.00022707-0.00011732i,-0.00098945+0.00015694i,-0.0013795+0.00022729i,-0.00059013-0.0002562i,0.00015886+0.00022886i,0.0001592+0.0007471i,-0.00026951+6.7631e-05i,-0.00013746+0.00069593i,0.00039944+0.0011909i,0.00056277+6.448e-05i,-0.00034567-0.00037464i
-0.0012345+0.0010461i,-0.00038528+0.00094939i,-0.0001861+0.00079299i,-0.0001034+0.0013142i,0.00095081+0.0010344i,0.0014399+6.5349e-05i,3.9624e-05+0.0004374i,-0.00089362+0.00092384i,-0.00058856+0.0004599i,0.00019609-0.00028192i,8.3452e-05-9.8155e-05i,-0.00029021+0.0002435i,0.00025872+0.00032027i,0.0008087+0.00096631i,0.00013927+0.00056253i,-0.00019117+0.0004004i,-0.00011607+0.0006881i,-0.00060772+0.00046072i,-0.00078327+0.00074165i,-0.0005318+0.00086542i,-0.00049589+9.3743e-05i,-0.00053839+6.2163e-05i,0.00030856+0.00053613i
-0.00033363+0.0013611i,9.754e-07+0.0010648i,0.0015136+0.00077378i,0.0029466+6.0132e-05i,0.0031386-0.00042758i,0.0018416-0.00091275i,-0.00029635-0.00043983i,-0.00062318+0.00019916i,-7.0311e-05+0.00053808i,-0.00021986+0.0011728i,-0.00011538+0.00052058i,-0.00023405-0.00048741i,-0.00017037-0.00065423i,0.00021123-0.00069996i,0.0004714-0.00044004i,0.00043339+0.00030075i,-9.5298e-05+0.00072069i,-0.0005078+0.00061246i,-0.00036618+0.00013896i,-4.8773e-05-0.00065984i,0.00031725-0.00028573i,0.00061207+0.00092606i,0.00036664+0.00026254i
0.00069723+0.00025103i,0.0011243+0.0012788i,0.0014083+0.002833i,0.0022196+0.0015744i,0.0026584-0.00019013i,0.0014598-0.000818i,-0.00045541-0.00047861i,-0.0013565+0.00049526i,-0.00058573+0.00082613i,0.00072732+0.00044913i,0.0007417+0.00023392i,0.00017494-0.00030387i,0.00044077-0.00048805i,0.00053005+1.3027e-05i,-0.00012655+0.00062217i,-0.00035129+0.00035774i,0.00016363-3.9465e-05i,0.00060487-0.00015236i,0.00051776-0.00026285i,6.9411e-05-0.00016559i,-0.00055398+0.00043938i,-0.00031708+0.0005149i,0.00021872-5.7776e-05i
-0.0002659+0.0013769i,-0.00060497+0.00073437i,0.00090201-0.0011715i,0.0025516-0.0027155i,0.0023286-0.0030501i,0.00060766-0.0023114i,-0.00089617-0.00070821i,-0.0013734+0.00083861i,-0.00092051+0.00035514i,-2.0353e-05-0.00036083i,-3.0568e-05+8.9109e-05i,-0.00066524+0.00039078i,-0.00069285+0.00029106i,-0.00056721+3.6389e-05i,-0.00036192+6.593e-05i,-0.00043382-0.00030149i,-0.00063757-0.00036407i,-0.00051517-0.00059315i,0.00015607-0.00092031i,0.00091376-0.00081946i,0.00068251-2.8748e-05i,-0.000199+0.00056402i,-0.00026979-8.6054e-05i
-0.00077974+0.0010214i,0.00056368+0.00023321i,0.00083919+0.00034308i,0.00049424-2.6561e-05i,0.0010034-0.00058417i,0.0011773-0.00035236i,4.8831e-05+2.2706e-05i,-0.00066911+0.0011667i,-0.00071091+0.0012612i,-0.00021178-7.1283e-07i,0.00039802-0.00088481i,0.00055664-0.0012425i,0.00047192-0.00069813i,-4.0464e-05+0.00019209i,-0.00030192+0.00061233i,-0.00034498+0.00077559i,-0.000746+0.00097661i,-0.0011044+0.00092469i,-0.00096097+0.00019692i,-0.0006257-7.7984e-05i,0.00020522+0.00025348i,0.00067137+0.00085189i,0.00095501+0.00091013i
-0.00014086+0.0010271i,-5.1342e-05+0.001397i,0.00033501+0.00087506i,0.00029025-0.00050097i,0.00035606-0.0016602i,4.5368e-05-0.0011707i,-0.00047383-0.00048804i,-0.00051937-0.00047492i,-6.8642e-05-0.00017496i,5.7896e-05+0.00037107i,-0.00074642+0.00021709i,-0.00041097-0.00055517i,0.00051532-0.00060154i,0.00048664-1.7075e-05i,9.6688e-05-0.0002434i,7.5066e-05-0.0002555i,0.00010589-0.00047546i,0.00023189-0.00045201i,0.00037345+0.00027382i,-0.00010824+0.00057378i,-0.00017132+0.00070665i,-1.285e-06+0.00032214i,-2.1753e-05-0.00058022i
0.00043151-0.00015194i,0.0015667-0.00050263i,0.0025251-5.7622e-05i,0.0021373+4.029e-05i,0.0014357-0.00076406i,-0.00043517-0.0010572i,-0.0020907-0.00017824i,-0.0016672+2.056e-05i,-0.00062748+0.00018791i,-0.00024737+0.00063604i,-7.0364e-05+0.00078021i,0.00034968+0.00082426i,-8.6681e-05+0.00067295i,-0.00053406+0.00054572i,-0.00029019+0.00021976i,3.2296e-05+0.00058126i,0.00020418+0.00073988i,7.183e-05+0.00028306i,-0.00026109-3.2353e-05i,-0.00043408-0.00022871i,0.00023812+0.00013524i,0.00091208+1.5709e-05i,0.00027705-0.00043996i
-0.0012448+0.00098713i,-0.00010442-3.6846e-05i,0.0007748-0.00061766i,0.0018951-0.0016521i,0.0017911-0.0021923i,-0.00020163-0.0017136i,-0.00057906-0.0010603i,3.3065e-05+6.353e-05i,-0.00033419+0.00063373i,-0.0006152+0.00046683i,-0.00024489+0.0010075i,-0.00065626+0.00063556i,-0.00087316-0.00028462i,-0.00061947-0.0003286i,-0.00030943-8.3625e-05i,7.3954e-05-0.00034861i,-0.00035635-8.0586e-05i,-0.00065373+0.00015184i,-0.00044705+0.00026078i,-0.000176+0.00071601i,-4.3976e-05+7.488e-05i,-0.0002262+4.4346e-05i,-0.00030933+0.00085177i
0.0011466-0.0020121i,0.00028957-0.0024775i,-0.00029542-0.0029565i,-1.9826e-05-0.0026712i,-0.00075192-0.0024043i,-0.0012332-0.0016909i,-0.0005886+0.00031883i,0.00041122+0.0010865i,0.00024652+0.00012652i,-0.00053474-0.00061522i,-0.00058043-6.6554e-05i,-7.6438e-05+0.00065718i,-0.00015964-1.042e-05i,-0.00071894-0.00040824i,-0.00057654+0.00064133i,0.00035975+0.0011257i,0.00093838+0.00091862i,0.00099251+0.0010699i,0.00080138+0.0013555i,0.00081186+0.00097706i,0.0011826-0.00016729i,0.00086807-0.00028321i,0.00025213+0.00088025i
0.0010287+0.00079991i,-0.0002752+0.00077242i,-0.0010123+0.001036i,4.0714e-05+0.00055896i,0.00091819-0.001844i,-5.0908e-05-0.0020537i,-0.00053298-0.000958i,-0.00093022-0.00047458i,-0.0010419+4.7105e-05i,-0.00046987+0.00054851i,2.3017e-05+0.0011946i,0.00012669+0.0012974i,-0.00013867+0.00091838i,-8.1386e-05+0.0002i,-0.00018467-0.00021939i,-0.00028437+2.4117e-05i,-0.00021742+0.00033665i,-0.00012261+0.00023193i,-0.0006505+0.00025712i,-0.00079937+0.0004328i,-0.00027466+0.00061006i,-0.00029761-5.0907e-05i,0.00044559+0.00020444i
-0.00023334-0.001407i,0.0010665-0.0019724i,0.001696-0.0017778i,0.0019466-0.0011778i,0.0023585-0.0011943i,0.0013482-0.00082933i,0.00052014+0.00031461i,0.00026426+0.00078065i,-0.00057341+0.00082877i,-0.0009789+0.00061476i,-0.00020862+7.9654e-05i,0.00034973+8.9613e-05i,-0.00010652+0.00097874i,-0.00044091+0.00083123i,-0.00028887+0.00021315i,-0.0003091+0.00020747i,0.00013908-0.00030437i,-2.6407e-05-0.00055447i,-0.00032792-0.00029998i,0.00031665+0.00030423i,0.00047073+0.00068148i,-0.00010848+5.4305e-05i,0.00014379-0.00056223i
-3.9092e-05-0.00081684i,0.00078729+0.00049747i,0.00088623+0.00020079i,0.00090199-0.00024684i,0.0010808-0.00094117i,0.00093733-0.001772i,6.6321e-05-0.0019323i,-0.00042262-0.0001747i,7.9274e-05+0.00093419i,0.00058054+0.00053141i,0.00077751+0.00070461i,0.00042296+0.00034552i,-9.4508e-05-0.00018337i,-0.00027717+0.00019874i,-0.00068101+5.1385e-05i,-0.00077301-0.00044491i,-0.0005797-0.00072711i,-8.4876e-05-0.00048183i,1.8929e-05+7.9947e-05i,-0.00035009+2.8058e-05i,0.00040269+0.00025361i,0.00085094+0.00074917i,0.00073092+0.0004463i
0.00098157+0.0013092i,0.00036273+0.00058086i,0.00087714+0.00016348i,0.00095814+0.00049045i,0.00095762-0.00076604i,0.00071625-0.0017392i,-0.00021935-0.00093319i,-0.00089661-0.00036654i,-0.00094134-3.1629e-05i,-0.00068774+0.00048783i,0.00012134+0.00042398i,7.5793e-05-9.593e-05i,-0.00071439+0.00027862i,-0.00085+0.00036292i,-0.00088802-0.00021691i,-0.00077108-0.00026816i,-0.00070711+2.2292e-05i,-0.0007666+2.2789e-05i,-0.000473-0.00013536i,0.0002147+0.0002685i,-0.00022368+0.00047482i,0.00021635+2.6606e-06i,0.00081394-0.00031405i
-0.00028577+0.0015376i,0.00059969+0.0021171i,0.0017771+0.0016551i,0.0023355+0.00071405i,0.0022588+0.00037181i,0.0013011+9.5446e-05i,9.0595e-05-0.00017263i,-0.00062033+0.00039755i,-0.0007064+0.00043681i,4.0407e-05+0.00014288i,0.00099083+0.00018433i,0.0012143+0.00011855i,0.00015816+5.9562e-05i,-0.00030579+3.6691e-05i,5.8382e-05+0.0001188i,0.00052645+0.00038894i,0.00043887+0.000812i,0.00038872+0.0010082i,0.00068024+0.00084858i,0.00028228+0.0018039i,-0.00032517+0.002004i,-5.5518e-05+0.00091904i,0.00020733+3.4433e-05i
0.0016079-0.00048038i,0.0021555+0.00014428i,0.0026284+3.1701e-05i,0.0019388-0.0014147i,0.0013789-0.0022931i,0.00068388-0.0019471i,-0.0004195-0.0010694i,-0.001226+7.3913e-05i,-0.0012278+0.00011412i,-0.00078019+0.0001516i,-0.00021835+0.0008505i,0.00058382+0.0014694i,0.00045799+0.0013916i,0.00014025+0.00064814i,-0.00022792+0.00022539i,-0.00047769+0.00038428i,-0.0007002+0.00052458i,-0.00039095+0.00076042i,0.00016478+0.0010303i,5.0192e-05+0.0012404i,-0.00049358+0.00066913i,-0.00055562+9.0872e-05i,0.00022233-0.00024769i
0.0029509+0.0011686i,0.0026316+0.00048861i,0.001582-0.00017933i,0.0016747-0.00076239i,0.0018061-0.0011779i,0.00012028-0.0013522i,-0.00097374-0.00098408i,-0.0007188+4.9786e-05i,-0.00058436+0.00076855i,-0.00026342+0.00051531i,-2.0084e-05-0.00025178i,6.8915e-05-0.00024203i,-0.00040992-6.1158e-05i,-0.00099651+0.00023524i,-0.00015662+0.0005733i,0.00037602+0.00032055i,-0.00045859+7.5022e-06i,-0.00072179+5.5875e-05i,-0.00044401+0.00083258i,-0.00038176+0.0010322i,-0.00068717+0.00041339i,-0.00019657+0.00022438i,0.00044309+0.00043374i
0.00056216+0.0015357i,0.00099619+0.001094i,0.00046792-0.0001402i,0.00093143-0.001058i,0.0019692-0.0013152i,0.0013048-0.001598i,0.00043786-0.0011335i,0.00028292-0.00033207i,-0.00010237-1.953e-05i,-4.076e-05+0.00017394i,0.00025217+0.00076368i,0.00032868+0.00071141i,0.00051355+0.00042441i,-0.00038443+0.00053816i,-0.0012196+0.00037539i,-0.0014333+0.00029474i,-0.00097845-2.4974e-05i,-0.00053137-0.00035241i,-3.4675e-05-0.00048107i,0.00024608+0.00025134i,-0.00010445+0.00058993i,0.00044754-7.7528e-06i,0.00049619-0.00021991i
-8.191e-05-0.00021378i,-0.00064283+0.00041569i,-0.00052054+0.00081318i,0.0001812+0.0013188i,0.0010914+0.0003456i,0.00092908-0.0010611i,-0.00053562-0.0013569i,-0.0015782-0.00073659i,-0.00094665-0.00029117i,-0.00025372+0.00038435i,-0.00042655+0.00069622i,-0.0004023+0.00044333i,-0.00030791+0.00032304i,-0.00063527+0.00046052i,-0.00085824+0.00044087i,-0.0005252-1.1046e-05i,-0.00027842-0.00043624i,-0.00035671+0.00019296i,2.8081e-05+0.0015603i,-0.00027641+0.0010165i,-0.00052365+0.00021816i,-0.00018414+0.00039054i,0.00075327+0.00067586i
-0.0002029+0.00070385i,-0.00015815+0.00054702i,-0.00023888+0.00060324i,0.00051854-0.00011853i,0.00095956-0.00064258i,0.00078787-0.00099136i,3.9889e-05-0.0011127i,-0.00078824+8.973e-05i,-1.4695e-05+0.00065416i,0.00055966+0.00013968i,0.00038806-0.0004009i,5.9133e-05-0.00039968i,-0.00032493+0.00012121i,2.2523e-05-0.00025154i,0.00035593-0.00043875i,0.00010465+7.516e-05i,-7.5432e-05+0.00039007i,-0.00020481+9.6802e-05i,-0.00064391-0.00030247i,-0.00055207-0.00053693i,0.0003381-0.00025823i,0.00047119+0.00086889i,1.5566e-05+0.00095125i
-0.0027041+0.0012626i,-0.0018098+0.0017446i,-0.00049959+0.0026241i,0.00014246+0.0025224i,0.00046352+0.0011715i,0.00048018-0.00045683i,-0.00021922-0.00034572i,-0.00070758+0.0010902i,-0.00030271+0.0017938i,0.00020261+0.00070236i,0.00025543+0.00011885i,0.00013531+3.1561e-05i,0.00017407-0.00055044i,-0.00020698-0.00050707i,0.00019626+0.00016585i,-5.7845e-05+0.00023528i,-0.0002977-0.00052399i,0.00094829-0.00057983i,0.00027172+3.1435e-05i,-0.00058735+0.00011972i,5.7279e-05+0.00047812i,0.00069232+0.0008885i,0.0002532+0.00083514i
0.00030748-0.0021726i,-0.00069177-0.00055008i,-0.00020275+0.00010529i,0.00067284-0.00014055i,0.0014597-0.0012975i,0.0019707-0.0017473i,0.0013863-0.00048422i,0.0003976+0.0010946i,-4.2719e-05+0.00074599i,0.0002013-0.00029462i,0.00017526+9.2552e-05i,0.00019033+0.00029369i,0.00050108-8.7005e-05i,0.00050947+7.3195e-05i,0.00044784+0.00061206i,-7.7938e-05+0.00051519i,-0.00089201+0.00019712i,-0.00073181-0.00016595i,-7.2609e-05-0.00016652i,0.0001361-0.00022994i,4.6111e-05-0.0005626i,-0.00034505-0.00016036i,-0.00024829+0.00026014i
0.0005742+0.00080228i,0.00018121-0.00020745i,0.00069487-0.00040859i,0.0010936-0.00076907i,0.00086751-0.0015832i,-0.00049527-0.0017602i,-0.0011534-0.00088234i,-0.0011793+0.00035119i,-0.001163+7.4037e-05i,-0.0012067-0.00032813i,-0.0012842-3.1899e-05i,-9.8088e-05-7.254e-05i,0.00044732-0.00016814i,-0.00013932-0.00023774i,-0.00044813-0.00029077i,-0.00024528-0.00052476i,0.00033247-0.0009421i,0.00012651-0.0008796i,-6.4353e-05-3.7819e-05i,0.00017282+0.00090828i,0.00026238+0.00082583i,0.00069616+0.00017431i,0.00036776-0.00020381i
0.0014008+0.0015088i,0.0024869+0.0004211i,0.0015298-0.0010774i,0.0011039-0.0023221i,0.00086071-0.0028893i,0.00020851-0.0021816i,-0.00070456-0.00084531i,-0.00099481-0.0002534i,-0.0002065-6.6141e-05i,-0.00037783+0.00022301i,-0.00058996+0.00034998i,-0.00035172+0.0002648i,-0.0004184+0.00039969i,-0.00064071+0.00082763i,-0.00056664+0.00069386i,-3.831e-05+0.00011276i,0.00026211+0.0002522i,0.00057623+0.00072578i,-5.153e-05+0.0012147i,-0.00054783+0.0013089i,-0.00052368+0.0011279i,-0.00039947+0.00098148i,-0.00035504+0.00061892i
-0.00077532-0.0019384i,-0.00069135-0.0010094i,-0.0012251-4.6795e-06i,-0.0012521+0.00042932i,-9.5039e-05-8.1077e-05i,2.0489e-05-0.00028103i,-0.00065489-0.00051159i,-0.00050661-0.00054127i,0.00025782+6.7989e-05i,0.00026183+0.00068i,7.3391e-05+0.00059167i,0.00023149+0.00022215i,0.00028568+0.00022078i,0.00050834+0.00048414i,0.00025275+0.00047598i,-0.000222+1.2862e-05i,-0.00034175-0.00018916i,-7.9685e-05-0.00037601i,0.00040782+8.8898e-05i,-9.4327e-05+0.00069581i,-0.00059826+0.00039646i,2.2699e-05+0.00025868i,8.7114e-05-0.00010601i
0.0011645+0.001855i,0.0024695+0.00022834i,0.0030643-0.00098739i,0.0035476-0.00082071i,0.0030063-0.0010745i,0.0010906-0.0016089i,-0.0006366-0.00059457i,-0.0014728+0.0011839i,-0.0014243+0.0018811i,-0.00073689+0.0011283i,-8.1724e-05+0.00059638i,-0.00034436+5.5605e-05i,-0.00044843-0.00070477i,0.00012223-0.00084977i,0.00034226-0.00087742i,0.00019692-8.2705e-05i,-0.00040915+0.00025819i,-0.00077268-0.000443i,-0.00041786-0.00058355i,0.0001045-0.00024702i,-0.00010823+0.0002225i,-0.00033302+0.00038507i,-0.0003586+0.00053054i
-0.001441-0.00040725i,-0.0014169-0.00025081i,4.2246e-05-0.00049331i,0.0008997-0.00035158i,0.00097051-0.0011033i,0.00094053-0.0017325i,-0.00027506-0.00067089i,-0.00098074+0.00049948i,-0.00078193+0.00062767i,-0.00025444+2.6172e-05i,8.7078e-05+0.00018047i,-6.5955e-05-0.00015703i,0.0001422-0.00023656i,0.00023434+0.0003076i,-0.00037163+0.00060733i,-0.00041829+0.0005161i,-0.00042885+0.00012864i,-0.00094109-0.00016455i,-0.00047774+7.6762e-06i,2.578e-05+0.00032417i,0.00046701+0.00024326i,0.00070829+0.00084175i,0.00049223+0.00046648i
-0.0002264+0.0010338i,0.00099959+0.00041677i,0.0010232+0.00015442i,0.0019194-0.00014173i,0.0027281-0.0012939i,0.0014109-0.0016383i,-0.00045357-0.00077058i,-0.00064138+0.00014592i,-0.00023915+0.00082214i,0.00012566+0.001007i,0.0005116+0.00073279i,-0.00016104+0.00038942i,-0.001566-0.0001038i,-0.001907+7.0471e-05i,-0.00092944-5.9711e-05i,-3.1156e-05-3.68e-05i,-1.479e-05+0.00052879i,0.0004026+0.00082841i,0.00073754+9.2349e-05i,0.00076368-0.00049447i,0.00065411-0.00016292i,-2.7087e-05+0.00018211i,0.00013513+7.7129e-05i
0.00025842+0.0016457i,0.00047858+0.0011777i,0.00077149+0.0010299i,0.0020358-3.367e-05i,0.0025712-0.0017604i,0.0012248-0.0021335i,-0.0004449-0.00084783i,-0.0011748+0.00064246i,-0.00038607+0.00091698i,0.00013431+0.00071775i,-0.00019017+0.00074115i,-0.00091748+0.00048865i,-0.0009867+0.0004114i,-0.00040336+8e-05i,-2.5554e-05-0.00050472i,-0.00043827+0.00028808i,-0.00066205+0.00051519i,-0.00068503+0.0004554i,-0.00076815+0.00066752i,-0.00016931+0.00012314i,0.00069914-0.00058505i,0.0010746-0.00094043i,0.00072478-0.00032316i
0.00024017-0.0013723i,0.00046731-0.0016581i,0.00068098-0.0017229i,0.0011915-0.0018824i,0.0016287-0.0017802i,0.00076216-0.0012015i,-0.0002989+1.0109e-05i,0.00014234+0.00088859i,0.00081763+0.0010342i,0.00027091+0.00089114i,2.1638e-05+0.00064003i,-0.00034808+0.00070621i,-0.00037267-0.00011768i,6.9783e-05-0.00031685i,-0.00043355+0.0006541i,-0.0006851+6.3142e-05i,-0.00040833-0.0010286i,3.8336e-05-0.00076387i,0.00041738-0.00012715i,0.00024209+0.00061217i,-0.00058917+0.00083778i,-0.00097441+9.5412e-05i,-0.0012862-0.00022433i
-0.0015219+2.2141e-06i,-0.0019323+0.0010913i,-0.0017748+0.00073001i,-0.0017141+0.00050424i,-0.0017688-2.9422e-05i,-0.0016439-0.00058797i,-0.0011694-0.00060803i,-0.00071435+0.00011778i,-0.00085942+0.0015023i,-0.0015914+0.001967i,-0.0010128+0.0013243i,-0.00017146+0.0004253i,-0.00012035+0.0004283i,-6.02e-05+0.0011431i,-0.00074457+0.00096996i,-0.00075027+0.00029349i,-0.00025554+0.00028302i,0.00043779+0.0010874i,0.00048515+0.00094482i,-0.00031132-0.00016971i,-0.00032413-0.0002434i,-0.00021367-4.108e-05i,-0.00034471-0.00092359i
-0.00042568+0.00048424i,0.0010445-0.00088131i,0.0021521-0.00010331i,0.0016745-0.00010832i,0.0024656-0.0012657i,0.0019987-0.0012351i,-0.00059181+0.00015446i,-0.0017134+0.00074966i,-0.00074044+0.00050538i,0.00010231+0.0001458i,-0.00075406-8.7896e-05i,-0.0010743+0.00020522i,-0.00025401+0.00017631i,-0.00022477+5.2178e-05i,-0.00058636+6.9301e-05i,1.3461e-05-0.00027865i,0.00045597-0.00038398i,0.00037151+0.00028647i,-8.1949e-05+0.00052081i,2.9687e-05+0.00026296i,-0.00031606+0.00059425i,-0.00047164+0.00069047i,-0.00011863+0.00058139i
