-0.004678-0.0015498i,-0.0048503-0.0012032i,-0.0040567+0.0011014i,-0.00070116+0.0015295i,0.0017964+0.0020775i,0.0017222+0.0012518i,0.00044211-0.00024065i,-0.00038787-0.00058811i,-0.00022034-0.00066165i,0.0012666+6.5291e-05i,0.0020566+0.00018106i,0.0017089-0.00069883i,0.0016751-0.00092237i,0.0012572-0.00091361i,0.001069-0.00094643i,0.00077837-0.00047694i,0.00010709-0.00016768i,0.00035309-0.0003141i,0.00031006-0.00080441i,0.00030026-0.00094361i,0.0005182-0.00033289i,0.00061531-9.9997e-05i,0.00081366-0.00013567i
-0.00034796+0.0013971i,-0.0001756+0.0013093i,0.00011563+0.0014061i,0.00054739+0.00049661i,0.00089661-0.0010587i,0.0011802-0.00095163i,0.00050347-0.00010728i,-0.00021425+7.1518e-05i,-5.0131e-05-0.00041487i,-0.00022818-0.00057484i,-0.00079973-0.00039005i,-0.00014186-0.00024517i,0.00035663-9.8994e-05i,0.00014209-0.00015107i,0.00011511+0.00037131i,0.00014316+0.00027684i,0.0003777+0.00045506i,0.00028732+0.00093557i,1.7339e-05+0.00052673i,-3.2668e-05+0.00062403i,-0.0006209+0.00062688i,-0.00075545-0.00051142i,-0.00042649-0.0011423i
6.103e-05+0.0005712i,0.00099966+0.0010177i,0.0017445+0.0014611i,0.00074995+0.0012194i,8.2529e-05+0.00091555i,-0.00058535+0.0012593i,-0.00038684+0.00076922i,0.0001741+0.00039682i,-0.00070312+0.00040123i,-0.00095189+0.00077574i,-0.00010288+0.0011662i,0.00033136+0.00065272i,-0.00028243-1.6452e-05i,-0.00016445-0.00036177i,0.00032204-0.00054276i,0.00012986-0.00057031i,0.00058899+0.00020269i,0.00090015+0.00029754i,0.00020528-0.00063113i,-5.1234e-05-0.00090625i,0.00049333-0.00057089i,0.00042873-0.00016822i,0.00011483+0.00091832i
-0.00044985+0.0019909i,-0.00052156+0.0017849i,0.00015684+0.001538i,0.0012503+0.00057558i,0.001115-0.00044562i,-0.00042075-0.00088341i,-0.00093595+0.00016103i,-0.00050249+0.00060781i,-0.00046837-0.00011884i,-0.00034291-0.00040969i,-0.00072131-4.2919e-05i,-0.00050264-0.00023293i,0.00019088-0.00024464i,-0.00051273-9.6741e-07i,-0.0010154+0.00037722i,-0.00070244+0.00065217i,-0.00054589+0.0010143i,-0.00053558+0.00090618i,-0.00030604+0.00054684i,0.00025129+0.00047157i,0.00061192+0.00027757i,0.00028647+0.00022573i,-0.00055094+0.00011656i
0.00031037+0.0012983i,0.00054933+0.00042083i,0.00048055-0.00032439i,0.00047374-0.00058142i,0.00038881-0.0012093i,0.0001573-0.0013172i,-0.00010572-0.00053821i,-0.00026932-1.8818e-05i,-0.00034198-0.0002116i,3.7199e-05-0.0007931i,-3.5045e-05+0.00021884i,-0.00087455+0.00079786i,-0.00062494+0.00042158i,-0.00035695+0.00049836i,-0.00042697+0.00053837i,-5.4051e-05+0.00064528i,0.0004326+0.001159i,-0.00024151+0.00070765i,-0.00054184+0.00061557i,-0.00077612+0.0013601i,-0.00079584+0.00056643i,0.0001808-0.00041751i,0.00077963+1.5466e-05i
-0.00074348-0.00035736i,-0.00033418+0.00070121i,0.0010371+0.0017634i,0.0011505+0.001103i,0.00055504-0.00060259i,-0.00048458-0.0014729i,-0.00078118-0.00064289i,-0.00046893+0.00040054i,-0.00031015+2.722e-05i,-0.00084173-0.00063719i,-0.001134-0.0008832i,-0.00033344-0.00045477i,0.00010651-0.00029071i,0.0004306-0.0013919i,0.00078082-0.0016203i,0.00095175-0.00049436i,0.00074916+0.0002557i,-0.00053836+0.00051959i,-0.00085653+0.001025i,9.8828e-05+0.00057737i,0.00053064-0.00023884i,-2.6043e-05-7.3744e-05i,-0.00033037+0.00014216i
0.00020927+0.00010156i,-0.0010249+0.00034545i,-0.001661+0.00065076i,-0.001434+0.00026345i,-0.0008307+0.00027882i,0.00024307+0.00014017i,0.00032879-0.00017773i,0.00014786-0.00023087i,0.00047655-0.00025725i,-0.00011537-8.0103e-05i,-0.00043786+0.00052743i,1.7892e-05+0.00080587i,0.00015365+5.7003e-05i,0.00042592-0.00034856i,0.0004152-0.00024855i,0.00012926+0.000278i,-2.9702e-05+0.00047908i,0.00011039+0.0003384i,0.00057894+0.00045981i,0.001063+5.1047e-05i,0.00070985-0.00022444i,5.139e-05-0.00022364i,2.9124e-06+0.0001157i
0.00062599+0.0012387i,0.00093676+0.0013982i,0.0014589+0.001079i,0.0016751+0.000647i,0.0011546+7.449e-05i,0.00047731-0.00078983i,0.00026482-0.001425i,0.00015647-0.00087606i,-0.00011421-0.00014293i,-0.00083014-0.00029383i,-0.00096048+1.3481e-05i,-0.00084011+0.00044385i,-0.00083401-0.00051359i,-0.00060041-0.00075275i,-0.0008694+0.00027916i,-0.0010156+0.00068596i,-0.00018452+0.00037338i,7.2247e-05+6.0517e-05i,-8.6786e-05-0.00027165i,4.3155e-05-0.00033445i,-0.00014113-0.00050005i,8.2079e-05-0.00079182i,0.00027467-0.0008685i
0.00037741+0.00070153i,0.00054125+0.00059177i,0.00085662+0.00036086i,0.00037324+6.6613e-05i,-0.00043612-9.2056e-05i,-0.0012816+0.00032922i,-0.0010539+0.00022873i,-0.00046924-0.00041614i,-0.00072345-0.00083567i,-0.00059438-0.0011308i,0.00033146-0.0006435i,0.00086623+9.5261e-05i,0.0006607+0.00062743i,-0.00013332+0.00075192i,-0.00049054+0.00037658i,-2.4366e-05+0.00047679i,0.00018561+7.0334e-05i,0.00043677-0.00052059i,0.00085027-0.00032183i,0.00023408-0.00030874i,-0.00078639-0.00099784i,-0.00062845-0.0010578i,8.9567e-05-0.0005375i
-0.00016292-0.0022777i,-0.00037-0.001751i,-0.0014377-0.0012649i,-0.00093356-0.0004861i,0.00056492+0.00021071i,0.0012312+0.00016372i,0.0016024-0.00050104i,0.00065832-0.00059469i,-0.000732-0.00029998i,-0.0011574-2.7691e-05i,-0.00044099+0.00055788i,0.00054422+0.0008845i,0.0013752+0.0011004i,0.00085466+0.00098451i,-3.4031e-05+0.00096801i,0.00046938+0.00088182i,0.0006031+0.00078078i,0.00030849-0.00018511i,0.00051516-0.00020196i,-0.00021224+0.00061357i,-0.0013071+9.5901e-05i,-0.0016857+0.00015567i,-0.0010333+0.00016773i
-0.00088796-0.0013351i,-0.0012016-0.0015803i,-0.0010869+9.4509e-05i,-0.0017542+0.0017211i,-0.0010135+0.0007942i,-0.00019197+0.0006176i,-0.00046034+0.00025812i,-7.4835e-05-0.00079028i,0.00026409-0.0011717i,-0.00052636-0.00071378i,-0.00033374-0.00032238i,0.00013658-0.00010369i,0.00048659+0.00025857i,0.00099233+0.00043764i,0.0009829+0.00053767i,0.0010394+0.00084594i,0.00056389+0.00056042i,-0.00043993+0.00024667i,-6.2518e-05+0.00037693i,0.00050653+0.00068542i,0.00074318+0.00094038i,0.00094792+0.00073101i,0.00077217+0.00090639i
-0.00020206+0.0003327i,-4.9367e-05+0.00069682i,0.0010497+0.00040274i,0.001555+0.00028705i,0.0011215+0.00022635i,0.00032228+0.00036816i,-0.00021202+0.00048774i,-3.0559e-05-8.0683e-05i,0.00015671-0.00057361i,0.00053874-0.00043611i,0.00036371-1.8015e-05i,-0.00028193-0.00045172i,-0.00061638-0.00068026i,-0.00041533-0.00025939i,0.00026024-0.00031156i,0.00029205-0.00023161i,0.00017071-0.00028703i,0.00036651-0.00036485i,0.00010776-0.00012031i,-7.3194e-05-0.00038557i,-0.00036157-0.00048585i,-0.00035947+0.00036033i,9.3962e-05+0.0010271i
-0.00035379-0.00073058i,-0.00068207-0.00098528i,-0.00074562-0.00053851i,-0.00052261+5.1676e-06i,0.00048819-0.00037314i,0.0007753-0.0004924i,0.00017082-0.00076069i,-0.00018497-0.00056109i,-0.00041518+0.00040858i,6.7622e-05+0.00069589i,-0.00012212+0.00032152i,-0.00077948-0.00018614i,-0.00041729-0.00053784i,-0.00035136-0.00044961i,-0.0006121-0.00057082i,-0.00057932-0.00034841i,-9.1158e-06-0.00037053i,5.3915e-05-0.00014265i,-0.00016647+0.00075697i,0.00028206+0.00074606i,0.00041265-0.00024899i,-1.3356e-05-7.7684e-05i,-0.00085009-0.00020724i
0.0028809-0.00081794i,0.0015487-0.00051448i,0.00062447-0.0012951i,0.00031727-0.0013798i,-0.00013997-0.00036154i,-0.000949+6.4094e-05i,-0.00035787-0.00018331i,0.00058397-0.00018737i,0.00015178-0.00065294i,-0.00020567-0.00035676i,-0.00015231+0.00045247i,-0.00074034+0.0010907i,-0.00061314+0.0011694i,-0.00029299+0.0010271i,-0.00040146+0.00070168i,-8.9399e-05+0.00046553i,0.00038895+0.00089465i,0.00042974+0.00081335i,0.00041076+0.00017262i,0.00068149-0.00012776i,0.00045501-0.00053594i,7.9673e-05-0.00098794i,-3.518e-05-0.0002131i
0.00056175-0.00060771i,-0.00046439+0.00084844i,-0.00017807+0.0021816i,0.00055017+0.0013863i,3.7195e-05+0.00047239i,-0.00047153+0.00080735i,0.00015108+0.00025207i,0.0007186-0.00088274i,0.00052374-0.0017167i,-0.00018444-0.0014778i,-5.4832e-05-0.00025224i,0.00061855+0.00041707i,0.00029049+0.00058209i,6.7268e-05+0.00061526i,0.0004717+0.00035678i,0.00063165+0.0001384i,0.00082345+0.00034785i,0.00086111+0.00084954i,0.0006955+0.00043455i,0.00048268+0.00010827i,9.5713e-06+2.6805e-05i,-0.00046639-8.6479e-05i,-0.00089467-0.00014533i
0.0003859-0.00082346i,0.00058604-0.001096i,0.00039163-0.0016037i,0.00042342-0.0017671i,0.00062364-0.0010768i,0.00060089-0.00067007i,0.00061215-0.00062935i,0.00093357-0.00079468i,0.00097823-0.00056867i,0.00031528-0.00040474i,-0.00015038-0.00034764i,-6.2734e-06-0.0007257i,-0.00011493-0.00098116i,-0.00028494+0.00022332i,-5.0599e-06+0.00096123i,0.00015238+0.00029741i,-0.00036756+0.00012247i,0.00026359-0.00011054i,0.00076379-0.0003309i,0.00016621+0.00020935i,0.00020936+0.00068905i,0.00020425+0.00082496i,-0.00022634+0.00046829i
-1.1847e-05-0.00024239i,4.1751e-05+0.00031576i,-0.00035864+0.00027103i,-0.00052741-0.00026058i,-0.00015935-8.71e-05i,0.00014874-0.00041679i,0.00046537-0.00010729i,0.00013898+8.1937e-05i,0.00020129-0.00019737i,0.00056833-0.00022431i,0.00055133+0.00013039i,0.00026399-0.00017141i,-0.00042247-0.00026745i,-0.00082349-5.4812e-05i,-0.00060107-4.5696e-05i,-0.00084545+0.00084731i,-0.0011124+0.00097025i,-0.0007099+0.0004936i,-0.00063248-0.00015071i,-0.00082729-2.8115e-05i,-0.00061725-0.00014109i,0.00051592-0.00055857i,0.00071574-0.00037801i
0.00076327-0.00067782i,0.00081468-0.00060207i,0.0012262-0.00072737i,-0.0001555-0.00051725i,-0.0013322-0.00026648i,-0.0012005-0.00093806i,-0.00056894-0.0010032i,-0.00026467-0.00095256i,0.00013331-0.00046066i,-1.5556e-06-5.5042e-05i,-0.0004054-0.00029759i,-0.00058877-0.00044653i,-0.00020765-0.00050694i,0.00067871-8.5548e-05i,0.00070425+0.0008041i,-0.00050076+0.0010382i,-0.00055822+0.00052307i,0.00022099+7.0365e-05i,3.6741e-05+0.0006255i,-0.00064915+0.00088271i,-0.00075972+0.00016542i,-0.00059037+4.2581e-05i,-0.00026545-0.00027838i
