0.00066866+0.00095214i,-0.00027635+6.4493e-05i,-0.0024449-0.00017949i,-0.0027541+0.00011856i,-0.001937+0.0013573i,-0.00038295+0.0020418i,0.0008155+0.0021324i,0.001121+0.00099503i,0.0016346-0.00078762i,0.0018443-0.0016158i,0.0010567-0.0014621i,0.00067197-0.0011129i,0.00088708-0.00071579i,3.2711e-05-0.00083764i,-0.00093821+0.00040514i,-0.0011778+0.0018093i,-0.0010546+0.00098083i,-0.00071109-3.0823e-05i,0.00030475+9.1313e-05i,1.4986e-05+0.00047486i,0.00014795+0.00067963i,0.00032018+0.00061541i,-9.2377e-05+0.00040048i
-0.00027478-0.00084187i,-0.00063605-0.001115i,-0.00049945-0.0010101i,-0.00036611+0.00020598i,-0.00020004+0.0015367i,0.00015233+0.0016079i,0.0012075+0.0011599i,0.0012933+0.00014119i,0.00045994-0.00038419i,4.5181e-05-0.00017115i,-1.0438e-05-0.00052298i,0.00025196-0.0002966i,0.00033653+0.00014346i,-0.00016269+0.00020244i,-0.00098976+6.3521e-06i,-0.0010221-0.0011553i,0.00013331-0.0008966i,0.00055067-0.00020535i,0.00013896-0.00011678i,-4.845e-05+0.00046727i,6.0951e-05+0.000421i,0.00031594-3.9558e-05i,0.00077039-0.00030252i
0.00013143-0.002989i,-0.0010031-0.0021559i,-0.0012482-0.0022054i,-0.00048238-0.0015818i,0.00016482-0.00064489i,0.0001697-0.00019574i,7.9846e-05+0.00011551i,0.00049009+0.00019792i,0.00053428-0.00014633i,9.4904e-05-0.0007028i,-0.0012165-0.00045331i,-0.00099227-0.00026523i,-2.7615e-05-8.1265e-05i,-0.00064572+0.00028938i,-0.00045469+0.00037433i,2.3142e-05+0.00021904i,4.0054e-05+0.00032203i,0.00069775+0.00016079i,0.00032277-0.00042129i,-0.00027729-0.0010301i,9.5271e-05-0.00078651i,9.3902e-05-7.1521e-05i,0.00057518+0.00077091i
-0.0026349-0.0010792i,-0.0017709-7.3653e-05i,-0.0012197+0.0016606i,-0.00033395+0.0020693i,0.00043563+0.00081769i,0.00054576-0.00046634i,0.00051314-0.00064614i,-0.00020168-0.00061659i,-0.00098668-0.00020213i,-0.00072024+0.00038283i,-0.00050199+0.00012689i,-0.00014182+9.8598e-05i,0.00028939-0.00048837i,0.0009575-0.00094716i,0.00068898-0.0005532i,0.00056511-0.0004809i,0.00075776-0.00028383i,-0.00012845-9.4568e-05i,-0.0002683-0.00016386i,2.0464e-05-0.00025674i,1.9427e-05-0.00047965i,-0.00031066-0.00029687i,-0.0004727+0.00021041i
-0.00035349+0.0012454i,-0.00029629+0.00016683i,0.00042811+0.00082181i,0.00062678+0.00078501i,0.00084325-9.872e-05i,0.00055341+4.4958e-05i,-5.0118e-05+0.00038601i,-0.00059449+0.00059032i,-0.00027024+0.00071295i,-0.00013187+0.00058962i,-0.00046129-0.0003547i,-0.00054469-0.00055786i,-0.00016233-0.00033831i,-6.9884e-05-0.00097756i,-0.00014809-0.0013532i,1.9111e-05-0.00091384i,0.0006852-0.00040049i,0.00085076-0.00036815i,0.00010001+0.00034771i,-0.00072844+0.00064949i,-0.00030243-0.00015081i,0.0007098+2.1174e-05i,0.00094996+0.00042059i
-7.9275e-05-5.9599e-05i,-0.00056657-0.00042976i,-0.0018207+0.00023387i,-0.0020473+0.00092832i,-0.0001917+0.0013822i,0.0012342+0.00085131i,0.001666-0.00036707i,0.00085446-0.0006684i,-0.0010395-0.00027661i,-0.0016993-0.00025567i,-0.00052738+2.7967e-05i,0.00045376+9.2107e-05i,0.00091315+6.6553e-07i,0.00056645+0.00050456i,-9.6013e-05+0.00068548i,-0.00075396+0.00071532i,-0.00075758+0.00059193i,0.00017213-0.00026235i,0.00053299-0.00059594i,0.00060494+0.00022256i,0.00066524+0.00058851i,-0.00017236-6.695e-05i,-0.00094157-0.00024395i
-0.002118-0.0018362i,-0.0020505-0.0013612i,-0.0011385-0.00059525i,-0.0012622+0.00089412i,-0.0016781+0.0017388i,-0.0010055+0.0013037i,0.00033879+0.00044226i,0.001218-0.00087669i,0.00056089-0.0011358i,-0.00052234-0.00017393i,0.00010188+0.00030904i,0.0008227+0.00089429i,0.00069791+0.00062981i,0.0010361+0.00051236i,0.0010032+0.00096106i,0.00084087+0.00087642i,0.00035675+0.00048352i,-0.00015864-0.00014619i,-1.6112e-05-0.00079679i,-9.5461e-05-0.00033307i,-0.0005915+0.00044457i,-0.00031171+0.00024919i,-0.00031907+0.00061725i
0.0014556-2.0151e-05i,0.0008074-9.8733e-05i,0.0010959-0.00013008i,0.00069392-0.00046695i,9.1892e-05-0.00058386i,0.00080116+0.00018455i,0.0013085+0.0012961i,0.00088185+0.00091526i,0.00058864-0.00029309i,0.00085948-0.00011529i,0.00034235+0.00016374i,-0.00020425+0.00035489i,-0.00034611+0.0005819i,-0.00030467+0.00010232i,0.00063547-0.00010214i,0.00092573+0.00018654i,-9.1865e-05-0.00023485i,-0.00026134-0.00033861i,6.2106e-05+0.00023489i,4.0697e-05+0.00075636i,0.00023311+0.00036215i,0.00046916+0.00015123i,0.0012356+1.9997e-05i
-0.00065553+0.00014906i,-0.0016249-0.00036964i,-0.0012756+0.00063725i,0.00013448+0.0015701i,0.00069589+0.00099949i,0.00061338+0.00025414i,0.0010542-4.9495e-05i,0.0013718-0.00020508i,0.00063478-0.00069922i,-0.00037959-0.00083862i,-0.00079472-0.00064444i,-0.00048244-0.00018876i,-0.00079791+0.00014953i,-0.00093042-0.00017095i,-4.0573e-05-0.00023547i,-0.00018307-0.00039155i,-0.00029317-0.00048238i,0.0003763+0.00017392i,0.00054333+0.00054748i,-0.00027411-0.00011917i,-0.00092551-0.0011258i,-0.00080441-0.0008784i,-0.00054606-0.00011198i
0.00077857-0.0012417i,-0.0002578-0.0012773i,-0.0012627-0.0012663i,-0.0019577-0.00078985i,-0.0023412-0.00022451i,-0.0010937-9.3161e-06i,0.0011577-0.00026692i,0.0019706-0.00045852i,0.00083371-0.00081204i,1.7743e-05-0.00085686i,-0.00019941-0.00039615i,0.0001154-0.00041404i,0.00075418-0.00023032i,0.00087647+0.0004338i,3.8093e-05+0.00051517i,-0.00033996+0.00028823i,0.00042331+0.0005772i,0.00076003+0.00061847i,0.00030874+0.00067548i,3.0992e-05+0.00031008i,-0.00055878-9.8111e-05i,-0.00053155-0.00010515i,1.4543e-05-7.5443e-05i
-0.0014597-0.00041582i,-0.0013253-3.7685e-05i,-0.00057626+0.00070344i,0.00027631+0.00069415i,0.0012747+0.0007688i,0.0018953+0.0010978i,0.0015851+0.00060953i,0.00043466-0.00037581i,-9.5561e-05-0.00030362i,-0.00027373+0.00040947i,-0.00068727-0.00032927i,-0.0010249-0.0011703i,-0.00091879-0.0012045i,-0.00029457-0.00089988i,0.00048228-0.00099327i,0.00080654-0.001218i,0.00055261-0.0008193i,0.0010834-0.00017503i,0.00086099+0.00019653i,-0.00070242-0.00019016i,-0.0010012-0.00044313i,0.00013289-5.4741e-05i,0.00032927+0.00019981i
-0.0021719-0.00067384i,-0.0025146+8.8177e-05i,-0.0017831+0.00095453i,-0.0011401+0.0024949i,-0.00044302+0.0026215i,0.00073267+0.0012042i,0.00105-0.00030757i,4.8984e-05-0.00035506i,-0.0004903+0.00020687i,-0.00040655+2.2105e-06i,-0.00021582-0.00015983i,-0.00017283+0.00011269i,-0.00046722+0.00027894i,0.00067944-0.00089202i,0.0012264-0.0011458i,-0.00035067+0.00044473i,-0.0006547+0.0010259i,-0.00023159+0.00086228i,-0.00068722+0.00011567i,-0.00086033-0.00068806i,-0.00018168-0.00034149i,-0.00016309+0.00074899i,-0.00010916+0.0015323i
-0.00066273-0.00033565i,-0.0019048-7.5661e-06i,-0.0013909-0.00010063i,-0.00032535-5.9732e-05i,-0.00055585+2.0158e-05i,-0.00020773+0.00055553i,0.00096638+0.00066018i,0.0011343-0.00050781i,0.00083219-0.00057805i,0.00067452+2.8412e-05i,0.0002742-0.00022902i,-0.00012724-0.00036246i,5.9994e-05-8.0961e-05i,-0.00034144+0.00014891i,-0.00076222-0.00010993i,-0.00031547+9.8785e-05i,-0.00079968+0.00025341i,-0.0012005-0.00052183i,-3.4687e-05-0.0004052i,0.00032079-0.00022588i,0.00038773-0.00027029i,0.00043582+3.0743e-05i,0.00026659+0.00043954i
-0.0012697-0.0010488i,-0.0010506-0.00076041i,-0.0011039+0.00045373i,-0.00029124+0.0013386i,0.0010413+0.0011088i,0.0010485+0.00059664i,0.00072869+3.0417e-05i,0.00060889-0.00048709i,0.00037237+0.00014558i,-0.00069237+0.00066217i,-0.00067123-0.0003438i,5.9709e-05-0.00081935i,-0.00058685-0.00013434i,-0.00017557-0.00027362i,0.00026127-0.00071305i,-0.00043553-0.00043466i,-0.0010572-0.00070674i,-0.00055312-0.00086915i,-0.0001971-0.00078483i,0.00039-0.0011372i,2.1365e-05-0.0011222i,-0.001464-0.00057546i,-0.0013195-0.00076605i
0.00010396-0.00034504i,0.00082348-0.00020907i,0.00082246-5.439e-05i,-0.00066532-0.00018581i,-0.0016465-0.000335i,-0.00037159+1.2874e-05i,0.0013554+0.00023793i,0.0011914-6.7068e-05i,-0.00030506-0.00040274i,-0.00073392-0.00087738i,-0.00045671-0.0013628i,-0.00094313-0.0004208i,-0.0011011+0.0011581i,-0.00074355+0.00080385i,-0.0011106+0.00081203i,-0.00099381+0.00084004i,3.2994e-05-5.5606e-05i,0.00080696-7.8375e-05i,0.00025616+0.0004469i,-0.00043063+0.00065134i,-0.00029632+0.00017599i,-0.00025968+3.0961e-05i,1.9821e-05-0.00018696i
-0.0016136-0.001011i,-0.0022389-0.00028722i,-0.0023185+0.00040493i,-0.0015922+0.0017991i,-0.00021452+0.0016668i,0.0010174+0.00088882i,0.0015882+0.00014097i,0.00081751-0.00014413i,-0.00068045+0.00025696i,-0.00053196+0.00036632i,-1.2553e-05-1.7885e-05i,0.00038631-0.00025652i,0.00074342-0.00055356i,0.00068746-0.00070057i,0.00060622+0.00023791i,0.00025834+0.00090981i,0.00017958+0.00037836i,0.00049335-4.5173e-05i,0.00028465+4.4091e-05i,4.1404e-05-0.0002178i,0.00021339-0.00038919i,-0.00023605-5.7278e-05i,-0.00094663+5.7267e-05i
-0.0002169+0.00015656i,-0.00024988-0.00043076i,-0.00024842-0.00044426i,-0.0011298-0.0010706i,-0.0013387-0.00085584i,-0.00028075+0.00047988i,0.00080447+0.00099161i,0.00079286+0.00028484i,0.00023775+1.3743e-05i,-0.00035972+0.0004851i,-0.00035392+0.00023989i,-5.8627e-05+0.00043121i,0.00037268+0.0013254i,4.0999e-05+0.0013261i,-0.00047589+0.00017006i,-0.00037327+0.00027317i,-0.00035557+0.00019034i,-1.1147e-05-0.00066887i,0.0001813-0.00048748i,0.00037245-0.00033418i,0.00080571-0.00029377i,0.00074724-0.00043794i,6.2293e-05-3.2958e-05i
0.00055368-0.00042825i,0.00019628-0.0019821i,0.00040172-0.0012423i,0.0015389-0.00048273i,0.0019824+0.00061405i,0.0016594+0.001373i,0.0014797+0.00056199i,0.0011994-0.00018331i,0.00066878+0.00046672i,-1.0431e-05-6.138e-05i,-0.00032232-0.0012314i,-0.00044112-0.0011718i,-0.00037689+0.00014137i,-0.00074577+0.00086026i,-0.00045604-2.573e-05i,0.00010546+0.00043407i,-0.00022099+0.00031069i,-6.4214e-05-0.00041427i,0.00018042-0.00025533i,-0.00044252+7.2258e-05i,-0.00021867+0.00024677i,-3.302e-05-0.00056529i,-0.00031582-0.0013506i
7.0077e-05-0.0011097i,-0.0019215-0.00031231i,-0.0020992+0.00012881i,-0.00081505+0.00048312i,-0.0006417+0.00088676i,0.0003606+0.0009942i,0.00202+0.00025322i,0.0017195-0.0001418i,0.00076141-6.1313e-05i,0.00046897+0.00020191i,1.242e-07-0.00032129i,-0.00030697-0.00071079i,0.00022353+1.8826e-05i,0.00026777+7.6097e-05i,-0.00045164+0.00055801i,-0.00016545+0.00049624i,-0.00015819-0.00093077i,-0.00058321-0.0011144i,-0.00049858-0.00079614i,-0.00059531-0.00085652i,-0.0007159-0.00053384i,-0.0001064+0.0002693i,0.00053774+0.00042106i
-0.0013915+0.0014173i,-0.00084503+0.0020884i,-0.00029571+0.0016431i,-0.00017329+0.001152i,0.00043931+0.0013234i,0.0011357+0.0010636i,0.0010741+0.00044166i,0.00067638-6.7512e-05i,-0.00044358-0.00030022i,-0.0010905-0.00036067i,-4.1635e-05-0.0012645i,0.00017147-0.0011473i,-0.00069712-0.00014144i,-0.0010859+9.2437e-05i,-0.0010271+8.3734e-05i,-0.00031954-4.0511e-05i,0.00046099+0.00010795i,0.00055222+0.00041092i,3.8981e-05+0.00023745i,-0.00088649+0.00030967i,-0.0011218+0.0003051i,-0.0002369+7.0516e-05i,0.00022557+0.00024022i
-0.0012246-0.00055571i,-0.0018912-0.00065976i,-0.0011733-0.00012068i,-0.00031434+0.00055144i,-0.00051675+0.00078416i,-0.00026689+0.00090236i,0.00036021+0.00071007i,0.00073169-0.00035387i,0.00034832-0.00074009i,-0.0003086-0.00074834i,-0.00026038-0.00035252i,-0.00032387+0.00018297i,2.2959e-05+0.00027253i,0.00099725+0.00074971i,0.00087587+0.00056081i,0.00021158+0.00071722i,-0.00010555+0.00063908i,5.1199e-05+6.4278e-05i,0.00030464-0.00058562i,0.0005598-0.00086053i,0.00083092-0.00015857i,0.00078617-8.1607e-05i,0.00063595-0.00053081i
-0.0044614+0.00010453i,-0.0039137+0.0006631i,-0.001712+0.0020728i,-0.00059211+0.0028269i,-7.3699e-05+0.001793i,0.00083844+0.00061421i,0.00078276-0.00016191i,-4.7609e-05-0.0016066i,-0.00049185-0.0018765i,-0.00026677-0.00084132i,5.7034e-05-0.00088319i,0.00048016-0.00091563i,0.00073444-0.00063254i,0.00045036-0.0011979i,-0.00010451-0.0017483i,0.00036566-0.0016679i,0.00061728-0.00080192i,0.00028083-5.2343e-05i,0.00041378-0.00029733i,-8.5688e-05-0.00042831i,-0.0010682-0.00011565i,-0.0010077-0.00022004i,-0.00038962-4.5367e-05i
0.0025613-0.0013881i,0.0019466-0.0022452i,0.0015655-0.0031101i,7.7525e-05-0.0028681i,-0.00054178-0.0011322i,0.000543+0.00053013i,0.0018437+0.00076767i,0.0021965+0.0001019i,0.0013285-0.00018681i,2.2172e-05+3.3871e-05i,-0.00029344+8.6971e-06i,-0.00037831+9.0927e-06i,-0.0010018+0.0002168i,-0.0018175+0.00085463i,-0.0016845+0.00084496i,-0.00054355+0.0010237i,-9.1679e-05+0.00091362i,-6.9764e-05+6.9117e-05i,0.00032596+0.00013801i,-6.0655e-05+0.00045749i,-0.00028024+0.0002166i,0.00013297+0.00030631i,-0.00017999+0.00016555i
0.00011624-0.0025953i,-0.0017174-0.0021446i,-0.0023263-0.00054986i,-0.0025707+0.00084113i,-0.0017685+0.0014389i,8.0574e-05+0.0014514i,0.0018279+0.001202i,0.0019175-0.00031357i,0.0011577-0.0014479i,0.00021967-0.0008308i,-0.00035964-0.00013844i,-0.00098893+4.5969e-05i,-0.001113-6.5852e-05i,0.00015116+0.0010504i,0.00041285+0.0017539i,-0.0001692+0.00084046i,-0.00099284+0.00079978i,-0.0016794+0.00093563i,-0.00084085+0.00082694i,-9.2516e-05+0.00049832i,-0.00014472-0.0003397i,0.00028014-0.00029809i,0.00042292-0.00038292i
-0.0014884-0.0015811i,-0.0015012-0.0014651i,-0.0015068-0.00075299i,-0.0020091-0.00043287i,-0.0013962-0.00040281i,-0.00026708-0.00058798i,0.0014605-0.0009224i,0.0018924-0.0012321i,0.00070265-0.00058634i,0.00028698+0.00084298i,7.5919e-05+0.0011817i,0.00043216+0.0010865i,0.00043125+0.00081461i,0.00036117+0.00047467i,0.00080949+0.00021053i,0.0009666-0.00021009i,0.00061896-0.00038467i,0.00014975-0.00028133i,-0.00031434-0.00042041i,-4.9163e-05-0.00079574i,6.9871e-05-0.0010037i,0.00015683-0.00022971i,0.00079878+0.00059313i
-0.00090905-0.0020448i,-0.0010784-0.0011787i,-0.00064261+0.00014992i,-0.00059168+0.00086617i,-0.00083147+0.00016554i,0.00026389+0.00040877i,0.0010941+0.00022617i,0.00045952+5.3162e-05i,-0.00071089+0.00060343i,-0.00039868+0.00051127i,5.9441e-05-8.9286e-05i,-0.00032079-0.00045333i,-0.0003586-0.00066797i,0.00034476-0.00023533i,0.00088421+0.00034027i,0.00026052+1.2204e-05i,0.00042339-0.00017917i,0.0005362+0.00026947i,-3.7559e-05+0.00049124i,-0.00040537+0.00019008i,-0.0010467+4.2341e-05i,-0.0011829+4.3226e-05i,-0.0008375-0.000304i
-0.0019835-0.00072719i,-0.0019704+2.3715e-05i,-0.0020813-6.4353e-06i,-0.0010869+0.0012705i,5.8929e-05+0.0016766i,0.00033682+0.00022926i,0.00014033-0.0003384i,0.00018682-0.00023555i,-0.00027457-0.00054766i,-0.0010534-0.00060915i,-0.001276+9.3057e-05i,-0.00058814+0.00045001i,-7.5139e-05+0.00016269i,0.00010622-0.00040322i,0.00069893-0.00040314i,0.00089869+0.00045757i,0.00043046+0.00092018i,7.2914e-07+0.00017233i,5.1707e-05-2.2275e-05i,-0.00040382+0.00010426i,-0.00080766-6.149e-06i,-0.00061112-0.00020301i,-0.00013224-8.9516e-05i
-0.0023042-0.0022123i,-0.0026461-0.0021364i,-0.0031648-0.0016812i,-0.0021866-0.00091137i,-0.0012576+5.5868e-05i,-0.00014665+0.00040175i,0.00064963-1.9239e-06i,0.00076065-0.00027038i,0.00052996+0.00018239i,0.00047518+0.00014473i,0.00041566-0.00029857i,0.00016335-0.00066506i,0.00046747-0.00016924i,0.00108+0.00079333i,0.00068535+0.00071678i,0.00034165+0.00033577i,-0.00012418+0.00025559i,-0.00051434+0.00027864i,-0.00011607+0.00014947i,0.0008698+0.00026326i,0.0010367+0.0010082i,9.4663e-05+0.0015005i,-0.00041852+0.00082417i
-0.00059422-0.0019708i,-0.0017691-0.0013498i,-0.0026855-0.00029676i,-0.0012304+0.00059152i,0.00027991+0.0012376i,0.0010752+0.0016421i,0.0017136+0.0010851i,0.0012399-2.2894e-05i,0.00015585-3.7555e-06i,-5.755e-05+0.00061378i,-0.00015474+0.00085473i,-0.00025415+5.6735e-05i,0.00020249-8.7661e-05i,0.00054156-6.7721e-05i,0.00040913-0.00087066i,0.00063346-0.00040894i,0.0010981+0.00070171i,0.00053391+0.00095308i,0.0003381+0.0003874i,0.00066765-2.4511e-05i,0.00033253+0.0002131i,0.00039615+0.00023681i,0.00040567+0.00012781i
-0.00065498+0.00045734i,-0.00047037-0.00017357i,-0.00061619+0.00036107i,-0.00049628+0.0016833i,-0.00074753+0.00091123i,-0.0016213+0.00030664i,-0.00068244+0.0010641i,0.00067282+0.00037843i,0.00044154-0.00033353i,0.00045903+1.6585e-05i,0.00038969-0.00020146i,-0.00031821-0.00027672i,-0.00064662+5.7934e-05i,-0.00074256-0.00016887i,-0.00062646-0.0003286i,-0.00045178+0.00026242i,-0.00065453+0.00021436i,-0.00033098-0.0001185i,0.00054225-5.8823e-05i,0.00047673+0.00032921i,0.00071214+0.0002608i,0.0010664+0.00017116i,0.0004973+0.00030491i
-0.00048135-0.00066094i,-0.00033286-0.00017806i,-0.00087514+0.00067897i,-0.0012234+0.0011238i,-0.00080677+0.00075582i,0.0003773+0.0012626i,0.0012458+0.0014084i,0.0010915+0.00064617i,0.00059843-0.00036922i,-0.00015187-8.2067e-05i,-0.00067316+0.00030913i,-0.00071534+0.00042745i,-2.9564e-05+0.00064762i,0.00051443+0.00029395i,0.00012773+0.00018425i,-0.00091553+0.00062252i,-0.00099797+0.00095565i,-0.00029017+0.00071489i,-7.5039e-05-0.00021882i,1.6207e-05-0.0006822i,0.00042107-0.000323i,0.00061799+0.00058516i,0.0010294+0.0011411i
1.535e-05+0.00060941i,0.00083125+0.00032122i,0.0011152+0.00048159i,0.00079277-0.0006201i,0.00051543-0.0013673i,-3.292e-05-0.00087668i,0.00028047-0.00026485i,0.00030259-0.00056175i,-0.00015779+2.3301e-05i,0.00025611+0.00042239i,0.00032517-0.00059212i,-0.0001364-0.00078388i,-0.00047003-0.00030616i,-0.00036766-0.00032698i,-2.8514e-06-0.00019249i,-0.00012451-0.00017376i,-0.00022287+5.3002e-05i,0.00018479+0.0006928i,-0.00025063+0.00077283i,-0.00055162+1.9076e-05i,-0.0003248-0.0002365i,0.00010643+0.00028723i,0.00054208+0.00097749i
