0.00033851+0.0011932i,0.00044851+0.00013092i,-0.00060915-0.00065043i,-0.0010337-0.00066675i,-0.0016744+0.0006868i,-0.0019798+0.0023222i,-0.0017347+0.0037099i,-0.00069096+0.0036687i,0.0014823+0.0016839i,0.0020347+0.00031141i,0.0018442-0.00025209i,0.0015855-0.0011835i,0.00099691-0.0013277i,0.00019631-0.0011222i,-0.00055582-0.00086174i,-0.00041332+0.00022716i,-3.3802e-05+0.00079406i,0.0002893+0.00055695i,0.0004053+0.00039582i,0.00042239+0.00020894i,0.00052073-0.00016251i,5.8748e-05-5.8043e-05i,-0.0007233+0.00010856i
0.0016764-0.0020429i,0.0014233-0.0023502i,6.3266e-05-0.0019104i,-0.0006084-0.0010635i,-0.00070783-0.00039739i,-0.0012857+0.00030618i,-0.0014814+0.00067589i,-0.00094528+0.00024244i,0.00014061+0.00053592i,0.00060567+0.000169i,0.00017681-0.0013002i,-0.00096306-0.00054716i,-0.00094888+0.00063851i,-3.8616e-06+0.00017322i,0.00050074-0.00046603i,0.00072147-0.00023889i,7.4927e-05-1.9262e-05i,-0.00056183+5.7727e-05i,-0.00079804+0.00053999i,-0.00016859+0.00072314i,7.6183e-05+0.00032027i,-0.00077281+0.0004054i,-0.00093605+0.00043079i
0.0024567-0.00085168i,0.0026875-0.00098345i,0.0017957-0.0010578i,0.00086095-0.00048064i,-0.00034137-0.00021724i,-0.0012093+2.3486e-05i,-0.0014372+0.00057463i,-0.0006473+0.0004939i,0.0006571-0.00024516i,0.00078295-0.00038979i,0.00072732-0.00034495i,0.0010453-0.00089905i,0.00051993-0.00047658i,-0.00029927+0.0010539i,4.2567e-05+0.0008762i,-0.00025597+0.00023941i,-0.00062229+0.0004288i,-0.00039562+0.00014684i,-0.00019435+5.0214e-05i,0.00032008+4.2552e-05i,-5.3652e-05-0.00042865i,-0.0002503-0.00045325i,-0.00034015+0.00017352i
-0.00022386-0.00021976i,6.0072e-05-0.00032766i,-3.727e-05-0.00047871i,-0.00095556-5.3954e-05i,-0.0010129+0.00041632i,-0.00045736+0.00099671i,-0.00057789+0.0011125i,-0.0005629+0.00072001i,-0.00082542+0.00050081i,-0.00054317+0.00014643i,0.00042907-7.4188e-05i,0.00059992+0.00026663i,0.00024947+0.00086496i,0.00058895+0.00086263i,0.0010256+0.00074923i,0.00080063+0.00072332i,7.4868e-05-0.00013625i,0.00021504-0.00075913i,-0.00017642-0.00042849i,0.00015285-0.00058733i,0.00042944-0.00027417i,-0.00040367+0.00061526i,-0.00037581+0.00076024i
0.0011894+0.0011128i,0.00083154+0.00035521i,-0.00030704+4.7058e-05i,-0.00067697+1.101e-05i,-0.00076549-0.0003755i,-0.0018783-0.00071015i,-0.0015372-0.00028951i,-0.00012925+0.00061508i,0.00032974+0.00062351i,-0.00023947-0.00013587i,-0.00093279-4.4515e-05i,-0.0013401+0.00080012i,-0.0011641+0.0010945i,-0.00029634+0.00083419i,0.00022331+0.00028539i,0.00054068+0.00055409i,0.0010045+0.00094399i,0.0012065+0.00030111i,0.0010519-0.00070588i,0.0002525-0.0012802i,-0.00074518-0.0011481i,-0.00035869-0.00063917i,0.00033736-0.00023421i
0.00067013-0.0016193i,-0.00068128-0.0023402i,-0.0017921-0.0024734i,-0.0015499-0.00058956i,-0.0017633+0.0010029i,-0.0023163+0.0011192i,-0.0013986+0.00074221i,-0.0004605+0.00096704i,-0.00052873+0.00083494i,-0.00022491+0.00024417i,-0.00054246-0.00024053i,-0.0016052-0.00019922i,-0.0014666+0.00015354i,-7.5967e-05+0.0011343i,0.0012348+0.001975i,0.00087597+0.0011794i,0.00041599-0.00023645i,0.00076676-0.00098072i,0.0011086-0.0013347i,0.001123-0.0010985i,0.00080277-0.00051456i,0.00013304-0.00060838i,-0.00041493-0.00034372i
0.00017453-0.00047889i,-0.00019246-0.0012309i,9.9636e-05+0.00010546i,0.00024835+0.00087127i,0.00013521+0.00087697i,-0.00028057+0.00013861i,-0.0010948-0.00033539i,-0.00043388-0.00037301i,0.00023856-0.00019632i,-0.00035491-0.00032483i,-0.00055931-0.00066205i,-0.00055039-0.00089158i,-0.00019866-0.0012568i,0.00046607-0.0016868i,0.00016991-0.0013611i,0.00053703-0.00045752i,0.0011532-8.3165e-05i,0.0006092-0.00059352i,-0.00025984-0.00013592i,-0.00064263+0.00080387i,0.00020243+0.00056488i,0.0010181-0.00023055i,0.00041614+2.6509e-05i
-0.0014692+0.000386i,-0.00084648+0.00025133i,-0.00074343+0.00046603i,-0.00062345+0.0012229i,-0.00062847+0.0015231i,-0.00059995+0.00055839i,-0.00030454+0.00027457i,-0.00034958+8.611e-07i,-0.00026173-0.00038397i,0.00032724+0.00025189i,0.00066733+0.00057046i,0.0012839+0.00041424i,0.0010224+3.4513e-05i,0.00045471-0.00018759i,0.00034259-0.0003091i,0.00010341-2.0369e-05i,7.4437e-05+7.2617e-06i,3.4768e-05+1.1005e-05i,0.00023861+0.00057168i,-0.00034445-0.00011986i,-0.0009149-2.0607e-05i,-0.00094721+0.00029297i,-0.0008521-8.8103e-05i
0.00056692-0.00094473i,0.00095104-0.0016291i,0.0012124-0.00084527i,0.00054396+0.00061845i,-0.00079416+0.0012441i,-0.0014206+0.00087053i,-0.00087825+0.00087632i,-0.00088471+0.00049791i,-0.0012075-0.00061908i,-0.00035243-0.00066535i,0.00044439-0.00065922i,-7.1094e-05-0.0003937i,-0.00015511-9.8469e-05i,0.00017821-0.00028595i,0.00022936-0.00079875i,-0.00019469-0.00053097i,-0.00013547+0.00012567i,6.1451e-05+7.2452e-05i,-1.283e-05-0.00038929i,0.00047726-0.0002204i,0.00022671+0.00010336i,-0.00035987+0.00033427i,-0.00094557+0.00067862i
0.0020815-0.00057138i,0.0018857-0.0012365i,0.0012998-0.0013812i,0.0005665-0.00084904i,-0.00043712-0.00057618i,-0.00075488+0.0005252i,-0.00069977+0.0012957i,-0.00025135+0.00091889i,0.00036422+0.00025684i,0.00031834-9.4077e-05i,-0.00026157-0.00039819i,-0.00037773-0.0011356i,8.4534e-05-0.0011357i,0.00040272-0.00025607i,0.00075+0.00017417i,0.0007344+0.00038488i,0.00049907+0.00041855i,0.00030039+0.00045779i,-0.0001369+0.0010392i,-0.00036898+0.001168i,1.6727e-06+0.00065953i,0.0004983+0.00028949i,0.00020724+0.00025452i
0.0012711-0.00076027i,0.0013771-0.00089563i,0.00072011-0.00083526i,5.1689e-05-0.00109i,-0.00016809-0.00076143i,-0.0006746+0.00011716i,-0.00038791+0.0010519i,0.00037315+0.0007807i,-1.5787e-05-0.00040077i,-0.00056015-0.0011492i,-0.00084821-0.0011674i,-0.00094487-0.00021617i,-0.0006646+0.00012012i,0.0003651+0.00027255i,0.0015082+0.00036668i,0.00078551-0.00031455i,-0.00093383-0.00086238i,-0.00070287-0.00050962i,-6.0336e-05+0.00034927i,-0.00025945+0.00059294i,6.1472e-05+2.5808e-05i,4.6627e-05-2.1461e-05i,-0.00018747-0.0003994i
-0.00036964+0.001i,0.00033788+0.00068255i,0.00049184+0.00071196i,-0.00027888+0.0012971i,-0.00062091+0.0010805i,-0.00043832+0.00066355i,-0.00036162+0.00078682i,-0.00030672+0.0002938i,0.00028602-0.00030205i,0.00036338-4.3481e-05i,9.4959e-05+0.00042792i,0.00011794+0.00063165i,0.00036569+9.0486e-05i,0.00027009-0.000316i,0.0002142-0.00060033i,8.5097e-05-0.00032769i,1.1134e-05-0.00021771i,0.00041877-0.00069219i,0.00055401-0.00032761i,-0.00028098+0.00014073i,-0.00088235+0.00018107i,-0.00060901-0.00017385i,-9.4544e-05-0.0002463i
0.0011932+0.00040232i,0.00072239-0.00012389i,0.00040315+0.00026022i,0.00011478+6.9693e-05i,-0.00046692-0.00084457i,-0.00092052-0.00042271i,-0.00098935+0.00092388i,-0.00088867+0.0015725i,-0.00043532+0.00097335i,0.00016538-8.3104e-05i,0.00015631-0.00067406i,7.5267e-05-0.00068004i,0.00026051-0.00055911i,0.00050351-2.2135e-05i,0.00046291+0.00029369i,0.00042772+0.00017419i,0.0007967-9.8047e-05i,0.0014864-0.00061836i,0.0016894-0.00054038i,0.0010381+0.00059941i,0.00057195+0.00064571i,1.2655e-05+0.00013607i,-0.00063449-3.0911e-05i
