0.00051983+0.00018789i,0.00097698-0.00083564i,0.00015878-0.0010885i,-0.0010372-0.00095958i,-0.0018678+0.00013501i,-0.0025014+0.0012496i,-0.0029261+0.0018558i,-0.0024778+0.0014191i,-0.0011434+0.00070773i,0.00015329+9.5143e-05i,0.0013519-0.00072831i,0.00061469-0.00049117i,-0.00052876+0.00046841i,-0.00028655+0.00077613i,0.00024958-0.00013433i,0.00070007-0.00017317i,0.00089922+0.00095941i,-6.1926e-05+0.00082319i,-0.00078656-0.00027823i,-0.00031092-0.00033911i,-0.00010208-0.00011605i,-0.00019723-0.00028289i,-0.00046062+0.00015527i
0.0024996-4.8554e-05i,0.0022329-0.0014625i,0.0023993-0.0031669i,0.0020661-0.0027949i,0.00036807-0.0014394i,-0.001312-0.00034008i,-0.0018061+5.4682e-05i,-0.0017144-9.0627e-05i,-0.0015929-0.00030302i,-0.00081238-0.00058124i,-0.00013801-0.00021136i,-0.00035381+0.00032771i,-0.00070269+0.00080672i,-0.0010059+0.00056363i,-0.00035511+3.333e-05i,0.0005399+0.00045181i,0.00057656+0.0004173i,-8.0027e-05+0.00086103i,-0.00064706+0.00040048i,-0.00037118-0.00042818i,0.000379+0.0002676i,0.00023965+0.00080565i,-6.4353e-05+0.00049232i
0.0015946+0.00095335i,0.0022138-0.00019399i,0.002318-0.00094906i,0.00062489-0.00032079i,-3.3925e-05-0.00010324i,-0.00021211+0.00012234i,-0.00077522-4.955e-05i,-0.0011736-0.00032536i,-0.0010891-0.00029943i,-0.0015278-0.00011171i,-0.0013601+8.772e-06i,-0.00027933-2.3327e-05i,-0.00044834+0.00048143i,-0.0010984+0.00086366i,-0.00086914+0.00060585i,-0.00055183+0.00056897i,-0.0003076+0.00070195i,0.00010442+0.00049566i,8.7844e-05+0.00042037i,0.00025155-8.2558e-05i,0.00058161-0.00038709i,0.00052625+0.00029646i,0.00098067+0.00038428i
-0.00081964+0.00073372i,0.00016297+0.00035246i,0.0013981+0.00068748i,0.001858+0.0017266i,0.0014038+0.0014392i,0.00015518-0.00026784i,-0.0018378-0.0014645i,-0.0023631-0.0011575i,-0.0019924-0.00046991i,-0.0012265+0.00060763i,-0.00037642+0.00088636i,-0.00077165+0.00027122i,-0.0010752-8.1736e-05i,-0.00025461+0.001013i,0.0001292+0.0019898i,-0.00036858+0.00099574i,-0.00037156-0.00045754i,-5.6932e-06-5.1511e-05i,0.00025965+0.00091684i,-9.6817e-05+0.00065734i,-0.00030872+0.00033442i,2.7452e-06+6.8103e-05i,0.00038239-0.00021215i
5.2007e-05-0.00045767i,0.00071964-0.0004614i,0.0013424-0.00038451i,0.00071746-0.00087358i,0.0001935-0.00092431i,-0.00052078-0.00084606i,-0.001392-0.0011124i,-0.0012755-0.0010116i,-0.0013424-0.00067509i,-0.00058339+0.00023213i,0.00044659+0.00049553i,0.00050357+0.00031646i,-5.7533e-05+0.00012417i,-0.00029131+0.00099833i,-3.0235e-05+0.0015284i,-7.5238e-05-8.5518e-05i,-0.00023511-0.00033084i,-0.00023083-7.3994e-07i,-0.00022584+0.00029773i,-0.00042907-0.0001321i,-0.00038566-0.00039293i,0.00022053+0.0001531i,0.00033729+0.00062598i
0.0021727-0.00026823i,0.0030005+3.0846e-05i,0.00324-0.0014495i,0.0022313-0.0020103i,0.00048217-0.0016863i,-0.00074874-0.00099736i,-0.0013943-0.00047601i,-0.0013025-0.00049837i,-0.0010072-0.0007856i,-0.00099303-0.00028018i,-0.00058324-2.2297e-05i,-9.5678e-05-4.3393e-05i,-0.00054274+0.00054156i,-0.00042415+0.00037421i,-6.0438e-06+0.00033007i,-0.00055668+0.00023654i,-0.0012526+2.2541e-05i,-0.0010587+0.00022628i,-0.00061587+0.00014235i,-0.00030894+0.00020581i,-0.00042494+1.7932e-05i,-0.00076548-0.00017782i,-0.00045736+0.00035014i
0.00089492+0.001106i,-0.00063707+0.00068238i,-0.00064846-0.00075918i,-0.0003975+6.1356e-05i,-0.0010337+0.001143i,-0.0014153+0.00097946i,-0.0015557-0.00019938i,-0.00080699-0.0014435i,2.7827e-05-0.00068504i,0.00018076+0.00014987i,-4.1428e-05+0.00043023i,-7.7622e-05+0.00029141i,0.00027333-0.00047535i,0.00067835-0.00045399i,1.7128e-05-0.00051398i,-0.00088564+0.00012238i,-0.00077539+0.00068157i,-0.00054525+0.00056181i,-0.00064879-0.00040243i,-0.00049932-0.0012462i,-5.1503e-05-0.00053301i,-0.00031579-0.00024803i,-0.00042337-0.00043516i
-0.0015413-9.249e-05i,2.6562e-05+2.8608e-05i,-6.1136e-05-0.00034711i,-0.0010538-0.00053455i,-0.0014784-0.00019096i,-0.0017548-0.00022192i,-0.0016941-0.0010193i,-0.0011149-0.0008056i,-0.0012413+8.5292e-05i,-6.3197e-05+0.00074312i,0.00054082+0.00049373i,-0.00040254+0.00018576i,-0.0017883-1.603e-05i,-0.0013594+0.00023023i,-0.0001033+0.00088989i,-0.00071181+0.0010661i,-0.0014143+0.0011257i,-0.0014682+0.00079991i,-0.000746+0.00044603i,-0.00013332+0.00070613i,-3.6533e-08+0.00063541i,-0.00084656+0.00059167i,-0.0015441+0.00066333i
0.0012187-0.00037177i,0.0014273-0.0012146i,0.00068325-0.0022093i,0.00066448-0.0018045i,0.00086203-0.0014062i,0.00056616-0.0014039i,-0.00040465-0.00068967i,-0.0011643-0.00022242i,-0.00078845+0.00011118i,-0.00036031+0.00020245i,-3.3553e-05-0.00016022i,0.00040626-0.00022809i,0.0002303+0.00027477i,-0.00041399+0.00035884i,-0.00046415+0.00018782i,-0.00020354-7.72e-05i,0.00015756-0.00016832i,0.00062372+0.00047321i,0.00097443+0.00073514i,0.0012342+0.00016097i,0.0009196+0.00012111i,0.00020757-0.00034923i,9.3617e-05-0.00074569i
0.0027005+0.00018553i,0.0014357+0.00097469i,-0.0006946-0.00062462i,-0.0017609-0.0010086i,-0.0016009-0.00046979i,-0.00068072-0.00023689i,-0.00027758+0.00026105i,-0.00066085-0.00011553i,-0.00038831-0.0005258i,0.00017579-0.00033478i,-0.000492-8.1955e-05i,-0.0011154+0.00023738i,-0.0010254+0.00051797i,-0.00071598+0.00039714i,-0.00021706-0.00013835i,-2.789e-05-0.00018721i,0.00028373-0.00012631i,-0.0002678+0.00035434i,-0.00069699+7.4079e-05i,6.4572e-05-0.00040242i,4.8022e-05-0.00040403i,-8.7158e-05-0.000438i,8.5732e-05-0.00017904i
0.00077056+0.0014008i,0.0013981+0.00013126i,0.0016711-0.00070216i,5.7665e-05-0.00096175i,-0.0011371-0.00081899i,-0.0018164-0.00064202i,-0.0022993-0.00086985i,-0.0022207-0.0010362i,-0.0017056-0.00098168i,-0.00081271+0.0001781i,-0.00022476+0.00089603i,0.00055642+0.00061475i,0.00080916-0.00010335i,0.00019094-0.00063471i,-0.00055816-0.00040535i,-0.0012379+0.00010622i,-0.0010251+0.00044357i,-0.00030075+0.00053318i,-0.00012542+0.00023079i,-0.00057387+2.7055e-06i,-0.00071685+0.00012123i,2.9097e-06-0.00029602i,0.001322-0.00071897i
