-0.0016968-0.00096643i,-0.0010804-0.0010091i,-0.001117-0.0020643i,-0.0022941-0.0020051i,-0.0028158+5.5668e-05i,-0.0020681+0.0017344i,-0.0011026+0.0023843i,-0.00084662+0.00259i,-3.7206e-05+0.001781i,0.00098902+0.0013856i,0.00081338+0.00065604i,1.9494e-05-0.00017405i,2.7352e-05+9.5461e-05i,0.0010139+0.00065105i,0.00065018+0.00058452i,-0.00038783+0.00022531i,-0.0008109-0.0010488i,-0.00040521-0.0015429i,-0.00011305-0.00066012i,-0.00084304-0.00013821i,-0.00085439-0.00038444i,-0.00035657-0.00034136i,2.3881e-05+0.0001374i
-0.00022233-0.0007567i,-0.00044921-0.0013362i,-0.0010245-0.0015772i,-0.0013436-0.0022856i,-0.001214-0.00098565i,-0.0012863+0.00046401i,-0.00083878+0.00071149i,-0.00047697+0.00035411i,-0.00097521-0.00024748i,-0.0015197+0.00049678i,-0.0015105+0.00058691i,-0.00057573+0.00013317i,-0.0001459-0.00046278i,-0.00014882-0.00043565i,-0.000127-0.00012566i,-0.00014455-0.00020258i,9.171e-05-0.00037582i,-0.00014444-0.00045759i,-0.00033306-0.00077857i,0.00035238-0.00080042i,0.00038266-0.00046472i,0.00048053-0.00022332i,0.0010465-0.00040382i
-0.00026008-0.00088299i,-0.0005921-0.00087217i,-0.001222-0.0011459i,-0.0015507-0.00035468i,-0.0019369+0.00066005i,-0.0023573+0.00059887i,-0.0014632+0.00029818i,-0.00076715+0.0002435i,-0.00047035-0.00033848i,-0.00066105+2.1485e-06i,-0.0006885+0.00064028i,-9.2507e-05+0.00072184i,-0.00034619+0.00019101i,-2.0075e-05-0.00034761i,0.00019296-0.00024283i,-0.00048394-0.0005987i,-0.00043615-0.0012283i,0.0005377-0.00090381i,0.00059664-0.00074577i,-0.00023601-0.00052429i,-0.00070549+2.1923e-05i,-0.00079039-5.1006e-05i,0.00039433-0.00033599i
0.0018981-0.00037895i,0.0016308-0.0013248i,0.0023412-0.0015495i,0.0019198-0.0014798i,0.0010038-0.0012124i,0.00050016-0.00089723i,-0.00052945-0.00015696i,-0.0011505+0.00027421i,-0.00067-0.00015841i,-0.00020206-0.00041306i,1.6604e-06-0.0010087i,-6.848e-05-0.0015046i,-0.00050651-0.0012557i,-0.00017614-0.0009763i,-8.5231e-05-0.0012905i,9.6577e-05-0.0015191i,0.0010938-0.0016507i,0.00093599-0.0011215i,0.00016528-0.00054575i,-0.00031549-0.00023699i,-0.00078151-0.00011666i,-0.00065716-0.00068491i,-0.00054178-0.00065301i
0.00065308+0.0006537i,0.0003557-0.00037946i,0.00015034-0.0021315i,-0.00026654-0.0022581i,-0.00021399-0.00080828i,-0.00030551-0.00024848i,-0.00049244-0.0011281i,-0.00015986-0.001592i,0.00015628-0.00099992i,-2.6466e-05+0.00048163i,-0.00018024+0.00054267i,-0.00066767-3.4744e-05i,-0.001601-1.9234e-05i,-0.001045+0.00039204i,-0.00038867+0.00044428i,-0.000171+0.00018025i,-0.00027295-0.00024477i,-0.0007284-0.00041791i,-0.00043484+2.5195e-05i,0.00010789+0.00064352i,-2.8653e-05+0.00033961i,0.00025454+0.00015676i,0.00041498+0.0010093i
0.002266+0.0019671i,0.0028653+0.0011429i,0.0027962+0.00032668i,0.0012667-0.00022514i,-0.00027843-0.00065455i,-0.00024254-0.0012558i,0.00054216-0.0011519i,0.00089466-0.00090409i,0.00019762-0.0003011i,-0.00033123+0.00054741i,0.00024325+0.00014336i,0.00098313-0.0003441i,0.00079782+3.5217e-05i,0.00019589-0.00037078i,-0.00013865-0.00094259i,-0.00072963-0.0003229i,-0.00067512-9.9019e-05i,-0.00037379-0.00059716i,-0.00020407-0.00062102i,-0.00039303+0.00016124i,-0.0010777+0.00080563i,-0.00061438+0.00031224i,-0.0003442+0.00026831i
-0.00046756-0.00095501i,0.00027587-0.0014034i,-0.0001122-0.0015352i,-0.00076831-0.00022199i,-0.0011941+0.0009234i,-0.0011686+0.0014427i,-0.00066583+0.0012802i,-0.00052056+0.00045319i,-0.00041427+0.00013914i,0.00023104+0.00028557i,0.00059732+0.00053069i,0.00018447+0.00042292i,-0.00036695+0.00013731i,-0.00017147-0.00020343i,0.00022683-0.00093817i,-2.1686e-05-0.00022147i,-0.00030065+0.00011514i,-0.00067449-0.00034863i,-0.00037999-0.00036161i,7.3739e-05-0.00054562i,-0.00052378-1.4899e-05i,-0.00057053-0.00020177i,-0.00020325-0.00080303i
-0.00086158+0.00026982i,-0.000112-0.00031421i,4.6527e-05+0.00035452i,-0.0007459+0.0014891i,-0.00053054+0.0016103i,0.00074135+0.00015238i,0.00094917-0.00052813i,0.00020377-0.00032633i,0.00014342+0.00061069i,0.0001135+0.0011901i,-9.5574e-05+0.00029872i,0.00035674+0.00056577i,4.4075e-05+0.00085699i,-2.3225e-06+0.00020945i,5.4695e-05-0.00041846i,-0.00073056-0.00047494i,-0.0012077-0.0005606i,-0.0013057-0.00078471i,-0.00069828-0.00018483i,0.00023144-3.3537e-05i,-0.00035024-1.4923e-05i,-0.001422-0.00016199i,-0.0014108-0.00061755i
0.00072823-0.0002026i,-0.00031056-0.0012275i,-0.00096434-0.0021982i,-0.0004571-0.0020227i,0.00013896-0.0010892i,-1.5956e-05-0.00041076i,-0.00039125-0.00035781i,-0.00028489-0.00057869i,-0.0005188-0.00063426i,-0.00076457-0.00062629i,0.00056667-0.00011323i,0.0012603-0.00012736i,0.00079407-0.00055216i,0.00017323+0.0001704i,-0.00078414+0.00065209i,-0.0007011+0.00025014i,0.00034318+0.00019591i,0.00016802+0.00023355i,-0.00021919+6.4605e-05i,0.0001817+0.00029695i,0.00033725+0.00054644i,0.0002652+0.00030561i,5.9137e-05+0.00016261i
0.00077398-0.0026707i,0.00012676-0.0021733i,-0.00089628-0.0031803i,-0.0026123-0.0025587i,-0.0025994-0.00073968i,-0.00066468+0.00057082i,-9.9025e-05+0.0005478i,-0.000701+7.7376e-05i,-0.00085722-0.00028664i,-0.00098857+4.7089e-06i,-0.00092343+0.00059949i,-0.00048139+0.0010397i,-0.00060301+0.00088416i,-0.00098321-0.00021993i,-0.00065736-0.00045494i,-0.00061486-0.00078498i,-0.00063349-0.0011731i,-0.00069221-0.00064648i,-0.00089486-6.2078e-05i,-0.00054543+9.7447e-05i,0.00029878-0.00012296i,0.00073823+4.4467e-05i,0.00095575+0.00021394i
0.0010911-0.00038185i,0.00037262-0.0009666i,-0.00044439-0.0014794i,-0.0007304-0.0021493i,-0.0015621-0.0017981i,-0.0015062-0.00042425i,-0.0006969-8.7064e-06i,-0.00079514-0.00067125i,-0.0013722-0.00026194i,-0.00078651+0.00040103i,0.00012383+0.0004796i,0.00047772+0.0005643i,0.00011315+0.0003534i,-2.624e-05+1.979e-05i,0.0005959+7.5521e-06i,0.00054854-3.8424e-05i,-0.00040378+0.0003932i,-0.00032299-0.00040103i,0.00017425-0.0010115i,-0.00016831-0.00066457i,-0.00062106-0.00012744i,-0.00098259-4.3948e-06i,-0.00090938-8.294e-05i
0.0011777-0.0021025i,0.0012484-0.0012757i,0.00033153-0.0014805i,-0.001199-0.0012766i,-0.0013784-0.00024991i,-0.00092024+0.00063311i,-0.00059771+0.00056555i,0.00020076-7.4364e-05i,0.00067224-0.00017615i,0.00064755-0.00047666i,0.00050692-0.00054586i,0.00057716-0.00030548i,0.0011102-0.00011573i,0.00089852+0.00015002i,-0.00014169+0.00021078i,-0.0006837+0.00019064i,-0.0008871-8.3514e-05i,-0.00068718-0.00086466i,-0.0007338-0.0011841i,-0.00064221-0.00029759i,-0.00012718+0.00038162i,-1.6556e-05+0.00033877i,-0.00038121-0.00028925i
0.0005531-0.0012285i,0.00025637-0.0020899i,0.00048643-0.0025101i,-0.00075028-0.0017286i,-0.0018218-0.00095738i,-0.001381-0.00038038i,-0.00031774+0.00072302i,5.1913e-05+0.0013589i,0.00050499+0.0012227i,1.038e-05+0.00048148i,-0.00065099-0.00030939i,-0.00037574+3.07e-05i,0.00012031-2.1899e-05i,0.00048413-0.00049845i,7.2802e-05-0.0003076i,-0.00037018+0.00024356i,-0.00088271+0.00049129i,-0.001+0.00026721i,-0.00083848+0.00021618i,-0.001134+0.00074526i,-0.0013841+0.001224i,-0.00080382+0.00085489i,0.00035334-6.6652e-05i
0.00055707-0.00065604i,0.00021485-0.0012502i,6.292e-05-0.0021669i,-0.00014743-0.0023749i,-0.0013089-0.0011657i,-0.0016286+0.00051754i,-0.0010609+0.00094634i,-0.00042574+0.00069764i,-0.00018742+0.0007496i,-0.00068724+0.00075636i,-0.0007685+0.00090749i,0.00036899+0.0010191i,0.00047558+0.00067972i,0.00017649+0.0004967i,0.00050859+0.00057457i,0.00018684+0.00033954i,-0.00035625-0.00031162i,-0.00075134-0.00021078i,-0.00052801-0.00023234i,-5.0426e-05-0.00063882i,-0.00055986-0.00067051i,-0.0013553-0.00062299i,-0.00059929-0.00046453i
0.0003079+0.00099588i,0.00096541+0.00039854i,0.00080649+0.0012591i,0.00073039+0.0011938i,5.2839e-05-0.00037257i,-0.0012736-0.00059043i,-0.00032249-0.00078767i,0.00042559-0.00074121i,-0.0009475-0.00031982i,-0.0011487-0.00033358i,4.9745e-05-0.00023239i,0.00067246-0.00015985i,0.0001658+0.00049198i,-0.00054099+0.00055809i,-9.1369e-05-4.6606e-05i,0.00042287-7.6232e-05i,0.00046441+0.00021972i,-0.00077728+7.0959e-06i,-0.0012892-0.00025634i,-0.00058764+0.00043863i,-0.0003185+0.00024667i,-0.00018631-0.00034249i,0.00031345+0.00017755i
0.00072732+0.00011528i,0.00033503-0.00087567i,0.0017057-0.0018171i,0.0014181-0.0022141i,0.00054993-0.0013468i,-0.00098042-0.00040246i,-0.0012335+0.00023755i,-0.00040104+0.00031915i,-0.0001679-0.00055089i,-0.00031959-0.0005693i,-0.00045895-0.00030926i,-0.00018603-0.00037506i,0.0006119-0.00061866i,0.00087514-0.00064039i,0.00041142-0.00089215i,0.00036251-0.00091204i,-0.00019034-0.00038828i,-0.00070782+5.448e-05i,-0.00071906-0.00043767i,-0.00060285-0.00071157i,0.00023708-0.00028105i,0.00078212-0.0005782i,0.00056534-0.00027289i
0.0013117+0.0001125i,0.0011764-0.0011182i,0.0016773-0.0016341i,0.0017142-0.0013844i,0.00050328-0.00088209i,-0.00018084-0.00034055i,0.0003129-0.00015002i,0.00026198-0.00028897i,-0.00034177-0.00042205i,0.00011776-0.00052781i,0.00034396-0.00074868i,-0.00058766-0.00053758i,-0.00070912-0.00040558i,-5.597e-05+1.4673e-05i,5.1437e-05+0.00030834i,-0.00015894-0.00064169i,0.0001556-0.00095431i,3.6809e-05-0.00040913i,-0.00036537-0.00097411i,6.7708e-06-0.0010073i,2.8245e-05-0.00058245i,-4.9494e-05-0.00053214i,-0.00014001+2.939e-05i
0.0010752-0.0002363i,0.0018517+0.00019637i,0.0012041-0.00065193i,-0.00016289-0.0018562i,-0.0008726-0.0017364i,-0.00054925-0.00064089i,-1.1705e-05-0.00010475i,-4.8199e-05-0.00061461i,3.208e-05-0.0011523i,-2.0898e-05-0.00034927i,-0.00023521+0.00028566i,-0.00023328-0.00015298i,-0.0004092-0.00054444i,-0.00052074-0.00045714i,-0.0002764+3.0395e-05i,-0.0003657+0.0008569i,-0.00028656+0.0011554i,-0.00051185+0.00075435i,-0.00047386+0.00022478i,0.00010788-0.00052816i,0.00013472-0.00064294i,-7.3556e-05-0.00014682i,0.00067891-0.00024468i
-0.00076607+0.00082144i,-0.00033225-2.316e-05i,0.00021062+0.0012519i,-8.9754e-05+0.0016325i,-0.00051941+5.0351e-05i,0.00058784-0.00073285i,0.00091543-0.00024634i,0.00072892+0.00085305i,0.00041719+0.00064627i,0.0002554+0.00038332i,0.00064777+0.00041257i,0.00052546-0.00022581i,-4.2894e-05-0.0007671i,-0.00046384-0.00055024i,-8.767e-06+4.3223e-05i,0.00043322+0.00026541i,0.00039611+0.00028123i,-0.00011112+0.00054992i,-0.00053633+0.00096517i,-0.00011621+0.0004699i,0.00072373-0.00027508i,0.0013666-0.00050025i,0.00079172-0.00047525i
0.0016833-7.6632e-05i,0.0010684-0.00054352i,0.00069413-0.00071699i,-0.00020848-0.0015884i,-0.00063729-0.0020072i,-0.0008198-0.0010296i,-0.00083203-0.00031825i,-0.00069341+0.00018349i,-0.00075551+0.0003275i,-0.00033331+0.00060381i,0.00016572+0.00042702i,-0.00032307-9.1632e-05i,-0.0013368-0.00044234i,-0.0013788-0.00045293i,-0.00019651-0.00021656i,0.00014449-0.00062252i,9.8509e-06-0.0014549i,0.00029189-0.0015012i,0.00034078-0.0001682i,0.00086481+5.7102e-05i,0.0012229-0.0002998i,0.00084112-9.5568e-06i,0.00052155+0.00040709i
0.00033875+0.0010166i,0.0006692-0.00064164i,0.00054628-0.001473i,9.0447e-05-0.0014673i,-0.00031592-0.00026041i,-0.00085307-0.00010081i,-0.00094514-0.00062528i,-0.0010145+0.00016325i,-0.0012326+0.0011533i,-0.0011119+0.00072003i,-0.00045322+0.00045379i,0.00050408+4.3146e-05i,0.00098693-0.0007228i,0.00092954-0.0007029i,0.00062483-0.00086048i,0.00029319-0.0017172i,0.00014437-0.0014729i,0.00017897-0.0005957i,8.4309e-05-0.00048042i,0.00052665-0.00079135i,0.0012388+0.00012216i,0.00074474+0.00032388i,-0.00013564-0.00065821i
0.0013265+0.0021651i,0.0016277+0.00043121i,0.0012635+0.00013048i,0.00032155-1.7677e-05i,0.00034253-0.0004142i,0.00066794-0.00061623i,0.00046806-0.00053439i,-0.00026481-0.00026028i,-0.00052874-0.00050681i,-3.1281e-05-0.00047259i,0.00027121+0.0001311i,-2.6519e-05-8.2164e-05i,-6.9397e-05-8.2541e-05i,-0.00039094-3.8328e-05i,-0.00095895-0.00039061i,-0.0011832-0.0008216i,-0.00073757-0.00024083i,-0.0001401+0.0012647i,-0.0001436+0.0016921i,9.1513e-05+0.00074797i,0.00029003+0.00021109i,0.00039319-0.00013651i,0.00083218-0.00019186i
0.001996-3.7407e-05i,0.0022688-0.0008738i,0.0020865+5.3884e-05i,0.00075653-0.00030736i,0.00099595-0.0013995i,0.0007893-0.0017436i,-8.2255e-05-0.0020209i,-0.00029427-0.0013025i,-0.00025246+4.4577e-05i,-0.0006781+0.0011834i,-0.00065456+0.0012822i,-0.00020505+0.00041456i,5.221e-05-0.00023276i,-3.306e-05-0.00040772i,9.2124e-05-0.00051753i,3.6393e-05-0.00050106i,8.451e-06-0.00033825i,4.7728e-05-0.00052162i,-0.00023336-0.00069671i,-0.00083691+3.5002e-05i,-0.00076714+0.00025862i,0.00044755-1.9895e-05i,0.00070507+0.00030187i
-7.7003e-05-0.0029349i,0.00035815-0.0029432i,-0.00012827-0.0022457i,-0.0013352-0.00095062i,-0.0024519+0.00098871i,-0.00093778+0.0016328i,0.00074808+0.00096796i,0.0011686+8.9143e-05i,0.00044895-0.00063396i,-0.00061188+5.5441e-05i,-0.00060017+0.00060751i,-0.00017911-2.8374e-06i,0.00026151+1.1458e-07i,0.00021761+0.00021792i,-0.00019318-0.00023121i,-0.00037251-6.1303e-05i,-0.0005691-1.9657e-05i,-0.00058198-0.00069155i,-0.00024542-0.00074848i,-0.00016154-7.0586e-05i,-0.0004881+0.0003193i,-0.00042717+0.00052628i,0.00015713+0.00063053i
7.7211e-05+0.0010537i,-0.00031733+0.00061724i,-0.00058449+0.00094832i,-0.00076108+0.00068738i,-0.00090391+5.0348e-06i,-0.00073317-0.00022755i,7.8092e-05-0.00013518i,0.00044727-0.00029555i,-0.00020847-0.0007592i,-0.00041276-0.00078329i,0.0004413-0.00018574i,0.00060518+0.00063986i,0.00035443+0.00068225i,0.00085956-3.0215e-05i,0.0013729-0.00046375i,0.00067344-0.0003304i,-0.00026894+0.00029095i,0.0002356+0.00057017i,0.0011456+0.0001405i,0.00079744+0.00052288i,-0.00013015+0.00077871i,-0.00012675+0.00033447i,3.6078e-05+0.00029453i
-0.00015578+0.00024503i,0.00061554-4.091e-07i,0.00091336-0.0004543i,0.00034601-0.0003549i,-0.00051863+0.00064934i,-0.0010125+0.0014664i,-0.00069348+0.00041179i,9.0639e-05-0.00052374i,0.00016298-0.0005699i,0.00014132-0.00022233i,-0.0001425+0.00033513i,-5.4748e-06+0.00060623i,0.00040269+0.00088589i,0.00052444+0.00022232i,0.00010072-0.00062628i,0.0003978-0.00042146i,0.00054881-0.00010895i,0.00030581+0.00042983i,0.00073144+0.00036569i,0.0010022+8.0517e-05i,0.00037888+0.00042698i,-0.00067401+0.00017254i,-0.0012514-0.0003332i
-0.00021489+0.00056888i,-0.00093593-0.00018772i,-0.000319-0.00022008i,-0.00039213+0.00036704i,-0.00059882+0.00068567i,7.515e-05+0.00017276i,-2.2336e-05-0.00031559i,-0.0007881-0.00078881i,-0.00072291-0.001194i,-0.00057745-0.00019486i,-0.00059832+0.0012181i,-0.00060991+0.0012665i,-0.00044619+0.00088368i,0.00040443+0.00082698i,-5.9444e-05+0.00023768i,-0.00070805-0.00057455i,-0.00043735-0.00056566i,-0.00075756+0.0001881i,-0.0011546+0.00063445i,-0.0005405+0.00056239i,-8.1977e-05-1.4685e-05i,-0.00019284-0.00037795i,0.00016477+0.00014792i
0.0017+0.00029529i,0.0024166-0.00084625i,0.0024575-0.0014585i,0.0012269-0.0021796i,0.00012856-0.0025802i,-0.00042638-0.0018895i,-0.00093875-0.00068495i,-0.0014576-0.0005927i,-0.0013566-0.00029079i,-0.0002872+2.4908e-05i,0.00049127-5.0659e-05i,0.00069717-0.00039371i,0.0005267-0.00043261i,8.3523e-05-0.00024318i,-0.00026269+0.00010411i,0.00079538+3.9675e-05i,0.00083341-0.00033835i,0.00014526-0.00036213i,0.0006353+0.00041086i,0.00026904+0.0007524i,6.7776e-05+0.00066342i,0.00033186+0.00051979i,7.841e-05+0.00023962i
0.0013759-0.00041927i,0.0011162-0.00079468i,-0.00024464-0.0022084i,-0.00068916-0.0030856i,-0.00034342-0.0018984i,0.0005884-0.00041025i,0.0010664+0.00056482i,5.0186e-05+2.6209e-05i,-0.00013871-0.00043395i,0.00055186-0.0001059i,0.00034091-0.00015236i,-6.6772e-05+0.00027021i,-8.2447e-05+0.00047824i,-0.00034807-0.00028921i,0.00012648-0.00087167i,-0.00010098-0.0015914i,-0.00040997-0.00095826i,-0.0006885-0.00032468i,-0.00070636-0.0011992i,0.00069086-0.00088703i,0.0012387+0.00023251i,0.00078579+0.00038923i,0.0001164+0.0012073i
0.00047723-0.00062903i,0.0010088-0.00036302i,-8.3098e-05-0.000588i,-6.5198e-05-0.00069326i,-0.00029236+0.00015111i,-0.00055599+2.7028e-05i,-0.0005057-0.00058277i,-0.00085956-0.00086107i,-0.0012995-0.00078478i,-0.0010712-7.4611e-06i,-0.0008229+0.00043641i,-0.00037741+0.00016128i,0.00035884+0.00012921i,6.2617e-05+0.00033459i,0.00016228+0.000115i,-0.00021256+0.0002546i,-0.00026246+0.00045033i,0.0004806+0.00036161i,0.00091816+0.00038893i,0.00036879+0.00096338i,-0.00047526+0.0009428i,-3.8352e-05+0.00019059i,-0.00065392+3.8731e-05i
-0.001044-0.00043797i,-0.00065759-0.00031422i,-0.0004544-0.00060439i,-0.0010465-0.0006853i,-0.0012668+0.00068267i,-0.00040699+0.0016381i,0.00028542+0.0012345i,0.00034037+0.0010149i,0.0009354+0.00010668i,0.001486+0.00039318i,3.433e-05+0.00090763i,-0.0011344+0.00050531i,-0.00033081+0.00016386i,0.0010852+0.0004149i,0.0011128+0.00015689i,0.00024332-3.4996e-06i,-0.0003933-0.00026578i,-0.00053856-0.00069987i,-0.00019626-0.00067793i,-0.00049676-0.00034077i,-0.00031429+0.00040544i,0.00040389+0.00064989i,0.00056971+0.00083442i
3.9549e-05-0.0020937i,-0.00058237-0.00084048i,-0.0015979-0.00084057i,-0.000966-0.00078823i,0.00017069+0.00028143i,0.00011485+0.00020577i,-0.00077517-4.8378e-05i,-0.00061644-8.4632e-05i,0.0003949-4.8628e-05i,0.00036049-0.00010135i,-6.7957e-05-0.00026488i,0.00025737+3.7187e-05i,0.00053431+2.0942e-05i,0.00047875-0.00033319i,0.00024376-0.00019319i,-0.00014281-0.00017566i,-0.00064669-0.00037201i,-0.00082709+0.00075841i,-0.00039472+0.0015331i,5.4081e-05+0.00058412i,-0.00022773-0.0003341i,-0.00079064-0.00014259i,-0.00050628+0.00011046i
