-0.0020949-0.0012244i,-8.0065e-05-0.000701i,-0.00054083+2.6007e-05i,-0.00098114+0.00032781i,-8.4085e-05+0.00050559i,0.0010177+0.00017057i,0.0014264-0.00019436i,0.00089468+0.00020551i,0.00065806+0.00075735i,0.00098494+0.00020171i,0.00060303+0.00042604i,-1.351e-05+0.00075765i,-0.00050506+0.00072914i,-0.00068667+0.00061675i,-0.00044779-2.8629e-05i,0.00022247-0.00084456i,0.00052812-0.0010532i,-0.00021066-4.9546e-05i,-0.00024359+0.00058394i,0.00024207+0.00045453i,0.0003596+0.00051279i,-6.4878e-05+0.00055804i,-0.00031456+0.00018777i
-0.00034918+0.00038654i,-0.00010973+0.00057756i,0.00013789+0.00024593i,0.00036083+0.00035725i,0.0012496+4.6807e-05i,0.0009161-0.00094474i,-0.00077822-0.00067062i,-0.0011197-0.00021856i,-0.0003269-8.4321e-05i,-0.00012439+0.00036345i,-2.6196e-05+0.00033722i,0.00015837-6.1066e-05i,-0.00066094+7.6124e-05i,-0.00064313+0.00060041i,0.00050811-0.00010277i,0.00076957-0.00073034i,0.00041811-4.4853e-05i,0.00061605+7.2448e-05i,4.555e-05-0.00026752i,3.2102e-05-0.00041521i,0.00046674-0.00050062i,0.00032942-0.00046322i,0.00029177-0.0003051i
-0.00093384-0.00052648i,-0.0015947-4.0012e-06i,-0.00069875+0.00093599i,0.00025524+0.00089552i,0.0010755+0.00056299i,0.00087617-3.9557e-05i,0.00012051+2.8348e-05i,-0.00040429+0.00108i,-2.4364e-05+0.0015022i,0.00031565+0.00068168i,0.00025104+1.3385e-05i,0.00050403+0.0005104i,0.00089762+0.00091176i,0.00062885+0.00051566i,-0.00012535-0.00039141i,0.00028414-0.00080895i,0.0012221-0.0011083i,0.0012795-0.00074251i,0.00023558-0.00024032i,-0.00074917-0.00050756i,-0.00041416-0.00048627i,-4.8561e-06-0.00035279i,0.00019873-0.00033592i
-0.00024025+0.00069084i,0.00090472+0.0010057i,0.0018806+0.00094674i,0.0017777+0.00068004i,0.0010284+0.00019535i,-0.00029145+0.00014255i,-0.0011266+0.0002119i,-0.00049457+0.0003873i,0.00063476+7.6958e-05i,0.0002844-7.6665e-05i,-0.00060164+1.2392e-05i,-0.0008765-0.00074116i,-0.00066141-0.00090777i,-0.00014584-0.00010301i,0.00015112+0.00056344i,1.5177e-06+0.00032717i,0.00016888-0.00078374i,0.00047843-0.0010088i,0.00045001-0.00035389i,-1.0026e-05+0.00038278i,-0.00056424+0.00068597i,-0.00071431+0.00040248i,-0.00072579+0.00051834i
-0.0009007+0.00084906i,-0.0020454+0.0014021i,-0.00083195+0.0012919i,0.0006743+0.00089069i,0.0013173-3.4869e-05i,0.0010168-0.0008078i,0.00022058-0.00039522i,0.00036392+0.00072922i,0.0011401+0.00066249i,0.00070747-0.00012852i,-0.00071584-0.00034764i,-0.00049565-0.00067791i,0.00029616-0.00015759i,0.00040637+0.00074007i,0.00087443+0.00083872i,0.00067871+0.00043762i,0.00066284+0.0005678i,0.00091101+0.00057051i,0.00045394+0.00023623i,7.7468e-05+0.00032657i,-0.00022834+0.0004602i,-0.00078065+0.00012812i,-0.00058539-0.00043637i
0.0013585+0.00038422i,0.00085772+0.0016979i,0.00066155+0.0017825i,0.00061008+0.00065477i,0.00035281+2.764e-05i,0.0004023-0.00020081i,0.00095412-0.00039555i,0.0010202-0.00085069i,0.0011827-0.0010278i,0.0012187-0.00081676i,0.00038267-0.00038056i,0.00040884-0.00029535i,0.0008725-0.00022974i,0.00041933+0.00032459i,-0.00012753+0.0002633i,-8.1931e-06-0.0010719i,0.00015561-0.0014216i,1.1217e-05-0.00084191i,-0.0002022-5.4625e-05i,-0.00058112-4.8576e-05i,-0.00016308+6.9446e-06i,-4.6907e-06+0.00088886i,-0.00043276+0.00069306i
0.00035511+0.0001032i,-0.00037659+0.0013491i,-0.0011386+0.0018914i,-0.00015973+0.0016481i,0.00084092+0.00083028i,0.0007954-1.6636e-05i,0.00099782+0.00029812i,0.00049978+0.00065867i,0.00030142-0.00011733i,0.0001856-0.0010136i,-0.00012935-0.00068574i,-0.00051975+0.00016158i,-0.00080622+3.7954e-05i,0.00017465+8.3502e-05i,0.00093482+0.00095219i,-0.00019119+0.00041324i,-0.00028041-0.00086374i,0.00052907-0.00088936i,-0.00023582-0.00083141i,-0.0001991-0.00060435i,5.3639e-05+0.00059466i,-3.9117e-05+0.00062059i,0.00056969+8.6675e-06i
-0.00028856-0.001196i,-0.00016571-0.00023947i,-0.00046043+0.0005671i,0.00076013+0.0013146i,0.0016856+0.00096305i,0.0016309+0.00065546i,0.0013065+0.00080105i,0.00075511+0.00017034i,0.00028374-0.0010662i,-0.00053448-0.001329i,-0.00044167-0.00049274i,1.9075e-05+0.00082578i,-4.9028e-05+0.00054049i,0.00075779+0.00010089i,0.0012812+0.00014657i,0.0006021-0.0001667i,-0.00029863+5.7525e-05i,-0.00033346+0.00041411i,0.00034068+0.00020373i,0.00088092-0.00040609i,0.00083027-0.00030362i,0.00039533+0.00013041i,0.00033464-0.0003669i
0.00013942-0.0017044i,-0.00072972-6.3105e-05i,-0.00058291+0.00066598i,-0.00010203+8.2219e-05i,0.00051381-0.00015881i,0.00041159-0.00018776i,0.0003808-0.0004505i,0.00024051-0.00015023i,-0.00038656-0.00049351i,-0.00086648-0.00067693i,-0.00071861+0.00068609i,-0.00087836+0.001469i,-0.00062254+0.00081288i,0.00012572+5.945e-05i,0.00040344+0.00036534i,9.0165e-05+0.00095023i,0.00026296+0.00059281i,0.00027291+0.00048434i,-0.00015273+0.00060535i,-0.00043477+0.00055411i,-0.00029187-8.3909e-05i,5.7564e-05-0.00035358i,8.0056e-05+0.00021571i
-0.0010363-0.00023997i,-0.00094068+0.0004926i,0.00039216+0.00082996i,0.00092838+0.0011869i,0.00047129+0.00030189i,-0.00016153-8.6073e-05i,-0.00075257+3.2876e-05i,-0.00065866+0.00027402i,-0.00052412+0.00041836i,-0.00083769+0.00038659i,-0.00056544+0.00084041i,-0.00013183+0.0010098i,-8.4664e-05+0.00039017i,-4.4162e-05-0.00033549i,0.0003158-0.00054642i,0.0012405-0.00081905i,0.0011634-0.00090321i,0.00068532-0.00039412i,0.00048105+0.0002283i,0.00069898+0.00023401i,0.00078378-6.782e-05i,0.00028774-0.00018542i,-1.6737e-05+0.00024341i
-0.00075507+0.00082405i,-0.00034795+0.00019066i,-6.8187e-05+0.00011215i,0.00073802+0.00012242i,0.0015661-0.00038044i,0.0011394-0.0006719i,-0.00016222+6.3e-05i,-0.00038376+0.00089747i,2.953e-05-4.7709e-05i,7.7883e-05-0.0014078i,-9.7379e-05-0.00053827i,-0.00014832+0.0003422i,0.00011315+0.00017111i,-0.00045523+0.00039004i,-0.00075632-7.2501e-06i,-0.000128-0.00026345i,0.00032988-0.00016697i,-0.00047286-0.00016446i,-0.00082508-6.1449e-05i,0.00036055-3.7975e-05i,0.00064702+0.0002267i,-0.00058876+0.00019454i,-0.0015909+0.00033078i
-0.00014401+0.0002929i,-0.0009155+0.001249i,-0.0015371+0.0022036i,-0.00064572+0.0021858i,0.00024359+0.00077148i,-0.00020532+5.1524e-05i,-0.0011616-5.8598e-05i,-0.0010343+0.0001543i,-4.6242e-05+0.00021742i,0.0010171-6.9992e-05i,0.0013291+0.00025099i,0.001151+0.00094085i,0.00040561-0.00010011i,0.00064093-0.00089985i,0.00071365-0.0004739i,0.0010189-0.00041165i,0.0010568-0.00022734i,0.00049347-0.00037073i,0.00020519+0.00026876i,-6.8973e-05+0.00081644i,-6.7081e-05+0.00016791i,-0.00029343-0.00011247i,-0.00057224-0.000214i
-0.00098719-0.0008003i,-0.00068992-0.00046142i,-0.00059891+0.00064033i,0.00066758+0.0014055i,0.0012973+0.00049596i,0.00069841-0.00033501i,-0.00013142-0.00038705i,-0.00045453+0.00024931i,-0.00065006+0.00099596i,-0.00082627+0.00089207i,-0.0007155+0.00058173i,-0.00012589+0.00053704i,0.00094041+0.001019i,0.0016606+0.0012671i,0.0013824+0.0004241i,0.00042225-0.00017188i,-0.00041788-0.00016166i,-0.00034005-0.00040073i,0.00063629-0.00078248i,0.0017237-0.00025739i,0.0014892+0.00050073i,0.00054959+0.000826i,0.00022925+0.00045731i
-0.0018113-0.00061554i,-0.0017999+0.00068767i,-0.00080362+0.0015778i,0.00040248+0.0011734i,0.0014284+0.00058219i,0.0019317+0.00039937i,0.0010447+0.00093743i,0.00088685+0.0015559i,0.0012376+0.0010756i,0.00042986-0.00032551i,0.00039793-0.00070565i,0.00088913+0.00021171i,0.00034762+0.00038091i,-0.00025944-0.00062308i,0.00037686-0.00055282i,0.0014399-3.5308e-05i,0.00075486-2.176e-05i,-0.00025615+0.00018562i,-0.00027045+0.00017761i,-0.0001174+0.00046744i,-0.00026266+0.0010149i,-0.00015168+0.00058522i,0.00015874+9.9909e-06i
-0.0012367+0.0015343i,-0.0013593+0.0011833i,-0.00080606+0.00066585i,-5.7612e-05-1.3986e-06i,0.0011671+1.7364e-05i,0.00070647-0.00023692i,-0.00010949-0.00031091i,0.00029367+0.00032542i,0.0010279+0.0006641i,0.0014653+0.00033565i,0.00082362-0.00056895i,0.00017371-0.0010195i,-0.00045347-0.00055926i,-0.00088935-0.00028041i,-0.00081195-0.00049206i,-0.00033191-0.00023157i,-0.00025036-0.00016157i,-0.00073636-0.00036129i,-0.00052995-0.00076055i,-0.00063406-0.00064665i,-0.00024057-0.00087105i,0.00041807-0.00095347i,0.00038612-0.00035142i
-0.0012633-0.00032428i,-0.001464+0.00057958i,-0.00043368+0.0015853i,0.00070278+0.0015184i,0.0018776+0.00078532i,0.0022682-0.00011961i,0.0015821-0.00069512i,0.00074303-0.00055299i,0.0012571+0.00024679i,0.0017096+0.00077103i,0.0010181+0.0005266i,0.00061912+0.00023598i,3.618e-05+0.00088959i,-0.0011135+0.0011217i,-0.00070134+0.00067359i,0.00045718+0.00023181i,0.00068056-0.00026279i,-1.2557e-05+0.0001526i,-0.00014288+0.00087895i,0.00051001+0.00060291i,0.00050019-8.0267e-05i,-0.00010837+0.00034591i,4.0598e-05-7.0365e-05i
-0.00043589+0.00075034i,-4.718e-05+0.00083304i,0.00022022+0.00074421i,0.0014491+0.0008369i,0.0027629+0.0007828i,0.0021696-0.000243i,0.00042143-0.0009723i,0.00028738-0.00057648i,0.00066596-1.8303e-05i,0.00079838-9.1196e-06i,0.00047759-0.00019946i,4.7166e-05+5.2284e-05i,0.0002079+0.00039085i,0.00031592+2.5604e-05i,0.00017963+9.467e-05i,-6.178e-05-0.0003248i,0.00016115-0.00084466i,0.00072201-0.00088357i,0.00052398-0.00059816i,-0.00040882-6.2581e-05i,-0.00024237+0.00036657i,0.00031931+0.00058541i,0.00041135+0.00020386i
-0.00011147+0.0010987i,0.000102+0.00074196i,0.00043992+0.00014299i,0.0011089-0.00036691i,0.0016651-0.00085394i,0.0015645-0.0015434i,0.0014985-0.0010125i,0.0012135-0.00035728i,0.00059699-0.00043816i,0.00022029-0.00020667i,0.0002832-0.00080058i,-0.00013178-0.00037192i,-0.00035323+0.00035477i,-0.00041772+6.3408e-05i,1.5274e-05-1.0882e-05i,-2.6679e-05+0.000497i,-0.00057948+0.0004854i,1.5345e-05-0.00031857i,0.00054118-0.00010611i,0.00089515+3.6509e-05i,0.0011941-0.00016758i,0.0012144+3.6804e-05i,0.00044643-8.9042e-05i
-0.00026463-0.00073007i,-0.0002912+0.0010969i,-0.00018958+0.0016044i,0.00038992+0.0013463i,0.00066042+0.00052334i,0.0010808-0.00079092i,0.0017833-0.00084898i,0.0013061-0.0008285i,0.00083437-0.001177i,0.0006912-0.00023583i,0.00012757+0.00059546i,2.2714e-06+0.00046994i,0.00024066+0.00013197i,-0.00047969-0.00011336i,-0.00085534+0.00012707i,0.00023541+0.00091288i,0.00093273+0.0007142i,0.0012024+0.00022643i,0.00071673-0.0001601i,9.9276e-05-0.00060559i,0.00040807-0.00033207i,0.00010367-8.2781e-05i,-0.00052004-0.00042437i
-0.00042091-0.00058976i,-0.0007574-0.00011668i,0.00041494+0.00071418i,0.0015957+0.00062784i,0.0018186+6.1248e-05i,0.00084715-0.00014476i,0.00017041-0.00043839i,-0.00021573-0.00067715i,-0.00064005-0.0014737i,-0.00096597-0.00070824i,-0.0004443+0.00081799i,-9.2806e-06+0.00081102i,0.00058737+0.00057947i,0.0011871+0.00084152i,0.001257+0.00083299i,0.0016401+0.00017759i,0.001317-0.00030579i,0.00051062-0.00033896i,0.00066742+1.3871e-05i,0.00030158-1.7662e-05i,-0.00018124-0.00020011i,0.00039417-5.2297e-05i,-9.4449e-05+0.00016606i
-0.00095168-0.00096674i,0.00035133+0.00018322i,-8.8349e-05+0.0013452i,0.00053966+0.0010206i,0.0015747+0.00022797i,0.0020009-0.00061735i,0.00072284-0.0015687i,-0.00027695-0.0018253i,-0.0013794-0.00062239i,-0.0019306-8.7734e-05i,-0.00071093+0.00019754i,-7.9589e-05+0.0003705i,-0.00018334-5.9976e-05i,-0.00014316-0.00073238i,0.00074418-0.00096818i,0.00082668-0.00033141i,-9.0459e-05+7.0278e-05i,-0.00051135+7.3727e-05i,-0.0004277-0.0001804i,-0.00012654-0.00051594i,0.00010578-9.9789e-05i,0.0002014-0.00030063i,0.00053622-0.00015891i
-0.00076859-2.2386e-05i,-0.00057018-8.4827e-05i,0.00022837+0.00010611i,0.001573-0.0001049i,0.0016353+0.00011017i,0.00033497-0.00040056i,-0.00066223-0.00097877i,-0.0012467-0.00043928i,-0.001367-0.00011031i,-0.0011611-0.0001343i,0.00019648+0.00040692i,0.0007716+0.0005869i,0.000607+0.00053362i,0.00089285+0.00088719i,0.00087329+0.00034854i,0.00043776-0.00024671i,0.00038942-0.00062142i,0.00030189-0.00070536i,0.00056636-0.00060706i,0.0015892-0.00060429i,0.0017474-0.00054025i,0.00065118-0.00056287i,-0.0002671-0.00021329i
-0.00078075-0.0007877i,-0.001436-0.0004416i,-0.00094299+0.000535i,-0.00049374+0.00079628i,-0.00010017+1.5389e-05i,0.00017518-0.0007747i,-0.00040909-0.00027957i,-0.00061459+0.00039374i,-0.00033703+0.0011302i,-3.2276e-05+0.0016251i,0.00041186+0.0012676i,0.00056263+0.00068491i,-0.00029261+0.00043713i,-0.00057152-0.00017503i,0.00013721-0.00089472i,0.00061066-0.00074678i,0.00064488-0.0005319i,0.00030058-0.0011574i,-0.00036328-0.0008525i,-0.00043328+2.8381e-05i,-0.00037658+6.1148e-05i,-0.00065122-0.00054084i,-0.00058614-0.00098444i
-0.00060918+0.0016664i,-0.0010994+0.0013435i,-7.8631e-05+0.00074738i,0.00054837+0.00037084i,0.0007029+0.0003477i,-0.00049415+0.00025128i,-0.0013975+0.0010413i,-0.0013419+0.0023139i,-0.00053176+0.0026335i,0.00073361+0.0014553i,0.00065484+0.0003469i,0.0001221+0.00033205i,-0.00055312+0.0004423i,-0.0012176+0.00032253i,-0.00069266+0.00039373i,-0.00032389+8.2142e-05i,-0.00020641-0.00049621i,-9.6787e-05-0.0006519i,-0.00020545-0.00028319i,0.00065629+0.00058152i,0.0012681+0.0011069i,0.0010395+0.00037279i,0.00054732-0.00027579i
-1.0265e-05+0.00056214i,-0.00093158+0.00026251i,-0.00072995+0.00085274i,0.0010007+0.0011016i,0.0016706+0.00073054i,0.00066893-0.00046657i,6.1443e-05-0.00070762i,0.00012991+0.00066768i,0.0007388+0.001107i,0.0011651+0.00068178i,0.00099846+0.00099965i,-0.00039082+0.00066797i,-0.0010647+0.00019983i,-0.00042256+0.00030154i,-0.00011531-0.00026325i,0.00038723-0.00087167i,0.00082018-0.00071364i,0.00061814+0.00012088i,0.00022683+0.00068818i,0.00079941+9.145e-05i,0.0011546-0.00028363i,0.0007207+0.00011167i,0.00012605+7.6706e-05i
-0.0010987+0.0016451i,-0.0013735+0.00176i,0.00089586+0.0021955i,0.001318+0.0018322i,0.00093173+0.00017842i,0.00090742-0.0013518i,0.00061272-0.0015942i,0.0011925-0.00035489i,0.0023655+0.00075734i,0.002046+0.00067285i,0.00086+0.00095198i,3.9227e-05+0.0012169i,-0.0009717+0.00056321i,-0.001508-3.0719e-05i,-0.00033608+0.00013901i,0.00060972+0.00047127i,0.001035+0.00018003i,0.0011017-0.00010563i,3.0984e-05-0.00025963i,-0.00034574-0.00074969i,0.00050181-0.0010627i,-7.2979e-05+5.8122e-05i,-0.0011947+0.00082452i
-0.00043458+0.00041025i,-0.0016328+0.00041489i,-0.00033929+0.0012733i,0.0016252+0.00073089i,0.0019528-0.00034023i,0.00071111-0.00083954i,0.00041584-0.001121i,0.00086368-0.0013145i,0.0012747-0.00108i,0.0012876-0.00072844i,0.00055917-0.00035227i,1.7052e-05-0.00078975i,-0.00044646-0.0010314i,-0.00013372-0.00031981i,0.00010484+0.00075199i,0.00019521+0.00068611i,0.00025053+9.7411e-05i,0.00018446+0.00015606i,0.00025353-0.00014341i,-1.4995e-06+9.9085e-05i,0.00039549+0.00038291i,0.00048904+0.00011435i,-2.6936e-05+4.5485e-05i
-0.00022914+0.00062135i,-0.00053968+5.1985e-05i,-0.00012147+0.00061383i,0.00087212+0.0017277i,0.0017775+0.0014533i,0.0022249+0.00027438i,0.0016499-0.00055127i,0.00020032-0.0010415i,-0.0006682-0.0018383i,-0.00045694-0.0017212i,-0.00016332-0.00055431i,-0.00046975-0.0003148i,-0.00051111-0.00022739i,0.00018647+0.00017753i,0.00059027+1.2193e-05i,0.00049898-0.00021003i,0.00065817-0.00014635i,0.00094088-0.00046171i,0.0010702-0.00015139i,0.00058046+2.5126e-05i,0.00011726-0.00026639i,-0.00016109-0.00027385i,-0.0011266+9.9683e-05i
-0.00040378+0.00041822i,-0.0008696+0.00040607i,-9.6781e-05+0.00028313i,0.00055625+0.00024815i,0.0017804-0.00040734i,0.0018956-0.0006696i,0.0007607-0.00023301i,-2.0014e-05-0.00043267i,0.0001535-0.00085539i,-5.632e-06-0.0004378i,8.5972e-06+0.00014645i,0.00011266+0.00015995i,-0.00082168+0.00055284i,-0.001351+0.00084574i,-0.00069822+3.7086e-05i,-0.00011988-0.00021208i,0.00066007-0.000697i,0.0011499-0.0012087i,0.00082296-0.00063692i,0.000626-0.00071883i,0.00050534-0.00034142i,0.00024707-6.0802e-05i,5.4329e-05-0.00032457i
0.00010489+0.00046878i,-0.00032325+0.0017994i,3.7535e-05+0.0017792i,0.00041651+0.0011494i,0.00051447+1.546e-05i,0.00017809-0.00087175i,-0.00016941-0.0004427i,-0.00014077+0.00019629i,-0.0007474+1.5787e-05i,-0.0011984-0.00032123i,-0.0013217+0.0004535i,-0.00045021+0.0011442i,3.5486e-05+0.0010294i,-0.00028497+0.0013572i,-0.00045036+0.0009903i,-0.00066085-0.00034718i,-0.00060652-0.00097481i,-0.00058657-0.00031619i,-0.0001422+0.00065095i,0.00022459+0.00059056i,0.00024192+6.0545e-05i,7.3907e-05-0.00077697i,0.00062395-0.0010371i
