-0.0016569+0.00045078i,-5.0301e-05+0.00021646i,-0.00075011+0.00048149i,-0.0008662+0.00027009i,-0.00059515+0.0014652i,-0.00067006+0.0020583i,-0.0006518+0.0022142i,0.00024978+0.00287i,0.00073864+0.0023122i,0.0011655+0.0012507i,0.0014087+0.00051832i,0.00082093+3.2924e-05i,0.00038093-8.2856e-05i,0.00052483-0.00016361i,-2.5396e-05-7.9e-06i,-0.00050484-0.00023741i,3.7232e-05-0.00098947i,0.00054949-0.00065623i,0.00039097-0.00025004i,-0.00041632-0.00096902i,-8.1686e-05-0.0011182i,0.00037672-0.00078261i,7.9479e-05-0.00041032i
0.0012138+0.00044156i,0.0015891+0.00039865i,0.0024139+0.00016284i,0.0021173-0.00066539i,0.00049258-0.0010788i,-0.00042212-0.0013248i,0.00021001-0.00097772i,0.00036355-0.00086672i,-5.3897e-05-0.00057444i,-0.00034119-0.00028055i,-0.00014612-0.00016603i,0.00027236-0.00010127i,0.00039823+0.00036566i,0.00056379+0.0013673i,0.00044931+0.0014197i,9.6662e-05+0.00060526i,0.00015455-9.0241e-05i,0.00026933-0.00031536i,3.9235e-05+0.0002208i,0.00028713+0.00051621i,0.00049341-0.000651i,0.0003005-0.00097407i,0.00015665-0.00027845i
0.0004152+0.0010243i,0.00023089+0.00098295i,-1.3546e-05+0.00080135i,0.00018849-0.00076881i,0.00084958-0.0016858i,0.00025992-0.00095333i,-0.00076962-0.00035044i,-0.0003293-0.00031995i,0.00045651-0.00073114i,0.00046548-0.0007397i,0.00040996-0.00023189i,0.00062252+0.0013114i,1.3656e-05+0.001699i,-9.8187e-05+0.0010382i,0.000108+0.00068126i,-0.00032504+7.9903e-05i,-0.00059325-0.00033698i,-0.00029971-0.00096712i,0.00057649-0.00075426i,0.00065077+0.00032302i,0.00018214+0.00010241i,0.00028129-0.00046183i,0.00021317-0.00025346i
0.0011804+7.3181e-05i,0.0022164+0.00056452i,0.0018898-0.00025955i,0.00072873-0.00042869i,-0.00052268+0.00088267i,-0.00092528+0.00066841i,-0.00086522-0.00031563i,-0.0012108-0.00014486i,-0.0011138+0.00026083i,-0.00051118+0.00022863i,0.00026806+0.00043134i,-2.172e-05+0.00029717i,-0.0002263+0.00038573i,0.00049498+0.000773i,0.00080646+0.00015259i,0.00057681-0.0005315i,-0.00025902-0.00015961i,-0.00015078+0.00063742i,0.00050565+0.0007248i,0.00047634-6.3379e-05i,4.9479e-05-0.00022988i,-0.00043133+0.00022154i,-0.00072525+0.00032242i
-0.00069587-0.00039573i,0.00043681+0.00067701i,0.0004729+0.00027411i,-4.0231e-05+5.9307e-05i,-0.00048067+0.00025207i,-0.00021374+3.2903e-05i,-0.00075861+0.00037616i,-0.00064222+0.00065984i,0.00048937+0.0001179i,0.0013362-0.00061472i,0.0011665+5.4289e-05i,0.00075955+0.0011823i,0.00092829+0.0015208i,0.00061228+0.001044i,-0.00039201-6.1068e-05i,-0.00043385-0.0010536i,0.00012961-0.000998i,0.00014175-0.00011068i,-0.00016975+0.00021075i,7.33e-06-0.00015546i,-0.00023591+6.1302e-05i,-0.00044425+0.0006403i,0.00031858+2.052e-05i
0.00013731+0.00035417i,0.00019262+0.00097089i,0.00011586+0.0012693i,-0.00031945+0.00039847i,-0.000705-0.0008072i,-0.00050103-0.0013558i,-0.00040413-0.0010543i,-0.00029183-8.1488e-05i,-0.00023409+0.00016979i,-0.00022767+0.00061121i,6.6221e-05+0.0013133i,0.00061137+0.0013544i,0.00021436+0.00086871i,-0.00054765+0.00027037i,-0.0001079+0.0001313i,0.00021849+0.00059736i,0.00011575-3.7674e-05i,0.00023266-0.00026402i,0.00026928-3.8481e-06i,8.6451e-05-3.0347e-05i,-0.00036571+0.00033155i,-0.00060195+0.00038291i,-5.2903e-05-0.00022879i
0.0011141+0.00078346i,0.00072357+0.00090656i,0.00015028-0.00023868i,8.5106e-05-0.0019769i,0.00015978-0.0022423i,-0.0006809-0.00083455i,-0.00067272+0.00020878i,-0.00048951-2.5204e-05i,-0.00030431+0.00041163i,-0.00021695+0.00053419i,-0.00023952+3.2663e-05i,-0.00080198+0.00023612i,-0.00094027+0.0010094i,-0.00026237+0.0014208i,0.00056379+0.00046764i,0.00060324-0.00052614i,-0.00043903-0.00028096i,-0.0011598+0.00052243i,-0.00081911+0.00024711i,-0.00014898-0.00037132i,0.00059581-0.00041476i,0.00061347-0.00022003i,5.9156e-05+0.00013513i
-0.00049565+0.0015265i,-1.2999e-05+0.0028285i,0.00091645+0.0033658i,0.0014472+0.002988i,0.0010951+0.0015859i,0.0010478-0.00018278i,0.0010593-0.0012314i,0.00077189-0.0012345i,0.00017909-0.00076393i,0.00057921-0.0003598i,0.00043553-0.00019815i,0.00029376-0.00031385i,0.00061948+1.9795e-05i,-7.0678e-06+6.4924e-05i,-3.5874e-06+2.7573e-05i,-0.0003974-3.4104e-05i,-0.00057608-0.0005131i,0.00039425-0.00094475i,0.00061402-0.00085053i,6.0493e-05-0.00019354i,-0.00087017+0.00034334i,-0.00098663-9.2863e-06i,-0.00043241+6.8939e-05i
0.0021002+0.00082906i,0.00168+0.00090553i,0.001835-0.00086605i,0.001363-0.0019238i,0.00077467-0.00098517i,0.00092827+3.6948e-05i,0.00082533-0.00051263i,0.00045377-0.00076495i,0.0009297-0.00051335i,0.0011438-0.00084756i,0.00058307-0.0006347i,5.8706e-05+0.00011266i,-0.00065192+0.00088914i,-0.00020792+0.00089956i,0.00067827+0.00060649i,0.00056193-0.00015807i,-0.00022832-0.00074784i,-0.0013473-0.00015569i,-0.0011807+0.00096672i,-0.00021576+0.00072785i,0.00026872-0.00030123i,0.00034547-0.00061961i,0.00027501-0.00079346i
0.00055175-5.9963e-05i,0.00063372+0.00029441i,-0.00010427+0.00017683i,-0.00061205-0.0001433i,-0.0013928+0.00045365i,-0.0014387+0.00058125i,-0.00094849+0.00076195i,-0.00065088+0.00087898i,5.8371e-05+0.00021694i,0.00066844+0.00067875i,0.0012559+0.00048334i,0.001102-0.00026985i,-1.7026e-05-0.00021684i,-8.9866e-05-0.000806i,0.00042226-0.00029766i,0.00065965+0.001071i,0.00041028+0.00074482i,0.00034684+7.7168e-05i,0.00046356-0.00058128i,0.00062195-0.0010562i,0.00082258-0.00097011i,0.0010347-0.00064673i,0.00085138-0.00025964i
0.00091273-0.00012971i,0.0015515+0.00090597i,0.0011345+0.001334i,-0.00030464+0.00048009i,-0.00046666-0.00046426i,-0.00022226+0.00011307i,-5.3386e-05-9.4454e-05i,0.00063575-0.00064701i,0.001323-6.484e-05i,0.00088267-0.00056988i,0.00026118-0.0010125i,0.00023722+3.076e-05i,0.00022513+0.0004709i,0.00056922+0.00011341i,0.00049062+0.00012882i,3.4168e-06-2.5021e-05i,-0.00027347+6.1284e-05i,-0.00075081+0.00024661i,-0.001001-5.6682e-05i,-0.00055729-0.00018943i,-0.00020821+0.00036248i,-0.00030077+0.00062441i,-0.00040697-0.00017262i
0.00014559+0.00049804i,-0.00030375+0.00075459i,-0.00057793+0.00065358i,-0.00056373+0.00047655i,-0.00041943+0.00032968i,0.00019281-8.4923e-05i,0.00086702-0.00025364i,0.001296+0.00029302i,0.00076669+0.00087179i,0.0003297+0.00041711i,0.00058544-0.00016874i,0.00065481+9.4115e-05i,9.0921e-05+0.00095521i,-0.000392+0.00094362i,0.00023382+0.00082482i,0.00047975+0.00090902i,0.00042198+0.00082024i,0.00046608+0.00056588i,5.8937e-06-0.00021704i,-7.3628e-05-0.00040915i,0.00063155-7.4085e-05i,0.00061721-0.0001632i,0.00013076-0.00049868i
0.0006946+0.0011533i,0.0013994+0.00031641i,0.0015269-0.0012047i,0.0019466-0.002033i,0.0012703-0.0021636i,-0.00026368-0.0017233i,-0.0010409-0.0011834i,-0.00038796-0.0004641i,0.0006535+0.00020207i,0.00080543+0.00045106i,0.00065373+0.00045242i,0.00056281+0.00022489i,-0.00011658+0.00072728i,-0.00041322+0.00091842i,0.00062697+0.00071945i,0.00096553+0.00084164i,0.0013032+0.00042672i,0.0013959-6.742e-05i,0.00012456+7.0932e-05i,-0.00067117-0.00028844i,-0.00035973-0.00078848i,-9.6505e-05-0.0011589i,0.00021601-0.00039061i
-0.00092017-0.00034386i,-0.0013176+0.00063132i,-0.0024854+0.0012274i,-0.0025473+0.0014446i,-0.0024618+0.0011954i,-0.0016742+0.00047507i,-0.00031584-0.00082687i,-0.00021724-0.0010238i,-0.00027693-0.00037373i,-7.1016e-05+0.00059523i,-0.00077375+0.0011892i,-0.00079186+0.00061175i,0.00073366+0.00021891i,0.00076405+0.00057634i,-0.00061143+1.0907e-05i,-0.00094857-0.00030091i,-0.00048819+1.0052e-05i,0.00020232+6.2741e-05i,0.00036248+3.3249e-05i,-0.0002813-2.2954e-05i,-0.00089528-0.00021839i,-0.00069385-0.00023617i,-0.0003079-4.388e-05i
0.0014858+0.0017221i,0.0023579+0.003088i,0.0031736+0.0020837i,0.0024243+0.00060183i,9.7023e-05-0.00036283i,-0.00045441-0.00095339i,0.00080999-0.00086411i,0.00097195-0.00039125i,0.00080362+0.00014872i,0.00091588+0.00068338i,0.0010605+0.00020432i,0.00060479-6.3088e-05i,3.9977e-05+0.0004291i,-5.9088e-05+0.00081954i,0.00047671+0.00043203i,0.00092795-0.00023322i,0.00088774-0.00037525i,0.00087367-0.00035262i,0.0010427-0.00028893i,0.00060794-0.00058169i,0.00036199-0.00081098i,0.0002579-0.0005634i,0.00022199-0.00050646i
-0.00099767+0.0017494i,0.00038761+0.0017242i,0.00087473+0.001738i,0.0010158+0.00057465i,0.00086248-0.00065739i,0.000372-0.0003443i,-1.7892e-05-0.00041808i,2.1027e-05-0.00097408i,-0.00017762-0.0010211i,0.00012835-0.00054405i,0.00060371+0.00018837i,7.9154e-06+0.0005604i,-0.00033771+0.00074038i,0.00021207+0.0011184i,0.00040486+0.00098658i,-0.00048776+0.00029851i,-0.00098448-0.00025857i,-0.00035096-0.00039282i,-0.00010371-0.00064663i,0.00034307+0.00019555i,0.00099+0.00078001i,0.00084473-0.00026913i,0.00028698-0.001147i
-0.00056489+0.0019258i,0.00082044+0.003049i,0.0020252+0.0020909i,0.001441+8.0652e-06i,0.00075321-0.000724i,0.00057865-0.0010321i,-3.0114e-05-0.00063881i,-0.0003342-0.00024829i,0.00033514-0.00011137i,0.0004224+0.00028712i,3.1106e-05+0.0004384i,-8.4805e-06-0.00011848i,-0.00016161-0.00064386i,-0.00060153-0.00033049i,-0.00076282+0.00014813i,-0.00063914+0.00015967i,0.00022028-0.00017432i,0.0013578-0.00030084i,0.0008324+5.4603e-05i,0.00027619-0.00062777i,0.00064269-0.00060965i,0.00022706+0.00031424i,5.958e-05+0.00035247i
0.00034641+0.0020015i,0.0011084+0.0014896i,0.00091862+0.0008794i,0.00059881+1.0572e-05i,7.0024e-05-0.00049354i,0.00024442-0.001218i,0.0010108-0.001119i,6.4779e-05-0.00056859i,-0.00020152-0.00018062i,0.00062401-0.00027037i,0.00018174-0.00061257i,-8.0433e-05-0.00013589i,-1.3229e-05+0.00041854i,-0.00029183-8.7731e-06i,7.5634e-05-3.7139e-05i,0.00030391+0.00012398i,-0.00027746-0.00050796i,-0.00048956+7.3265e-06i,-8.8125e-05+0.00053734i,1.0129e-05+0.00022208i,-1.2778e-05-0.00046076i,-0.00012979-0.00021875i,-0.00021249+0.00076384i
0.00016707+0.00019835i,0.00097485+0.0012287i,-0.00013736+0.0014211i,-0.0013879+0.00078338i,-0.0011881+0.0013491i,-0.00028105+0.0015116i,-0.0002295+0.00075915i,-0.0003303+0.0007686i,0.00058426+0.0004744i,0.00061243+0.00032251i,0.00016246+0.00039451i,0.00048961-0.00028807i,0.00083793-0.00020697i,0.00069258+0.00011516i,0.00096241+0.00016088i,0.0014346+0.00029029i,0.0014695-4.7625e-05i,0.00035588+6.2687e-05i,-0.0004249+0.00041073i,-0.00031557+0.00042289i,0.00021451+0.00011515i,7.4186e-05-0.00015717i,-0.00052399-0.00044262i
0.0015278+0.0019626i,0.0020494+0.0018525i,0.0022854+0.0009192i,0.0016826-0.00087066i,0.0012483-0.0021126i,0.00089331-0.0015147i,0.00035585-0.0014044i,-0.00016721-0.0012603i,0.00054797+5.5565e-06i,0.0011009+0.0004398i,0.00040802+0.00013862i,-0.00027189+0.00081655i,-0.00091907+0.0015048i,-0.00025425+0.0010804i,0.00083616+0.00083493i,5.4244e-05+0.00018264i,-0.00056998-0.00052973i,-0.00024444-0.00042886i,-0.00023488+6.9595e-05i,-0.00023374+0.00022731i,0.0005227+0.00071895i,0.00049415+0.0007874i,0.00038243+0.00027052i
-0.00026013+0.00011522i,0.00063139-0.00012871i,0.0011739-0.00090216i,0.00034203-0.0016614i,-0.00086135-0.0015426i,-0.0007908-0.0014356i,-0.00057229-0.00099176i,-0.00038103-0.00068825i,-0.00039978-0.00035733i,-6.8216e-05-0.00059839i,0.00049584-0.0004784i,0.00012009+0.00027739i,0.00041402+0.00064487i,0.0014474+0.00057698i,0.0010517-0.00015309i,0.00013588-0.00085759i,0.00043055-0.0010262i,0.00056429-0.00046861i,2.3046e-05-0.00017825i,-0.00041694+9.8137e-05i,-0.00011996+0.00026274i,0.00057092+0.00010279i,0.00035119+8.3004e-05i
0.00019907+0.001155i,0.0010135+0.0015173i,0.00056455+0.00096924i,0.00066817-0.00091633i,0.0011841-0.0017631i,0.00091144-0.0011456i,0.00066935-0.00068135i,0.00091511-0.0008386i,0.0013515-0.00087091i,0.0011879-0.00065288i,0.00077341-0.00032248i,4.4495e-05+0.00027378i,-0.00028691-0.00016292i,0.00053169-0.0010019i,0.00075011-0.0012283i,-0.00015163-0.00066295i,-0.00053067-0.00011833i,7.7663e-05+3.8796e-05i,6.7155e-05+0.00018277i,-0.0002641-0.00031707i,-0.00053566-0.00063208i,-3.3479e-05-0.00026991i,0.00057185+0.00040324i
-0.0018586+0.00024188i,-0.00081847+0.0013026i,-0.00083773+0.0013979i,-0.0014363+0.0014243i,-0.001518+0.0017143i,-3.6669e-05+0.0010887i,0.0010645-5.6346e-05i,0.00036328-0.00021514i,-0.00065177+6.0253e-05i,-0.0010364+0.00083019i,-0.00051475+0.00094335i,0.00025461+0.00086811i,-0.00045+0.00072082i,-0.0007732-0.00011904i,-0.00013651+7.452e-05i,0.0003013+0.00075482i,0.00014786+0.001323i,-0.00051297+0.0019069i,-0.00074285+0.0011965i,-0.0005853+0.00033749i,-0.00047844+0.00027218i,-0.00020541-2.088e-05i,-0.00021071+2.5107e-05i
0.0018878+0.0029989i,0.0010877+0.0024839i,0.00071822+0.0020202i,0.00057328+0.00048536i,0.00030841-0.00080687i,0.00040879-0.00086275i,6.9243e-05-0.0001498i,-0.00029868+5.7259e-05i,0.0005238-5.1757e-05i,0.00084128-0.00013138i,-3.2897e-05-0.00026472i,0.00036217-0.00029412i,0.00061481-0.00012718i,3.0207e-05+0.00032411i,2.2452e-05+0.00010883i,0.00025777-0.00014458i,-5.0433e-05+1.621e-05i,-0.00013261-0.00032074i,4.706e-05-0.00067184i,-4.9818e-05-0.00085339i,-0.00077375-0.0011943i,-0.00020256-0.0010839i,0.00049657-0.00049283i
0.0017374+0.0013077i,0.0020462+0.00021862i,0.0029237-0.00099286i,0.0031171-0.0017035i,0.0016819-0.001753i,0.0003429-0.0017352i,-0.0003585-0.00079109i,-0.00080289+9.547e-06i,-0.00044301+0.00036672i,0.00039291+0.00041426i,0.00032811-0.00013172i,-0.00011485-0.00050729i,-0.00059476+9.7613e-05i,-0.00096984+0.00043094i,-0.0008048-3.3483e-05i,-0.00064427+4.4428e-05i,-0.00031045-0.0001618i,0.0002026-0.00094313i,0.00050395-0.0013215i,0.00024798-0.00079197i,0.00036552-0.00063032i,0.00044858-0.00023923i,0.00053507+0.00012342i
7.3376e-05+0.0017252i,0.00028707+0.0020994i,0.00054052+0.0014177i,0.00145-6.2993e-05i,0.0018994-0.00062846i,0.0014814-0.0014361i,0.0010421-0.0014847i,0.00049733-0.0006796i,-0.00032198-0.00048864i,0.00038634-0.00027802i,0.0012872+8.9172e-05i,9.7667e-05-0.00012975i,-0.00093976-0.00076093i,-0.00044574-0.00046285i,-0.00032171+0.00056056i,-0.00039765+0.00073635i,-0.00026604+0.00036523i,-0.00020312+0.00061793i,2.734e-05+0.00021102i,0.00046611-0.00027609i,0.00053054-0.00044409i,0.00020919-0.00070254i,1.1914e-05-0.00012486i
0.00092611+0.00047169i,0.00061559-0.00020413i,0.00091632-3.9065e-05i,-0.00027009+1.1728e-05i,-0.0013772-0.0011465i,-0.0011305-0.0011533i,-0.00071655-0.00014208i,-0.00029653-0.00023225i,0.00026575-0.00033121i,0.00072287+0.00023464i,0.00053292+0.00087314i,-1.2021e-06+0.0012549i,-0.00025994+0.0010146i,-0.00026606+0.0010063i,0.00010625+0.00068097i,0.00033129+0.0002667i,0.00043238-7.4336e-05i,0.00048481-0.00032504i,8.9189e-05-0.00054362i,-0.00014582-0.0012269i,-0.00011781-0.0012253i,0.0001413-0.0005479i,0.00069434+0.00040925i
-0.00069506-0.00096678i,-0.00013881+0.00092348i,0.00020385+0.0011182i,0.0003441+0.00056978i,-0.00044778+0.00034313i,-0.0004678-8.9862e-05i,-0.00028851-0.00057091i,-0.00044055-0.00077383i,-0.00024887-0.00037289i,-0.00024022+7.9878e-05i,-0.0003944+0.00034742i,-0.00075418+0.00052536i,-0.00081112+0.00089527i,-9.29e-05+0.00096534i,0.00066082+0.00078956i,0.0011666+0.00061333i,0.00089624+0.0001901i,0.00031627+0.00056875i,0.00051081+0.0011513i,0.00033469+0.00030508i,-0.00017265-0.00028612i,-0.00032522+0.00044042i,-0.00023097+0.0011174i
0.00096627+0.00055211i,0.0013655-2.5606e-05i,0.0011575-0.00012159i,-0.00018231+0.00070992i,-0.0009198+0.00097263i,-0.00088675-0.0002256i,-0.00073787-0.0012761i,-8.9831e-05-0.0009298i,0.00021413-0.00051514i,0.00073606-0.00087147i,0.0008896-0.00061234i,0.00024465-0.00024886i,-0.00051477-0.00028311i,6.6793e-05+0.00053404i,0.00028035+0.0012433i,0.00018017+0.00063931i,0.00027026+2.9117e-05i,-2.5947e-06-3.4466e-05i,-0.00021228+0.00013017i,0.00029556-0.00020251i,0.00062173-0.00048783i,0.00049013-0.00016776i,0.00074503+0.00054381i
0.0019311+0.0012553i,0.0022313+0.0016473i,0.0032255+0.0010102i,0.003105-0.00018267i,0.0015481-0.0010168i,0.00082586-0.00057309i,0.00069317-0.00057658i,0.00029531-0.00092043i,0.00036847+3.5096e-05i,-0.0002013+0.00016781i,-0.00059538-0.00036887i,-0.00031914-0.0006479i,-0.00038113-0.00037668i,-0.00013863+0.00049616i,-0.00073465+0.0010188i,-0.0013239+0.00085398i,-0.0010851+5.8595e-05i,-0.00049927-0.00037024i,-0.00028197-0.00023123i,-1.3497e-05-7.4242e-05i,0.00015496-0.00015674i,2.3204e-05-0.000445i,-0.00025455+0.00018389i
0.00033442+0.0016646i,0.00086452+0.0019139i,-0.00020244+0.0028048i,-0.00085965+0.0021925i,0.00020882+0.00074842i,0.00021489-0.00033006i,-7.5106e-05-0.00065102i,0.00038745-0.00046658i,0.00068591-0.00025674i,0.00074193-0.00017429i,0.00020857+0.00021336i,-0.00023858+0.0005319i,-0.00033617+0.000274i,-0.00035929+0.00048692i,-0.00012972+0.00053363i,0.0002788+0.00043749i,1.2641e-05+0.00026116i,0.00027878+0.00021259i,0.00072283+8.4846e-05i,0.00067794-0.00041802i,0.00040269+0.0003166i,-8.3411e-05+0.00090064i,-0.00069126+0.00060435i
