-0.0010021-3.5051e-05i,-0.00073441-0.0021894i,-0.0014697-0.0031709i,-0.00084606-0.0011912i,-0.00034344+0.0015691i,-0.00043253+0.0014569i,0.00016486+0.00052389i,0.00055138+0.00055421i,0.0012277+0.00019099i,0.0013709+0.00010679i,0.0011416-0.00064209i,0.00029085-0.00099556i,-0.0005276-0.00062848i,-0.00047505-0.00085387i,-0.00036787-0.0012956i,-0.00096158-0.00095155i,-0.00096352-0.00084473i,-0.000179-0.00064629i,0.0005538-0.0007808i,1.4893e-05-0.00092704i,-0.001049-0.0002278i,-0.00049454-0.00035592i,0.00017178-0.0004355i
-0.00049406+0.00087881i,8.1474e-05+0.00070334i,0.00058288+0.001497i,0.00086828+0.0018333i,0.0011046+0.0012587i,0.0010589+0.00029933i,0.0011005-0.00017366i,0.00083295-0.00031599i,-0.00031784-0.00063567i,-0.0005959-0.00060571i,3.4219e-05-9.3169e-05i,-8.6296e-05+0.00050578i,-0.00087733-4.662e-05i,-0.00099007+0.00021078i,-0.0012876+0.0011851i,-0.00079286+0.00081052i,-0.00010859+0.00082776i,-0.00038194+0.0016083i,-0.00020355+0.00099957i,-0.00031811+9.4834e-05i,-0.00034267-0.00012753i,0.00017103-0.00015448i,0.00030211-2.1377e-05i
0.00092782-0.0013006i,4.7848e-05-0.0018016i,-0.0011629-0.0025261i,-0.0015002-0.001446i,-0.0016725-0.00010611i,-0.0010034+0.00023722i,7.9623e-05-0.00034765i,2.6501e-05-0.00039196i,-0.00057298-0.00018195i,-0.00072252-0.00085461i,-0.00015069-0.0012923i,-3.6539e-05-0.00070827i,6.9076e-05-0.00021015i,0.00047517+0.00040797i,0.00023127+0.0011807i,-9.4177e-05+0.00081415i,-0.00024706+0.00038541i,-0.00015911-0.00047251i,0.00012548-0.00012231i,7.1313e-05+0.00075253i,0.00049355+0.00061376i,0.00096091+0.00042982i,0.00074091+0.00076763i
-0.00019997-0.00099987i,-0.00080145-0.0019986i,-0.00098766-0.0012426i,-0.0003321+0.00064824i,0.00072605+0.0012776i,0.0010776+0.00056526i,0.00063314-0.00039866i,-0.00027397-0.00087888i,-0.0010637-0.001296i,-0.0017343-0.0013188i,-0.0016533-0.00077302i,-0.0008043-0.00031957i,-0.00015572-0.00024379i,-0.00075511+0.00010909i,-0.00132+0.00091563i,-0.00037919+0.00082887i,0.00037064-0.00070673i,0.00018264-0.0011152i,-0.00021114-0.00059903i,-7.2543e-05-0.00038576i,-0.00041507-0.00022469i,-0.00045936+0.00016095i,2.2196e-05-0.00023131i
0.00086532-0.0020512i,0.0002627-0.0017009i,-0.00063949-0.00065272i,-0.0011338-9.0377e-05i,-0.00079933-5.9519e-05i,-5.3534e-05+0.00024292i,0.00088712+0.00057669i,0.0010464-0.0001421i,3.1901e-06-0.0003332i,-0.00066554+0.00018728i,-0.00022612-3.6603e-05i,3.3596e-05-0.00049393i,-6.3586e-05-0.00075302i,-0.00032525+0.00015724i,6.9238e-05+0.0010989i,0.00049651+0.00099327i,-0.0001934-5.6897e-05i,-0.00047693-0.00069497i,-0.00026373+4.0012e-05i,-0.00057547+0.00047236i,-0.00077785+0.00012183i,-0.00054849-2.1272e-06i,-0.00010351+0.00056532i
0.00041036-0.00021539i,0.0010699+7.2748e-05i,0.0018339+0.00089023i,0.0015873+0.0004297i,0.00047824-0.00090168i,-7.6592e-05-0.0017485i,-0.00029247-0.0009471i,0.0004198-0.00029364i,0.00097516-0.00014318i,0.00076379-0.00023169i,-0.00023616-0.0012066i,-0.00077913-0.001504i,0.00021547-0.00090737i,-0.00031564+8.6828e-05i,-0.0014088+0.0010306i,-0.00078613+0.0010628i,0.00015652-2.2301e-05i,0.00040616-0.0012443i,0.0001849-0.00081905i,-0.00073801-0.00044693i,-0.0013654-0.0003915i,-0.00060284-0.00021648i,-4.7745e-05-4.1599e-06i
-0.00077168-0.0014605i,-0.0011286-0.0028359i,-0.0019164-0.0028915i,-0.0016111-0.00043704i,-0.00020861+0.00096023i,0.00068127+0.001234i,0.00016199+0.0010983i,0.00048334+0.00029441i,0.00041464-0.00049432i,-8.2066e-05-0.00078967i,5.0711e-05-0.00045008i,-0.00012104-0.0007628i,-0.00036221-0.0010306i,-0.00024956-0.000254i,3.5666e-05+0.00028913i,0.00048969-0.0001635i,0.00059979-0.00052175i,0.00056029-0.0002098i,-4.0288e-05+0.00048277i,-0.0006297+0.00049268i,0.00015143+0.00035047i,0.00070429-0.00043803i,-7.8071e-05-0.0011122i
-0.00096884-0.0007525i,0.00047949-0.00020925i,0.00035526+0.00086569i,7.3121e-05+0.0011493i,-9.4486e-05+0.00089625i,-3.7986e-05+3.1048e-05i,0.00036813-0.00012833i,0.00055136+0.00058186i,0.00065579+0.00031058i,0.00070634-0.00037548i,0.00075611-0.00033552i,0.00070567-0.00049415i,0.00015452-0.00016331i,-0.0011425+0.00010189i,-0.0018636-0.00020604i,-0.00092217-0.00031694i,0.00077644-0.00034059i,0.00078269+4.082e-05i,-8.5425e-05-0.00021747i,-0.00053377-0.00013656i,-0.0007532+0.00047727i,-1.2964e-05+0.00030931i,0.0003962+9.9239e-05i
0.00037641-0.00077827i,-0.0012816-0.0014795i,-0.0017253-0.00071573i,-0.0010409+0.00038087i,0.00044054+0.00093973i,0.00058894+0.0011802i,0.0006691+0.00099947i,0.0016221+0.00080091i,0.00084789+0.00080545i,-0.00086545-0.00011999i,-0.0014269+5.03e-06i,-0.0012514+0.00051912i,-0.0012975-0.00023698i,-0.00088303-0.00025371i,-0.00029694+0.00035051i,-0.00012056+0.00027385i,0.00017904-0.00016123i,0.00015491-1.3513e-05i,-3.1034e-06+0.00050013i,-0.00014441+0.00056988i,-0.00019129+0.00022439i,-0.00071238+0.00044458i,-0.0013794+0.00060588i
0.0020914-0.00081428i,0.0019956-0.00077765i,0.00054347-0.0010441i,-0.00054334-0.0014689i,-0.00066674-0.0012524i,0.00041598-0.00074062i,0.0013559+0.00018294i,0.00097592+0.0013679i,0.00057243+0.0014121i,0.00024323+0.00022866i,-0.00034705-0.0011205i,-0.0005281-0.00087838i,-0.00070151-0.0003118i,-0.00076489-0.00043516i,-0.00092392+0.00018321i,-0.00080681+0.00049289i,-8.0638e-05+0.00049351i,0.00060593+0.00051375i,0.0011431-0.00013641i,0.0012061+7.7558e-05i,0.00086828+0.00035232i,-0.00010636+6.1066e-06i,-0.00075096-5.2059e-05i
-0.00019105+0.00025617i,-0.00094865-0.0006398i,-0.0016831-0.0011135i,-0.00091728-0.00084695i,7.6352e-05-0.00065167i,0.00074718+2.9023e-06i,0.0010429+0.00078174i,0.00063618+0.00062508i,0.00027268+0.0004034i,0.00050715+0.00044859i,0.00072084+0.000117i,0.0006733-0.00050279i,-0.00021972-0.0002915i,-0.00029583-0.00022412i,-0.0004592-0.00019909i,-0.0013889-0.00015734i,-0.0011286+8.2705e-05i,-3.8899e-05-2.9294e-05i,0.00058739-0.0001756i,0.0003682+3.6537e-05i,0.00015557-0.00012879i,-0.00012331-0.00013865i,0.00032932-8.055e-06i
