-0.0039338-0.0017598i,-0.0037714-0.0023779i,-0.0032883+8.5766e-05i,-0.0019306+0.0026517i,-0.0014562+0.0019608i,-0.00089799+0.0013259i,-0.00060103+0.0016357i,-0.00028998+0.0016181i,9.0411e-06+0.0013634i,0.00041613+0.00086088i,0.0012126-0.00074552i,0.0015631-0.0023111i,0.00092114-0.0026379i,0.00015091-0.0023998i,-0.00043225-0.0017621i,-0.0006793-0.00092813i,-0.00043644-0.00059311i,-0.00029855-0.00050072i,-0.00030813-0.00021987i,-0.00062345+0.00019465i,-0.00095639+3.9785e-05i,-0.00081098-0.00054018i,-0.0004333-0.0004986i
-0.0010008+0.00129i,0.00017179+0.0023767i,0.0011894+0.0018385i,0.0011006+0.00081532i,0.00097647+8.3598e-05i,0.00092982-0.00013983i,-0.00013754-0.00058461i,-0.00092752-0.00075964i,-0.0010037-0.00035234i,-0.0012168-0.00016604i,-0.0010141+0.00044287i,-0.00017257+0.00062937i,-7.0821e-05-0.00023939i,7.7649e-05-0.00087331i,0.00046235-7.1397e-05i,-0.00019823+0.00068242i,-0.00034867+9.8939e-05i,0.00020661-7.2671e-05i,9.7032e-05-0.00017925i,-0.00060032-8.5043e-05i,-0.00049351+0.00034122i,5.2034e-05+0.0006313i,0.00017965+0.00027536i
0.00085896-0.0018407i,0.00056008-0.0025967i,9.5747e-05-0.0020414i,0.00034283-0.00088138i,0.00045292-4.9458e-05i,7.0359e-07+0.00042833i,-0.00074384-7.9724e-06i,-0.00076825-0.00044925i,-0.00055468-0.00095293i,-0.00054194-0.00049702i,-0.00083956+0.00036688i,-0.00062102-2.6368e-05i,0.00033817-0.00054866i,0.00028481-0.00068997i,0.00015522-9.3312e-05i,0.00029225+6.3379e-05i,0.00038396-0.00066861i,0.00059841-0.00070661i,-0.00013722-0.0006919i,-0.00018572-0.00089493i,0.00046414-0.0007622i,0.00035019-0.00074165i,-9.4632e-05-2.8821e-06i
0.0035217+0.00017082i,0.0038349-0.00047224i,0.0042081-0.0012375i,0.0034669-0.0023025i,0.0016005-0.0029833i,0.00035703-0.0023742i,-0.00017305-0.00082257i,-0.00064618-0.00052605i,-0.00055675-0.0010434i,4.5028e-05-0.00073723i,0.00019338-0.00062308i,0.00037861-0.00034017i,0.00036205-1.5908e-05i,0.00029072+0.00044039i,7.1187e-05+0.00083948i,-0.00034419+0.00065685i,8.8728e-05+0.00049932i,0.00017201+0.00038244i,-0.00060328+3.2338e-06i,-0.00085838-0.0006153i,-0.00037091-0.00053351i,0.00053595-0.00047689i,0.00056005+0.00021087i
0.00040427-0.00032075i,0.00019759+0.0010959i,0.00031514+0.0012915i,0.00050315-0.00027382i,0.00083756-0.0014937i,9.057e-05-0.0012876i,-0.00086852-0.00038037i,-0.00087552-0.00058558i,-0.00015851-0.0010891i,-0.00022303-0.00085282i,-0.00097938-0.00058568i,-0.0011803-0.00040212i,-0.00036085+0.00010416i,0.00049451+8.6713e-05i,0.00043836+7.9497e-07i,3.4757e-05-0.00049119i,0.00013946-0.00026489i,-0.00013277+0.00027172i,-0.00040388+0.00050386i,-0.00012423+0.00021599i,-0.00016809+0.00011919i,-0.00011697+0.00025856i,0.00067299+0.00059772i
0.0011196-0.00092529i,0.00097326-0.00099152i,0.0015907-0.0013148i,0.0012305-0.0015699i,0.00024349-0.0013023i,0.00085926-0.00090924i,0.00028153-0.00099851i,-0.0012366-0.00045279i,-0.0016298+0.00062291i,-0.0011655+0.00083898i,-0.00088466+0.00039978i,-0.00014447-0.00033513i,0.00068587-0.0010777i,0.00037995-0.0014091i,-9.9115e-08-0.00099965i,-0.00014608-0.00028647i,-0.00023335-0.00010585i,0.00049766-0.00065592i,0.00028438-0.0010031i,-0.00011045-0.0010525i,0.00032922-0.00094971i,0.00042303-0.00017636i,-0.0004298+0.0007411i
-0.0013213+1.9673e-05i,-0.0017359-0.00014336i,-0.002161+7.5397e-05i,-0.00086366+0.00043862i,0.00032643+0.00036919i,0.0001714+0.00016838i,-0.0014756-0.00039773i,-0.001155-0.0003132i,-0.00023934+0.00044924i,0.00011598+0.00013807i,0.00049147-0.00046141i,0.00019332-0.000184i,-0.00025045-4.18e-05i,-0.00039019-0.00047673i,0.00018408-0.00035998i,0.0005705+0.00010342i,0.00049146+0.00061336i,0.00014365+0.00044494i,-9.9404e-05-0.00050531i,4.6514e-05-0.00035512i,7.2807e-05-0.00024651i,-0.00058702-0.00025373i,-0.001064+0.0002486i
0.00047405-0.0009433i,-0.00011726-0.00083595i,4.0701e-05-0.0015676i,0.00038973-0.0022189i,0.00071549-0.0021163i,-7.0178e-05-0.0022412i,-0.00090904-0.0016396i,-0.0015534-3.3614e-05i,-0.00047055+0.00052353i,0.00043026-9.0437e-05i,-8.1409e-05-0.00020951i,-0.00030951-0.00032118i,-8.963e-05-0.00076561i,-0.00041453-0.00037306i,-0.00013133-0.00014578i,0.00075238-0.00011838i,0.00095651-0.00010976i,0.0007445-0.00010561i,0.00056061-0.00026141i,-5.9331e-05-2.1787e-05i,-0.00056713+0.00027814i,-0.00065681+0.00020922i,0.00012009-0.00019892i
0.0011457+0.0016976i,0.001511+0.001964i,0.0015567+0.002314i,0.0012523+0.0011228i,0.00092818-0.0008076i,-0.00034656-0.00079901i,-0.0012281-0.00014005i,-0.0013647+5.8184e-05i,-0.00074734+0.00012627i,-0.00026531+0.00011415i,-9.8926e-05-0.00017145i,-0.00020117-0.0011848i,-0.00060527-0.0015298i,-0.00030111-0.00082452i,0.000266+0.00023203i,-0.00054663+0.0012307i,-0.0008853+0.00081727i,0.0003214+0.00044924i,0.0001144+0.00056841i,-0.00083594+0.00028038i,-0.00073586+0.0004362i,-0.00034161+0.00021483i,0.00048523-0.00027891i
-0.00085621-0.00066557i,-0.0011005-0.0017493i,-0.0010286-0.0030226i,7.2844e-05-0.0018969i,0.0015091-0.0012081i,0.0012869-0.0012321i,9.7039e-05-0.00050731i,-0.00045838+0.00061537i,-0.0007551+0.00098365i,-0.00059887+0.00066598i,-0.00045191+0.00089271i,-0.0005448+0.0011436i,-9.1463e-05+0.00015396i,0.0008169-0.00090158i,0.00093076-0.00098118i,0.00080115-0.00096167i,0.00061331-0.0010689i,0.00045364-0.00067433i,-0.00019921-0.00034523i,-0.00064167+4.9318e-05i,-0.00076243+0.00066713i,-0.00057874+0.00049311i,0.00014176+0.00054894i
0.0016258+0.001521i,0.0023696+0.0024632i,0.0023677+0.0026315i,0.0017044+0.0012446i,0.0010242-0.00026057i,0.00016737-0.0011961i,-0.00037003-0.0010095i,-0.00037439-0.00020356i,-0.00043669-0.00052986i,-0.00045443-0.001409i,-0.00032342-0.0012531i,8.1602e-05-0.00011055i,0.00061185+0.00035758i,-0.00011323-0.00045728i,-0.00017414-0.00012821i,0.00021381+0.00032485i,0.00038153-0.00041854i,0.00099492-0.00087628i,0.0012747-0.00064817i,0.00035859+0.00023008i,0.00014728+0.0005783i,0.00059559+0.00040197i,0.00049765+0.00039682i
-0.00062995-0.00011655i,-0.0016986-0.00027347i,-0.0017694+0.00034787i,-0.00078066+0.00031897i,0.00021826-0.00085522i,0.00023415-0.0013801i,-0.00065295-0.00080528i,-0.00092174-0.00037958i,-0.00082739+0.00022657i,-0.00077331+0.0008411i,-0.00051639+0.00063567i,-8.7007e-08-0.00023336i,-0.00038766-0.0012118i,-0.00034307-0.0013123i,0.00084666-0.000671i,0.00074531-0.00025032i,0.00022758-4.613e-05i,-0.00042675+0.00032673i,-0.0011169+8.6845e-05i,-0.0005465+5.9714e-05i,-0.00034101+0.00029108i,-0.00051389+0.0001645i,0.00021195-9.1607e-05i
0.00031038-0.00020594i,0.0012798-0.0016134i,0.0004954-0.0022474i,-0.00017333-0.0021353i,0.00064974-0.0017196i,-0.00055696-0.0012166i,-0.0012329-0.0012539i,-0.0011196-0.00039358i,-0.001043+0.000217i,-3.4456e-05+0.00026267i,0.00082147+0.00034126i,0.00068957+0.00077209i,0.00033979+0.00066377i,-0.00011944+0.00032476i,1.3402e-07+0.00044397i,0.00027185+0.00064481i,-0.00015116-1.2553e-05i,-0.00016414-0.0007459i,-9.3619e-05-0.00076806i,-0.00075653-0.00068313i,-0.0012271+0.00012537i,-0.0010494+0.00042778i,-0.00011035+7.6044e-05i
0.00083631-0.0017787i,0.00073425-0.0019601i,0.00072913-0.0014805i,0.00034291-0.00057286i,0.00014022-0.0010664i,-0.00032138-0.0013037i,-0.00061833-0.00089069i,-0.00068056-0.00042935i,-0.00099769-0.0001612i,-0.00080027+0.00010419i,-0.00052081+0.00043892i,-0.00047007+0.00016379i,0.00048237-0.00038637i,0.00091493-0.00067765i,0.0010418-0.00074789i,0.0009549-0.00022217i,0.00043123-0.00023425i,0.00042221-0.00037246i,-4.4449e-05-0.00063557i,-0.00075072-0.00070614i,-0.00091767-0.00063692i,-5.968e-05-0.00043926i,0.00019039-0.00021906i
-0.00043513+0.00011777i,0.00049194-0.00059979i,0.00061185-0.00057628i,0.0010091-0.00059747i,0.00055157-0.00094416i,5.5753e-05-0.00092966i,-0.00016883-0.00036641i,-0.00067415+0.00016956i,-0.00074403+0.00032266i,-0.00042036+5.4145e-05i,-0.00035142-0.00010674i,0.00010678-0.00069043i,4.783e-05-0.00057958i,-0.00010496-0.00012656i,-9.0087e-06+7.4735e-05i,-0.00018988-0.00034523i,-0.00044424-0.0011368i,-0.00079403-0.000892i,-0.00087267-0.00019522i,-0.00059226+0.00039632i,-0.00070696+0.00033656i,-0.0011162+0.0001176i,-0.0011813+7.4756e-05i
0.0010834-0.00069322i,0.0012995-0.0013173i,0.0015193-0.0017636i,0.0014733-0.0018314i,0.0013862-0.0011169i,0.00036725-0.00083046i,-0.00011563-0.00070844i,0.00011977-0.00033557i,-2.5381e-05-0.00068315i,-0.00028887-0.00061691i,-0.00032862-0.00026378i,-0.00013663-0.00034948i,-0.00030878-0.00046127i,-0.00047268-7.7328e-05i,-0.00023535-3.8125e-05i,0.00017764-7.7704e-05i,0.00014521-0.00011144i,0.00034044-0.00068423i,0.0005674-0.00057793i,0.00011366-0.00045462i,-0.00021511-0.00022067i,3.9295e-05-0.00024653i,-0.00041671-0.0004546i
0.0024727-0.0027894i,0.0019349-0.0027285i,0.0011352-0.0034282i,0.00049672-0.0031383i,-0.00040705-0.0012927i,-0.0009588+1.5541e-05i,-0.0010171+0.00053493i,-0.00069795+0.00034925i,-0.00020714-7.2007e-05i,-0.00061699-5.8123e-05i,-0.00080498+2.5898e-05i,-2.1766e-05+0.00025455i,0.0012191+0.00066853i,0.00087733+0.00076006i,-0.00026432+0.00084663i,-0.00048012+0.00068063i,0.00035377-0.00058129i,0.00057959-0.00053404i,0.00015143+5.4711e-05i,0.00023711-2.6713e-05i,0.00057311-0.00063317i,0.00025993-0.00070823i,-0.00013274+0.00021021i
0.00017434+0.00014426i,9.8792e-05+0.00084447i,0.00059913+0.00070845i,0.0009414+0.00030645i,0.0015805-0.00062077i,0.0016831-0.00077042i,0.0001269+1.535e-05i,-0.0015061+0.00028942i,-0.00093127-0.00018589i,-0.0005422-0.00043019i,-0.00046348-0.00027794i,0.0001215+0.00029693i,0.00061431-0.00028654i,0.0013093-0.00085831i,0.00077994-0.00070949i,-0.00012785+3.6283e-05i,-0.00040777+0.00074472i,-0.00034746+0.00034009i,3.995e-05-0.00018378i,3.6002e-05-5.9743e-05i,-0.00028862-0.00039267i,-0.0002448-0.00040425i,-0.00026999+0.00080724i
-0.0020501-0.0009719i,-0.0030955-0.00053734i,-0.0021185-7.0594e-05i,-0.0006414-2.4954e-05i,0.00032599-0.00054346i,0.00066373-0.00083279i,1.7913e-05-0.0006212i,-0.00053653+0.00017983i,-0.0013835+0.00057744i,-0.00098279+0.0002549i,0.00041662+6.8185e-05i,0.0010135-7.253e-05i,0.0010651+2.9545e-05i,-0.00017437-0.00043409i,-0.00095607-0.0010715i,8.6125e-05-0.0001491i,0.00093007+0.00046974i,0.0010544+5.3422e-05i,0.00055278-0.00063357i,-0.00038936-0.0004634i,-0.00069362+0.00047297i,-0.0002538+0.00046471i,0.0003006-0.00031031i
-8.2101e-05-0.00043112i,-4.7879e-05-1.5012e-05i,-1.8945e-05-0.00032817i,0.00058814-0.00074722i,0.00080357-0.00062042i,-4.3705e-05-0.0010886i,-0.0011883-0.0010241i,-0.0013208-0.00033391i,-0.00085994+1.2043e-05i,-0.00063159-0.00010401i,-0.00054536-0.00059482i,-0.00050631-0.0004193i,-5.759e-05+0.00031949i,0.00034689+0.00031482i,0.00080056-0.00059815i,0.00099649-0.00089696i,0.00079746-0.00091582i,-7.3635e-05-0.00073855i,-0.00067286+0.00033423i,-0.0004877+0.00015732i,-0.00038764+0.00021465i,0.00011494+0.00054328i,0.00091198-4.927e-05i
-0.00011578+0.00031892i,0.00030836+0.00062017i,0.0011039+0.00094159i,0.0012713-0.000594i,0.0012038-0.0013946i,0.00029827-0.0014021i,-0.00053382-0.0015302i,-0.00052668-0.00097297i,-3.8773e-05+0.00028145i,-0.00076409+0.00048251i,-0.00079382-8.7217e-06i,-0.00011637-0.00035344i,0.00022727-0.0012299i,-9.4698e-05-0.00096946i,-0.000518+9.1864e-05i,0.00022297+0.00025796i,0.00066005+0.00021158i,9.8264e-05-0.00029818i,3.6816e-05-0.00048788i,0.00036869+0.00014427i,9.9737e-05+0.00065269i,0.0001932+0.0007918i,0.00076902+0.00023698i
-0.0017099+0.0023028i,-0.00070132+0.0010666i,-0.0011505+0.0023503i,-0.0011506+0.0025952i,0.00050069+0.00090488i,0.00042763-0.00051763i,0.00028938-0.0007745i,-4.8166e-05-6.944e-05i,-0.00076392+0.0010894i,-0.00027136+0.0008052i,-0.00013282-0.00029989i,-0.000278-0.00045354i,-0.00071852-0.00041812i,-0.00102-0.00062255i,-0.00075484-0.00022453i,-0.00017295+3.6317e-05i,0.00055356-3.3156e-05i,0.00069268-5.7057e-05i,0.00034982-0.00096265i,4.5483e-06-0.00059174i,-0.0002597+0.00078139i,0.00072459+0.00046362i,0.0012052+0.0002874i
-0.00057177-0.0016905i,-0.0013629-0.0010334i,-0.0016784-0.00066182i,-0.00060782+0.00014485i,0.00018023-0.00011207i,-0.00038988-0.0012097i,-0.0012213-0.0009836i,-0.0012673+0.00034313i,-0.0017568+0.00025672i,-0.001954-0.0011521i,-0.00046303-0.0014299i,0.0011453-0.00087406i,0.0013186-0.00045744i,0.0006953-0.00064928i,-0.00021561-0.00069666i,0.00047183-0.00047104i,0.00090886-0.00068868i,0.00035914-0.00064473i,0.00016314-0.00071861i,-0.00018126-0.00061i,-0.00056873+0.00016904i,-0.0003858+0.00054192i,-0.00029223-6.2905e-05i
-0.00063763+0.0010528i,-0.00074067+0.001181i,-0.00040294-0.00033372i,0.00089561-0.0013745i,0.0014584-0.0013595i,0.00072035-0.0012581i,0.00021003-0.00064015i,-0.00018038-3.6941e-05i,-0.00044426-0.00036133i,-0.00027808-0.00077764i,-0.00037483-0.00071697i,3.9005e-05-0.00063364i,0.00059442-0.0013304i,0.00049885-0.0015368i,8.7526e-05-0.0010213i,-0.0002589-0.00037374i,-0.00046031-0.00039524i,-0.00024163-0.00067085i,-0.00044917-0.00041044i,-0.0004832-0.00040044i,0.0001347-1.0772e-05i,0.00042209+0.00043031i,0.00064603+0.00022329i
-0.00053877+0.00027895i,-0.00025394+0.00036146i,0.00035482+0.0006726i,0.00086225+0.00055931i,0.0012549+0.00040732i,0.00040312+0.00021937i,-0.0010862+0.00011849i,-0.0012403+0.00071945i,-0.0012986+0.00075429i,-0.00079843-0.00036872i,8.3463e-05-0.00078372i,0.00069237-0.0002962i,0.00065048-0.00058292i,1.1161e-05-0.00047555i,-1.0032e-05-0.00045856i,0.00023802-0.00067227i,4.4223e-05-0.00018718i,-0.00049491-0.00022934i,-0.00066919-0.00027376i,-0.0002787-0.00043475i,-0.0002772-0.00050805i,-0.0004431-0.00016133i,-0.00083276-0.00034899i
-0.0008349-0.00073722i,-0.00055192+0.00041626i,-0.0012149+0.00045703i,-0.0012544+0.00031462i,-5.2526e-05+0.00023021i,0.00053099+0.00023519i,-0.00026492+0.00044649i,-0.00029741+0.00060108i,-0.00040327+0.00026553i,-0.00061747-5.876e-05i,-0.00076072-3.7646e-06i,-0.00071739-0.00044436i,-0.00022048-0.00021631i,0.00060837-5.0879e-05i,0.00071376+3.4934e-05i,0.00011442-0.00011408i,-1.4872e-05-0.00080363i,-0.00026288-0.0011324i,-0.0012159-0.00068629i,-0.0011247-0.00053932i,-0.0006403+0.0001927i,-0.00027834+0.00038739i,6.5913e-05+2.0786e-05i
-0.0010066-0.0013111i,-0.0015702-0.0013588i,-0.0016814-0.0017107i,-0.00048788-0.0016617i,0.00013974-0.00091555i,-0.00040836-0.00079926i,-0.00071239-0.00061267i,-0.00096911-0.00062088i,-0.00077054-0.00063589i,-0.00073077+2.734e-05i,7.0466e-05+0.00058238i,0.0014205+0.00018708i,0.0018351-0.00073495i,0.0012399-0.00051932i,0.00061339-9.486e-05i,0.0002024+0.00015569i,-0.00027274+0.00042108i,-0.00031815+0.00021376i,-0.00048826-0.00057634i,-0.00096301-0.00042172i,-0.00066655+0.00060397i,-8.8964e-05+0.00045844i,0.00017564-0.00029889i
-0.0004625+0.00034286i,-0.00051012+0.00011197i,-0.0012208+0.0010653i,-0.00072374+0.0013138i,0.00020991+0.0006924i,0.00054157+0.00075642i,-0.00047468+0.00069231i,-0.0011363+0.00024391i,-0.00098065-9.8644e-05i,-0.0011131-0.00059386i,-0.00047694+5.2387e-06i,0.00062906+0.00041098i,0.00059484-0.00044971i,-6.1157e-05-0.000371i,-0.00020736+6.9343e-05i,0.00011483+0.0003643i,8.835e-05+0.00013296i,-0.00027849+2.0137e-05i,-0.00084047+0.00055066i,-0.00087051-5.9952e-05i,-0.00044653-0.0005852i,-0.00019322-0.00059173i,0.00028817-0.00077151i
-0.00085005-0.00082624i,-0.00019776-0.00059527i,-0.00042049+8.2954e-05i,2.6866e-06+0.00042351i,0.00085629+0.00015863i,0.0012667-4.0999e-05i,0.00035963+0.00017056i,-0.00067809+1.6141e-05i,-0.0011282-0.0001384i,-0.0013382-0.00045644i,-0.00081293-0.00059718i,-0.00044093-0.00067057i,-0.00013406-0.0008454i,-0.00013755-0.00077999i,-0.00044923-0.00061004i,-0.00066026-0.00042052i,-0.00058115-0.00051241i,0.00011981-0.00023i,0.00041743-0.00042553i,0.00037844-0.00072529i,0.00065381-0.00094609i,0.00020652-0.00062281i,-0.00019356+0.0001617i
-0.00042866-0.00033451i,-0.00044316-2.8064e-05i,-0.0013078+0.00010322i,-0.00061256-0.00013299i,0.00064979-0.00083483i,0.00056653-0.001358i,-0.00065223-0.00063431i,-0.0010798-0.00031436i,-0.00035066-0.00013976i,0.0001443-0.00035235i,-0.00030833-0.00066257i,-4.245e-05-0.00068959i,0.00093717-0.00064217i,0.0012356-0.00067846i,0.00033646-0.00049386i,-0.00016547-0.00030614i,0.00014283-0.00060893i,-9.257e-05-0.0011179i,0.00022212-0.00090605i,0.00084576+0.00012144i,0.00023135+0.00052132i,-0.00061389+2.3883e-05i,-0.00017529-0.00028634i
0.00060229+0.0016373i,0.00032054+0.0015063i,-9.5413e-05+0.00028133i,1.6587e-05-0.0010157i,0.00092205-0.0017392i,0.00025678-0.0020804i,-0.0017626-0.0011979i,-0.0021467-9.4734e-05i,-0.0015397-0.00058695i,-0.0009536-0.001174i,-0.00097951-0.00054303i,-0.00052082-0.00066769i,0.00052937-0.0010218i,0.00068257-0.00018457i,0.00056929+0.00011551i,0.0012089-0.00029726i,0.0011508-0.00062188i,0.00023694-0.00052103i,-0.00031648-0.00064449i,-0.00032914-0.00061118i,0.00019062-0.00046517i,0.00072831+3.4228e-05i,0.00094237+4.7023e-05i
-0.0014257-4.028e-05i,1.201e-05+0.00042309i,0.0010631+0.00019154i,0.0016617+0.00033882i,0.0014784+0.00011816i,0.00052965-0.00054183i,-0.00085436-0.00033421i,-0.0017033+0.00021971i,-0.0018571-1.4647e-05i,-0.0015226-0.00020227i,-0.00034514+3.7193e-05i,-3.3004e-05+0.00022551i,-0.00012581-0.00016212i,0.00015909-0.00047365i,-6.8453e-05+9.2168e-05i,-0.0002312+0.00015071i,-0.00015695-0.00038028i,0.0001122-0.0012874i,0.0005177-0.0010777i,0.00039434-0.00039629i,1.7382e-05-0.00015666i,0.00038003-0.00018153i,0.00085122-0.0001959i
