0.00092138+0.0018015i,0.0013336+0.00063833i,0.0016838-0.00075473i,0.001397-0.0012866i,0.0010223-0.00071344i,0.0012039-0.00039715i,0.00039085+5.3326e-06i,-0.00048381+0.00028599i,0.00022951-0.000246i,0.00065631-4.8157e-05i,0.00028195+0.00036839i,0.00019755-0.0004045i,0.00056911-0.0012998i,0.00031785-0.0013925i,-0.00022882-0.00057491i,-0.00028951+0.00046497i,0.00011186+0.00076901i,0.00053841+0.00058984i,0.0008989+0.00019059i,0.00041418-0.00045854i,8.3324e-05-0.00025673i,-0.00015413-0.00035544i,-0.0010023-0.00096785i
0.00054714+0.0022734i,0.0019354+0.0010998i,0.0022777+0.00077947i,0.0015725+2.307e-05i,0.00064607-0.00022211i,0.00018602-0.00032989i,0.0001241+0.00012063i,0.00025096+0.00099662i,0.00070079+0.0014575i,0.00077607+0.0010522i,0.00042574+0.0001684i,-0.00056795-0.00025187i,-0.00019889-0.00033902i,4.4782e-06-0.00025632i,-4.4561e-05+7.9698e-06i,0.00049895-0.00014917i,0.00018972-0.00012271i,-0.00044493+0.00027372i,-0.00077175-3.9149e-06i,-0.00018413-0.00051657i,0.0004431-0.00043528i,-9.8324e-06-0.00026659i,-0.00028519-0.00080891i
0.0013271+0.0016805i,0.001148+0.00080471i,0.00063235+0.00025582i,0.00028574-0.00043485i,0.00044736-0.00038632i,0.00055027+0.00025444i,0.00047402+0.00072905i,-0.00020951+0.0011271i,-0.00087481+0.00011441i,-0.0006329-0.0010125i,-0.00036019-0.001238i,-0.00034863-0.00083308i,-0.00095857+9.4475e-05i,-0.001373+0.00034994i,-0.00044286+2.7206e-05i,0.00058747-0.00025708i,0.00043649+7.9641e-05i,-0.00058683-0.00014453i,-0.00036953-0.00015593i,-5.1002e-05+0.0010986i,-0.00048554+0.0012759i,-0.00013772+0.00087407i,-0.00022608+0.0007194i
0.00085546-0.0018222i,0.001681-0.0025433i,0.0015123-0.0019113i,-3.3852e-05-0.0010295i,-0.0011945-0.00039684i,-0.0010164-0.00025692i,1.0481e-05-0.00071632i,0.00039127-0.00024765i,-0.00016552+7.7455e-05i,-0.00065776+0.000166i,-0.00060627+2.5658e-06i,0.0001623-0.00058989i,0.00030166-9.0652e-05i,0.00061363+0.00038254i,-7.9848e-05+0.00027542i,-0.00041513-0.00028587i,0.00050357-0.0010955i,0.00084778-0.00091836i,0.0015025+1.4345e-06i,0.0021356+0.00036292i,0.0010057+0.0003884i,0.00062807+0.00035505i,0.000656+0.00025251i
0.00017466+0.0015069i,0.00047696+0.0012341i,0.00050396+0.0013786i,0.00048009+0.00067862i,0.00080342+0.00011227i,0.00077737+0.00021921i,0.00035366+0.00057875i,-0.00041188+0.00031917i,-0.00044081-0.00011513i,0.00018356+0.00046146i,0.00013922+0.00055219i,0.00021137-0.00028854i,0.00080915-0.00048438i,0.0010441-0.00032773i,0.00037151+1.0302e-05i,0.0003001-0.00021137i,0.0002681-0.0010291i,0.00020251-0.00093438i,-0.00020915-0.00028124i,-0.00084581-0.00037244i,-0.00012957-0.00094764i,0.00081953-0.0010501i,0.00063054-0.0006769i
0.00042886-0.0019422i,0.00081146-0.00047074i,-0.00031375+0.00015771i,-0.0021813-0.00014429i,-0.002617+0.00055036i,-0.0020413+0.0009559i,-0.00064574+0.00060315i,0.0003876+0.00060268i,0.00024073+0.00017467i,0.00039874-0.00033113i,0.00037468-0.00052166i,0.00025598-0.0004323i,-9.8632e-05+0.00056015i,-2.0211e-05+0.00047951i,0.00073888-0.00042495i,0.00040153-0.00091435i,-0.00011622-0.00086749i,0.00017619-0.00077204i,0.0002291-0.00051962i,-0.00091091-0.00024615i,-0.0011071-0.00039293i,0.000122-0.0012338i,0.0010155-0.00071569i
0.00032505-0.0020806i,0.00049338-0.0010074i,0.000395-0.00075839i,-0.00047914-0.00046806i,-0.0013048+0.00035433i,-0.0011203+0.00088753i,-0.00056414+0.00071531i,-0.0009367-0.00014292i,-0.00094113-0.00046477i,0.00017712-1.1593e-06i,-0.00030923-0.00012223i,-0.0010577-8.2448e-05i,-0.00035029+0.0004639i,-0.00036091+0.00036888i,-0.00018282-1.3858e-05i,0.00077061+9.0108e-05i,0.0010235+0.00037524i,0.00033549+0.00027456i,0.00038056+0.00015674i,0.00035093-0.00065513i,-0.0003371-0.001365i,-0.00039175-0.0009237i,0.00028465-0.00074326i
0.001262-0.00043899i,0.00074452-0.00072022i,0.0010518-0.0010362i,-0.00023513-0.00069353i,-0.00098876-2.812e-05i,-0.000516-0.00030868i,-0.00036812-0.00028382i,-0.00047345+0.00055957i,-0.00070818+0.0013317i,-0.00043693+0.0010057i,8.9961e-06+0.00049694i,0.00024329+0.00056578i,0.00020374+0.0014281i,-2.8231e-05+0.0012812i,-0.00043795+0.00032465i,-0.0005294-0.00032558i,-0.00033319-0.00045971i,-0.00050159-0.00022582i,-0.00028566+0.00018624i,-0.0003925+0.00065788i,7.5348e-05+0.0011076i,0.00099303+0.00037994i,0.00066671-0.00050932i
-0.00051419+0.00046844i,-0.0002966+0.00090018i,0.00029619+0.00092638i,-0.00035943+0.00050344i,-0.00077518+0.00088112i,-0.0012725+0.00059336i,-0.0012985-0.00080942i,-0.0012593-0.00089576i,-0.0011151-0.00012346i,-0.00064795+0.00012925i,-0.00063355+0.00024749i,-0.00044123+0.00022237i,-3.0738e-05+2.0292e-05i,-0.0005121-0.00013171i,-0.00075505-0.00028376i,-0.00019724-0.00025888i,-0.0003693-0.00023601i,-0.00065181+0.00039288i,0.00010827+0.00091863i,0.0007526+0.00078553i,0.00017189+0.00037441i,8.624e-05+0.00013412i,0.00050148-0.00017921i
0.00068428+0.0008412i,0.0010755+0.00049769i,0.001543+0.00020902i,0.00050013-0.00029335i,-0.0005831-0.00026718i,-0.00033377+1.0815e-05i,0.00054483+0.00061613i,0.0010908+0.0007896i,0.00099118+0.00084001i,0.00055896+0.00050595i,-4.5134e-05+0.00029971i,-0.00070338+7.3885e-06i,-0.00045892-0.00083842i,0.00033967-0.0007831i,0.00011493-0.00015726i,-0.00058908-0.00068176i,-1.464e-06-0.00045683i,0.00029474+0.00031769i,-0.00018987+0.00018252i,-0.00027001+0.00010854i,-1.0751e-05-4.8902e-05i,0.00017278-0.00064358i,0.0002386-0.00050437i
