-0.0019703+0.0021082i,-0.00097996+0.0017659i,-0.0013544+0.00051801i,-0.00056778+0.00062988i,0.00017808+0.0017485i,0.00034042+0.0015343i,0.00041473+0.0010377i,0.00067149+0.00086876i,0.0009448+0.0010296i,0.00071217+0.00060708i,-0.00011968+0.00032657i,-0.0007189+0.00024978i,-0.00058789-0.0002481i,8.5543e-05-0.0010619i,-0.00016586-0.0013409i,-0.0002954-0.00012174i,-0.0004351+0.0010538i,-0.00020849+0.0014468i,0.00068581+0.0013639i,0.00070277+0.0010425i,4.4892e-05+0.00084121i,-0.0003739-0.00016111i,0.00012976-0.0012162i
-0.00020859-0.0025368i,-0.001317-0.0020768i,-0.0017683-0.0012523i,-0.0015849-0.0001205i,-0.0012834+0.00050667i,-0.00045403+0.00023095i,0.00091442+7.0412e-05i,0.0011605-0.00039612i,0.00020786-0.00063791i,-0.000308+0.00025864i,-0.0002191+0.0010524i,0.0001449+0.0011981i,0.00046298+0.00047825i,0.00069967-0.00016789i,0.00077971-0.00079618i,0.00024194-0.0014915i,-0.00078294-0.00084745i,-0.0013358+0.00019839i,-0.00042454+0.00027353i,0.00091491+0.00046872i,0.00088953+0.00083901i,5.8004e-05+0.0010077i,-0.00058983+5.5688e-05i
-2.0402e-05+0.0019549i,0.00083428+0.0013852i,0.0012264+0.0010117i,0.00052907+0.0011234i,0.00018165+0.00056578i,0.00074281-0.00092863i,0.00076705-0.00079857i,0.00022181-6.8661e-05i,7.204e-05+0.00035461i,0.00024756+0.0004834i,-0.00032703-0.00015876i,-0.00038358+0.00013481i,-0.00054055+0.00063112i,-0.00093083+0.00096526i,-0.00092119+0.00036954i,-0.00038519-0.00027519i,-2.4633e-05-0.00039097i,-0.0002716-0.00045666i,-0.00074497-5.6823e-05i,-0.00079428+0.0003551i,-0.00039301+0.00068179i,-0.00011989+0.00079584i,-0.00023079+0.00085832i
0.0013272-0.0012936i,0.00030475-0.00073179i,0.00058288+0.00025105i,-2.6337e-05-0.00016694i,-0.00067023-0.00093708i,-0.00066769-0.00072072i,-0.0011206-0.0008288i,-0.00076707-0.0005932i,0.00013923+5.038e-05i,0.00032377-0.00040421i,0.00020146-0.00062806i,-0.00023313+0.0001512i,-0.00072066+0.00021336i,-0.00035978-0.00024738i,-2.9809e-05-0.00063267i,-0.00010773-0.00046964i,-6.0427e-05-0.00045765i,5.202e-05-0.00060593i,0.00070254-0.00030167i,0.00065157-0.00018732i,0.00042803-0.00063316i,0.00023838-0.00070842i,0.0002743-0.00019664i
0.00017642+0.0015251i,0.0012884+0.0021744i,0.00036657+0.0030588i,0.00079005+0.0028395i,0.001728+0.0019474i,0.00098216+0.0017003i,0.00011068+0.0010582i,-0.00029996+0.0002096i,-0.00060976+0.00012637i,0.00015706+0.00061903i,0.0011967+0.0011993i,0.00082178+0.00087117i,0.00038414-0.00036786i,0.00032472-0.0006353i,2.2937e-06+0.00023868i,0.00027087+0.00052659i,0.00085438+0.00045909i,0.00087165-6.298e-05i,0.00023605-0.00077557i,-2.5404e-05-0.0014717i,0.00012697-0.0015143i,-9.4696e-05-0.0008983i,-0.00031354+6.7436e-05i
-0.0026554-0.00075788i,-0.0027999-0.00067708i,-0.0027112-8.6183e-05i,-0.0031817+0.00076696i,-0.0018065+0.00093316i,0.00026512+0.0013022i,0.0009907+0.00083321i,0.00068718-0.00064637i,0.00046074-0.0006913i,1.2401e-05+0.00027755i,-0.00042349+0.00047723i,-4.9051e-05-0.00015678i,0.00028451-0.00080044i,-0.00027929-0.0015772i,-0.00068228-0.0014719i,6.1357e-05-0.00060485i,0.00037231-0.00024412i,-2.0812e-05+0.0002564i,9.5783e-05+0.00024606i,9.3991e-07-1.1354e-05i,-0.00025713-5.6353e-05i,-0.00058454-0.00011544i,-5.7515e-05-7.1524e-05i
0.0029686-0.0019122i,0.0022676-0.0036384i,0.0019403-0.0035727i,0.00064407-0.0019003i,-0.0012624-0.001069i,-0.0020148-0.00035037i,-0.0018531+1.8712e-05i,-0.0012009+9.1528e-05i,-0.00081647+0.00073257i,-0.00086532+0.0003589i,-0.00069007+0.00010373i,0.00018875+0.00026932i,0.0006648+0.00017271i,0.00069455+0.00082941i,0.0011636+0.00068872i,0.00066913+0.00017412i,-0.00023731+0.00035164i,-0.00011233+0.00030707i,0.0003456-0.00012448i,0.00065492-0.00037957i,0.00065208-0.00028038i,0.00089045+7.931e-05i,0.00033689+0.00065439i
0.0006111+0.00083325i,0.00078715-0.00018777i,0.00087387-0.00098205i,0.00030324-0.0017158i,-4.7673e-05-0.0023905i,-0.00097693-0.0020467i,-0.0015478-0.00090191i,-0.00079283-0.00059531i,0.00026609-0.0014361i,0.00097941-0.0014211i,0.00089337-0.00042153i,0.00057922+0.00028627i,0.00063902+0.00065426i,0.00010071+0.00069506i,-0.00041532+0.00042274i,-0.00015054+0.0003719i,0.00049472+0.00049935i,0.00077581+0.00031883i,0.00050582+0.00054504i,0.00047257+0.000598i,0.00052321+0.0004186i,0.00014168+0.0002592i,0.00031713+8.9619e-05i
-0.00030421-0.00052619i,0.00016673-0.00031666i,0.00082763+0.00042747i,0.0011045+0.00068014i,0.0010502+0.00040085i,0.0002703-9.5688e-05i,-0.00025874-7.3657e-05i,0.00015492+0.00042511i,0.00014934+0.00056009i,0.00036888+7.3434e-05i,0.00026963+0.00018803i,-0.00036237+0.00019771i,-0.00035754-0.00053484i,-8.0387e-06-0.00065597i,-0.00036013-0.00027073i,-0.00046495-0.00014394i,0.00017161-7.962e-05i,0.0006443-0.00026635i,0.00074411-0.00054619i,0.00038679-0.00063164i,2.8945e-05-0.00019612i,0.00036507-0.00027498i,0.00082319-0.0007704i
-0.00068498-0.0010017i,-0.0011094-0.00046901i,-0.0010469-0.0014024i,-0.00097141-0.0011112i,-0.0014747+0.00033059i,-0.001087+0.00060167i,-0.00012098-0.000315i,6.2086e-06-0.0013163i,-0.00049342-0.0012058i,-0.00097279-0.00040234i,-0.00050361-5.7903e-05i,0.00065634-0.00085941i,0.00070597-0.0012118i,5.124e-05-0.0007756i,-0.00040995-3.7931e-05i,-0.00020216+0.00049827i,0.00084763+5.1378e-05i,0.0014845-0.00057819i,0.00092046-0.00044052i,0.00039174-0.00071752i,0.00015475-0.0009625i,-0.00011115-0.00051855i,-0.00020436+0.00038748i
0.0020693-0.00042563i,0.0018453-0.0011383i,0.0017915-0.0015735i,0.00095678-0.0018105i,-0.000609-0.0018808i,-0.0010294-0.0012132i,-0.00059055-0.00049213i,-0.00052833-0.00066033i,-0.00033414-0.0014195i,-5.8699e-05-0.0014368i,-0.0004204-0.00041098i,-0.00044597+0.00073575i,0.00053097+0.001119i,0.0012588+0.00026302i,0.00095715-0.00011811i,7.3506e-05+0.00033479i,-0.00029897+0.00060358i,1.1457e-05+0.00043931i,7.9252e-05+0.0001298i,-0.00010091+8.4795e-05i,0.00044038+0.00034858i,0.00092672+0.00077374i,0.00028113+0.0010093i
-0.0018631-0.00011104i,-0.0017996+0.00048808i,-0.0013658+0.00071451i,-0.00071358+0.00043286i,-5.1935e-05-8.4127e-05i,0.00072544-0.00042031i,0.00082021-0.00032297i,0.00053524-0.00082787i,0.00030753-0.00099676i,0.00059962-0.00015472i,0.0010561+0.00020639i,0.00065022+0.00051061i,-0.00013679+0.00078732i,-0.00047409-7.9668e-06i,-3.2301e-05-0.00060939i,-2.0338e-05-0.00020381i,0.00039951+0.00087945i,0.00077743+0.00039318i,0.0012843-0.00072199i,0.0011585-0.00093694i,0.00050391-0.0007278i,0.00037679-0.0003057i,0.00034326-9.4338e-05i
0.00036958-0.001296i,0.00033904-0.00032595i,-0.00023554-0.00039112i,-0.00099839-4.4286e-05i,-0.00087894-0.00014863i,-0.00074066-0.0002914i,-0.0010152-2.7546e-05i,-0.0012353-0.00057209i,-0.0007329-0.001241i,-0.00015183-0.00052691i,0.00026451+5.13e-05i,-0.00030538-4.4275e-05i,-0.00031326+0.00026351i,0.00030603+0.00025434i,0.00032284+0.00039736i,0.00028917+0.00049825i,0.0002417-0.00042552i,-5.448e-05-0.0011759i,-0.00036019-0.0009963i,0.00045189-0.00021109i,0.00082893+5.1567e-05i,0.000939+0.00016085i,0.00013871+0.00044641i
-0.00099144-0.00041924i,-0.00049738+0.0006828i,-0.00041488+0.00092469i,-0.00066555+0.00080459i,-0.00042065+0.0014653i,-7.2372e-05+0.00039564i,0.0002849-0.0007249i,0.00065891-0.00092593i,0.00032897-0.00065535i,-0.00032109-5.463e-05i,-0.00019587-0.00031036i,4.7525e-05+0.0002979i,1.691e-05+0.0016002i,0.00016538+0.0013804i,0.0005592+0.00011734i,0.00039691+0.00033365i,-0.00029269+0.00085961i,-0.00059062+0.00046626i,0.00011676-5.4059e-05i,1.9136e-05+0.00041743i,-0.00074674+0.0010135i,-0.00033902+0.00018936i,0.00018657-9.5183e-05i
-0.0012908-0.0020025i,-0.0017777-0.0010489i,-0.0022249-0.0011252i,-0.0018419-0.00060069i,-0.0016413+0.00041966i,-0.00084062+0.0003495i,0.0005723-0.00071204i,0.0011595-0.0010204i,0.00073234-0.00057662i,-0.00039382-0.00037431i,-0.00072733+0.00050701i,0.00012351+0.00064886i,0.00065014+0.00065391i,-3.5753e-05+0.00057019i,-0.00096616-2.7523e-05i,-0.00060194-8.088e-05i,0.00025782-8.744e-05i,0.00023216-0.0011537i,6.1074e-05-0.001096i,-2.0858e-05-0.00029542i,-0.00097327-0.00021326i,-0.0014311-0.00051518i,-0.0010962+0.00017513i
0.0023923-0.0010887i,0.0015461+0.0001319i,0.0015702+0.00026082i,0.00021044-0.00025015i,-0.0015459-0.00020871i,-0.0013161+0.00014654i,-0.00047802-0.00052297i,0.00087669-0.0011753i,0.00068147-0.00049557i,7.3666e-05-0.00043064i,0.00036139-0.00049192i,5.182e-05+0.00011582i,0.00013969-8.71e-05i,0.00045203-0.00024081i,0.0002286+0.00037308i,0.00030643+0.00029987i,0.00037196-0.00022751i,0.00060198-0.00032732i,0.00052737-0.00010868i,9.6927e-05-0.00014914i,-0.00021682-0.00031836i,-0.00035343-0.00075222i,-0.0003136-0.0013263i
0.0010064-0.00021635i,-0.0004855-0.00017603i,-0.0012589-0.0010442i,-0.00074012-0.0012036i,-0.00045163-0.0011431i,-0.00070733-0.00084158i,-0.00031638-9.3683e-06i,0.00023945-2.7051e-05i,0.00011889-0.0003368i,0.00010533-0.00062632i,0.00019586-0.00032249i,0.00098798+0.00032654i,0.0014191+0.00041243i,0.00014621-4.723e-05i,5.753e-05-0.0010639i,0.00091025-0.0013286i,-0.0001871-0.00081413i,-0.00062994-0.00049507i,0.00051759-0.00013958i,0.00028555-6.5068e-05i,-0.00037032+0.00050996i,-0.00031003+0.00072865i,-0.00018572+0.00030414i
0.00031346+0.0031949i,0.0014445+0.0023911i,0.0028497+0.0027491i,0.0028886+0.0021214i,0.0030951+0.00021444i,0.0020809-0.0010764i,0.00054716-0.0012849i,0.00029353+3.9148e-05i,-0.00014679+0.0006831i,-0.00021022-0.00047362i,0.00071363-0.00079477i,0.00029709-0.00035491i,-0.0001334-0.0001532i,-0.00020699+0.00024588i,-2.1388e-05+0.00015875i,0.00043016-0.00030197i,-7.7744e-05+6.0163e-05i,-0.00018599+0.00025376i,0.0006214-0.0001916i,0.0014381+3.7029e-05i,0.0009818+0.00058248i,1.1574e-05+0.00034995i,-0.00043326+0.00061739i
0.00014973-0.0016299i,-0.0013688-0.0014684i,-0.0018363-0.00088342i,-0.002266-0.00032052i,-0.0023263-0.0001875i,-0.0017321+0.00079723i,-0.00080842+0.0007169i,1.0652e-05-0.00020543i,0.0005621-0.00047502i,-0.00018573-0.0004362i,-0.00064146-3.919e-05i,-0.00027985+0.00026494i,0.00022575+2.1901e-05i,0.00037063-0.00036981i,-0.00026273-0.00041964i,-0.00068156-7.536e-05i,-0.00054744+0.00035733i,-0.0003913-0.00019397i,-0.00052573-0.00013098i,-0.00061078-0.00024395i,-3.7712e-05-0.0008877i,0.00024815-0.00049056i,0.00025972-0.00061599i
0.00035438-0.00024487i,0.0008394-0.00092746i,-0.00014594-0.00056198i,-0.0013541+0.0003043i,-0.0011086+0.00037565i,-0.00020611-0.0001042i,-0.00018253-0.00058014i,-0.00082898-0.00071235i,-0.00041666-0.00011895i,9.9982e-05+0.00019038i,9.5602e-05+0.00032785i,0.00025233+0.00050873i,0.00016051+0.00086242i,0.00011508+0.0009008i,6.3954e-05+0.00032596i,-0.0001785+0.00039547i,-0.0003093+0.00016169i,-0.0002253+0.00012217i,-0.00025936+2.988e-05i,8.9996e-05+0.00014166i,0.00053908-0.00044758i,0.00061578-0.001022i,0.00049489-0.00025534i
-7.6724e-05-0.0013042i,-0.00063986-0.0017286i,-0.00078912-0.0020718i,-0.0012666-0.0015956i,-0.0015045-0.00063067i,-0.0013076+9.4296e-05i,-0.0002825+9.428e-06i,-4.4716e-05-0.00084997i,-0.00032358-0.0012562i,9.2683e-05-0.00078214i,8.0752e-06-0.00042143i,-0.00068479-7.1938e-05i,8.3383e-05+0.00012735i,0.0012112+4.5929e-05i,0.00013621-0.00046455i,-0.00081363-0.0012108i,-0.0004163-0.0011681i,-0.00044003-0.00011434i,-0.00021531+0.00051528i,2.0701e-05+0.00019089i,-0.00040935-0.00013131i,-0.00052611+0.00024203i,-0.00025918-8.8462e-05i
0.00071344+0.00013013i,0.0011333-0.00021462i,0.0013467+0.00050482i,0.00052121+0.00087793i,0.00047053-0.00023679i,0.00044189-0.00068827i,0.00082401-0.00015762i,0.00041878+0.00016184i,-0.0005085+0.00060224i,-0.00035609+0.00061749i,0.00054842-6.2257e-06i,0.00090851-0.0010882i,0.00068846-0.0013997i,0.0004722-0.0007124i,0.00034226-0.00046121i,3.4255e-06-0.00022179i,0.00036538+0.00047104i,0.00035825+0.00037605i,-7.9814e-05-0.00021061i,-2.5046e-05+9.2398e-05i,0.00015396+0.0010798i,0.00070412+0.00086656i,0.00029618+0.00049266i
-0.00055228+0.00054259i,-0.00065197+0.0016391i,0.00049875+0.0011032i,0.00034558+0.00038066i,-0.0010285+0.00038486i,-0.00093611+1.7857e-05i,-0.00057701-0.00016071i,-0.00010405-0.00026783i,0.0004488-0.00066778i,0.00060029-0.00069769i,0.00055791+0.00027369i,0.00090849+0.00088637i,0.0010155+0.0010093i,0.0005236+0.00062154i,0.00051584+9.4793e-05i,0.00031246-0.00021319i,-0.00030144-0.00063435i,-0.00042762-0.00077245i,-0.00010528-0.00049094i,0.00020967+2.1908e-06i,0.00041095+0.00032237i,-0.00039631+0.00038021i,-0.00012804+2.0149e-06i
0.0010072-0.0014759i,0.00077602-0.0025119i,-0.00037478-0.0018801i,-0.00052952-0.00089581i,0.00029627-0.00062514i,0.00016268-0.00021331i,-0.00033663-0.00027892i,-0.00028229-0.00043318i,0.00012774-0.00037517i,0.00092405+0.0004366i,0.0010484+0.00068829i,0.00089094+0.00076644i,0.0013427+0.00099708i,0.0015668+0.00080451i,0.0012977+0.00046187i,0.00084516+0.00019368i,0.00058969-0.00040607i,0.00035031-0.00041824i,0.00024929+5.3653e-05i,0.00018201+9.7209e-05i,0.00017022+0.00029272i,-0.00012257+0.0002335i,-0.00023508+0.00032711i
0.0018108+0.000955i,0.001504+0.00075148i,0.0019558+0.0003656i,0.002492-1.8248e-05i,0.0014261-0.00067077i,-0.00048114-0.00078776i,-0.00051272-0.00019598i,-0.00029134+0.00056696i,-0.00023623+0.0010682i,-0.00026437+0.00016361i,-0.00075232+0.00034766i,-0.00083721+0.0010156i,-0.00019569+0.00080712i,0.00015872+0.00070918i,0.00010734+0.00035636i,0.00070117+0.00023512i,0.0009221+0.0004387i,-3.3555e-05+0.0004665i,-0.00088146+5.1278e-05i,-0.00051284-5.4627e-05i,0.00028651+0.00021892i,0.00038375+0.00028717i,0.00023109+0.00064109i
0.00026143+0.0011971i,0.0002289+0.00016645i,-0.00060976+0.00054981i,-0.00035505+0.00059803i,0.00032261-0.00072989i,0.00072481-0.00083894i,0.00051656-0.00030703i,0.00063728-0.00088608i,0.00099307-0.0016398i,0.00071245-0.00092823i,-0.00023806-0.00030035i,-0.0002774+0.00014106i,0.00014802+0.00055612i,0.00016951-0.00030138i,-0.00070744-0.0011872i,-0.00073771-0.000559i,0.00027334+0.00033169i,0.00092666+9.271e-05i,0.0015584+0.00013601i,0.0013316+0.0012492i,0.00078258+0.0010605i,0.00032968-8.8423e-05i,0.00025985-0.0004434i
-0.00089186+0.00066514i,-0.00082737+0.00030496i,-0.0013251+0.0002724i,-0.00060963+0.00049341i,0.0005197+0.00091848i,0.00037953+0.00041546i,0.00019688-0.00066259i,0.00033641-0.00038501i,0.00039576+0.00064869i,0.00072831+0.00082519i,0.0009675+0.00083097i,0.00071341+0.00020687i,0.00048662-0.0003727i,0.0002637+2.7597e-05i,0.00018364+0.00027615i,0.00015239+0.00012429i,2.7749e-05+0.00038113i,0.00044637+0.00044852i,0.001047+0.0001952i,0.00015571-0.0003475i,-0.00081576-0.00040055i,-0.00079856+9.8834e-05i,8.7119e-05-3.5261e-05i
0.0025345-0.0011129i,0.0016652-0.0022178i,0.00015123-0.002762i,-0.001257-0.0027851i,-0.0011929-0.0015761i,-0.00070658-0.00052908i,-0.00047204-0.00038539i,1.9906e-05-0.00046739i,-0.00020805-0.00064223i,-0.00067616-0.00032143i,-0.00082956+0.00052984i,-0.00045007+0.00062511i,0.00034021+0.00021071i,0.00017813+0.00012438i,-0.00042993+0.00038843i,0.00022139+2.0272e-05i,0.0011082-5.9028e-05i,0.00050327-2.4139e-05i,-0.00038781-0.00026473i,-0.00010874-0.00049793i,0.00027466-0.00037208i,0.00032366-0.00010755i,8.9529e-05-1.3765e-05i
-0.0015663+0.00034022i,-0.0014366+0.00041307i,-0.00073586+0.00063616i,6.9503e-05+0.0012219i,0.00021147+0.0021242i,0.00058071+0.0016185i,-0.0001094+0.00079069i,-0.0008597+0.00036762i,-0.0007578+0.00025911i,-0.00032243+0.00062614i,0.00084486+0.00056161i,0.001102-0.00023635i,0.00037756-0.00093606i,3.1397e-05-0.0013624i,-0.00068488-0.00042127i,-0.0010718+0.00013188i,-0.00047457-0.00068142i,0.00010781-0.00079701i,0.00026583-2.961e-05i,0.00015946+0.00044589i,0.00033766+0.00051887i,0.00069665+2.6464e-05i,0.00071039-0.00023482i
0.00016036-0.00079788i,3.9937e-05-0.00055434i,6.3842e-05-0.0008529i,-0.00054364-0.0006698i,-0.00056252-0.00042154i,-0.00062613-0.00048489i,-0.00032986-0.00082944i,-0.00038343-0.00092559i,-0.0010109-0.00074256i,-0.00069901-0.00048665i,0.00041434-0.00011919i,0.00058679+0.00017662i,0.00014674+0.00040992i,0.00017315+0.00049941i,0.00027009+0.00012045i,0.0004534-0.00057719i,0.00024208-0.00044317i,-0.00060954-0.00034197i,7.8336e-07+0.00046686i,0.00061946+0.00099842i,0.00013018+0.00095954i,-0.00053844+0.0006062i,-0.00063938+0.0003138i
0.00092723+0.0015538i,0.0010746+0.00090063i,0.0013354+0.00036334i,0.00046745-1.9085e-06i,-0.00025022-0.00053922i,-0.0007234-0.0010605i,-0.00080446-0.0011847i,-0.00033717-0.00048298i,0.00046179+0.000521i,0.00066382+0.00055332i,0.00010859+0.00020523i,1.3599e-05+0.0004386i,0.00013434+5.7578e-05i,0.00014739-0.00072154i,7.7113e-05+0.00015784i,0.00037236+0.00089143i,0.00048324+0.00015639i,8.1807e-05-0.00041847i,2.7684e-05-0.00072324i,-8.9267e-05-0.0010138i,8.0926e-05-0.00074515i,0.00042584+0.00011275i,0.00051779+0.00046378i
0.0014372+0.00062395i,0.0017922-0.00060834i,0.0018903-0.0012933i,0.00056934-0.0021689i,-0.00054261-0.0018303i,-0.00045637-0.00012226i,-0.00033572+0.00012376i,-0.00065761-3.4883e-06i,-0.00059364-9.5606e-05i,-1.794e-05+0.00010335i,-0.00012334+0.00054114i,-1.7331e-05+0.00079516i,0.00028471+0.00040614i,-0.00046683-0.00028487i,-0.0011506-8.3376e-05i,-0.00076674+0.00028685i,6.589e-05+0.00012887i,0.00039086-0.00021023i,0.00017675-0.00010972i,0.00019417+0.00021262i,0.00051383+0.00053371i,-0.00019476+0.0006865i,-0.00014722+0.00088676i
