-0.0014813-0.00062558i,-0.00059578-0.00067284i,-0.00037504-0.00032552i,-0.0015089+0.0011487i,-0.0019874+0.0019465i,-0.0014372+0.0011723i,-0.00068116+0.00046855i,0.00094747+0.00088064i,0.0020655+0.0014607i,0.001985+0.00088582i,0.0015059+0.00024117i,0.0014155+0.00045252i,0.001305+0.00054583i,0.00095327+3.0717e-05i,0.00053166-0.00031379i,-0.0004194+0.00019825i,-0.00070459-0.00010795i,-0.00047363-0.00036598i,-0.00044163-0.00058857i,1.3125e-05-0.0011762i,0.0003348-0.00098942i,0.00072229-0.00015266i,0.00048853+0.00019752i
0.0012284+0.00055912i,0.00081391+0.001249i,0.00070047+0.0022589i,0.00047793+0.0026356i,0.00044499+0.0015853i,-9.1831e-05-0.00021572i,-0.00019045-0.00079598i,-0.00036643-0.00049654i,-0.0008803-0.00055532i,-0.00027582-5.8586e-05i,-4.7448e-05+0.00079063i,6.8576e-05+0.00062966i,0.00040464+0.00012909i,0.00030154-0.00026479i,0.00081304+0.00014414i,0.0010623+0.00064859i,0.00099933+0.00017282i,0.0010868+0.00029968i,0.00066912+0.00078086i,0.00010113+0.00027044i,-0.00010325-0.00021812i,7.8707e-05+0.00016096i,-0.00016558+0.00048357i
0.00061242+0.0020933i,0.0011531+0.0021297i,0.00081292+0.0022903i,0.00086695+0.0014792i,0.0013732+0.00086407i,0.0012478-0.00017988i,0.000376-0.00066618i,0.00036052-0.00034331i,0.00077122-0.00061309i,0.00065694-0.0012008i,0.00050557-0.00087093i,0.00030774-0.00010435i,-0.00015716+0.00042256i,-0.00047271+0.00028587i,-0.00048998-0.0002397i,-6.3439e-05-0.00052833i,0.00043852-0.00042143i,0.00064528+6.6361e-05i,0.00074085+0.00023665i,0.0010118+0.00014932i,0.0013+0.0005072i,0.00076438+0.00037778i,0.00015149+0.00021317i
-0.00052627-0.00041269i,0.00066504-6.4877e-05i,0.00080075+0.0013414i,0.00012337+0.0020761i,0.00035115+0.0012961i,0.0011509-0.00073528i,0.00073125-0.0010075i,-0.00012596+9.9567e-05i,-0.00052595-0.00036371i,-0.00047962-0.00071245i,-0.00035988-0.00022927i,-0.00058539-0.00032312i,-0.00045008-0.00026063i,-0.00041021-0.00012507i,-0.00018707-9.9868e-05i,0.00034408+0.0002413i,0.00035204+0.00061608i,-3.0551e-05+0.0001956i,0.00066194-0.00030132i,0.00079616-0.000284i,-0.0002308-0.00026518i,-0.00085609-0.00035495i,-0.00076627+0.00015835i
-0.00057166+0.0010053i,0.00024156+0.001782i,-0.00011544+0.0034135i,0.00034058+0.0034987i,0.0010569+0.0019709i,0.0009771+0.00038044i,0.00074334-0.00069233i,0.00026051-0.00011715i,5.5106e-05+0.00048595i,-0.00032625+6.8507e-05i,-4.3732e-05-0.00041762i,0.00029447-0.00055167i,0.00024595-7.9232e-05i,-0.00016345-3.1952e-05i,-0.00078337-0.00025599i,-0.00061535-0.000272i,-0.0004391+2.2014e-05i,-0.00095083+0.00053783i,-0.00027615+0.00054682i,0.0004106+8.5064e-05i,-6.4713e-05-4.4092e-05i,9.428e-05-0.00013894i,0.00024425-0.00021292i
-9.8501e-05-0.00014672i,0.00040113-0.00046884i,0.0002818+0.00016979i,-0.00036133-1.2706e-05i,-0.00030664-0.00058732i,-0.00014909-0.00054057i,-0.00033287-0.00031283i,-0.00033379-0.00021634i,3.1499e-05-0.00025901i,-0.00018467-0.00031996i,-0.00033677+0.00026096i,-9.1542e-05+0.00047894i,-0.00034202-0.00018621i,-0.00017885-0.00031785i,7.5101e-05-0.00055355i,5.086e-05-0.00060901i,0.00054453-0.00070187i,0.0010813-0.001015i,0.00092483-0.00046255i,0.0004187+1.5582e-05i,-3.9229e-05-0.00045617i,-0.00029366-5.0195e-05i,-0.00045859+0.00024986i
0.00034626-0.0014316i,-0.00088713-0.0016158i,-0.0012245-0.0023517i,-0.00082809-0.00088197i,-6.6524e-05+0.00028638i,5.0977e-05+9.0976e-05i,-0.00065782-0.00055086i,-0.00088936-0.00089875i,-0.00066791-0.00065174i,-0.00086564-0.00030143i,-0.00086892-0.00018269i,-0.00081207-1.1926e-05i,-0.00065071+0.00028497i,-0.00033231-9.0422e-05i,0.00032846-0.00047487i,0.00079917+0.00018294i,0.00078656+0.00106i,0.0010637+0.000931i,0.0013756-4.8979e-05i,0.0013506-0.0003287i,0.00093636-0.00025516i,0.00073227-0.00051953i,0.00034638-0.000657i
0.0020289+0.0014905i,0.0007131+0.001392i,0.00095841+0.00046677i,0.0010562-0.00048038i,0.0012727-0.0010448i,0.00071478-0.00089422i,0.00014553-0.00046223i,0.00013979-6.4154e-05i,0.00036845+8.9546e-05i,0.00061727+0.00023345i,-0.0002143-9.3223e-05i,-0.0011832-0.00041492i,-0.00089984-0.00039029i,-0.00059484-0.00043918i,0.0002027-0.00068798i,0.00067736-0.00091552i,0.00084364-0.00045549i,0.0008395-0.00025429i,0.00070213-6.1143e-05i,0.00075225-4.9617e-05i,0.00045431+0.00022681i,0.00032552-0.00024916i,-4.3913e-05-0.00050385i
-0.0047778-0.0015311i,-0.0036274-0.00011278i,-0.0038538+0.0013029i,-0.0029871+0.0031838i,-0.00099351+0.0044483i,0.00059932+0.0027574i,0.0010045+0.00065398i,2.792e-05+5.2989e-05i,-0.00093707+0.00039714i,-0.00069819+0.00062208i,-0.00030443+0.0012595i,6.9968e-05+0.0017869i,0.00045414+0.00088769i,0.00043635+0.00012054i,0.00054189-0.0001257i,0.00058087+9.1666e-05i,0.00058394+0.0002081i,0.00065518+0.00019561i,0.00077978+0.00031139i,0.00073782+0.00052833i,-6.1827e-05+0.00038689i,-0.00096568+0.00019703i,-0.00085611+0.00017128i
-0.00030291-0.00069335i,-0.00071625+0.00055792i,-0.0014873+0.0015194i,-0.0013365+0.0018069i,-4.3292e-05+0.00089709i,0.00017946-0.00024825i,-0.00036165+6.3126e-05i,-0.00062293+0.0007655i,0.00017942+0.00050709i,0.0012613-0.00043062i,0.00095039-0.00056384i,0.00029255-0.0002189i,0.00095923-3.3844e-05i,0.00073298+0.00089203i,-0.00019721+0.0011314i,0.00055227+0.00041707i,0.0011939-8.3821e-05i,0.00078678-1.1671e-05i,0.00056474+3.7898e-05i,0.00014371-0.00034483i,-0.00022518-0.00024225i,-0.00037116-0.00036534i,-0.00027663-0.00055095i
-0.00038836-0.0012772i,-0.00049016-7.7643e-05i,-0.00039276+0.0018899i,-0.00073286+0.0026825i,-0.00064723+0.0019038i,0.00041083+0.0012911i,0.00061454+0.00037819i,0.00013996-0.00071567i,-0.0002652-0.00078495i,-0.0006058-0.00067169i,-0.00020224-0.00097958i,0.00016246-0.00033605i,-7.6427e-05+2.4224e-05i,0.00015593-0.00015889i,0.00047763-0.00030846i,0.00012432-0.00041632i,0.00011957-0.00028322i,0.0011255+2.5591e-05i,0.0014199+0.00058015i,0.00063855+0.00073333i,0.00048363+0.0001603i,0.00078899-0.00060133i,0.00088267-0.00059044i
-0.0017-0.00077481i,-0.0021583+0.0002432i,-0.0028537+0.0010803i,-0.0030701+0.0016452i,-0.0021046+0.0016247i,-4.9415e-05+0.0010121i,0.00064335+0.00011874i,0.00018431+0.00020399i,-0.00037484+0.0007411i,-0.00028765+0.00073007i,0.00033191+0.00012937i,0.00025833+7.0575e-05i,0.00044652+0.00021846i,0.00077003+9.5853e-06i,-0.00015509-2.8757e-05i,-0.00032279-1.9714e-05i,0.00019258+0.00018238i,-0.00025418+0.00056937i,-0.00051062+0.00055485i,-0.00020877+0.00023664i,-4.9129e-06+0.00036689i,0.00032903+0.0010645i,0.00042799+0.0011624i
0.00020173+0.0010154i,0.0012594+0.00082605i,0.0019611+0.0011355i,0.0019233+0.0011564i,0.0020403+0.00029827i,0.0016193-0.00041317i,0.0012438-0.00096591i,-0.00034246-0.0015648i,-0.0010635-0.00068966i,-0.00024472+8.6802e-05i,0.00015455-0.00019849i,0.00024628-0.00054324i,0.00034506-0.00076952i,2.3594e-05-0.0007025i,-0.00032819-0.00073431i,-0.00092883+8.0199e-05i,-0.0008529+4.4688e-06i,0.00072171-0.00090997i,0.0010583-0.00088538i,0.00085363-0.00067185i,0.0008923-0.00079027i,0.00017006-0.00044671i,-0.0005628+0.00039941i
-0.0018393-0.00041741i,-0.0019136-0.00054259i,-0.0030812+0.00076787i,-0.0024626+0.0021306i,-0.00073719+0.0013349i,7.6595e-05-2.6029e-05i,0.00030866-0.00034642i,0.00013324-0.00057022i,0.00038172-0.0010375i,0.00025061-0.001435i,-0.00018609-0.0010599i,0.00022566+0.00021619i,0.00035422+0.00078569i,0.00050931-0.00012804i,0.00022575-0.00075811i,-0.00033643-0.00040883i,-0.00091194-0.00061852i,-0.00061987-0.00048432i,0.00047081-0.00025355i,0.0013019-0.00069111i,0.0012511-0.0012348i,0.00044373-0.001073i,4.5655e-05-0.00066962i
-0.00054991+0.00025938i,-0.00051225+8.0559e-05i,-0.0002925+0.00094338i,0.00047797+0.0022223i,0.00044458+0.0016666i,9.3083e-05-0.00026188i,4.2641e-05-0.0012058i,-0.00071347-0.00068299i,-0.0010449-0.00086677i,-0.00056503-0.00087778i,-0.00018732-0.00045961i,6.3113e-05+7.3085e-05i,0.00021914-2.3831e-06i,0.00036758-0.00060521i,0.00017604-0.00029068i,-0.00044174-2.7043e-05i,-0.00011399-0.0001325i,0.00067472+7.2579e-06i,0.00081126-2.9989e-05i,0.00098063+0.00031091i,0.0010672+0.00025752i,0.0010444-0.00053885i,0.00075097-0.00085087i
-0.00058111-0.0012041i,-0.0014718+0.00031349i,-0.0019257+0.0011734i,-0.0010551+0.0020029i,-0.00036827+0.0020617i,-0.00080679+0.00082518i,-0.00040479-0.00064544i,8.0325e-05-0.0010218i,-0.00028684-0.00063671i,-0.00034389-0.00024876i,-0.00053738-0.00053994i,-0.0007318-7.416e-05i,-0.00035721+0.00039724i,0.00036713+0.00014868i,0.00061608+0.00016334i,0.00070121-0.00029309i,0.00099499-0.00039368i,0.00061471-0.00021902i,0.00058628-0.00017306i,0.0011064-0.00039326i,0.00079535-0.00046969i,0.00051062-0.00047576i,-3.2662e-05-0.00033843i
0.00056821+0.0015594i,-0.00043062+0.0013675i,0.00022559+0.00059189i,0.0015196+0.00070425i,0.0015419+0.00076147i,0.00077382-7.9687e-05i,0.0007714-0.00093556i,0.00072053-0.00056952i,0.00065325-0.00051294i,0.00025351-0.00060881i,-0.00039064-0.00039556i,-0.0011856-0.00024353i,-0.0010709-0.00023497i,-0.00053612-0.00057294i,-0.0015927-0.00079213i,-0.0013717-0.00046691i,-0.00012214+0.00077774i,-7.504e-05+0.0015445i,-0.00015233+0.00080556i,0.00023407+0.00063764i,8.2704e-05+0.00042077i,0.00014636-0.00045907i,0.00073403-0.00053958i
-8.5687e-05+0.00035736i,4.6136e-05+0.00081566i,-0.00027596+0.0013348i,-0.00069005+0.0015135i,-0.0014042+0.00099703i,-0.0017277+0.00042265i,-0.00090301+0.00025446i,0.00034308-0.00038458i,9.7253e-05-0.0001378i,-0.00034556+0.00014572i,-2.157e-05-0.00059758i,-0.00023142-0.00028855i,-0.0005503+0.00032631i,-0.0001476+0.00027516i,0.00041179-0.00032497i,0.0010516-0.0004955i,0.0010097-0.00016914i,0.00048602-0.00027231i,0.00031065+0.00010772i,0.00098693+0.00010303i,0.00093165-0.00011371i,0.00010473-6.4916e-05i,0.00022358+0.00012872i
0.00050407+0.00035786i,-7.5729e-05+0.00040248i,-0.00014887-1.9953e-05i,0.0012156-0.00051672i,0.001977+8.0076e-05i,0.00094102-0.00016766i,-0.0002026-0.0012245i,-0.000545-0.001759i,-0.00023173-0.0011432i,0.00010884-0.00048109i,0.00074691-0.00052768i,0.00085699-0.00027035i,0.0005133+0.00010477i,0.00044459+0.00024045i,0.00011789+0.00055322i,0.00040469+0.00097636i,0.00099076+0.00054424i,0.00080091-3.622e-05i,0.00022281+3.8835e-05i,5.0043e-05+0.00013647i,3.0061e-05+0.00031799i,0.00037959+0.00037249i,0.00084465+3.2568e-05i
-0.0016429+0.0036056i,-0.0015185+0.003815i,-0.001594+0.0042791i,-0.00049716+0.0032744i,0.0006519+0.0017733i,0.0010934+0.00051062i,0.00090357-2.0379e-05i,0.00024703-0.00052646i,-6.6955e-05-0.00042892i,-0.00082285-0.00028356i,-0.00093872-0.00018305i,-0.00026116+7.2265e-05i,0.00012749-3.3096e-05i,0.00024789-0.00060686i,-0.00010127-0.00028522i,-0.00051953+0.00031689i,0.00028627-0.00037272i,0.00082928-0.00041224i,0.00099895-0.00052893i,0.0019811+0.00011229i,0.0016262+0.0011534i,0.0007422+0.00086994i,0.0011753+0.00016813i
-0.00022693-7.5001e-05i,-0.0010414+0.00075929i,-0.00071591+0.0016488i,0.00068467+0.001734i,0.0015689+0.00094227i,0.0015437+0.0004193i,0.00050278+0.00013209i,-0.00017075+0.00018232i,-0.00078803+0.00025715i,-0.00099554-0.00038461i,-6.251e-05-0.00061905i,0.00036402-0.00022453i,-0.00065801-0.00010904i,-0.00092235-0.00063606i,-0.00011074-0.00055905i,5.6109e-05-0.00056294i,-0.00010687-0.0010756i,0.0001091-0.00055218i,0.00063128+0.00026117i,0.00065053+0.00012i,0.00059646-0.00025465i,0.0002973-0.0001606i,-0.00060175+6.0103e-05i
0.00039992-0.00093333i,-0.00053269+0.00096904i,-0.0016974+0.0016733i,-0.0017261+0.0018005i,-0.0003178+0.001102i,0.00098076+0.00044147i,0.00067681-0.00025017i,-0.00022821-0.00048685i,-0.00047963-0.00044128i,-0.00067762-0.0010674i,-0.00082804-0.0014049i,-0.00071223-0.0013929i,-0.00073927-0.0011982i,-0.00030043-0.00065464i,0.00044631-0.00022527i,0.00056849-0.00050286i,5.1741e-05-2.9747e-05i,0.0001323+0.00095978i,0.00011243+0.00069238i,0.00024433+0.00043742i,0.0003577+0.00046926i,-0.00037368+0.00032515i,-0.0008255+7.3112e-05i
-0.0012429+0.0016941i,-0.0012986+0.0019625i,-0.00057433+0.0028174i,0.00061894+0.0029235i,0.00076415+0.0018281i,0.00062288+0.0007359i,0.00076795-0.00071998i,-0.00029225-0.00098529i,-0.00087951-0.00062833i,-0.00059178-0.00083738i,-0.00096584-0.00077146i,-0.00016759-0.00026906i,0.00037655+0.00044798i,0.00012596+0.00016887i,0.00022687-0.00027256i,0.00010729-0.00044661i,-0.00014623-0.00065189i,-0.00013987+8.7822e-05i,-0.00017056+0.00067941i,-6.6198e-05+0.00065601i,0.00039121+0.00027507i,0.00061104+0.00022882i,-3.6607e-05-0.00028924i
-0.00085757-6.6029e-05i,-0.0010258+0.0014694i,-0.0016029+0.0028775i,-0.0012249+0.0028283i,-0.00066298+0.001986i,0.00022546+0.00036214i,0.0009327-0.0011197i,0.00048814-0.0008719i,-0.00012896-3.2968e-05i,-0.00030489-0.00018556i,0.00022337-2.8147e-05i,0.00017092+0.00092768i,-0.00030909+0.0010009i,-0.00019608+0.00034864i,-0.00075051-0.00012862i,-0.00094597-0.00050088i,-0.00049528-0.00020676i,-0.00032271+0.00080671i,-8.6789e-05+0.00076826i,0.00013478+0.00029438i,0.00031019+0.00036142i,0.00026728+0.00022274i,-0.00036931+0.00023386i
0.00079372+0.0012026i,0.00047738+0.0019672i,0.0011742+0.001485i,0.00055341+0.00059047i,-0.00020637+0.00051226i,-0.00011055-0.00015994i,-0.00022982-0.00045089i,-0.00030465+6.1563e-05i,-0.00059645+0.0003179i,-0.00099335+3.5718e-05i,-1.1435e-05-0.00011413i,0.001066-0.00027433i,0.00048833-0.00063642i,-0.00032245-0.0001764i,-0.00017196+0.00010228i,0.00018666+0.00036185i,0.0002156+0.00061204i,0.00017171-8.2055e-05i,-5.4913e-05-0.00026175i,-0.00016488-1.1136e-05i,0.00012066-0.0004773i,0.00066247-0.00061852i,0.00045094+0.00023253i
-0.00043858+0.00053613i,-0.0014441+0.0008143i,-0.0018765+0.0010588i,-0.0013155+0.00044492i,-0.00065619-0.0002587i,-4.924e-05-0.00019653i,0.00011037-0.00041949i,0.0004087-0.00049269i,5.6653e-05-0.00016714i,-0.00095011+9.1463e-05i,-0.0011166+0.00029709i,-0.0008842+0.00011591i,-0.0006666-0.00078477i,-0.00016062-0.00097447i,-0.00023531-0.00048573i,-0.00084725-0.00035851i,-0.0001142-0.0001527i,0.00071506-8.8938e-05i,0.0008757-0.00043126i,0.00074163+0.00031175i,0.00033723+0.00098618i,-0.00048808+0.00071252i,-0.001235+0.00027909i
-0.00053573+0.00071205i,-0.0010991+0.00074204i,-0.0010745+0.00086377i,-0.0005856+0.0015841i,0.00028862+0.002411i,0.00035269+0.001661i,-0.00086781-0.00018082i,-0.0015254-0.00069931i,-0.00085711+0.00040826i,-0.00090831+0.00036525i,-0.00077013-0.0009084i,7.3988e-05-0.00109i,-7.4267e-05-0.00042472i,-0.0006594+2.2311e-05i,-0.00010812+0.00013816i,0.000896+0.00028965i,0.00033834+0.00017557i,-0.00040398+9.5533e-05i,-2.9367e-05-0.00016026i,3.838e-05-0.00018303i,0.00034015+7.1846e-05i,0.00082186+0.00026887i,0.0006297-0.00016216i
0.0012054+0.0029771i,0.0016919+0.0023484i,0.0015165+0.0020054i,0.0015488+0.0022021i,0.0016957+0.00057936i,0.0012238-0.0010175i,9.7175e-05-0.00089855i,-0.00042494-0.00037525i,-0.00063895-0.00041691i,-0.00064776-0.00027004i,0.0003789-0.00029965i,0.00030158-0.00068701i,-0.00053916-0.00053108i,-3.6926e-05+0.00062633i,0.00032312+0.0010852i,-6.8044e-05+0.0010228i,0.00017432+0.00084347i,0.00059682+0.0008666i,0.00062933+0.00082042i,0.00042626-9.9923e-05i,-2.5945e-06-0.00075205i,-3.7856e-05-0.00041194i,-0.00024112+0.000246i
-0.0011155+0.00048981i,-0.0010971+0.00072333i,-0.00093717-6.4488e-05i,-0.0007393+0.00059825i,-0.00035689+0.00178i,-0.00039128+0.00069188i,-0.00068741+7.72e-05i,-0.0011702+4.3251e-05i,-0.0011186-0.00061169i,-0.0010159-0.00092927i,-0.00022831-0.00098788i,0.00046199-0.0007399i,0.00037828-0.00072088i,0.00016794-0.00055238i,0.00025179-0.00037136i,0.00039274-0.00052399i,0.00040646-0.00040832i,0.00080777+6.9296e-05i,0.0008493+0.00025658i,0.00019497+0.00033267i,-3.9132e-05+0.00063357i,2.2348e-05+0.00082908i,4.1587e-05+0.00084258i
0.00081639-0.0012466i,0.00020428+6.8596e-05i,-0.00061157+0.00051249i,-3.8113e-05+0.00090124i,7.5726e-05+0.00067011i,-4.4514e-05+0.00043719i,-0.00076404+0.00023591i,-0.00097572-5.8933e-05i,-0.00030655-0.00018444i,-0.00031069-0.00036674i,-0.00032564-0.00060214i,0.00066006-3.2051e-05i,0.00059523+0.00013913i,-0.0005294-0.00064277i,-0.00054105-0.00027976i,-0.00022779-0.00012877i,-0.00022341-0.00035482i,0.00030355-5.5851e-05i,0.0005601+0.00034082i,0.00027442+0.00051762i,2.9844e-06+0.00031926i,0.00016733+0.00024399i,0.00080415-0.00050266i
-0.00025247+0.0010281i,-0.00074445+0.0016421i,-0.00025266+0.0026049i,7.4675e-05+0.0029752i,0.00043161+0.0018632i,0.00096506+0.00036929i,0.00083864-0.00029987i,-4.4479e-05-0.00015949i,-0.00021862+0.00043553i,0.0003588+0.00080124i,0.00024624+0.00010392i,-0.00012206-0.00045589i,0.00042197-0.00046531i,0.00056417-0.00031145i,0.00018281+0.00036866i,0.00025917+0.00042264i,0.00089204-0.00015604i,0.0009987-2.2333e-05i,0.00062566+0.0001226i,0.00018839+0.00076875i,-0.00022954+0.0013457i,-0.00020095+0.00062048i,0.00046801-1.1313e-05i
-0.0005644+0.0010022i,-0.00045654+0.001156i,-0.0004224+0.001178i,0.00034964+0.0013094i,0.00047358+0.0012647i,-0.00030271+0.00051824i,-0.00086196-0.00098744i,-0.0015296-0.0014947i,-0.0013956-0.00055429i,-0.00052962-0.00024672i,0.00053075-0.00051099i,0.00089614-0.00025163i,-0.0004811-0.00057295i,-0.0013033-0.0010663i,-0.0003343-0.0010812i,0.00072174-0.0010404i,0.00068982-0.00078799i,0.00010696-1.9982e-05i,0.0002219+0.00065662i,0.00057219+0.00050055i,0.00093138-0.0004032i,0.00097794-0.00042015i,0.00042491+8.3803e-05i
-2.7218e-05+0.00084192i,-0.0006831-9.7005e-05i,0.00051151+0.00040945i,0.00060361+0.00044503i,-0.00010235-0.00073601i,-0.00038089-0.0014648i,-0.00015487-0.00081863i,0.00010385+0.00013311i,0.00029491+0.00041937i,-8.9653e-05+5.5323e-05i,-0.00042773-0.00029716i,-0.00013991-0.00060055i,0.00046138-0.00080976i,0.00025787-0.0003984i,-0.00021186-0.0006419i,0.00037378-0.00051702i,0.00088496+2.7028e-05i,0.00084957+0.00050416i,0.0004718+0.00053862i,-0.00023224+0.00040317i,0.00017981-0.0002172i,0.0012671-0.00079269i,0.00066525-0.00060941i
