-0.00092295+0.00049586i,0.00026676-0.00072921i,-0.0019643-0.0020677i,-0.0036047-0.0012408i,-0.0029393+0.00065242i,-0.0016835+0.0015232i,-0.00046645+0.00054319i,-0.00016138+0.00067837i,-0.00015098+0.00087865i,-0.00013974+0.00035059i,0.00035068+3.7085e-05i,0.00012865-0.0004894i,-0.00078646-0.00059596i,-4.7352e-05-0.00045467i,8.5967e-05-0.00072305i,-0.0005922-0.00074972i,-0.00050797-0.00066012i,-0.00056432-0.00052062i,-0.00060873-0.00087791i,-0.00040473-0.00059591i,-0.00057449-0.00014341i,-8.6314e-05-0.00065274i,0.00083419-0.00010428i
-0.0014561+0.00065i,-0.00090901+0.00064718i,-0.00053157+0.0018339i,0.00021404+0.0020914i,0.0013221+0.0019238i,0.001082+0.0011857i,0.00060639-6.4979e-05i,0.00058622-0.0008331i,0.00030221-0.000242i,-8.7731e-05+0.00053989i,-0.00055993+0.00056084i,-0.00065935+0.00067197i,-0.00063747+0.00051523i,-0.00034299-0.00066569i,-6.7227e-05-0.0013456i,-0.00022256-0.000361i,7.328e-05+0.0005795i,0.00089654+0.001043i,0.0010918+0.0011517i,0.00053316+0.00091692i,-0.00027097+0.00015504i,-0.00061984-5.9441e-05i,-0.00050679+0.00026039i
-0.00017232-0.00016733i,-0.00041459-0.0001097i,-0.0010733-0.00065545i,-0.0014379-0.00071602i,-0.00048588-0.00026927i,0.0002322+0.00010845i,-4.4545e-05+0.00024908i,6.7819e-05-0.00017226i,-2.671e-05-0.00079134i,-0.00039991-0.00088026i,-0.00017148-0.00096174i,0.00035458-0.00083745i,0.00082894-0.00021522i,0.00052044+0.00047526i,0.00013784+0.0003616i,9.5981e-05-0.00014027i,-0.00024606-5.693e-05i,-0.00022807+6.7898e-06i,-0.00049967+0.00035397i,-0.00088555+0.0004211i,-0.00059874-0.00012165i,-0.00041859+0.00010033i,-0.00069798+0.0001769i
0.00079765-0.0016946i,0.00054736-0.002805i,2.2913e-05-0.0025316i,-0.0011478-0.0013198i,-0.0016745-0.00047513i,-0.00099661-8.9837e-05i,-0.00023406-0.00014835i,-0.00015707-0.00015566i,-0.00028656-0.00074765i,-0.00098645-0.001028i,-0.0015199-0.00070845i,-0.00060511-0.00037423i,0.00063724-0.00019205i,0.00072298-0.00069462i,0.00030245-0.0013017i,-7.2143e-05-0.00071097i,0.00035816-0.00038514i,0.00045036-0.0003441i,0.00015074+0.00010032i,-0.00039106+0.00083971i,-0.00043666+0.0011556i,0.00049753+0.00050512i,0.00069561-0.00075408i
0.00038265+0.000214i,0.00038408-1.5099e-05i,-0.00073882+0.00062375i,-0.00090615+0.0011594i,-0.00079105+0.00066019i,-0.00024173+0.00019011i,0.00016681-0.0002018i,-0.00010486-0.00064981i,-0.00019773-0.00047844i,4.9294e-05-0.0012518i,-0.00011883-0.0012788i,-0.00049729+0.00014021i,4.9673e-05+0.00049677i,0.00051672+0.00043047i,-4.8777e-05-0.00056944i,-1.4472e-05-0.0012873i,-0.00051065-0.00078477i,-0.00049078-0.00017891i,0.00036645+0.00037032i,-7.816e-05+0.00041438i,-0.00031765-0.0001742i,-0.00011938-0.00058552i,-0.00013542-0.00010624i
-0.00079799-0.00065919i,-0.00060002-0.0012811i,-0.0020895-0.00083032i,-0.0020735+0.0019914i,-0.00036182+0.0033916i,0.0012733+0.0018279i,0.0015752+0.00023011i,0.00018736+0.00033281i,-6.3167e-05+0.00039888i,-1.0192e-05-0.00017004i,-0.00042227-0.00022195i,0.00016254+4.5432e-05i,0.00082878+0.00032283i,0.00084024+0.00038001i,0.00028769-0.00013746i,-0.00027016-0.00070623i,-0.00053673-0.00026578i,-0.00053207+7.0812e-05i,-0.00021854+0.00033844i,-0.00046394+0.00050078i,-0.00021173-0.00022854i,0.00018267-0.00051653i,0.00049373+6.2198e-06i
0.0012364+0.00062363i,0.0013123-0.00011531i,0.00056916-0.00077105i,0.00014519-0.0005052i,-8.3579e-05+8.7961e-05i,-7.0448e-05-2.5393e-05i,-0.0004776-0.00072705i,-0.00084739-0.00055295i,-0.00027217-5.6813e-05i,-0.00033376+8.3064e-05i,-0.001227+3.8644e-05i,-0.0011394+0.00056195i,-0.00058583+0.00072493i,-0.00016879-0.00033227i,0.00047626-0.0008799i,0.00087435-0.00045125i,0.00094327-3.9064e-05i,0.00045609+0.00046476i,-0.00022447+0.00065077i,-5.7198e-06+0.00076286i,0.0006843+0.00079796i,0.00054925+0.0004009i,-0.00019997-8.3485e-05i
-0.00045846+0.0014377i,-0.0015252+0.0010131i,-0.0010479+0.00049072i,-0.00010501+0.00084033i,0.00012363+0.0011673i,0.00039889+0.00092945i,0.00037319-0.00043604i,-0.00021278-0.0011843i,-7.3584e-05-0.00026866i,0.00019297-5.882e-05i,2.9173e-05+3.6957e-05i,0.00043799-4.0236e-05i,0.0008325-0.00082535i,6.7927e-05-0.0011553i,-0.00010265-0.00084092i,-0.00014217+0.00012472i,-0.00022305+0.00055816i,0.00029917+0.00041515i,0.00044145+9.7194e-07i,0.00068851-0.00041391i,0.00059317-0.00050024i,0.0002662-0.00042614i,0.00030217+9.0552e-05i
0.00052898-0.0010132i,4.5753e-05-0.00073911i,-0.00099341+1.887e-05i,-0.0017116+0.00036486i,-0.0013391+0.00082362i,-0.00059312+0.00045995i,6.3902e-05-0.00098137i,0.00020221-0.00093347i,6.754e-05+0.00020616i,-0.00023235+0.00024304i,-0.00085442+9.281e-05i,-0.00060033-0.00021499i,-3.0374e-05-0.0010633i,0.00022025-0.00080416i,0.00042036+0.00025303i,0.00013846+0.00054324i,-0.00068134+0.00042809i,-0.00076876+0.00011509i,0.00037161-0.00019611i,0.00018932-0.0003242i,-0.00086303-0.0005448i,-0.00082493-0.00087651i,-0.00031778-0.00043936i
-0.00029143-0.0003913i,-0.00024409-0.0011472i,-0.0013009-0.00053123i,-0.0012104+0.0011272i,-0.00072087+0.00098467i,0.00063185-0.00051208i,0.00093935-0.00056861i,-6.0001e-05+1.4246e-05i,-0.00015426+0.0006566i,-0.0005593+0.0016074i,-0.00078198+0.0017471i,-3.0028e-05+0.0014169i,0.00069708+0.00040784i,0.00077802-5.3378e-06i,0.00072192-0.0001617i,0.00072466-0.00093856i,0.00082884-0.00030765i,0.00051024+0.0002718i,-5.4356e-05+1.6213e-05i,-0.00022184-8.5969e-06i,-0.00055845+0.0002089i,-0.00041496-4.9546e-05i,-0.00027385-0.00053542i
-0.0025382+1.862e-05i,-0.0017592+0.00036252i,-0.001709-0.0003287i,-0.001497+0.00035418i,-0.00063589+0.0023161i,0.00051999+0.0020372i,0.00046722+0.00034477i,0.00028303-0.00023109i,-5.6797e-06-0.00011408i,0.00046687+0.00014099i,0.00057725+0.00039887i,0.00049239+0.00081111i,0.00079711+0.00075191i,0.00063831+7.3913e-05i,-0.00028238+0.00032024i,-0.0012105+0.00086825i,-0.00096403+0.00030334i,-0.00048694+8.8498e-06i,-0.00043012+0.00010471i,-0.00045365+0.00022818i,3.3948e-05+0.00038485i,1.7457e-05+0.0003858i,-0.000693-0.00024921i
-0.00068346-0.00088787i,-0.00081555-0.00027524i,-0.00097423+0.00024454i,-0.00077421+0.00087306i,0.00029824+0.0010417i,0.0007197+0.00028674i,3.7171e-05-0.00067444i,-0.00087166-0.0005601i,-0.00081207+0.00014413i,0.00020313-4.1507e-05i,0.00049775-5.7776e-05i,0.00040062+0.00031213i,0.00014265-0.00013416i,0.00029675-0.00072115i,0.00043298-0.00074748i,0.00010808-0.00047708i,0.00043623-0.00022309i,0.00041058-0.00032847i,-0.00032698+0.00027562i,-0.00045439+0.00031588i,0.00016584-5.5191e-05i,-0.00040721+0.00024628i,-0.00049501+0.00084148i
-0.0024853+0.0004414i,-0.001716+4.0422e-06i,-0.0020656+0.0014068i,-0.0016867+0.0025918i,-0.00078094+0.0028169i,0.00041164+0.001876i,0.00069663+6.8883e-05i,-5.1904e-05-0.00018995i,-0.00032571+0.00060486i,0.00083394+0.00081649i,0.00073051+0.00072314i,-0.00021151+0.00035704i,0.0001871-0.00043888i,0.00047297-0.00091039i,-0.00024568-0.00014899i,-0.00092419-0.00012804i,-0.00061278-0.00033796i,-0.00059425+0.00041088i,-0.00079658+0.001128i,-0.00081249+0.00071064i,-0.00036459-9.3516e-05i,0.00032805+0.00012029i,0.00064301+0.00069004i
-0.0017197+0.0013217i,-0.00075715+0.00071538i,-0.0007431+0.001068i,-0.00094054+0.0010582i,0.00077272+0.0010413i,0.0013116+0.00082777i,0.00049408-0.00045607i,-0.00036219-0.00078548i,-0.00035289-0.00032898i,-0.00035715-0.00050771i,-0.0010721-0.0010776i,-0.0010839-0.0006693i,-0.00072262-0.00010818i,-0.00083017-0.00056029i,-0.00029012-0.00082323i,0.00020646-0.00030421i,-0.00048616-0.00025563i,-0.0011195-0.0011367i,-0.00044783-0.00091394i,0.00018901-0.00077611i,0.0001689-0.00072439i,9.6789e-05-0.00014982i,-0.00084182+0.000205i
0.00078497-0.0011776i,0.00055308-0.0012369i,-0.00010882-0.0020663i,-0.0011142-0.0014317i,-0.0011676+8.2969e-05i,5.9953e-05+0.00058507i,0.00010683-0.00022452i,-0.0003007-0.00077963i,-9.3362e-05-0.00071081i,0.00053056-0.00056321i,0.00035915-0.000712i,-0.00080843-0.0014168i,-0.0014096-0.0015354i,-0.0010046-0.00088846i,-0.00036698+0.00041237i,-0.00056958+0.0010295i,-0.00096396-0.00011716i,0.00016724-0.00061676i,0.00068872-0.00033937i,0.00039942-0.00026102i,0.00020372-0.00057287i,0.00047573-0.00072979i,9.5516e-05-0.00025232i
0.00067506+0.0012456i,8.4344e-05+0.0010582i,-0.0010409-0.00052758i,-0.0017722-0.00039165i,-0.0013203+0.001355i,-0.00068697+0.00091074i,-0.00033866-0.00047626i,-0.00012643-0.00058245i,0.00010115+5.971e-05i,-4.7758e-05-7.3684e-05i,-0.00019536-0.00062404i,-0.00039751-0.0002498i,-0.00043583-0.00021227i,-0.00051841-7.0187e-05i,-0.001277-0.00014887i,-0.0011291-7.25e-05i,-0.00060425-0.00027844i,-0.00037103-0.00083106i,0.000187-0.00048316i,0.0011622+4.618e-05i,0.00090555-0.0005432i,-0.00013051-0.00092806i,-0.00112-0.00050163i
-0.0021981-0.00092599i,-0.0023532-0.00021594i,-0.0013938+0.00028402i,2.3599e-05+0.00035263i,0.00046393+0.0012483i,0.00064215+0.00075981i,0.00065952-0.00025755i,0.00083702-0.00049725i,0.00090004-0.00055116i,0.0010195-0.00054939i,0.00086243-0.0014552i,0.00019398-0.001298i,-0.00047406-0.00027622i,-0.00039114-0.00040679i,-3.1078e-05-0.00027185i,-0.0001953-0.00037164i,-0.00074533-0.00012359i,-0.00047245-0.0003974i,0.00078238-0.00038341i,0.00084618-2.7071e-05i,-7.748e-05-0.00053038i,-0.00063285+4.0853e-05i,-0.00079282+0.00074447i
-0.001052+0.001569i,-0.00019761+0.0013924i,-0.0007215+0.0015435i,-0.0005464+0.0014607i,0.00057468+0.0013709i,0.0010753+0.00049788i,0.00075984-0.00056322i,0.00034154-0.00099428i,0.00054075-0.00069603i,0.0002115-0.00037301i,-0.0001745-0.00056399i,0.00022887-0.00052867i,0.00020241-0.0007217i,-1.626e-05-0.0014449i,-0.00019141-0.00091236i,-0.00058283+0.00015664i,-0.00031928+0.00054208i,-0.00022701-0.00025544i,6.053e-06-0.00036283i,7.8459e-05+1.704e-05i,-0.00069391-0.00016735i,-0.00066353-0.00017837i,-0.00022866+0.00064915i
-0.00082071-0.00072955i,-0.0010121-0.001398i,-0.0001168-0.0012113i,-0.0004418-0.00050926i,-0.00031022+0.00028789i,0.00020392+0.0004372i,0.00046195+0.00022381i,0.00050396-0.00015712i,0.00012408-0.00043171i,-0.00020574-0.00035897i,-0.00086191-0.00050546i,-0.0011859-0.0011612i,-0.0005236-0.0015071i,0.00023725-0.00057152i,0.00049249-0.00015645i,0.00022406-0.00035341i,-0.00013337+2.2371e-05i,-2.9775e-05+0.00019057i,-7.5342e-05-0.00019552i,-0.00015244-0.00034935i,-3.386e-06-0.00031289i,0.00045769+0.00016419i,0.00013247+0.00039269i
0.0017061-0.00042522i,0.00052025-0.0010497i,-0.0013433-0.00034709i,-0.0018251+0.00016923i,-0.0012827+0.00091145i,-0.00038677+0.0010187i,0.00061419-0.00030876i,0.00045691-0.00088937i,0.00041527-0.00034448i,0.00036474+1.8702e-05i,2.7141e-05-0.00030198i,-0.00014394+0.00011192i,2.8411e-05+0.00050276i,0.00061707+0.00043825i,0.0010517+0.0010786i,0.00074784+0.00072957i,0.00050393-6.6999e-05i,0.00010951+0.00013997i,-0.00041512+0.00056462i,-0.00030397+0.00076192i,-0.00024089+0.0005013i,-0.00092178+0.00052243i,-0.00060325+0.00026626i
-0.00082796-8.6968e-05i,-0.0014413-0.00027599i,-0.0011581+0.00025401i,-0.0010369+0.0012967i,-0.0011747+0.0018671i,-0.00031913+0.0018647i,-6.2489e-05+0.00090792i,0.00040034+0.00040304i,0.0013753+0.00041789i,0.00094233-0.0001605i,1.0057e-05-0.00037554i,-0.00065792+0.00023907i,-0.00034585+0.00029337i,-4.112e-05-0.00055072i,-0.00047789-0.00076734i,-0.00080683-0.0005942i,-0.00085932-0.00045972i,-0.00027066-0.0003191i,0.00057454+0.00044919i,0.0007816+0.00043554i,0.00036225-0.00075712i,-1.2141e-05-0.0011545i,0.00023347-0.00091519i
0.0001417-0.0013679i,0.00021241-0.0027715i,-0.00049304-0.0031815i,-0.0013719-0.0012913i,-0.00096158+0.0015239i,0.00065943+0.0012008i,0.0010296-0.00038733i,-0.00022394-7.7769e-06i,-0.00098011+0.0010177i,-0.00073948+0.00054496i,-0.00032834-0.00041648i,0.00074612-0.00046332i,0.0012326-0.0003114i,0.00040037-0.00028117i,-0.00014422+0.00010874i,-0.00011985+0.00023194i,-1.7214e-05-7.7586e-05i,-8.2315e-05+6.7556e-05i,-0.0001848+0.00023483i,0.00028094+0.0003532i,0.00016995+0.00016861i,-0.00015486-0.00012715i,-0.00021471-0.0001472i
0.0017092+0.0014792i,0.00052515+0.00065339i,0.00040951-0.00049908i,-0.00035146-0.0011218i,-0.00034719-0.00029734i,-0.00029381-0.00040515i,-6.5308e-05-0.0017279i,1.0425e-05-0.0014773i,6.0337e-05-0.00044503i,0.00061386-3.783e-05i,0.00060021-0.00022262i,0.00045684-0.0003856i,0.000756-0.00010495i,8.054e-05+0.00038257i,-0.00062108+0.00041883i,-0.00069599+0.00023514i,-0.00082694-1.5959e-05i,-0.00078944+0.00021813i,-0.00047779+0.0008451i,-0.00054397+0.00039034i,-0.00021992-0.00044234i,0.00042692-0.00049421i,0.00037754-0.00068111i
0.00053913-0.0013933i,-0.00026797-0.0015333i,-0.0016495-0.0011082i,-0.0019608+0.00035861i,-0.0010682+0.001324i,1.2108e-05+0.0015491i,0.00060442+0.00014509i,0.00058305-0.00079635i,-0.00033104-0.00035973i,-0.0016788-0.00020852i,-0.0015971-0.00030756i,-0.00086222-0.00017853i,-0.00012067+0.00044787i,0.00023765+0.00060048i,-0.00036637-9.3938e-05i,-0.00086523-0.00016772i,-0.00039871+0.00011249i,0.0003037-0.00086226i,5.555e-05-0.0016656i,-0.0005452-0.0010215i,-0.00013772-0.00033057i,0.00034293-0.00056174i,0.00033133-0.00095461i
0.000108-0.00090866i,-0.0014085-0.00072138i,-0.0016137+0.00048532i,-0.0012356+0.0012664i,-0.0009648+0.002049i,-0.0005758+0.0016093i,0.00010325-0.00024657i,0.00025219-0.0015017i,5.8522e-05-0.0011616i,-0.00010829-0.00047167i,-9.6684e-05-0.00015497i,-0.00022325+0.00014625i,-0.00029849+0.00020756i,0.00017328-0.00022648i,0.00039711-0.00019571i,0.00050757-0.00029379i,0.00069657-0.00011603i,0.00038402+0.00017316i,-4.9372e-05+0.0005369i,-4.0368e-05+0.0010406i,-0.00034813+0.00034925i,-1.9477e-05-0.00056175i,0.00073125-8.7585e-05i
-0.0020149-0.0001111i,-0.0012836+0.00094167i,-0.0015784+0.0019609i,-0.00088293+0.0031998i,6.7488e-05+0.0042116i,0.00032389+0.0022384i,0.00024139-0.00013252i,3.836e-05-0.00079713i,-5.3956e-05-0.00016013i,-0.00056814+0.00033722i,-0.00079062+0.00039673i,0.00041999+0.00057651i,0.00072925+0.0003493i,0.00028537-0.00035846i,-0.00014931-0.00059888i,-0.00075517+0.0003156i,-0.00076322+0.00073855i,-0.0001331-0.00023126i,0.00026775-0.00072433i,0.00034387-0.0009205i,0.00018395-0.00045145i,-0.00010644+0.00062062i,-0.00045708+0.00075293i
0.00046868-0.0011924i,0.00051145-0.0021604i,1.5738e-05-0.0019204i,-0.00040358-0.00059801i,-0.00089746+0.00099828i,-0.00112+0.00080074i,-0.0010466-0.001152i,-0.00094151-0.0018178i,-0.00039616-0.0005732i,-0.00041165+7.3801e-05i,-0.0011101+0.00049208i,-0.00082586+0.00037i,0.00021067-0.00053172i,0.00019353-0.00017067i,-0.0007498+0.00090498i,-0.00059675+0.00078122i,-0.00018441-0.00022684i,3.1915e-06-0.00099362i,-0.00019813-0.0011149i,-0.00034537-0.0010431i,0.0003615-0.00082893i,0.0010884-0.00045885i,0.0007634+0.0004206i
0.00070706-0.00094575i,0.00049988-0.0013121i,-0.00030815-0.0014431i,-0.001839-0.00090039i,-0.0020393+0.00018421i,-0.00071939+0.00056117i,0.00022724+5.8458e-05i,-0.00011496-0.00034782i,-1.4446e-05-0.00064373i,0.00030115-0.0016075i,-0.00036685-0.0016261i,-0.00082827+0.00021751i,-0.00083555+0.0012844i,-0.0010411+0.0016988i,-0.00097322+0.0014959i,-0.00077552+0.00060787i,-2.2781e-05+0.00051277i,0.00087196+0.0014477i,0.00079905+0.0012842i,0.00026872+0.00050799i,-2.123e-05+0.00028531i,-9.0752e-05+0.00028389i,-0.00043468-1.6972e-05i
0.00025393-0.0017574i,-0.00061744-0.0015923i,-0.0013445-0.0013958i,-0.001178+2.75e-05i,-0.00030341+0.0014916i,0.00017623+0.0014165i,-4.6347e-05+0.00056263i,-0.00019956-0.00013572i,-0.00049853-0.00050739i,-0.0008299-0.00046411i,-0.00077568-0.00045895i,-0.00081911-0.00049582i,1.6016e-06-0.00012725i,0.00095695+0.00018235i,0.00096168+6.086e-06i,0.00039696+0.00019335i,-0.00027464+0.00071125i,0.00015637+0.00017269i,0.00021773-0.0005444i,7.2917e-05-0.00058285i,0.00031129+4.0323e-06i,0.00057822-0.00012998i,0.00081029-0.00053055i
0.0018377-0.0019844i,-0.00020549-0.0022249i,-0.0017701-0.0024731i,-0.002207-0.0009839i,-0.0022151+0.00076575i,-0.0013481+0.0012971i,-0.00092181+0.00075319i,-0.0012034-5.0439e-05i,-0.00061657-0.00056034i,3.3887e-05+2.585e-05i,-0.00037806+0.0011596i,-0.00026114+0.0010911i,0.00028921-0.00014248i,0.00067679+3.259e-06i,0.00095718+0.00057194i,0.00068608+0.00032859i,0.00048142-4.1684e-05i,0.00074972+2.2333e-05i,0.00054038+0.00052963i,-0.00037737+0.00036565i,-0.00096248+5.3551e-05i,-0.00021913-0.00047324i,0.0005172-0.00067558i
-0.00049123+0.00045397i,0.00014996+0.00033269i,0.00016376+9.9439e-05i,-0.00028463+0.00013703i,-8.5106e-05+0.00061392i,0.00033125+0.0012213i,0.0009285+0.0012908i,0.00070984+0.00063711i,0.00046597+0.00046676i,0.00058201-5.4497e-05i,9.5529e-05-0.0012554i,0.00019088-0.00093646i,6.9373e-05+0.00017137i,3.394e-06+0.00078954i,0.00013311+0.00077664i,0.00026466+0.00037232i,2.5159e-05+0.00029156i,-0.00036844+0.00022256i,-0.00023647+0.00013582i,0.00010666-9.3584e-05i,0.0001433-0.00053331i,0.0001041-0.00099397i,0.00053206-0.00078853i
0.0018112-0.00048648i,0.0013248-0.0012051i,-0.00021458-0.0019718i,-0.0014707-0.0001793i,-0.0010773+0.00068077i,0.00017981+0.00083926i,-3.7187e-06-0.0001091i,-0.00052968-0.0010651i,-0.00022891-0.00077467i,-0.00075541-0.00094826i,-0.0017411-0.0010831i,-0.00047945-0.00051759i,0.00056683+0.00046636i,0.00012142+0.0010198i,-0.00034756-0.00028654i,-0.00060401-0.00093179i,2.7611e-05-0.00037277i,0.00067488-3.3993e-05i,0.0012115+0.0003166i,0.0011841-4.4198e-05i,0.00051897-0.00040718i,0.00032024-5.342e-05i,-0.00025439+4.4492e-05i
