-0.0012864-0.0011237i,0.00068603-0.001259i,0.00052245-4.2621e-05i,-0.00033569+0.00036979i,-0.00079454+0.00086417i,-0.0003166+0.00082731i,0.00041564+3.0996e-05i,7.4413e-05+0.0005192i,0.00054198+0.0012166i,0.0010509+0.0010084i,0.00022177+0.00038354i,-0.00065615-0.00020937i,-0.00066915-0.00081112i,-0.00045728-0.00052049i,0.00033251-0.00021887i,0.00045445-0.00094727i,0.00059683-0.00026046i,0.00066877+0.00049066i,0.00018118-8.3561e-05i,-0.0004788-0.00074056i,-0.00074993-0.00060729i,-0.00012141-0.000666i,0.00038528-0.0010129i
0.00071856+0.0037838i,0.00060555+0.00289i,0.00064953+0.00076181i,0.00051188-0.00064165i,-0.00016255-0.0012083i,5.2201e-05-0.00050294i,0.00022138-0.00020593i,-0.00023836-0.00062631i,-0.00036803-0.00049577i,5.8333e-05-7.038e-05i,0.00057086-1.5489e-05i,9.5068e-05-3.5746e-05i,-0.00012346+0.00068836i,0.0010263+0.0007527i,0.00071775+0.00027307i,-0.00047183+0.00032541i,0.00019078+0.00055464i,0.00050351+0.00059881i,-0.00014167+0.00028528i,-9.2044e-05+0.00031125i,-0.0002023+0.0010418i,-0.00039517+0.00080062i,-0.00055284+0.00076128i
-0.00067551-0.00088729i,0.00058519+0.00037476i,0.00039602+0.00018819i,-0.00039177+6.5977e-05i,-0.0012152+0.00021622i,-0.00054602-0.00013002i,2.0486e-05-0.00034868i,-0.00052166-0.00033893i,-0.0010835+1.9609e-05i,-0.00088073+0.00030946i,-0.00014716+0.00014453i,0.00022723+4.7561e-05i,0.00014715+0.00014136i,-0.00077668+4.0375e-05i,-0.0006778-0.0001705i,-0.00036415+0.00027526i,-0.0004515+0.00068247i,-9.3392e-05+0.00059326i,-0.00031195+0.00018519i,-0.00069867+0.00013677i,-0.00060151-0.00036177i,-0.00028717-0.00064791i,0.00017458-0.00060615i
0.0014048+0.00064537i,0.0013847+0.0011917i,0.00021809+0.00010089i,-0.00051339-0.0005382i,-0.00065516-2.4438e-05i,-0.00010412+0.00011772i,-0.00064487+0.00020438i,-0.00095653+0.00033741i,-0.00041223-0.00010629i,-0.00026945+0.00035811i,-1.2246e-05+0.00083447i,-8.7489e-05-0.00012218i,1.8396e-05-0.00061872i,0.00046529+0.00036742i,-0.00017147+0.00072311i,-0.00056428+0.00065551i,-0.00019862+0.0001618i,-0.00068359-0.00052272i,-0.0010616-0.00048689i,-0.00042307-0.00035444i,-0.00041943-0.00054327i,-0.00037007-0.0011211i,0.00028495-0.0010979i
-0.00068586+0.0016037i,-0.00019739+0.0012546i,0.00092445+0.00033171i,0.00011744-0.00049678i,-0.0015959-0.00042881i,-0.001794+0.0005464i,-0.0011443+0.00093631i,-0.00095955+0.00092741i,-0.00065025+0.0011648i,-0.00045474+0.00059091i,-0.00016377-1.4656e-05i,0.00060957+0.00016147i,0.00081175+0.00058677i,0.00022985+1.352e-05i,-0.00059405-0.0002732i,-0.00090015+0.00039208i,-4.3009e-05+0.00041459i,0.0002469-5.7237e-05i,1.628e-05+2.9503e-05i,1.7993e-05+0.00011384i,-0.00023546-0.00021135i,-0.00085664-8.2801e-05i,-0.00089347+0.00013099i
0.0010345-0.00073512i,0.0020321-0.0002686i,0.0020298-0.00062215i,0.00027853-0.00096571i,-0.00096216-0.0010317i,-0.00038224-0.0010509i,0.00035838-0.00065666i,0.00053028-0.00059753i,0.00014122-0.00048282i,-0.00023817-0.00019535i,0.00025796-4.6889e-05i,0.00035975+0.00032847i,0.00013682+0.00047016i,3.0889e-05+0.00042172i,-0.00016095+0.00050467i,8.9646e-05+0.0010138i,0.001037+0.00096915i,0.0012673+0.0006834i,0.00049948+0.00064838i,-0.00026201+0.0002647i,-0.00050688-0.0005847i,-0.00025326-0.00062749i,0.00011484-0.00027236i
-9.5445e-05+0.0011053i,0.0017762+0.00086494i,0.001263-0.00057166i,-0.00084597-0.0015078i,-0.001674-0.00081632i,-0.0015814+0.00043542i,-0.000349+0.0010478i,0.0004767+0.00060837i,-0.00055246+7.4436e-05i,-0.0011256+0.00045228i,-0.0011365+0.00098861i,-0.00097875+0.00024184i,-0.00072344-0.00022296i,-0.00033361-0.00020041i,-0.00024512-0.0003825i,-0.00058413+7.7811e-05i,-0.0011967-0.00023886i,-0.0011878-0.0006782i,-0.0010633+0.00026241i,-0.0013843+3.4319e-05i,-0.0003051-0.00018232i,0.00085622-0.00043613i,-2.9399e-05-0.00063383i
0.00071634+0.00059003i,0.0005827-8.605e-05i,0.0016739+8.1855e-05i,0.0016217-0.00051807i,8.9232e-05-0.0014519i,-0.00087707-0.0019289i,-0.00090925-0.0010177i,-0.00036477+0.00018258i,0.00027409+0.00052006i,0.00013236+0.00051131i,6.5972e-05+0.00023127i,-5.4616e-05+0.00069536i,5.4307e-05+0.0014254i,0.0004927+0.0016586i,0.00044308+0.0014264i,9.1147e-05+0.00027447i,-0.00027829+0.00019793i,0.00011773+0.00038758i,0.00065835-0.00031069i,0.00077483-0.0004833i,0.00072327-0.00019893i,0.00046632-0.00025971i,0.00031142-0.00025186i
-0.00021414+0.0019333i,0.00015909+0.0016525i,-0.00044251+0.0019635i,-0.0005942+0.001205i,-0.00026198+0.00033394i,0.00054979-0.00055435i,0.0006151-0.0006155i,4.9304e-06+0.00027266i,-0.00035915+0.00079657i,0.00033989+0.00054212i,0.00070237+0.00038378i,0.00043619-6.037e-05i,-5.2636e-06-0.00046995i,0.0003738+0.00019812i,0.00068977+0.00041809i,0.00019357+0.00034205i,-0.00055219+0.00065564i,-0.00047295+0.00051961i,-0.00024407-0.00028277i,0.0001569-0.00028316i,0.00038897+0.00022273i,0.0001639+0.00028762i,-0.00059809-0.00020332i
-0.0014392+0.0014207i,-0.00014061+0.00098558i,0.00069913-0.00014637i,-0.00042125-0.00080642i,-0.00090741-0.00070606i,0.00012969-0.00018845i,0.00087626-0.00016016i,0.00053959+7.7753e-05i,-0.0007443+6.6854e-05i,-0.00097188+0.00010446i,6.5994e-05+0.00030031i,0.00090571+0.00021161i,0.00019723-0.00055248i,-0.0010594-0.00099737i,-0.0012891+8.3111e-05i,-0.0013049+0.0010787i,-0.00075845+0.00085588i,9.7146e-05+0.00039695i,9.6979e-05+0.00076542i,0.00019658+0.0012114i,0.00067159+0.00016863i,0.00095116-0.0012103i,0.00027422-0.0015844i
0.00046995-0.00028287i,0.0011954-6.996e-05i,0.0015392+3.8326e-05i,0.00094073-0.00047992i,0.00013408-0.00038958i,-0.00040522-0.00055408i,-0.00067889-0.00074681i,-0.00099217+4.8056e-05i,-0.0005373+0.0011471i,3.6977e-05+0.00050451i,0.00098325-9.6618e-05i,0.00093987+0.00026972i,-0.00039805-0.00033005i,-0.0010041-0.0013254i,-0.0010891-0.00071244i,-0.00069322+0.00029431i,4.9337e-06+0.00069045i,0.00012731+0.00026003i,-0.00010221+0.00024495i,-0.00089032+0.00038623i,-0.00085057-4.5326e-06i,-0.00058638-0.00018479i,-0.00070356-0.00016006i
0.001185+0.0015806i,0.00049611+0.00072499i,-0.00012869+0.00014941i,-0.00095197-0.00032273i,-0.0015118-0.000986i,-0.00055597-0.0010161i,-0.00022987-0.00055157i,-0.00029317-0.00028947i,0.00010622+0.00016308i,-0.00021849+0.00035329i,-0.00016884+0.00019467i,-0.00047722+0.0006093i,0.00016891+0.00066275i,0.0014444+0.00065023i,0.001288+0.00031042i,0.00013165+3.6143e-05i,-0.00044975+2.5718e-05i,-1.4346e-05+0.0005929i,0.00038+0.0010803i,0.00021829+0.00033673i,-0.000151+0.00022365i,-0.00036488+0.00035601i,-0.00028629+0.00015376i
-0.0015815+0.00075012i,0.00013661-5.6621e-05i,0.0012136-0.00035513i,0.0011867+0.00033105i,0.00049878+0.00044916i,0.00047515+7.5624e-05i,0.00030174-0.00067514i,-0.00034467-0.0015529i,-5.8309e-05-0.0011096i,0.00016469-5.7132e-05i,0.00023067+0.00035828i,0.00088475+0.00040447i,0.00093465+0.00066837i,0.00061938+0.00067695i,0.00012705+0.000144i,-0.00026386-0.00057327i,-0.00017722-0.00013044i,2.414e-05+0.00024708i,0.00026577-0.00053599i,7.9343e-05-0.00070558i,0.00043195-0.0010561i,0.00072331-0.00096939i,0.00021849-0.00041788i
0.00064324-0.00070824i,0.0018535-0.00052374i,0.00084556-0.00056065i,-0.0010547-0.00049738i,-0.0015688+0.00013741i,-0.00096006+0.00037871i,-0.00058618+0.00087259i,-0.00072982+0.00071108i,-0.00064297+0.00044426i,-0.00082796+0.0010484i,-0.0012952+0.00071178i,-0.0011901+0.00030187i,-0.00027883+0.0012115i,0.00084213+0.00059409i,0.00076826-0.0006041i,-0.00021689-7.7845e-05i,-0.00071565+0.00074079i,5.9428e-05-5.2966e-07i,0.00086553-0.00049572i,0.00064395-4.0853e-05i,6.8233e-05+0.00027517i,6.6343e-05+0.00025915i,0.00044503+0.00030184i
-0.00055668+0.0012292i,0.00013362+0.0008188i,-0.00041992-0.00045467i,-0.0013463-0.0010597i,-0.0012072-0.00028136i,-0.00074223+0.00047167i,-0.00037875+0.00027805i,-0.0005156+0.00035911i,-0.0008554+0.00068186i,-0.00026151+0.0005285i,-3.6099e-05+0.00041076i,-0.00027743+0.00062261i,-0.00010705+0.00084537i,-0.00012279+0.00098789i,-0.00024266+0.00089252i,-0.00024232+0.00041982i,-0.00030641+0.00077792i,0.00042596+0.0013562i,0.00058813+0.0009991i,-0.00030102+8.9847e-05i,0.0002376-0.00047437i,0.00099914-0.000122i,0.00042874+0.00019433i
0.00098833+0.001444i,0.0014372+0.001773i,0.0012+0.00073745i,-3.8761e-05-0.00038902i,-0.0010451-0.0012396i,-0.0011927-0.0016835i,-0.0001811-0.0010118i,0.00050165-0.0004463i,0.00037112-0.00031454i,0.00075623+5.869e-05i,0.0012161+0.00025789i,0.00045683+0.00066143i,-0.00093707+0.00079651i,-0.00090221-0.00023026i,0.00031012-0.00031685i,0.0007646+0.00021636i,0.00088363+0.00074723i,0.0007336+0.00091947i,0.00047425+0.00021139i,0.00099818+0.00042728i,0.00034136+0.00074904i,-0.00029833+0.00045799i,-0.00030265+0.00013832i
0.0001851+1.2063e-05i,0.00071033+1.644e-05i,0.0014041+6.8331e-05i,0.00097557-0.00099772i,0.00029109-0.001135i,0.00019141-0.00061721i,0.00014948+6.5616e-05i,-0.00024445+0.00069981i,-0.00022685+0.00065358i,-0.00014605+0.00082672i,-0.00087981+0.00074302i,-0.0006307+6.8244e-05i,0.00045811+0.00074527i,6.357e-05+0.00081961i,-0.00049842+0.00036908i,-2.425e-05+0.00082438i,0.00035482+0.00083959i,0.00047584+0.00035126i,0.00069299+0.00025155i,0.00049129+0.0003584i,-0.00023373+0.00032881i,-0.00019646+0.0001526i,0.00042001+0.00015986i
-6.9452e-05+0.00017053i,0.00035329+0.00068994i,0.00084018+0.00097787i,0.0003041+0.0010767i,-0.00028431+0.00077031i,-8.8742e-05+0.00069003i,4.4776e-05-4.7294e-05i,0.00025197-0.00045198i,-0.00074948+2.8296e-05i,-0.0015193+0.00050919i,-0.00020712+0.0010018i,0.0012038+0.00084591i,0.0013693+0.00081987i,0.00088305+0.001284i,0.00055364+0.0011904i,-0.00028488+0.00065427i,-0.00034189+0.00045655i,-5.9187e-05+3.4439e-05i,-0.00051076-0.00046454i,8.9909e-05+0.00044155i,0.00033799+0.00074502i,-0.00023833-0.00024008i,-0.0003598-0.00054189i
0.0013385-3.4551e-06i,0.0015658+0.0002287i,0.0018778-0.0011267i,0.00042964-0.0022003i,-0.0011838-0.0014321i,-0.0015323-0.00022087i,-0.00094392+0.00067012i,-0.0010008+0.00096935i,-0.00032126+0.0011091i,0.00011102+0.00064627i,-2.6537e-06-0.00030726i,-0.00015598-0.00012565i,-0.00042134+2.0567e-06i,8.2898e-05-0.0002874i,0.00074428-0.00043611i,0.00037071-0.00012469i,-0.00018891+0.00035778i,-6.2199e-05-8.5189e-05i,0.00062597-0.00028317i,0.00031605+0.0004546i,-7.6057e-05+0.00081645i,-0.00049406+0.00034064i,-0.00052508-9.4689e-05i
-0.0001523-0.00016416i,0.00052719+0.00018234i,0.00040817+0.00033733i,-0.00082391-0.00041031i,-0.00093521-0.00015008i,-0.00033343+0.00012045i,-0.00034859+0.00039601i,-0.00060431+0.00074994i,-0.00010658+0.0006572i,0.0004688+0.00087295i,0.00015685+0.00076885i,-0.00015286+0.00010687i,-0.00010944+0.00014836i,-0.00021908-0.0003538i,0.00034553-0.00052861i,0.00067662+0.00060249i,0.0010006+0.0004536i,0.0005834-0.00013701i,-0.00042992-6.9993e-06i,-0.00097425+8.3598e-05i,-0.00061912+0.00022958i,-0.00043182+0.00035258i,-0.00013736+6.6816e-05i
-3.4113e-05+0.0013203i,0.00074408+0.0004399i,0.00053922-0.00090482i,-0.00073594-0.00097103i,-0.0010564-0.0010274i,-0.00011902-0.0010245i,-0.00051422-0.00035055i,-0.001488-0.00015993i,-0.0010733-5.5115e-05i,-0.00029587+0.00030701i,0.00011691+0.00050743i,0.00012092+0.00041359i,-0.00022139+0.00014954i,-0.00035439+0.00028403i,-6.5918e-05+0.0006114i,0.00043611+0.00037608i,1.0904e-05+0.00070529i,-6.9586e-05+0.0010598i,0.00068821+0.0007661i,0.00024928-0.00023872i,-0.00012495-0.00026316i,6.8008e-05-0.00023698i,-0.00080597-0.00033918i
0.0004194+0.00081378i,0.00124+0.0012388i,0.00083115+0.0007598i,0.00032747+0.0001168i,-8.2082e-05-2.5679e-05i,-3.5944e-05+0.00011681i,0.00044524+0.00020506i,0.00016114+0.00089669i,-0.00016578+0.0015795i,-0.00035413+0.0016749i,-0.00028628+0.0017335i,-3.6087e-06+0.00088384i,-0.00017499-6.0091e-05i,-0.00041364+0.0001082i,-0.00067104+0.00087456i,-0.0010062+0.0012991i,-0.00069306+0.00070777i,0.00028873+0.00011694i,0.00030533-6.7578e-06i,8.2488e-05-0.00029221i,-0.00038093-8.4863e-06i,-0.00028981-2.8654e-05i,-0.00028775-0.00015416i
0.00044019+0.0014245i,0.0007133+0.0014794i,0.00027247-0.00032941i,-0.00028147-0.0018661i,-0.00074321-0.0020196i,-0.00067041-0.001071i,-0.00050106-0.00034522i,-0.00036642-6.5383e-05i,-0.00064586-0.00015379i,-0.0010239-0.0002131i,-0.00079995-0.00043728i,-7.3275e-06-0.00037748i,0.00018856-2.5004e-05i,3.8483e-05+0.00047023i,7.5152e-05+0.00038542i,-0.00026744+0.00053969i,-0.00048463+0.00037089i,0.00013941+0.00026544i,0.0009773+0.00033425i,0.0009165+3.6746e-05i,0.00062625-0.00013622i,-0.00057423-0.00027172i,-0.0018083-0.00062698i
0.00056389+9.3089e-05i,0.00071512+0.00099952i,0.00090258+0.00095503i,0.0010155+0.00037309i,0.00061569+0.00058591i,0.00022366+0.000601i,0.00057249+0.00076232i,0.00059226+0.00044081i,-0.00033029-0.00068161i,-0.0014365-0.00045078i,-0.0012359+0.00010839i,0.00011688+0.00028817i,0.00030529-0.00010582i,8.8284e-05-0.00023024i,-0.00038167+0.00023232i,-0.001184+0.00043676i,-0.00087945+0.00075382i,-0.00045042+0.0011375i,-0.00052186+0.0010708i,-0.00049122-0.0001058i,0.00014912-0.00038854i,0.00060846+0.00021026i,-1.6591e-05-4.1056e-05i
0.00073829-0.00034393i,0.0011542+8.0954e-05i,6.8024e-06-0.00029433i,-0.00039155-0.0012742i,-0.00039914-0.0012884i,-0.00042377-9.9629e-05i,-0.0003122-0.00038558i,-0.00044639-0.00013912i,-0.0007833+0.00056618i,-0.00051981+0.00082255i,-0.00033111+0.0006837i,2.6566e-05+0.00033286i,1.3591e-05+0.00024948i,-3.108e-05+0.00022752i,0.00036744-0.00033415i,0.00023095-0.00041382i,-0.00014664+0.00032931i,-0.00043123+0.00038714i,-5.3767e-05+5.77e-05i,0.00033566+7.6207e-06i,4.2084e-05-0.00019438i,-2.6569e-05-0.00067702i,0.00015983-0.0010319i
-0.00075957+0.0005391i,0.00017059+0.00040034i,0.00055806-0.00011159i,-0.00023261-0.00077397i,-0.00035871-0.0010974i,0.00045016-0.00085442i,0.00057044-0.00046624i,-0.00029821-2.3001e-05i,-0.00086268+0.00018879i,0.00010831+0.00015768i,0.00059006+0.00022609i,-7.3581e-05+0.000126i,-0.00063912-0.00011508i,-0.00072799+1.671e-05i,-0.0008443-7.4283e-05i,-0.00052568+0.00043217i,0.00012405+0.0013527i,0.00017833+0.0009791i,0.00023762+0.00023736i,0.00056705+6.3208e-05i,0.00038144+0.00037903i,0.00035463+0.00027953i,0.00017391+0.00018498i
0.00018505+0.00063158i,0.00051849+0.0013315i,-4.7431e-05+0.00076708i,-0.0011235-0.00045613i,-0.0020006-0.00091341i,-0.0022069-0.00057466i,-0.00094421-0.00026064i,-0.00025975-0.00026605i,-0.00049518-0.00050692i,-0.00050532+2.4799e-05i,-0.0002655+0.00039329i,2.6166e-05+0.00067801i,-0.0006638+0.0011012i,-0.00073799+0.00097127i,-0.0001+0.00038906i,-0.00010144+0.00034547i,-0.00010092+2.3295e-05i,0.00025688-0.00027853i,0.00035506-0.00015959i,-0.00013252-0.00018304i,-0.00016132+8.9827e-05i,-0.00014434+0.00036582i,0.00018371+0.0002723i
-5.4272e-05+0.0019419i,0.00056772+0.001619i,0.00089908+0.00029598i,0.0004958-0.0011521i,-0.00023125-0.0011059i,-0.00011005-0.00062193i,0.00041732-0.00026957i,0.00029564-6.7334e-05i,-0.00049105+0.00020973i,-0.00046503+6.6697e-06i,0.00030119-0.000474i,0.00038826-0.00056766i,0.00048056-0.00037594i,0.00059949+0.00037758i,0.00014944+0.0015093i,-0.00031194+0.0019733i,-0.00077663+0.00090701i,-0.00066113+0.0004539i,0.00034159+0.0007505i,0.00035368+0.00041499i,-0.00057902+9.9743e-06i,-0.00059466-0.00028606i,-0.00057191-0.00021891i
-0.00015861+0.00075354i,0.0010399+0.00060565i,0.00061629+0.00087912i,0.00018563-6.54e-05i,0.00014336-0.00061658i,0.00057763-0.00071373i,0.0011275-0.00039249i,0.0005566+0.00047518i,-0.00058767+0.00055694i,-0.00043186+0.00050564i,0.00021872+0.00021623i,0.00013416-0.00019017i,0.00024031-0.00018397i,0.00047498-0.00054127i,0.00034833-0.00067929i,5.2071e-05-0.00026168i,-5.7196e-05+0.00032714i,6.1765e-05+0.0010493i,0.00014697+0.00079562i,0.00054724+0.00010821i,0.00061201+1.6464e-05i,0.00064817-0.00031924i,0.00017095-0.00099546i
-0.00019596+0.0018101i,0.00057068+0.0013957i,0.00095083-0.0005394i,0.00073295-0.0008028i,5.8825e-05-0.0002845i,-0.00068191+1.8805e-05i,-0.00080646-0.00027323i,-0.00024884-0.00038866i,-4.692e-05+0.00043046i,-0.00019948+0.00052919i,5.5227e-05+0.00011979i,0.00025952-0.00014609i,-0.00045387+0.00033974i,-0.0010771+0.0011566i,-0.00016405+0.001546i,0.00036609+0.00076074i,0.00079801+0.00051611i,0.00040597+0.00073051i,-0.00038302+0.00043103i,-0.0008301+0.00058827i,-0.0007079+0.00020512i,-0.00030524-0.00068034i,3.4435e-05-0.0004536i
-0.0013449-0.00036912i,-0.00046788-0.00022693i,0.0002163-0.00014094i,-6.6958e-05-0.00061876i,-0.00018254-0.0006409i,0.0001231-0.00037113i,0.0002895+0.00023448i,-0.00075313+0.00015929i,-0.0010092+0.00011031i,-0.0001812+0.00031158i,0.00010859-0.00011113i,-0.00010114+0.00020439i,0.00034388+0.0010624i,0.00014377+0.0013594i,-0.00021966+0.00129i,-0.00046697+0.0013692i,-0.00045702+0.00083041i,0.00027709-9.5841e-06i,0.00070006-0.00033126i,-1.1499e-05-0.00027423i,-0.00019646+0.00024562i,0.00027603+0.00054659i,0.00044881+0.00012125i
0.0013354+0.0017182i,0.0013798+0.0013747i,0.00088277+0.00055304i,0.00015925-0.00048831i,-9.5088e-05-0.00074224i,-0.00034328+9.7731e-05i,-0.00027088+0.00057556i,-0.00017385+0.00063097i,-0.00044542+0.00096688i,-0.00066363+0.0014855i,-0.00058722+0.0010556i,-0.00043343-0.00030492i,-0.00048673-0.00046865i,-0.00074076+3.0961e-05i,-0.00037532+0.00035881i,-0.00012552+0.00067713i,-0.00055376+0.0010184i,-0.00060844+0.00053595i,-0.00054173-0.00025747i,-0.00014369-0.00010779i,0.00044911+0.00041282i,0.00013246+0.00048652i,-0.00011156+0.00040343i
