0.00051126+0.00092267i,0.0013519-0.0011909i,-0.00048753-0.0026227i,-0.0018715-0.0018535i,-0.0020814-0.00013968i,-0.0013887+0.0010793i,-0.0007508+0.0018481i,-0.00026213+0.0012721i,0.00033573-1e-05i,0.00034138-0.00034116i,-0.00063345-0.0010373i,-0.0010167-0.0016982i,-0.00083806-0.00096724i,-0.00053742+8.9106e-05i,-0.00030826+0.00061063i,-0.00043625+0.00034065i,-0.00072101+0.00064236i,-0.00046+0.0013408i,0.00011448+0.00092434i,0.0002793+3.7764e-05i,-4.908e-05-0.00011836i,-0.00038359+0.0002487i,-0.00066076+0.00010517i
0.0007823-0.00038534i,0.001634-0.0013269i,0.0010834-0.0016515i,-0.00016795-0.0012607i,-0.00086242-0.00085058i,-0.0015106-0.00063904i,-0.0011239-0.00035101i,-1.9733e-05-0.00023771i,0.00062705-0.00017025i,0.00026847-8.9838e-05i,9.7988e-05-0.00049634i,-0.000222-1.4693e-05i,-0.00054172+0.00096468i,-0.00046016+0.00076987i,-7.0897e-05+0.00025296i,0.00066613+0.0011558i,0.00041193+0.0023504i,0.00042058+0.0013611i,0.00042672+1.8438e-05i,5.0833e-05+0.00068152i,-2.197e-05+0.00089237i,-0.00022467+0.00021523i,-0.00051957+5.1578e-05i
0.0020172+0.0019781i,0.0018949+0.0018924i,0.0010969+0.0016037i,0.0014584+2.0448e-05i,0.0018254-0.0012494i,0.00068226-0.0018987i,3.5511e-05-0.0012901i,0.00036513+2.4383e-05i,0.00038869+0.0001765i,0.00027898-5.1259e-05i,0.00013169+0.00016929i,-0.00044159+0.00036913i,-0.00050825-3.3226e-05i,-0.00039736+0.0002135i,-0.00077325+0.00014446i,-0.00068656-0.00015815i,-0.00074394+0.00048569i,-0.00069683+0.00088838i,0.00013644+0.00044303i,0.00066929-0.00025798i,0.0004458-0.00022243i,-0.00012616+0.0003326i,-0.00021776+0.00045069i
0.0004569-0.00030723i,0.00052651-0.00012286i,-0.00022238+0.0012637i,-0.00035421+0.0012012i,0.00022904-0.00016364i,0.00064277+0.00025117i,0.00063244+0.00048751i,9.8876e-05-0.00036008i,-0.00065825-0.0013182i,-7.8218e-05-0.0014091i,0.00025145-0.00057126i,-0.00024828-0.00029858i,-0.00049998-0.0004883i,-0.00080778-0.00036226i,-0.00061919-4.3207e-05i,9.9579e-05+0.00045951i,0.00071815+0.00075469i,0.00053956+0.00061957i,-7.1119e-05+0.00035732i,-0.00037284+9.8349e-05i,-0.00029528+0.00042128i,-0.00039189+0.00055385i,-0.00054337+0.00018433i
-0.0019618+0.00015676i,-0.0016009+0.0017394i,-0.0009513+0.0013207i,-0.00026876+0.0011422i,-4.0255e-05+0.002126i,0.00062434+0.0018292i,0.0013446+0.00073857i,0.00093511-0.00057648i,-7.8931e-06-0.00086447i,-0.00095877+0.00034074i,-0.0012885+0.00081797i,-0.00054999-0.00030105i,-0.00029481-0.0013929i,-0.00054327-0.001368i,-0.00013486-0.00078793i,-0.0004178-9.0037e-05i,-0.0010466+0.00083993i,-0.00025535+0.0011539i,0.00086863+0.00022854i,0.00044257-0.00045037i,-0.00092821-0.00030603i,-0.0013071+0.00059323i,-0.00061056+0.0009897i
0.00015063-0.0017732i,-0.0012181-0.0010817i,-0.0024369-0.000321i,-0.0021465+0.00021227i,-0.0011699+0.00060825i,-0.0011724+0.0012339i,-0.0012771+0.00109i,-0.00079101+0.00031594i,0.00012241-0.0003794i,0.00034181-0.00049016i,-9.6419e-05-0.00075892i,-0.00027806-0.00081658i,-0.00051708-0.0011549i,-0.00052065-0.0011626i,0.0001688-0.00058921i,0.00050931-0.00025264i,0.00077903+0.00034453i,0.00049559+0.0012221i,-0.00031693+0.0011913i,-0.00032876+0.00080221i,-0.00025284+0.00061315i,-0.00073194+0.00080698i,-0.00081172+0.0011949i
-0.00011701-0.00057364i,3.8631e-05+0.00011118i,0.00024005+0.00087702i,0.00033618+0.00028761i,-0.00067407-0.00068712i,-0.00091618-0.00067831i,-0.00013261+0.00031554i,0.00036771+0.00033521i,0.00024808+7.7587e-05i,7.2627e-05+0.0002483i,0.00010461-8.7558e-05i,-3.4858e-06-4.075e-05i,5.5658e-05-8.9821e-05i,-0.00053781-0.0001219i,-0.0010232+0.00082969i,-0.00074018+0.0016337i,-0.00055966+0.0012529i,-0.00056374-0.00017495i,6.3385e-05-0.00026114i,0.00042503+0.00044071i,3.817e-05+0.00072126i,-0.0001116+0.00044512i,-0.00035422-0.00029742i
3.6899e-05+0.00119i,0.00068503+0.00023647i,0.00076763+0.00031056i,0.00010092+0.00011098i,-3.1106e-05-0.0013133i,-0.00095145-0.0011498i,-0.001792-0.00069488i,-0.001004-0.00032192i,-0.00016951+0.00052547i,-0.00028019+2.573e-05i,-4.7743e-05-0.00041055i,-0.00012166+0.00010757i,-0.00062598-0.00011796i,-0.00032322-0.00039563i,-4.8318e-05-0.00012183i,-0.00010165+0.00038309i,-0.00015781+0.00051714i,-0.00013209+0.0010997i,0.00025806+0.001177i,0.00062221-5.1232e-05i,0.00036819-0.00059468i,-0.00032419-0.00017493i,-0.00045441+0.0007023i
0.00016216+3.2195e-05i,0.0008676+0.0002892i,0.00078007-0.00046512i,0.0006139+0.00010567i,-0.00094404+0.0016072i,-0.0013537+0.0013738i,2.7208e-05+0.00037593i,0.00034783+0.00050955i,-0.00022977+0.00063768i,-0.00082925-0.00015091i,-0.0011199-0.00093425i,-0.0011848-0.00087145i,-0.0011178-0.00014068i,-0.00059754+0.00044756i,6.7892e-05+0.00052924i,0.00071214+0.00048111i,0.00012059+0.00092846i,-0.00050962+0.00071285i,0.0004464+0.00036664i,0.00099948+0.00075369i,5.2243e-05+0.00030626i,-0.0011157-0.00092216i,-0.001117-0.0004916i
0.00019238-0.0023485i,-0.0011018-0.0024577i,-0.0022125-0.0019088i,-0.0022587-0.00086902i,-0.0022541-0.00079309i,-0.0019133-0.0002697i,-0.00072866+0.00063594i,0.00036054+0.0011093i,-0.00030356+0.00028142i,-0.00084548-0.00070478i,-0.00076641-0.00044742i,-0.00087658+0.00023164i,-0.00048453+0.00046755i,-0.00053853+0.00087278i,-0.001027+0.00045219i,-0.00048626-0.0002176i,4.222e-05+0.00041529i,1.5628e-05+0.00077897i,-0.00046518+0.00041547i,-0.00063653-0.00048961i,-0.00041497-0.00067979i,-0.00016741-0.00054293i,0.00021769+4.9741e-05i
0.00062019+0.00038293i,0.00095785+0.00032662i,0.00045551+0.00025614i,-0.00056914+0.00016927i,-0.00098882-5.7506e-05i,-0.00078286-0.00035209i,-0.00012169+0.00025014i,0.00049457+0.00044971i,0.00051686+0.00018362i,-0.00038781-0.00019886i,-0.00062439-0.00019663i,-0.00079875-0.00067011i,-0.00052113-0.00089532i,7.1499e-05-0.00037294i,7.9521e-05-0.00025871i,0.00019556+0.00011189i,0.00056867+0.0002137i,0.00057984-0.00013986i,0.00032169+0.00026949i,0.00015597+0.00046921i,-0.0004754-5.2459e-05i,-0.00088235-0.00034889i,-0.0005426-9.4546e-05i
-0.00028599+0.0010159i,-0.00053932+0.00048851i,-0.00043484-0.00017797i,-0.00030069-0.0001939i,-0.00073494+0.00037479i,-0.00073493+0.00033273i,-0.00016082-0.00039076i,4.2651e-06-0.00061333i,2.8256e-05+0.00020114i,-9.7755e-05+0.00093223i,-0.00039996+0.00036268i,-0.00059144+0.00014748i,-0.00095685+0.001073i,-0.00066603+0.001373i,-0.00078811+0.00087577i,-0.00090011+0.00025738i,-0.0001121+1.1513e-05i,-0.00058783+0.00021702i,-0.00047291+0.00020668i,-3.3171e-05-0.00053062i,-0.00049066-0.00079964i,7.0009e-05-0.00013274i,0.00044353+0.00018975i
0.0003923+0.00032286i,0.0018322+0.0008287i,0.0011005+0.00092378i,-0.00018825+9.1541e-05i,-4.8892e-05-0.0010113i,-0.00025573-0.0019212i,-0.00078594-0.0017111i,-0.00057791-0.00088651i,-0.00084994-0.00016639i,-0.00086415-0.00038551i,-0.00060447-0.00012701i,-0.0005802-0.00031108i,-0.0006594-0.00056886i,-0.00065206+0.00011754i,0.00020406+0.0001437i,0.00041458+0.00013024i,-1.9517e-05+4.224e-05i,-9.1771e-05+2.3964e-05i,0.00017253-3.7704e-05i,0.00032051-0.0004728i,8.5713e-05-0.00043747i,-0.00014856-2.9911e-05i,-0.00057882-0.00016737i
-0.0019185-0.00035521i,-0.0013156+0.00014726i,-0.001362+0.0003624i,-0.0010031+0.00069961i,-0.00014046+0.00078026i,0.00020867+0.001296i,-7.6135e-05+0.0014242i,-0.00063137+0.00070034i,-0.0011414+0.00011644i,-0.0017196+0.00047487i,-0.0016403+0.001026i,-0.00079965+0.00056594i,-0.00064804-0.00066053i,-0.00031143-0.00042381i,-0.00026473+0.0010955i,-0.00068992+0.001742i,-0.00073702+0.0015077i,-0.00035241+0.00072655i,0.0001184-8.3078e-05i,0.00045221-0.00099385i,0.00032922-0.0015457i,0.00011607-0.00089892i,0.00028845+8.7708e-05i
-0.0023521-0.0027031i,-0.0018886-0.0016573i,-0.002433+0.00030134i,-0.0027352+0.0017054i,-0.0018773+0.002574i,-0.0010494+0.0025077i,-0.00039267+0.0010839i,0.00030147+0.00053224i,0.00053835+0.0004451i,0.00095415+0.00026908i,0.00039042+0.00051685i,-0.00070478+0.00022062i,-0.00094429-0.00028535i,-0.00079809-0.00066713i,-0.00056668-0.00043331i,-0.0006788-2.652e-05i,-0.00048067+0.00027125i,-0.00031924+0.00056286i,0.00025188+0.00028283i,0.00055883+0.00029731i,-5.819e-05+6.6205e-05i,-0.00047065-0.0003505i,-0.00040681-0.00056644i
0.00031231+0.00074862i,0.00020942+0.00016315i,-0.00022791-0.00059253i,0.00016049-0.00078499i,-6.6584e-05-0.00060069i,-0.00064104-0.00034099i,-0.00082604+0.00035101i,-0.00061283-4.0836e-05i,6.704e-05-0.00026085i,2.5248e-06+0.00050545i,-0.0007052+0.0008367i,-0.0013183+0.00048223i,-0.0011959+1.6638e-05i,-0.0002428+0.00030699i,0.00039253+0.0008214i,0.00046782+0.00088314i,0.00040213+0.0003673i,0.00050108-0.00035947i,0.00060485-0.0005272i,0.0010897-0.0006924i,0.0015077-0.00033692i,0.00088376+9.7968e-05i,0.00015964-0.00041178i
0.00013617-0.0021136i,-0.0013224-0.0022264i,-0.0019214-0.0024266i,-0.0013499-0.00087609i,-0.001304+0.00099931i,-0.0014061+0.0006433i,-0.00079964-0.00011892i,-0.00044355+0.00040596i,-0.00027749+0.00056151i,-0.00014263+0.0004498i,0.00026625+6.4581e-05i,0.00067817-0.00010196i,0.00052293-0.00012036i,0.00023816-0.0005954i,0.00024487-0.00085295i,0.00037288-0.0007532i,0.00045884-0.00024774i,0.00028526+0.00015969i,-0.00056109+0.00034808i,-0.00068908+2.4232e-06i,-9.2952e-05-9.3996e-05i,0.00055272-0.00017679i,0.00087614-6.1229e-05i
0.0020029+0.00099707i,0.0010849+0.0014397i,0.00035244+0.001303i,0.00054686+0.00067872i,0.00050109+0.00041631i,0.00019996+0.00015588i,-0.00022795-0.0003701i,-0.00046726-0.00026199i,0.00041798+7.3216e-05i,0.00018047+7.3833e-05i,-0.00078723-0.00063751i,-0.0010205-0.0013374i,-0.0010871-0.0013791i,6.2546e-05-0.00070504i,0.00056553-1.2701e-05i,-0.00044163+8.1144e-05i,-0.00064904-0.0003738i,-0.00028251-0.00050924i,0.00012959-0.00051661i,-4.1503e-05-0.00044927i,0.00010388-1.5966e-05i,0.00059103+0.00067502i,0.00073333+0.00027849i
-0.00188-0.00094913i,-0.0012288+0.00024751i,-0.00012966+0.0017802i,-0.00052028+0.0010126i,-0.0016655-0.00029249i,-0.0011306-0.0005426i,-7.7902e-05-0.00052865i,-0.00039344-0.00027766i,-0.00065654+0.00051625i,-7.8718e-05+0.00055057i,0.00022427+0.00013679i,0.00048561-0.00025298i,0.00029192-0.00052605i,-0.0001096-0.00062932i,-0.00018373-0.00023436i,-0.00067182+0.00013221i,-0.00028234+0.00011383i,0.00095132+0.00022533i,0.00045694+0.00025416i,-6.0308e-05+0.00064649i,-0.00015925+0.00050007i,0.00040406+0.00023632i,0.00092721+0.00054161i
0.0029072-0.0012533i,0.0030283-0.001657i,0.002598-0.00036762i,0.00078098-0.00011284i,-0.0010312-0.00030064i,-0.0017801-0.00017935i,-0.0013409-0.00035091i,-0.00028736-0.00055901i,0.00042564-0.00058159i,0.00065008-0.00031555i,0.00017489-6.5066e-05i,-0.00059159-0.00019402i,-0.00036046-0.00040187i,0.00011775+0.00064363i,0.00035568+0.0013776i,0.00011524+0.0010315i,-4.0996e-05+0.00038818i,-6.494e-05+0.00018058i,-0.00031964-7.5579e-05i,-0.00072001-0.00056459i,-0.00080072-0.00058161i,-0.00041202-0.00096839i,-0.00067009-0.00095222i
0.00013397+0.0023664i,0.00039458+0.00204i,0.0003405+0.0015238i,0.0002515+0.00035351i,0.00056405-0.00074381i,0.00092368-0.00047512i,0.00092792+0.0001668i,0.0011803+0.00054989i,0.0010971+0.00030119i,0.00030832-0.00022134i,-0.00056513-8.2323e-05i,-0.0011282-6.5944e-05i,-0.0010966-0.00017816i,-0.00080103-2.2168e-05i,-0.00028604+0.00035326i,0.00022184+0.00045824i,-0.00037829+0.0005361i,-0.0009087+0.0011656i,-0.00041668+0.00097721i,-0.00023001-0.0003128i,-0.00058974-0.00044652i,-0.000803+0.00072575i,-0.0013088+0.00099411i
0.0014792-0.00025523i,0.00098716-0.001393i,0.00087814-0.002146i,0.0010688-0.0016154i,0.0011234-0.00157i,0.00012613-0.001582i,-2.6316e-06-0.0003984i,3.6755e-05+0.00047304i,-0.00050866+0.00058566i,-0.00040831-0.00045775i,-5.8331e-05-0.001405i,-0.00044428-0.0012542i,-0.00036775-0.00058562i,6.5701e-05-0.00012648i,0.00047648+0.00073344i,-0.00022261+0.0013057i,-0.00063667+0.000412i,0.00017205+0.00029294i,-0.00041657+0.00094824i,-0.00014733+0.00074965i,0.00047204+0.00037519i,0.0002177+0.00074296i,-0.00020591+0.0010448i
0.0011062+0.0018143i,0.00088894+0.001346i,-0.00097758-0.00025676i,-0.0016698-0.0006209i,-0.0018291+0.0005254i,-0.001603+3.0677e-05i,-0.00076362-0.00099505i,0.00010176-0.0016327i,0.00048725-0.0016035i,-0.00010698-0.0007697i,-0.00068899-0.00074355i,-0.0008179-0.00018004i,-0.00042149+0.00036844i,0.00052977-0.00016873i,0.00098114-8.3284e-05i,0.00030867+0.00071183i,0.00023217+0.00079612i,0.000429+9.4952e-05i,0.00054038-0.0002029i,0.00049223-0.00019214i,9.941e-05-0.00094137i,0.00036324-0.0010589i,0.00071722-0.0007685i
-0.0023314-0.00055746i,-0.0018073+0.00019582i,-0.0014405+0.00054135i,-0.0011394+0.0016216i,-0.0011397+0.0022499i,-0.0010288+0.001598i,-0.00090758+0.00085778i,-0.00055127-4.6028e-05i,0.00030361-0.00041964i,-7.9375e-05+0.00024181i,-4.2328e-05-0.00013707i,0.00035712-0.0009375i,-2.237e-05-0.0013408i,-0.00013847-0.00085293i,-0.00031474-7.5757e-06i,-0.00035839+5.9072e-05i,0.00032855+0.00039364i,0.00022718+0.00041764i,-0.00021254-0.00045035i,-0.00036086-0.00056867i,-0.00021506-0.00050315i,-1.9938e-05-0.00060589i,0.00057067-0.00032155i
0.0016557-1.9621e-05i,0.0017529+0.0011316i,0.0014897+0.0012665i,0.00075166+0.00074754i,0.00011672+0.0010987i,0.00019189+0.0011755i,0.00082676+0.00027455i,0.0010488-0.00024152i,0.000628-0.0002252i,0.00022573+0.00021333i,1.4516e-06+0.0002645i,0.00014371-8.0979e-05i,-0.00036741-0.00065926i,-0.00049858-0.00083042i,-0.00036092-0.00023822i,-8.7146e-05+6.895e-05i,0.00035481-7.0239e-05i,0.00015047-0.00020543i,7.9608e-05-0.0005279i,0.00031302-2.8804e-05i,0.00034442+0.00068463i,8.6546e-05-0.00034689i,0.00048063-0.0011684i
-0.0023759-0.0014626i,-0.0022466-0.00071962i,-0.0019316-0.00049589i,-0.0016124+0.00037965i,-0.00075538+0.0008836i,0.00024838+0.00089567i,0.00057203+0.00051161i,0.00078342-0.00013466i,0.00063093-0.00073771i,9.1612e-05-0.00079119i,-0.0001445+3.5362e-05i,-0.00022829+0.00048011i,-0.0006084-0.00017081i,-0.0009148-0.00066245i,-0.00065134-0.00015308i,-0.00076849+0.00016459i,-0.001006-0.00071084i,-0.00081083-0.00084175i,-0.00049664-0.00053804i,-0.00044632+0.00032924i,5.5144e-06+0.00083591i,0.00036933+0.00075639i,0.0003014+0.00032081i
0.0036215-3.1647e-05i,0.0042366-0.0011379i,0.0040442-0.0019979i,0.0025126-0.002065i,0.00087896-0.00219i,-0.00046919-0.0027823i,-0.0013807-0.0021621i,-0.00049081-0.00076538i,0.00029619-0.00051975i,0.00017171-0.0011089i,-0.00057515-0.0010415i,-0.00088825-0.00063249i,-0.00043919-0.00015166i,-0.00014883+3.6373e-05i,-5.1863e-05+0.00014841i,0.0002556+0.00058647i,0.00037752+0.0008361i,-0.00057111+0.00051865i,-0.00074947+0.0005095i,-0.00018701+0.00029556i,0.00019975-3.5321e-05i,0.0002876-0.00058896i,-0.000387-0.00063503i
-0.0012947+0.00069091i,-0.0018182+0.0012768i,-0.0019628+0.001401i,-0.0023562+0.00028396i,-0.0014866+4.4267e-05i,-0.00032557+0.00068942i,7.5377e-05+0.0014089i,0.00032533+0.0014303i,0.00046859+0.00099596i,0.00013577+0.00013349i,-6.5352e-05-0.00021729i,-0.00010633-0.00096131i,-0.00035038-0.0016493i,-0.00022019-0.0010322i,0.00046222+0.00034744i,0.0006513+0.0011186i,0.00062426+0.0011516i,0.00066689+0.00033772i,0.0017827-0.00016191i,0.0019387-4.3859e-05i,0.0011043+0.00015217i,0.00054418+0.00016741i,0.00015222-7.1062e-05i
-0.00014202+7.607e-05i,-1.5317e-05+3.6799e-05i,0.00047017+0.00036282i,0.00096925+0.00056007i,0.00057006+0.00057544i,-0.00044321-2.4407e-05i,-0.0008265-0.0005925i,-0.00046871-0.00031973i,-0.00021668-5.6047e-06i,-0.00041218+0.00075861i,-0.00051612+0.00066049i,-0.00076157-0.0003615i,-0.0010634+5.7582e-06i,-0.0012564-0.00044637i,-0.0011992-0.0010384i,-0.0006298-0.00069484i,-0.00065841-0.00022151i,-0.0007692+4.8736e-05i,-7.9206e-06-3.6616e-05i,0.00025474+0.00030132i,-0.00090079+0.00010917i,-0.0007363-0.00041008i,0.00044052-0.00026484i
0.0021613+2.3117e-05i,0.0013883-0.00042711i,0.0010667-0.001591i,0.00034102-0.0017957i,-0.0012089-0.00081797i,-0.0021342+0.00017489i,-0.00087758+0.00030556i,0.0006539+5.7113e-06i,0.0010088-0.00016782i,0.00064482+0.00045132i,-0.00051276+0.0003808i,-0.0015308-8.7675e-05i,-0.0010871+0.00019493i,0.00037533-0.00018979i,0.0013006-6.132e-05i,0.001071+0.00070038i,0.00040353+0.00070086i,-0.00015857+0.00075084i,-0.00025739+0.00046404i,0.00036859-2.187e-05i,0.00085736+0.00054868i,0.00028594+0.00080512i,0.00041839-0.00037552i
-0.0014788-8.5046e-05i,-0.0011412-0.00022623i,-0.00043501-0.00037716i,-0.00025039-0.00058892i,-0.00069886-0.00026419i,-0.00049126-0.00030188i,0.0010874-0.00020221i,0.00090896-0.00018555i,-2.2262e-05-2.3236e-05i,-0.0002769-6.1816e-05i,-7.3723e-05-0.00020842i,-0.00015533-0.00043698i,-0.00034803+0.00028549i,-0.00046586+0.00087828i,-0.00092728+0.00038165i,-0.0014534+0.00040147i,-0.0011915+0.00021587i,-0.00086302-0.00023404i,-0.00025482+0.00041219i,0.00045256+0.00039277i,0.00049521-0.00047525i,-0.0003202-0.0010778i,-0.00018017-0.0003492i
0.00097916+0.00041121i,0.00035526+0.00028774i,-0.00031185-5.0859e-05i,-0.00031602-0.00089306i,-0.00037975-0.0012121i,-0.00074973-0.00053356i,-0.0013501+0.00015903i,-0.0012469+0.00047248i,-0.0002239+0.00044244i,0.00022162-0.00013627i,-0.00018718-0.00061778i,-0.00067346-0.0011051i,-0.0016236-0.00094946i,-0.0020955-0.00023058i,-0.0016273+0.00016706i,-0.00074756-0.00051337i,0.00077122-0.00019418i,0.0012898+0.00029189i,0.00055477+0.00058785i,-0.00022815+0.0013834i,-1.6846e-05+0.00098306i,0.0007929+0.00085746i,0.00078851+0.0006723i
