-0.00093788+0.0013884i,0.00043302+0.00049441i,-0.0011863-2.8714e-06i,-0.0017548+9.8369e-05i,-0.00091107+0.00055711i,-0.00064386+0.0022689i,-0.00067873+0.0042279i,-0.00046758+0.003375i,0.00038578+0.0011725i,0.0014426-0.00029024i,0.0018512-0.00065074i,0.0008588-0.001016i,-0.00055074-0.00011444i,-0.00067906+0.00081864i,-0.00086576-9.5073e-06i,-0.00084509-0.00078398i,-3.4134e-05-0.00052489i,-0.00014021+3.4041e-06i,-0.00042302-0.0001797i,0.00018151-0.0007581i,0.0006134-0.0010708i,0.00027867-0.0012291i,-0.0005663-0.00067378i
-0.00056723-0.001278i,-1.7294e-05+8.968e-06i,-0.00026983+0.0016035i,-3.5893e-05+0.0019571i,0.0011603+0.0017898i,0.0020951+0.001411i,0.0010222+0.00097937i,-0.00034872+0.00019959i,-0.00090724-0.00026241i,-0.00057641+6.131e-05i,-0.00021077-0.00025434i,-0.0006358-0.00026057i,-0.00098601+6.2375e-05i,-0.00080131+4.5974e-05i,-0.00011726-0.00040987i,0.00032419-0.00022294i,0.00022463-0.0001357i,0.00038455-0.00019783i,0.00069667-0.00010824i,0.00045421-0.00041349i,-0.00017655-0.00062576i,0.00026177-0.00030914i,-0.00038212+7.673e-05i
4.8958e-05-0.00043849i,0.0011441-0.00052429i,0.0019519-0.00019631i,0.0024655+0.00085535i,0.0028723+0.00096505i,0.0018052-1.3787e-05i,0.00056283-0.00071622i,0.0003013-0.00043022i,-0.00025256-0.00031555i,-0.00054558-0.00039932i,-0.00011118-0.00045906i,0.00020046-9.862e-05i,0.00025187+4.7376e-05i,0.00033616-0.00045904i,0.00055269-0.00014482i,8.4748e-05+0.00051385i,-0.00010562+0.00083922i,-2.2246e-05+0.00059069i,7.3318e-05+8.9249e-05i,0.00031135-4.5393e-05i,5.2248e-05+0.00019369i,-0.00014903+0.00019548i,-0.00010902+0.00055476i
8.5891e-05-0.00013461i,0.00025148-0.001096i,-0.00013103-0.00090522i,0.00056587-0.001905i,0.0014139-0.0019476i,0.00081829-0.00076403i,-0.00013834-0.00026358i,0.0001432-0.00028694i,3.5581e-05-0.00033088i,-0.00019615-0.00019106i,0.00024612-0.00054328i,-0.00040993-0.00059045i,-0.00066473+0.00030027i,0.00049437-9.0997e-05i,0.0008265-0.00084097i,0.00051919-0.00045115i,0.00028222-0.00027551i,0.00064212-0.00048979i,0.0013518-0.00015939i,0.0009264+0.00015708i,0.00027466-5.486e-05i,6.2648e-05-0.00019345i,-0.00042326+0.00045791i
-0.0017742+0.00057759i,-0.00091853-6.9953e-06i,0.00038414+0.00037143i,9.435e-05+0.0010245i,0.00022983+0.0011978i,0.00050426+0.0010825i,0.00022002+0.00060289i,0.00049276+0.0003948i,3.244e-05+8.7819e-05i,-0.00024006-0.00022232i,0.00023316-0.00023256i,0.00054024-0.00026714i,0.00052429-6.5481e-05i,7.2904e-05+0.000113i,-0.000229+0.0002761i,-0.00010348+0.00013264i,5.2813e-05-2.6476e-05i,0.00066085+5.4557e-05i,0.0010852+0.0007547i,-0.00015678+0.00058989i,-0.00010104-0.00059569i,0.00062943-0.00080619i,0.00020259-0.00028186i
0.0012439+0.00094823i,0.00065012+0.00068245i,0.0014878+0.0019865i,0.0019058+0.0026974i,0.00019817+0.00104i,-0.00044272+0.00017342i,-0.00052734+0.0010661i,-0.00071385+0.0014786i,-0.00014728+0.0015526i,0.00021238+0.0011955i,0.00043989+0.00030821i,1.5572e-05+1.0633e-05i,-8.2115e-05-0.00038375i,0.00048356-0.0008444i,0.00058225-0.00048447i,-0.00023983+0.00010997i,-0.00056524-0.00035072i,-0.0002375-0.0010305i,0.00045139-0.00081048i,0.0011452-0.00039766i,0.00076699-0.00018264i,0.00069285-0.0002278i,0.0008771-0.0004694i
9.2082e-05-0.0004304i,0.00050844-2.6791e-06i,0.0018644+0.00067653i,0.0037757+0.00089766i,0.002534+0.00062847i,0.00048304-0.00010684i,0.00015334-0.00071932i,0.00034898-0.00023003i,0.00048656+0.00023812i,0.00052513+0.00040772i,1.1852e-05+0.00024878i,-0.00047905-0.00036333i,-0.00085922-0.00017057i,-0.00079812-5.5183e-05i,-0.00018992-0.00062687i,0.00012704-0.00027294i,-4.6626e-05+4.4542e-05i,-0.00032309-0.00034558i,-0.00091522-0.00028447i,-0.0013011-0.00049366i,-0.00039521-0.00044774i,0.00030191-0.00031085i,-9.0845e-05-0.0003626i
-0.00039568-0.0026772i,0.00088103-0.0028746i,-0.00011153-0.0036765i,0.00011991-0.0027278i,0.00049671-0.0012105i,2.0234e-05+1.1423e-05i,-0.00026617+7.5324e-06i,-0.0011373-0.00034201i,-0.0011156-0.00011495i,-0.00038449+0.00034644i,-0.00021694+0.00039953i,-0.0008526-0.00040049i,-0.00097203-0.00093638i,-0.0006361-0.00063619i,-0.00065953-8.3598e-05i,-0.00045132+0.00032173i,-0.00032427+4.3995e-05i,-0.00029787-0.00041049i,8.9173e-05+0.00011913i,0.00099066+0.00074531i,0.00076055+9.1259e-05i,0.00010041-0.00014935i,4.6717e-05+0.00018533i
-0.001097-0.001662i,-0.0009469-0.0012365i,-0.0019653-0.00062929i,-0.0023189+0.00024384i,-0.00054437+0.00033506i,0.00034097+8.7971e-05i,-0.00030957+5.7072e-05i,-0.00068103+0.00010079i,-0.00083994-0.00012764i,-0.00069051-0.00037867i,-0.00042805+0.00011211i,-0.00036004+0.00051009i,-0.00092308+0.00037845i,-0.00052408-2.906e-05i,0.00020348+0.0002535i,-0.00017018+0.00034265i,0.00013131+0.00040478i,0.00098768+0.00033122i,8.1625e-05+0.00016853i,-0.00041883+0.00073042i,2.0104e-05+0.00045379i,-0.00034795-0.00014519i,-0.00030239-0.00023043i
0.001604+0.0010781i,0.0011886+0.0015925i,0.0014005+0.0017916i,0.0015058+0.0013494i,0.0013931+0.00019387i,0.0014413-0.00060931i,0.00073124+0.00023707i,2.8883e-05+0.00046887i,0.00022937+0.00030318i,9.3935e-05+0.00019515i,0.00041015-3.1008e-05i,0.0012965-0.00027007i,0.0018714-1.1514e-05i,0.0015357+0.0001798i,0.0004871-0.00090838i,-0.00033919-0.0011997i,6.5514e-05-0.0012399i,0.00044725-0.00056754i,-0.00014827+0.00082032i,-0.00062515+0.00098707i,-0.00045199+0.00047134i,0.00034984-0.00011099i,0.00075292-0.00038111i
-0.0007121+0.00016859i,-0.0010234+0.00063039i,-0.00035549+0.00093834i,0.00094171+0.0017431i,0.0014278+0.0021665i,0.00051898+0.0015584i,8.4331e-05+0.00047581i,0.00021991-0.00030368i,-0.00041118-0.00052985i,-0.00015619+0.00038866i,0.00053158+0.0014721i,0.0004269+0.0013272i,0.00019943+0.001018i,-5.8147e-05+0.00045086i,0.00020854-0.00019199i,0.00054249+0.00042329i,0.00056922+0.00019398i,0.00081178-0.00092916i,0.0014419-0.00078507i,0.0016347-0.00010872i,0.00092728-0.00010424i,0.00011839-0.00071942i,-0.00013943-0.00057051i
-0.0010115-0.000284i,-0.0010381-0.00025225i,-0.00081805-0.00010136i,1.0218e-05+0.00016251i,0.00071472+0.0002187i,0.00044117+0.00060324i,-0.00031664+0.00070185i,-0.00067463+2.6102e-05i,-0.00087057-0.0001519i,-0.00070357+0.00026118i,-0.00026473+0.00035983i,-0.00037205-0.00014871i,-0.00096472-0.00049574i,-0.000607-0.00052461i,0.00048119+8.5218e-05i,0.00064202+0.0003093i,0.00039482-0.00014349i,0.00033087-0.00057102i,0.00065007-0.00059947i,0.00062919-0.00055795i,0.00042869-0.00048532i,0.00027755-5.4955e-07i,7.6943e-05+0.00034398i
0.00023323-0.00043043i,-0.00076145-0.00019399i,-0.00073676-0.00020102i,0.00043034+0.0010708i,0.00087157+0.0014408i,0.00032374+0.00062801i,-0.00028103+0.00023659i,-0.00031414+7.9583e-05i,-0.00018424+7.0584e-05i,-5.6488e-05+0.00041793i,3.3678e-05+5.3654e-05i,0.00014092-0.00028769i,-0.00019723+0.00035426i,-0.00038117+0.00072534i,-0.00046115+0.0005232i,-0.0004682+0.00044351i,-3.8289e-05+0.00064347i,-2.2933e-05+0.00050955i,-0.00080152-0.0002967i,-0.0009598-0.00079949i,-0.00020652+4.8466e-05i,-5.5063e-05+0.00091479i,0.00039285+0.00048337i
-0.00038616+0.0001953i,-0.00051331+0.00093237i,0.00048873+0.001044i,0.00088672+0.0012023i,0.00067392+0.0005182i,0.000316-0.00093762i,0.00040434-0.0005086i,0.00050291+0.00015527i,-0.00016722+0.00019879i,-0.00056872+0.00039387i,-0.00032429+3.1644e-05i,5.1638e-05+4.9975e-05i,2.3227e-05+0.00023107i,-5.2101e-05+0.00014843i,-2.7886e-05-0.0002198i,0.0001911-0.00041725i,-4.8719e-05-8.2782e-05i,-0.0001063-2.3823e-05i,-0.0003465+3.5207e-05i,-0.00021865-0.00028678i,0.00041197-0.00078573i,0.00020342-0.00052562i,3.1978e-05+0.00041655i
-0.00157+0.0011295i,-0.0011953+0.00038726i,0.000278+0.00042067i,0.001293+0.0012984i,0.0016264+0.0010364i,0.0010773+0.00069723i,0.00070084+0.00047513i,0.00034468+0.00027722i,-9.1647e-05+0.00030325i,-0.00024526+0.00042833i,0.00026773+0.00043629i,0.00097312-0.00014712i,0.00084059-0.00072246i,0.00041467-0.00077101i,0.00047904-0.00099869i,6.8379e-05-0.00076141i,-0.00052502-0.00030593i,-0.00037667-0.0004326i,-0.00028047-0.00099211i,-0.00056355-0.0012304i,-0.00089883-0.0007122i,-0.00094028+9.0597e-05i,-0.0003254+0.00012305i
-0.0017079-0.00043619i,-0.0017328-0.00066333i,-0.00087424-0.00054237i,0.0011525+8.2638e-05i,0.0013923-0.00018909i,0.00031663-0.00033878i,-2.4131e-07-3.579e-05i,-0.0004412+0.00029072i,-0.00082497+0.00071317i,-0.00051583+0.0014704i,0.0002707+0.0016652i,0.00043869+0.0010529i,-0.00045722+0.0011908i,-0.00067643+0.00078529i,0.00020317+6.732e-05i,0.00016774+0.00027185i,0.00047035+0.00024161i,0.00075102-0.00041825i,0.00030714-0.00046786i,0.00010121-5.1066e-05i,0.00058+0.00033426i,0.00086452+0.00090224i,0.00043824+0.0011139i
-0.0009148-0.000163i,-0.0004786-0.0010609i,-0.0010132+0.00034488i,-0.00052477+0.0013128i,0.00078184+0.0010714i,0.0010927+0.00035492i,0.00087341-0.00030368i,0.00014569-0.00045022i,-0.00047705-0.00043531i,5.6128e-05+0.00036625i,0.00054121+0.0010912i,0.00028203+0.001193i,0.00034953+0.0012149i,0.00019667+0.0006054i,-0.00048281-0.00030224i,3.7346e-06+0.00013375i,0.00028727+0.00087824i,-0.00030501+0.0001184i,-0.0001841-0.00064234i,0.00040558-0.00036909i,-1.1094e-05-0.00035823i,-0.00048718-0.0009193i,-0.00060604-0.0011477i
1.5943e-05-0.0019895i,0.00073013-0.0021082i,0.00089628-0.0024357i,0.0013765-0.0014681i,0.001033-0.00055936i,-6.5884e-05-0.00026814i,-0.00020581+0.00052811i,-3.6269e-05+0.0010954i,-0.00022665+0.00043772i,-0.00056594-0.00023045i,-0.00044824-0.00036278i,-0.00053385-0.00031572i,-0.00074788-9.5708e-05i,-0.0013125+0.00030615i,-0.0014593+0.00018238i,-0.00042003+0.0002177i,0.00059428+0.00041302i,-7.3837e-05-4.1965e-05i,-0.00090458-0.001058i,-0.00030462-0.0011668i,-0.00010474-0.00052432i,-0.00050804-0.00049554i,-0.00050163-0.00026182i
-0.0010457-0.0013647i,-0.00014477-0.00064247i,-0.00019627+5.6744e-05i,-0.00035813+3.8638e-05i,-0.000305+0.00010491i,-0.00068913-0.00029266i,-0.0014335-0.00076258i,-0.0014666-0.00049371i,-0.0013518-0.00086404i,-0.0012725-0.001116i,-0.00052803-0.00054409i,-0.00047288-0.00029758i,-0.00084983-9.411e-05i,-0.00032364+1.8625e-05i,0.00032291-1.6362e-05i,0.00012189-0.0003876i,-9.2854e-05-0.00015486i,-0.00026197+0.0004047i,-0.00043015+0.00058074i,0.00016047+0.00067714i,-0.00013689+0.00037461i,-0.00041626-8.2539e-05i,-0.001124+0.0004655i
0.0016406-0.0012707i,0.0004587-0.00058281i,0.0011413-0.0005429i,0.0015011-0.00024814i,0.0010087+0.00071204i,0.00018372+0.00095464i,-0.00058366+0.0007191i,-0.0006317+0.00043869i,-0.00058654+0.00063604i,-0.00021484+0.00082938i,0.00030505-4.3653e-05i,-9.1326e-05-0.00094466i,-0.00045186-0.0004029i,6.0114e-05+0.00077008i,-0.00056174+0.00021478i,-0.00062914-0.00036851i,0.00032553-0.000307i,0.00044766-0.0007508i,0.00065837-0.00085422i,0.00023338-0.00047198i,-0.0005282-0.00052377i,-0.00063498-0.00019744i,-0.00039642+0.00073364i
0.00050947+0.002537i,0.00034996+0.0019467i,0.00068351+0.0021904i,0.00090659+0.0016002i,0.0006971+0.0010669i,-9.6486e-05+0.00066094i,-0.0001548+0.00082093i,0.00022251+0.00058596i,0.00032503+0.00027466i,-5.8962e-05+0.00018517i,-0.00057692+0.00021385i,-0.00057914-0.00011505i,-0.00041232-0.00036514i,-3.538e-05-0.00061008i,0.0004578-0.0012301i,0.00045572-0.00067806i,0.00039017-0.00020748i,0.00025855+0.00024232i,3.8615e-06+0.00055935i,0.00012579+0.00040563i,4.3244e-05+0.00096094i,8.9419e-05+0.0008068i,-6.4682e-05+0.00024905i
-0.00063595+0.0021027i,-0.00054534+0.0024102i,0.0010866+0.0020129i,0.0023697+0.0016219i,0.0027704+0.0010978i,0.0022589+0.00038264i,0.00079785+0.00014915i,-0.0001408-8.4951e-05i,-0.00046554+7.4015e-06i,-0.00080461+0.00055591i,-0.0010095+0.00043334i,-0.0003154+0.00062532i,0.00045094+0.00042843i,0.00093109+0.00023893i,0.0011668+0.00068168i,0.00067696-7.9635e-05i,0.00072571-0.0010708i,0.0012489-0.00075082i,0.00075841-0.00061003i,-0.00025677-0.00080084i,-0.00024259-0.00061013i,2.332e-05-0.00047057i,-0.00039398+0.00038882i
0.00039486-0.0020848i,0.00086964-0.00069376i,0.00098052-7.5916e-05i,0.00055176+0.0005255i,-1.6974e-05+0.0011592i,-0.00063682+0.0010242i,-0.0003393+0.00069659i,0.00019453+0.0008296i,3.735e-05+3.3623e-05i,-0.00042599-0.00046448i,-0.00040471+0.00034728i,1.1757e-06+0.00054975i,-0.00098073+0.00023651i,-0.001246+0.00021714i,-0.00018563+0.00056354i,0.00037119+0.00046191i,0.00045815-0.00030133i,0.0001613-0.00043447i,0.00024287-7.8391e-05i,-0.00020832-0.00052735i,-0.00069768-0.0010528i,-0.00014287-0.00030253i,-0.00083574+0.00021314i
-0.001694-0.0012584i,-0.0024815-0.00092222i,-0.0018583-0.00055393i,-3.4491e-05-0.00019054i,0.00162+0.00026748i,0.0017128+0.00057122i,0.00029516+0.00050542i,-0.00023295+0.00076561i,-0.00051166+0.00088554i,-0.00025035+0.00094543i,6.137e-05+0.00091896i,-0.00023135+0.00012101i,-0.00029512+0.00016149i,0.00023021+0.00039547i,0.00082352-0.00017326i,0.0009654-0.00038876i,0.00074869+0.000404i,3.5668e-05+0.00045964i,-0.00021729-0.00034176i,-0.0001966-0.00069338i,-0.00034285-0.00010942i,-0.00014907+0.00074182i,1.3085e-05-2.1256e-05i
-0.00022881+0.00023471i,0.00068841+0.00019517i,0.0011293+0.00096719i,0.0007404+0.00089761i,0.00083956+0.00018832i,0.00043438-0.00068096i,-0.00040379-0.000939i,-4.2384e-05-0.00020198i,0.00010966+0.0011024i,-0.00056069+0.00064531i,-0.00077044-0.00036997i,-0.00041118-0.00066445i,0.00046444-0.0005946i,0.00045956-1.1845e-05i,8.8389e-05-0.00028511i,0.00030878-0.00035812i,0.0010297-0.00032961i,0.0013122+0.00035344i,0.0006188+0.00077627i,5.1314e-05+0.00062011i,0.00022874+0.00021549i,2.5237e-05-0.00022677i,1.3544e-05-0.00040564i
-0.0018236+0.00197i,-0.002336+0.0013359i,-0.0021072+0.0016884i,-0.00075528+0.0013874i,0.0013516+0.00049192i,0.0017467+0.00047439i,0.00074437+0.0012094i,-0.00062692+0.0012499i,-0.00097274+0.00068841i,0.00017757+0.00071161i,0.00069092+0.00076994i,3.8486e-05+0.00035429i,-0.0001599-0.00019709i,-4.8852e-05-0.0004692i,0.00039449-0.00074627i,0.00054379-0.0010702i,0.00029924-0.00087286i,-7.1475e-05+1.7523e-05i,0.00013699+0.00025441i,0.00036305-0.00062846i,0.00020538-0.0011203i,0.00030504-0.00061261i,0.0005588-5.5834e-05i
0.0021383-0.0001734i,0.0017265-0.00052358i,0.0021935+0.00016042i,0.0019475+0.0011192i,0.00070053+0.00039425i,-0.00039804-0.00068651i,-0.00037143-0.00089846i,-1.1495e-05-0.00074572i,-0.0002249-0.00088734i,-0.00018822-0.00090361i,0.00037539-0.00049076i,0.00054522-0.00032777i,-0.00014396-0.00090479i,6.287e-05-0.00082534i,0.00053692-3.9735e-05i,1.3294e-05+4.9801e-05i,-0.00024324+0.00011846i,0.000668+0.00028412i,0.00085607-0.00010293i,-8.6671e-05-0.00094625i,-0.00027449-0.0013203i,0.00011862-0.0007408i,0.00087212+1.21e-05i
-0.00085301-9.6858e-05i,-0.00049318-3.6626e-05i,-0.00010685-0.00020394i,0.0018587-0.00045985i,0.0028408-4.7176e-05i,0.0015164-0.00069482i,0.00045627-0.00095686i,4.5259e-05-0.00012814i,-0.00036282-0.00046241i,-0.00052759+0.00020837i,-4.1118e-07+0.00062263i,0.00061865-2.4744e-05i,0.00093405+0.00021162i,0.00055224+0.00054512i,-0.00080984+0.00050649i,-0.0013197+0.00030717i,-0.00058332+0.00051672i,-0.00059551+0.0007332i,-0.00053035-0.00014082i,-0.00021904-0.00043459i,-0.00023063-0.00033451i,-2.6559e-05-0.00027232i,-9.2834e-05+0.00021683i
0.00056352-0.00096963i,9.318e-05-0.00060011i,-0.00055066+0.00068014i,-0.00083813+0.00082742i,-0.00083604+0.00048393i,-0.00087974+0.00067702i,-0.0008158+0.0010143i,-0.00072621+5.4784e-05i,-0.00072943-0.0004255i,-0.0012858-0.00044479i,-0.0011755-0.000188i,-0.00078691+0.00098866i,-0.00042946+0.0011442i,-0.00020329+0.00078832i,-0.00038686-0.00012198i,0.00018925-0.001203i,0.00052914-0.0010747i,0.00059021-0.00087577i,0.00047202-0.001136i,-0.00036111-0.00093571i,-0.00053655-0.00076107i,-0.0003843-0.0011012i,-0.00057786-0.00063531i
-0.00035512+0.00012838i,0.0004386-0.00010646i,0.00069812-0.00019711i,0.0014308+0.00073707i,0.0030019+0.0011245i,0.0028014+0.00055041i,0.001741+7.5474e-05i,0.00086794-0.00010617i,-5.9799e-05-0.00018639i,0.00020349-0.00058901i,0.00096573-0.00029058i,0.00090831+0.00025827i,0.0008562+0.00060023i,0.00029607+0.00056405i,0.00027791-0.00061956i,0.00057551-0.0013548i,-0.00037989-0.00026427i,-0.0002047+0.00025825i,0.00073439-0.00043036i,0.0009218-0.00091151i,0.00047061-0.00087814i,6.5412e-05-1.7511e-05i,0.00041079+0.0012187i
0.0012768+9.2631e-05i,0.00057232+0.00045646i,0.00064445+0.00027537i,0.0012656-0.00032226i,0.00062587-5.6671e-05i,-0.00028476+0.00036056i,-0.00052725+0.0010825i,-0.00044945+0.0012688i,-0.00076762+0.00054904i,-0.00061287+0.00015211i,0.00013302-0.00015514i,0.00071705-0.00057882i,-5.4796e-05-0.00049849i,-0.00026637-0.00012436i,0.00026399+2.8597e-05i,0.00037101+0.00051487i,0.00061763+0.0012084i,0.00044427+0.00050157i,5.7872e-05-0.00031914i,0.00038072-2.3845e-05i,0.00098464+9.9212e-06i,0.0012831-0.00015212i,0.00080517+0.00025797i
-0.00047551-0.00030889i,-0.001322-6.4998e-05i,-0.0010736-0.0004861i,-0.0002614+0.00024848i,0.00034907+0.00080337i,0.00063179+0.00027393i,0.00025854+8.1611e-05i,0.00015692-8.4938e-05i,-0.00022258-0.00011069i,-0.0009546-0.0008454i,-0.00088812-0.0012619i,-2.2093e-05-0.00025061i,0.00028741+7.7002e-05i,-5.5806e-05-0.00015416i,-0.00044193-2.1361e-05i,0.00027056-8.7898e-05i,0.00034328+0.00011455i,-8.5264e-05-1.0728e-05i,-0.00036788-0.00054145i,-0.00030895-0.0009486i,-0.00080324-0.00029659i,-0.0014359-4.6222e-05i,-0.0012713+6.0445e-05i
