2.1802e-06+0.0013819i,-0.00081815+6.082e-06i,-0.0013918-0.0015887i,-0.0021397-0.0020021i,-0.0025682-0.00077349i,-0.0027584+0.00037927i,-0.0015393+0.00039402i,0.00027643+0.00057084i,0.00040804+0.00079476i,-0.00029686+0.00036036i,-0.00012777+0.00032343i,-0.0001273+0.00048981i,-0.00029353-0.00018795i,-1.19e-05-0.00040209i,-0.00035306+0.00021898i,-0.0006812+0.00018896i,0.00026492-4.0331e-05i,0.00066629-8.2989e-05i,0.00017069-1.0106e-05i,-3.9972e-05-0.00015026i,0.00013557-0.00093043i,0.0011236-0.00088147i,0.0011618-0.00044054i
0.00014405-9.4195e-06i,0.00055986+0.00020544i,0.00030429-0.00049444i,-0.00024663-0.00081624i,-0.00045532-0.00028103i,-0.00051621+0.00059169i,-0.00042927+0.00040203i,-0.00038606-0.0002697i,-0.00055977-0.00046612i,-0.00027172+5.9256e-05i,0.00026917+0.00012741i,0.00038725-0.00054518i,-8.8493e-05-0.0003056i,-4.4621e-05+0.00013338i,0.00012062+1.8386e-05i,-0.00018652-0.00024428i,-0.00024608-0.00045325i,-0.00016273-0.00078167i,-0.0002907-9.1471e-05i,-0.0001587+0.00012173i,0.00036002-0.00015571i,0.00043135+0.00014656i,-2.9096e-05-9.7576e-05i
-0.00090581+0.00040224i,-0.00080664-0.00065199i,-0.00074007-0.0007907i,-0.00088654+0.00027177i,-0.0015315+0.00069094i,-0.0014622-0.00027596i,-0.00023733-0.00096923i,-0.00031835-0.00078303i,-0.0015152-0.0007189i,-0.0014074+0.00012564i,-0.00013501+0.00056066i,0.00045105+0.0007549i,4.0055e-05+0.0014312i,-0.00014107+0.0011938i,0.00020549+0.00046695i,0.00071114+0.00089048i,0.00058118+0.0016816i,0.0003913+0.0015178i,-0.00056668+0.00073525i,-0.0008347+0.00037118i,9.2469e-05+0.00018915i,0.00060248+0.00012078i,0.0009394-2.022e-06i
-0.00069038-0.0012732i,-0.00038415-0.0017648i,-0.0008807-0.0021002i,-0.0011661-0.0010546i,-0.00082968+0.00052166i,-0.00021509+0.00092426i,0.00054575+5.989e-06i,0.00024829-0.0010187i,-0.00022494-0.0009042i,-0.0002337-0.00073154i,-0.00053613-0.00050571i,-0.00087553+4.9812e-05i,-0.00065952+6.7147e-05i,-0.00057739+0.00021472i,-0.00032098-0.00040119i,-0.00037548-0.00080205i,-0.00093133-0.00035576i,-0.0012263+1.2211e-05i,-0.00078459+0.00029859i,-0.00013693+0.00061783i,0.0001138+0.0002368i,0.00049986-0.00016332i,0.00053274+0.0004891i
0.0026276+0.0033405i,0.0014743+0.0025218i,0.0015581+0.00062419i,0.0010399+0.00042681i,-0.00018299+0.00069928i,-0.00067484+0.00031781i,-0.00042392-1.1778e-05i,0.00052015-0.00059261i,0.00044855-0.00044788i,-0.00023356-0.00022241i,0.00029569-0.00037525i,0.0004171-0.00013689i,-0.00030499+0.00012971i,7.3439e-05-3.3768e-05i,0.00040158-0.0001134i,0.00040858-5.9942e-05i,0.00030007+0.00021224i,0.00014106+0.00041195i,0.00026803+0.0005169i,0.00053261+6.7771e-05i,0.00080006-0.00015742i,0.00044844+0.0001551i,0.00014982-3.2093e-05i
0.0026634+0.0004893i,0.0025315-0.00038284i,0.0020872-0.0001805i,0.00033977-0.00035267i,-0.001068-3.5323e-05i,-0.0014863+0.0011773i,-0.001048+0.00052552i,-0.00056844-0.00026143i,-0.00064628-0.00024281i,-0.00023409-0.00035663i,-8.8387e-06-7.601e-05i,-0.0010156+0.00066574i,-0.00075292+0.00060961i,0.00036581-5.4308e-05i,0.00064147-0.00034409i,0.00043718-9.8113e-05i,0.0001225+0.00039124i,-0.00019367+0.00034117i,-0.00054239-0.00040665i,0.00015959-0.00026906i,0.00062719+0.00095088i,0.00015324+0.0013868i,-0.00013558+0.0010499i
0.002452+0.0012498i,0.0025456+0.0013922i,0.003947+0.0016502i,0.0026799+0.0010255i,0.00022294+0.00011841i,-0.00072074-0.0005373i,-0.00082525-0.00088891i,-0.0006958-0.00081188i,-0.0005238-0.0010068i,-0.0010895-0.0012472i,-0.0014345-0.00085145i,-0.00052082-0.00029372i,-9.6066e-05-4.1653e-07i,0.00043444+0.00016926i,0.00039294-0.00085845i,0.00030451-0.0013043i,0.00094153-0.00045837i,0.00082613-6.4623e-05i,0.00070015-0.00027174i,0.0011355-8.995e-05i,0.00044003+0.0002303i,-0.00021238+0.00011571i,-0.00028713-0.0003557i
0.00058478+0.0016731i,7.8023e-05+0.0019538i,0.00048068+0.0019974i,2.7344e-05+0.00097646i,-0.0011622-0.00019623i,-0.001344-0.00093518i,-0.00012141-0.00050859i,9.2302e-05-0.00019101i,-0.00050857+7.2782e-05i,-0.00046024+0.00014157i,-0.00010648+0.00012675i,0.00043519+0.00042183i,0.00035769+9.9359e-05i,-0.00026681-0.00038461i,-6.8074e-05-0.00061954i,0.00036049-0.00051487i,0.00031258-0.00076204i,-0.00037536-0.00086117i,-0.00032566+3.2472e-05i,0.00054666+0.00084501i,0.00039809+0.00096169i,8.179e-05+0.00058513i,-7.243e-05-0.00013011i
0.00029351-0.0013331i,0.00020824-0.0011243i,-0.00035555-0.00079793i,-0.00080421-0.00023378i,-0.00099866+0.00020066i,-0.00068259+8.1935e-05i,6.4379e-05+0.00021871i,0.00071984+0.00024839i,0.00038348-0.00013106i,-0.00077225+0.00018969i,-0.0010496+0.00028163i,-0.00033162-0.00030027i,0.00037339+0.00031985i,0.00020853+0.0019644i,0.00027488+0.0021041i,0.0003176+0.00094375i,0.00047368-0.00017609i,0.00055071-0.0006642i,7.5005e-05-6.5608e-06i,2.5157e-06+0.00023758i,-0.00014477-1.4829e-05i,-0.00055631-0.00014931i,-0.00026853+0.00014298i
0.0022841+0.0015692i,0.0025582+0.0020372i,0.0013444+0.0013698i,0.00032049+0.00027098i,4.9147e-07-0.00022683i,-0.0007408+2.4211e-05i,-0.00033917+0.00075193i,0.00052678+0.00030184i,0.00030886-0.00070551i,0.00021708-0.00054547i,-0.00055699+0.00046385i,-0.00094957+0.00017876i,-0.00093063-0.00041741i,-0.00063139+3.8695e-05i,-0.00058933-0.00026954i,-0.00075375-0.00071747i,-0.00072701-0.00069059i,-0.00032824-0.00026578i,-6.0715e-05+0.00050396i,0.0001062+0.00046454i,5.3317e-05+0.00053845i,-0.00034993-0.00022627i,-0.000384-0.00075253i
-0.0001238-0.0001951i,-0.00053602+7.7282e-05i,-0.00071198-0.0002963i,-0.0019996-0.001349i,-0.0015721-0.00054712i,-0.00091405+0.00044602i,-0.0014224+0.00034778i,-0.001173+2.6229e-05i,-0.00063944+7.5402e-05i,-0.00022426+0.00033255i,-0.00033857+0.00078751i,-0.0001355-6.6943e-05i,0.00059182-0.00085888i,0.00087405-0.0003034i,0.00049499+0.00038604i,0.00035124+0.00095054i,0.0005106+0.00045559i,0.00036372-0.00053823i,0.00015905-2.4306e-05i,-1.4154e-05-5.7389e-05i,-5.3706e-05-0.0005874i,-0.00040654-0.00027403i,-0.00014236-0.00038422i
0.00088693-0.00042091i,0.0010464+0.00028774i,0.0013851+0.0020291i,0.00048507+0.0017299i,-0.00016278+0.0007582i,-0.00045917+0.0011569i,-7.4429e-05+0.0011073i,0.00021789+0.00023384i,6.2443e-05-0.00030348i,-3.8482e-05-0.00010652i,-7.3042e-05+0.00022279i,-0.00014734+0.00017817i,-0.00059355-0.00020398i,-0.0010186-0.00018656i,-0.00012239+0.00019034i,0.00039378+0.00033552i,0.00016004+0.00044387i,0.00037204+0.00021289i,0.00012576-0.00014167i,-0.00022203-1.3879e-06i,-0.00040186+0.0003227i,-0.00032251+0.00057485i,-0.00015984+0.00058185i
-0.00016726-0.0018859i,-0.0010143-0.0017106i,-0.0017651-0.0009111i,-0.0011056+1.1062e-05i,-0.00068343+0.00042449i,-0.00048451+0.00039941i,0.00033679+0.00037892i,5.2349e-05-0.00077964i,-0.0005999-0.00098275i,-0.0012977-0.0001748i,-0.00075407+0.00021304i,0.00037306+0.00043153i,0.00062899+3.3287e-06i,0.00026965-8.5339e-05i,-0.00018612-0.00038642i,-0.00056605-0.0004897i,-0.00037938-0.00070771i,0.00050017-0.00042786i,0.00074578+0.00065393i,0.00061692+0.0010382i,0.00034114+0.00068566i,0.00024154-0.0001579i,0.00050552-0.00032712i
0.00043729+0.00077489i,-0.00118+0.001047i,-0.00089792+0.0013936i,0.0002092+0.00097466i,7.2977e-05+0.00035985i,0.0001986-0.0005619i,1.4551e-05-0.0010992i,-0.00044213-0.0015252i,-0.00061811-0.0010446i,-0.00054094-2.0592e-05i,0.00059111+0.00041236i,0.00072324+0.0005245i,0.00013005+0.00032088i,0.00027774+0.00067641i,0.00036036+0.00062917i,0.0002056-0.00029534i,0.00019362-0.00057343i,0.00020143-0.00039924i,0.00033675-0.00044996i,0.00071008+8.6024e-05i,-3.3626e-05+0.0006746i,-0.00057419+9.3573e-05i,-0.00025032-0.00097911i
0.00075767-0.0010323i,0.0007212-8.2126e-05i,-6.5411e-05-0.0011199i,-0.0011811-0.00095468i,-0.0017943+1.0756e-05i,-0.001195+0.0008011i,-0.00016958+0.00066262i,-0.00037786+3.7083e-05i,-0.0010285-5.8864e-05i,-0.0011956+0.0004135i,-0.00084216+0.0012839i,-0.00032043+0.0016048i,-0.00027588+0.00065535i,-0.00059645-0.00036158i,-0.00043388-0.00025515i,0.00017703+0.00011367i,-5.1969e-05+0.00014434i,-0.00071282-5.7803e-05i,8.3397e-05+0.00020396i,0.00067721+0.00031875i,-0.00028354+0.00022469i,-0.0002192+0.0004878i,0.00042811+0.00032217i
0.0015336-0.00018479i,0.001612+0.00039437i,0.0010802-0.00025169i,-0.000492-0.0003373i,-0.0017212+0.00017169i,-0.0013602-0.00034867i,-0.00058989+8.6087e-07i,-0.00059772-0.00019982i,-0.00050279-0.00048097i,0.00013419-0.00014478i,0.00017368+0.00022018i,-0.00034218+0.00029866i,-0.00022358-0.00030098i,0.0003352-0.0012116i,0.0001546-0.0010674i,-9.848e-05-0.00081024i,0.00016157-0.00026983i,0.00068794+0.00020069i,0.00048782-0.0010409i,0.00015697-0.0010675i,0.00014867+0.00027395i,0.00016962+0.00035489i,5.0416e-05-0.00043929i
0.0017284+0.00059949i,0.0019803+0.00050891i,0.0017914+0.00098313i,0.00016123+0.00048912i,-0.00050353-0.0005557i,-0.00039536-0.00068101i,0.0001564-5.9504e-05i,-0.00035719-0.00061457i,-0.00088033-0.001207i,0.00036882-0.00062556i,0.0011765-0.00015941i,0.00068496-0.00027444i,-7.3471e-05-0.00020223i,-0.00057111+9.867e-05i,-0.00061277-0.00011807i,-0.00027076+0.00031593i,0.00027708+9.0476e-05i,0.00051632-0.00048235i,9.8102e-05+0.00011505i,7.8167e-06-3.8399e-05i,-0.00061067-0.00060971i,-0.00090043-0.00082304i,-0.00010013-0.00017319i
-0.00020698+0.00067282i,-0.0003143+0.00048865i,0.00064681+0.00046529i,0.00021385+0.00011619i,-0.00053524-0.00031705i,-0.00044892-4.8868e-05i,0.00023848+0.00046464i,0.00028609+8.9526e-06i,-0.00052269-0.00011339i,-0.00080306+0.00010202i,-0.00019831+0.00049502i,0.00085372+0.0013736i,0.00081803+0.0009939i,0.00013736-0.0003544i,0.000515-0.00055846i,0.00083638-0.00013707i,0.00035285+8.957e-05i,8.2484e-05+0.00053193i,0.00028085+0.00042519i,4.5003e-05-0.0005006i,-0.0003306-0.00036372i,-0.00011826+0.0004122i,-0.0002785+7.1111e-05i
-0.00061606-0.00066308i,-0.00031169+0.00029355i,-0.00045027+0.00063905i,-0.0019137-0.00017057i,-0.0020469-0.0012964i,-0.0011232-0.00073241i,-0.00091617-0.00034277i,-0.00036126-0.00092475i,-0.0003122-0.0010176i,-0.0011053-0.00084965i,-0.0018957-0.00044644i,-0.0017405-0.00017348i,-0.00095595-0.00072068i,-0.00012333-0.00074622i,0.00058294-4.5123e-05i,0.00051651+0.00032189i,0.0003742+0.0002904i,8.766e-05+0.00016084i,0.00010752+0.00011066i,0.00022578+0.00033293i,0.00042586+0.00078347i,0.00061905+0.00035043i,0.00029899-2.1669e-05i
-0.0013668+2.7939e-06i,-0.00077033+0.00017356i,-0.0012809+0.00075789i,-0.0013093+0.0015586i,-0.00078072+0.0018763i,0.00022317+0.0011375i,0.00055377+0.00014957i,0.00019389-0.00053264i,0.00029895+0.00032752i,6.6972e-05+0.00085124i,-0.00029032+0.00035078i,-0.00047669+0.0002599i,-0.00042556+0.00026602i,-0.00021717+0.00015817i,0.00018164-0.00032841i,0.00032161-3.5495e-05i,0.00049979+0.0009269i,0.0009761+0.0016254i,0.00051092+0.0014883i,-2.8071e-05+0.00030451i,-0.0001835-0.00086117i,-0.00031185-0.00060255i,-0.00039924-0.00019824i
-0.0016418-3.7576e-06i,-0.0018166-0.00015517i,-0.0018976+0.00070306i,-0.0016102+0.0010962i,-0.0013543+0.00073774i,-4.9177e-06-2.2567e-05i,0.00084509-0.00054865i,0.00028465-0.00016967i,-0.00028928-1.3068e-06i,-0.00016193+0.00028036i,4.8103e-05+0.00038146i,4.4815e-05+9.381e-05i,0.00044327-0.00020711i,0.00083087-0.00011056i,0.00044367+0.00035653i,0.00019125+0.00060734i,-1.3066e-05+0.00032139i,2.0889e-05-0.00060526i,0.00025884-0.0004934i,-0.00013439-2.2285e-05i,-0.00034949+0.00010422i,-0.00031223-0.00017987i,0.00062148-0.00054906i
0.0013681+0.00024423i,0.00043371-0.00092122i,4.7624e-05-0.0010024i,-0.00051808-0.00081786i,-0.00083997-0.0012306i,-0.00059001-0.00090291i,0.00061745-0.0001005i,0.0010311-0.00035203i,9.1634e-05-0.00070843i,0.00015613+0.00021885i,0.0001156+0.00092285i,-0.00070956+0.00085148i,-0.00083753+0.00020375i,-0.00066425+7.2001e-05i,-0.00031248+0.00065749i,0.00036465+0.00069503i,-8.1277e-05+0.00021204i,-0.00083821+0.00016971i,-0.00041949+3.9377e-05i,0.00027457-0.00031493i,0.00068439-0.00034751i,0.00050268-0.00060419i,0.00025024-0.0001098i
9.4432e-05-0.00085449i,0.00033046-0.00046649i,-0.00071533-0.00024498i,-0.0017032+4.6887e-06i,-0.0019387+0.0006914i,-0.0011366+0.0017329i,-0.0005133+0.00092537i,-0.00044374-0.00039879i,-0.00054022-0.0011856i,-0.00010894-0.0012393i,-0.0001182-0.00062862i,-0.00014184-0.00018218i,0.00029432+0.00019335i,0.00056535+0.00078951i,0.00049442+0.00056443i,0.00046098+0.00040477i,0.00071525+0.00038037i,0.00063074-6.8224e-05i,-9.9425e-06+0.00010574i,-0.00050624+2.3241e-05i,-0.00036434+6.4295e-05i,-0.00066806-0.00010592i,-0.00048668+4.8516e-05i
-0.0015011+0.0014626i,-0.0015829+0.00083832i,-0.0012115+0.00068371i,-0.0013797+0.00081543i,-0.0013894-0.00057515i,-0.00015257-0.0017551i,0.00066654-0.0017273i,0.00012194-0.0011765i,-0.00087847-0.00074133i,-0.00051476-0.00043013i,0.00043912-0.00025818i,0.00038629-0.00080144i,-0.00018394-0.00085673i,-0.00010113+8.1312e-05i,-0.00032616+0.00053288i,-0.0012855+0.00077839i,-0.0011409+0.00092858i,-0.00036707+0.0001797i,0.00016314-0.00059841i,-0.0003953-0.00047738i,-0.00080504-8.0692e-05i,-0.00039176+0.00032336i,0.00036034+0.00023413i
0.00026126-4.4051e-05i,0.0010148+9.4849e-05i,0.00094754+0.00062879i,0.00010735+0.00077i,0.00022317+0.00045669i,-0.000104+0.00043919i,-0.00060746+0.00023734i,-0.00062065-0.00072291i,-0.00067122-0.00043083i,-0.0010485+7.6058e-05i,-0.00067599-0.00026803i,0.00025409-0.00031267i,0.00056993-0.00019859i,-0.00012717-0.00044714i,-0.00022348-0.00081871i,0.00076616-0.00032969i,0.00071372+0.0001625i,0.00053763+0.00025072i,0.0009042+0.00057599i,0.00097936+0.00039786i,0.00073172+0.00070368i,9.5848e-05+0.0009184i,-0.00093122+0.00038684i
-0.00011405-0.0013076i,0.0002543-0.0003261i,-0.0016133-0.0014566i,-0.002956-0.0019696i,-0.0025076-0.00066394i,-0.0017786+0.00039522i,-0.00035389+0.0010163i,0.00032311+0.00024017i,-0.00040894-0.00091458i,-0.00078458-0.0005612i,-9.174e-05+0.00031758i,0.00021405+0.00054957i,-0.00028696+0.00033778i,-0.00011004+6.7018e-05i,6.1941e-05+0.00012181i,6.0719e-06-4.1745e-05i,-0.00032966-0.00012483i,-5.3738e-05+5.3571e-05i,0.00014474+6.2964e-05i,-0.00027287+0.00029174i,-0.00070659+0.00023702i,-0.00033328-6.4874e-05i,0.00026088+0.00045912i
0.0011291-6.0386e-05i,0.00083372-0.00043561i,0.0006215-0.00021865i,0.00050564-0.00056462i,0.00011963-0.00088044i,0.0003768-0.00054495i,0.00096619-0.00023885i,0.0013043-0.00012581i,0.00079546-0.0001905i,-0.00033232-0.00050023i,-0.00070408-0.00031117i,-0.00028009-0.00027386i,3.9052e-05-0.00035272i,0.00025078-0.00030803i,-0.00011986-0.0002044i,-0.00054205-0.00028132i,-0.00053581-0.00076675i,-3.8063e-05-0.00082884i,0.00036941-0.00039965i,0.0004065+5.0873e-06i,0.00051427-0.00017598i,0.00040036+0.0001824i,0.00014847+0.00084909i
-0.00098666-0.00050143i,-0.0009497-0.0011329i,-0.0022055-0.00085115i,-0.0022377+0.00036016i,-0.0021553+3.014e-05i,-0.00084452-0.00039968i,9.2765e-05-0.00094387i,-0.00085316-0.0012005i,-0.0011347-0.00044772i,-0.00053147-0.00040272i,-0.00016561-0.00055234i,2.4857e-05+9.9188e-06i,0.00044806+0.00083533i,0.00058902+0.0010685i,6.215e-05+0.00024415i,0.00018218-2.1492e-05i,0.00066439-0.0002404i,0.00061588-0.00020374i,0.00034241+0.00013886i,-0.00061374+0.00025069i,-0.0015207+0.00077851i,-0.001099+0.0010134i,-0.00032352+0.00026953i
0.00097226-0.00072223i,0.0013028+0.00050609i,0.00144-0.00037368i,0.00010169-0.00046793i,-0.0012366+3.0029e-05i,-0.0006546+0.00062996i,0.00015518+0.00080615i,8.6737e-05-0.00049032i,-0.00046302-0.0011105i,-0.00073588-0.00083411i,-0.00081552-0.00093585i,-0.0010364-0.0010021i,-0.00031022-0.00070896i,-0.00040309-0.00012858i,-0.00080204+0.00012784i,-0.00036607+0.00027773i,-0.00050043+0.00033185i,-0.00080134-8.6747e-06i,-0.0015118+0.00031955i,-0.0012706+6.4036e-05i,-0.00060759-0.00025097i,-0.00030264+0.00057236i,0.00050243+0.00024794i
-0.00023877-0.0020149i,0.00023574-0.0018497i,4.4013e-05-0.001249i,-0.00012847-0.0015655i,-0.00089747-0.00061906i,-0.00099496+0.00022725i,6.2541e-06-0.0011711i,0.00028526-0.0016582i,-0.00038771-0.0001899i,-0.00065521+0.00066171i,-4.5344e-05+0.00021371i,-0.00015231+6.9544e-05i,-5.2748e-05+0.00022433i,0.00016617+0.0005322i,0.00018407+0.00039627i,3.7531e-06-0.00020326i,0.00058215-0.00076218i,0.00061679-0.00063991i,-7.914e-05+0.00043574i,4.0515e-05+0.00090433i,6.6479e-05+0.00076712i,-0.0002371+0.00069291i,-0.00044758+0.00016903i
-0.0012169-0.00046291i,-0.00023943-0.0012636i,6.5482e-06-0.001765i,0.00085783-0.001891i,0.0011348-0.0016505i,0.00090361-0.00065381i,0.00071048-0.00077543i,-0.00022468-0.0012687i,-0.0016942+6.5498e-05i,-0.0013855+0.00091016i,-0.00032984+0.00023581i,-0.00019743+0.00034806i,-0.00061678+0.00015827i,-0.00082089-0.00063825i,-0.00070637-0.00030138i,-0.00055567-0.00047592i,-0.00016319-0.0010139i,5.1153e-05+4.588e-05i,0.00018252+0.00086423i,-0.00019203+0.00047136i,-0.00059967+0.00046053i,-0.00016108+0.00057765i,-0.00021393+0.00070474i
-4.0273e-05+0.00014237i,-0.00034328-0.00033783i,-0.00052433-0.00037052i,-0.0022171-6.9685e-05i,-0.0038743+0.00039818i,-0.0034026+0.000482i,-0.0018005-0.00020762i,-0.0005705-0.00030497i,-0.00028605+0.00030825i,-0.00052832+0.00068702i,0.00058512+0.00063134i,0.00062555+0.00051458i,0.00024038+3.0032e-05i,0.00067583-0.00071158i,0.00049664-0.0004157i,0.0005494+9.1067e-05i,0.00082273+1.212e-05i,0.00045413+0.00015905i,0.00013596+0.00030853i,0.00011431+0.00048398i,5.258e-05+0.0003609i,-0.00036141-0.0001426i,-0.00032383+0.00018898i
