-0.001492+0.0025337i,-0.002102+0.0016232i,-0.0020449+0.00023474i,-0.001776-0.00029337i,-0.0012511+0.00055639i,-0.00015968+0.0011627i,7.5982e-05+0.0016065i,0.00082202+0.00083109i,0.0013796-0.00038515i,0.0013658-0.00028225i,0.0013342-6.1102e-05i,0.00035701-0.0008366i,-0.00062337-0.0014727i,-0.00053148-0.0012544i,5.1194e-05-0.00038569i,0.000498+8.7857e-05i,0.00025122-0.00013239i,-0.00033043-0.00048159i,-0.00032152+6.8469e-05i,-0.0007001+3.1657e-06i,-0.0014786-0.00029967i,-0.00085823+0.0003149i,-0.00020185+9.7205e-06i
0.0012779+0.00065419i,0.0019745-0.00093638i,0.0017623-0.00065225i,0.0006575-0.00030225i,-0.00015984-0.0012784i,7.7538e-05-0.00084185i,0.00052175+0.00048535i,0.00011463+0.00064779i,0.00015632+0.00035885i,0.00036168-9.3497e-05i,0.00031463-0.00022875i,0.00046187-0.00011458i,0.00011486+0.00043097i,-0.00071256+0.0009661i,-0.00059709+0.00065797i,-0.00019457+0.00059335i,-3.1019e-05+0.00068559i,8.7378e-05+0.00029226i,-6.4205e-05+0.00038966i,-0.00019432+0.00096472i,0.00017434+0.00040091i,-0.00054455-0.00025652i,-0.00082858-0.00070538i
0.00021936+0.0016363i,0.00073909+0.0013639i,0.00099819+0.0011351i,0.0013891+0.0011126i,0.0016925-0.00034656i,0.0014716-0.00091378i,0.00058335+0.00052241i,2.9011e-05+0.00074817i,-0.00034195+0.00055173i,-0.00013484+0.00068979i,-9.8591e-06+0.00040093i,-0.00019307+0.00010092i,0.0001941+0.00012814i,0.00029858+0.00051264i,0.00032815+0.0010138i,-0.00036965+0.00044006i,-0.0012268+0.0001007i,-0.0010645+0.00066738i,-0.00033332+0.00082441i,0.00017313+0.00036849i,0.00019718+1.6575e-05i,-0.00025425+0.00057969i,0.00011007+0.00089618i
0.00082336-0.0016367i,0.00043689-0.0016509i,-0.0010338-0.00079458i,-0.0022145+0.000409i,-0.0022043+0.001158i,-0.0015037+0.00094315i,-0.0004378+0.00070998i,0.00072156-0.00037692i,0.00080225-0.00088153i,-0.00011557+0.00035725i,-0.00041487+0.0011805i,-0.00023951+0.00066099i,0.00024429-2.2051e-05i,0.00045573-0.00020912i,-0.00029277-0.00039198i,-0.00037867-5.0132e-06i,-3.0077e-05+0.0010025i,-0.0001285+0.00097905i,-0.00014551+4.7337e-05i,0.0003174-0.00026391i,0.00097813-0.00036148i,0.00086313-0.00068219i,0.00013433-0.00045368i
-0.00079772+0.0017829i,-0.00086241+0.001004i,-0.00025507+0.00047767i,0.00041178-8.0101e-05i,0.00081371+0.00016899i,0.00076445+0.0013803i,0.00072342+0.0020024i,-0.00019338+0.0020588i,-0.00040246+0.0017361i,-2.7575e-05+0.0012938i,-4.3026e-06+1.5477e-06i,-0.00045923-0.00074315i,-0.00078912-0.00088225i,-0.000301-0.0010786i,0.0001051-0.00076243i,0.0001984-0.00047253i,0.00023971-0.00014659i,0.00016988+0.00017263i,0.00021204+0.00015495i,0.00029682+0.00039321i,0.00019532+0.0007528i,0.00010168+0.00056429i,0.00018431+0.00027427i
-0.00037121-0.0013176i,-0.00014926-0.0011963i,-0.0012324-0.00072769i,-0.0021105-5.9283e-05i,-0.0012827+0.00029201i,-0.0004814+0.00060379i,-0.00040709+0.00046555i,6.6641e-05+3.8174e-05i,0.00019517-0.00048189i,0.00027312-0.00014725i,0.00050783+0.0004181i,0.00052951+0.0005437i,9.7301e-05+0.00040441i,0.00020787+0.00087735i,0.00014426+0.00089562i,-0.00012553+7.7231e-05i,3.4652e-05-0.00022884i,0.00021987-8.9872e-05i,-0.00015907-0.0001104i,0.00036135-0.00047444i,0.00064559+0.00021543i,-4.9056e-05+0.00085655i,-0.00062689-4.1823e-05i
-1.0459e-05+0.00081856i,-0.0010437-0.00021493i,-0.00047383-0.00039482i,-0.00018216+0.00020397i,3.2034e-05+0.00016576i,0.00075214-0.00022633i,0.0008911-0.00032373i,0.0009783+0.00023923i,0.0010407-0.00013241i,0.00092377-0.00074411i,0.00048802-0.0015934i,3.1977e-05-0.002138i,2.6737e-05-0.00072888i,-0.00022556+9.0733e-05i,-0.00017651-0.00089689i,0.00027904-0.00088852i,0.00018772-6.7952e-05i,1.686e-05-0.00029863i,-0.00048794-0.0006552i,-0.00085887-0.00058173i,-0.00048768-0.0001455i,1.5305e-05+0.00042055i,0.00027698+0.00066479i
0.0025005+0.0015168i,0.0021455+0.00065556i,0.0021291-0.00027776i,0.0014753-0.0012096i,0.00075253-0.00084357i,0.0004871-0.00046658i,-7.5336e-05-5.7147e-05i,-0.00011666+6.5815e-05i,0.00053952-0.00032992i,0.00082845-0.00070148i,0.00092265-0.00058774i,0.00056501+5.1292e-05i,-0.00033335+0.00025067i,-0.0013662+9.0953e-07i,-0.001696-0.0005794i,-0.00062072-0.00049724i,-1.9591e-05+8.4555e-06i,-0.00021257-5.2186e-05i,-0.000166-0.00010575i,0.00040351-0.00014659i,0.00031455+0.00015887i,-8.4218e-05+0.00044969i,-0.00025249+0.00022002i
0.0010464+0.0011702i,0.0015132-0.00011898i,0.0011024-0.00051169i,0.00063651-0.0011396i,-0.00020126-0.0013467i,-0.00079236-0.00093957i,-0.00089541-0.0006921i,-0.00053227+0.00044334i,0.00030752+4.4397e-06i,0.00076456-0.00078735i,0.00048166-0.00087598i,-0.00037263-0.00088123i,-0.00096889-0.0007392i,-0.000947-0.00025494i,-0.00094041+0.00035355i,-0.00020359+0.000126i,0.00023043-0.00027213i,0.00052424+0.00038343i,0.00096364+0.00090524i,0.00044131+1.0504e-05i,-0.00056024-0.00012361i,-0.00072855+0.00040533i,-0.00044092+0.00037563i
0.00027457-0.00048953i,0.00022905-0.0017373i,0.00044097-0.0022332i,0.0005426-0.0017853i,0.00037576-0.0011743i,-0.0004746+9.1678e-05i,-0.00017268+0.0010467i,0.0011096+0.00021136i,0.0011539-0.00070828i,0.00049007-0.00054691i,4.7332e-05+3.5064e-05i,-0.0012384+0.00036446i,-0.0022006+0.00072823i,-0.0015723+0.0005996i,-0.00072869+0.00010762i,-0.00024272+0.00016769i,4.7425e-05+3.0623e-05i,-7.9442e-05+0.00014967i,1.257e-05+0.00034645i,-0.00012814-8.9406e-05i,-0.00012806-0.00068119i,0.00017446-0.00066737i,-0.00018519-0.00075831i
0.00016954+0.00018575i,-0.00068988-0.00079366i,-0.0002808+0.00016722i,0.00044137+0.0012422i,0.00054136+0.00089219i,0.0001717+0.00069207i,0.00014923+0.00090658i,0.00038351+0.001361i,0.00032688+0.0012884i,0.00021674+0.00079477i,0.00058614-1.7322e-05i,0.00072585-0.00059251i,0.00044212+0.00016097i,-0.00022564+0.00067026i,-0.0012021-0.0002228i,-0.00090976-0.0012327i,-0.00020394-0.00069214i,-0.00012323+0.00071606i,-0.00026744+0.00081628i,-0.00062709+0.00036306i,-0.00029042+0.00019899i,8.9027e-05-0.00016376i,0.00057744-0.00028802i
-0.0012754-0.00066097i,-0.0012846+0.0003285i,-0.0013621+0.0005533i,-0.0012652+0.00025785i,-0.00038042+0.00062488i,0.00037126+0.0005586i,0.00025722+0.00086868i,0.00013675+0.00063817i,0.0002366-0.00039492i,0.00015765+7.6768e-05i,-9.7123e-05+0.00079843i,-3.1852e-05+0.00059499i,0.00033841+0.00016326i,0.00036904+0.00040837i,0.00039063+0.00041069i,0.00060955-0.00028955i,0.00073298-0.00028522i,0.00066074+5.9631e-05i,0.00076941+0.00011395i,0.00044944+0.00011212i,0.00023535-0.0001041i,0.00036499-0.00010519i,0.00035694-7.251e-05i
0.00076535+0.00049418i,0.00093625-0.00048414i,0.00032123-0.0010791i,0.00035352-0.0010762i,0.00080934-0.00072533i,0.00059065+0.00025069i,0.00062035+0.0010269i,0.00061681+0.00095321i,0.00063863+0.00013739i,0.00094064-0.00037115i,0.00099634-0.00030227i,0.00059055+1.5316e-05i,-0.00022006-6.7218e-05i,-0.00039332-0.00049938i,-0.00036293-0.00041029i,-0.0008675+0.00016243i,-0.00092029+0.00058631i,-0.00075783+0.00039967i,-0.00071565+0.00011461i,-0.00053406-0.0002376i,-0.00053097-0.00079466i,0.0005376-0.0013071i,0.0012977-0.00053979i
-1.6586e-05+0.002349i,0.0010033+0.0026803i,0.0018277+0.0028248i,0.0024235+0.0014778i,0.0014975-0.00034817i,-0.00028918-0.0014563i,-0.00043733-0.00087043i,-3.482e-05+0.00029232i,-0.00021885+8.6481e-05i,0.00016739-0.00054768i,0.00064402-0.00095804i,0.00067933-0.001015i,-0.00027971+0.00024511i,-0.001007+0.0010825i,-0.0014023+0.00019202i,-0.0014361-0.00048251i,-0.00099362-0.00034762i,-0.00090034-0.00010717i,-0.00066862+0.00022251i,-0.00035774+0.0005067i,0.00037679+0.00023343i,0.00066073+1.6185e-06i,0.00029313-0.00029246i
0.0009597-0.00050928i,0.0012647-0.00054025i,0.0014851-0.00079777i,0.0012632-0.00064728i,2.1573e-05-0.00058487i,-0.00025614+0.00033841i,-0.00023788+0.0014881i,0.00060294+0.00079511i,0.00089888-5.3704e-05i,-0.00052163+0.00012076i,-0.001098+0.00061959i,-3.1299e-05+0.00057173i,-8.871e-05+0.00038229i,-0.0014074+0.00082069i,-0.0012357+0.00089632i,-0.00043022+0.00064531i,-0.00044287-0.00046107i,-0.00069329-0.00079642i,-0.00036756+8.124e-06i,0.00041339+0.00029748i,4.3122e-05+0.00026725i,-0.00023189-0.00011136i,-0.00042431-0.00024982i
-0.00053263+0.0019234i,-0.00042962+0.000761i,0.00036855-0.00010368i,0.0011892-0.00029727i,0.00064909-2.2337e-05i,-0.00036879+0.00021877i,-0.00069868+0.00066355i,-0.00015269+0.0013857i,5.5561e-06+0.00047484i,0.00014414-0.00038169i,0.0003795-0.00050298i,-0.00020328-0.0010215i,-0.00071023-0.001022i,-0.00047165-0.00024895i,-0.00034755-0.00017545i,-0.00077024+8.1661e-05i,-0.00039732+0.00038373i,-0.00027067+0.00013639i,-0.00070736+0.00038651i,-0.00038954-0.0001944i,0.0002422-2.7921e-05i,0.00044086+0.00075756i,-4.3808e-05+0.00043191i
-0.00087994-0.0011366i,-0.0010938-0.00081067i,-0.00084314-0.00065971i,-0.0013618-0.00010546i,-0.0013357+0.00075802i,-0.00010437+0.00095398i,0.00073505+0.00035586i,0.0013184+0.00010751i,0.00082939-0.00015717i,-0.00017975-0.00028152i,-0.00023143+0.0002383i,0.0005064+0.00039196i,0.0011859-4.0608e-05i,0.001345+0.00029909i,0.00087244-3.0203e-05i,0.00057146-0.00040104i,0.0007253+3.2018e-05i,0.00067196-0.00026076i,0.00029704-0.00028031i,5.1619e-06-6.6425e-05i,0.00015194-0.00021934i,0.00044728+0.00067913i,0.00081784+0.0007254i
-0.0013513-0.00036222i,-0.0012918+0.00091876i,-0.00070661+0.0013804i,-0.00036051+0.00019983i,0.00027156+3.7791e-05i,0.00085701+0.00034379i,0.00081024+0.00012226i,0.00072351+0.00019507i,0.00049837+0.00043145i,0.00029128+0.00064861i,0.00049261+0.00055294i,0.00024669-0.00040324i,0.00050352-0.00055722i,0.0011747+0.00032816i,0.00031767+0.00036584i,-0.00031534-0.00019504i,0.00032924+9.9032e-05i,-1.3525e-05+0.00012424i,-0.00016939-0.00047121i,0.00013502-0.00080004i,-0.00014611-0.00043389i,-0.00027655-0.00037635i,6.3709e-05-0.00036136i
-0.00048872-0.00043265i,-0.0011136-0.00071745i,-0.001893-0.00097172i,-0.0013396-0.00056733i,-0.00079468-0.00024165i,0.00014465-7.141e-05i,0.00078878+0.00052083i,0.00080434+0.00073155i,0.00079323+0.00024683i,0.00056229-5.1296e-05i,3.1058e-05-0.00019974i,-0.00043394-0.00021622i,0.00017827-0.00012299i,0.00072637+0.00029035i,0.00032138+0.00057468i,0.00022757-6.2589e-05i,6.9705e-05-0.00026897i,-0.00025227+1.7356e-05i,-0.0004551+0.00035245i,-0.00042741+0.00069412i,0.00026992+0.00070003i,0.00087512+0.00026977i,0.00072079-3.1098e-05i
-0.00038398-3.5082e-05i,-0.0003373+0.00065405i,-0.00020256+0.00098671i,0.00066251+0.0011765i,0.0015894+0.00095366i,0.0015225+0.0011864i,0.0010182+0.00092496i,0.00078446+0.00028717i,0.00066355+0.00053606i,0.00099433+0.00065611i,0.00096318+0.00032582i,0.00068938-0.0004918i,0.00016855-0.00010451i,-0.00023858+0.00031457i,7.8161e-05-0.0005616i,0.00066685-0.00054631i,0.00048504+0.00021168i,-0.00016883+0.00050973i,-0.00021563+0.00053425i,-0.00012238-1.8818e-05i,0.000224+7.2444e-05i,0.00091305+5.3852e-05i,0.0010273-0.00080742i
-0.0024466-0.0012641i,-0.0016652-4.058e-05i,-0.0012221+0.00078734i,-0.00090372+0.0015996i,-1.1474e-05+0.0025331i,0.00081294+0.0015259i,0.00047695+0.00050796i,-0.00067574+0.0008496i,-0.0011095+0.00044386i,-0.00011764+0.00028814i,0.00058698+0.00037275i,0.00032538+0.00027896i,0.00050956+0.00013009i,0.0010454-0.00031562i,0.0009806-0.00059711i,0.00034451-0.00018647i,-0.00026154+0.0003964i,2.424e-05+0.00024151i,-0.00021527-1.8011e-05i,-0.00055318+0.00037355i,-0.00033518+0.00069492i,-5.8499e-05+0.00049528i,-3.6974e-05-0.00018367i
0.00046117-0.00015073i,0.00014115+0.0001011i,0.00068291+0.00091184i,0.001135+0.00012366i,0.001174+0.00017528i,0.00014344+0.00093284i,-7.9973e-05+0.00096995i,0.00013948+0.00069294i,0.00017573+0.00053512i,0.00023182+0.00029358i,0.00016874+0.00017685i,-0.00029184+0.00063682i,-0.00027457-1.7918e-05i,0.00020839-0.00018621i,0.00029382-6.0678e-06i,0.00011294-2.7822e-05i,-0.00019189+0.00058575i,-0.00016635+0.00022993i,0.00020293+0.00013769i,7.6655e-05+0.00064446i,0.00013651+0.00033098i,0.00045619-5.6348e-05i,0.00065089-0.00016638i
0.00049522-0.00083004i,0.001151-0.0014014i,0.00073265-0.0010189i,0.00089807-8.8982e-05i,0.00051728+0.00059627i,-0.00051771+0.00086526i,-0.00057893+0.00032075i,-0.00043224-0.00021781i,8.143e-05-0.00047957i,5.2991e-05-0.00099813i,8.595e-05-0.00063297i,0.00072593-0.00027148i,0.00096104+8.59e-05i,0.00067249+0.00042267i,0.0011291-0.00024173i,0.0012012-0.00025754i,0.00057099+0.00014008i,0.0001673+0.00017267i,-0.00016333+0.00031885i,3.1279e-05-0.00018626i,0.00027779-0.00018492i,0.00012148+0.00013502i,0.00055637+0.00026123i
-0.00081682+0.0019766i,0.00020192+0.0017331i,0.0011221+0.0019295i,0.0010185+0.0018634i,0.00056238+0.00042942i,0.00047225-0.00017445i,3.68e-05+0.0011507i,-0.0003814+0.00075948i,-0.00017428-7.0219e-05i,-0.00049057+0.00044606i,-0.0011081+0.00043603i,-0.00041224-3.4744e-05i,0.0005973-0.00019319i,0.00073634-0.00050986i,-9.2581e-05-0.00033293i,-0.00045842+4.3911e-05i,-9.1984e-05+0.00038203i,0.00039088+0.00032215i,1.2725e-05-0.00051264i,-0.00022642-0.00040627i,0.00060699-8.073e-05i,0.00063628-0.00022347i,-0.00011482-0.00033869i
-0.0028776-0.0014389i,-0.0023882-0.0008002i,-0.0019486+0.00024907i,-0.0012128+0.0005416i,-0.00032114+0.00069966i,0.00054751+0.0012727i,0.0010463+0.0012632i,0.0011057+0.001191i,0.00095513+0.00071789i,0.00047205+0.00064447i,-8.8404e-05+0.00044143i,4.9449e-05-0.00075275i,0.00047046-0.00093076i,0.00082471-0.00094496i,0.0011895-0.00088237i,0.00047259-0.00063907i,-0.00075965-0.00086203i,-0.00053634-0.00052265i,0.00029902-0.00061816i,0.00086255-0.00065083i,0.00015469+0.00021864i,-0.00016314+0.0010398i,0.00087586+0.00088178i
6.1866e-07+0.0017181i,0.00098301+0.0015797i,0.0010541+0.00082507i,0.001537+0.00047896i,0.0019884+0.000456i,0.0014516+0.0012293i,0.00068749+0.0012919i,0.00072581+0.00090034i,0.00063539+0.00098508i,0.00070457+0.00077389i,0.00069035+0.0006434i,0.00019941+0.0004231i,-0.00014302-0.0002978i,0.00024709-0.00062426i,-0.0004307-0.00085095i,-0.00058054-0.00048487i,0.00020819-0.00015036i,-0.00011074-0.00030376i,-0.00013879-0.00036944i,-0.00034079+6.5588e-05i,-7.0763e-05+0.00013598i,0.0002624+1.2934e-05i,7.4004e-05-0.00035379i
-0.00099136-0.0010198i,-0.001064-1.6225e-05i,-0.001353+2.6996e-05i,-0.0010899+0.00058768i,-0.00048183+0.0018227i,0.00033014+0.0020907i,0.00097811+0.0017314i,0.00083843+0.00098982i,0.00015762+0.00024754i,-0.00058909-0.00023446i,0.00021385-0.00050595i,0.0007487-0.00047594i,0.00068723-0.00022199i,0.00094123+0.00096322i,0.00057852+0.0010594i,0.00044425+0.00049867i,0.00027469+0.00082367i,-6.6386e-05+0.0010514i,-0.00017761+0.00053307i,0.00039398-0.00012273i,0.00013829+0.00014728i,-0.00033597+0.00041441i,0.00027656-0.00026911i
4.1391e-05+0.00087392i,-0.00060761+0.00091432i,-0.00087104+0.00062877i,-6.9158e-05+0.00040933i,0.00054233+0.00069203i,0.0011653+0.00079214i,0.0016935+0.00069181i,0.0012435+0.00034899i,0.00027993-0.00022218i,0.00033391-0.00050312i,0.00050399-0.00029086i,0.00023968+0.00014274i,-0.00022965+0.0004149i,-0.00079703-0.00037231i,-0.0004993-0.00098791i,0.00036117-0.00040504i,0.00052599-0.00015616i,0.0001553-0.00041391i,-0.00025711-0.00022926i,-0.00059605-0.00048197i,0.00035851-0.00074299i,0.00082097-0.00086773i,0.00035817-0.0006689i
-0.00017383-0.001256i,-0.00017661-0.0011913i,0.00049732-0.0006299i,0.00019934-0.00025973i,-0.00090324+0.00048461i,-0.0015501+0.0006365i,-0.0015831+0.00018516i,-0.0005774+0.000274i,-0.00024225+0.00061651i,-0.00069799+0.0008043i,-0.0003096+0.0010601i,0.00043209+0.00085717i,0.0011836+0.00065804i,0.00098261+0.00045161i,-6.5029e-05-0.00040943i,-6.1483e-05-9.3083e-05i,0.00041422+0.00014824i,0.00033529-0.00014754i,0.00034711+2.5983e-05i,-0.00013736+0.00018279i,-0.00082448-0.00025411i,-0.00037195-0.00073523i,-1.6289e-05-0.00052904i
-0.00026429+0.0011535i,-0.0010385+0.0014032i,-0.0013581+0.0014154i,-0.000969+0.00071139i,-0.000858+0.00018853i,0.0001912+0.00093755i,0.0016708+0.0013196i,0.002281+0.0012894i,0.001303+0.00072287i,0.00080934-8.9686e-05i,0.00045147-0.00026366i,0.00045119-0.00087189i,0.00069076-0.0011773i,0.00020226-0.0011653i,-7.2639e-05-0.0010727i,-0.00029384+4.748e-05i,-0.00082181+0.00088944i,-0.00038068+0.00038325i,-7.0383e-05-0.00043928i,0.00020088-0.00064399i,0.00062949-0.00055259i,0.00024906+0.00052137i,-0.00063632+0.0015353i
0.00074649-0.00019736i,0.00057686-0.00052629i,0.00069538-0.00084542i,0.00062623-0.00044937i,0.00071408+1.0697e-05i,0.00059355-3.8472e-06i,-0.00015736+0.00030792i,-0.00038993+0.00049615i,-0.00048976+0.00037333i,-0.00086679-7.9452e-05i,-0.00031405-4.635e-05i,-0.00016765+5.2632e-05i,-0.00069018+0.00018603i,-0.00038063+0.00041488i,0.00011572+0.00046759i,0.00023173+0.00010147i,0.00030738-0.0004431i,0.00014731-0.0014212i,0.00011597-0.0010226i,-0.0003464-0.00052193i,-0.00032263-0.00068615i,0.00023322-2.9931e-05i,1.4796e-05+0.00074608i
-0.001812-0.00032607i,-0.00086521-0.00091155i,-0.0010984-0.0011187i,-0.00080224+0.00023441i,-0.00053668+0.00073884i,-0.0010212+0.00069538i,-0.00092023+0.0011159i,0.00011911+0.0011316i,0.00076238+0.00092572i,-3.3194e-05+0.00018752i,-0.00058917-0.00066409i,-0.00025716-0.00072567i,2.8335e-05-0.00054476i,0.00011565-0.00012427i,0.00033044+0.00044264i,0.0006681+0.00064214i,0.00075232+0.00047036i,0.00061067-0.00064726i,0.00095867-0.00080676i,0.00061287+0.00012954i,-0.00023663-0.00039129i,-0.00050226-0.00047229i,-0.00036726-9.2379e-05i
