-0.001148+0.0030151i,-0.0016631+0.0031562i,-0.0013942+0.003195i,0.00061138+0.0027226i,0.0023333+0.0022549i,0.0014895+0.00092707i,-0.00025555+0.00035743i,-0.00089429+0.00039742i,-0.00033573+0.0006949i,-1.8775e-05+0.0010142i,-5.6638e-05+0.0005929i,-0.00087826+0.00058867i,-0.0020097+8.7103e-05i,-0.00098792-0.00035689i,0.00022752-0.00052824i,-0.00033535-0.00027321i,-0.00067975-0.00023861i,-0.00075374-0.00071808i,-0.00072542-0.0008926i,-0.00015595-0.00025387i,0.00050816-6.2572e-05i,0.00091012-0.00016217i,0.0008135+0.00012825i
-0.0021287-9.6043e-05i,-0.0012038-0.00037615i,-0.00049875+0.00042932i,-0.00015737+0.00081949i,-0.00046771+0.00086876i,-0.00043251+0.00080481i,-0.00038928+0.0012664i,-0.00073072+0.0021078i,-0.00091638+0.0020143i,-0.00099781+0.00078393i,-0.00093545+0.00037213i,-0.00041915+0.00041733i,-0.0005974+0.00031616i,-0.00095032+0.00037995i,-0.00044075+0.00029053i,0.00061105+0.0008382i,0.00065599+0.00096861i,3.7104e-05-9.1593e-05i,-0.00034586-0.00063876i,-0.00060917+0.00019294i,0.00013903+0.00075965i,0.00034134+0.00034816i,0.00025367+0.00051179i
0.0022496-0.0033863i,-0.0002477-0.0024401i,-0.0013307-0.002512i,-0.0027577-0.00081217i,-0.0040362+0.0016959i,-0.0027706+0.002718i,-0.00078292+0.0024402i,-0.0010461+0.0018464i,-0.0017908+0.0013214i,-0.0015022+0.00088896i,-0.00075744+0.00086705i,-0.00011965+0.00093515i,0.0003025+0.00075179i,0.0004557+0.00066143i,0.00037297+0.00039711i,-0.00042308+0.0002899i,-0.0011659+0.00044978i,-0.0017183+0.00025073i,-0.0017733+0.00024711i,-0.0011588+0.00020787i,-0.00030697+0.00037918i,0.00047532+0.00086041i,0.00040702+0.00039741i
0.0029902+8.9851e-05i,0.0023095-0.00067806i,0.0017093-0.0030496i,0.0010925-0.0038101i,-0.00015734-0.0033658i,-0.00075836-0.002212i,-0.00071769-0.00059532i,-0.00090553+0.00073565i,-0.00066529+0.0015621i,-0.00060517+0.0012364i,-0.0013047+0.00017063i,-0.0016701+6.5913e-05i,-0.0015914+0.0012749i,-0.0011331+0.0020908i,-0.00078116+0.0018471i,-0.00036565+0.00073822i,0.00052337+0.00030053i,0.0010336+0.00045713i,0.00083601+0.00047181i,0.00052168+0.00031363i,0.00054841+0.00020299i,0.00036323+0.00015105i,-7.8292e-05-0.00042832i
-0.0013595-0.0014329i,-0.0014398-0.0017035i,-0.0020449-0.0022007i,-0.0029215-0.00048875i,-0.0029956+0.0018982i,-0.0019827+0.0020488i,-0.00094469+0.0013759i,-0.00083562+0.00091243i,-0.0011509+0.0010191i,-0.0022184+0.0012354i,-0.0019014+0.00083364i,-0.0004432+0.00066377i,-0.00071198+0.0013072i,-0.0013789+0.00052886i,-0.00084804-0.0010222i,0.00046451-0.00079385i,0.00099348-0.0001085i,0.00050669+0.00027091i,0.00087171+0.00015788i,0.00072256-0.0002593i,0.00020805+0.00043062i,0.00055097+0.00068864i,0.00070706+0.00040069i
-0.0025977-0.0013453i,-0.0027718-0.00096505i,-0.0024734+0.00082325i,-0.0013414+0.002808i,-0.00019676+0.0038861i,0.00030474+0.0027977i,-0.00074486+0.0015217i,-0.0016238+0.001592i,-0.001053+0.0015322i,-0.00017798+0.000736i,0.00066916-5.0299e-05i,0.00076099-0.00036347i,-0.0005249-0.0004343i,-0.00096897-0.0006741i,-0.00023981-0.00056477i,-0.00024594-2.2113e-05i,-0.00052044+0.00037019i,-0.00025776-0.00018897i,-0.00064423-0.00045996i,-0.0005329-7.4974e-05i,0.00064437+2.9209e-05i,0.001418-0.00015307i,0.0013294-8.3923e-05i
0.0037406+2.1972e-05i,0.0029324-0.00060132i,0.0022249-0.002198i,0.0010426-0.0016292i,-0.00096774+0.00012275i,-0.001996+0.00071835i,-0.0015611+0.00034497i,-0.0013725+0.00025472i,-0.001401+0.00058757i,-0.0008256+0.00099322i,-0.00043941+0.00096564i,-0.00037287+9.1007e-05i,0.00035213-0.00016028i,0.0011662+0.00049173i,0.0008885+0.0008602i,6.7871e-05+0.00068188i,3.762e-05+0.00030565i,8.9323e-05+0.00023477i,0.00012967-0.00033973i,-0.00037131-0.0007424i,-0.00081529-0.00084791i,-0.00034149-0.00060889i,-0.00021699-0.00023852i
-0.0015887+0.0025637i,-0.00075001+0.0017369i,0.00018048+0.0018319i,-0.0005008+0.0027715i,-0.00049376+0.0017943i,5.3813e-05+0.00026957i,-0.00014789-0.00019334i,-0.00096695+0.00033757i,-0.00114+0.00051591i,-0.00041674+0.00064393i,-1.509e-05+0.0010527i,-0.00028929+0.0014541i,-0.00057185+0.0017681i,-0.0006164+0.0011679i,-0.00026744+0.00087408i,8.0415e-05+0.0010986i,4.1072e-05+0.00062802i,0.00054374-6.3625e-05i,0.00085032-0.00031013i,0.00067859-0.00019243i,-7.4408e-05-4.0952e-05i,-0.00054479-0.00036162i,6.9785e-05-0.00072606i
-0.0010272+0.0013689i,-0.00044153+0.0010903i,-0.00058549+0.0022143i,-0.00063157+0.0026235i,-0.00025172+0.0018971i,-0.00033007+0.0009685i,-0.0011564+0.001044i,-0.0015424+0.0022233i,-0.0015874+0.002722i,-0.0012852+0.0017548i,-0.00096983+0.0011518i,-0.0013923+0.00064771i,-0.0013985+0.00062264i,-0.002183+0.0015781i,-0.002405+0.0014102i,-0.0017522+0.00068595i,-0.0010592-5.447e-05i,4.0592e-05-0.00078412i,0.00060242-0.00028724i,6.4669e-05+0.00040474i,-0.00096139+0.00061813i,-0.0005439+0.00037662i,0.00017095-0.00020236i
-0.00028102-0.0017573i,-0.0020747-0.0013723i,-0.0026537-0.00049103i,-0.0026213+0.00097689i,-0.0022235+0.0011483i,-0.00043582+0.0010539i,5.3494e-05+0.0010971i,-0.0011862+0.0012263i,-0.0023804+0.0021201i,-0.0018161+0.0019521i,-0.00036661+0.00063659i,-2.6437e-05+0.00012099i,-0.0011313-0.00011994i,-0.0020904-0.00092445i,-0.0013219-0.0010158i,-0.00010906-0.00061184i,0.00059241+3.9475e-05i,0.00048443+0.00025505i,-0.00028741-5.1298e-05i,-0.00047772-0.00013624i,0.00010157-0.00036113i,0.00081269-0.00032441i,0.00090009-3.7366e-06i
0.00067242+0.0010716i,-0.00019216+0.00034194i,-0.00044734-0.00066486i,-0.00091013-0.0010511i,-0.0015127-0.0012035i,-0.0019994-0.00060081i,-0.0022714+0.00022206i,-0.0019837+0.00041043i,-0.0012715+0.001037i,-0.0008346+0.0012299i,-8.7302e-05+0.00041478i,0.00064173-0.00018392i,0.0009555-0.00017692i,0.0014129-0.00017267i,0.0015858-0.00028526i,0.00093433-0.00032145i,0.00012068+0.00012664i,-0.00064129+0.00013142i,-0.00094635-0.00046331i,-0.00049997-0.00054796i,-9.3654e-05-0.00025409i,-0.0001973-0.00018429i,-0.0006855-5.7047e-05i
0.00095213+0.0019142i,0.0010236+0.00251i,0.0017919+0.0024366i,0.0010712+0.00085331i,6.484e-05+0.00025483i,-0.00033261+0.00040252i,-0.0002369+0.00031806i,6.2955e-06+0.0009001i,0.00011648+0.0010412i,0.0002734+0.00012064i,-0.00021511+0.00043017i,-0.00044324+0.0011691i,-0.00068337+0.0012339i,-0.00063226+0.0014158i,0.00090482+0.0017312i,0.0010688+0.0011489i,0.0001142+0.00084378i,-0.0002428-1.8868e-05i,-4.1279e-06-0.00091181i,-0.00014763-0.00072968i,-0.00082812-0.00064102i,-0.00038857-0.00021757i,-0.00025717+4.476e-05i
-0.0018271+0.0019839i,-0.00088989+0.0021242i,0.00023163+0.0023865i,0.001291+0.002335i,0.0011517+0.001828i,0.0002045+0.00080734i,-0.00036552+0.0004907i,-0.00061368+0.001126i,-0.00072701+0.0018212i,-0.00049393+0.001899i,-3.2176e-05+0.001105i,-7.2066e-05+0.00092881i,-0.00087253+0.00057305i,-0.00098365+0.00057573i,1.1657e-05+0.0012718i,0.00034196+0.0013987i,-0.00042424+0.00091721i,-0.00085285+0.00057954i,-0.00035923+0.00089051i,0.00012085+0.00025054i,0.00050911-0.00073476i,-6.2103e-05-0.0004187i,-0.00069739+0.00027657i
-0.00028503+0.00061923i,-0.00090299+0.0011198i,-0.0010763+0.00056389i,-0.0011732+0.0013244i,-0.00098379+0.0026963i,-0.0016029+0.0017249i,-0.0020894+0.00048972i,-0.0032639+0.0011039i,-0.0032007+0.0017153i,-0.0012841+0.001573i,-8.6123e-05+0.001302i,-0.00023866+0.00041229i,-0.0008732-0.00096486i,-0.0017539-0.0017085i,-0.0025705-0.00081855i,-0.0014403+0.00037654i,-3.1315e-05+0.00052126i,-0.00030563+0.00096515i,-0.00029891+0.00034247i,-0.0001199-0.00021936i,-3.3784e-05+0.00024473i,0.00043165-0.00023799i,0.00016484+7.9968e-06i
-0.00079377+0.00075553i,-0.0003764+0.00064436i,2.7321e-05+0.0010533i,-0.0008399+0.0014472i,-0.0020334+0.0010413i,-0.0018473+8.4387e-05i,-0.0012767-0.00023633i,-0.0011618+0.00026397i,-0.0019265+0.00050218i,-0.0016915+0.00010425i,-0.00035613-0.00025487i,0.00055965-0.00053123i,0.00035348-0.00087882i,0.00013148-0.00091794i,0.00024131-0.00096707i,-0.00034334-0.0006555i,-0.00028497-0.00034119i,-0.0003541-0.00013157i,-0.00016707-0.00027998i,-0.00019108-0.00024666i,-0.00072037+9.289e-05i,-0.00025683+0.00043012i,0.00052744+0.00034119i
-0.00089242+0.0043925i,0.00080792+0.0043541i,0.0021854+0.0034416i,0.0019297+0.0018768i,0.0020969+0.00078871i,0.0020596-0.00091151i,0.0013159-0.00078086i,-4.0048e-05+0.0003012i,-0.00077242+0.0014153i,-0.00016233+0.0015265i,0.00043417+0.0005863i,0.00010362+0.00063932i,0.00062737+0.001207i,0.00056005+0.0011538i,-0.00021156+0.0013895i,-0.00032215+0.0011809i,0.00027556+9.4889e-05i,0.00054979-0.00045061i,0.00076423-0.0006276i,0.00056915-0.00051688i,-0.00010621+0.00017636i,-0.00057402+0.00029829i,-0.00087131+0.0003318i
-0.0047419+0.0016277i,-0.0038926+0.0034162i,-0.0014846+0.0062379i,0.0013213+0.0053348i,0.0025704+0.0028441i,0.0024348+0.0018251i,0.00068128+0.0012005i,-0.00071391+0.0012797i,-0.0013101+0.0019231i,-0.0010595+0.0021368i,6.6004e-05+0.0014001i,0.00061284+0.00060169i,-0.00013517+0.0001413i,-0.0011821+0.001107i,-0.0015106+0.0015755i,-0.0010779+0.00034791i,-0.00011641-7.3109e-05i,0.00058929-0.0002079i,0.00082329-9.1405e-05i,0.00071155+0.00038812i,8.2319e-05+0.00016092i,-0.00012631-0.00019757i,0.00032102-0.00033399i
-0.0013477-0.0016817i,7.4337e-05-0.00070648i,0.00079867+0.0018724i,-5.7093e-05+0.0039297i,-0.00082417+0.0042025i,-0.00081567+0.0032726i,-0.0010764+0.0024749i,-0.00089887+0.001999i,-0.0011528+0.00173i,-0.0013234+0.0015278i,-0.000887+0.00078227i,-0.00036844+0.00033661i,-0.00028523+0.00046684i,-0.00084153+0.0004872i,-0.0015859-0.00024953i,-0.0014262-0.00041435i,-0.00077215+0.00046424i,-0.00057828+0.0011965i,-0.00078768+0.001232i,-0.00042093+0.0003923i,-0.00017792-0.00010681i,4.6222e-06-0.00036271i,2.0576e-05+0.00013816i
-0.0006688+0.0017486i,5.6093e-05+0.00060885i,0.0011216+0.0011419i,0.00092848+0.0015464i,0.0001602+0.00048206i,0.0007162-0.00031838i,0.00072876-0.00093873i,-0.001103+0.0003656i,-0.0016671+0.0016886i,-0.00036656+0.0016175i,0.00016632+0.0010039i,0.00011777+0.00029132i,-0.00024573-6.2431e-05i,-0.0010398-0.00039344i,-0.0011497-0.00065559i,-0.00022625-0.00020349i,0.00014757-0.00048094i,-0.001119-0.0013567i,-0.0016937-0.0011223i,-0.0011003-0.00095006i,-0.0010709-0.0001088i,-0.00084417+0.0018093i,-0.00035937+0.0018455i
