-0.0017439-0.00099106i,-0.0035918+0.0011548i,-0.0053309+0.0033456i,-0.0039002+0.0057059i,-0.00036865+0.0074679i,0.001673+0.0069396i,0.00028172+0.004791i,-0.0028887+0.0020888i,-0.0042028+0.00022451i,-0.0031299-0.00028657i,-0.0015551-0.00011186i,-0.00053994+0.00045786i,-2.9599e-05+0.00068513i,-0.00060313+0.0013403i,-0.0011386+0.0016714i,-0.00022364+0.0013135i,0.00045164+0.00094092i,-0.00020163+5.7154e-05i,-0.00038943-0.00010227i,0.00044105+0.0001837i,0.00051234+0.00028093i,-0.0001233+0.00015194i,-4.6653e-06+0.00031971i
-0.0022849+0.0026624i,0.00073328+0.0049655i,0.002944+0.0064036i,0.0043741+0.0040615i,0.0051898+0.0013584i,0.0042119-0.0021766i,0.0023795-0.0047894i,0.00013653-0.0044141i,-0.00032215-0.0032306i,0.00075044-0.0021798i,0.0010124-0.00089793i,0.00046827+0.00030159i,6.7893e-05+0.00021013i,0.00038013-9.8673e-05i,0.00043502+9.6454e-05i,0.00093181-0.00010102i,0.0014707+1.586e-05i,0.00098426-0.0002023i,-9.1771e-05-0.0005129i,-0.00044045+0.00017243i,-0.00016468+0.00082945i,-0.00030241+0.00067776i,-0.0001142+0.00013763i
0.00081196-0.0043308i,0.0016421-0.0046776i,0.0024035-0.0044127i,0.001125-0.0035921i,-0.0010097-0.0035327i,-0.00031639-0.0023586i,0.0019376-0.00019851i,0.0037291+0.0021443i,0.0039635+0.002759i,0.0025935+0.0014067i,0.00075714+0.0005016i,-0.00037665+3.8959e-05i,0.00044107-0.00020608i,0.0018313-0.00019248i,0.0021562-0.00053784i,0.0015786-0.00015736i,0.00030743+0.00044209i,-0.00091483+0.00033938i,-0.00088934+0.00048681i,0.00043461+0.00054175i,0.0009147+0.00041494i,-5.8041e-05+0.0011263i,-0.0004129+0.00099177i
-2.7584e-05+0.0010916i,-0.0020886-0.00088321i,-0.0036232-0.0037008i,-0.005126-0.0031343i,-0.0055181+0.00036382i,-0.0053385+0.0049177i,-0.0033478+0.0075774i,-0.0013507+0.0073392i,-0.00068382+0.0062389i,-0.00057565+0.004485i,-6.1859e-05+0.002156i,1.3098e-05+0.00021254i,-0.0010822-0.00089753i,-0.0010234-0.00067688i,-0.00058252-0.00032468i,-6.2457e-05-3.1192e-05i,0.00012038+0.00025028i,0.00014765-0.00026014i,0.00046596-0.0004139i,0.00038877-0.00010772i,0.00025678-0.00076676i,0.00037714-0.0013075i,0.00015231+0.00024302i
-0.0027578-0.0017712i,-0.0032086-0.00073828i,-0.0049292+0.0013072i,-0.0045985+0.002873i,-0.0025128+0.0051129i,-0.00021021+0.0057948i,1.8667e-05+0.0027054i,-0.0013542+1.9269e-05i,-0.0026434-0.00095501i,-0.002175-0.0018422i,-0.0015308-0.0012131i,-0.00088269-0.00020021i,-0.00024654-6.4268e-06i,-0.00061536+9.2015e-05i,-0.00046118-5.4636e-05i,1.4254e-05-0.0004052i,-0.00024486+0.00028258i,-0.00086484+0.00059726i,-0.00049935+3.1633e-05i,-9.6526e-05-0.00058351i,-0.0011598-0.00054232i,-0.0013077-8.2277e-06i,-0.00012418+0.00045579i
0.00269-0.00057159i,0.0040323+0.0011208i,0.0033455+0.0030986i,0.0032221+0.0034176i,0.0045362+0.0019808i,0.0059617-0.00052787i,0.0049912-0.0027704i,0.0035035-0.0030598i,0.0031965-0.0020613i,0.0023006-0.0012063i,0.00021643-0.00046057i,-0.0011208+0.00054474i,-0.00033912+0.0010181i,0.00052116+0.00095235i,0.00053563+0.00086099i,0.00080592+0.00098459i,0.00086059+0.00079901i,0.00039769+5.4735e-05i,-6.5424e-05+1.4468e-05i,-0.00021337+0.00016049i,3.7493e-05-5.2648e-05i,-0.00032944+9.8943e-06i,-0.00093808+3.1472e-06i
-0.0044985-0.0016289i,-0.002524-0.0026256i,0.0003354-0.0038514i,0.0011623-0.0038309i,0.00048331-0.0016457i,-0.00047438+0.0010249i,-0.00013434+0.0036377i,0.0013312+0.0048084i,0.0021473+0.0044238i,0.00068008+0.0033623i,-0.00011957+0.0026748i,0.00044488+0.0023669i,0.00037816+0.0016618i,0.00051128+0.00031371i,0.00030526-0.00066425i,-0.00037333-0.00051083i,-0.00084197-0.00058548i,-0.00091063-0.00074652i,-0.00052482-7.9237e-05i,-0.00063389+0.00058893i,-0.0013956+0.00091642i,-0.00081247+0.00093246i,0.00049322+0.00091706i
-0.0046407-0.0022154i,-0.0058954-0.003017i,-0.006575-0.0031368i,-0.0057064-0.0014263i,-0.0046746+0.0012824i,-0.0047325+0.003087i,-0.0045116+0.0043426i,-0.0037563+0.0036992i,-0.0029535+0.0017972i,-0.0018095+0.00088946i,-0.00030089+0.0010942i,0.00041968-2.0596e-05i,-0.00022307-0.0013147i,-0.00064307-0.00017657i,-0.00026466+0.00067085i,-0.000213+0.00029108i,-0.00049094-0.00024132i,-0.0001161-0.00032524i,0.00067104-0.00014153i,0.0011087+0.00020021i,0.0010293+0.00052318i,0.00028987+0.00064085i,-0.00029848-0.00013012i
0.001694+0.0053544i,-3.4155e-05+0.0057308i,-0.0027241+0.0048914i,-0.0025458+0.0039513i,3.8456e-05+0.0036873i,0.0016013+0.0033019i,0.0023107+0.0013903i,0.0011952-0.0014656i,-0.00026493-0.0030914i,-0.00033945-0.0023304i,0.00046032-0.0013657i,0.0013016-0.0010518i,0.0013695-0.00050688i,0.00027505-0.00052775i,-0.00072253-0.00054364i,-0.00051959+0.00048421i,-4.2668e-05+0.0015386i,0.00016705+0.0011241i,-0.00024889-0.00025752i,-0.00074038-0.0013861i,-0.0010641-0.0015448i,-0.00094085-0.0017411i,0.00012314-0.001478i
-0.00052117-0.0008303i,0.0017144+0.0010236i,0.0030758+0.0021832i,0.0039471+0.0012625i,0.0045921+0.0004147i,0.0056709+0.00018086i,0.006129+6.5352e-05i,0.0047735+6.078e-05i,0.0033437+0.00053116i,0.0016267+0.00030668i,-0.00053909-0.00050405i,-0.001664-0.00051173i,-0.0011259+0.00021372i,0.00021583+0.00014666i,0.0015175+7.9229e-05i,0.0016127+0.00078831i,0.00067837+0.0011061i,0.00019856+0.00084103i,-7.8868e-05+0.00019113i,-0.00071989+7.0889e-05i,-0.00050642+0.00049238i,-0.00028554+0.00076295i,-0.00067761+0.00075266i
