-0.00088589+0.0019396i,-0.0009632+0.0021957i,-0.0021128+0.0018374i,-0.0017483+0.00047177i,-0.0013897+0.00039892i,-0.00042418-0.00033623i,0.0002034-0.00066909i,0.00012544-0.00066245i,0.00049822-0.00036331i,0.0010762-0.00020711i,0.0014202-0.00076231i,0.00059557-0.0014228i,0.00037291-0.0017742i,0.00059046-0.0018444i,0.00034568-0.0013602i,-0.00015297-0.00020919i,-7.2404e-05+0.00085956i,0.00032357+0.00010231i,0.00021057-0.00044823i,-0.00037507-6.8149e-05i,-0.0011163+0.00016765i,-0.00065361+0.0009347i,-0.00022602+0.0011236i
0.0015448+0.00020079i,0.0022428+0.00019036i,0.0012533+0.00023376i,-0.00020702-0.00064417i,-0.00085017+0.00010221i,-0.0011687+0.00096076i,-0.0018932+0.0010531i,-0.0016596+0.00024213i,-0.00053697-0.00063246i,-0.0001163-0.00031399i,-0.0004992-0.0001408i,-0.00047837-0.00040122i,0.00023899-0.00026401i,0.00052098+0.00032606i,7.6208e-05+0.00078406i,-8.8745e-05+0.0007225i,0.00018762+0.000836i,0.00061551+0.000758i,0.00034339+0.00017145i,-0.00040305-0.00037181i,-0.00046592-8.2275e-05i,-0.00029846+9.124e-05i,-0.00024882+0.00032203i
-0.00066969-0.00052645i,-0.00034217+0.00021723i,-0.00018111+0.00088488i,0.00025445+0.0011298i,0.00052244+0.00091693i,-0.000423-0.00027408i,-0.0016161-0.00068081i,-0.0015199-0.00017428i,-0.00053193-0.00027435i,0.00017923-0.0008928i,0.00099108-0.0010998i,0.0011299-0.00091158i,-0.00031492-0.00040841i,-0.00035934+2.1903e-05i,0.00065639+0.00015672i,0.00030815-0.000143i,-0.00011356+0.00020407i,1.1268e-05+0.00086217i,0.00039875+0.0003744i,0.00068892-0.00031873i,0.00059071-0.00035348i,0.00058224-0.00019201i,0.00042166+0.00039689i
0.00038072-0.00024058i,7.4563e-05-0.00034299i,-0.00088234-0.00073755i,-0.0014086+0.00033111i,-0.00045605+0.0016216i,0.0004508+0.0018264i,0.0004203+0.00079585i,-0.00020472-0.00058031i,-0.00056092-0.0009127i,-0.00033309-0.00083216i,-0.00028529-0.00071331i,0.00011573+5.3641e-05i,0.00016312+0.00082627i,-9.3358e-05+0.00051349i,9.2551e-05+0.0010509i,-3.1446e-06+0.0016902i,-0.00050789+0.00088207i,-0.00020456+5.9872e-05i,2.5488e-06+1.2457e-05i,-0.00020328+9.4245e-05i,-0.00057868-6.9049e-05i,-0.0011073-0.00021136i,-0.00036324-0.00024234i
-0.00044484-0.0013859i,-0.00056729-0.0025258i,-0.00041723-0.0032345i,-0.00098774-0.0012533i,-0.0015104+0.00054267i,-0.0008256+0.00051831i,0.00023671-0.00026592i,0.00046285-0.0011567i,0.00060693-0.0012211i,0.00041357-0.00091082i,0.0001056-0.0004044i,0.00075944-0.00011654i,0.00097495+0.00012974i,-0.00016432+0.000242i,-0.00010678+0.00051826i,0.0009073+0.00070349i,0.00058059+0.00043432i,-4.1849e-05-0.00015814i,0.00042422-0.00037488i,1.1415e-05-5.8648e-05i,-0.00062658-0.00029653i,-0.00014356-0.00043407i,6.0112e-05+0.00054544i
-0.00091423-6.374e-05i,-0.00085698+0.000225i,-0.00038924+0.0001062i,-0.00017482+0.000502i,0.00010928+0.0012493i,0.00014241+0.00043748i,-0.00071403-0.00063263i,-0.0011565-0.00050688i,-0.0009407-0.00019339i,0.00012809+0.00014413i,0.00055831+0.00086481i,9.5942e-05+0.00082336i,-0.00063821+0.0011768i,-0.0011878+0.0016186i,-0.00031803+0.00139i,0.00045915+0.00052427i,0.00052432+0.0003498i,-0.00019456+0.00026022i,-0.0014616-0.00032179i,-0.00074148-0.00027317i,0.00046786+8.8304e-05i,0.0005967-0.00034077i,6.9693e-05-0.00028136i
0.00055117-0.0010811i,0.0011059+0.00060401i,0.0015566+0.00088021i,0.00075786-0.00024421i,-0.00078491-0.00034396i,8.9735e-06-0.00021739i,0.0012774+0.00021412i,0.0006201+0.00052022i,-0.00087349+0.00084093i,-0.00090375+0.00093631i,-0.00012353+0.00047512i,2.8093e-05+0.00032032i,-9.048e-05+0.00044006i,0.00046037+0.00097901i,0.0008236+0.0013425i,0.00049033+0.00072197i,0.00012497+0.00067579i,6.5749e-05+0.00043459i,0.00015336-0.00026828i,0.00015227-9.9337e-05i,0.00033224-0.00016722i,0.0010262-0.00085769i,0.00079111-0.0008795i
-0.0018501+0.00040962i,-0.0014445+0.0017508i,-0.0020629+0.0026262i,-0.0012425+0.0026784i,1.1353e-05+0.0011031i,0.00040244-0.00061563i,5.569e-05-0.0010155i,-0.00035162-0.00062123i,-0.000225-0.00015547i,0.00019622-7.343e-05i,6.5668e-05+0.00018285i,-1.3403e-05-0.0002394i,-8.7449e-05-0.00045707i,0.0011922-0.00034663i,0.0020994+0.00020528i,0.00077547+0.00060398i,-0.00026735+0.0001263i,-0.00052801-5.4667e-05i,-0.00047377+0.00035162i,0.00045967-0.00025062i,0.00070568-0.00065324i,-0.00032039+0.0001807i,-0.0010709+0.00091417i
0.00076809-0.00055041i,0.00025697-0.00049181i,0.00070021+1.5314e-05i,0.0018272-0.00030647i,0.0013813-0.00032058i,0.00010217-0.00026911i,-0.0002279-0.00047484i,-0.00026652-0.00074572i,-0.00021454-0.00084231i,0.00015151-0.00097387i,0.00070267-0.0011628i,0.00048821-0.00096684i,1.9237e-05-2.5002e-05i,-7.6461e-05+0.00069864i,-0.00020265+0.00062221i,-0.00043274+0.00036758i,-0.00063697+0.00037892i,-0.00043387+0.00066482i,-0.00045912+0.00053477i,-0.0002575+0.0001404i,0.00063881-0.0002632i,0.0013294-5.0173e-05i,0.0010545+0.00080335i
0.00094685-0.0011715i,-0.00030717-0.0012821i,-0.0012639-0.0018044i,-0.00095017-0.0010498i,-0.00040964+0.00066117i,-0.00035298+0.00043294i,-0.00023211-6.3185e-05i,2.4442e-05-0.00026028i,-0.00044111-0.00092569i,5.1676e-05-0.00087987i,0.0009943-9.7864e-05i,0.00042362-4.8918e-05i,0.00019075-0.000245i,0.00047174+0.0002367i,0.00035426+0.00093218i,3.4184e-05+0.00088665i,-0.00022506+0.00057114i,-0.00017981+0.00018007i,0.00019191+0.00011032i,0.00011167-0.0002134i,-0.00045235-0.00055434i,-0.00074651+0.00019423i,-0.00058872+0.00092155i
0.0013951+0.00062587i,0.0028+0.0017556i,0.0022392+0.00033711i,0.00059886-0.00090511i,-0.000983-0.00070022i,-0.0012879+8.1106e-05i,-0.00093187+0.00011216i,-0.00047402-0.00021657i,-0.00078472-0.00040707i,-0.00098413-0.00033362i,-0.00043365-0.00061712i,9.2526e-05-0.00017873i,0.0006262-3.7218e-05i,0.00090332-0.0005463i,0.00044968-0.00024902i,8.1132e-05+0.00022713i,0.00037548+0.00040507i,0.0011492+0.00095823i,0.00084511+0.00062316i,-0.0001546+0.0003696i,-0.0012103+0.00048208i,-0.00094635-0.0001923i,0.00021663-0.00040874i
-0.00066191-0.00021222i,-0.0014037+0.00015448i,-0.0018796+0.00054292i,-0.0010441+0.0011688i,0.0013465+0.0017607i,0.0015587+0.00091848i,0.00069038-0.00018594i,0.0002622+0.00029322i,-7.5229e-05+0.00091023i,0.00040026+0.000623i,0.00054365-0.00041962i,0.00029041-0.001006i,0.00010863-0.00046822i,0.00024517+0.00012233i,0.00036463+0.00036148i,-0.00052686+0.00066127i,-0.00080094+0.00051414i,-0.0002798+5.958e-05i,-7.7034e-05+4.5437e-05i,9.7823e-05-9.4972e-05i,0.00032131-6.0323e-06i,0.00029683+0.00049078i,0.00011141+0.00022493i
