-0.00086089+0.0022324i,0.00014707+5.3945e-05i,0.00012419+0.00013734i,-0.00016483-2.6077e-06i,9.2297e-05+0.0005596i,0.00013425+0.0018625i,8.0809e-05+0.001643i,0.00086226+0.001038i,0.00082605+0.0011631i,0.00013501+0.00068359i,7.9944e-05-8.7498e-05i,0.00011316-0.00052313i,-0.00053094-0.00049724i,-0.00075109-0.00033784i,-0.00028292-5.9811e-05i,0.00022762+0.00064744i,0.00050364+0.00014445i,0.00052089-0.00048472i,0.00034232+0.00020378i,0.00026129+0.00070706i,3.3709e-05-0.00011412i,-0.00034182-0.0002237i,1.8178e-05-9.7178e-05i
-0.0013162+0.00039848i,-0.0018898+0.0017574i,-0.0017443+0.0016346i,-0.00082008+0.0010962i,-0.00011758+0.00077532i,6.2567e-05+0.00028601i,0.00014101-0.00047152i,0.00027818-0.00046051i,0.0001563-0.00023194i,0.00081183-0.00028273i,0.0014001-9.421e-05i,0.00102-4.3747e-05i,0.00058565-0.0001411i,0.00071339-0.00056015i,0.00038505-0.00069155i,-5.6623e-05-0.00028469i,-0.00058823+0.00016043i,-0.00032428+0.00027374i,0.00034908+0.00034665i,0.00021634+0.00022517i,-2.7519e-06+0.00024215i,0.00017737+0.00056684i,0.00055387+0.00039871i
-2.5724e-05-0.00037188i,-0.00015305+0.00089889i,-0.0010931+0.0010613i,-0.00090836-0.00033338i,-0.00017249-0.00034028i,-0.0001113+0.00057886i,0.00036637+0.00080629i,0.00019406+0.00048494i,-0.00037295-0.00017406i,-7.0175e-05-0.00065367i,-0.00012619-0.00039186i,-0.00038023+0.00035482i,1.9086e-05+0.00023536i,0.00049432-0.00041403i,0.00010623-0.00023014i,-0.00086216+0.00066292i,-0.0011059+0.00079897i,0.0002132+0.00052563i,0.0012601+0.00037472i,0.00065649+0.00025363i,-0.00019438+0.00021685i,8.9147e-05+0.00049583i,0.00085511+0.00085271i
-0.0005038-0.00070482i,-0.00077086-0.00057627i,-0.00047922-0.00015841i,0.00050567-0.00017463i,0.00078707-0.00031942i,0.00077438-0.00012681i,0.0002072-3.3127e-05i,-0.00045534-0.0001508i,-0.00043567-7.9329e-05i,-0.00027816-4.1516e-05i,-0.00051956-0.00043226i,-0.00057307-0.00085612i,-0.0003934-0.00035223i,-0.00021799-0.00031002i,-0.00039209-0.00024159i,-0.0009757+0.00017019i,-0.00093548-0.00020948i,-0.00050806-0.00011413i,8.9841e-05-0.00024274i,-0.00022984+0.00012766i,-0.00057184+0.00069633i,-0.00016354+1.7098e-05i,-5.6079e-05-0.00052839i
0.0012392-0.00033843i,0.0011407-0.0012868i,0.00019159-0.0020696i,-0.00032067-0.0024646i,-0.00058526-0.0015849i,-0.00041146-3.6311e-05i,0.00017979+0.00047749i,-0.00061556+9.8507e-05i,-0.0010758-0.00016749i,-0.0003901-0.00034021i,-0.00084699-0.00026547i,-0.00033631-0.00058023i,0.00076463-0.00058632i,0.0001341+0.00011716i,-0.0010593+0.00030284i,-0.0018109+0.00045128i,-0.0011842+0.00044274i,-0.00017667+0.00065449i,-1.158e-05+0.0012633i,0.00049521+0.00080944i,0.00094173-0.000246i,0.00030684-0.00056951i,-0.00039836-0.00054258i
0.00082358+0.0019978i,0.00065583+0.0015585i,0.0013709-8.6822e-05i,0.0006525-0.00091495i,9.9144e-05-0.0010248i,0.0010661-0.00022945i,0.0013474+0.00033649i,0.00066021-0.00013317i,-8.0841e-05+0.00012916i,7.6754e-05+0.0001171i,0.00030612+0.00012162i,-0.00011059+0.00038462i,-0.00034335+0.00068811i,-0.00066654+0.0011586i,-0.00064993+0.001265i,0.00016863+0.0017123i,0.00026336+0.0025465i,-0.00049303+0.0019135i,-0.0010239+0.00080771i,-0.00077793+0.00054209i,-0.00017479-3.8354e-05i,-0.0002002-0.00040395i,-7.6182e-06-0.00053532i
0.00016545+0.0017866i,0.0002322+0.0017366i,0.00068357+0.0010906i,0.0010448-0.0009175i,-0.0001475-0.0016393i,-0.00070816-0.00027174i,-0.0005663+9.4075e-05i,-0.00062+2.0708e-05i,-0.00019975-6.1781e-05i,7.3558e-05-0.00074633i,-0.00017615-0.0010061i,-0.00030869-0.00047201i,0.00015307+0.00020781i,0.00072301+0.00037908i,0.00067861+0.00046305i,-0.00015798+0.0006175i,-0.00024471-0.00017501i,-0.00012979-6.7944e-05i,-0.00054511+0.0006129i,-1.8168e-05+0.00038624i,0.00090073-0.00025309i,0.00046364-0.00030858i,-0.0004937-0.00036375i
-0.0010671+0.0012214i,-0.0012809+0.00087999i,-0.00065245+0.00089837i,0.00067563+0.00046466i,0.00031054-4.686e-05i,-0.00033745+3.5691e-05i,-0.00042809+0.00029486i,-0.00047817+0.00059107i,-0.00064519+0.00023614i,-0.00059559+0.00013962i,4.0057e-05-0.00018666i,0.00019338-0.00027889i,-0.00035076+0.00069743i,-0.0004177+0.00071534i,-0.00020967+0.0001384i,-0.00059598+0.00050122i,-0.00086988+0.00082763i,-0.0005019+0.0012928i,-0.00022127+0.00087118i,-0.0003741+2.7602e-05i,-0.00050977-0.00011229i,-0.00040913-0.00073372i,-0.00019084-0.00092825i
-0.001624-0.00050813i,-0.00071859+0.00011488i,-0.0012732-5.697e-06i,-0.00083701-0.00029076i,-2.5274e-05-0.00018553i,-0.00047637+0.00050512i,-0.00073479+0.00015169i,-0.0004653-0.00051405i,-0.00069718+0.0004192i,-0.00057339+0.00046201i,0.0003751-0.00070723i,0.00059435-0.0010018i,-0.00012694-0.00025223i,-0.00040859-0.00014776i,-0.00028592-0.00033223i,-0.00024348-7.5677e-05i,-0.0002182+0.00042392i,-0.0001709+0.00012172i,-0.00026687-3.9752e-05i,-0.00011971-3.4346e-05i,-2.2675e-05-0.00016688i,-0.00028946-0.00029997i,-0.00021331+6.7057e-05i
0.00055796+0.00026421i,-0.00060692+0.00063265i,-0.00093381+0.00069506i,0.00030392+0.00040805i,0.00023452+0.00020041i,-0.00018502-0.00023553i,0.00055809-0.00062278i,0.0009162-5.2581e-05i,0.0010464+5.956e-05i,0.0012593+7.7058e-05i,0.001102+0.00036634i,0.00065584+0.00035928i,0.0002441-7.7452e-05i,5.8388e-06-0.0006573i,-0.0003352-0.00064367i,-0.001235-0.00025602i,-0.0013618-0.0006283i,-0.00090374-0.00094175i,-0.00014226-0.00020411i,0.00017108+0.0001749i,0.00011078-0.00058264i,-0.00015158-0.00042938i,-0.0001258+0.00044284i
0.0012667+0.0014372i,0.0003999+0.0016552i,0.00047973+0.00029928i,0.00072247-0.0013264i,5.3341e-05-0.0013841i,-0.0003176-0.00064105i,0.00040739-0.00042516i,0.0012323+1.512e-06i,0.00044369+0.00022968i,-0.00028307-0.00049618i,-0.00052779-0.00066768i,-0.00044302+7.7648e-05i,-0.0010062+0.00048068i,-0.0014878-0.00039273i,-0.00034948-0.00063232i,0.00014589+9.0569e-06i,8.4887e-05+0.00059036i,-0.00021087+0.0007461i,-0.00057713+0.00041104i,-0.00041342-0.00010562i,0.00039474-0.00027848i,0.00086149+0.00026736i,0.00014139+6.8609e-05i
-0.0012906+0.0014977i,0.00031722+0.0015841i,0.00041298+0.0010922i,0.00042065+0.0011075i,0.00096048+0.00095679i,0.00088783+0.00088273i,0.00056963+0.00092563i,0.00054142+0.00066395i,0.00031282+0.00034666i,0.00032775-0.00015561i,0.0001308+0.00022055i,-0.00038702+0.0005063i,-0.00040041+0.00027726i,-0.00035563+0.00014516i,-0.00058906+2.1069e-05i,-0.0011582+0.00012933i,-0.00079598-0.00061341i,1.9761e-05-0.0007092i,0.0003996-0.00050946i,0.00074964-0.00037765i,0.00029829-0.00065359i,-0.00030966-0.00047389i,-0.00043492-0.00027751i
-0.0020437+0.00078575i,-0.0025628+0.0014263i,-0.0014383+0.001761i,0.00045024+0.00087635i,0.00085026-1.298e-05i,0.00083131-0.00047894i,0.00066691-7.6854e-05i,0.00070544+0.00021936i,0.00080946+0.0002411i,-5.7937e-05+0.00023533i,-0.0008063+1.2194e-08i,-0.00025697+0.00014678i,0.00030287+8.5774e-05i,-0.00025708-0.00015503i,-0.00069766-0.00033799i,-0.00024963-0.00072881i,3.1425e-05-0.00075256i,3.0751e-05-0.00057201i,0.00010065-0.000332i,-3.0005e-05-2.3024e-05i,-0.00067567+0.00054149i,-0.00097946+0.0012395i,9.0274e-05+0.00095897i
-0.0013379-0.00082051i,-0.00096904-0.00077255i,-8.0831e-05-0.00052535i,-0.00058419-0.00039784i,-0.00048833-0.00028294i,0.00020511-8.2938e-05i,0.00057968-8.1427e-05i,0.00042281-0.00030072i,0.00048561+0.00025772i,0.00037755+0.0013463i,-0.00062071+0.00090055i,-0.00088508-0.00018158i,-0.00037344-0.00033182i,8.7397e-05-0.00028929i,8.7979e-05-0.00054485i,-0.00032748-0.00042681i,-0.00019694+0.00010216i,2.775e-05+0.0007434i,0.00059667+0.0009535i,0.00085256+0.0003169i,0.00031023-0.00057031i,0.00026581-0.00038502i,0.00021899+0.00016277i
0.0011377+0.0013514i,0.00088228+0.0019348i,9.8519e-05+0.001463i,0.0003795+0.00035203i,0.00081574-0.00058272i,0.0011626-0.00080173i,0.0012097-0.00040468i,8.7882e-05-0.00024512i,-0.00086057-0.00045538i,-0.00025875-9.3719e-05i,-1.5011e-05+0.00064964i,0.00036695+0.00024437i,-0.00016682-0.00039309i,-0.0015935-9.5328e-05i,-0.00048192+0.00023736i,0.00013228+0.0004752i,-0.00024138+0.00053724i,0.00035391+0.00039778i,0.00071405+0.0004225i,0.00047817+0.00025507i,-6.7595e-05-0.00029194i,-0.0004091-0.00039818i,-0.00071115+0.00030057i
-0.00061775-0.0002837i,-0.00068776+0.00014352i,-0.00063996+0.00032796i,-0.00081401-0.00012614i,-0.00075513-0.00018814i,-0.00076598+0.00012047i,-0.00030338+8.762e-05i,0.00051336-1.977e-05i,0.00055777-0.00024142i,0.0003729-0.00051562i,-1.9219e-05-0.00072258i,-0.0003983-0.00036623i,6.2154e-05+0.0006844i,0.00042339+0.00064997i,0.00036628+0.00069062i,0.00023224+0.0015242i,0.00038892+0.0013681i,0.00035598+0.00024313i,0.00020943-0.00032907i,-6.8398e-05-8.5278e-05i,-0.00054102+0.00030191i,-0.00048853+0.00033438i,-5.1687e-05+0.00057407i
0.0016525+0.00030556i,0.00089641-0.00068405i,0.0011651-0.00051071i,0.0010396-0.00015986i,0.00051442-0.00032563i,0.0001913-0.00043888i,0.00061039-0.00032195i,0.00091412-2.6227e-05i,0.00099425+0.00030527i,0.00088265+5.5497e-05i,5.795e-05-0.00062696i,-0.00046073-0.00041389i,-0.00027947+0.00014756i,-0.0011565+0.00077909i,-0.0017906+0.0010455i,-0.0011969+0.00066357i,-0.00053263+0.00050779i,-6.1234e-05+0.00055204i,0.00057409+3.5641e-05i,0.00095839-0.00015381i,0.0012867-6.5966e-06i,0.0014047-0.00018705i,0.0003773-0.00082531i
0.00073949+0.00046531i,0.00051233+0.00011408i,-0.00032033+0.0001284i,-0.0003437+2.8723e-05i,0.00034426+8.6248e-05i,0.00054048+0.00077566i,0.00042152+0.0005875i,-0.00016551+0.0002423i,-0.00059431+0.00026215i,-0.00010025+0.00031163i,-0.00036658+0.00022858i,-0.00047051+0.00069045i,-0.00012096+0.0010741i,-0.00044846+0.00076707i,-0.0010347+0.00051548i,-0.00094915+0.00070366i,-0.00041147+0.00038564i,9.035e-05+0.00028474i,0.00082664+0.00074163i,0.00083568+0.00026356i,0.00019244-0.00028617i,-0.0002369-0.00018551i,3.1444e-05-0.00063484i
-0.0016231+1.0902e-05i,-0.0021561+0.0014886i,-0.0021866+0.001089i,-0.0014285+2.9667e-05i,-0.00074422+0.00012101i,0.00011387+0.00014956i,0.0005453+0.00019131i,-1.0078e-05+0.00011829i,-0.00030297-0.00036102i,0.0003439-0.00028304i,0.00071223+0.00039023i,0.00058951+0.00050343i,0.00021392-0.0002871i,-9.5743e-06-7.4972e-05i,-0.00015966+0.00045215i,-0.00055183-0.00010321i,-0.00083598-0.00077493i,-0.00083405-0.00063729i,-0.00032402-0.00026593i,0.00039431+0.00031297i,0.00056739+0.00045783i,-0.00012238+0.00011618i,-0.00039038+0.00035686i
-0.00073329-0.00044323i,-0.0019249+9.5547e-05i,-0.0013235+0.00024606i,-0.00074221-0.00017591i,-0.0002811-0.00048516i,-6.3118e-05-0.00050197i,-0.00025881+4.1081e-05i,0.00067362+0.00060785i,0.00060617+0.00031738i,-0.0002751+0.0001652i,0.00046058+2.7486e-05i,0.0011763+1.3675e-06i,0.00024941+0.00054673i,-0.00030812+0.0011275i,3.3216e-05+0.0011134i,0.00043207+0.0009254i,0.00018595+0.00031114i,-0.00017331-0.00030334i,0.00023465-0.00049224i,0.00055783+0.00024365i,0.0002143+0.00027892i,-0.00020628+5.6665e-05i,-0.00027261+0.00044884i
8.6454e-05-0.0018737i,-0.0016992-0.0020029i,-0.00088125-0.0014127i,0.00062559-0.000837i,0.00066572-0.00067523i,0.00043599-0.00058806i,0.00070933-0.00027656i,0.00051999-0.00031158i,0.00036872-0.00052953i,0.00044749-0.00082827i,0.00069203-0.001137i,0.00090137-0.00029309i,0.00083346+0.00017265i,0.00099266+0.00014109i,0.00043473+0.00080532i,-0.00042002+0.00070498i,-0.00057993+0.00037124i,-0.00051134+0.00059996i,4.3008e-05+0.00043433i,0.00080307-5.1996e-06i,0.00099254-0.00051232i,0.00051284-0.00093984i,0.00014218-0.00112i
-9.2835e-05-0.00071089i,0.00024127-0.00084328i,0.00065033-0.00044682i,-0.00024522-0.00015557i,1.8231e-05-0.0002613i,0.0010381-0.0003027i,0.001124-0.00093016i,0.0006958-0.0012027i,0.0001211-0.00091242i,-0.00063505-0.00061063i,-0.00018802-0.00017936i,-0.00016858+0.0007201i,-0.00040232+0.00023352i,0.00010735-3.2636e-05i,-0.00025694+0.00043426i,-0.0013777+0.0010451i,-0.0012934+0.0010116i,-0.0010038+0.00070033i,-0.00064844+0.00020294i,7.8962e-05-0.00036913i,1.455e-05-0.00034466i,-0.00042111-0.00055523i,-0.00060632-0.00034231i
0.0019055-0.00015665i,0.0012344-0.00061515i,0.00040253-0.0011542i,-0.00017591-0.00064675i,-0.00041509-0.00037825i,0.00020878+3.8171e-05i,0.00048122+0.00016235i,-0.00022706+0.00012344i,-0.00073379+0.00051417i,-0.00089438+0.00045683i,-0.00036669-0.00048336i,0.00030386-0.0010506i,-0.0003263-0.00081451i,-0.0016109-0.0008479i,-0.00093271-0.00054198i,0.00049412+0.00051843i,0.00036009+0.001015i,-0.00027338+0.00083471i,-0.00016048+0.00060165i,0.00045768+0.00033145i,0.00081364+0.00061918i,-4.5095e-05+0.00093247i,-0.00044543+0.0008134i
-0.0019894+0.00063117i,-0.0026564+0.002331i,-0.0023124+0.0026199i,-0.0010455+0.0021061i,-0.00046305+0.00097937i,0.00019823-3.8663e-05i,0.00077924-0.00057122i,0.00064077-0.00040467i,0.00081444+0.00048519i,0.00020367+0.00033276i,-4.0315e-05+0.00050503i,0.00032218+0.00056424i,1.1253e-05-0.00059831i,7.2698e-05-0.00072676i,0.00036679-0.0001848i,0.00048905+0.00040819i,0.00064764-8.8013e-05i,0.00011777-0.00028822i,-0.00013181-0.00024651i,0.00024275-0.00071949i,0.00058349-0.00064469i,0.00039602+0.00011964i,0.0002384+0.00026089i
0.001038+0.00058922i,0.00073718+0.00051388i,4.1796e-05+0.00026852i,-0.00045132-0.00032989i,-0.00016111-0.0002177i,2.8708e-05+0.00025001i,0.0003693+0.00050974i,9.9868e-05+0.00051698i,-0.00027409+0.00015764i,-5.5779e-05-9.9454e-05i,0.00054193+4.3264e-05i,0.00082895+0.00020838i,0.0007329+0.00048555i,0.00025559+0.00075197i,-0.00030698+0.0008894i,-0.00028826+0.00055717i,-0.00032016+0.00063687i,-0.00082758+0.00047742i,-0.00019837-8.6098e-05i,0.00054226+9.2603e-05i,0.00010402+5.9961e-05i,-0.00013272-0.00031937i,0.00074093+0.00028514i
-0.001263-0.0011067i,-0.0012227-0.00021556i,-0.00074768+0.00050776i,-0.00014047+0.0014002i,-0.0001712+0.0014058i,0.00070373+0.00049554i,0.00065226-0.00074745i,0.00052369-0.001434i,0.0010463-0.001058i,0.0007805+0.00013578i,-0.00036574+0.00036382i,-0.00051437-0.00023797i,0.00024159-0.00052356i,0.00052175-0.00031525i,0.00048261+0.00068135i,0.00080565+0.00087662i,0.0005879+0.0005319i,0.00013341+0.00016888i,1.3169e-05-0.00051515i,-6.1172e-05-0.0012068i,-3.7305e-06-0.00070861i,5.0428e-05+0.00021172i,1.9921e-05+0.00015104i
-0.00023229+0.0020073i,-0.00077365+0.0016541i,-0.00068977+0.00031811i,-0.00082208-0.00068407i,-0.00054611-0.00040958i,0.00025509+0.000146i,0.00082157-0.0002603i,-6.6706e-05-0.00023763i,-0.0010884-0.00046189i,-0.0011219-0.00081039i,-0.0014034-0.00061316i,-0.0013002-0.00034518i,-0.00051576-0.00032281i,-6.0637e-05-9.7059e-05i,-0.0004974-0.0002799i,-0.00088762+0.00024515i,-0.00068335+0.00099105i,-0.00044635+0.0011675i,-0.00044293+0.00068909i,-0.00046163-0.00054484i,-0.000354-0.0010394i,0.00012807-0.00069946i,-0.00055346-0.00025561i
0.00061419+0.00031972i,-0.00024302+9.1488e-05i,-0.0005961-0.00055283i,-0.000208-0.0010061i,-0.00028046-0.0015557i,-0.0006841-0.0013753i,-0.00070667-0.00048807i,7.8059e-05-0.00053382i,0.0010029-0.00072766i,0.00060475-9.8897e-05i,-0.00013223-0.00037884i,0.00033949-0.00032299i,9.1559e-05+0.0006011i,-0.00071462+0.0009719i,-0.00041088+0.0012959i,0.00027021+0.00136i,0.00038164+0.00098616i,-0.00017175+0.00061383i,-0.00058146+0.00039116i,-0.00038551+0.00026713i,0.00025849+0.00010491i,3.1571e-05+0.0002072i,-0.00053503+0.0001794i
-0.0012341-0.00058838i,-0.0008073-0.0010668i,-0.0014703-0.00099774i,-0.0016+0.00012518i,-0.0002112+0.00079313i,0.0012281+0.00044432i,0.0019172+0.00042761i,0.0010306-0.00019806i,-0.00032375-0.0010746i,-0.00076446-0.00062493i,-0.00077527-0.00011179i,-0.00015337-0.00036427i,0.00074627+0.0004323i,0.00018037+0.0012544i,-0.00018341+0.00092887i,0.00025884+0.00075381i,-0.00037827+0.0015772i,-0.00063748+0.00077929i,-0.00015714+9.8698e-06i,0.00034467-0.00019558i,0.00029499-0.00059079i,5.8911e-05+0.00025254i,1.7122e-06+0.0014334i
-0.0018735-0.00085454i,-0.001981+3.8699e-05i,-0.0023182+0.00086029i,-0.0022924+0.0006966i,-0.00084402-0.00019354i,0.00070034+0.00022273i,0.00070378+0.00030085i,-2.3795e-05-0.0011594i,-0.00046111-0.0016968i,-9.7062e-05-0.00024842i,0.0002591+0.0010884i,-0.00029132+0.00093781i,-0.00046471+3.6561e-05i,0.00015726-0.00031867i,0.00064546+0.00012563i,0.00050965+6.3275e-05i,-0.00060929+0.00011195i,-0.00098178+0.00064483i,-0.00073842+0.00033285i,-0.0009789-0.00066108i,-0.0003747-0.00062644i,0.000132+0.00029873i,0.00063182+0.0010191i
-0.00182+0.0008213i,-0.0015882+0.0015637i,-0.00075712+0.00079365i,9.2788e-05+0.00043935i,-5.538e-05+0.0007824i,-0.00034957+0.0011335i,0.00049108+0.00037572i,0.0013209-0.00028518i,0.00045019+3.7235e-05i,-0.00029381-0.00011698i,-0.0003063-0.00030253i,0.0007797-0.00047597i,0.0012755-0.00024645i,0.00042075-0.00017392i,0.00036344-0.00041698i,0.0005089-5.8154e-05i,0.0003673+0.00055708i,9.3289e-06+0.00031729i,5.2565e-05-0.00038313i,-8.3837e-05-0.00097821i,-0.00011237-0.00064745i,6.9103e-05+0.00050465i,4.7518e-05+0.00058268i
