0.00062128+0.00032265i,-7.429e-05+0.00082731i,0.00049036+0.0012163i,0.00085498+0.0012613i,0.00051809+0.001376i,0.00022661+0.0012323i,0.00061465+0.0013351i,0.00058693+0.00093896i,0.00079296+0.00060324i,0.0006879+0.00021165i,8.3944e-05-0.00030338i,0.00020289+6.4953e-05i,0.00031387+0.00031473i,0.00018181-0.00014903i,0.00057193+0.00010286i,0.001104+0.00012028i,0.0005951-0.00015539i,0.0001585-0.00012553i,-0.00063016+1.4774e-05i,-0.00097774-0.00019842i,-0.0006224+3.607e-05i,0.00028309+0.00029349i,0.0012413-0.00025008i
-0.00026078-0.00061851i,-0.00017677-0.00068914i,0.00017925-0.0010201i,-0.00037718-0.0012084i,-0.00026583-0.00067057i,3.1396e-05-0.00038306i,-0.00038948-5.5002e-05i,-0.00073491+0.00058983i,-0.00081223+0.00054307i,-0.00052168+0.0010144i,0.00012152+0.0010207i,0.00021302+0.00038562i,-5.664e-05+0.00078536i,0.00018261+0.0007756i,0.00096711+0.00057541i,0.00066829+0.00058865i,0.00011235+0.00014925i,-0.00016014-0.00049571i,-0.00038654-0.00019631i,-0.00030543+0.00021975i,-0.00044271-2.8956e-05i,0.0001829-0.00052534i,0.00073534-0.00033384i
-0.0014975-0.00066286i,-0.00085479-0.00036019i,-0.00055007+0.00026949i,-0.00024403+0.0011805i,-0.0011369+0.0019365i,-0.0016098+0.0011026i,-0.001334+0.00029556i,-0.0010519+1.6881e-05i,-0.00069247-8.9689e-05i,-0.00084041+0.00046486i,-0.00056425+0.00088558i,0.00017349+0.00043614i,0.00058462+0.00013534i,0.00020843+0.00033061i,-0.00043147+0.00024556i,-6.4102e-05+0.00074591i,0.00040821+0.0011275i,8.1034e-05+0.00027342i,0.00024103-0.00012664i,1.8344e-05+0.00042322i,-0.00054807+0.00069365i,-0.00031947+0.00065438i,-0.0001311+0.00034291i
-0.00041342+0.00018335i,-0.00033088+7.2414e-05i,-0.00030784+0.00020371i,-0.00087774+0.00018692i,-0.00081124+0.00046006i,5.6225e-05+0.00085006i,0.00031737+0.00013125i,-0.00012727-3.9192e-05i,-0.00024507+0.0012133i,1.6918e-05+0.0013386i,-0.00030152+0.00075643i,1.5526e-05+0.00081384i,0.0011465+0.00068761i,0.001496+0.00069932i,0.00076172+8.3951e-06i,0.00033005-0.00031551i,-8.7914e-05-0.00016564i,-0.00064754-2.6368e-05i,-0.0010422+0.00017659i,-0.00050595+0.00054357i,0.00039124+0.0010596i,-5.356e-06+0.00067089i,-0.00011404+2.7932e-05i
-0.00065944-0.0012439i,-0.0014777-0.0012037i,-0.0021083-0.00098543i,-0.0019633+7.4448e-05i,-0.0010899+0.0010738i,-0.00093068+0.00071557i,-0.001064+0.00032049i,-0.0006081+0.0010157i,-0.00052071+0.0014891i,-0.00075659+0.00066222i,0.00038551-3.9905e-05i,0.00093418-1.0196e-05i,0.00053027+0.00038584i,-0.00010005+0.00045727i,-0.00058955+0.00046736i,-0.00056365+0.00071499i,-0.00057078+0.00050701i,-0.00055216+0.00022354i,-0.0011014+0.00049336i,-0.0012794+0.0010937i,-0.00012875+0.0010417i,-5.8301e-05+0.00040642i,-0.00058884+6.8468e-05i
-0.00021223-0.0017746i,-0.00038574-0.0014649i,-0.00071737-0.000671i,-0.00085777+0.0013919i,-0.00095665+0.0019625i,-0.00041466+1.1182e-06i,-0.0007062-0.0010251i,-0.0014776-0.00058849i,-0.00098853-0.00023151i,-0.0006845-0.00026282i,-7.492e-05-0.00035312i,0.00051479+0.0001391i,0.00026737+0.00053224i,0.00026917+0.00073267i,-0.00029298+0.00050617i,-0.00094726+0.00024643i,-0.00044582+0.00093712i,-0.00049251+0.0012787i,-0.00090522+0.0013814i,-0.00077781+0.00094338i,-0.00036241+0.00011659i,0.00028687-0.00043362i,0.00013846-0.001064i
-0.0012556+0.0018638i,-0.00035936+0.0010952i,-0.00063453+0.0015574i,0.00031832+0.0010685i,0.0015832+0.00053173i,0.0012339+0.00019903i,-0.00023325-0.00028137i,-0.0013293+1.5686e-05i,-0.00059625+0.0006458i,0.00030074+0.0011488i,0.00026767+0.0010393i,0.0013093+0.00096682i,0.0019579+0.00056826i,0.001695-0.00048446i,0.0014657-0.0013089i,0.00048641-0.00092841i,0.00021655-0.0006399i,1.4012e-05-0.00038953i,-0.00025204+0.00020589i,-0.00033461+0.00054708i,-0.00035561+0.00053589i,0.00047599-0.00011264i,0.00058784-0.00010764i
-0.00026142-0.00051727i,-0.00043559-0.0010398i,-0.00040388-0.0012566i,-0.00029347-0.0010213i,-0.00081838+0.00019123i,-0.00089956+0.0010035i,-0.00047506+0.0010871i,-0.00097743+0.00046134i,-0.00081292+0.00027368i,-0.00056165+0.00056966i,-0.0017205+0.00038433i,-0.0020057+0.00033399i,-0.00068308+0.00082415i,-0.00056944+0.0012676i,-0.0010877+0.0010881i,-0.00097477+0.00080755i,-0.00074464+0.00051666i,8.9483e-06+0.00020927i,0.00013+0.00049329i,0.00026592+1.2622e-05i,0.0013833-0.00046625i,0.0006338+0.00039398i,-0.0004869+0.00094609i
-0.0011197-0.0019377i,-0.00075795-0.0030733i,-0.00081934-0.0027514i,-0.0021897-5.0213e-05i,-0.0029257+0.0010343i,-0.0017052+0.0011049i,-0.0011221+0.0008623i,-0.00074524+0.00070626i,-0.00020208+0.0010629i,0.00020298+0.0010651i,0.00083773+0.00084204i,0.00029923+0.00015252i,-0.00051714-0.00085584i,-0.00058576-0.00074391i,-0.00042675+9.2759e-05i,-0.00055929+0.00051902i,-0.00097145-2.8478e-05i,-0.0008004-6.4822e-05i,-0.00045567+0.00075536i,-0.00036929+0.00056514i,0.00024944-0.0006735i,0.0005834-0.00103i,0.00040159-0.00045306i
-0.00033259-0.00044399i,-0.0010183-1.074e-05i,-0.00015312+0.00077827i,0.00075028+0.0014494i,0.0010498+0.0014969i,0.00097011+0.0016049i,0.0009317+0.0010073i,0.00026185+0.00033592i,0.00034028+0.00047423i,0.00074396+0.00083779i,0.000237+0.00053159i,-0.00016454-0.0001119i,0.00017923-0.0003995i,0.00041397+4.8026e-05i,0.00064578+0.00056806i,0.00081995+0.00036863i,0.0009577+0.0003244i,0.00026573+0.00045131i,-0.00048559-2.9032e-05i,-0.00097231-0.00032636i,-0.0010875-0.00025846i,-0.00062146+0.00033724i,-0.00050914+0.00058691i
0.00032556-4.4802e-06i,0.00012416+0.0013369i,5.241e-05+0.0020417i,-0.000519+0.0014133i,-0.00015336+0.0008858i,-0.00058068-0.00018257i,-0.00059808-0.00062843i,6.8291e-05+0.00055522i,-8.0016e-05+0.0013875i,-0.00022565+0.0010458i,0.00015107-4.2193e-05i,0.00054427-0.00061186i,0.00033881-0.0005058i,0.00023267+0.00038954i,0.00039737+0.00047999i,-0.00010406+0.00010381i,-0.0003551+0.00046428i,0.00027328+0.00057931i,-0.00013659+0.0005285i,-0.00095788+0.00044624i,-0.00026042+0.00031409i,0.00091306+9.3807e-05i,0.00070019+0.00011494i
0.001075-0.0019859i,0.0019615-0.0010871i,0.0017745-0.00072201i,0.00096744-0.00020921i,-0.0003086+0.00085406i,-0.001496+0.0016557i,-0.0014421+0.001674i,-0.00078644+0.0013241i,2.9955e-06+0.00058839i,-0.00018721+0.00013883i,-0.0009141+0.00037793i,-0.0013092+0.0006009i,-0.00080474+3.6588e-05i,-0.00033333-0.0001413i,-0.00040869+5.1336e-05i,3.0869e-05-0.00020782i,0.00059229+0.00034848i,5.5222e-05+0.00036326i,-0.00080599-0.00028044i,-0.0010884+3.6647e-05i,-0.00075535-0.00029571i,0.00028013-0.00077935i,0.0004239-0.00069563i
-0.00035598+0.0005825i,-0.0016016+0.00051762i,-0.0025575-0.00035372i,-0.0016838-0.00074209i,-0.00093004-6.676e-06i,-0.00096973+0.00086284i,-0.0010326+0.00076406i,-0.00051498+0.00091453i,-0.00040055+0.0011207i,-0.00025181+0.00086795i,9.9101e-05+0.0005619i,0.00056028+0.0006525i,0.00050337+0.000848i,0.00045705+0.00060384i,-1.6464e-05+0.0002466i,-0.00026168+0.0002436i,3.1323e-06+0.00016507i,-0.00021007-0.0004468i,-0.00029014-0.00043776i,-0.00063371+0.00016699i,-0.00064217-2.7933e-05i,6.0593e-05-0.00054095i,0.00046493-0.00046592i
0.00033166+0.00012125i,-0.00067573+6.2465e-05i,-0.0017803+0.00086268i,-0.0011401+0.0015422i,2.2537e-05+0.001449i,0.00044284+0.00065833i,0.00062515+0.00026456i,0.00013772+0.00048555i,-7.4525e-05+0.00062998i,-0.00018254+0.0010585i,-8.7696e-05+0.00072212i,0.0007789+4.4868e-05i,0.00077621-8.624e-05i,0.00030829+0.00051205i,-8.3117e-05+0.00070444i,-0.00014831-0.00029597i,-7.3315e-05-0.00029648i,0.00020839+0.00061081i,1.3884e-05+0.00056955i,-0.00042255-0.00025949i,-0.00026442-4.4599e-05i,-0.0004011+0.00092301i,-0.00084147+0.00051101i
-0.0009411+0.0019984i,-0.00088583+0.0025275i,-0.00078276+0.002896i,-2.622e-05+0.0014071i,0.001256+0.00088748i,0.0016579+0.00066046i,0.000389+0.00018843i,-0.00014329+0.00026047i,0.00021199+0.00090278i,0.00045818+0.00081789i,0.00072506+0.0003895i,0.00082433+0.00045713i,0.00085393+0.00076717i,0.001103+0.00093975i,0.00085374+0.00022647i,-0.0004701-0.00045269i,-0.0010782-0.00082095i,-0.00060739-0.00051475i,-0.00060266+0.00070134i,-0.00051228+0.0012852i,-0.00024043+0.001393i,3.7159e-05+0.0011774i,0.0001038+0.00043417i
0.0024267+0.00019213i,0.0015372-0.00066902i,0.00077952-0.0021178i,0.00011937-0.0012338i,-0.0011826-8.2699e-06i,-0.0018114+0.00070317i,-0.0017899+0.0011831i,-0.0010024+0.00046248i,2.8708e-05-0.00019137i,0.00020954+9.6002e-05i,0.000127+0.00022708i,2.65e-05+0.00028706i,-0.00039764+0.00045228i,-0.00098878+0.0005527i,-0.0006591+0.00073279i,-0.00025239+0.00061324i,-0.0005381+0.0007594i,-0.00081926+0.00077525i,-0.00082946+0.0006397i,-0.00094025-0.00010393i,-0.00079013-0.00032578i,-0.00043939-0.00040978i,0.0002837-0.0010057i
