-0.0026409+0.00076099i,-0.0024537+0.001662i,-0.001201+0.0019848i,0.00015389+0.0010672i,0.00051988+0.0013188i,-0.00055519+0.0016801i,-0.00039113+0.0019906i,0.000203+0.0019873i,0.00036924+0.0014968i,0.0010242+0.00060804i,0.0012013+0.00010525i,-9.6845e-05-0.00054816i,0.00014528-0.0010022i,0.0015452-0.00094091i,0.001165-0.0012933i,-0.00029248-0.00058195i,-0.00073729-0.00028855i,-4.44e-05-0.0010123i,2.9041e-05-0.0012212i,-8.2245e-05-0.00069107i,-2.3603e-05+0.00039896i,-0.00011418+0.00074618i,-0.00010446+0.00020045i
0.0014391-3.0713e-05i,0.0015673-0.0005263i,0.0010965-0.00037236i,0.00014007+0.00012456i,-0.0014618+0.00013822i,-0.0021488+0.00017129i,-0.0016284-8.9076e-05i,-0.00087556-0.00027229i,-0.00069593+8.3579e-05i,-0.0011935+0.00085541i,-0.00080172+0.001679i,-9.7676e-05+0.0017075i,-4.9079e-05+0.0011236i,-0.0005072+0.00053604i,-0.0011455+0.00021313i,-0.00086967+0.00013162i,-0.00024767+0.00014847i,-0.00028176+0.00063223i,6.2635e-05+0.00067377i,0.00012321+0.00026965i,0.00028323-7.5975e-05i,0.00068946+9.7115e-05i,0.00059778-8.9859e-05i
-0.00049755+0.00093259i,-0.001079+0.0004528i,-0.0018933+0.00025191i,-0.0011414+0.00042691i,-0.00036468+0.00058336i,-0.0011063+1.7617e-06i,-0.0022569-0.00050988i,-0.0017501-0.00016013i,-0.00044671+0.00030752i,0.00036408+0.00035682i,0.00095982+0.00070541i,0.00074271+0.00083564i,0.00020488+0.00057656i,-2.3086e-05+0.00032724i,-0.00039416+0.00020567i,-0.00018046-3.9613e-05i,0.00023039-0.00014398i,0.00041791+0.00013267i,7.248e-05-0.00040169i,-0.00075192-0.0013024i,-0.00038169-0.0005324i,0.00022264+0.0013635i,0.00032474+0.0017603i
-0.0027308-0.0010486i,-0.0028724-0.00021415i,-0.0018941-0.00033949i,-0.00032971-0.00073122i,0.00089318+6.7023e-06i,0.0012552+0.00087791i,0.0011178+0.0011758i,0.00080427+0.00051828i,-0.00012632+0.00027681i,-0.00032281+0.00054491i,0.0006169+0.00078399i,0.001526+0.00095634i,0.0014322+0.00073813i,0.00086386-4.8579e-05i,0.00060835-0.00040061i,0.00042053-0.00048667i,-0.00011659-0.00080653i,5.4732e-05-0.00050655i,0.00025588-0.00085746i,-0.00045699-0.0010178i,-0.00048806-0.00067465i,-0.00036413-0.00064351i,0.00016358-0.00053386i
0.0016093-0.0013268i,0.00093774-0.0020099i,0.0003586-0.0021594i,-0.00060086-0.001435i,-0.00086586-0.0013362i,-0.00047793-0.001423i,-0.00044392-0.0012231i,7.5783e-05-0.0003236i,-9.5555e-05-0.00012199i,-0.0010665-0.00050329i,-0.00067867+0.00041263i,0.00025115+0.001284i,0.00040081+0.0011287i,-0.00060243+0.00082099i,-0.0014086+0.0005991i,-0.00083837+0.00050984i,-0.00030229+0.00066387i,-0.00012045+0.00074392i,-1.9251e-05+0.00049246i,6.0847e-05+0.0002989i,-5.6866e-05+0.00056398i,-0.00038172+0.00072389i,2.8636e-06-0.00017554i
-0.00017364-0.0024661i,-0.0012474-0.0019468i,-0.001749-0.0015832i,-0.0018014-0.0011043i,-0.0022051+0.00052293i,-0.0024284+0.0017616i,-0.0019191+0.0017071i,-0.00036558+0.00088093i,0.00030014+0.00045055i,-0.00014571+0.00086819i,-0.00028561+0.0011014i,-0.00012258+0.00055053i,4.1359e-05+0.00033859i,0.0002057+0.00055837i,0.00024401+0.00021791i,0.00067702-0.00036424i,0.00097809-4.8747e-05i,0.00059307-3.5965e-05i,3.7845e-05+3.152e-05i,0.00018361-0.00019045i,0.00057253-0.00026714i,0.00012608-0.00014326i,-9.4677e-05-3.3812e-05i
-0.00052207-0.0016462i,-0.00054763-0.0016629i,-0.00089594-0.0006973i,-0.001284-0.0003841i,-0.00098462-0.00033613i,-0.001134+0.00034768i,-0.0012157+0.00088097i,-0.0007295+0.00073615i,-0.00064787+0.00026175i,-0.00062079-0.00040974i,-7.4494e-05-6.6926e-05i,0.00059235+0.00033013i,0.00052223+8.7833e-05i,0.00068708-0.00032452i,0.0010491-0.0001058i,0.0011414-0.00063224i,-1.2658e-05-0.00078591i,-0.00039914+0.00040348i,0.00068207+0.0010083i,0.00026957+0.00040502i,-0.00061639-0.00089542i,-0.00040743-0.0014454i,-0.00085467-0.00069975i
0.00086029-0.00084998i,0.00093357-0.00071888i,0.001639-0.00089538i,0.00099761-0.0007694i,-3.2344e-05-0.00036232i,-0.0014841-0.00026269i,-0.0018198-3.2934e-05i,-0.0012081+2.2188e-05i,-0.00090252-0.00056389i,0.00014848-0.0012374i,0.0011574-0.00083064i,0.00043775+0.0002925i,-0.00044025-2.4548e-05i,-0.0005363-0.00039924i,-0.00056435+2.1108e-05i,-0.0007302+0.00012964i,-0.0006763-0.00019044i,-0.00060633-0.0004145i,3.8914e-05+0.00040715i,0.00092809+0.00090284i,0.00080231+0.0003197i,-3.4353e-05-0.00019074i,-0.00011876-3.0463e-06i
-0.00046529+0.00085171i,-0.00068717+0.00040864i,-0.00071577-0.00074815i,-0.00050195-0.00096319i,-0.001166-0.0015027i,-0.001021-0.0014218i,-0.0013591-0.00044983i,-0.0010407+0.00029811i,-0.0003491+0.00045538i,-0.00037181+0.0008831i,-0.00046226+0.001006i,-0.00057385+0.0010956i,-0.00035491-0.00010119i,0.00016641-0.00069326i,0.00043024+0.00041444i,0.00044527+0.00046136i,0.00022886+7.0636e-05i,-4.6244e-05-0.0002724i,0.00040221-0.00088634i,0.00021293-0.00067038i,-0.00035925+0.00082554i,-0.00045839+0.00093474i,-0.00018901+0.00013337i
0.00018947-0.00060424i,0.00080344-0.00062937i,0.00076946-0.00032684i,0.00082701-0.0002437i,0.00062383-0.00090758i,-0.00016221-0.0011768i,-0.0004041-0.00049216i,-7.6043e-05-0.00019401i,0.0002231+1.1343e-07i,-0.00035134+0.00045731i,-0.00063237+0.00045817i,-0.00072378-6.6358e-05i,-0.0007587-0.00093548i,-0.000278-0.0011801i,-4.6722e-05-0.00063307i,8.0039e-05-4.9676e-05i,4.2708e-05-0.0001727i,-1.9821e-05-7.3374e-05i,-0.00065604+0.00025281i,-0.0010369+0.00029936i,-0.00011749+0.00082664i,0.00030695+0.00030733i,3.8779e-05-0.00096049i
0.0007435-0.0010547i,-0.00066474-0.00084165i,-0.00092716-0.001063i,-0.0014105-0.00031955i,-0.0016718+0.00034206i,-0.00093838+0.00040209i,-0.0011356+0.00027857i,-0.0018671-9.6933e-05i,-0.00093457-0.00047983i,-5.9238e-05-0.00030012i,-0.00026696-0.0001329i,-0.00047341-3.523e-05i,-0.00055856-0.00029437i,-0.00036171-0.0005321i,0.00050099-0.00062719i,0.00054754-0.0010042i,-0.00018051-0.0011483i,-0.00056266-0.00050399i,-0.00018097+0.00035468i,0.00062172+0.00061443i,0.00080278+0.00019606i,0.00078016-0.00013078i,0.0010246-0.00058428i
0.0017136+0.00057258i,0.0019706-0.00018673i,0.0023042-0.001294i,0.0021169-0.0015262i,0.00089508-0.0019753i,-0.00017898-0.0014819i,-0.00079511+0.00028878i,-0.00083128+0.0013463i,0.00012233+0.00084174i,0.00037845-1.7819e-05i,-0.0010523+5.3818e-05i,-0.00092245+0.00021139i,-2.6346e-05+0.00036879i,-0.00043014+0.00026001i,-0.00081025-0.00035225i,-0.00069389-0.00083249i,-0.00042236-0.00051031i,-0.00037602-4.3196e-05i,0.0006283+7.167e-05i,0.0011389+0.00023259i,0.00082296-0.00012127i,0.0010379+0.00010373i,0.00073937+0.00079591i
3.3622e-05+0.0013368i,-0.00058167+0.0010429i,-0.00030392+0.0011467i,0.00082988+0.00029458i,0.00067861-0.00066111i,-0.0004722-0.00081489i,-0.00034729-7.6758e-05i,-3.2507e-05+0.0001665i,-0.00011312+0.0004008i,-0.00050518+0.00073011i,-0.00081433+0.00056124i,-7.6621e-06+4.2436e-05i,0.00096691-0.0005217i,0.0007922-0.00063769i,0.00022006-0.00030337i,-0.00047669-0.00022325i,-0.00011193-8.8191e-05i,0.0003731+0.00018758i,0.00012098-9.5176e-05i,-9.0605e-05-0.00010188i,0.00021021+0.00079332i,0.00051378+0.001446i,0.00044104+0.00067432i
-0.00084982+0.0010079i,-0.00053979+0.00072555i,-0.0010345+0.00033479i,-0.0019672-0.00024452i,-0.0016877-0.0012087i,-0.00018531-0.0010745i,0.00054067-0.00068069i,0.00046842+0.00020059i,0.00029377+0.00060966i,-2.4251e-06-6.2135e-06i,-7.6354e-05+0.000179i,-0.00021218+0.00063821i,-0.00046026-2.5524e-05i,-0.00062817-0.00090583i,-0.00014144-0.00048441i,7.5078e-05-0.00020375i,0.00041966-0.00053868i,0.00040848-0.00040092i,-9.6638e-05-0.00125i,-0.00015701-0.0013668i,-9.5614e-05-0.00040465i,-4.0055e-06+8.3176e-05i,-0.00023425+0.00015421i
4.8114e-05-7.5069e-05i,0.00029364-8.4927e-05i,0.00092566-0.00051856i,0.00082595-0.0010054i,5.14e-05-0.00086029i,-0.00077083-0.00096479i,-0.00081302-4.0454e-05i,-0.00047933+0.0012026i,-0.0011555+0.0012094i,-0.0017175+0.00059094i,-0.0002911+3.7482e-05i,0.00093816+0.00058951i,0.00013526+0.0011542i,-0.00074538+0.00017413i,5.2349e-05-0.00020699i,0.00061567+9.8607e-05i,0.00072122-0.00023778i,0.00060537+0.00030913i,0.00029512+0.00065277i,0.00020555-4.1449e-05i,0.00092065-0.00048407i,0.0010512-0.00024817i,0.00035593-0.0002719i
0.0011286-0.00084584i,0.00049289-0.0010377i,0.00037692-0.00013144i,-0.00039831+0.00042458i,-0.00092544+0.00030661i,-0.0013588+0.00048191i,-0.001452+0.00087936i,-0.00042867+0.00081728i,-2.4527e-05+0.00055201i,-0.00017471+5.6217e-05i,-6.6498e-05+0.00049769i,-0.00038814+0.000439i,5.5364e-05-0.00035733i,0.00027312+0.00063988i,0.00026651+0.0012618i,0.00066258+0.00047499i,0.00080021+0.00030472i,0.00044941+0.00051907i,0.00021983+0.00037266i,0.00028062+0.00031998i,0.00037639+0.00028938i,0.00049601+0.00010247i,0.00066685-0.0002952i
0.0020497+0.00031584i,0.0011995-7.0643e-05i,0.00087633-0.0020049i,-0.00020346-0.0022709i,-0.0010613-0.0021333i,-0.0011327-0.00099958i,-0.0012256+0.00035034i,-0.00082123+0.00058911i,-0.0005796-2.0617e-05i,-0.00040887-0.00077949i,0.0005144-0.0014151i,0.00047492-0.00112i,-0.00052208-0.00039262i,-0.0005525-0.0001014i,-0.0003202-0.00029703i,-0.00032107-0.0004277i,-0.00029438-0.00023017i,-0.00024339+3.6576e-05i,5.2097e-05+0.00027559i,0.00089522+0.00046225i,0.00071783+0.0010941i,2.2957e-05+0.00073847i,0.00093897+0.00061682i
0.0020053-0.00076407i,0.0016798-0.00016979i,0.00088373-0.0012253i,-0.00042115-0.002565i,-0.0011682-0.0023718i,-0.0011528-0.0011425i,-0.00069409-0.00021515i,-0.00018529+0.0003097i,-0.00079519+0.00045191i,-0.0014674-5.8558e-05i,-0.0015956-0.0003966i,-0.00053815-0.00023019i,-0.00041738+0.00060504i,-0.00067245+0.00058838i,-0.00035689-0.00021368i,-0.00014263-0.00038759i,0.00064848-0.00010612i,0.0011771-4.0611e-05i,0.00086343-0.00046312i,0.00099505-0.00051403i,9.9668e-05-0.00021578i,-0.00039375-4.1751e-05i,-0.00041754+0.00013475i
-0.00038491+0.00075019i,-0.00015634+0.0013647i,-0.00020472+0.0016913i,-0.00029494-0.00012698i,-0.0004387-0.0018246i,0.00011274-0.001255i,-4.8192e-05-0.00029666i,-0.00011026+0.00096961i,0.00015955+0.0015845i,1.1982e-05+0.00048597i,-0.00011693-0.00030861i,-0.00051935-5.5816e-05i,-0.00070244+0.00039352i,-0.00089407-0.00014193i,-0.00051748-0.00029543i,-0.00011349+0.00051643i,-0.00010729+7.1032e-05i,8.4797e-05-0.00043624i,0.00033092-0.00046548i,0.00047754-2.0343e-05i,-0.00040838+0.00041598i,-0.0012431-0.00024704i,-0.0011441-0.0013883i
-0.0010012+0.0017575i,9.5628e-05+0.00075497i,0.00092567+9.3017e-05i,0.00068291-0.00081418i,0.00020771-0.0017764i,-0.00045315-0.0014721i,-0.00028183-0.00026962i,1.9799e-05+0.0011772i,-0.0006788+0.0010564i,-0.00034329+0.00021257i,0.00039591+0.00042956i,0.00046347+0.00027209i,-0.00011105-0.00055059i,-0.0006234-0.0012621i,-7.3334e-05-0.00083221i,0.00023742-0.00045283i,-0.00015179-0.00047914i,-0.00047864-0.00053766i,-0.00025551-0.00072302i,-7.0762e-06-0.00021176i,0.00042046-0.00015044i,0.00092972-0.00033043i,0.00039578+0.00018992i
0.00036692+0.00024577i,0.00040104+0.000549i,0.00083246+0.00079804i,0.00094382-0.0011178i,0.00094013-0.0017591i,-7.7269e-05-0.00091677i,-0.00067015-0.00043781i,-0.0007916-0.00019206i,-0.0012846+0.00011557i,-0.00032152+4.3694e-05i,0.00067211-4.7356e-06i,0.00011979-0.00047356i,-6.7142e-05-0.00047392i,-0.00023188-0.00045922i,-0.00084317-0.00091202i,-0.0011755-0.00041711i,-0.00065268+0.00031459i,0.00023836+0.00010484i,0.00035108-7.8843e-05i,0.0005095+0.00018979i,0.00095713+0.00060906i,0.00063145+0.00054603i,-3.0749e-05-6.4483e-05i
0.00028846+0.00012555i,0.000184+0.00028548i,0.00037809+0.00055657i,-0.00038574-0.00027916i,-0.00089899-0.0011135i,-0.0008128-0.0011398i,-0.00034465+9.3137e-05i,-0.00026088+0.00092808i,-0.00039347+0.00060542i,0.00053545+0.0004195i,0.0019367+0.00030479i,0.00073205-0.00013351i,-0.0007014-0.00019124i,-0.00062003+0.00052439i,-0.00029531+0.0004869i,-0.00026568+0.00037342i,-0.00069592+0.00049682i,-7.1889e-05-0.00044526i,0.0011057-0.00068688i,0.00088464-0.00034291i,-4.4586e-05-0.00053575i,-6.954e-05+1.9629e-06i,-0.0003435+0.00027101i
0.0016815-0.00047913i,0.0011411-0.0011198i,0.00047907-0.0025809i,-0.0006731-0.0029244i,-0.00055615-0.0012843i,0.00066138+0.00058805i,0.00069925+0.00097319i,-7.3707e-05+0.0005594i,-0.0001246+0.00015339i,-0.00060175-0.00034786i,-0.00073116-0.00043599i,0.00020261-0.00030582i,0.00065392+0.00016701i,0.00034488+0.00025285i,7.009e-05+0.0005275i,0.00015362+0.00053079i,0.00090805+4.2512e-06i,0.00057718-3.347e-05i,0.00015072-0.00016616i,0.00071491-0.00026494i,0.00083442-0.00066586i,0.00072865-0.0010123i,-0.0001715-0.0011096i
0.00087225+0.0011584i,0.00067896+0.0011855i,0.00033522+0.00034652i,-0.00025199-0.00067447i,-0.00021246-0.0015911i,-0.00090707-0.00101i,-0.0011424-0.00031389i,-0.00086243-1.4269e-05i,-0.00084695-0.00025343i,-0.00011894-0.00010929i,0.00052304+0.0003707i,0.00051549+0.00051655i,9.3804e-06+0.00024145i,-0.00043785-0.0008405i,-0.00067669-0.00099354i,0.00024541-0.00026471i,0.00027718-0.00041071i,-0.00032466-0.00052663i,-0.00060056+0.00030118i,-0.00094824+0.00087198i,-0.00092134+0.00087549i,-0.00031819+0.00058838i,0.00023837+0.0012834i
-0.0012826-0.00032734i,-0.0019766-0.0016552i,-0.0024773-0.0018985i,-0.0018405-0.00043537i,-0.0014299+0.0002162i,-0.00078846+9.2087e-05i,-0.00016552-0.00040281i,-1.7648e-05-8.958e-05i,-0.00021978+0.00044599i,-0.00074375+0.00018018i,-0.00071809-0.00029601i,-0.00014561-0.00021001i,0.00062222-7.9301e-05i,0.00065369+0.0001368i,0.00056792-0.00068125i,0.00056018-0.00096532i,4.0519e-05-0.00061618i,-0.00011607-8.466e-06i,0.00011966+0.00017988i,0.00034556-0.00048437i,0.00038815-0.00066646i,0.00024468-0.00059908i,0.00048659-0.00045235i
0.0012417-0.0016281i,0.00080454-0.0018715i,0.00068777-0.0022072i,0.0002707-0.0019305i,-0.00085918-0.0004031i,-0.001008+0.00051853i,-0.00069244+0.00059359i,-0.0010017+0.00043188i,-0.00061823+0.00029086i,-0.00012388+0.00015763i,-0.00060375+5.9838e-06i,-0.00049565+0.00027476i,0.00019512+0.00063992i,0.00015135+0.0011197i,-9.8432e-05+0.00097212i,0.00026028-0.0001239i,0.00013806-0.00068785i,-0.00017484-0.00065493i,8.2206e-06+1.2103e-05i,8.0357e-05+0.00081608i,-0.00049392+0.001384i,-0.00092676+0.0012305i,7.0008e-06+0.00060743i
0.00046328-0.0012347i,-3.4877e-07-0.0015473i,-0.00033004-0.0012062i,0.00012824-0.00060336i,-4.1568e-05-0.00059661i,-0.00091658-0.00090212i,-0.00078855-0.00075993i,-0.00012549+0.00021335i,0.00038224+0.00038642i,0.00063381-0.00053094i,-9.7008e-05-0.00099501i,-0.00099366+0.0002108i,-0.001178+0.00181i,-0.0008997+0.0015661i,-0.00023327+0.00095735i,0.00014329+0.0011623i,0.00018879+0.0009346i,0.00014075+0.00068474i,-0.00035272+0.00036635i,-0.00023933+0.00028919i,0.00029317-0.00023996i,0.00021426-0.00014398i,-0.00015284+0.0005391i
0.00010021+0.00073328i,5.7199e-05+0.00054023i,-0.00024475+0.00015217i,-6.5833e-05-0.00071387i,-0.00046019-0.0012899i,-0.0015373-0.00035984i,-0.0016633+0.0010072i,-0.0001539+0.0010299i,0.00031132+0.00034114i,-0.00024937+0.00030389i,-1.3897e-05-0.0002789i,0.00014216+6.3208e-05i,-0.00014221+0.0010992i,0.00022307+0.00041284i,0.00038701-0.00041396i,0.00010104-0.00061068i,0.00071239-0.00063907i,0.00099174-0.00032036i,0.0002272+0.00011962i,0.00012422+0.00080747i,-5.203e-05+0.00016234i,-0.00046955-0.00033855i,0.00010559+0.0002966i
-0.00010969-0.0021642i,0.00010504-0.0012036i,6.9804e-06+0.00030017i,-0.00026498+0.00024321i,-0.00073521-0.00045593i,-0.00096049-0.00066188i,-0.00068155-0.0006759i,-0.00031824-0.00020919i,5.2016e-05+0.00010384i,0.00051985+0.00037017i,0.00021021+0.00047347i,0.00056381-5.5049e-05i,0.00099027-0.00015432i,0.0011373-0.00010186i,0.00060334+0.00040773i,-0.00025286+0.00069228i,0.00068952+0.00089602i,0.001118+0.00060791i,-0.00011447-0.00062i,-0.0012162-0.00068873i,-0.0012791-0.00036494i,-0.00025226-3.156e-05i,0.00067248-9.8567e-05i
0.00043429+0.00013024i,-0.00017121+0.00052785i,-0.00050224+0.00057661i,0.00020036-0.00036558i,0.00061681-0.00025152i,-0.00069673+0.00068747i,-0.0013945+0.0010129i,-0.00055648-6.5775e-05i,3.6801e-06-0.00049917i,2.0597e-05+0.00013599i,-5.5277e-05+0.00043165i,-0.00014049+0.00048993i,-0.00060785+0.00033005i,-0.00089472-0.00020958i,-0.00022375-0.00049894i,5.7212e-05-0.00042118i,-0.00048119+0.00010043i,-0.0008352+2.622e-06i,-0.0008389-0.0008284i,-0.00057573-0.00087709i,-0.00017789+0.0001318i,-0.0004211+0.00087683i,-0.0002518+0.00090008i
-0.0012197-0.0015592i,-0.0021172-0.0014766i,-0.0035511-0.0015474i,-0.0028921-0.00088017i,-0.0015025-6.1007e-05i,-0.00074512+0.00016474i,-0.00030211+0.00026358i,-0.00052211+0.00034464i,-0.00046935+0.00050203i,-8.7856e-05+0.00021505i,-0.00024116+0.00075958i,0.00046851+0.0012471i,0.0012793+0.00022228i,0.00042339-0.00035487i,0.00078125-2.2572e-07i,0.0011635+0.00024926i,0.00016925-0.00023445i,0.00011077-0.00077511i,-3.6956e-05-0.00053633i,-0.00050061-0.00020274i,-0.00019091-0.00055829i,0.00022395-0.00039321i,0.00036616-5.1699e-05i
0.00091852-0.0026478i,4.7319e-05-0.001601i,-0.00071206-0.0012545i,-0.001502-0.0012394i,-0.0017618-0.00037998i,-0.00085353+0.00037724i,-3.5467e-05+0.00011057i,7.0492e-05-0.00045857i,-0.00078881-0.00043869i,-0.00090345-0.00092269i,0.00024605-0.00058607i,0.00069694+0.00026374i,0.00088792+0.00019897i,0.00090706+0.000238i,0.00091957+0.00055904i,0.0010001+0.00030182i,0.00046319+0.00066494i,0.00013787+0.00053505i,0.00016588-0.00087849i,3.5414e-05-0.001547i,-0.00050168-0.0012197i,3.5096e-05-0.00071528i,0.00010417+0.00012613i
