1.0585e-05-2.9973e-05i,0.0015116-0.0015899i,0.0025577-0.0022613i,0.0015984-0.0027495i,0.00070438-0.0029083i,0.00069294-0.0010242i,0.00080944+0.0010687i,0.0012115+0.0014602i,0.0016769+0.0008413i,0.0014246-0.00033318i,0.00055143-0.00063313i,-0.00045151-0.00054878i,-0.00036282-0.00069506i,0.00014541-0.0007608i,0.00036321-0.00053047i,0.00031143-0.00060826i,-0.00010396-0.00055304i,-0.00051343-0.0004034i,-0.0003312-2.7446e-05i,-0.0002639+0.00030829i,0.00024235-0.0001953i,0.00068978+1.3949e-05i,3.9546e-05+0.00017148i
0.00026768-0.00074058i,-0.0002031-0.00054987i,0.0015638-0.00052203i,0.0026453-0.00035621i,0.0014942-0.00069562i,-6.3459e-05-0.00075805i,-0.00044239-0.00020561i,-0.00011184+0.00010692i,0.00032332+0.0007657i,0.00017067+0.00087963i,-0.00034031+0.00068452i,0.00015789+0.00011552i,0.0011354+9.1685e-05i,0.001197+0.00082276i,0.00031594+0.00064426i,-0.00018756+0.00050618i,-0.00042045+0.0004282i,-0.0013315-0.00060252i,-0.001267-0.00076511i,-0.00030254-0.00032397i,0.0001165-0.00022223i,0.00023575+0.00019614i,0.00020676+0.0001797i
0.00012921-0.0014714i,-0.00021835-0.0016466i,0.0012253-0.0015451i,0.0013962-0.0014307i,0.0017019-0.0017373i,0.0022568-0.0015853i,0.0017496-0.00098832i,0.00023111-0.00055845i,-0.00020536-0.00035892i,0.00037117-0.00019118i,-6.2496e-06-0.00024614i,-0.00026417+0.00019039i,0.00038503+0.00062381i,0.00098914+0.00056476i,0.00062284+0.00066473i,9.1139e-05-0.00015643i,-0.0004903-0.00048605i,-0.00087287+5.5549e-05i,-0.00098753-0.00042398i,-0.00073758-0.0012822i,-3.372e-05-0.00087868i,0.00051921-0.00076686i,0.00018564-0.0005949i
0.0023538+0.00018321i,0.0023438+0.0011619i,0.002919+0.00016261i,0.0025667-0.0013602i,0.0016168-0.001639i,0.0014898-0.0010805i,0.00088362-0.00015114i,0.00057253+0.00055616i,0.00086847+0.00097837i,0.00068533+0.00063331i,4.8414e-05+0.00055133i,4.9898e-05+0.00050299i,0.00088486+0.00016934i,0.0015851+0.00032614i,0.00080196-0.00022596i,-0.00029888-0.0013541i,6.3354e-05-0.0011522i,0.00043974+7.8337e-05i,-0.00021655+0.00049611i,-0.00071924-0.00029972i,-0.00030864-0.00068086i,-0.00034133+4.9707e-05i,-0.00014321+0.00012889i
-0.0010822+0.0001892i,-0.00076911+0.00081509i,-0.00025715+0.00020155i,0.00098199+0.00097778i,0.0015364+0.00089726i,0.0013273+0.00049433i,0.0010743+1.6124e-06i,0.00071996-7.6505e-05i,0.0001206+0.00032718i,0.0002402+0.00042419i,9.5845e-05+0.00036829i,-0.00047377-0.00021657i,-0.00067007-0.00027533i,-7.2664e-05+0.00013621i,-4.4735e-05-0.00049115i,-0.00030879-0.00078638i,-0.00051776-0.00065989i,-0.00089527-0.00067982i,-0.00036836-0.00045611i,0.00015659-0.00012876i,-0.00010664+4.1914e-06i,-0.00022887+5.3275e-06i,-0.00020611+0.00026674i
-0.0018739+0.0016851i,-0.0019083+0.0017783i,-0.001814+0.0021304i,-0.00049293+0.000758i,0.00076755-0.00098014i,0.0016248-0.0018081i,0.0010665-0.0012171i,-0.00013585-0.00028984i,-0.00031801+0.00037937i,-0.00019378+4.4445e-05i,-4.913e-05-1.0927e-05i,6.9144e-05+0.00066434i,0.00033021+0.00081676i,-9.4974e-05+0.00088022i,-0.00083858+0.0011972i,-0.0010818+0.00021785i,-0.0004277-0.00059865i,6.9496e-05-0.00026212i,-0.00046123+0.00030559i,-0.00082093+0.00018343i,-0.00050396+0.00030524i,4.0067e-05+0.00036072i,0.00022929-0.00016133i
-0.00074897+0.00015761i,-0.00038294+0.00056096i,0.0012601+0.00070929i,0.0031433+0.00015818i,0.003291-0.00030903i,0.0020527-0.0013416i,0.00056401-0.0016163i,-0.00031989-0.00037313i,-0.00017668-6.8328e-06i,0.00025604+6.9402e-05i,0.00019206+3.8507e-05i,0.00010748-0.00011092i,-0.00022415+0.00024745i,-0.00037936+0.00026209i,-0.0001806-0.00012538i,-0.00038532-0.00065271i,-0.00093695-0.00052397i,-0.0010899-2.642e-05i,-0.00074216-0.00010896i,-0.00065378-0.00011799i,-0.00062002-0.00022733i,-0.00045217-0.00026489i,-0.00079895-1.8893e-05i
-0.00089359+0.0017548i,-0.00053597+0.0022464i,0.00023349+0.0032272i,0.0011687+0.0027116i,0.001934+0.0015139i,0.0018262-0.00036301i,0.0015252-0.0010498i,0.00064208+0.000711i,-0.00024855+0.0012496i,-6.1758e-06+0.00044673i,0.00031545+0.00026459i,0.00049422+0.00058916i,0.00069751+0.00032759i,1.6896e-05-0.00012684i,-0.00063576-0.00031499i,-0.00035934-0.00029465i,-0.00067108-2.3102e-05i,-0.0010511+2.0781e-05i,-0.00083211+0.00023549i,-0.0003226+0.00048758i,0.00047649+0.00041348i,0.00077199+0.0001972i,0.00044579-8.0398e-05i
-0.0012171-0.0006162i,-0.00038718-0.00010623i,0.00034356-0.00061634i,0.0014025-0.0013335i,0.0020076-0.00081353i,0.0015706-0.00095248i,0.0013756-0.001257i,0.00026434-0.00096174i,-0.00050481-0.00023181i,-7.1871e-05-7.5365e-05i,-3.9596e-05-0.00026163i,-0.00015645-0.00010287i,-0.00037106+0.00076604i,-0.00096254+0.00087334i,-0.00066791+0.00093135i,-0.00056498+0.001278i,-0.00047802+0.00069481i,-7.0334e-05+7.8e-05i,-6.4458e-05-0.00020667i,-0.00036879+0.00012857i,-0.00032477-5.517e-05i,-0.00014762-0.00050433i,-3.4698e-05-0.00049054i
0.00038722+0.00083519i,-0.00099389+0.00092052i,-0.00043921-0.00047229i,0.00078071-0.00033406i,0.0015672-5.3054e-05i,0.0017165-0.00077718i,0.00051376-0.00076532i,-0.00051244+0.00061438i,-0.00037143+0.0012867i,-0.00024788+0.00017008i,-0.00031304-0.00056535i,-0.00046455-0.00028375i,-0.0005582+2.8275e-05i,-0.00035014+0.00030494i,-0.00037059+0.00053121i,-0.00058142-6.4609e-05i,-0.00046633-0.00070668i,0.00014047-0.0013211i,0.00050898-0.0011841i,0.00053368-0.00015042i,0.0012062+0.00077268i,0.0011527+0.0013616i,0.00018407+0.00084824i
-0.00056169+6.6548e-05i,-0.00031486+0.00049464i,0.00010809+0.0012285i,0.0004357+0.00090513i,0.0014301-0.00044461i,0.0018565-0.00093934i,0.00077094-0.00030336i,-0.00056511+0.00055336i,-0.00093275+0.0011103i,-0.0006479+0.00035041i,-0.00060102-0.00046705i,-9.3366e-05-0.00069903i,4.3238e-06-0.00068627i,-0.00054232-0.00036937i,-0.00053737-3.7079e-05i,0.00027903+0.0003061i,0.00030001+0.0007745i,8.9481e-06+0.00082959i,7.613e-05+2.3283e-05i,-0.00039932+0.00024715i,-0.00085798+0.00073276i,-0.0005353-3.9177e-05i,-0.00010387-0.00044902i
-0.0012998-0.00067143i,-0.00079948-0.00016374i,-0.0001818-9.5773e-05i,0.00060043+0.00041162i,0.0017976+0.000367i,0.0026793-0.00037197i,0.001674-0.00083944i,0.00025287-0.00089871i,-0.00058404-0.00019394i,-0.0010256+0.00052818i,-0.00099792+0.00076649i,-0.00088811+0.00040237i,-0.00078664+7.4068e-05i,-0.00060912+8.3072e-06i,-0.00034439-0.00012998i,-0.00054717-5.6823e-05i,-0.00045039+0.00016747i,0.00030614+0.0003108i,2.0707e-05-0.0001461i,-0.00014875-0.00035032i,-3.3954e-05+0.00012007i,-0.00021016+0.0002903i,5.8737e-06+0.00029069i
-0.00084367+0.0017831i,-0.0014299+0.0011147i,-0.0016368+0.00072089i,-0.0012495-0.00069244i,-0.00013818-0.0014796i,0.00036243-0.0016873i,-0.00042139-0.0014156i,-0.00085656-0.00060591i,-0.00038853+0.00053484i,-0.00041373+0.00063321i,-1.4764e-05+1.2875e-05i,0.00063168+0.00046657i,0.00022247+0.0013331i,0.00019366+0.0010704i,0.00065881+0.0011244i,0.00037081+0.00089074i,-0.00040314-0.00025072i,-0.00048915-0.0004244i,-0.000292-0.00036083i,-0.00041832+0.00023634i,0.0002336+0.00079821i,0.00075257+0.00047741i,0.00011422-0.00020825i
0.00090878-0.00034669i,0.0012432-0.00049604i,0.0014175-0.0003084i,0.00089528-2.2482e-05i,0.00051931-0.00079285i,0.00059796-0.00041397i,0.0003964-0.00017256i,-0.00048759-0.00050648i,-0.00056617-0.0010665i,-0.0001409-0.0010688i,-0.00077345-5.5729e-05i,-0.0013289-5.5115e-06i,-0.00016791-0.00035317i,0.001106-0.00015665i,0.001165-4.7734e-05i,0.00092276-0.00050713i,0.00023709-0.00067799i,-0.00057896-0.00042575i,-0.00080185-0.0004193i,-0.0007439+8.996e-05i,-0.00041886+0.00025563i,-0.00025307-0.0001184i,3.2865e-05+0.00024586i
-0.00036635+0.0011364i,0.00033759+4.3165e-05i,0.00032775-0.0014027i,0.0017796-0.0026188i,0.0030822-0.0029278i,0.0027331-0.0014087i,0.0011899+0.00025268i,-0.00046688+0.00070643i,-0.00063977+0.00079008i,0.00015396-6.534e-05i,0.00029795-0.00054139i,0.0001878-0.00017954i,-6.27e-05+0.00071494i,-0.00012076+0.00067128i,0.00013509-0.00013407i,-8.0476e-05-0.00057693i,-0.00020266-0.00053383i,0.00030237+5.9313e-05i,-0.00015262-4.7081e-05i,-0.00049643-0.00018843i,-0.00057787+0.00014673i,-0.00052566-0.00012692i,-0.00028257-0.00060793i
-0.0013448+0.0020738i,-0.00064692+0.0025751i,-0.00167+0.0029623i,-0.00092118+0.002147i,0.0012031+0.00085377i,0.0024555-0.00087153i,0.001738-0.0012494i,0.00022025-0.00081065i,0.00054518-0.00024022i,0.00043157-0.00029584i,0.00026439-0.00030294i,0.0010491-0.00019559i,0.00071901-3.9753e-05i,0.00034472+0.00027807i,0.0007685+0.00010271i,0.00081983-2.1128e-05i,0.0010484-2.2754e-05i,0.0011478-0.00032808i,0.00032109+0.00011246i,-0.00024516+0.0010892i,4.6743e-05+0.00077555i,0.00066868-0.00016691i,0.00047371-0.00047674i
0.00073598-0.00085929i,0.0012214-0.0014435i,0.00095507-0.0011999i,0.001825-0.00015991i,0.0024734+0.00024615i,0.0012302-0.00047692i,-0.00017525-0.00083685i,-0.00070653-0.0002514i,-0.00069756+0.00041871i,-0.00091986+0.00028509i,-0.001199-9.6267e-05i,-0.00096375-0.00013728i,-0.00035003-0.00049713i,0.00017714-0.00054197i,0.00084242-0.00034874i,0.0005365-0.00073302i,-4.1408e-05-0.0011731i,3.0453e-05-0.00085937i,0.00040715-0.00022221i,4.6936e-05+0.00045467i,-0.0012836+0.00073114i,-0.00099315+0.00070404i,8.0932e-05+0.00023331i
9.5461e-05+0.0016822i,0.00011932+0.0015826i,0.0004218+0.00070408i,0.0021373-0.00022018i,0.0038193-0.00052308i,0.0025705-0.00067278i,0.00073698-0.00092352i,0.00040913-0.00026601i,0.00087812+0.00060479i,0.00072624+0.00092426i,-0.00013412+0.00063154i,-0.00090208-0.00024202i,-0.00069931+0.00031576i,1.3301e-05+0.00069542i,0.00051629-0.00051626i,0.00076271-0.00056067i,0.00023425-0.00019841i,-2.6254e-05-0.00010728i,1.1609e-07-0.00011388i,0.00043883-0.00013159i,0.00025264-0.00030524i,-0.0011095-0.00044147i,-0.0014021-0.00059219i
0.0023982+0.0011767i,0.0020936+7.3726e-05i,0.0020193-0.0004484i,0.0014458-0.0007291i,0.00097859-0.0016773i,0.0006942-0.0023132i,0.00048567-0.0011326i,-0.00033397-0.00058133i,-0.00025153-0.00064969i,0.00027907-7.0077e-05i,0.00017652+0.00059805i,0.00010278+0.0010906i,-0.00062896+0.0004728i,-0.00095448-0.00033619i,-0.00028649+0.00019362i,0.00037704+0.00036653i,7.0331e-05-0.00019005i,0.00029116-0.00021682i,-0.00065253-9.1952e-05i,-0.0012759-0.00027311i,-0.0008926-0.00017346i,-0.00082036-0.00027622i,-0.00075465-0.00049208i
-0.0016563-0.00067077i,-0.00059899+9.9077e-05i,-0.00019792-9.9196e-05i,0.0012648-0.00064848i,0.0027197-0.00059725i,0.002518-0.00071982i,0.0013588-0.001117i,-0.00022917-0.00052852i,-0.00021725-0.00022772i,0.00014841+4.9078e-05i,-0.00052748+0.00052117i,-0.00021739+0.00045244i,0.000139+0.00024862i,-0.00035671-0.0005439i,8.9889e-06-0.0012966i,0.00078126-0.00078481i,0.00012843-0.00025838i,-0.00032358-0.00037305i,0.00028758-2.7113e-05i,0.00072367-0.00012441i,0.00071329+3.6143e-05i,0.00057877+0.00054097i,4.0177e-05+1.6258e-05i
0.0008075-0.00074586i,0.0014201-0.00069763i,0.001442-9.8251e-06i,0.0021336+1.5126e-05i,0.0024632-0.00069664i,0.0016393-0.00086757i,0.0011634-0.00060424i,0.00015759-4.0339e-05i,-0.00067134+0.00056156i,-0.00042674+0.00042033i,-0.00062229+0.0003507i,-0.0006547+0.00043475i,0.00017252+0.00067969i,1.8149e-05+0.00025838i,-0.00034364-0.00018857i,-0.00047246-0.00031535i,-0.00023767-0.00093592i,0.00022811-0.0017075i,-0.00025651-0.0011749i,-0.00042698-0.00027275i,2.6903e-05+0.00014473i,-0.00017793+0.00065309i,-0.00059443+0.00067727i
5.4234e-05-1.9291e-05i,-0.00019968-0.00037424i,0.0001913-0.00070228i,0.0008367-0.0011008i,0.0012503-0.0010184i,0.0012988-0.00084982i,0.0012899-0.00044047i,2.8867e-05+0.0006385i,-0.0008306+0.00078702i,-0.00060055+4.8354e-05i,-0.00096498+0.00024291i,-0.00082294+0.0006809i,-0.00036156+0.00062148i,-4.7026e-05+0.00086597i,-0.00013672+0.00048253i,-0.0004917-0.00012998i,-0.00051519-0.00012666i,-0.0011138-0.00019318i,-0.0015131-0.00028777i,-0.00093787-0.00022663i,-0.00030972-0.00062104i,-7.0386e-05-0.00069775i,-8.9233e-05-0.00047507i
0.0015006-0.0027419i,0.0013858-0.0036443i,0.002191-0.0035923i,0.0021847-0.0025193i,0.0020634-0.0022338i,0.0017253-0.0017477i,0.00099208-0.0012729i,-9.0153e-05-0.00033239i,-0.00042639+0.00087195i,9.9861e-05+0.00060432i,-0.00030498-4.7124e-05i,-0.00054077+0.00025171i,-0.00071569+0.0004822i,-0.0013796+0.00032304i,-0.0011315+7.1996e-05i,-0.00040474-7.0926e-06i,-0.00049785+0.00055894i,-0.00060715+0.00040219i,-0.00028396+0.0003143i,-0.00065214+0.00039026i,-0.0013324+6.4852e-05i,-0.0012382-0.00024356i,-0.00010853-0.00086723i
0.00035776-0.00063967i,0.0002155+0.00034237i,0.00016734+0.00084916i,0.0016871+7.3646e-05i,0.0021732-0.00093105i,0.0011091-0.0017358i,-0.00024178-0.0012444i,-0.00086004-0.00057421i,-0.00053757-9.6304e-05i,-0.00040324+0.00032893i,-0.00033082+0.00038799i,0.00010904-0.00027572i,0.00052118-0.00040446i,-4.8071e-05+0.00017353i,-0.00057099+0.00059842i,-0.00045148+0.0003757i,-0.00067009-0.00065015i,-0.00048107-0.00044132i,0.00012202+0.00055511i,0.00056147+9.1949e-05i,0.00086949-1.4339e-05i,0.00048425+0.00054787i,-0.00022806+0.00022283i
0.00025368+0.00011699i,0.00035747-0.00068484i,0.0011906+0.00021315i,0.0014709+0.00029656i,0.0013117-0.0002646i,0.0012287-0.00052527i,-0.00013872-0.0010024i,-0.00092359-0.00044359i,2.6704e-05+0.00094143i,0.00062768+0.00066526i,0.00073545-0.00059804i,0.00035473-0.0004458i,-0.00014701-1.0528e-05i,-9.9985e-05+5.714e-05i,1.7392e-05+3.6428e-05i,-0.00019485-0.00040373i,-0.00075053-0.0006512i,-0.0010212-0.00023025i,-0.00015253-6.056e-05i,0.00061188-1.293e-05i,0.00054108+0.00047833i,0.00042113+0.0010286i,0.00029271+0.00071081i
0.0025986+0.00017679i,0.0019211+0.00014695i,0.0020994+0.00027078i,0.0016686+0.0001691i,0.001264-0.00062381i,0.00067178-0.0013008i,0.00050263+0.00013637i,0.00056088+0.0015489i,0.00048554+0.0011589i,-0.00046283+0.00024355i,-0.00108-0.00038295i,-0.00055585-0.00012267i,-0.00028278-0.00012641i,-5.7091e-05-0.00037464i,0.0004355-6.7551e-05i,0.001396+4.5622e-05i,0.0010024+0.00064914i,-0.00020006+0.00088102i,-0.00038977+0.00037514i,-5.8915e-05-0.00024045i,0.00012423+8.807e-05i,-0.00024239+0.00017901i,-0.00012049+2.2015e-05i
0.0010839+0.00092164i,0.0012545+0.00072359i,0.0011687-0.00017405i,0.0010628-0.00107i,0.0014637-0.0011282i,0.0013573-0.0013172i,0.00045175-0.0013358i,-5.4115e-05-0.00039214i,0.00045007+0.00012241i,0.0010087-0.0003033i,0.00054768-0.00067702i,0.00019938-0.0010019i,-9.3029e-05-0.0006078i,-0.00051274+8.8151e-05i,-0.00028563-0.00044104i,0.0001305-0.00026151i,-0.00019444+0.00049489i,-0.00020173+9.7842e-05i,0.00022228-0.00024888i,0.00021581-0.00084703i,0.000202-0.00084057i,0.00034156+1.9958e-05i,0.00035891+0.00052572i
0.001501-0.0016197i,0.0018079-0.001025i,0.0005413-0.0018411i,0.00044603-0.0016125i,0.0015881-0.0011942i,0.0014328-0.0016011i,0.00031687-0.0016393i,-0.00043729-0.0010944i,-0.00019361+0.00024008i,-0.00040919+0.00073002i,-0.00037544+0.00068165i,0.00027137+0.00060651i,0.00043752-0.00056741i,0.00017656-0.00066714i,-4.7332e-05+0.00046681i,-0.00066048+0.00021012i,-0.00095362-0.0012505i,-0.00094551-0.0013511i,-0.00092947+4.4566e-06i,-0.00035754+0.00090161i,-7.1303e-06+0.00046864i,5.4407e-06+6.2513e-05i,-0.00021506+0.00015669i
-0.00024456-0.00076359i,0.00038958-0.0002815i,-0.00027275-0.00048266i,0.00064415-0.00096938i,0.0019842-0.0011632i,0.001945-0.00089515i,0.00094447+9.7947e-05i,0.00014511+0.00089499i,-0.00034781+0.00050218i,-0.00065723+3.6952e-06i,-0.00065177-2.3298e-05i,-0.00027001+0.00027621i,-0.00051494+0.00050579i,-0.00043912+0.00057491i,0.00010533+0.00035036i,-0.00043174-0.00032213i,-0.00064575-0.00021997i,-0.00092109+0.00015901i,-0.00085413-0.00024971i,-3.9389e-05+6.3066e-05i,0.00019084+0.00060844i,0.00057318+0.00061233i,0.0010161+0.00034156i
0.00016363-0.0013038i,6.7211e-05-0.00068579i,-6.1892e-05-0.0010721i,0.00064888-0.0017072i,0.0011224-0.0012539i,0.00052057-0.00032036i,-0.00011239+0.0002413i,-0.00083636+0.00076917i,-0.00088101+0.0010572i,-0.00021824+0.00018286i,0.00027471-0.0013295i,-9.1355e-05-0.0012651i,-0.00057211-0.00018039i,-0.0009237+0.00034823i,-0.0010916-0.00035523i,-0.00086812-0.0007222i,-0.00013877-9.0491e-05i,9.0003e-05+0.00048465i,-0.00052112+0.0004644i,-0.00074422-0.00024924i,-0.00054191-0.00054213i,-0.00052288-0.00026353i,-0.00019418-0.00019381i
0.00024176+0.00061068i,-8.4887e-05+0.0003186i,-0.00015432-0.00033101i,0.001192-0.00032607i,0.0028268-0.00055027i,0.0028413-0.00029225i,0.001458-0.00068724i,0.00055473-0.00075014i,0.00014298-0.00011481i,0.00020981+0.00011726i,0.00016708-0.00036856i,-0.00025618-0.00092462i,-0.0006058-6.2167e-05i,-0.00044148+0.00042943i,-0.00017429-3.0632e-05i,-0.00010973-0.0001632i,-0.00023191+0.00049132i,-0.00041232+0.00040237i,-0.00016306-0.00020199i,-7.374e-05-0.0010867i,0.00027574-0.00076905i,0.00035536+0.00037072i,0.00042133+0.00011746i
4.3266e-05+0.0016586i,0.00032303+0.0017993i,0.00033883+0.0020404i,0.001376+0.0011556i,0.0018297-0.00016305i,0.0012647-0.0014306i,0.0006829-0.0021469i,0.00027296-0.00073323i,7.6047e-05+0.00079217i,0.00021897+0.000475i,5.1064e-06-0.0003048i,-2.9996e-05-0.00037517i,0.00012314-0.00016766i,0.00035545-2.1316e-05i,0.00040137+0.00010861i,0.00027558-0.0002012i,-0.00034877-3.292e-05i,-0.00079774-0.00013442i,-0.00045833-0.00063356i,-0.00019415-0.00082627i,0.00028635-0.00020395i,0.00010398+0.00032664i,-0.00032261-2.5007e-05i
