-0.00080722-0.00088551i,0.00028662-0.001975i,1.7436e-05-0.00067822i,0.00039815+0.0004742i,0.0012168+0.0010335i,0.00098366+0.0010372i,0.00045054+0.00054339i,0.00093227+0.00041578i,0.0015604+0.00068879i,0.0017956+0.0010042i,0.0015633+0.00090259i,0.00056999-0.00021993i,-0.00025437-0.00055863i,-0.00059297-0.0004104i,-0.00064531-0.00014376i,-0.00016888+0.00010509i,-0.00026023-0.00057295i,-0.00041312-0.00027387i,9.9212e-05+0.00016198i,0.00031616+0.00021499i,-0.00013501-0.00033927i,-0.00040286-0.0010217i,-0.00030152-0.00082376i
0.00010731+0.00081781i,-0.00025076+0.00040634i,0.0006241-0.00012752i,0.0009318-0.00040481i,-9.7164e-05-0.00090268i,-0.0011735-0.00059877i,-0.00068758+0.00063509i,-0.00022315+0.0008858i,-0.0001496-0.00055502i,0.00024834-0.0012817i,0.00010435-0.00057496i,-0.00042825-0.00011381i,-0.00052259-0.00031869i,-0.00016914-0.0002571i,0.00039101+3.3009e-05i,0.00010179+0.00011864i,-0.00062995+0.00050786i,-0.00069425+0.00061519i,-0.00053606+0.0002704i,-0.00056906-1.7632e-05i,-0.00067486-1.8312e-05i,-0.00034778-0.00018008i,-0.00065555+0.00036455i
-0.00081498+0.00047605i,-6.3701e-05+0.00144i,0.00079218+0.0012349i,0.00061048+0.00041416i,0.00010192-0.00011584i,-0.00016968-0.00022593i,0.00012992-0.00011458i,0.00061987-0.00058541i,0.0007881-0.00092546i,0.00052261-0.001003i,0.00024432-0.00096428i,3.2157e-05+0.00037392i,5.0933e-05+0.001767i,-0.00018111+0.0013191i,0.00040707+0.00015192i,0.00060871-0.00029683i,-0.00034835+2.1287e-05i,-0.00061087+5.9909e-05i,-0.000272+0.00047794i,0.00010535+0.00023063i,-0.00017073-0.0007211i,-0.0005061-0.00075989i,-2.2895e-05+5.6247e-05i
0.00054732+0.00034214i,0.00064281+0.00079387i,0.00033516+0.00088306i,0.0011758+0.00056094i,0.0012156-0.00022332i,-4.0501e-05-0.00036323i,-0.00099739-0.00012747i,-0.0004542+0.00044393i,-0.00016573+0.00063844i,-0.00013004+0.00054906i,0.00027032-0.00017148i,0.0003838-0.00098069i,-0.00011361-0.00077746i,-0.00062127-0.00061066i,-0.0010681-0.00092746i,-0.00059159-0.00065636i,-0.00053462-0.00022517i,-0.00061458-0.0002692i,-3.135e-05+0.00022831i,7.3934e-05+0.00017066i,0.00020236-8.1954e-05i,0.00012659+1.9169e-05i,-0.00018758-4.5741e-05i
0.00069969-0.00076399i,0.0006298-0.0011174i,0.00032358-9.9111e-05i,-0.00059164+0.0011733i,-0.00070093+0.00096872i,0.00020459+0.00074551i,0.00071655+0.0002971i,0.00049881-0.00018453i,0.00066121-0.00060011i,4.3203e-05-0.00062108i,-0.00040156-0.0010382i,1.7208e-05-0.0010814i,0.00035728+2.0469e-05i,0.00067551+0.00054527i,0.00062346+5.967e-05i,0.00074484-0.00040492i,0.0005351-0.00046492i,-6.4508e-05-0.00071278i,-0.00014131-0.0013375i,-0.00061576-0.0012397i,-0.0011509-0.00023871i,-0.00079256+0.00025484i,0.00021067+0.00050844i
-0.00038926-0.00040715i,-0.00063666+0.00033433i,-2.2524e-05+0.00044172i,0.00026039-0.0002837i,-0.00030852-0.00061826i,-0.00086355-0.00035631i,-0.00046201-2.2691e-05i,0.00025713+0.00027493i,7.0007e-05+0.00037174i,-0.00019104+1.4321e-05i,-0.00029463-0.00022754i,-0.00058436+0.00013973i,-0.0010257+9.128e-05i,-0.0011143-7.0547e-05i,-0.00050649+0.00019268i,0.00018923+0.00064064i,0.00015142+0.0007139i,-0.00027666+0.0005138i,-0.0011549+0.00017761i,-0.00055683-2.3532e-05i,-0.0001472-9.0235e-05i,-0.00070986-0.00040856i,-0.00016053-0.00060138i
0.00069818+0.00076566i,0.0008406+0.0012882i,0.00046392+0.0014337i,0.00083806+0.0013669i,0.00057846+0.00047967i,-0.00060239-0.00064085i,-0.0006435-0.00084244i,-0.00069174+0.00013088i,-0.00055641+0.00032324i,0.00076796-0.00014791i,0.0013898+0.00021122i,0.00068738-0.00018357i,0.00024664-0.00094566i,-8.6052e-05-0.0005388i,-0.00073646+0.00057465i,-0.00087588+0.00073355i,-0.0007903+0.00010378i,-0.00060304-2.9658e-05i,0.00057216+0.00025176i,0.001573+0.00023836i,0.0015181-0.00018229i,0.00098533-7.0507e-05i,0.0006533+0.00036786i
-0.0017765+0.0019158i,-0.0015893+0.0014191i,-8.9221e-05+0.00055792i,0.0012053+0.00028013i,0.00040799+0.00010919i,-0.00046178-0.00025784i,-0.00071206-0.00060804i,-0.00084561-0.00027139i,-0.00037444+0.00048683i,-0.00047884+0.0001364i,-0.00070904-0.00059411i,-0.00063161+5.5001e-05i,-0.00030019+0.00050213i,-0.00086952+1.2892e-06i,-0.0015015+0.0003505i,-0.0011178+0.00071243i,-0.00074214+0.00023561i,-0.00035828-0.00068672i,-0.00010701-0.00047297i,0.00011184+0.00027534i,7.6588e-05-0.00026868i,-0.00015639-0.00060022i,-0.0005226-0.00010939i
0.0017031-0.001717i,0.00086672-0.0012243i,0.00064031-0.0012634i,0.0008643-0.0013785i,0.0005599-0.00085425i,0.00043406-0.00037408i,0.00026774-5.0885e-06i,0.00044497-0.00040667i,0.0012062-0.00071586i,0.0014704-0.00055649i,0.0013326-0.00045866i,0.00071276-0.00030128i,-0.00019083-0.00032547i,-0.00030234-0.00039008i,-0.00022493-0.00025639i,-0.00022121-0.00029288i,-0.00018176-0.00073646i,-0.00016367-0.00084629i,-5.8207e-05-0.00053398i,-9.2554e-05+0.00028595i,-0.00073107+0.00064309i,-0.00082382+6.3057e-05i,-0.00033903-0.00021418i
0.0002297+0.0034323i,0.00099142+0.002537i,0.0020018+0.0021157i,0.0023543+0.00096293i,0.0023687+1.159e-05i,0.0011368-0.00094342i,-0.00047954-0.00090013i,-0.00060681-0.000772i,-3.5567e-05-0.00076182i,-0.0001672-0.00047977i,-0.00020024+0.00020237i,8.306e-05+0.00040902i,-5.3101e-05+0.0003919i,-0.00050144+0.00042319i,-0.00032569-0.00025584i,-0.00017002-0.00043719i,-6.5351e-05-0.00042859i,-0.00059098-0.0007196i,-0.00095333-0.00052628i,-7.821e-05-0.00044074i,0.00042321+0.00018881i,0.00013027+0.00036059i,0.00016198+0.00041648i
-0.0020549-0.00035467i,-0.0023231-0.00038404i,-0.0015238-0.0003343i,-0.000756+0.00041255i,-0.000203+0.00036188i,0.0001004-0.00013253i,-6.3288e-05+0.00039671i,-0.00046818+0.00079133i,-0.00061668+0.00031481i,1.5255e-05+0.00023443i,0.00065856+0.00040416i,0.00023176+0.00027852i,4.7107e-05+0.00042348i,0.00067807+0.00070926i,0.00075924+0.00013051i,0.00039511-0.0001926i,1.3315e-05-4.1823e-05i,-0.0004703+0.00033117i,-0.00078341+0.00075034i,-0.00072366-0.00036201i,-0.00049613-0.0013403i,-0.00049044-0.0010712i,-0.00037174-0.00038368i
0.00036772-0.00081888i,0.0013882-0.00047866i,0.0013627-9.4148e-05i,0.00038534-0.00031536i,-0.0003695-0.0004339i,-6.4122e-05-0.00051565i,0.00046123-0.0006781i,0.00081724-0.00051653i,0.00089601-0.00034937i,0.00017909-0.00011156i,-0.00012129-0.00064049i,0.00044433-0.001201i,0.00022578-0.00079314i,0.00014171+0.00017759i,0.00042307+0.00027244i,0.0007532+8.9645e-05i,0.00079175+0.00015948i,0.00067091-0.00067638i,0.00067471-0.00013498i,-0.00010857+0.0005974i,-0.0011151-0.00032402i,-0.0012069-0.0014979i,-0.00059368-0.0011982i
-0.0017216+0.00011581i,-0.00063873+0.00064758i,0.0005197+0.00037449i,0.00094335-0.00017506i,0.00041208+0.00062736i,0.00024385+0.00022235i,-0.00011766-0.00080106i,-0.0006049-0.00042594i,0.00013868-0.00022817i,0.0014552+0.00025656i,0.001184+0.00085833i,0.00033861-0.00013889i,-0.00016999-0.0004042i,-0.00016317-0.00012583i,-0.00036831-0.00059269i,-0.00056448-0.00028084i,-0.00017091-0.00030568i,7.1118e-05+0.00015389i,0.0004684+0.00084092i,0.00033602+0.0006192i,-0.00060008+0.00025359i,-0.00019715+0.00026427i,3.7369e-05+0.00049852i
1.8474e-05+0.00047059i,-0.00066955+0.0011118i,-3.8516e-05+0.00098043i,0.00063515+0.00055719i,0.0009254-0.00044072i,-1.6037e-05-0.00088357i,-0.00021875-0.0006032i,7.2074e-05+0.00032384i,8.4238e-05+0.00067512i,0.00078305+0.00022696i,0.00077396-5.4531e-05i,-2.1728e-05-3.3971e-05i,-8.3904e-05+6.8476e-05i,9.272e-05-0.00012998i,0.00088528+3.4665e-05i,0.00135-0.00017009i,-1.5068e-05-0.00064975i,-0.0015345-0.00074113i,-0.00095592-0.00030955i,0.00011236-6.5542e-05i,0.00070346-0.00047361i,0.00064465-0.00039533i,-3.503e-05+0.00020225i
-0.0012337-0.0001659i,-0.0011716+0.00071979i,0.00022413+0.00049728i,0.00097032-0.00059707i,0.00026411-0.0010717i,-6.3535e-05-0.0012619i,0.00058488-0.00072974i,0.00016915-0.00047208i,0.00014513-0.00059387i,0.00049875-0.00045364i,0.00095973+0.00022744i,0.00035494+0.0001825i,-0.00067023-0.00019538i,-0.00076371+0.00056387i,-0.00059817+0.00060081i,0.00046857-1.7532e-05i,0.00086924-0.00022596i,-0.00017708-0.00034051i,-0.00062326-0.00027526i,-0.0002163-0.00024937i,-0.00024277-0.00020846i,-0.00018357-0.0001714i,-0.00012571-0.0002131i
0.0013472-0.00076028i,0.0015025+0.00044734i,0.0011529+0.0013189i,0.00022805+0.00095468i,0.00025717-5.7485e-05i,-0.00012016-0.0006768i,-0.00052009-0.00090177i,-0.00011687-0.00061407i,0.00021225-0.00019386i,0.00011127-0.00017221i,-2.2977e-05-0.00052006i,-0.00022908-0.00077192i,-0.0003824+6.5042e-05i,-0.0005473+0.00059461i,-0.0007651+0.00078033i,-0.00050971+0.0011371i,0.00017693+0.00099138i,3.8131e-05+0.0010037i,-0.00035428+0.0012102i,0.00011288+0.0010698i,0.00060098+6.9055e-05i,0.00047137-0.0011033i,6.6781e-05-0.0015809i
0.00087796+0.0016698i,0.0006487+0.0019424i,0.00033176+0.00021932i,0.00012986-0.00029347i,0.00027134-0.0001981i,6.7685e-05-0.00075607i,-2.3595e-05-0.00043858i,0.00063851-2.0155e-05i,0.00069312-3.9457e-05i,0.00030441+8.9319e-05i,0.00028048+0.00064308i,0.00061069+0.00084334i,6.4659e-05+0.00065788i,-0.00034061+0.00015084i,0.00039885-5.2402e-05i,0.00085083+0.00027011i,3.7579e-05+0.00020648i,-0.00041776-0.00010577i,-4.2365e-05-0.00061342i,-9.021e-05-0.00049982i,-5.5742e-05+0.00010775i,-0.00047356-0.00012622i,-0.00013753-0.00091539i
-0.0012346-0.0016865i,-0.001119-0.0014459i,-0.0010274-0.00066134i,-0.00046265-0.00064241i,-0.00018495-0.00037535i,-0.00040584+0.00034277i,-0.00097429+0.00013609i,0.00011848+0.00025967i,0.0011117+0.00085356i,0.00011958+0.00030342i,-0.00071593-0.00079935i,-0.00031195-0.00057731i,0.00017662+0.00052135i,0.00011363+0.0012325i,0.00011957+0.00094764i,0.00057764+0.00056373i,0.0009998-9.1714e-05i,0.0010425-0.00018771i,0.0010676+7.1021e-05i,0.0006395-0.0004738i,0.00068221-0.00097182i,0.00077056-0.00057244i,-0.00027097-0.0006557i
0.0037381+0.0015244i,0.0030853+0.0022182i,0.0025832+0.0014483i,0.0019223+0.00031735i,0.00072961-0.00058289i,-0.00022847-0.00088838i,0.0001043-0.00063454i,0.00073884-0.00043147i,0.0010816-0.00027176i,0.0013274-0.00051524i,0.00088881-0.00029899i,6.7735e-05+0.0003232i,-0.00041479+0.0006049i,-0.00072805+0.0003074i,6.1949e-05+0.00021209i,0.00096101+0.00055517i,0.00082152+0.00073869i,5.6156e-05+0.00060501i,-0.00013263+0.00048249i,-0.00034029+0.00016902i,0.00038401-0.00012674i,0.00088923-0.00015437i,0.00047047-0.0005298i
-0.0018125+0.00039796i,-0.00033389+0.0008265i,0.00065151+0.0019423i,0.00081008+0.0016276i,0.00080987+0.000329i,0.00094951-0.00064191i,0.00020645-0.00096692i,0.00010838-0.00031251i,0.00027106+0.0003202i,0.00011034+4.2148e-06i,0.00055491-0.00023548i,0.00058358+0.00013857i,0.00019961-0.00027355i,-0.00018703-0.00073089i,-0.0001331-0.00019739i,-0.00049129+0.00045009i,-0.0005823-0.0001688i,-0.00048707-0.00050612i,-0.00078793+1.3575e-05i,-0.00044366+0.00024618i,0.00056574-0.00011645i,0.00073207-0.00040795i,0.00025824-0.00029905i
0.0017414-0.0010963i,0.00097405-0.0007147i,0.00066782-0.00058234i,0.0014974-0.00047738i,0.00087517+0.00034257i,-0.00079824+0.00059164i,-0.001276+0.00074685i,-0.00045231+0.0010261i,0.00016927+0.0006608i,0.00043003+0.00063237i,0.00031008+0.0012765i,0.00030999+0.00019223i,0.00035667-0.00042429i,0.00020552+4.5932e-05i,-0.00016003+0.00028508i,-5.789e-05+0.00016126i,0.0011023-0.00015677i,0.0013268+0.00031637i,0.00060394+0.00066672i,-0.00020081+0.0005383i,-0.00049137+0.00021095i,-0.00061239-6.4103e-05i,-0.00026868+0.00016764i
0.0019005+0.00085636i,0.0017271+0.001858i,0.00075342+0.0003638i,3.3989e-07-0.00059868i,0.00018778-0.00085022i,0.00049273-0.00051244i,0.00049473+0.00062906i,0.00033117+0.0012034i,0.00063545+0.00050917i,0.00058453-0.00030427i,0.00025039-0.00052368i,0.00012152-0.00016783i,-4.8288e-06+0.00045746i,-0.00050122+0.00044446i,-0.0011356+0.00012907i,-0.00054403-0.00019857i,0.00028733-0.00060544i,0.00069745-0.00037768i,0.00040736+0.00066188i,-0.00058061+0.0012346i,-0.00084112+0.00070672i,-0.00043346-4.9591e-05i,-0.00029312-0.0002588i
-0.00017083-0.00059852i,-0.00060474-3.7864e-05i,-0.00047722+0.00065766i,0.00044473+0.00022564i,0.00082517-0.00058037i,0.00032339-0.00094501i,-8.3572e-05-0.00098257i,0.0011404+3.049e-05i,0.0016408+0.00057189i,0.00030671-0.000254i,-0.00098822-0.00036302i,-0.0012568-2.3354e-05i,-0.0006145-0.0001263i,0.00029455+0.00070543i,0.00064522+0.00057833i,0.00061587+0.00017221i,0.00056207+0.00020619i,0.0011353+0.00081884i,0.0014798+0.00098095i,0.00040738+0.00074207i,-0.0010848+0.00025791i,-0.00066645-0.00029646i,3.5094e-05-0.00058558i
