-0.003089-0.0012343i,-0.0025015-0.00088583i,-0.0026941+0.00012599i,-0.002887+0.00012528i,-0.0032319+0.00042067i,-0.0021612+0.00079448i,-0.0011351+0.00040328i,-0.00065125+0.00043951i,-0.00045929+0.00056279i,-0.00036863+0.0002875i,-0.00022078+0.00043589i,0.00023556-0.00036753i,0.00059349-0.00087775i,0.00076832+0.00048058i,0.0002612+0.0014037i,-0.0001762+0.0014259i,-0.00024667+0.00096055i,-0.00064542+8.5848e-05i,-0.00087883-0.00021072i,-0.0008092+5.2698e-05i,-0.00096558+0.00020283i,-0.00061495+0.00018501i,-0.00036595+0.00071232i
-0.0012316-0.00093041i,-0.0018066-0.00020016i,-0.0019874+0.00013981i,-0.0023941+0.00016219i,-0.0023808-0.00025303i,-0.00076348-0.00036146i,0.00064113-0.00036747i,0.00042576-0.0012784i,8.7652e-06-0.0010765i,0.00017684+8.3331e-05i,-0.00045965+0.00012302i,-0.00023086-0.00075386i,0.0010114-0.0010504i,0.0009355+0.00015286i,0.00087614+0.00077789i,0.00053974+0.00022713i,-0.0001299+0.00018212i,-0.00015512+0.00071843i,0.00011248+0.0011179i,0.00056516+0.0010464i,0.0012205+0.00096944i,0.00070925+0.00092871i,-0.0001135-0.00014169i
0.00010048-3.6983e-05i,1.824e-05-0.0002622i,-0.0013927-0.00093489i,-0.0014612-0.0011978i,0.0002921-0.0013594i,0.0013095-0.0008243i,0.0011854-0.00078385i,0.0006631-0.0014826i,-2.3915e-05-0.00084637i,-0.0008967-0.00057065i,-0.00093475-0.00015815i,-0.00038988+0.00092262i,6.2005e-05+0.00045831i,0.00033924-0.00013245i,0.00021223-7.6474e-05i,0.00021442-0.00012217i,0.00012199-6.5466e-06i,-6.4985e-05-0.00020634i,0.00030858-0.00053643i,0.00095596-0.00018709i,0.0013542+0.0001109i,0.00095286-0.00028121i,-0.00043474-0.00033619i
7.5034e-05+0.00052345i,-0.00031959+0.0001573i,-0.00068446-0.00014488i,-0.0014752+0.00056429i,-0.0016078+0.00074988i,-0.00089128+0.00029755i,-0.00050421-0.00077639i,-0.00015873-0.0022839i,-0.00082217-0.0023021i,-0.0016582-0.000541i,-0.00056665+0.00084248i,-0.00012236+0.00058845i,0.00022109-3.033e-05i,0.00086893+0.00013368i,0.00043502+0.00076266i,0.00017328+0.00096149i,8.9263e-05+0.00038937i,0.00037423-0.00034476i,0.00020063-0.00015403i,-0.0001276+0.000399i,-0.00046871+0.0006659i,-0.00049918+0.00042582i,-0.00040298-0.00032817i
-0.0011988-0.0017239i,-0.0017107-0.0017787i,-0.0031346-0.0018951i,-0.0037948-0.0016468i,-0.0035172-0.0013224i,-0.002435-0.00093459i,-0.0013344-7.9475e-05i,-0.00034331-0.00031248i,-6.5806e-05-8.655e-05i,-0.00058399+0.000506i,-0.0010473+0.00073996i,-0.00038575+0.00044856i,0.00044904+0.00064905i,-0.00037371+0.0011538i,-0.0010397+0.0013668i,-0.00044285+0.00089596i,0.00026501-5.5243e-05i,0.00058793-0.00083525i,0.00028242-1.3909e-05i,-0.00039497+0.0012902i,-0.0004353+0.0012442i,-7.9947e-05+0.00071745i,0.00019227-0.00014234i
0.00091321-0.0016689i,-0.00039526-0.0021711i,-0.0011243-0.002156i,-0.0010229-0.001228i,-0.001177+9.0156e-05i,-0.00035314+0.001247i,0.00062213+0.0015936i,0.00029961+0.00081358i,-0.0006729-0.00025748i,-0.00095122-0.00042045i,-0.0013133-0.00015427i,-0.00096876+0.00016665i,-0.00028411+0.00060608i,-0.00018623+0.0012672i,4.0514e-06+0.0016926i,0.00036479+0.0017576i,0.001187+0.00075416i,0.00089018+0.00041391i,-0.00025381+0.0010153i,-0.00061624+0.00090678i,-0.0011864+0.00050867i,-0.0013748+0.00027452i,-0.00058928+0.00063904i
0.0013012-0.0021479i,0.0011427-0.0014322i,-0.00010799-0.001864i,-0.0019073-0.0023851i,-0.0026139-0.0018577i,-0.001468-0.0004411i,-1.9654e-06+2.4096e-05i,-0.0003693-0.00083834i,-0.0010061-0.0012947i,-0.0010594-0.0012475i,-0.00075991-0.00053619i,-0.00051233+0.00023619i,-0.00045595+0.00043936i,0.00012494+0.00096654i,0.00087047+0.00078765i,0.00054589+0.00074096i,0.00024979+0.0010661i,4.6817e-05+0.0011204i,0.0001414+0.00063955i,0.00083998+0.00017003i,0.00040743+0.00050672i,-0.00013677+0.00068656i,0.00025155+0.00016144i
0.0014784+0.00097191i,0.0016623+0.00032877i,0.00018527-0.00033306i,-0.00086262-0.0010349i,-0.00094032-0.00096255i,-0.0012967-0.00058782i,-0.0010327-0.00037095i,-0.0006621-0.00045254i,-0.0011944-0.00073406i,-0.0013337-0.00072883i,-0.0006131-0.00017447i,-0.00021268-4.4538e-05i,0.00042221-0.00059786i,0.00060987-0.00074105i,4.1673e-05-0.00048701i,0.00045771-0.00075656i,0.00058739-0.001022i,0.00028709-0.0005603i,0.0002548+0.00022208i,0.00044042-0.0001574i,0.00034054-0.00041946i,-0.00017375-0.0005698i,-0.00066351-0.00076389i
7.8942e-05-0.00022489i,4.8715e-05-0.0019873i,-0.0012034-0.0024979i,-0.0021268-0.0015504i,-0.0017051-0.00017231i,-0.0006823-8.2611e-05i,-0.00021531-0.00040335i,-0.00028477-0.00035802i,-0.0011435-0.00063613i,-0.0016675-0.00020912i,-0.0011255+8.4355e-05i,-0.00019352-0.00017033i,0.00043658+0.00033586i,0.0004247+0.00096807i,0.000389+0.00069925i,0.00032173+0.00031353i,-0.00073125+0.00065783i,-0.0013045+0.00063776i,-0.0006321+0.00052615i,-0.00030995+0.00058494i,-0.00031646+0.00028534i,-0.00053527-4.3551e-06i,-0.00013348-0.00046217i
0.0020623-5.2742e-05i,0.002372-0.0007622i,0.0010649-0.001938i,-0.0016-0.0014887i,-0.0037569-0.0010002i,-0.0027981-0.00034137i,-0.00077044+0.0007341i,-6.9544e-05+0.00065767i,7.8089e-05-8.6098e-05i,0.00020835-0.00025416i,-3.6738e-05-8.5608e-06i,-7.9803e-05+0.00069541i,0.00038236+0.0004738i,0.00088107+0.0001402i,0.0014046+0.00066261i,0.00089397+0.0010163i,-0.00023698+7.8983e-05i,-0.00027977-0.00099218i,-0.00024025-0.0011213i,0.00024713-0.00039171i,0.00013926-7.821e-06i,-0.00064418-0.0003129i,-0.00081585-0.00017426i
0.0012514-6.9121e-05i,0.00081088-0.00031234i,0.00068201-0.0004028i,0.00013865-0.00072999i,-0.00058023-0.00038206i,-0.00015948+0.0010746i,0.00067025+0.0016051i,0.00060431+0.00058867i,-6.8609e-05-7.5707e-05i,-0.00028648-0.00012793i,-0.00069106+0.00027998i,-0.0010339+0.00048669i,-0.00060757+0.00066474i,4.1509e-05+0.00085637i,0.00032885+0.0007224i,0.00042351+0.0003063i,7.4466e-05-0.00013738i,-0.00034746+8.7493e-05i,-0.00050667+0.00070214i,-0.0006202+0.0011011i,0.00037287+0.00080665i,0.00078826+0.00083586i,0.0002776+0.00044048i
-0.0012848+0.0012122i,-0.00060044+0.00036821i,-0.00048532+6.8119e-05i,-0.00068326+0.0006563i,-0.0003601+0.00093656i,0.00039991+0.00030184i,0.00048908-0.00030746i,0.00019921-0.0012125i,-0.00039197-0.0016804i,-0.00039471-0.0012575i,-0.00013198-0.00059905i,-0.00019444-0.00015165i,5.2548e-05-0.00029492i,0.00068664-2.3169e-05i,0.001301+0.00074085i,0.0013694+0.00064875i,0.00089193-8.4358e-05i,0.00082498-0.00059186i,0.00075103-0.00085338i,0.00058026-0.00089801i,0.00056981-0.00089902i,0.00017297-0.00076379i,0.00029705-0.00053748i
-0.00038922+4.8882e-05i,-0.00067087-0.0012286i,-0.00075849-0.0010437i,-0.0013599-0.00071886i,-0.0021275-0.00064234i,-0.0016221-0.00068603i,-0.00038451-0.00058008i,-0.00023649-0.0011167i,-0.0012433-0.0012834i,-0.0021084+7.9634e-05i,-0.0016366+0.0007746i,-0.00034333+0.0010955i,-0.000235+0.001554i,-0.00019628+0.0017019i,0.0001503+0.0012209i,0.00017051+0.00051885i,0.00012696+0.00012436i,-0.00010251-0.00023052i,1.7721e-05+0.00013701i,0.00027826+0.00010283i,0.00013448-0.00018355i,-0.0005085+0.00067379i,-0.0014439+0.00022413i
0.0018425-0.00076006i,0.00088227-0.001279i,0.0013074-0.00059826i,0.0014012-0.0012686i,0.00039231-0.0016788i,-0.0010086-0.00092848i,-0.00085667-0.00053869i,0.00025217-0.00072418i,-0.00045457-0.00014855i,-0.0012591+0.00044641i,-0.00087623+0.00021116i,-8.5842e-05+0.00039493i,0.00071822+0.00020141i,0.0010662-0.00039646i,0.00044445+0.00015358i,6.0675e-05+0.00073959i,2.1622e-05+0.00041446i,-0.00036328-0.00052314i,-0.00058978-0.00056689i,9.6185e-05+0.00030395i,-0.00022503+0.00051151i,-0.00072824+0.00013932i,-0.00076306-0.00052027i
0.00049179+0.00041539i,0.00011491+0.00044462i,-0.00091934-0.00010551i,-0.0013262-0.00073177i,-0.0013171+0.00030693i,-0.0015062+0.0013439i,-0.0012822+0.0017446i,-0.00041052+0.0010222i,0.00012955+0.00034097i,0.00078728+0.00036722i,0.00083049+0.00042136i,0.0011228+0.00040806i,0.0011903+0.00015074i,0.0015063-4.1186e-05i,0.0016051+0.00011674i,0.00048688+9.2811e-05i,-0.00010117-0.00037306i,-0.00063927-0.00027304i,-0.00062346+0.0001433i,-0.00072219+0.0002621i,-0.00044133+0.00036827i,0.000633-0.0002659i,0.0012154-0.0013972i
-0.0011676+0.0010119i,-0.0013339+0.0006479i,-0.0015517+0.0007153i,-0.0013487+0.00086757i,-0.0005587+0.00098696i,-0.00030948+0.00076657i,0.0007339-0.0003713i,0.0015988-0.0012758i,0.00083038-0.00086073i,-0.00059038-0.00087978i,-0.0004328-0.0006095i,0.00049445+0.00052517i,0.00071362+0.00095425i,0.00077947+0.00084914i,0.001052+0.00078248i,0.001419+0.00037518i,0.00053992-0.00090042i,-0.00067013-0.00087535i,-0.0011066+0.00046677i,-0.00062807+0.00051321i,-0.00016452+0.0007985i,-0.00018906+0.00016708i,-7.9953e-05+8.6777e-05i
-0.00025322-0.00045433i,0.00033873-0.0015101i,-0.00027874-0.001709i,-0.00079857-0.0013449i,-0.00046696-0.00038436i,0.00043037+0.00063856i,0.00121+0.00054865i,0.00065481-0.00049392i,-0.00044412-0.00065216i,-0.00020266+0.00051139i,0.00046927+0.00074364i,0.0006556+0.00025183i,0.00030437+0.00076675i,0.00022972+0.0015807i,0.0015107+0.0010644i,0.0018306-0.00036596i,0.00077745-0.0010806i,-0.00047864-0.00086094i,-0.00098011-0.00096188i,-0.00064658-0.00069958i,-0.00099224-0.00031514i,-0.00093793+2.7956e-06i,-0.00016739-0.00034345i
0.00025467-0.0011394i,0.00032462-0.00087859i,0.00012395-0.00060189i,-0.00097307-0.00043118i,-0.0018604-0.0005419i,-0.0011144-0.00063835i,-0.00014617-0.00069851i,-0.00033604-0.00071567i,-0.00094323-0.0012666i,-0.0011288-0.00073347i,-0.0011382+0.00052781i,-0.00055883+0.00085756i,0.00013788+0.0009674i,-0.00010318+0.001047i,-0.00036125+0.0010916i,-0.0001736+0.0011043i,0.00022045+0.00021382i,0.00097564-0.0011158i,0.00083693-0.00135i,0.00016896-0.00041153i,-7.4148e-05-9.3004e-05i,0.00035111+0.00033121i,0.00057347+0.00049896i
0.0011463+0.00071204i,0.001538+0.00049563i,-0.00071992+0.00059944i,-0.0021151-0.00082786i,-0.0017436-0.00056878i,-0.0017158+0.0004748i,-0.0011826+2.534e-05i,-0.00089815-0.00060314i,-0.0015094-0.00045923i,-0.0013669+0.0006581i,-0.00039651+0.00095625i,3.7585e-05+0.0001006i,0.00059006+0.00015799i,0.00079232+0.00082442i,0.00016995+0.00055483i,0.00044826+7.1118e-05i,0.0011338+0.000521i,0.00083392+0.00056409i,0.00011926+0.00027958i,-3.9394e-05+0.00053914i,0.00037326+0.0014243i,3.8658e-05+0.0015363i,0.00014428+9.1116e-05i
-4.4746e-05-0.00067505i,-0.00037161-0.0010794i,-0.00069604-0.0011041i,-0.0015686-0.00087948i,-0.0015804-0.00055193i,-0.00033091+0.00026974i,0.00023271+0.00037725i,-0.00032008+0.00057733i,-0.0001373+0.00026079i,-0.00035703+0.00026307i,-0.00057666+0.00076426i,0.00028833+0.00023767i,0.00058125-0.00064048i,0.00063941-0.00044771i,0.00059167+0.00082802i,0.00060171+0.0010282i,0.00015423+0.0004511i,-0.00041934+0.00012922i,-0.00055577+0.00017255i,-0.00060614+0.00041702i,-0.0012483-0.00012055i,-0.00080329-0.00027014i,0.00040312-0.00018903i
-0.00060322-0.0010885i,2.9122e-05-0.0011945i,-0.0010179-0.00055633i,-0.0020716+0.0003627i,-0.0020544+0.0015058i,-0.00052264+0.0020531i,0.00061089+0.0014367i,0.00049387+0.00063847i,-0.00016272+9.8204e-05i,-0.00040243+0.00017175i,-0.00066669+0.00073888i,-0.00053258+0.00094687i,0.00044556+0.00085358i,0.0014186+0.00031919i,0.0015292-4.5827e-05i,0.00094199+0.0003132i,0.00065074+0.00043256i,-0.00011604-5.1303e-06i,-0.0011118-0.00019886i,-0.00077052-0.00013923i,0.00048051+0.00024514i,0.0007075+0.00016139i,0.00034399-1.6729e-05i
0.0014645+0.00073991i,-2.6963e-05+0.0011284i,0.00027737+0.00082279i,0.00038508-8.9015e-05i,-0.0004001-0.001049i,0.00010085-0.00098205i,0.0015715-0.00084403i,0.0014051-0.0017749i,-0.00011373-0.0022027i,-0.0014303-0.0012266i,-0.0016001-0.00068032i,-0.0010221-0.00024828i,-0.00083063-0.00023562i,-0.00061958-3.9002e-05i,2.5596e-05+0.00028593i,0.00096913+0.00037155i,0.001188+0.00057281i,0.00069208+0.00028545i,0.00016484+0.00018805i,7.887e-05-0.00020246i,0.00023823-0.00074985i,-1.8902e-05-0.00030626i,4.3423e-05-0.0003042i
-0.0024482+0.00093279i,-0.0029923-0.0003092i,-0.0026431-0.00097445i,-0.0014077-0.00018102i,-0.00050747+4.9314e-05i,0.00039276-0.00041523i,0.0012899-0.00058277i,0.0010109-0.00033411i,-0.00084697+0.00025296i,-0.0014443+0.0002885i,-0.00070996+0.00016216i,-9.0068e-05+0.00034221i,0.0011517+0.00012513i,0.0017744+7.8915e-05i,0.0010289+0.0011151i,-0.00018771+0.0013512i,-0.00019797+0.000505i,0.00022222-0.00066145i,0.00025646-0.00054117i,4.4405e-05+0.0005105i,-0.0001238+0.00020926i,0.0004649-0.00031132i,0.00076484-0.00043895i
-0.0016417-0.001798i,-0.0015048-0.0022628i,-0.002046-0.0020714i,-0.0027015-0.00046644i,-0.0024943+0.00058471i,-0.0010406+0.00036277i,-0.00078748-7.9218e-05i,-0.00097238-0.00032393i,-0.00061183-0.00035745i,-0.00055425-0.00058224i,-0.0003436-7.5505e-06i,-0.00043357+0.0011852i,-0.00097615+0.00069944i,-0.00083348+0.00010327i,0.00023524+0.00040221i,0.0008696+0.00058693i,0.00073249+7.4134e-05i,0.00017272-0.00010129i,0.0005701+0.0002061i,0.0012013+0.00029384i,0.00066403+0.00048102i,0.00027806+0.0006618i,-2.2892e-05-7.9986e-05i
-0.00033044+5.067e-05i,0.00057064+0.0007973i,-0.00078252+0.0011588i,-0.0015155+0.0011017i,-0.0013221+0.00099484i,-0.0010924+0.0017812i,-0.00053706+0.0018506i,5.7907e-05+0.00048094i,-0.00048765-0.00037863i,-0.0013424-0.00032241i,-0.00059438-0.00015476i,0.00058406+0.00017976i,0.00092933+0.00015956i,0.0011586+4.5505e-05i,0.001242+0.00016961i,0.0006709-0.00023514i,0.00073651+0.00015011i,-5.6314e-05+2.7466e-05i,-0.00064182-0.0003126i,0.00039696+0.00014734i,0.00060849-0.00031652i,0.00016527-0.00098163i,0.00020828-0.00061232i
-0.00061774+0.00094063i,-0.00070749+0.00015316i,-0.0012362-0.00098579i,-0.00095278-0.00038966i,-0.00070951+0.00047744i,-0.0003586+0.00022176i,0.00013783-0.0002749i,0.0003314-0.0010114i,0.00017278-0.0010021i,-0.00014207-0.00049609i,-0.00039787-0.00012321i,-0.00020891+0.00056241i,4.9099e-05+0.00029284i,0.00029331-0.00053029i,0.0003578-0.00043624i,0.0002807-0.00037773i,0.00071789-0.00048314i,0.0008156-0.00055184i,0.00048532-0.00011277i,0.000882+0.00053678i,0.00073277+0.0003128i,-8.0437e-05-0.00026757i,0.00011072-0.00050981i
-0.0017225-0.00095455i,-0.0009403-0.0013372i,-0.00040397-0.0019325i,-0.00071372-0.0014192i,-0.0009425+0.0003297i,-0.0010083+0.00066557i,-0.00042138-0.00087837i,0.00040849-0.0018116i,0.00011991-0.0010217i,-0.00073296+0.00012304i,-0.00017564+0.0007999i,0.00053773+0.0011872i,0.00081491+0.0010419i,0.0010181+0.00092938i,0.00029064+0.00061562i,-0.00052769+0.00030828i,-0.0006348-0.00032189i,-0.00016823-0.00043851i,0.00013785-0.00028331i,0.00018041-0.00061253i,0.00023302-0.0006598i,0.00016178-0.00020907i,0.00041966-0.00035102i
0.00049514-0.00091827i,0.00070313-0.00049328i,-0.0004405+0.00034287i,-0.0027008-0.00034849i,-0.003377-0.00058644i,-0.0021459-0.00027185i,-0.00060866-0.00038294i,-0.00080522-0.00045183i,-0.0011497-0.00047943i,-0.00060899-0.00033145i,0.00052399-0.00025283i,0.00093756-7.9771e-05i,0.00059035+0.00033901i,0.00054067+0.00089769i,0.00034919+0.00092005i,0.00048426+0.00082909i,0.0010473+0.00042848i,0.0010807+0.0002052i,0.00067574+0.0009032i,-0.00016064+0.00093609i,-0.00079064+0.00074357i,-0.0007532+0.00050428i,0.00053007+0.00064816i
0.0011073+0.0011896i,0.0010324+0.00071422i,0.0011267-0.00037576i,-0.00043397-0.00094759i,-0.0014119-0.0014212i,-0.00058398-9.6478e-05i,2.941e-05+0.0010424i,0.00074469+0.00016851i,0.0002301-0.00026966i,-0.000992-1.9891e-05i,-0.0014067-7.2801e-05i,-0.00096289-0.00060581i,-5.4152e-05-0.00037373i,-6.9832e-05+0.00072215i,-0.00028723+0.00079811i,0.0006934-0.00041653i,0.0013187-0.00036803i,0.00067515+0.00021824i,-0.00014214-0.00038754i,-0.00019333-0.00037155i,-9.4561e-05-4.8696e-05i,-4.7606e-05-0.0001408i,0.00028495+0.00036381i
0.00080193-0.0017071i,-0.00099731-0.0025393i,-0.0014454-0.0044259i,-0.0021156-0.0041389i,-0.003022-0.0025892i,-0.0020696-0.00056986i,0.00050348+0.00044594i,0.0012795-0.00019501i,0.0004039-0.00026755i,-0.00016485-0.00040467i,-0.00075498-5.6858e-05i,-0.0013109-0.00024115i,-0.0012158-0.00029015i,-0.00067511+0.00052259i,-9.1588e-05+0.00037226i,0.00043302-5.8281e-05i,0.00032396-0.00054553i,-0.00053972-0.00035913i,-0.00067539+0.00062494i,0.00010529+0.0011559i,0.00055509+0.0013879i,-0.00054692+0.00051123i,-0.0015021-0.00019135i
0.0014826-0.0015054i,0.0010652-0.0010082i,0.00036162-0.0012741i,-0.0010872-0.0015666i,-0.0024877-0.00098228i,-0.0010312-0.0003234i,0.001137-0.00016885i,0.0012163-0.00080746i,0.00044521-0.0017827i,-0.0001035-0.0014913i,1.6787e-05-0.0003395i,9.6556e-05-2.0775e-05i,0.00018352+0.00025101i,0.0003299+0.00080539i,-0.00014412+0.00017488i,-0.00031237-0.00040688i,-0.00032112-0.00034396i,-0.0006906-0.00020862i,-0.00057317-0.00017464i,0.00012631-0.00017831i,0.00060318-0.00066457i,0.00062486-0.0011527i,0.0004085-0.0005002i
-0.0013493-0.001159i,-0.00048238-0.0020568i,-0.00061969-0.0021829i,-0.0013391-0.0011539i,-0.0017234-0.00081161i,-0.0011704-0.00058532i,-0.00018024-2.3305e-05i,-0.00052924+1.5848e-05i,-0.0014085+0.00050597i,-0.0011898+0.00080949i,-0.0008841+0.001134i,-0.00098546+0.00064067i,-0.0005107+0.00013478i,-5.8017e-05+0.00085023i,0.00011955+0.0010545i,0.00033637+0.0015179i,0.00020027+0.0011188i,0.00048226+0.00010135i,0.00021353-0.00037143i,-0.0004069-0.00026565i,2.4985e-05+5.7409e-05i,0.00058188+0.00028232i,0.00054758+0.00055111i
