-0.0029595-0.00018372i,-0.0021674-0.0015798i,-0.0039048-0.00096631i,-0.0038002+0.00030936i,-0.0029996+0.001171i,-0.0015861+0.0011493i,-8.8853e-05+0.0019604i,0.0011574+0.0019328i,0.0016781+0.0014755i,0.0015827+0.0010406i,0.0019855+0.00026486i,0.0021759-0.00043666i,0.0015619-0.00036213i,0.0009153+0.00038738i,0.00082868+0.00052259i,0.00061564+0.00048401i,0.0003725+0.00018285i,0.00083702-0.00017479i,0.00063504-0.00077826i,0.00010105-0.00074126i,0.00010736-7.3042e-05i,0.00054991+0.00017704i,0.00095211+0.00071911i
-0.0010795+0.00069088i,-0.00095458+0.0015475i,-6.536e-05+0.00098496i,-0.00021808+0.00014513i,-0.00077746-0.00062991i,-0.00051813+2.3052e-05i,0.00011373+0.00025924i,0.00071571-0.00010926i,0.00074298+0.00024083i,1.8651e-05-0.00013235i,-0.00034063-0.00048574i,-0.00029061-6.0146e-05i,0.00015714+4.5865e-05i,-6.5684e-05-0.00012748i,-0.00077202+2.669e-05i,-0.00024982-1.916e-05i,0.00022752-0.000779i,-0.00012949-0.0010367i,-0.00072616-0.00015319i,-0.0012038+0.0001779i,-0.0010106-0.00022241i,-1.6723e-05+0.00022575i,0.00094539+0.00076063i
0.00027265+0.00031815i,-0.00010448+0.00069968i,0.00014453-0.00054567i,0.00016191-0.0016549i,-0.00070134-0.00082177i,-0.00051652+0.00016918i,0.0004347+0.00012874i,0.00033312-0.00040801i,2.3443e-05-0.00082326i,0.00038388-0.0011854i,0.00053772-0.00091458i,0.00010409+0.00059955i,-0.00043804+0.00066329i,-0.00045434-0.00046452i,-0.00025233-0.00085136i,-0.00016166-0.00012261i,-0.00031317-0.00016936i,-0.00045511-0.00049232i,-0.00037502+0.00024341i,-1.6969e-05+0.00055197i,5.7067e-05+0.00015224i,-0.00021212+5.0411e-05i,-0.00033156+0.00019102i
-0.00035343+0.00022087i,7.5679e-05+0.00082068i,-0.00043994+0.00082753i,-0.00046261+0.001284i,-0.00047623+0.0016674i,-0.00018002+0.00095701i,-4.1211e-05-0.00011719i,0.0003529-0.00038881i,0.00059969-0.00066903i,0.00036964-0.00086607i,-0.00022501-0.00055411i,6.2019e-05+0.00027824i,0.00053522+0.001101i,0.00014054+0.00074007i,-1.228e-05+0.00042106i,-0.00011991+0.0006727i,-8.4652e-05+0.00050452i,-0.00042805+7.9926e-05i,-0.0011006+7.7631e-05i,-0.00058884+0.00039484i,0.00010177+0.00058763i,-6.683e-06+0.00026355i,-4.7533e-05+0.00031228i
0.0012198-0.00045576i,-0.00050306-0.0010014i,-0.00027363-0.0022066i,0.00014639-0.0013337i,-0.0011942-0.0015373i,-0.0012397-0.0012007i,0.00030824-0.00026053i,0.00052697-0.0006588i,0.00031452-0.0011963i,0.00012682-0.0014905i,-0.00024081-0.0013178i,-0.00055669-0.00046364i,-0.00075661-7.9451e-05i,-0.00015281-0.00079263i,-0.00010712-0.00052916i,-0.00071798-4.1236e-05i,-0.00099934+0.00043723i,-0.00047259+0.00086753i,2.7393e-05+0.000755i,-4.0626e-05+0.00082976i,-0.00016273+0.00052435i,-0.00041796+0.00010552i,-0.00079018-0.00010076i
0.00060287+0.0017604i,0.0019516+0.0014192i,0.0027138+0.00011932i,0.0018424-0.001064i,0.00087564-0.0013887i,-1.9671e-05-0.00046245i,-0.00070303+2.2266e-05i,-0.00013109-0.0011856i,0.00064798-0.0017493i,0.00078944-0.0010469i,0.00025219-0.0002239i,0.0002038-0.00025531i,0.00037258-7.7704e-05i,-0.00057578+0.00017058i,-0.00079384-0.00033831i,-0.00074852-0.00048729i,-0.00058586-0.00045338i,-0.00029042-0.00013429i,-0.00012142+0.00044608i,0.00031751+0.00070083i,0.00053025+0.00027752i,0.0004726+0.00011667i,0.00080047+0.00053407i
0.0010993-0.002316i,0.00082554-0.0023147i,-0.00057126-0.0026429i,-0.0014851-0.0017555i,-0.0019382-0.00078187i,-0.0018069-0.00024923i,-0.0010316-0.00068637i,-0.00047811-0.00064832i,0.00014025+0.00068152i,1.528e-05+0.00093586i,5.0229e-05+0.00092154i,0.00053172+0.0014537i,0.00068157+0.0012673i,0.0011945+0.00026094i,0.0011465-0.00031365i,0.00019414-0.00038129i,0.00023498-0.0007469i,0.00044336-0.00098549i,-0.00048167-0.0004966i,-0.00098953+0.00032249i,-0.00014766+0.00048276i,0.00010454+0.00057394i,5.8929e-05+0.00078479i
-0.0012015-0.0010595i,-0.0019985-0.0012908i,-0.0028575-0.00070246i,-0.0027173-0.00021369i,-0.0015847+0.00056702i,-0.00060331+2.6177e-05i,0.00041225+0.00038964i,0.00079535+0.00018184i,0.00061364-0.0008901i,0.00048026-0.0010118i,0.00055009-0.00098386i,0.00038296-0.00059072i,0.00031801+2.1234e-05i,-8.4067e-05+0.00066177i,-0.00013821+0.00075476i,7.2792e-05-0.00020988i,0.00014769-0.00089964i,0.00039515-0.00031722i,0.00061802+0.00010439i,0.00040594+0.00048322i,0.00022693+0.00052513i,0.00039578+0.00016518i,0.00050718+0.00013917i
0.0010704-0.00049198i,0.0014909-0.00071927i,0.0010747-0.00050049i,0.00030144-0.0003288i,-2.3897e-05+3.264e-05i,2.6139e-05+0.00016339i,0.00040679+1.3002e-05i,-0.00037067-0.00072233i,-0.00090325-0.0013469i,-9.2025e-05-0.00093568i,0.00088867-0.00015762i,0.00058033-0.00028219i,-0.00036048-0.00032471i,-0.00050983+0.00024897i,-0.00047961+0.0004226i,-0.00079516+0.00062026i,-0.00027191+0.0010122i,0.00080131+0.00057221i,0.00078635+7.1447e-05i,-5.0412e-05+4.0811e-05i,-0.00026358-4.1101e-05i,-9.5103e-05+9.1371e-05i,5.5209e-05+0.00072128i
0.0016973+0.001791i,0.00217+0.0013936i,0.0018212+0.00081702i,0.00046531-0.00012i,-0.00057157-0.0011139i,-0.00084516-0.0014078i,-0.00021473-0.0010371i,0.00021119-0.00035451i,0.00091609-0.00049695i,0.001247-0.00077302i,0.00046438-0.0006115i,-0.00018202-0.00078733i,2.1904e-05-0.0006117i,0.00015999+0.00013457i,-1.0886e-05+2.5683e-05i,-0.00047426+0.00021638i,-0.00046011+0.00064025i,-4.1994e-05+0.00036509i,0.00046434+0.00024348i,0.00072957+0.00010064i,0.00093269-0.00095012i,0.00055066-0.0011572i,-9.6246e-05-0.00026539i
-0.00095716-0.00038134i,-0.00085084-5.4353e-05i,0.00054829-0.00077962i,0.00032793-0.00095309i,0.00019562-0.0005171i,0.0003326+1.2131e-05i,0.00032913-0.00013111i,0.00073607-0.0005057i,0.00024073-7.8472e-05i,-0.00019512+0.00019568i,0.00019862+0.00053701i,0.00042195+0.00097942i,-3.7055e-05+6.9012e-05i,-0.00077101-0.00071984i,-0.0009614-0.0007661i,0.00025813-0.0001996i,0.00064837+0.0003551i,8.8606e-06+0.00077411i,-0.0005393+0.0012442i,-0.00070698+0.00088833i,-0.0003183+0.00045913i,0.00061322+0.00034972i,0.00090724+0.0004382i
0.00013216+0.0012199i,0.00026337+0.00063757i,0.0010532+0.0003878i,0.00082033+0.00014283i,3.0975e-05-0.00022807i,1.572e-05+6.7818e-05i,0.00053164-0.00032311i,0.00035469-0.0011011i,-5.691e-05-0.0015973i,0.00017556-0.0011943i,5.154e-06-0.00051474i,-0.00012369+0.00023734i,0.00058745+0.00090612i,0.0011021+0.00051582i,0.0012913-0.00043118i,0.00041076-0.00085927i,-0.00062378-0.00079735i,-0.00057744-0.0003172i,-0.00042716+0.00090298i,-0.00026601+0.00059858i,0.0003222-0.00017248i,7.8325e-05+0.00084931i,-0.00055751+0.0010801i
-0.00010664-0.00072895i,-0.0012023-0.00065399i,-0.0017388-0.001083i,-0.0014544-0.0010176i,-0.00074288-0.00054376i,0.00037073-0.00012992i,0.00081793-2.961e-05i,0.00056136-0.00028527i,0.0011252-0.00040395i,0.0011629-0.00041414i,0.00012913-5.744e-05i,-0.00021331+0.00057761i,9.6585e-05+0.00035421i,0.00023354-8.7765e-05i,0.0002889-0.00057104i,0.00067638-0.00080167i,0.00072153-0.00023711i,0.00042596-0.00010583i,0.00054284+0.0002164i,0.00027133+0.00030566i,8.1363e-05+0.00034772i,0.00029191+0.00084125i,-0.00020202+0.00070449i
-0.00024037-0.00069295i,-0.00060928-0.00097781i,-0.00060019-0.0003631i,-7.3227e-05+0.00010631i,-0.00049295+0.00024382i,-0.00040982+0.0005079i,0.00013116+0.00050954i,0.00011631-0.00071312i,8.3529e-05-0.0016775i,0.0005618-0.0016038i,0.0010132-0.0013621i,0.00095925-0.00049211i,0.00060005-0.00060904i,0.0002265-0.0010889i,6.1727e-06-0.00047864i,0.00029823-0.00024277i,0.00028998-0.00031817i,-0.00021067-5.6373e-05i,-0.00074358+9.5505e-05i,-0.00049528-6.4086e-05i,9.0364e-05+0.00036623i,0.00034126+0.0012093i,-0.00031054+0.001175i
-0.0015668-0.00032838i,-0.0010886-0.00083676i,-0.0015729-0.0002424i,-0.00082256+0.00023755i,-0.00014824-0.00031396i,0.00010123-0.00043736i,-0.00043799+0.00041561i,-0.00060248+0.00043428i,-0.00019667+7.6592e-05i,-6.2794e-05-3.2179e-05i,0.0005007+0.00028826i,0.00087861+0.00025132i,0.00033922-0.00013982i,6.158e-05+0.00011476i,0.0003736+0.00047182i,-5.4411e-05+0.00038454i,-0.00087889-9.8261e-05i,-0.00041449-0.00049841i,-0.00025657-8.0925e-05i,-0.00088524+0.0004036i,-0.00047532+6.6668e-05i,0.00014546-7.1658e-06i,0.00014793+0.00038231i
0.00078861+0.0010876i,0.00036156+0.00065254i,0.00093693+6.6332e-05i,0.0003947-0.00018073i,-0.00062867-0.0003946i,-0.0010864+0.00010365i,-0.00059637+0.00015077i,0.00023197+3.9531e-05i,0.0002057-7.7433e-05i,-0.00010423-0.00079246i,-0.00025767-0.0005488i,-0.00061669+0.00024167i,-0.00094235+0.00021779i,-0.00059047+0.00055325i,0.00024288+0.00032483i,0.00032133+5.3554e-06i,0.00036505+0.00054153i,0.0002415+0.00054287i,-0.00026294+0.0006278i,-0.00044294+0.00096184i,4.4005e-05-6.6994e-05i,0.00032537-0.00049232i,-0.0001517-9.2381e-05i
0.00031041-0.0015219i,-0.00049342-0.0021729i,-0.001483-0.0022269i,-0.0021136-0.001491i,-0.0018349-0.00047334i,-0.00062466-3.9328e-05i,0.00035298-0.00077586i,0.00029062-0.0010778i,0.0001838-0.00067315i,9.727e-05-0.00052054i,0.00047952-0.00031099i,0.00025313+0.00029072i,-0.00052703+0.00071338i,-0.00058102+0.0002298i,-0.00012472-0.00031881i,-0.00055545-0.00068748i,-0.00074139-0.00088482i,0.00022292-0.00038938i,0.00050502-0.0007877i,-8.4813e-05-0.0012619i,-0.00078774-0.00020216i,-0.00030463+0.00058047i,0.00022081+0.00035213i
-0.0013268+1.9664e-05i,-0.0015565+0.00043724i,-0.0018793+0.0007206i,-0.0011151+0.0012099i,0.00025546+0.0018097i,0.00064033+0.0014599i,0.00027217+0.0004427i,0.00018042-0.00051052i,0.00069508-0.00071775i,0.0012195-9.393e-05i,0.00066389+0.00058308i,0.00021992-0.00043052i,0.0003657-0.00097642i,-1.0503e-07-0.00037328i,-0.00047574+0.00023951i,0.00020031-0.00015189i,0.00084346-0.00040624i,0.00094103+0.00048958i,0.00096976+0.00043991i,0.00034471-6.0962e-05i,0.00048812+0.00073694i,0.00043669+0.0015082i,7.7416e-05+0.0011101i
-0.00029526-0.001025i,-0.00010534-0.00099587i,-0.00065013-0.00090108i,-0.0017442-0.00084336i,-0.0020411+0.00011952i,-0.0013023+0.00093432i,-8.8231e-05+0.00023302i,0.00068292-0.0004383i,0.00022486-0.00070716i,-6.9918e-05-0.0006877i,-0.00060095-0.00042479i,-0.00053739+8.2294e-05i,0.00035471+0.00051076i,-0.0004075+0.00046359i,-0.00050071+0.00015846i,0.00027191+8.1392e-05i,-0.00016769-0.00017572i,-0.00027097-0.00046281i,-0.00014147-0.00019353i,-0.00017949+0.0002535i,-0.00027929+0.00080418i,-0.00079329+0.00077364i,-0.0013661+0.00027089i
-0.00029391+0.00064247i,-0.00015894+0.00017402i,0.00035559+0.00035271i,0.0012515+0.00013983i,0.0016209-0.00013814i,0.00085154+0.00039018i,8.5915e-05+5.8363e-05i,-0.00010694-0.00032459i,-2.8701e-05+0.00032535i,9.9492e-05+0.00026568i,-0.00013312-0.00011532i,-0.00019897-0.00037565i,0.00030292-0.00024608i,0.00043304-4.2395e-05i,0.0001325-0.00012725i,-0.00092439+0.0002862i,-0.001356-0.00015144i,-0.00079249-1.5722e-05i,-0.00043388+0.00072988i,-0.00029579+0.00072609i,-0.00045992+0.0007344i,-0.00038828+0.00018198i,-0.00063766-0.00042756i
-0.00087812+0.00044037i,-0.001393+0.0004604i,-0.001046+0.00056987i,-0.0010033+0.00085363i,-0.0013111-0.00022463i,-0.00092379-0.00032586i,-0.00040289+0.00071863i,0.00049171+0.00084248i,0.0008227+0.0010551i,0.00011679+0.00041202i,-0.00036156-0.0005566i,-0.00015425-0.00021633i,-0.00011432-0.00046476i,-0.00044181-0.00029565i,-9.218e-05+0.00013774i,0.00030047+2.4303e-05i,0.0006065-7.3416e-05i,0.00056987-4.7386e-06i,0.00012143+0.0001943i,-0.00011452+0.00055108i,0.0001065+0.00065921i,6.5999e-05+0.0006858i,2.0273e-06+0.00079463i
0.0011491+0.0010718i,0.00051276+0.0014738i,0.00075562+0.0013572i,0.0001095+0.00057206i,-0.00010548+1.477e-05i,-0.0001217-0.00042602i,-0.00057484+7.5272e-05i,-0.00060074+0.0013398i,-2.0094e-05+0.00050188i,0.0011975-0.00057182i,0.00096756-0.0001227i,-0.00013408+0.00076427i,-7.1219e-05+0.00086479i,-0.0003456+0.00014893i,-0.0010453-0.00022853i,-0.0013273-6.7866e-05i,-0.0012988+2.5103e-05i,-0.00098677-0.00027503i,-0.00069044+0.00030518i,-0.0007568+0.00093317i,-0.00059839+0.00079665i,-8.9022e-05+0.00067404i,0.00029712+0.00013819i
-0.0034016+0.00042983i,-0.0028132+0.0014907i,-0.0029742+0.0015141i,-0.0025885+0.0010527i,-0.0019106-1.0514e-05i,-0.0010079-0.00069864i,0.00033422-0.00018385i,0.00089023-8.9822e-05i,-0.0001211-0.00083235i,-0.00082839-0.0010155i,0.00049499-0.0010617i,0.0020742-0.0011091i,0.0016125-0.00089209i,0.0004921-0.0011116i,0.00023016-0.0010829i,0.0005046-0.00054192i,0.00038708-0.00027442i,1.9016e-05+0.00043224i,-0.00022842+0.0013247i,-0.00013667+0.00054135i,0.00016715+0.0004687i,0.00073956+0.00059533i,0.00077776+0.00079391i
0.00078627-0.0012738i,-0.00016444-0.0011509i,-0.00068367-0.00051343i,-0.00037284-8.8733e-07i,-0.0013598+0.00016463i,-0.0012278+0.00067287i,0.00010443+0.0014401i,0.0006184+0.0010761i,0.00015552-0.0001388i,-0.00075454-0.00040283i,-0.0011734-0.00045475i,-0.00095963-0.00020884i,-0.00043758+0.00041403i,0.00054404+2.047e-05i,0.00089382+8.6884e-05i,-0.00032037+0.00029182i,-0.00095607+0.00040749i,-0.00024344+0.00020123i,-9.1703e-05-0.00026912i,0.00024857-2.5246e-06i,0.0003906+0.00067936i,-0.00022396+0.00015492i,-0.0007615-0.00061552i
0.00079357+0.00035102i,0.00015873-0.00068318i,-0.00039875-0.0012894i,-0.00055125-0.0013857i,0.00017126-0.001356i,0.00066234-0.00044056i,0.0012354-0.00049571i,0.0015462-0.0010818i,0.0013571-0.0004939i,0.00080033+2.1077e-05i,2.4305e-05-2.8594e-05i,-0.00071316-0.00042671i,-1.5589e-05-0.00086316i,0.00097739-0.00047606i,0.0010012-0.00037681i,0.00095941-0.00044326i,0.00067387+0.00021387i,5.7065e-05+0.00062916i,-0.00021094+0.00062105i,0.00021138+0.00075234i,0.00013085+0.00054343i,-0.00015592-0.0001481i,0.00032453-0.00024943i
2.1066e-05-0.0008401i,-9.25e-06-0.0016324i,-0.0011652-0.00064099i,-0.001731+6.1602e-05i,-0.0013154+0.00050036i,-0.00091447+0.00026885i,-0.0009051-0.00048823i,-0.00058293-0.00029926i,-0.00016903-0.00055892i,0.00022404-0.00073101i,0.00078111-0.0006011i,0.0010945-0.00018372i,0.00066449-0.00030679i,0.00043137-0.00045573i,0.00061436-0.00015356i,0.0005644-0.00041956i,1.5521e-06+0.0001264i,-0.00010531+0.00025798i,-0.00012669+0.00014137i,7.1389e-05+0.00081604i,0.00010208+0.00044406i,-2.5348e-05-0.00042525i,-6.0697e-06-0.00047371i
-0.00099522-0.0001209i,-5.474e-05+0.0005735i,-0.00029079+0.0014953i,-0.00094005+0.0003604i,-0.0011923-8.8914e-05i,-0.0006855+3.6008e-05i,-0.00010842-0.00030902i,-0.00036585-0.00056619i,-0.00041766-0.00064532i,-0.00039407-0.0011705i,-0.00066986-0.0015115i,-0.00015868-0.0016874i,0.00052849-0.0010203i,0.00060698-0.00071523i,0.00052095-0.00087937i,0.00040285-0.00046225i,0.00058267-1.7342e-05i,0.00090071-0.00011172i,0.00011056-0.00032547i,-0.00054777-0.00045865i,-0.00059066-0.00019455i,-0.00062232-0.00022852i,-0.00014505-0.00027771i
-0.0018331-0.0006322i,-0.0019326-0.00037613i,-0.0024591+5.616e-05i,-0.0023285+0.00073568i,-0.0012715+0.0018555i,-2.9788e-05+0.0018581i,0.00061946+0.00052012i,0.0001807-0.00027781i,-9.3132e-05-0.00010541i,-0.00012339+0.0003663i,-0.00026426+0.0014759i,-0.00064452+0.0015439i,-0.00033708+0.00024667i,4.745e-05-0.00038491i,-7.445e-05-0.0004276i,-3.5394e-05+8.5376e-05i,-0.00032216+0.00039074i,3.2386e-05+0.00019538i,3.3339e-05+0.00018938i,-0.00043967+0.00011571i,-0.0001526+0.00084082i,3.7335e-05+0.0014461i,0.00050194+0.0011978i
-0.00048643-0.00035189i,-0.0010932+0.00073234i,-0.0012255+0.00069032i,-0.0007424-0.00041613i,7.3023e-05-0.00010051i,2.5398e-06+0.00040362i,0.00011719-4.7726e-05i,0.00034206-0.00060648i,0.00045174-0.00095734i,0.00024636-0.00059047i,-0.00070393-6.6061e-05i,-0.00075809-0.00038531i,0.0003785-0.00052856i,0.0007015+0.00026793i,0.00023446+0.00033721i,-6.4505e-05-0.00017064i,-0.000156+0.00024091i,-0.00041503+0.00040374i,-0.00070479-2.5998e-05i,-0.00025241+0.00026702i,0.00021484+0.00070226i,0.00054468+0.00079922i,0.001015+0.00049596i
0.00079505-0.0027429i,0.00074774-0.0022479i,-0.00043442-0.0015578i,-0.0027244-0.0015248i,-0.003068-0.00073854i,-0.0017433+0.00059747i,-0.00079297+0.00044751i,-1.457e-05-0.00029421i,0.00047481-0.00083828i,0.00054026-0.00077832i,-0.00048255-0.0003287i,-0.0010747-6.7119e-05i,-0.0003998-0.00016892i,5.5789e-05-0.00019525i,0.00029185+0.00025092i,0.00053198+0.00071258i,0.00010398+0.00054648i,0.00011019-5.8014e-05i,0.00028513-0.00034089i,-0.00028166-0.00056995i,-0.00086051-0.0002175i,-0.00094717+0.00014829i,-0.0012511+0.00042694i
0.00032877-0.0025354i,-0.00030297-0.0029513i,-0.0021049-0.0028978i,-0.0023289-0.0023737i,-0.002037-0.0013527i,-0.0010898-0.00076938i,4.2872e-05-0.00077503i,0.00024719-0.00018867i,-0.00039688-0.00020416i,-0.00012054-7.1947e-05i,0.0002228+0.0010013i,-0.00049201+0.00079929i,-0.00029842+0.00063127i,0.00053483+0.0011945i,0.00062569+0.00069544i,4.5909e-05+0.00046134i,-0.00037622+0.00057549i,-0.00029964+0.00015259i,0.00036414+0.00044508i,0.00057982+0.0005535i,0.00018099+0.00024594i,-0.00022284+9.1197e-05i,-0.00060211-2.3447e-07i
