-0.0021304+0.00060039i,-0.0022704+0.00077269i,-0.0018986+0.0011551i,4.9498e-06+0.0011536i,0.00074687+0.0016587i,0.00036302+0.0024926i,0.00075956+0.0030264i,0.0016998+0.0021013i,0.001355+0.0010778i,0.00021221+0.00063592i,0.00052884+0.00014078i,0.00089069-1.2687e-05i,8.1519e-06-0.0001641i,-0.0003322-0.00021204i,-0.00040479+0.00015785i,-0.00081669-4.5558e-05i,-0.00091293-0.00031692i,-0.00023739-0.00035019i,-8.2829e-05+0.00031234i,-0.00012933+0.0011932i,-0.00063499+0.00087518i,-0.00068921+0.00036814i,0.00028749+7.9705e-05i
0.00045888+0.0043639i,0.0019181+0.0037414i,0.0034989+0.0038511i,0.0038089+0.0025019i,0.0030752+0.0006771i,0.0025216-0.00016728i,0.001825+2.2105e-05i,0.00050311+0.0007846i,-0.00011282+0.00074755i,-0.00014864+0.00041218i,7.1598e-07+0.00029918i,0.00013432+0.00012697i,0.00038067-0.000487i,9.9454e-06-0.00088879i,-0.00031071-0.00080117i,4.8666e-05-9.2423e-05i,0.00093112+0.00083197i,0.0012828+0.00065535i,0.00075721+0.00048321i,-6.4743e-05+0.00048404i,0.00024693+0.00048866i,0.00067268+0.0003371i,9.1962e-05-6.7776e-05i
0.0019334-0.0018746i,0.00098408-0.0021172i,5.5135e-05-0.002767i,-0.00028185-0.0023677i,-0.00075319-0.00132i,-0.0004754-0.0002795i,0.00089716-3.2748e-05i,0.00084742-0.00040929i,-0.00040516+1.632e-05i,-0.00091125+0.00034116i,-0.00061438+0.00055184i,-0.00019374+0.00094835i,0.00034024+0.00092015i,0.00096612+0.00037858i,0.0012149+0.00022622i,0.00093657+0.00051028i,0.00017264+0.00061041i,-0.001087-0.00017509i,-0.00090728-0.00037716i,-0.00053451+0.0002921i,-0.00070264+0.00015989i,-4.4617e-05+0.00013774i,-4.8085e-05+0.00065707i
0.0014239+0.00050822i,0.0022396+0.0013078i,0.0030636+0.0010683i,0.0026808+0.00036867i,0.0011379+5.8188e-05i,0.00051754+0.00063409i,0.00057374+0.00091267i,0.0003122+0.00015763i,0.00030369-0.000129i,-0.00011077+0.00036552i,-9.9195e-05+7.183e-05i,0.00044327-2.8543e-05i,0.00044279+0.00031811i,0.00021739+0.00014237i,0.00050964-0.00027709i,0.00076134-0.00057289i,0.00039696-0.0010385i,0.00010156-0.00036988i,-0.00044974+0.00070894i,-0.00079313+0.00055002i,-0.0006484+0.00035113i,-0.00061015+0.00023634i,-0.00014439-0.00018799i
-0.00056113-0.0008834i,-0.0016695-0.00055359i,-0.0019806-0.00079354i,-0.0023484-6.4853e-05i,-0.0012977+0.0011693i,0.0004911+0.0013513i,0.00074928+0.00075181i,0.0003793+0.00022338i,-7.3624e-05+0.00085567i,-0.00021094+0.00173i,-5.5134e-06+0.0015085i,-9.1818e-05+0.00028541i,-0.00047834-0.00024739i,-0.00039419+0.00028151i,-0.00014067+0.00036265i,0.00035354-0.00014677i,0.0006944-0.0004851i,0.0002559-0.00030352i,-0.00032286+1.8118e-05i,-0.00061748-0.0002984i,-0.00074047+3.5192e-05i,-0.00044575+1.5692e-05i,-5.5089e-05+8.1536e-06i
0.00313-0.0006928i,0.0025763-0.0019614i,0.0016124-0.0020112i,0.0011919-0.0016675i,0.00051754-0.0011275i,-0.00029809+0.00023062i,-0.00033346+0.00089036i,-0.0001031+0.00022531i,-0.00057819+0.00015637i,-0.00025472+0.00018059i,0.0003043-0.00013556i,-8.0361e-05-0.00029966i,-0.00020116+0.00034336i,-0.0002885+0.00074677i,-0.0002686+0.00040309i,-0.00014108-4.368e-05i,0.00020738-1.6136e-05i,-3.1018e-05+8.139e-05i,-0.00054109-0.00036325i,-0.00046953-0.00019685i,-0.00044627-0.00010364i,-4.0096e-05-0.00017828i,0.0002833-4.8262e-06i
-0.0016286-0.00012177i,-0.00056753+0.00073269i,9.6566e-05+0.0013921i,0.0014076+0.0022455i,0.0017493+0.0020529i,0.00058136+0.0007326i,0.00041415+0.00014817i,0.00046619+0.00025141i,0.00022352+0.00066071i,-0.00037906+0.0010045i,-0.00021689+0.00048402i,0.0005544-0.00012826i,0.00045339+0.00011718i,0.00015217-5.5716e-05i,0.00019555-0.00062221i,0.00046758-0.00090429i,0.00037832-0.00063319i,0.0002739-0.00047135i,0.00031524-0.00051235i,-8.9007e-06-0.00027333i,-1.7909e-05-0.00037993i,0.00011802+0.00030559i,0.00055715+0.00077196i
0.0012687-0.00024335i,0.0025557-0.00042125i,0.0022403-0.00016921i,0.0019658+1.0838e-05i,0.0019786+0.00065614i,0.00082489+0.00069028i,-0.00068036+3.2814e-05i,-0.00046449+0.00046227i,0.00049446+0.00060167i,0.0010171+8.903e-05i,0.0010444+0.00029876i,0.0005039+0.00038718i,2.1784e-05+6.7792e-05i,0.00024901-0.0002309i,5.8648e-05-0.00019323i,-2.9762e-05+2.2473e-05i,-8.2141e-05+0.00019844i,-0.00041901+5.1653e-05i,-0.00047228-0.00012443i,-0.0010046-0.00022665i,-0.00046192+8.9398e-05i,0.00027562+0.00018198i,-0.00012264-4.7819e-05i
0.0004193+0.0013645i,0.00095246+0.00071962i,0.0016188+0.001363i,0.0016758+0.001682i,0.0020814+0.00082629i,0.0024126-8.8275e-06i,0.0010971-0.00043345i,0.00013725-0.00063202i,3.6852e-05+0.00041485i,-0.000466+0.0013497i,-0.00021048+0.0012676i,0.0001538+0.00099161i,-3.8211e-05+0.00092183i,0.00027807+0.00030913i,0.00083062-0.0001496i,0.00032902-7.5213e-05i,0.00020675+1.3724e-05i,-0.00014915-8.7053e-05i,-0.0006839-2.4892e-05i,-0.00044735+0.00055077i,-0.00038407+0.00057897i,-0.00055213+0.00032391i,-0.00054614+0.00078364i
-0.00066629+0.00083492i,-6.4432e-05-0.00033924i,0.00097371-0.0019935i,0.0014031-0.0014331i,0.00074022+6.5086e-05i,0.0010428-0.00024819i,0.0012635-0.000523i,0.0003689-0.00014716i,-0.00034262+0.00014133i,-0.0010638+0.0010125i,-0.00058635+0.0012755i,0.0001256+0.00050739i,0.00016849-2.1759e-05i,0.00044419+0.00062693i,-3.2284e-06+0.0013598i,-8.9884e-05+0.00082036i,3.6262e-05-0.00020786i,-0.0005756-0.0006839i,-0.0010997-0.00098384i,-0.0010502-0.00098553i,-0.00099576-0.0002172i,-0.00078684+6.0858e-06i,0.00028412-0.00014745i
8.4341e-05+0.00079302i,0.00065237+0.0012428i,0.00051289+0.0021024i,6.0409e-05+0.0025911i,0.00079821+0.0022085i,0.002021+0.0011722i,0.0017619+0.00013583i,-8.8172e-05+0.00043248i,-0.0010179+0.0012657i,-0.0002222+0.0015069i,0.00031996+0.0011221i,-0.00027579-1.2005e-05i,-0.00013611-0.00054592i,0.00015173-0.00021212i,-8.0183e-05-1.147e-06i,0.00063056+0.00018447i,0.0010722+0.0007278i,0.00088456-2.2209e-05i,0.00012478-0.00074584i,-7.9218e-05-0.00063667i,-0.00075149-0.00012655i,-0.00094438+0.00042517i,-0.00014009-0.00024097i
-0.00014236-0.00013916i,0.00018581-0.00054328i,0.00079193-0.00092103i,0.0014034-0.0019749i,0.0023593-0.0019626i,0.00231-0.0012911i,0.0020258-0.00096024i,0.0012049-3.3281e-05i,0.00015525+0.00099626i,-0.00058567+0.0013419i,-0.00057065+0.0013018i,0.00010415+0.0014024i,0.00030807+0.00099823i,0.00053836+0.00044892i,0.00065008+0.00041246i,0.00057638+0.00055016i,-0.00012233+0.00062756i,-0.00093825-6.7814e-06i,-0.00095983-0.00023042i,-0.00024018-5.8698e-05i,-0.00015217+5.638e-05i,-0.00023829-0.00036266i,0.00019385-0.0014233i
-0.00027771-0.0010988i,-0.00037005-0.0011794i,-0.00041946-0.00053631i,-0.00066425+0.0005188i,-0.00054784+0.0016599i,-0.00010488+0.0012948i,0.0011432-3.7733e-05i,0.00093315-3.0732e-05i,0.00026051+0.0009814i,-9.0952e-05+0.00026264i,0.00023281-0.00038126i,0.00035195+0.00012177i,-0.00023619-0.00012349i,-0.00023799-0.00071369i,0.00064235-0.001189i,0.00079709-0.001069i,0.00022822-0.00058127i,-0.00017288-0.00053385i,-0.00030838+7.2839e-05i,-0.00062033+0.00084951i,-0.00094606+0.001208i,-0.0008219+0.0012462i,-0.00077883+0.0010363i
-0.0027432+0.0012111i,-0.0020617+0.0019299i,-0.00075541+0.0021996i,-0.00033688+0.0014926i,0.00032189+0.0012018i,0.0010858+0.00040782i,0.0015389-0.00077408i,0.00093681+0.00011796i,0.00040512+0.0011718i,-4.7323e-05+0.0013899i,-0.00085987+0.0016695i,-0.00012351+0.00095079i,0.00092459-0.00012898i,0.000552-0.00076694i,0.00024327-0.0013022i,0.00078784-0.00087069i,0.00083302-0.0004655i,0.0007281-0.0004902i,0.00053939-6.8859e-05i,4.9682e-05+5.95e-05i,0.00019661+0.00016948i,-7.2522e-05-3.3953e-05i,5.6204e-05-0.00053758i
0.00058408+0.00055914i,0.00019843-0.00028187i,0.00098824-0.0012498i,0.0014262-0.0018713i,0.0013249-0.0010327i,0.00060838-0.00021835i,-0.00026082-0.00014611i,-0.00035616+0.0003683i,-0.00052904+0.00069899i,-0.0010697+0.00037665i,-0.00058471-1.2789e-05i,0.00056605-0.00021598i,0.00044971-0.00020772i,-0.00028566-0.00014074i,0.00014821-0.00023134i,0.00094541-0.00012022i,0.00089664-0.00084587i,0.00032249-0.00063535i,-0.00048061+0.00012913i,-0.0003202-0.00038925i,1.8211e-05-0.00088158i,-5.7181e-05-0.00093911i,-1.7539e-05-0.00077269i
-0.0017577+0.0023271i,-0.0011637+0.0036353i,-0.00059443+0.003019i,7.5726e-05+0.0025006i,0.00024571+0.0021122i,0.00075737+0.00064732i,0.0007299+0.00034407i,0.0005527+0.0010332i,2.9957e-05+0.0012976i,-5.9816e-05+0.00064755i,0.00033504+0.00042191i,0.00099704-0.00011997i,0.0012127-0.0011012i,0.0009838-0.0017578i,0.00072806-0.0013842i,0.00027536-0.00045767i,0.00048696-0.00041765i,0.00035049-0.00072411i,-0.00014611-0.00014961i,0.00042514-0.00044465i,0.00073934-0.0010946i,0.00086011-0.0003034i,0.00059724+0.00038318i
-0.00025122+0.00088317i,0.0002751-0.00018587i,0.00047835+0.00027371i,0.0013225+0.0014547i,0.0027625+0.0017332i,0.0022148+0.00057367i,0.00084396+7.6653e-05i,-0.00071722-8.7431e-05i,-0.0011871+0.00039391i,-7.5969e-05+0.00094355i,0.00077682+0.00037456i,0.0013091+0.00020135i,0.00086452+0.00046859i,0.00012126+0.00013726i,-0.00049622-0.00071102i,-0.00015919-0.0012304i,0.00023591-0.00094168i,0.0004063-0.00021281i,0.00063962-7.4634e-05i,0.00069197-0.00052318i,0.0012303-0.00055289i,0.00090573-0.00049259i,-2.7666e-05-0.00042667i
0.00077008-5.1571e-05i,0.00091487+0.00040915i,0.0007628+0.00024691i,0.0013357+1.1903e-05i,0.0012214-0.00014342i,0.0012299+6.6495e-05i,0.0011825+5.2551e-05i,-1.0237e-05-6.4282e-05i,-0.00037359-6.6584e-05i,-0.00019193+0.00041867i,0.00022838+8.466e-05i,0.00060355-0.00048738i,-0.00042911-0.00033055i,-0.00091574-0.00032515i,-0.00026151-0.0010132i,0.00025958-0.0010121i,0.00034021-0.00049528i,-0.00017519-7.1329e-05i,-0.00047366+0.0001511i,-0.00021508+0.00012482i,-0.00013964-0.00028926i,-0.00012413-0.000546i,-0.00030691-0.00011112i
-0.0009298-0.0022163i,-0.00080122-0.00081634i,-0.00037296-0.00043063i,-0.00089547+0.0010427i,-0.00046195+0.0026442i,0.00073883+0.002753i,0.0010429+0.0012713i,0.00074298+0.0004043i,-0.00022129+0.00051818i,-0.0004596+0.00094638i,-0.00036003+0.0016724i,0.00042501+0.0015773i,0.00058645+0.0008802i,0.00026102+0.00036169i,0.00068686-0.00015761i,0.00037713-0.00088623i,0.00024454-0.00095519i,1.4718e-05-0.00053546i,-0.00059735-0.00030487i,-0.00097319-0.00013336i,-0.00025002-9.6442e-05i,-6.3541e-05+0.00021793i,-0.00043544+0.00043165i
-0.00098858+0.00058057i,-0.00010908+0.00019908i,0.00054356+0.0010094i,0.00075974+0.0018846i,0.0015842+0.0018896i,0.0012074+0.0011626i,0.00027855+0.00060537i,-4.5672e-05+0.0008154i,-0.00034005+0.00058973i,-0.00020209+0.00041778i,0.00051915+0.00046503i,0.0010453+0.00015746i,0.00059624-0.00031551i,0.000313-0.00028176i,0.00041988+9.1464e-05i,0.00033034+0.00032811i,0.00019308+0.00053846i,0.00019252+0.00018361i,0.00061253+0.0003902i,0.00025336+0.0014431i,0.00030471+0.00054502i,0.0010066-0.00033855i,8.781e-05-0.00014909i
0.00071677-0.0010223i,0.00022482-0.0011832i,-4.5671e-06-0.00159i,-0.00042215-0.00099457i,-0.00025966-0.00013296i,-0.00012535-0.00017348i,-2.3649e-06-0.00036718i,0.00028103+0.00041181i,2.1002e-05+0.00091459i,-0.00065327+0.00022912i,-0.00011083+0.00026708i,0.00020032+0.00060481i,-0.00024239-7.8735e-05i,0.00025786+2.416e-05i,0.00075609+9.2703e-05i,0.00076901-0.00031147i,0.00043759-0.00053857i,0.00051127-0.00077717i,0.00074586-0.00054503i,0.00061787-0.0005917i,0.00048871-0.00079418i,-0.00012455-0.00033414i,-0.00014924+0.00028232i
-0.00094287+0.00064995i,-0.00098379-6.2963e-05i,-0.0003105+0.00068264i,0.0011347+0.0015088i,0.00102+0.0011811i,0.00066495+0.0002891i,0.0009409+0.00017122i,-0.00013221+0.00026802i,-0.0012246+0.0002661i,-0.0010778+0.00084458i,-0.00065361+0.00099966i,-0.00012357+0.00058476i,-0.00028891+9.2861e-05i,-0.00017449+5.0682e-05i,0.00040582-7.2757e-05i,0.00070349-0.00056252i,0.00045113-5.781e-05i,-0.00050831+0.00065056i,-0.0012701+0.00048978i,-0.00074062+0.0008337i,0.00036367+0.00065009i,0.00034641-0.0002161i,-9.185e-05-0.00017416i
-0.00023057+2.2031e-05i,-0.00062535-0.00034091i,-0.0012087+0.00024746i,-0.00094712+0.00039502i,7.1e-06+0.00080171i,0.00082199+0.00072147i,0.0014165-0.00020427i,0.00068232-0.00047255i,-0.00010835+0.00018447i,-0.00012449+0.00066836i,-0.00026209+0.00056184i,-0.00021763+7.1453e-05i,4.6362e-06-0.00035633i,0.0001387-0.00027297i,0.00026117+0.00016594i,0.00083222+0.00014305i,0.00082527-0.00030163i,0.00021931-0.00046606i,0.00026651-4.7039e-05i,0.00021704+0.0009289i,8.3756e-05+0.00091104i,0.00044467+0.00054073i,0.00048622+0.00068225i
0.0030407+0.001298i,0.002523+0.00051862i,0.0016892-0.00044862i,0.0014395-0.00147i,0.0018251-0.0015218i,0.0016652-0.0005879i,0.0011307-0.00028736i,0.00059105-0.00022036i,-0.00022098+0.00044541i,-0.00041233+0.00087467i,8.001e-06+0.00044067i,-0.00023328+8.9182e-05i,-0.00063349+0.00025452i,-4.2197e-05-5.1104e-05i,0.00088738-0.00025268i,0.0014292-0.00037383i,0.0010731-0.00087072i,0.00075267-0.00026605i,0.00063678+0.000641i,0.00061438+0.0004358i,0.00018605+0.00023511i,3.6821e-05+0.0010959i,0.00055185+0.0017211i
0.00065595-0.00098907i,0.00068434-0.00064535i,0.0011172-0.00020731i,0.00031955+5.615e-05i,-0.0006356+0.00023434i,-0.00030051+2.5131e-05i,0.00019192+0.00076743i,-0.00015993+0.0011923i,-0.00038353+0.00057028i,-0.00057258+0.00032179i,-0.00082595-5.0387e-05i,-0.00031527-0.00021001i,0.00017474+0.00022762i,0.00063251+0.00022747i,0.00084008-0.00034039i,0.00064675-0.00058284i,0.00015812-0.00054002i,-0.00025963-0.00061307i,-0.00041901-0.00033264i,-0.00055485+4.316e-05i,-0.00030993-1.4321e-05i,-6.7679e-05+0.00057032i,-0.00021786+0.00063123i
-0.0011424+0.00023655i,-0.001646-0.00057222i,-0.00021771-3.168e-05i,0.00091152-0.000179i,0.0014813-0.00089823i,0.00098661-0.00011289i,0.00055797+0.00095942i,0.0010372+0.0019646i,0.00046904+0.0016195i,6.615e-05+0.00061142i,-0.00026709+0.00065849i,-0.00079488+0.00076716i,-0.0003238+0.00028529i,0.00015594-0.00052931i,0.00016724-0.0013174i,6.5874e-05-0.0012494i,0.00016663-0.00072193i,0.0003472-0.00050382i,-6.1572e-06-0.00044717i,-0.0005346+0.00039967i,-0.00055435+0.00075886i,-0.00037924+0.0005738i,-0.00036367+0.00022194i
0.00059616+6.98e-06i,0.00058019-0.0006595i,0.00079485-0.00037361i,0.0012678+0.00036824i,0.0017083+0.00086521i,0.0021406+0.00043793i,0.00084996+0.00029329i,0.00025018+0.00028054i,0.00032266+0.0001946i,-0.00041427-0.00043996i,-8.3898e-05-0.00079633i,-0.00025779-6.0147e-05i,-0.0010313-5.2146e-06i,-0.00073461-0.00029529i,0.00032298-0.00039377i,0.00082751-2.7472e-05i,0.00029943+6.3199e-05i,-0.00048113-0.00031353i,-0.0010763-0.00058536i,-0.00069598-7.0665e-05i,-0.000565+0.0015272i,-0.00056735+0.0017152i,2.7322e-05+0.00081783i
-0.0012691-0.00019319i,-0.001121-0.00058083i,-0.001158+0.00064047i,-0.000109+0.0014664i,0.00089445+0.0014984i,0.0013187+0.0007423i,0.00066771-0.00046022i,-7.9447e-05-0.00066759i,-3.6934e-05+0.00010682i,-6.2455e-05+0.00094054i,0.00030095+0.0013056i,0.0003423+0.0011687i,7.2933e-05+0.00037885i,0.0010306-0.00027719i,0.0015375-0.00047938i,0.00056558+0.00010837i,0.00016131+0.00049579i,0.0003171+0.0003114i,0.00044767+0.00055955i,0.00078027+0.00038437i,0.00088715+4.9698e-05i,0.000229+0.00055025i,-0.00059213+0.00040949i
-0.0004417+0.0011594i,-0.00069009-5.3737e-06i,-0.00032583-0.00057356i,6.1894e-05+0.00041512i,0.00016167+0.0018483i,0.00016445+0.0016611i,0.00034823+0.0012968i,0.00048188+0.00059123i,-0.00036271+0.00027552i,-0.0011331+0.00096427i,-0.00041563+0.0011443i,0.00042022+0.00099845i,-4.2028e-06+0.0011894i,-0.00060977+0.00053422i,-0.00018845-0.0011351i,0.0008403-0.0018752i,0.00057475-0.0012917i,0.0002685-0.00045824i,-6.2854e-05+0.00061401i,-0.00053606+0.0010881i,-0.00029916+0.00028016i,-0.0003406-0.00029957i,-0.00062823-2.9563e-05i
-0.0009407+0.0016749i,-0.00066614+0.0018783i,-8.9321e-05+0.0017531i,0.0011604+0.0018434i,0.0023947+0.0017475i,0.0018466+0.0011375i,0.0011939+0.00020961i,0.00022973-0.00085913i,-0.00069284-0.0012061i,-0.00062919-0.0006258i,-2.4502e-05-2.2683e-05i,0.0002861-0.00041129i,-0.0001299-0.00053147i,0.00032727-0.00099279i,0.00059599-0.0012212i,0.00028004-0.00038316i,4.3482e-05-0.00041437i,0.00048146-0.0012559i,0.00095698-0.00040084i,0.00082473+0.00086883i,0.00045993+0.00079089i,0.00066259+0.00028364i,0.00078251+0.00068729i
-5.9488e-05+0.00015907i,-0.00029782+0.00055751i,-5.1638e-05+0.0011093i,0.00048076+0.00060316i,0.0010203+0.00081159i,0.00078917+0.001322i,0.0011328+0.00084332i,0.0008775+0.00041587i,-0.00068898+0.00032461i,-0.0010381+0.00052017i,-0.00041382+0.00059322i,0.00035773+0.00025635i,0.00088222-6.2551e-05i,0.00062472-0.00084326i,-1.9773e-06-0.00094383i,-0.00041189-0.00082457i,-0.00017164-0.0011178i,9.224e-05-0.00082859i,-0.00012833-0.00035359i,0.00011385+0.00042491i,-0.00011981+0.00041429i,-0.0003557+0.00037772i,0.00024631+0.00012347i
0.0010925+0.00027283i,0.0012508-0.00072893i,7.7158e-05-0.00087264i,0.00044266-0.0015764i,0.001329-0.002362i,0.00099085-0.00096975i,0.00070807+0.00031159i,0.00069782+0.00032577i,0.00076268+0.00016773i,3.2351e-05+1.4241e-05i,-0.00050654+0.0004434i,-0.00086825+0.00012457i,-0.00070643-0.00091394i,0.00013698-0.00058597i,0.00064019-0.00059431i,0.00055788-0.00067184i,-0.0001592-0.00030782i,-0.00066733-0.0010157i,-0.00067872-0.00062454i,-0.00058344+8.8142e-05i,-0.000448-0.00029233i,-0.00013045-0.0010619i,8.4746e-05-0.0016079i
-0.0027448-0.00092643i,-0.0029248-2.6257e-05i,-0.0030895+0.00047405i,-0.0016968+0.0014404i,0.00021329+0.0024824i,0.0014003+0.0018878i,0.0015976+0.0005218i,0.00050712+0.00046993i,-0.0006964+0.00089283i,-0.0013757+0.00044259i,-0.00069253+0.00019344i,0.00023097+0.00038459i,0.00036891+0.00052561i,0.00062242+0.0014539i,2.5202e-05+0.0012121i,0.00058245-0.0002667i,0.0010396-0.00098834i,0.00018774-0.00053412i,-0.00025972+0.00026657i,-0.00048133+9.9482e-05i,-0.00034678-4.2792e-05i,-0.00036245+0.00031941i,-0.00036311+0.00068069i
