-0.0044642-0.0005217i,-0.001994-0.0011883i,-0.0020115-0.0010094i,-0.00132+0.0014048i,-8.5163e-05+0.0030682i,0.00022098+0.0030597i,0.00013091+0.0020581i,0.0006866+0.0013484i,0.0006375+0.0012057i,0.00041944+0.00095203i,0.000637+0.00034105i,0.00047585-0.00080469i,0.00028684-0.0013542i,0.00027168-0.0010479i,0.00050493-0.00026163i,0.00054131-0.00011698i,-0.00044489-0.00092683i,-0.0012065-0.00059162i,-0.00095541+0.0006243i,-0.00047553+0.0011236i,2.527e-07+0.00070914i,-0.00017498+0.00058462i,-0.00052172+0.00084915i
0.0014191+0.00026743i,0.001283-0.0011597i,0.00047822-0.0013797i,-0.00017424-3.3433e-05i,9.4002e-05-5.0592e-05i,0.00027108-0.00085032i,0.00047995-0.00067039i,0.00019431+0.00033111i,-4.4344e-06+0.00053343i,-8.4374e-05+0.0001703i,-0.0001955-0.00035195i,0.00027335-0.00035163i,0.00030201+6.6282e-05i,-0.00038358+0.00040329i,-0.00093302-0.00020602i,-0.00092665-0.00078045i,-0.0007024-0.00032407i,-0.00066894+0.00025832i,-0.00079437+0.00075529i,9.8013e-05+0.00040748i,0.00046577-0.00034788i,0.00022711-0.00042531i,0.00024378-0.00023453i
0.003062-0.00045251i,0.0024421-0.0024181i,0.0019112-0.0023294i,0.001211-0.0014863i,0.00038285-0.0011991i,-0.00031717-0.00032079i,4.0456e-05+0.0010009i,0.0004133-8.2586e-05i,-0.00011854-0.0011408i,-0.00040427-0.00071697i,-0.00032148-0.00034103i,-0.00027603-0.00020539i,-0.00010852+0.00024513i,-4.7251e-05+0.00035934i,-0.00035417+0.00054284i,0.0001243+0.0012059i,0.0011058+0.0010143i,0.00074877+0.00061965i,-0.00090393-0.00016723i,-0.0010365-0.00052658i,-0.00017923+4.2589e-05i,-0.00054489+0.00022234i,-0.00084149+6.5429e-05i
0.0015484-0.0016327i,0.0013724-0.0023541i,0.0010804-0.0019596i,0.0010511-0.00070777i,0.00059014-0.00050209i,3.0768e-05+0.00040571i,-0.00024481+0.00074526i,-0.00012272-5.9184e-05i,-0.00037519-5.0436e-05i,-0.00089274-7.8161e-05i,-0.00073307-0.00015436i,-0.00013006-0.00012558i,-5.5523e-05+0.00055167i,-0.00017313+0.0010762i,0.00048961+0.00045238i,0.00046339-0.00066212i,0.00022108-0.00081417i,0.00047694-0.00038206i,0.00035015-0.00031578i,0.0005986-0.0001621i,0.00129-0.00024796i,0.001145-0.0001407i,6.5613e-06+4.2208e-06i
0.0011245+0.00058106i,0.00051107-0.00082072i,9.7474e-05-0.0013317i,0.00052563-0.0010296i,0.00035622-0.00046239i,-0.00061543-0.00012477i,-0.00089154+2.9448e-05i,-0.00084664-2.489e-05i,0.00027736-0.00049152i,0.00054871-0.0011977i,-2.2283e-05-0.00078902i,0.0001377-4.4988e-05i,0.00045107-0.00041464i,3.2618e-05-0.00031892i,-0.00014356+0.00050906i,-6.2582e-05+0.00055446i,-0.00051944+0.00033401i,-0.00084747+0.00030107i,-0.00055249+0.00039228i,-0.00055056+0.00035859i,-0.0005405-0.0002179i,0.00058216-0.00099789i,0.00081216-0.0010168i
0.0010437-0.0012301i,0.00083681-0.0019897i,0.00050867-0.0018713i,0.0003476-0.0014056i,7.4742e-05-0.00027125i,1.2323e-06-3.6836e-05i,3.3404e-05-0.0003062i,-0.00016485-0.00064569i,-0.00023725-0.00035726i,-0.00045333+0.00027886i,-0.0004615-0.00010647i,-0.00011528-2.1894e-05i,3.7656e-05+9.1516e-05i,-0.00025853-0.00020264i,-0.00076238-0.00016804i,-0.00027211-8.5507e-05i,0.0001433-6.6468e-05i,-0.00041896-0.00034503i,-0.00085624+0.00028711i,-0.00066343+0.00040789i,-7.8465e-05-2.1436e-05i,0.00037153-0.00035011i,0.00096469-0.00081768i
0.00099671-0.00039385i,0.0018282-0.001485i,0.00055003-0.001701i,-0.00024679-0.00046391i,0.00069573-0.00010125i,0.00082967-0.0002281i,-0.00034102-0.00067099i,-0.00081394-0.0011598i,-0.0010559-0.0011817i,-0.0013464-0.0010063i,-0.00087868-0.00068428i,0.00019221+2.3334e-05i,0.00059475+0.00019807i,0.00028216+7.0311e-05i,8.6495e-06-7.2492e-05i,-7.3591e-05-6.3744e-05i,-0.00038164-0.00011176i,-0.0001867-0.00019855i,0.0004265-0.00014131i,0.00066311-0.000376i,0.00033763-0.00075337i,0.000347-0.00014442i,0.0008937+0.00019811i
-0.0024805+0.00053259i,-0.0016732-8.5682e-05i,-0.00058936+0.00052701i,0.00025398+0.0017757i,0.00062653+0.0015888i,0.00057228+0.00097448i,-0.00048897+0.00078454i,-0.0012631+0.00011483i,-0.0010275-0.00030683i,-0.00018231+0.00054321i,-0.00024202+0.00081328i,-0.00069702+0.00036438i,-0.00062818+0.00061391i,-0.00091629+0.00051725i,-0.00052529-0.00031478i,-9.9659e-05-0.00080838i,8.607e-05-0.00089627i,0.00088546-0.00063035i,0.001211+0.00027243i,0.00093278+0.00042646i,0.00023842+0.00018769i,-0.00022379-4.9498e-05i,-0.00010012-0.0010344i
0.00041415-0.0033362i,-0.00035361-0.0037283i,-0.0015565-0.0023078i,-0.0013757-0.0013211i,-0.00057021-0.00062281i,-0.00012826+0.00022012i,0.00078131-0.00033823i,0.00082261-0.00065051i,-0.00048203-0.00061658i,-0.0010651-0.00065098i,-0.00074203+2.6087e-07i,-0.00063747+4.5171e-05i,0.00011367-0.00030026i,0.00045781-0.00033058i,0.00052316+2.7133e-05i,0.00018071+7.0769e-05i,-0.00068117-0.00045071i,-0.00078255-0.00068902i,-0.00040061-0.00037456i,-0.00035731-0.00014609i,-8.3005e-05-0.00049119i,-0.00029007-0.00011526i,-0.00081658+0.00016481i
-0.0010263+0.00038127i,-0.0017581-0.00081354i,-0.00078872+0.00013379i,0.00086515+0.001065i,0.001102+0.0012267i,0.00040132+0.00056638i,0.00018528+1.4194e-06i,5.0178e-05+0.00019836i,-0.0004511+0.00022026i,-1.4214e-06+0.00019589i,0.00074557+9.2473e-05i,0.00084922+0.000168i,0.00094765+0.00026498i,0.00036094-0.00031701i,-1.7003e-06-0.00088312i,0.0001304-0.00080925i,-0.00030173-0.0012455i,-0.00010749-0.00048267i,-4.9795e-05+0.00059569i,-0.00074072+0.00058191i,-0.00068181-8.9063e-05i,-0.00014081-0.00035713i,5.505e-05-0.00021681i
-0.0020622+0.00080283i,-0.0012406+0.00089808i,-0.0001682+0.0016903i,0.00092642+0.0022597i,0.0018666+0.0013474i,0.0014116+8.8452e-06i,0.00055592-0.00026346i,-8.1345e-05-0.0001757i,-0.0011439-3.1646e-05i,-0.00119+0.00087532i,-0.00041379+0.0012279i,0.00048311-0.00029389i,0.00056733-0.00058311i,-0.00088558+6.5597e-05i,-0.0013108-0.00060167i,-8.5334e-05-0.0010017i,-0.00012541-0.00030262i,-0.0011343-7.9931e-05i,-0.0010629-1.7171e-05i,-0.00071515-4.7656e-05i,-5.2091e-05+0.00084432i,0.00050797+0.0012746i,9.6049e-05+0.00038156i
-0.00052883-0.00053461i,-0.00056234-0.00055837i,0.00032703-0.0001924i,0.0011807+0.00023125i,0.0014317-7.4467e-05i,0.00093064-0.00013408i,-0.00033777+0.00012813i,-0.00055039+0.00050567i,-0.00050078+0.00050056i,-0.00023994+7.2077e-05i,0.00052458+0.00026893i,-9.149e-06-0.00010942i,-0.00075977-0.00066023i,-0.0003205-0.00015806i,0.0003992-0.00014393i,0.00074823-0.0004089i,0.00037446-0.00010554i,-0.00032285+0.00016323i,-8.3325e-05+0.00023899i,0.00026106+0.00027088i,0.00050169+8.8353e-06i,0.00062944-0.00015263i,0.00025172+0.00019464i
-0.00041192-0.0034749i,-0.0012377-0.0023451i,-0.0018082-0.00086298i,-0.0014875+0.00077821i,-0.0010092+0.0019749i,-0.00023507+0.001496i,0.00044413+0.0012225i,0.00065911+0.00069316i,2.4973e-05-0.00033945i,-0.0010471-0.00029913i,-0.0010874+8.9397e-05i,-9.7688e-05+0.00027475i,0.00036638+0.0001629i,0.000587+0.00017174i,0.00053013+0.00054968i,-0.00024141+0.00036647i,0.00015254-6.3964e-05i,0.00055829+0.00024729i,-9.7364e-05+0.00022614i,-0.00088685-0.00073468i,-0.00075686-0.00085082i,-0.00062562+6.9928e-05i,-0.0011-0.00043539i
-0.003569-0.0035774i,-0.0031668-0.0024493i,-0.003467-0.0012588i,-0.002115+0.00012743i,-0.00090376+0.00074109i,-0.00091074+0.00077674i,-0.0011511+0.00095341i,-0.0014658+0.0010219i,-0.0015143-0.00014117i,-0.00082396-0.0012379i,0.00029374-0.00073146i,0.00044768+0.00064307i,0.00044386+0.0015116i,0.00036846+0.0008051i,0.00055963+0.00017488i,0.0011481+0.00028251i,0.00030377-0.00010508i,-0.00025786-0.00059538i,-0.00072922-0.00035846i,-0.00098643-0.00037653i,-0.00028578-0.00065309i,-0.00037705-0.00036581i,-0.00053513+5.1437e-05i
-0.0025966+6.2497e-05i,-0.0019732-0.00020733i,-7.4739e-06-5.1607e-05i,0.0013972+0.00075197i,0.0021587+0.001441i,0.0015454+0.0018768i,0.00039005+0.0012757i,-0.00015381+0.00040242i,-0.00067718+0.00015763i,-0.0011683-1.5335e-05i,-0.00085527+0.00024014i,0.00043669+0.00043243i,0.001185-6.8679e-05i,0.00069561-0.00082074i,0.00064653-0.0010042i,7.6434e-05-0.00082205i,-0.00048756-0.00064063i,-0.00050158-0.00088969i,-0.0002543-0.00050154i,-8.7037e-05+0.00010472i,-0.00043056-0.00022987i,-0.00083827-0.00017337i,-0.0014038-1.3146e-05i
-0.00069492-0.0023012i,-0.00051113-0.0027242i,-9.3396e-05-0.0016153i,0.00046545-0.00015567i,0.00034102+2.4737e-05i,-0.00034399+0.00036466i,-0.0015723+0.00084624i,-0.0018773+0.00017637i,-0.0010513-0.00067655i,-0.0010115-0.00020258i,-0.0011884+0.00022437i,-0.00030129-0.00023369i,0.00068254-0.00060888i,0.00027206-5.4285e-05i,-0.00020514+0.00019043i,0.00021993-0.0003169i,0.00036101-0.00015809i,-0.00032566+0.00060004i,-0.00069526+0.00056008i,-0.00050629+0.00048198i,0.00040337+0.00047393i,0.00052125-0.00044826i,8.3047e-05-0.00084313i
0.0025823+0.0011003i,0.0024143+9.727e-06i,0.0018809-0.00053582i,0.0016726-0.0011524i,0.00081631-0.00076015i,-0.00024099-1.3222e-06i,-0.0005687-0.00016639i,-0.00018829-0.00045135i,2.1799e-05-0.00083192i,-0.00010597-0.00069747i,-5.2958e-05-0.00037255i,-0.00035534+0.00014343i,-0.00079356+0.00034648i,-0.00040977+0.00021268i,0.00021716-9.3445e-05i,-1.387e-05-0.00021869i,7.677e-05-0.00022186i,0.00052655+6.5496e-05i,0.00079694-3.2216e-05i,0.00071376-0.00051353i,1.0193e-05-0.00051778i,0.00031932-0.00039989i,0.0008017+4.8765e-05i
-0.0012212-0.00010769i,-0.0013393-0.00072731i,-0.00033256-0.0015113i,0.0014979-0.0010668i,0.0015524+3.9972e-05i,0.00096677+0.00044952i,0.00064804+0.00079804i,0.00075842+0.00084277i,-4.9618e-06+0.00018743i,3.1617e-05-0.00015384i,0.0006155+0.0002104i,-0.00017061+0.00024214i,-0.00069039-0.00032211i,9.4497e-05-0.00044995i,0.00066524-0.00010636i,3.1354e-05+0.00022049i,-0.00054902-7.0656e-05i,-9.4676e-05-0.00075065i,0.0003922-0.00084893i,0.00082561+5.1157e-05i,0.00064531+0.00059893i,0.00031751+0.00075593i,0.00026388+0.0004929i
-0.00087758-0.0014092i,0.00018469-0.0024333i,0.00076183-0.002897i,0.00041863-0.00068184i,-0.00052264+0.0012558i,-0.0011502+0.001192i,-0.00067097+0.00089634i,4.024e-05+0.00090157i,-0.00062166+0.00044476i,-0.00097847-0.00033483i,0.00012921-0.00030179i,0.00094496+0.00010692i,0.00056981-9.0338e-05i,0.00033742-0.0008538i,0.00046712-0.00096173i,0.00044701-0.0006168i,0.00017538-0.00038039i,0.0004363-0.00031469i,0.00042942-1.9057e-05i,0.00050717-7.032e-07i,0.00075331+2.3768e-05i,0.00073597+0.00017422i,0.00022507+1.7983e-05i
0.00087217+2.9485e-05i,-9.3675e-05-0.00023101i,0.00083366-0.00043258i,0.0018714-0.00015834i,0.0014433+0.00054247i,0.00052069+0.00098873i,0.00016126+0.00049899i,-0.00020845-0.00056291i,0.00017451-0.00065763i,3.5898e-05-0.00058601i,4.8744e-05-0.0010745i,-0.00053422-0.00079616i,-0.0010946-0.00059305i,-0.0002057-0.0006483i,-0.00016281-4.0441e-05i,-0.00020717-6.8097e-05i,0.00032318-0.00032012i,0.0005121+6.5877e-05i,0.00020266+5.5085e-05i,-0.00029469+0.00068399i,-0.00079942+0.0012826i,-0.00013927+0.00066608i,0.00080036+0.00029659i
0.00085137+0.00010341i,0.00071159-0.0011573i,0.0011299-0.0023994i,0.0011863-0.0025014i,0.00042254-0.0017354i,-0.00030208-0.00084989i,4.2027e-05-0.00052035i,0.00070203-0.00063311i,0.0010076-0.0003268i,0.00092833-3.7949e-06i,0.00088538-0.0002957i,0.0008503+0.00029962i,0.00050546+0.0011776i,0.00015573+0.0010578i,-0.00011816-0.00031381i,5.3826e-05-0.00067457i,0.00059323+0.0002217i,0.00059756+0.00090422i,0.00018689+0.00057686i,4.4921e-05-0.00031933i,0.00029048-0.00065298i,0.00066546-0.00024611i,0.0004261+2.7332e-05i
0.0020895-0.00019801i,0.0012684-0.0026602i,0.0013914-0.0034409i,0.0015756-0.0027115i,0.0010694-0.002277i,-0.0010153-0.00056117i,-0.0015753+0.00050217i,4.4365e-05-0.0003691i,0.00062372-0.00098956i,-9.4184e-05-0.00087838i,-0.00074422-0.00099728i,-0.00039649-0.0011351i,0.00027147-0.00070776i,5.7944e-06-0.00069299i,-0.00026165-0.00026895i,0.00012561+0.00045958i,-0.00013753+0.00061507i,-0.00052523+0.00085882i,-0.00012718+0.00030931i,0.00030017+2.2006e-05i,0.00041113+2.8038e-05i,0.00061008-0.00049452i,0.0003083-0.00059328i
0.0010395+0.0013606i,0.0013316-0.00040113i,0.0020072-0.0022964i,0.00096002-0.0024033i,0.00021438-0.0016965i,-0.00041736-0.00065892i,-0.00080063-0.00038573i,-0.00054873-0.00078299i,-0.00054179-0.00080516i,-0.00016804-0.00065962i,-0.00032865-0.00054526i,-0.00031082-0.0001209i,1.4121e-05-0.00024012i,0.00022415-0.00046828i,0.0001641-0.00026519i,-0.0003079-0.00037508i,-0.00085807+0.00013932i,-0.0013599+0.00046974i,-0.0012297+0.00019085i,0.00014258-1.059e-05i,0.0005493+0.00036763i,0.00031764+7.9986e-05i,0.00020769+6.1507e-05i
0.00094845-0.0011795i,0.0019058-0.0016069i,0.0016784-0.0013278i,0.00012378-0.00033124i,2.8793e-06+0.00083233i,0.00092416+0.00091783i,0.00036679+0.00056054i,-0.00067021-0.00043243i,-0.0005485-0.00085284i,-0.00034194+0.00015653i,-0.00075262+0.0006851i,-0.00068899+0.0002883i,-1.7941e-05-0.00072582i,4.3761e-05-0.00086569i,-0.00015725-0.0005897i,0.00024093-7.2249e-05i,0.00047144+0.0011449i,-0.00033138+0.00088787i,-0.0019637+9.8323e-05i,-0.001747+0.00016564i,7.2021e-05+0.00054433i,0.00092475+0.00043485i,0.00053793+0.00025242i
0.00084004+0.00049001i,0.00074864-0.00021887i,8.3638e-05-0.0016395i,-0.00022856-0.0013138i,-8.7388e-05-0.00066063i,-0.00014528-0.0003283i,-0.00034692+0.0002135i,0.00020572-0.00022091i,2.7261e-05-0.0007424i,-0.00014897-0.00051628i,0.00046174-0.00015397i,0.00034112+9.6044e-05i,0.00012589+0.0003537i,0.00017835-0.00040035i,-2.5273e-05-0.00090825i,0.0001883-0.00032531i,0.00024141+7.1784e-06i,0.00037023-0.00017369i,0.00040169-0.00031185i,0.00095276-0.00039224i,0.0011798-0.00051513i,0.0007717-0.00030586i,0.00019251-0.0001552i
0.00085646-0.00010535i,0.0020007-0.0017718i,0.0030145-0.00090973i,0.0021802+0.00032871i,0.00093985-0.00090625i,0.00062283-0.0014824i,0.00046366-0.00052381i,8.6912e-05-0.00013794i,0.00026621-0.00040434i,0.00050583-0.00062392i,0.00017021-0.0004192i,-0.00032017-7.5758e-05i,-0.00018084-0.00018352i,0.00069181-1.7435e-05i,0.0012036+0.00066459i,0.00059553+0.00058436i,0.00056721+0.00046841i,0.00082778-0.00021454i,0.00060667-0.00065481i,0.00044567-4.2909e-05i,0.00063251+0.00033964i,0.00088448+0.00041165i,0.00089312+1.7643e-05i
0.003348+0.00096639i,0.0030397-0.00011142i,0.0025245-0.00047989i,0.0015905-0.00067409i,0.00061002-0.00040776i,-0.00034+0.00045662i,-0.00044284+0.0007355i,-0.0001724-9.1245e-07i,-0.00051783-0.00048368i,-0.00059859-0.00052535i,-0.00029579+6.8902e-06i,-0.00057529+0.00034866i,-0.00050102-8.5448e-05i,5.0395e-05-0.00040135i,-3.4607e-05-0.0014373i,-7.745e-05-0.0017021i,-3.4942e-06-0.00026495i,9.3908e-05+0.00030634i,0.00017359-0.00026279i,0.00026875-0.00012459i,5.5111e-05+0.00020065i,-0.00047144-8.2503e-06i,-0.00088755+5.677e-06i
0.0011145-0.00148i,0.00070171-0.0014599i,0.00026864-0.0012538i,0.0002873-0.00036946i,-0.000215+3.6215e-05i,-0.00069136+2.4905e-05i,-0.00060362+0.00029834i,7.9687e-05-0.00016394i,0.00076973-0.00013153i,0.00056228+0.00071644i,-0.00043138+0.0006594i,-0.0011921-0.00058805i,-0.00090135-0.0012382i,0.00022636-0.0011899i,0.00047689-0.00061017i,-0.00020117-0.00025174i,-0.0014285-8.7663e-05i,-0.001366+1.6288e-05i,0.0001493-0.00049047i,0.0012232-0.00082572i,0.0015705-0.0010904i,0.0012609-0.0016568i,0.00052526-0.0013962i
0.0010719-0.0034809i,0.0018289-0.0030814i,0.0007189-0.0016936i,-0.00092969-0.0007059i,-0.0013287-0.0001252i,-0.00072945-0.00016049i,7.5727e-05-0.00088043i,0.0003106-0.00040477i,-0.00075492-7.2621e-05i,-0.0010975-0.00033352i,-0.00049976-0.00031709i,-0.00013669+0.00018655i,-0.00051232+0.0006317i,-0.00054097+0.00021467i,-0.00043551-0.00044206i,-0.00060263-0.00037784i,0.00015572-0.00015633i,0.0010806-0.00062531i,0.001014-0.00083202i,-7.606e-05-0.00046684i,-0.00063469+2.8701e-05i,-5.7675e-05-0.00023517i,0.00051907-0.0003144i
-0.00038558-0.00054704i,-4.2902e-05-0.0010209i,-0.00030132-0.00030958i,-6.4661e-05+0.00071963i,0.00048528+0.0004628i,0.00047989+4.1412e-05i,1.399e-05+0.0002224i,-1.0378e-05+0.00025135i,-0.00025361+0.00033227i,-0.00067462+0.00018083i,0.00014965+6.097e-06i,0.00069378-2.31e-05i,0.00034845+0.00026629i,0.00018002+0.00095568i,0.00032934+0.00049955i,-0.00032781-0.00060801i,-0.00083789-0.0003i,-0.00047745+0.00054853i,-0.00035431+0.00078991i,4.758e-05+0.00066427i,0.0005624+0.00032703i,0.0005291-0.00023903i,0.00057294-0.00093621i
0.0018211-0.0017292i,-0.00018664-0.002605i,-0.0010456-0.0036823i,-0.0001172-0.0030444i,0.0007124-0.0012574i,0.00049284+0.00022737i,-0.00038068+0.00026937i,-0.00076033+6.0974e-05i,-0.00076946-0.00030393i,-0.00056016-0.00085055i,-0.00037317-6.9337e-05i,-0.00052353+0.00025795i,-5.5672e-05+0.00040051i,0.00037266+0.00094259i,0.00028878+0.00090722i,4.4958e-05+0.00086949i,0.00068673-0.00043126i,0.001036-0.0017021i,0.00053406-0.00089573i,0.00016488+0.00038542i,1.3627e-05+0.00035039i,0.00011574+7.318e-06i,0.00042117-1.7946e-05i
0.0010119+0.0010268i,0.0012383+0.00055406i,0.0011373+0.00011847i,0.0012191-0.00031297i,0.0010653-0.00071087i,0.00040735-0.00030869i,8.9428e-05-0.0002735i,0.00049703-0.0010465i,0.00015963-0.0011684i,-0.00098215-0.00052461i,-0.001047+0.00029291i,-0.00053617+0.00054352i,0.00021844-0.00035586i,-0.00027697-0.0010007i,-0.0011367-0.00020958i,-0.00093925+0.00033565i,-0.00010484+0.00010574i,-0.00018466-0.00024119i,-0.00064863-0.00021956i,-0.0011165-0.00034297i,-0.00073869-0.00027065i,-0.00057168-0.00016518i,-0.00038504-0.00044722i
