-0.0010593-0.00070846i,-0.00095299-0.0018619i,-0.0027731-0.0011518i,-0.0032441-0.00089684i,-0.0025784-0.0010934i,-0.0018904-0.0004984i,-0.0018875+0.00030334i,-0.0020495+0.00040342i,-0.0007092+0.00077141i,0.001405+0.00086528i,0.0020943-0.00068643i,0.0012279-0.0011906i,0.00094575-0.00028572i,0.00072742-0.00043138i,0.00012148-0.0004863i,-0.00041701+3.5225e-05i,-0.00055299+0.0003154i,-0.00027131+0.00073118i,0.00010788+0.00061697i,1.9454e-05+9.2018e-05i,0.00023263+0.00046956i,0.0002014+0.00092087i,0.0001319+0.00082475i
-9.8342e-05+0.0011544i,0.00050564+0.00095252i,0.00056425+3.1505e-05i,0.00026067-0.00051467i,-0.00059672-0.00084954i,-0.00064658-0.00018006i,-0.00044712+0.0015917i,-0.00025432+0.0022083i,0.00014443+0.0017151i,-0.00043236+0.00081771i,-0.0010964+7.6668e-05i,-0.00037483-0.00013887i,0.00038215-0.0002464i,-0.00046941+2.5082e-05i,-0.0011255+0.00025513i,-0.00082922+0.00034599i,9.0454e-05+0.00032248i,0.00049589+0.00031096i,0.00011232+0.00015056i,0.00030256+0.00024406i,0.00034735+0.00019872i,-0.00046844-0.0001314i,-0.00067063+0.0003434i
0.00025672-0.00060411i,-0.00071293-0.00058267i,-0.0010307-0.0010455i,-0.00053056-0.0017237i,0.00052855-0.0022988i,0.0008308-0.0018797i,0.00055049-0.00013866i,0.0010813+0.0010011i,0.0014132+0.00053145i,0.00089374+0.00058376i,-0.00031615+0.0006558i,-0.0010415-0.00020782i,-0.00068735-0.00044795i,-0.00064384+8.4888e-05i,-0.00036579+0.00050019i,0.00010632+6.3256e-05i,0.00043599-0.0010106i,0.00050657-0.00089302i,-0.00012784+0.00020563i,-0.00079376+0.0001336i,-0.0008232+0.00097731i,-0.00058847+0.0019782i,-0.00077836+0.0011081i
0.00045751-0.0016583i,0.00037714-0.0022861i,-0.00046469-0.0023947i,-0.0008975-0.0018927i,-0.00043095-0.0023561i,0.00014125-0.0025988i,0.00096349-0.0014963i,0.001133-0.00097636i,0.00068168-0.00054707i,0.0004443+0.0010026i,0.00010772+0.0012321i,-0.00032203+2.3523e-05i,-0.00040058-0.00046011i,-0.00028093-0.00028646i,-0.00048765+0.00059932i,-0.00041073+0.00058461i,-0.00014067-0.00020098i,-2.4627e-05-0.00026037i,-0.00019933+4.336e-05i,-2.8845e-05+0.00044645i,0.00056777-2.3354e-05i,0.00031435-0.00063496i,0.00035737-0.00083117i
0.00028798-0.0013851i,0.00042277-0.001099i,0.00049753-0.0010364i,8.6571e-05-0.0013516i,0.00012248-0.0020461i,0.00019998-0.0023471i,-0.00012299-0.0016955i,7.958e-05-0.00056524i,0.00065667-0.00013958i,0.00036129-0.00043834i,-0.00057486-0.00069092i,-0.00049974-0.0003887i,-0.00059829-3.4187e-05i,-0.0014152-0.00042543i,-0.0012221-0.00070018i,-0.00047483-0.00072127i,-9.3123e-05-0.00047363i,0.00021116+2.8472e-05i,0.00014065+0.00058208i,0.00022896+0.00062679i,0.00084498-7.8764e-05i,0.00031514-0.00054465i,3.5225e-05-0.00081474i
-0.001965-0.00098511i,-0.0021178-0.0010628i,-0.0010809+0.0005519i,0.00091076+0.001022i,0.0026879-0.00011448i,0.0025172-0.0015492i,0.00059-0.0021452i,-0.0011138-0.0013259i,-0.0015191-0.00038993i,-0.00092779-4.6314e-05i,-0.00019347-0.00075046i,0.00034071-0.00065209i,0.00035408-0.00080555i,-0.000294-0.00083564i,2.3983e-05+0.000335i,8.5969e-05+0.00076158i,-0.0013693-0.00033564i,-0.0015563-0.00054523i,-0.00069187-9.847e-05i,-0.0001472+6.2482e-05i,-0.0001836+8.123e-07i,-0.00017772-0.00058582i,-0.00058926-0.0011753i
-0.00018409+0.0014602i,-0.0010868+0.00086887i,-0.0011985-0.00077997i,0.00048664-0.0022404i,0.0014001-0.0030086i,0.00059435-0.0035172i,-0.00058917-0.0018027i,-0.00024068+0.0004349i,0.0001411+0.00050525i,-0.00026549+0.00014064i,-0.00025259-5.7499e-05i,-0.00012321-0.00051824i,0.00028884-0.00089291i,0.00054327-0.0011552i,0.0002717-0.00068517i,-5.2162e-05+0.00034644i,0.00044176-0.00037004i,0.00062892-0.0010517i,-0.00050437+6.5698e-05i,-0.00045331+0.0010345i,-0.00014642+0.00067597i,-0.00050933+0.00017197i,-0.00065068-0.00021351i
-0.00088224-0.0011927i,-0.0013365-0.0022604i,-0.0011962-0.002263i,-0.00064989-0.0017601i,-0.00039447-0.0013717i,-2.2568e-05-0.00088652i,0.0012077+0.00034901i,0.0025758+0.0012852i,0.0019373+0.0010083i,0.00042653+0.00040821i,-0.00019953+0.00051969i,-3.9332e-05+0.0005863i,-0.00057502+0.00050853i,-0.00044676+0.00038134i,0.00028501+0.00047308i,-2.5196e-05+0.0010069i,-0.00012691+0.0010463i,-0.00030947+0.00076252i,-0.00027755+0.00036484i,0.00019868+0.00012565i,0.00053349+0.00071278i,0.00059046+0.00098829i,0.00016941+0.00094778i
0.00072925+0.00049659i,0.0019824-0.00068904i,0.0019803-0.0016962i,0.0010939-0.0026009i,0.00027277-0.0027914i,-0.00085842-0.0019381i,-3.4889e-05-0.001518i,0.0013842-0.00099517i,0.0012835+0.00023773i,0.00021649+0.00067005i,-0.00053729-2.1603e-06i,6.0208e-05-0.00025142i,0.00074251+0.00032666i,0.00047874+0.00051474i,0.00014686-0.00014294i,0.00018645-0.00017592i,1.6719e-05+0.0002501i,-0.00057434-0.00038646i,-0.00035635-0.00098067i,0.00051779-0.00059684i,0.00066203-0.00024073i,3.2925e-05-0.00072624i,0.00023883-0.00053331i
-0.0012186+0.0020108i,-0.0012986+0.00063944i,-0.00057374+0.00079999i,0.0011446-6.5682e-05i,0.0022928-0.0013906i,0.0010203-0.0028379i,-0.00057036-0.0033853i,-3.7687e-05-0.0021263i,0.0011309-0.00063656i,0.0013723+3.0194e-06i,0.00058065-0.00041735i,-2.074e-05-0.00080726i,-9.1482e-05-0.0005127i,-0.00050617-0.00044101i,-0.00059799-0.00045953i,-0.00027232-0.00043973i,-0.0010432-0.0002859i,-0.0016096-0.00034427i,-0.00048708-0.00033821i,0.00014894-0.00027648i,-0.00019058+0.00037385i,-0.00012487+0.00072178i,9.0685e-05+0.00015167i
-0.00045639+1.5612e-05i,-0.0012892-0.0004991i,-0.0017931-0.0016921i,-0.00070185-0.0031672i,-0.00017183-0.0031886i,-0.00092797-0.0023034i,-0.0013427-0.0010195i,-0.0012062-0.00041406i,-0.00015653-0.00053253i,0.00031079-0.0003872i,4.9329e-05-0.00056951i,-0.00013525-0.00078943i,-0.0003607-0.0014078i,-0.00098941-0.001739i,-0.0004564-0.0016617i,1.8113e-05-0.00084217i,-0.00011642+0.00041823i,-0.00015237+0.0012935i,-0.0003002+0.00081679i,0.00022045-0.00018933i,0.00056955-0.00062218i,0.00040812-0.0010586i,0.00013742-0.0015993i
2.2117e-05-0.00021909i,-0.00039098-0.0017424i,-0.00084069-0.0029687i,-0.0012858-0.0020132i,-0.00083343-0.0013481i,-0.00051294-0.0012387i,-0.0013089+0.00018703i,-0.00076191+0.001355i,0.00020198+0.0011583i,0.00095822+0.00029353i,0.0006037-0.00032651i,-0.00065932-0.00023344i,-0.0019289+0.00028705i,-0.0017127+0.00088268i,-0.00047156+0.00093898i,0.0001196+0.0006639i,0.00015093+0.00083116i,4.316e-05+0.00062287i,0.00011413+6.4979e-05i,0.00015041+0.00038277i,-4.7189e-05+0.00045169i,2.2214e-05-9.4133e-05i,-0.00022212-0.00048591i
0.0015936-0.0013422i,0.0023543+0.00016819i,0.0014604-0.00061065i,0.00055392-0.0020847i,0.00044196-0.0021463i,0.00021655-0.00097902i,0.0005513+0.00098914i,0.0016214+0.0017654i,0.0019521+0.00011244i,0.0010384-0.0011022i,0.00077833-0.00094373i,0.00033139-0.00083907i,-0.00031059-0.0008254i,0.00014294+0.00024926i,-0.00023725+0.0007975i,-0.00035086+0.00070935i,-8.062e-05+0.00059287i,-0.00016679+0.00035909i,0.00034751-0.00021333i,0.00031904-0.0003547i,-0.0005089+0.00077431i,-8.2211e-05+0.00025599i,0.00016077-0.00074751i
0.00026251-0.00095208i,0.00041928-0.0004242i,0.00070744-0.0007702i,0.00070841-0.0014577i,0.0011915-0.0021262i,0.00096955-0.0015228i,0.001285-0.00036183i,0.0016549+0.00010124i,0.00094803-0.00019214i,0.00015069-0.00080259i,4.7269e-05-1.5836e-05i,-0.00012986+0.00072772i,0.00041287+0.00041961i,0.0012118+0.000235i,0.00069839-0.00028775i,-5.7833e-05-0.0015431i,-0.00015606-0.0020543i,-0.00070824-0.0016464i,-0.00058173-0.0010242i,0.00027628-0.00024988i,0.00047205+0.00036327i,7.7636e-05+0.00041882i,-0.00026313+0.00073673i
7.2551e-05-0.0024485i,-0.00036626-0.002206i,-0.0015563-0.0023916i,-0.0013592-0.0032418i,-0.00074552-0.0029904i,-0.0005546-0.0022165i,-5.6885e-05-0.0019562i,0.00087474-0.0023798i,0.00026405-0.0026123i,-0.00059708-0.0013005i,-4.6439e-05+0.0001332i,0.00058942-6.4867e-05i,0.0010668-0.00024382i,0.00081142-0.00052297i,1.6458e-06-0.0010668i,-0.00036332-0.00061489i,4.4806e-05-4.7076e-05i,0.00041423+0.00017575i,-0.00063606+0.00023349i,-0.0014912+0.00033259i,-0.0015333-7.5546e-05i,-0.001008-0.00035341i,0.00037957+4.1868e-05i
-0.00079747-0.00032839i,-0.00012185-0.00070454i,0.00064293-0.00095377i,0.00065222-0.0023963i,-0.00048752-0.0030106i,-0.0012505-0.0020152i,-0.0012504-0.0014968i,-0.0013799-0.00081649i,-0.0011924-0.00027478i,7.7442e-05-8.9773e-05i,0.00057848+0.00019844i,0.00014311-7.2906e-05i,-0.00039485-0.0011427i,-0.00023844-0.0014283i,-0.00082033-0.00063129i,-0.0014699-0.00021444i,-0.00045675-0.00012712i,-0.00027174+0.00011102i,-0.00091366+0.00043539i,-0.0012922+0.00036947i,-0.0013307+0.00028998i,-0.00034509+0.00045942i,-0.00048368+0.00022844i
-0.0023346-0.00094634i,-0.0021744-0.0012657i,-0.0013244-0.00098322i,0.00044191-0.0014569i,0.0014091-0.0018257i,0.0006016-0.0017428i,-0.0011601-0.0008842i,-0.0012754+0.00068407i,-2.0546e-05+0.0017069i,0.0011909+0.0011559i,0.00099359+0.00034732i,-0.00035943+0.00017572i,-0.001686-0.00010759i,-0.0017933-3.6128e-05i,-0.0013544+0.00058972i,-0.0008995+0.0010761i,-0.00051743+0.0012522i,-0.00057003+0.0011093i,-0.00070929+0.00090043i,-0.00050511+3.8765e-05i,-4.5295e-05-0.00066922i,-0.00035648-7.2429e-05i,-0.00046693+0.00045208i
9.5362e-05-3.3555e-05i,-0.00020344-0.00017709i,0.00018172-0.0012285i,0.0011275-0.0019548i,0.0011184-0.0021046i,2.0466e-05-0.0014508i,-0.00104+0.00023712i,-0.0004763+0.0012187i,0.00095983+0.00077007i,0.0013187-0.00066029i,0.0006201-0.0012405i,-0.0005685-0.00061786i,-0.00033305+0.0002383i,-0.00011366+0.0009073i,-0.00020279+0.00041111i,0.00046882+0.00010223i,0.00092161+0.00069431i,0.0010081+0.00095381i,0.00023767+0.00086114i,0.00024514+0.0006456i,0.00073861+0.00020954i,9.814e-05+0.00011186i,-0.00027577+0.00030855i
-0.00062322+0.00043619i,8.0682e-05-0.00052003i,0.00068229-0.001566i,0.00035742-0.0019243i,0.00021145-0.001364i,0.00053642-0.00041916i,0.00056933+0.0003042i,0.0013331+0.00019593i,0.002098-0.0005008i,0.0010677-0.0014536i,-0.00020509-0.0010831i,0.00037991+0.00029554i,0.0010751+0.00072546i,0.0011336+0.0008795i,0.001069+0.00088613i,0.00017332+0.00058922i,0.00058114+3.0303e-05i,0.00098936-0.00047108i,5.0541e-05-0.00058543i,0.00025828-0.00052982i,0.000848-0.00017099i,0.00021504+0.00011482i,-0.00011156-0.00030077i
-0.00075678-0.0017952i,-0.0007051-0.0016696i,-0.00046383-0.0015544i,-0.00011456-0.001939i,7.8967e-05-0.0022297i,0.00064947-0.0025262i,0.0011254-0.0028517i,0.00051206-0.0027524i,-0.00016028-0.0021596i,-0.00078651-0.00034447i,-0.00014837-1.6093e-05i,0.00060971-0.0011457i,0.00063704-0.0019532i,0.00052272-0.0018413i,-5.438e-05-0.0010346i,-0.00051061-0.00093844i,-0.00073285-0.00065731i,-0.00077626-8.2896e-05i,-0.00065659+0.00029991i,-0.00016614+0.00018604i,0.00065883-3.34e-05i,0.000748-0.00032077i,-0.00011447-2.6495e-06i
2.6783e-05-0.0014836i,0.000207-0.0021162i,0.00040026-0.0022259i,0.00071145-0.0014123i,0.00039351-0.0015813i,-0.00039053-0.0015652i,-0.0015662-0.00061513i,-0.0014824-0.00038263i,-0.0012364-0.0006145i,-0.00052149-0.0007841i,0.00097224-0.00097442i,0.0010718-0.0013838i,-0.00042676-0.001492i,-0.00088127-0.0011101i,-0.00041472-0.00079301i,-0.00029743-0.00040296i,-0.0011862+0.00061921i,-0.0016579+0.0013314i,-0.0013741+0.00097045i,-0.00019344+0.00050001i,0.00058807+0.00084627i,0.00028108+0.00054401i,0.00052348+3.7728e-05i
-0.0016561-0.0012106i,-0.0014669-0.0010251i,-0.0013168-0.0016322i,-0.00077938-0.0010747i,-0.00037403-0.00085919i,-0.00038084-0.0012081i,-0.0007473-0.00071875i,-0.00091264+0.00030006i,-0.00045993+0.00078745i,4.9857e-05+0.0011084i,-0.00014495+0.00051904i,-0.0006931-0.00030067i,-0.0010382+0.00027947i,-0.00079101+0.00062543i,3.9799e-05+0.00093625i,0.00056254+0.001499i,0.00026478+0.00077814i,0.00013188+0.00018201i,0.00078732+0.00051494i,0.00055138+0.00061799i,-0.00071892+0.0001152i,-0.0015095+0.00014009i,-0.0016921+0.00066549i
-0.00062604+0.00049564i,-0.00050819-0.00049574i,0.0002827-0.00137i,8.2906e-05-0.0023129i,-0.00063247-0.0025201i,-0.0013537-0.001886i,-0.001046-0.00040739i,-0.00035125+0.00075386i,0.00065265+0.00051079i,0.00098222+0.00020148i,-0.00022255+9.4436e-05i,-0.00076666+0.00026193i,-0.00078581+0.0011419i,-0.0005185+0.0013923i,0.00040274+0.00064115i,0.001036+0.00034432i,0.0008708+4.5467e-05i,0.00051907+0.0001906i,0.00014226+0.00051624i,0.0002409+0.00064383i,-0.00016754+0.00050607i,-0.00049447-0.0001098i,-0.0010006-0.00073418i
-0.0011962+0.00040453i,-0.00096667-0.00067288i,0.00012063-0.0014711i,0.00078048-0.0018915i,0.00014974-0.0022615i,-4.3747e-05-0.0014382i,0.00068248-0.00016952i,0.002077+0.0003935i,0.002664+0.00041702i,0.00086599+5.6805e-05i,-0.0005481-0.00046562i,0.00032374+2.4193e-05i,0.0013214+0.00041979i,0.0014404+0.00010515i,0.00086681-0.0007087i,0.00053476-0.001357i,0.00050911-0.0020295i,0.00070018-0.0021077i,0.00012779-0.00099624i,-0.0010497+0.00018021i,-0.00081125+0.00098554i,-0.00024787+0.00082676i,-0.00032585-9.4716e-05i
-1.4881e-05-0.00081504i,-0.00086084-0.0007667i,0.00014667-0.0010595i,0.00079382-0.0021252i,0.00038434-0.0028029i,0.0001898-0.0023681i,0.00055486-0.0016487i,0.0015993-0.0014736i,0.0015971-0.0012064i,0.00093662-0.0006809i,0.0010767-0.00083282i,0.0012403-0.0012516i,0.00078597-0.0010921i,-0.00021237-0.0014651i,-0.00061594-0.0013631i,-0.00089471-8.7792e-05i,-0.00082573+2.3056e-05i,-0.00089073+0.00012484i,-0.0019735-0.00015843i,-0.0018957-0.00051893i,-0.00092383+0.0001288i,-0.0004434-0.00028902i,0.00010236-0.000526i
0.0013887-0.00082625i,0.0014475-0.00094611i,0.0017488-0.0015447i,0.0020659-0.0028617i,0.00088086-0.0033182i,-0.00041097-0.0024586i,-0.00083343-0.0020482i,-0.0012962-0.0015921i,-0.0016105-0.00126i,-0.00045752-0.00044826i,0.0007354-3.4313e-05i,0.00021721-0.0010404i,-0.00088637-0.00079381i,-0.00096897+0.00020076i,-0.00051195+7.4126e-05i,-0.00023842+0.00035151i,-0.00062715+0.00090919i,-0.0011204+0.00019866i,-0.00075915-8.1666e-05i,1.988e-05+0.00059989i,0.00012683+0.0005142i,-0.00049685-5.8181e-05i,-0.00060458-0.00048443i
0.0012661+0.00053474i,0.00041324+0.00036342i,-0.001335-0.00035012i,-0.0015334-0.0023529i,-0.0011032-0.0034519i,-0.0016409-0.0029442i,-0.0017591-0.001111i,-0.0015728+0.00083405i,-0.0010374+0.0015972i,-2.5498e-05+0.001037i,-0.00047293-0.0005272i,-0.0013289-0.0015886i,-0.0013854-0.00097525i,-0.0011015+0.00052213i,-0.0001292+0.0016434i,0.00079584+0.0015597i,0.00032951+0.00083458i,-0.0002217+0.00034999i,6.6628e-05-0.0001082i,0.00042754-0.00024758i,2.993e-05-0.00012811i,-0.00012335+0.00032914i,0.00040383+0.00032859i
-0.00049945+7.0917e-05i,0.00018057-0.00082167i,0.00057263-0.00092942i,0.00052984-0.0017699i,0.00032678-0.0024526i,-9.1024e-05-0.0022096i,-0.00081888-0.00079355i,-0.00067402+0.0015353i,0.00024965+0.0022132i,0.00016687+0.0011487i,-0.0010534-0.00024554i,-0.00068027-0.00038116i,0.0010337+0.00089873i,0.0010357+0.0010381i,-0.00029582+0.00024225i,-0.00026212-7.5919e-05i,9.9152e-05-0.00041559i,0.00034404-0.00040826i,0.00087287-0.00021591i,0.00099952+0.00013724i,0.00038804+0.00080426i,0.00022921+0.0010253i,0.00037293+0.00053362i
-0.0018476-0.00098795i,-0.0016388-0.0018653i,-0.001365-0.0018404i,-4.2304e-05-0.0012076i,0.0022169-0.0011349i,0.0023248-0.0014501i,0.0010923-0.00065556i,0.00098585+0.00049576i,0.0013159+0.00034159i,0.00066647+4.89e-05i,-0.00048978+0.00018089i,0.00027748-8.2586e-05i,0.0016978-0.00059315i,0.0013345-0.00096201i,0.00034136-0.00043096i,0.00010442+0.00026665i,0.00041094-0.0006923i,0.00031419-0.0016867i,-0.00048851-0.0017811i,-3.8126e-05-0.0013625i,0.00048313-0.00031825i,0.00014528+1.3046e-05i,-7.8579e-05-0.00016434i
0.000858-0.0019194i,0.0016964-0.0025417i,0.0021333-0.0023468i,0.0013439-0.0014685i,0.00088566-0.0015665i,0.0014341-0.0015219i,0.0017825-0.0014052i,0.0015917-0.0021883i,0.0013696-0.0019772i,0.0011032-0.00070564i,0.0012422-0.00030355i,0.00096119-0.00096457i,0.00027587-0.0013615i,-0.00029868-0.0011099i,-0.00066718-0.00054834i,-0.0004701+0.00010497i,-0.00038215+0.00021998i,-5.5239e-05-5.6499e-05i,-0.00076269-0.00016191i,-0.0016546+6.5424e-05i,-0.00094923+0.00025807i,9.2347e-06+0.00015052i,6.769e-05+0.00032409i
-0.00081354-0.0011122i,-9.9982e-05-0.0009554i,-0.0012399+6.7892e-05i,-0.00081987+0.00030706i,0.00061768-3.529e-06i,0.00043502-0.00099936i,0.00032525-0.0017441i,0.00052241-0.0014357i,-0.00026231-0.0010254i,-0.00030507-0.00056577i,0.00013159-0.0007705i,-0.00039885-0.00098916i,-0.0012961-0.00075664i,-0.0014012-0.00011861i,-0.0011039+0.00058442i,-0.00048253+0.00034551i,-0.00024757+7.2314e-05i,-0.0011379+6.6424e-06i,-0.0016082+0.00020088i,-0.00082133+0.00017183i,-0.00043043-0.00030508i,-0.00019782-0.00023999i,0.00019027+5.5986e-05i
-0.0012544-0.0012759i,-0.001322-0.0015318i,-0.0014221-0.0022406i,3.6741e-05-0.0028138i,0.00014202-0.0038091i,-0.00062204-0.0033726i,-0.00075885-0.0017379i,-0.00077272-0.0007762i,-0.00088513-0.00034156i,-0.00065264+0.00013316i,-0.00066505-0.00031101i,-0.00065796-0.0010677i,-0.00012104-0.00068762i,0.00024843+5.6228e-05i,-0.000106+0.00081206i,-0.00026158+0.00064525i,0.0001598+8.4727e-05i,0.00087931-1.4667e-05i,0.00049622-0.00012495i,0.00030258-0.00015365i,0.00040499+5.9949e-05i,-0.00076826-1.2547e-05i,-0.0015564-0.00042629i
-0.00055066-0.00021889i,-0.00040498-0.0015812i,0.0010108-0.001976i,0.0012953-0.0025259i,0.001529-0.0028572i,0.0011177-0.0028615i,0.0001607-0.0014659i,-0.00063147+0.00080167i,-0.001336+0.0024816i,-0.0014909+0.0015453i,-0.0018316+0.00044876i,-0.001338+0.00060162i,-0.00033304+0.00074048i,-0.00024936+0.00018687i,0.00018082-7.7148e-05i,0.00075707+0.00049472i,0.00098721-7.0822e-05i,0.00084759-0.00061488i,1.0424e-05-0.00055538i,-0.00022561-0.00057155i,-1.6466e-05-0.000189i,-0.00022926+0.00016445i,-0.00046634+0.00087748i
-0.00020749+0.00067077i,0.00042323-0.00012487i,-0.00026172-0.00029801i,-0.00028863-0.0010749i,-6.7276e-06-0.0013175i,-0.00045463-0.00091116i,-0.00047411+4.0417e-05i,0.00049328+0.0013919i,0.0010545+0.0019194i,0.00051665+0.0012302i,0.00075225+0.00065277i,0.00067413+0.00079102i,9.289e-05+0.00056053i,4.4453e-05-0.00028685i,-0.00031144-0.00091581i,-7.844e-05-0.00066691i,0.0004933-0.00052521i,-0.00048139-0.00026i,-0.00066781+0.00043434i,-0.00015991+0.00067315i,-1.4646e-05+0.00040581i,-3.4967e-05+0.00012385i,6.8428e-05-0.0003423i
0.00082142+0.00078207i,0.00010701+0.00013274i,-0.00052055-0.001852i,-0.00096921-0.0027685i,-0.00082125-0.0026666i,-0.00036177-0.0023454i,0.0004049-0.00077435i,0.00094369+0.00066281i,0.0014504+0.00054315i,0.0015086+0.00027438i,0.0010214+0.00040937i,0.00087589-0.00015317i,0.00058568-0.00041638i,-0.00024296+0.0002512i,-0.00042709+0.001053i,-0.00010373+0.00046709i,-6.2369e-05+0.0002297i,-0.00034094+0.00090079i,-0.00067295+0.0010619i,-0.00021648+0.0011569i,0.00044664+0.0018722i,0.00068707+0.0012316i,0.00073519+0.00060773i
-0.00083439-0.00062516i,-0.0016742-0.0019073i,-0.00091087-0.0019263i,-0.00029231-0.0020188i,0.00061399-0.0021304i,0.001479-0.0012052i,0.0016835-0.00015453i,0.0013346-4.903e-05i,0.00080698-0.0011197i,0.00065307-0.0013493i,0.00075001-0.0012491i,0.00063073-0.0017954i,0.00034774-0.00060189i,0.00075331+0.00095028i,0.00055193+0.0010398i,4.079e-05+0.00077105i,-0.00019467+0.00026045i,-0.0005285+0.00033718i,-0.00067048+0.0011803i,-0.00054973+0.0014548i,0.00020908+0.00046667i,0.00094715-0.00083708i,0.0008177-0.0008367i
0.00040202+0.00042075i,0.00047002-0.00035391i,-0.00011473-0.0014991i,0.00048511-0.0025333i,0.00048685-0.0031943i,-0.00048836-0.0029428i,-0.00092953-0.0019659i,-0.00092969-0.0004432i,-0.00023344+5.7841e-05i,0.0006022-0.00058506i,0.00041749-0.001284i,-0.00049046-0.00093432i,-0.0012524+0.00061521i,-0.00086864+0.0012746i,0.00024182+0.00057499i,0.00077758+0.00023957i,0.00098715+0.00054261i,0.00052813+0.00064139i,3.3004e-05-3.9879e-05i,0.00038919-0.00014026i,6.0764e-05+0.00039683i,-0.00039471-0.000413i,0.00014172-0.0011286i
-0.00078106+0.00033894i,-0.00037358+0.00057259i,0.00036749-0.0009479i,0.0012988-0.0024163i,0.0011371-0.0024612i,0.00038555-0.0013524i,-0.00057239-0.0010175i,-0.00018531-0.00019272i,0.00067506+0.00061756i,0.00026027+0.00041422i,-0.0011688+0.00059758i,-0.0021766+0.001246i,-0.0016663+0.00088008i,-0.00033001+9.2403e-05i,-0.00061091+5.7082e-05i,-0.0014436+4.9418e-05i,-0.0008812-0.00041992i,-0.00011213-0.00030632i,0.00052111-0.00021763i,0.0004393+0.00028552i,-9.1538e-05+0.00067548i,-0.00039544+0.00072822i,-4.2587e-05+0.0009146i
0.00042332+0.00022006i,-5.6193e-05-0.00068483i,3.0782e-05-0.0010263i,-0.0002257-0.001657i,-0.001026-0.0026941i,-0.0017369-0.0023972i,-0.0016031-0.00099982i,-0.00019773+0.00018398i,0.00057451+0.0007469i,-0.00015715+0.0012725i,-0.00051115+0.0012461i,0.00033438+0.0012475i,0.00032929+0.00086194i,-0.0010329-0.00029245i,-0.001036-0.0012549i,-0.00020443-0.00090151i,-0.00037091+9.6465e-05i,-0.0012136+0.00045606i,-0.0018923+0.00095175i,-0.0013604+0.00093457i,-0.00048818+0.00041375i,0.00022774-0.00020442i,0.00053672+4.6617e-05i
0.00098914-0.0021496i,0.0002567-0.0025868i,-0.00089458-0.0030456i,-0.00064503-0.0028347i,-0.00078336-0.0027561i,-0.0019942-0.0022674i,-0.00099278-0.00049505i,0.0014977+0.00034174i,0.002816-2.3519e-05i,0.0023251-0.00072194i,0.0019078-0.0014393i,0.0016526-0.0017892i,-0.00024172-0.0012812i,-0.00098017-0.0008917i,7.8003e-05-0.00065307i,0.00027354-0.0002678i,-0.00015433+8.6524e-05i,0.00029215+0.00031657i,0.001279-2.2815e-06i,0.0018184+0.00031359i,0.0011238+0.00061046i,0.00035564+0.00012561i,-0.00013739-0.00081953i
0.0013783-0.00092392i,0.0016074-0.00044267i,0.0015319-0.001043i,0.0010353-0.0013861i,0.00076837-0.0014695i,-8.6454e-05-0.00056534i,-0.00036829+0.00038256i,2.7473e-05-0.00040409i,-7.8103e-05-0.0010054i,0.00021495-0.00024222i,0.00069348-7.9911e-05i,-0.00045967-0.00098791i,-0.0018613-0.0011307i,-0.001438-0.00039697i,-0.00021388+2.8818e-05i,0.00056763+0.00075544i,0.0007983+0.0012477i,0.00063815+0.0011185i,5.194e-05+0.00083835i,5.8274e-05+0.00048161i,0.00018533-0.0004532i,0.00047352-0.00085094i,1.7589e-05-0.00021506i
-0.0019622+0.001048i,-0.0011905-0.00010312i,-0.0016529-3.409e-06i,-0.0011456+0.0001671i,0.00066611+0.00078911i,0.001674+0.00067065i,0.0013182-0.00039897i,0.00090954-0.00087461i,0.00072278-0.0003783i,-0.00019205-0.00017924i,-0.0010898-0.0010526i,-0.0017636-0.0011431i,-0.001464+0.00012055i,5.1627e-05+0.00083744i,0.0010419+0.00071391i,0.00049861+0.00025665i,-0.00040878+0.00021741i,9.3271e-05+0.00022263i,0.00040461-9.0203e-05i,-0.00064918-0.00013919i,-0.0009386+0.00020139i,-0.00060184+0.00090387i,-6.3114e-05+0.0010988i
0.00018702-0.00049181i,0.00032705-0.0011341i,-0.00032001-0.0020677i,0.00055529-0.0024039i,0.0017885-0.0024157i,0.0010755-0.0023571i,0.00024517-0.0015586i,0.00048894-0.00037343i,0.00062954+0.00011401i,-0.00022812+0.00056921i,-0.001325+0.0011928i,-0.002012+0.0012137i,-0.0012077+0.00090224i,-0.00034387+0.00033397i,-0.00052907-0.00078632i,-0.0010524-0.00116i,-0.00086625-6.9182e-05i,-0.00027473+0.00016099i,-0.00087297-0.00012994i,-0.0010887+0.00059474i,-0.00068906+0.00092581i,-0.00093189+0.00061492i,-0.00090088+0.00022795i
0.0026554-0.0012487i,0.0029866-0.0015546i,0.0019686-0.0022579i,0.00074055-0.0030741i,1.8282e-05-0.003946i,-0.00021006-0.0029303i,-0.00053093-0.00066928i,-9.2896e-05+0.00030785i,0.00067861+0.00022391i,0.00037078-0.00036048i,0.00029654+0.00022915i,0.00070851+0.00097974i,0.0004015+0.00055756i,-0.00018325+0.00015296i,-0.00053325+0.00020753i,-0.00024766+0.0010082i,0.00034328+0.0012578i,0.00029256+0.00062884i,0.00029193+0.00081523i,0.00018702+0.0013099i,0.00051824+0.0010762i,0.00044448+0.00059736i,0.0007873-0.00060256i
