-0.00024062-0.00065549i,-0.00022466-0.0025516i,-0.0014454-0.0030532i,-0.0024786-0.0018882i,-0.003067-0.00054264i,-0.0024279+0.0011597i,-0.00059184+0.0021415i,0.0003177+0.0019596i,0.00088795+0.0001945i,0.0012243-0.0015953i,0.00037775-0.0011065i,-0.00012331-0.00051996i,-0.00052958-0.00029685i,-0.001163-0.00030781i,-0.00028326+0.00044069i,-0.00052751+0.0009487i,-0.0007512-0.00012058i,-7.3162e-05-0.0010047i,8.6793e-05-0.00066427i,-0.00012206-0.00023139i,-0.0004963-0.0011075i,-0.00016458-0.0015644i,3.4227e-05-0.00091437i
0.00064218-0.0035576i,0.00062826-0.003539i,-0.00058894-0.0024623i,-0.0015749-0.00061367i,-0.001249+0.00095673i,-0.00063844+0.0014823i,-0.00033954+0.0015003i,-1.3537e-05+0.00078439i,-2.3498e-05+0.00055515i,0.0001093+0.0011168i,0.00058971+0.0010028i,-0.00012703+0.00026438i,8.6467e-05-0.00051384i,0.000668-0.00032914i,0.0008718+0.00015305i,0.0016616-0.00025574i,0.0010316-0.00071602i,0.00028794-0.00048495i,0.00038497-3.5092e-05i,0.00018863+0.00018402i,-0.00034415+0.00053267i,1.7858e-05+0.00058331i,0.00043657+0.00028265i
0.00071821+0.0020971i,0.0014641+0.002216i,0.001416+0.0014418i,0.00017197+0.00065428i,-0.0007709+0.00019404i,-0.0013434+0.00050194i,-0.00081002+0.0008143i,-0.00025861+0.00043039i,-0.0001227-0.00042804i,0.00040734-0.00092258i,0.00065919-0.00095955i,0.00028934-0.00092459i,-0.00039612-0.00056857i,-0.00065777+0.00029741i,-0.00070149-0.00018769i,-0.00080378-0.00057947i,-0.00065155-5.2486e-05i,-0.00048952-1.483e-05i,-0.00049622+9.4621e-05i,0.00018209-8.2888e-05i,0.00059869+0.00012921i,0.00032521+7.3025e-05i,0.00021057-0.00029885i
-0.0014655+0.00058083i,-0.0018151+0.00091625i,-0.001496+0.0015552i,-0.0007036+0.0017656i,3.0802e-05+0.0019002i,0.00069994+0.0017253i,0.00078053+0.0011427i,0.00078809+0.00081537i,0.0008776+0.00068229i,0.00066462+0.00049207i,0.00041973-0.00039334i,0.00021562-0.00079983i,-0.00046701-0.0005248i,-0.00085107-7.1836e-07i,-0.00035168-0.00032339i,-0.00065692-0.0007557i,-0.0011239-0.00018669i,-0.00044472+0.00054076i,-6.1217e-05-0.00019909i,-0.00024454-0.00022117i,-0.00032436-0.00018469i,0.0001413-0.00068975i,0.00065178-0.00035935i
0.00020035+0.0012679i,0.00094814+0.00043586i,0.001279-0.00014741i,0.00087734+1.4036e-05i,-0.0002453+0.00060159i,-0.0010035+0.00043149i,5.5142e-06+0.00011011i,0.0013005+0.0001186i,0.0013574+0.00085732i,0.00011793+0.00063467i,-0.00071605-4.6453e-05i,-0.000324-9.9036e-05i,-0.00056427-7.8155e-05i,-0.00072122+0.00060831i,-4.9102e-05+0.00097964i,0.00030085+0.00064252i,0.00095593+0.00014799i,0.0013287-0.00017307i,0.00099606-0.00016073i,0.0005199+0.00020104i,-0.00045164+0.00031037i,-0.00010544+0.00015122i,0.00083318+0.00035161i
0.00023265+0.00032666i,0.00054873+0.00058026i,0.00097538+0.00033102i,0.00094757-7.5493e-05i,3.7889e-06+9.8673e-05i,-0.00058695-0.0006657i,-0.00064112-0.00069328i,-0.00069553+0.00047625i,-0.00017982+0.00021036i,0.00022888+8.1647e-05i,-0.00013813+0.00056219i,-0.00022865+0.00085161i,0.00019967+0.00081465i,0.00033639+0.00083922i,3.322e-05+0.0013435i,0.0003599+0.00086158i,-0.00017226+0.00025168i,-0.00054616-0.00018367i,0.00010125-9.2043e-05i,0.00040667+0.0010242i,0.00024127+0.0013611i,-0.00014065+0.00063316i,-0.00059971-1.3949e-05i
-0.0013198-0.0012889i,-0.00076683-0.00013061i,-0.0016324+0.0011159i,-0.0024662+0.0021301i,-0.0018373+0.0026076i,-0.00085974+0.0014127i,-0.00058492+0.00017243i,-0.00026093-0.00062549i,-0.00033567-0.00085858i,-0.0002177-0.00025502i,0.00010032-0.0002221i,0.00013474+2.2077e-05i,-0.00014948+0.0007674i,0.00012831+0.00062853i,0.00097561-0.00068406i,0.00084674-0.0009905i,0.00022294-0.00022573i,-7.8258e-05+7.6091e-06i,6.0361e-05-0.00067267i,0.00032153-0.00075816i,0.00040211+0.00016696i,-0.00011137+0.00031956i,-0.00071935-3.109e-05i
0.00068584-0.00040378i,0.00053163-0.00054735i,-5.423e-05+3.8141e-05i,-0.00020289+0.00090048i,-0.00046392+0.0012596i,-0.00033084+0.0016131i,-0.00062718+0.0010063i,-0.0016705+0.00034759i,-0.00088329+0.00049024i,0.00046056+0.00032101i,0.0003751+0.00016558i,-2.3503e-05+0.00051458i,0.00042038+0.00089134i,0.00046254+0.00061744i,-7.1495e-05-0.0001164i,-5.16e-05-7.8596e-05i,-0.00026859+0.00031339i,-0.00051854-0.00025156i,-4.3391e-05-0.00054384i,-7.6666e-05-0.00019064i,-0.00070949+3.7166e-05i,-0.00059811+0.00051423i,-7.9718e-05+0.00096399i
0.00071512+0.0020079i,0.00034011+0.00087589i,0.00033899-0.00048686i,3.2906e-05-0.00075929i,-0.00054749-0.00060779i,-0.00068204-0.00076129i,-0.00032494-3.2041e-05i,0.0005996+0.00090982i,0.00043222+0.00050597i,0.00024742-0.00044989i,0.0007321-0.00032199i,0.00069839-0.0001887i,0.00033722-0.00048981i,-0.00085989-0.00084953i,-0.0008761-0.00014413i,-1.6049e-05+0.00099378i,-0.00031607+0.00038908i,-0.00066464-0.00057788i,-0.00040864-0.00043497i,6.476e-05-0.00023495i,0.00057561+0.00013495i,0.00015611+9.7592e-05i,-0.00067744-0.00059188i
-0.0017357-0.00060521i,-0.0021999-0.00038588i,-0.0025576+2.3397e-05i,-0.0022246+0.00040503i,-0.0011559+0.00070792i,-0.00073983+0.00031506i,-0.00089025-0.00056946i,-0.0005629-0.00054916i,-0.00018614-0.0004028i,-1.2855e-05-0.00047685i,-1.958e-05-0.00013337i,-0.0005922+0.00042293i,-7.2472e-05+0.00072007i,0.00074436+0.00054089i,0.00080053+0.00043018i,-0.00013249+6.4444e-05i,-0.00047963-0.00087422i,-0.00018612-0.00078215i,-0.00059084-0.00032403i,-0.00097142-0.00053001i,-0.00044963-0.00070166i,-0.00060108+0.00032956i,-0.0012211+0.00060105i
-0.0020292+0.00019041i,-0.0018211+0.00021605i,-0.0015257+0.00083387i,-0.00081703+0.0017764i,-0.00027646+0.0021035i,-0.00062719+0.00047257i,-0.00073029-4.6696e-05i,-0.00035171+0.00029189i,-5.385e-05-0.00016478i,0.00045734-0.00077823i,0.00020789-0.00043484i,0.00045059+4.9926e-05i,0.00023213-0.00075329i,-0.0006579-0.0010188i,-0.00036967-0.00023955i,0.00032599+0.00023912i,6.0782e-05+0.00034283i,-0.00016529-6.3564e-05i,0.00019749-0.00080522i,-2.8304e-05-0.00028928i,6.721e-05+0.00047085i,0.00038404+0.00047931i,9.7664e-05+0.00057045i
0.00039257-0.0003803i,0.00047091-1.2441e-05i,0.000281+0.00020904i,-0.00053466+0.00044828i,-0.0010692+0.00019675i,-0.00093856+0.0010255i,-0.001042+0.001618i,-3.82e-05+0.00093665i,0.00091692+0.00017356i,0.0002361+0.00018006i,-0.0004963+0.00034444i,-0.00029531+0.00026366i,-0.00027948-5.8387e-06i,-0.00012047+6.206e-05i,0.00062423+0.00057754i,0.0011999+0.000348i,0.00089166+0.00021631i,0.0006395+0.00016747i,0.00069575+0.00024898i,9.1133e-05+0.00016265i,0.00017863-0.0003496i,0.00014092-0.00017759i,-0.00046745-9.4271e-05i
-0.00083704-0.00070931i,-0.00091852+0.00057508i,-0.00092969+0.001127i,8.9711e-05+0.0012515i,0.00054814+0.0010065i,0.00049669-6.6187e-05i,2.4002e-05-0.00054191i,-0.00049213-0.00013614i,-0.00060479+0.00012281i,-0.00024875+0.00063855i,7.391e-05+0.00070113i,8.8869e-05-0.00042377i,0.00057154-0.00058392i,0.00075187+0.00023727i,0.00085155+7.8608e-05i,0.00069765+1.8121e-05i,4.9698e-05-0.00039727i,1.3118e-05-0.0010623i,0.00016889-0.00055187i,-0.00024623+0.00012024i,-0.0001943+0.00057631i,9.8517e-05+0.00069253i,-0.00030137-0.00022962i
-0.0014305-0.0001984i,-0.0019686-0.00025776i,-0.0027436-0.00049298i,-0.0019291-0.00022047i,-0.0003019+0.00066705i,0.00019059+0.00046402i,-9.434e-05+0.00059224i,-0.00053941+0.00025447i,-0.00052871-0.00014098i,-0.00057752-0.00026657i,-0.00073773-0.00038782i,-0.00032003-0.0008053i,-9.452e-05-0.00027987i,3.5323e-05+0.0010242i,0.00038664+0.0011109i,-2.6472e-05+0.00033361i,0.00010557-8.4119e-05i,0.00078485+0.00073084i,0.0008372+0.00076797i,0.0007246+0.00013025i,-0.00028519+0.00064621i,-0.00081932+0.00087199i,-0.00075908+0.00044756i
