-0.0059631+0.00020118i,-0.0035973-0.0012623i,-0.0026319-0.0003328i,-0.0017375+0.0013154i,-0.00085664+0.0020047i,0.0007981+0.0019312i,0.0010834+0.0021039i,7.1885e-05+0.0023121i,0.00026679+0.0013201i,0.0010938+0.00047682i,0.0014195+0.00010397i,0.00072033-0.00073694i,8.2976e-05-0.00093455i,4.4865e-05-0.00044456i,-0.00032979-0.00011179i,-0.00046505+0.00044725i,8.4159e-05+0.00095962i,-3.5105e-05+0.00029914i,0.00046121-0.000638i,0.0016125-0.00043405i,0.0013565-0.00028071i,0.0007343-0.0004744i,0.0003468-0.0003437i
-0.003611+0.0008958i,-0.0021496+0.00039704i,-0.00089322-0.00036779i,-0.0004931-0.00084981i,-0.00058274-0.0015152i,-0.00040526-0.0010417i,-0.0010407-0.00080249i,-0.0015311-0.00065639i,-0.0016014-0.0001501i,-0.0017429-0.00046444i,-0.0011723-0.0009358i,0.00029516-0.00022108i,0.0009542+6.9334e-05i,0.00093332+0.00013081i,0.00099296+0.00074001i,0.00065117+0.00069487i,0.00056139-0.00034573i,5.9219e-05-0.00080618i,-0.00072785-0.00067173i,-0.0006992-0.00056122i,-4.2513e-06-3.3803e-05i,0.0008918+0.0013007i,0.0013215+0.0016028i
0.0016289+0.0015184i,0.0016526+0.00079508i,0.0018815-0.00040253i,0.0014439-0.0018411i,-3.5391e-05-0.0019196i,-0.00023175+3.9071e-05i,-0.00012963+0.0014517i,-0.00018376+0.0011402i,0.00016728+0.00017262i,-0.00042726+0.00015115i,-0.00081013+0.00023018i,-0.00058766+8.6609e-05i,-0.00021615-0.00059855i,-0.00070284-0.00083723i,-0.00099231-0.00035298i,-0.00088024+0.00015248i,-0.0010159-0.00017838i,-0.00069516-0.00087907i,-0.00064994-0.0012077i,-0.0011518-0.00085489i,-0.0013964-0.00042446i,-0.00059637-0.00077029i,3.9535e-05-0.00070046i
0.00052569+0.00056414i,-0.00024249+0.0002903i,-0.00037014-0.00011237i,-0.00018611+0.00010327i,-0.00028568+0.00022156i,-0.0012297-6.1571e-05i,-0.0013291-0.00044995i,-0.00044135-0.00041472i,0.0013851-0.00017028i,0.0021566-0.00026143i,0.0011775+0.00013913i,-8.5528e-05+0.00065142i,-0.00084511+0.00087047i,-0.0009596+0.00093822i,-0.00074586+0.00034955i,-0.00049165+7.4232e-06i,-0.00053611-0.00058808i,-0.00068463-0.0012618i,-0.00095544-0.00059609i,-0.0010018+3.758e-06i,-0.00048538-8.1548e-05i,-2.6515e-05-6.255e-05i,-0.00043496-0.0009202i
-0.0014354+0.00028639i,-0.0016152-0.0006299i,-0.00063103-0.0013459i,-0.00057586-0.00060323i,-0.0011632-0.00016692i,-0.00099563+3.9652e-05i,-0.00094361-0.00027084i,-0.00037005-0.00020478i,0.00079791+0.00022046i,0.0012892-0.00045132i,0.00054187-0.00075876i,-0.00035102-0.00033978i,9.5876e-05-0.00028472i,0.00049093-3.7715e-05i,-0.00030461-0.00018532i,-0.00036021-0.00061395i,0.00014617-0.00076128i,8.5289e-05-0.00025529i,-9.9454e-05+0.00011695i,-3.7478e-05+3.9351e-05i,0.00084775+3.6259e-05i,0.0011232+4.8837e-05i,0.00029751-0.00088069i
0.00068184+0.00096195i,9.7469e-05+5.5297e-05i,-4.9024e-06-0.00064006i,-0.0010095-0.0012594i,-0.0019679-0.0014159i,-0.0012565-0.00066303i,-0.000354-0.0006374i,-0.00082425-0.0009334i,-0.0011658-0.0012746i,-0.00068893-0.001041i,-3.4361e-05-0.0008318i,0.00081576-0.00068569i,0.0010745-0.00016097i,0.00024871-0.00055335i,-8.968e-05-0.00088038i,6.7293e-05-0.00077676i,0.00027566-0.00043402i,9.6447e-05+0.00016849i,0.00047152+0.00061622i,0.00037868+0.0008696i,0.00024507+0.00080661i,0.00078047+0.00063446i,0.00060414+0.0004837i
-0.0036269-0.0010391i,-0.0032966-0.00044695i,-0.0030094-8.1701e-05i,-0.0017315-0.0012281i,-0.00087897-0.0023512i,-0.00095071-0.0026094i,-0.0017427-0.0022583i,-0.0024939-0.0014028i,-0.0027035+4.1762e-05i,-0.0024929+0.00086108i,-0.0014081+0.001037i,-0.00048946+0.00065756i,1.8197e-06+0.00037476i,-0.00015889+0.00079042i,2.5122e-06+0.00053802i,0.00066138-3.2479e-05i,0.00036581+0.00019478i,-0.00018274+6.9658e-05i,-0.00011469-0.0005952i,-0.00035218-0.00046513i,-0.00072928+0.00058517i,-0.00035114+0.00065074i,0.00038352-0.00028639i
0.0018571-0.0016342i,0.00097527-0.00090953i,0.00053883-0.00093726i,-0.00035012-0.00075223i,-0.0011379+0.00033894i,-0.0015252+0.0015843i,-0.001652+0.0012139i,-0.00109+0.00020175i,-1.5707e-05+0.00049272i,0.00041061+0.00068138i,-0.00010009-0.00018092i,-0.00052382-9.3346e-05i,-0.00045414+0.00068221i,0.00029674+0.0012916i,0.00033909+0.00054106i,-8.0585e-06-0.00028791i,0.00010436+0.00010154i,-0.00048316-0.00032921i,-0.0011571-0.00035707i,-0.0013813+0.0003961i,-0.00083804+0.00074371i,-8.4964e-06+0.00029036i,-0.00048933+1.5647e-05i
0.0013505+0.0015405i,0.0012075+0.0003109i,0.0016733-0.00064411i,0.0016649-0.0015702i,0.0016308-0.0014033i,0.00092381-0.0010281i,0.00080618-0.00090675i,0.0012692-0.0003045i,0.0019597-0.00093849i,0.0014084-0.0017043i,0.00013858-0.0011264i,-0.00034531+0.00010308i,7.4674e-05+0.00070983i,0.00022798+0.00026472i,-0.00018805-0.00021393i,2.5507e-05+8.8363e-05i,0.00012731+7.1153e-05i,0.00015352+0.00014174i,-0.00032579+0.001061i,-0.0008173+0.0009298i,-0.00047959+0.00023205i,0.00041612+0.00016556i,0.00013165+8.9803e-05i
0.0012499-0.001125i,0.00092463-0.0013368i,-0.00026353-0.0016274i,-0.0023289-0.00084917i,-0.003765-4.0394e-05i,-0.0030223-0.00064365i,-0.0016914-0.0012846i,-0.001458-0.0014635i,-0.00048713-0.0018247i,0.00053042-0.0022115i,0.00073125-0.0018804i,-0.00014982-0.00069817i,-0.00056611+4.6706e-05i,-0.00059033-0.00016607i,-0.00052537-0.00059892i,-0.00052949-0.00046207i,-0.00026857+6.4401e-05i,0.0005757-9.5335e-05i,0.00031387-0.0005375i,-0.00049312-5.1895e-05i,-0.00051901-4.1904e-05i,-5.5621e-05-0.00062581i,0.00029288-0.00075529i
0.0018525-0.0011203i,0.00096353-0.00014622i,0.00019954-0.001195i,-0.0018558-0.0017952i,-0.003337-0.00026093i,-0.0031865+0.0016124i,-0.0021679+0.0020287i,-0.0011297+0.0016035i,-0.0013324+0.00035126i,-0.0014718-0.0010725i,-0.00029892-0.0010845i,0.00012534-0.00011949i,-0.00059281+0.00067801i,-0.00098528+0.00069862i,-0.001086+6.7853e-05i,-0.00051138-0.00053293i,-3.0176e-06-8.4135e-06i,0.00024245+3.3977e-05i,0.00021296-0.00088836i,0.00039097-0.0010726i,0.00027855-0.0007245i,0.00024234-8.3472e-05i,0.00011706+0.00043407i
-0.00060595+0.00018085i,1.8306e-05-0.00044059i,-1.585e-06-0.0019148i,-2.8611e-05-0.0022855i,-0.00026986-0.0024044i,-0.00020854-0.0021881i,-9.0227e-05-0.0012149i,-0.00021443+3.5176e-05i,-0.00040724+0.0011203i,-0.00045143+0.0013749i,-7.4624e-05+0.00040591i,0.00039352+0.00036075i,0.00033691+0.0010265i,0.00027556+0.00033004i,0.00017966-0.0006176i,0.0003102-0.00059176i,0.00014623-0.0001857i,-9.9678e-05-0.00040349i,3.5042e-05-0.00091727i,0.00050085-0.0004998i,0.00095681+0.00078773i,0.00074131+0.00093285i,0.00026519-0.00044803i
-0.0025823+0.0039544i,-0.00045651+0.0033025i,0.0016406+0.0030307i,0.0032308+0.00092444i,0.0022431-0.00078292i,-0.00089148-0.00028469i,-0.0024371+0.0009096i,-0.0013257+0.0015121i,0.00036914+0.0017156i,0.001682+0.0013793i,0.0016509+0.00087493i,0.00066599-4.622e-05i,0.00013906-0.0012427i,0.00060566-0.00097396i,0.00041971-0.00028714i,-0.00065381-7.8162e-05i,-0.0014746-0.00047112i,-0.00063604+0.00014463i,0.0004186+0.0014932i,0.00029015+0.0021697i,-0.00020156+0.0016437i,0.00016345+0.0011447i,0.00044811+0.0014431i
0.00061704+0.0019955i,0.001426+0.001603i,0.0017533+0.0011253i,0.0022327+0.00050539i,0.002259+0.0011605i,0.0015819+0.00073386i,0.0012889-0.00025259i,0.0013973-0.00020414i,0.0019086+0.00011708i,0.0024853-0.00025555i,0.0023535-0.00037695i,0.0013198-0.00058199i,0.00060188-0.00069488i,6.8965e-05-0.00053147i,0.00011699-0.0010157i,0.00018595-0.00091848i,-0.00019174-0.00066785i,-0.00072383+1.1915e-06i,-0.0013551+0.00054804i,-0.00069952+0.00063101i,5.3501e-05+0.00020481i,-0.00070582-0.00016698i,-0.0010822-0.00014136i
-0.00085651-0.00129i,-0.00099767-0.00060907i,-0.0018646-3.8411e-05i,-0.0021285+0.00026029i,-0.0016846+0.00028426i,-0.0014486-0.00078338i,-0.0010644-0.0016655i,-0.0013622-0.0013334i,-0.0014483-0.0011918i,-0.001332-0.0013251i,-0.00064779-0.0011992i,0.00023101-0.0010395i,-0.00024874-0.00090934i,-0.00027725-0.00047895i,-0.00014897+0.00023079i,-0.00020478+0.00050835i,-0.00047702+0.00038331i,-0.00090104-0.00019429i,-0.00061914-0.00074349i,-0.0004705-0.00096572i,0.00011588-0.00070975i,0.00076403-0.00064228i,0.00034665-0.00070653i
-0.00098429-0.001383i,-0.001862-0.0018993i,-0.0022371-0.0017821i,-0.0028046-0.0011799i,-0.0030664-0.00016557i,-0.0024278+0.0015428i,-0.00088381+0.0018829i,-0.00061242+0.00091049i,-0.0012797+0.00089403i,-0.0017948+0.0001958i,-0.0022348-0.00061818i,-0.0017221+5.5055e-05i,-0.00066938+0.00070742i,-0.00057056+0.00039874i,-0.00012193+0.0002481i,8.6265e-05+0.00038209i,-1.9198e-06-4.8224e-06i,-8.9758e-06-0.00073283i,-0.00033895-0.001377i,-0.0005345-0.0017183i,-3.4881e-05-0.0012793i,8.5176e-05-0.00048775i,0.00023858-0.00047014i
0.0015346-0.0021621i,0.0017984-0.0017694i,0.0011016-0.0016633i,-0.00028513-0.0021206i,-0.00073723-0.0020914i,-0.0006855-0.00061645i,-0.00050268+0.00048894i,0.00029364+0.00067902i,0.0010935+0.0011702i,0.001153+0.0016625i,0.00026551+0.0022435i,-0.00047745+0.0024484i,0.00014211+0.0017209i,0.00026038+0.00052859i,9.0476e-05-0.00014295i,0.0005137-0.00052805i,4.399e-05-0.00086808i,-0.00058163-0.00055971i,-0.00066798-0.0004942i,0.00018741-0.00048546i,0.0010456-0.00025313i,0.0011715-0.00035088i,0.0013293+0.0001721i
-0.0032188+0.0015903i,-0.0017616+0.0011511i,2.4236e-06+0.0011152i,0.0016772+0.00042132i,0.0028714-5.0382e-05i,0.001361-0.00070743i,-0.00094753-0.0011015i,-0.00090044-0.00090169i,0.0002625-0.00046846i,0.00087043+4.3995e-06i,0.0016741+0.0004738i,0.001731-3.85e-05i,0.0012528-0.0002871i,0.0013456-0.00041751i,0.0012545-0.0013732i,0.00078616-0.0013003i,0.00062923-0.00097666i,0.00024036-0.0003527i,-0.00074124+0.00040218i,-0.00038535+0.00041977i,0.0005267+0.00070054i,0.00078855+0.0010604i,0.00057523+0.00064147i
0.000223+0.0025668i,0.00027557+0.0017706i,-0.00012672+0.0005218i,-0.0016967-0.00044684i,-0.0025126-0.00031167i,-0.0022765+0.0004626i,-0.0018181+0.00083585i,-0.00081127+0.00063321i,0.00018502-6.6858e-05i,0.00013099-0.00093319i,-0.00059102-0.0016345i,-0.00069916-0.0019427i,-0.0002066-0.0013839i,3.702e-05-0.00072515i,0.00063415-0.00022585i,0.0010477+0.00058898i,0.00060746+0.00088802i,-0.00036994+0.00041499i,-0.00034553+3.895e-05i,0.00027038+0.00052053i,1.425e-05+0.00058345i,-0.00050635+0.0010059i,-5.3249e-05+0.00096116i
0.0031306-0.0018335i,0.0033229-0.001558i,0.0015436-0.0021424i,-0.00085828-0.0030809i,-0.0016336-0.0016714i,-0.0012413+0.00029275i,-0.00031115+0.00022762i,-2.9756e-05-0.00011728i,-0.00082095+0.00052702i,-0.0022002+0.0013352i,-0.0035216+0.0012669i,-0.0032705+0.0013279i,-0.0016512+0.0013851i,-0.00059001+0.0010497i,-0.00043108+0.00050264i,-0.00012137-5.3955e-05i,0.00055756+0.00010117i,0.00064029+0.00075857i,0.00040813+0.00053213i,-0.00059991-1.548e-05i,-0.0010756-7.0703e-06i,-0.00069409-0.00019853i,-0.00034959-0.00026611i
-0.000424-0.00085692i,-0.0016559-0.00074237i,-0.0021629-0.0014425i,-0.0017256-0.0022034i,-0.0013109-0.0020818i,-0.00031956-0.0017527i,0.00019677-0.0010508i,0.00020815+0.00015591i,0.00019568+0.00090392i,0.0001873+0.0012852i,-0.00089191+0.0022805i,-0.00021338+0.0025689i,0.001303+0.00092903i,0.00033885-4.7379e-05i,-0.0013715-0.00031253i,-0.0014307-0.00068436i,-0.00017739-6.3142e-05i,-0.00011308+0.000545i,-0.00071292-0.00034461i,-0.00087079-0.0009782i,-0.00026845-0.00094408i,0.00043038-0.0010772i,0.00018672-0.00071114i
0.00053421-0.002232i,0.0002196-0.0020836i,0.00031348-0.002036i,0.00015288-0.0010099i,-0.00093899-0.00056791i,-0.0016194-0.00052537i,-0.00042704-0.00011816i,0.0011263-0.00035208i,0.0017734-0.00061944i,0.0020883+5.6142e-05i,0.0019074-0.00019814i,0.0015592-0.00085643i,0.0012516-0.00078979i,0.00011541-0.00040239i,-0.00053269-0.00021794i,-0.00036696-0.00037623i,-0.00059519-1.9088e-05i,-0.00051127-0.00019928i,0.00033979-0.00044549i,0.0010402-9.426e-05i,0.0011479-0.00021546i,7.8944e-05-0.00036025i,-0.00050386-0.00023036i
-0.00059862+0.0001786i,0.0011953+0.00010732i,0.0008876+0.0013071i,0.00058549+0.0026504i,-5.948e-06+0.0028477i,1.6619e-05+0.0020616i,0.0001846+0.00035751i,-0.00023229-0.0010588i,-0.00065827-0.00082763i,-0.00098311-0.001148i,-0.00096424-0.0023189i,0.0002531-0.0022024i,0.00094297-0.0010382i,0.0003338-0.00014466i,-0.00016411+0.00076054i,-0.00026543+0.0003003i,-0.00047457-0.00069677i,-0.00031117-0.00057759i,0.00021123-6.1149e-05i,0.00050459+0.0007057i,0.00044535+0.0008376i,0.00069994+0.00069509i,0.0010106+0.00025341i
-0.0016681+0.003609i,-0.0016036+0.004852i,-0.0014797+0.0050839i,-0.0017403+0.0026486i,-0.00054501+0.00094559i,-0.00018026+0.00055733i,-0.0012354+0.00024304i,-0.0021016+0.0005806i,-0.0019966+0.00095563i,-0.0017354+0.00082285i,-0.0022181+0.00066014i,-0.0022484+0.00042465i,-0.00080297+0.00096532i,0.00097322+0.00109i,0.0015501+0.00071168i,0.0015338+0.0006945i,0.0011727+0.00018263i,0.00061439-0.00065343i,0.00024985-0.00054754i,-0.00044656+0.00037921i,-0.00030339+0.00076929i,-0.0001166+0.00047097i,-3.831e-05-0.00034379i
-0.00073328+0.00079891i,-0.0019763-0.00056854i,-0.0027165-0.0024543i,-0.0015968-0.0029178i,-0.00026673-0.0024962i,-0.00079777-0.0022052i,-0.0016542-0.00098254i,-0.0021473+0.00030469i,-0.0018695+0.00082827i,-0.00098313+0.00071768i,-0.00045629+0.00096681i,-6.315e-05+0.0018565i,-0.00017369+0.0018467i,-5.9425e-05+0.00094046i,0.00044035+0.00065492i,0.00060874+0.00062936i,0.00072551+0.00014864i,-1.3626e-05+0.00041605i,-0.0010233+0.00050608i,-0.0017518+6.1116e-05i,-0.0018173+0.00051i,-0.0012061+0.00062181i,-0.00056912-0.00024174i
0.0021414-0.00019555i,0.0024187-0.0021454i,0.0022011-0.0035982i,-0.00016302-0.0031582i,-0.0022587-0.00052554i,-0.0017894+0.0021461i,-0.00077155+0.0014083i,0.00043173+9.9834e-05i,0.0012385+0.00043246i,0.0015991+0.00015673i,0.0017223-0.00042884i,0.0010404-0.0007066i,0.00042586-0.00083784i,4.1799e-05-0.00027289i,-0.00074734+0.00028625i,-0.0010163+6.0692e-05i,-0.00044623-0.00010095i,0.00013102+0.00011275i,0.0002832-8.4799e-05i,-7.4543e-05-0.00089748i,-0.00029902-0.00088976i,-0.00068775+9.4665e-05i,-0.00038512+0.00062344i
0.0012939+0.00087267i,0.00050596+0.0013629i,0.00022225+0.00018851i,-0.00028935-0.001363i,-0.00088845-0.0011783i,-0.00038507+2.9711e-05i,-0.0004659+0.00015018i,-0.0001517-0.00056153i,0.00086632-0.0011435i,0.00086712-0.0016577i,-0.00018459-0.0021098i,-0.0012131-0.001747i,-0.0017245-0.00077808i,-0.0014971+0.00038332i,-0.00077996+0.0009484i,-0.00074824+0.00037963i,-0.0012158+0.00042249i,-0.001097+0.00087638i,-0.00035356+0.00073303i,0.00050915+0.00022299i,0.00084147-0.00049474i,0.00066115-0.0008455i,0.00036252-0.00043788i
-0.0015089-0.0023938i,-0.0025764-0.0023663i,-0.0021787-0.0030769i,-0.00066318-0.0033879i,-0.0012869-0.0029318i,-0.0018281-0.0018704i,-0.0022591-0.00086893i,-0.0024209-0.00053091i,-0.0019152-0.0012438i,-0.0017521-0.00052084i,-0.0019026+0.00052874i,-0.0016205+0.0013259i,-0.0010556+0.0015329i,-0.00053912+0.00064997i,-0.0002046-0.00033212i,0.00058008-0.0010072i,0.00070678-0.00061274i,0.00062198-7.1886e-05i,0.00047779-0.00032087i,0.00025537-0.00060767i,0.00055315-0.00059894i,0.00035228-0.0010677i,-0.00020631-0.0011498i
0.0016049-0.0015656i,0.0017538-0.0026294i,0.001795-0.0021462i,0.00094221-0.000634i,-0.00010629+0.00036112i,-0.00084835+0.00055969i,-0.0012197-0.00013578i,-0.0011695+0.00034657i,-0.0012436+0.0017988i,-0.00062845+0.0021266i,0.00026879+0.0026469i,0.0014502+0.0037516i,0.0016065+0.0026568i,0.00047761+0.00058418i,-7.9787e-05+0.00012352i,0.00060622-0.00040653i,0.00060509-0.00070097i,-8.0148e-05-6.3321e-05i,-9.7137e-06+0.00026363i,2.2556e-05+0.00037848i,-0.00013978-0.00013134i,0.00021155-0.00042681i,0.00062163-0.0003233i
-0.0024864+0.0020486i,-0.0016369+0.0030816i,-0.0011652+0.0041186i,-0.0011851+0.003751i,-0.0011274+0.0022438i,8.4852e-05+0.0010015i,0.00077161+0.00089087i,0.0008993+0.0012345i,0.0010785+0.0023701i,0.00066127+0.0023755i,0.00049816+0.00087403i,0.00049055+0.00039002i,0.00054052-0.00016942i,0.00054835-0.00015401i,0.00048597+0.00053287i,0.00011336+0.00097213i,0.00013401+0.00065843i,0.00098339-0.00038188i,0.00091615-0.00092316i,-0.00011655-0.00035579i,-0.0005151+9.3902e-05i,3.6047e-05-0.00020674i,0.00077111-8.1012e-05i
0.0021096+0.00018038i,0.00070038-0.00083833i,-0.00082519-0.0025925i,-0.0020805-0.0039827i,-0.0016041-0.0039922i,-0.0014215-0.002463i,-0.0012068-0.00017579i,0.00099795-0.00028525i,0.0028302-0.0023086i,0.0019184-0.0037132i,-0.0009742-0.0040302i,-0.0022855-0.0028804i,-0.0022457-0.0013813i,-0.0016842-0.0012377i,-0.00073483-0.00099837i,0.00032402-0.00010772i,0.0006241+0.00025335i,0.00067317-5.2197e-05i,0.00064795-0.00096341i,0.000227-0.0010879i,-0.00017053-0.00024338i,0.00011172+0.00085432i,6.3411e-05+0.0012818i
0.00071605-0.00017873i,0.0017777-0.00075544i,0.0024181-0.0020125i,0.0023444-0.0030121i,0.00087335-0.0018258i,-0.0010167-0.0007195i,-0.0017521-0.0010444i,-0.0024468-0.001042i,-0.0027764-0.0016829i,-0.0025133-0.0022072i,-0.0020978-0.0010065i,-0.0016407+0.00040119i,-0.0012181+0.0016004i,-0.00050901+0.0015892i,-0.00011167+0.00046833i,-0.00047503-9.8668e-05i,-0.00018389+0.00016028i,0.00087576+0.0008115i,0.00075847+0.00059732i,-0.00050512-0.00020235i,-0.00076373-0.00050454i,-0.000262-0.00067998i,-8.1685e-05-0.00031462i
-0.0016359+0.00059888i,-0.0018658+0.0014902i,-0.0016088+0.0025871i,-0.0013852+0.0021845i,-0.00073638+0.0012176i,-0.00032902+9.7893e-05i,-0.0011344+0.0001021i,-0.0025196+0.00039393i,-0.0024013+0.001234i,-0.0005245+0.0022162i,0.00076346+0.0028556i,0.00098707+0.002574i,0.00013954+0.0013468i,-0.00034616+0.00082616i,-1.1717e-05+0.00086597i,0.00027793+0.00092473i,0.00010913+0.00020303i,0.00011119-0.00029929i,-5.6596e-05+0.0005782i,1.8468e-05+0.00055174i,0.00010934+0.00023581i,0.00059879+0.00041939i,0.00087632+0.00051029i
-0.0020607-0.0013138i,-0.0015511-0.00079381i,-0.00078902+0.00057818i,0.00035339+0.0011529i,0.001089+0.0007792i,0.001144+0.00080776i,0.0010002+0.0014148i,0.0016367+0.0029722i,0.002001+0.0042128i,0.0026291+0.0040041i,0.003169+0.0020899i,0.0028906+0.00013254i,0.0018863-0.00012112i,0.00074071+0.00010811i,-0.00019594+0.00031393i,-2.6291e-05+0.00039511i,0.00067261+0.0003795i,-0.00039538+0.0004656i,-0.0011757+2.9019e-05i,-0.00070447-0.00051588i,-6.022e-05-0.0006349i,0.00023701+4.036e-05i,0.00017464+0.00051747i
-0.0038319+0.0023832i,-0.0006818+0.0010454i,0.0018465+0.00047531i,0.0031706-0.00053441i,0.0030184+0.00025068i,0.0020405+0.0016975i,0.00095015+0.001982i,0.00010977+0.00095786i,0.00026945-0.00041935i,0.0010394-0.00098005i,0.0010175-0.001568i,-0.00054134-0.0016925i,-0.00097428-0.00091657i,-0.00058398-0.00047896i,-0.00027989-0.00033542i,6.5183e-05+0.00024438i,-9.2984e-05-0.00030241i,-0.00069794-0.001249i,-0.001086-0.0010216i,-0.0014907-0.00027015i,-0.00090719+0.00049899i,0.00049641+0.00039162i,0.00057411-0.00014035i
0.0014185+0.0040812i,0.00022515+0.0030499i,-0.00024154+0.0024017i,-0.001588+0.00070188i,-0.0025885-0.00094202i,-0.0038992-0.0015528i,-0.0048658-0.0011086i,-0.0042639-0.00068637i,-0.0036951-0.0015873i,-0.0032516-0.0020538i,-0.0026675-0.0013667i,-0.0024535-0.00046894i,-0.0018094+0.00025808i,-0.00023782+0.00030412i,0.0006367-0.00053865i,0.00017921-0.0012255i,-0.00021802-0.00070042i,-0.00016004-0.00078432i,0.00043529-0.0012066i,0.00038746-0.00075988i,-0.00042466+4.6393e-05i,-0.00089697+0.0012435i,-0.00093528+0.00053734i
-0.0024798+0.00052361i,-0.0010022+0.0012374i,-0.00077617+0.0029023i,6.5113e-06+0.0020983i,0.0017367+0.0011967i,0.0022129+0.0013037i,0.00093301+0.0017452i,-0.00061017+0.001926i,-0.0019335+0.0017197i,-0.0016437+0.0014644i,3.5672e-06+0.0012353i,0.0011785+0.0012611i,0.0012162+0.00072508i,0.0013435+0.00018842i,0.0015925+0.00011761i,0.00094767-0.00052365i,0.00052898-0.0014038i,0.00031765-0.0018801i,0.00092776-0.0011736i,0.0017713+2.3277e-07i,0.0014006+0.0001036i,0.00077729-0.00061237i,0.00075187-0.00060152i
-0.0027209+0.0034433i,-0.00046113+0.002442i,0.0025691+0.001289i,0.0036484-0.0013034i,0.0019702-0.0024694i,-0.00087262-0.0023145i,-0.0022848-0.0011818i,-0.00043369+0.00032644i,0.0026591+0.0012582i,0.0045449+0.0015705i,0.0046089+0.00023732i,0.0038072-0.001466i,0.0026561-0.0023983i,0.0011681-0.0014366i,0.00060273-0.00025894i,0.0011767+0.0003135i,0.0015869+0.00096781i,0.0012277+0.00092449i,0.00084373+7.0555e-05i,0.00099615-0.00023001i,0.00034157-6.8146e-05i,-0.00037352-0.0011175i,0.00023142-0.0011785i
-0.0069231+0.0071844i,-0.0050697+0.005251i,-0.0020483+0.0069572i,0.0018872+0.005266i,0.004028+0.0018189i,0.0033456-0.0014163i,0.00061079-0.0011772i,-2.389e-05-0.00025229i,0.0011777-0.00070256i,0.0024731-0.00083915i,0.0025742-0.0015285i,0.0012142-0.002683i,0.00080184-0.0030356i,0.0012623-0.0019496i,0.0010695-0.00029417i,0.00097496+0.00097643i,0.00072634+0.001686i,0.00020592+0.0011748i,-0.000391+0.00058061i,-0.00055766+7.2615e-05i,-9.6747e-05-0.00037939i,-0.00020893-0.0011191i,-3.1874e-05-0.00085508i
0.018416-0.024353i,0.0093406-0.019392i,-0.0048065-0.024013i,-0.016781-0.015216i,-0.021043-0.0029011i,-0.014136+0.0045273i,-0.0025069+0.0025915i,0.0011554-0.0025761i,-0.0011635-0.0057657i,-0.007258-0.0055906i,-0.010789+8.7165e-05i,-0.0073096+0.005677i,-0.0031813+0.0068551i,-0.003061+0.0041708i,-0.0047257+0.0014348i,-0.004947+0.00078877i,-0.002345+0.0014637i,2.6803e-05+0.0019311i,0.00094334+0.002441i,0.00085682+0.0025186i,9.624e-05+0.0011574i,-0.00060392+0.00076028i,-0.00097511+0.0018885i
0.0068592-0.0055184i,0.0032203-0.0061184i,-0.00098371-0.0099493i,-0.004778-0.0092613i,-0.005089-0.0047076i,-0.0027601-0.00010545i,0.0001443+0.00046729i,0.00072387+2.4313e-06i,-0.0016686+0.00099312i,-0.0037876+0.0015533i,-0.0027978+0.0022224i,-0.0007785+0.0027546i,7.3934e-05+0.0029447i,-0.00030718+0.002503i,-0.001214+0.0015535i,-0.0019112+0.00073285i,-0.002227-0.00087093i,-0.0018848-0.0015707i,-0.00099917-0.00036935i,-0.00038704+0.0005135i,1.4322e-05+0.0009035i,0.00058519-4.1148e-05i,0.00060379-0.00054718i
0.003813-0.0026864i,0.0019535-0.0033077i,-0.0020316-0.0038517i,-0.0056911-0.0017513i,-0.004928-5.4098e-05i,-0.0022894-0.0004848i,-0.0013629-0.0019408i,-0.00063248-0.0022536i,0.001216-0.0021761i,0.0018456-0.0022381i,0.00050707-0.0015663i,-0.00038524-0.00038263i,-0.00068301-2.0336e-05i,-0.0012788-0.00031518i,-0.0011078-0.00083308i,-0.0010535-0.00048779i,-0.00062973-0.00043306i,8.1558e-05-0.0011682i,0.00031241-0.0014068i,0.00032226-0.0011109i,0.00034092-0.00012695i,0.00060187+0.0003993i,0.00067954+0.00029415i
0.0016448-0.0016468i,0.00056414-0.00018827i,-3.83e-05-0.0017121i,-0.00051823-0.0019872i,-0.0018862-0.00065779i,-0.0027709+0.00096349i,-0.001329+0.0010872i,0.00027733-0.0012019i,-0.00010286-0.0040286i,-0.00051365-0.0048003i,-0.00093187-0.0028552i,-0.001253-0.00023728i,-0.0012268+2.8488e-05i,-0.0012742-0.00060928i,-4.5647e-05-0.00050054i,0.001492-0.00045187i,0.0017478-0.00070631i,0.0012984-0.00091024i,0.00026041-0.00052798i,-0.00051788+6.8995e-06i,-0.00036653+0.00042222i,-0.00035046+0.0007003i,-0.00065639+0.0013367i
-0.0001402-4.5746e-05i,-0.00046914-0.0019459i,-0.00098335-0.0038343i,-0.001595-0.002141i,-0.0010906-0.00092415i,-0.0010688-0.0026998i,-0.001576-0.0037852i,-0.00227-0.0023366i,-0.0017197-0.00092124i,-0.00049711-0.0011008i,-0.00022763-0.00096181i,-0.00057838+0.00095397i,-0.0010026+0.0014523i,-0.00039699+0.00053177i,0.00067012-0.00024422i,0.00089488-0.0013152i,0.0016604-0.0013918i,0.0023027-0.00083018i,0.0020282-0.00014906i,0.0015697+0.00091068i,0.00068032+0.00076807i,-0.00065566-0.00012555i,-0.0013711-0.00029103i
