0.00014063+0.00077158i,-0.00044779+0.00045539i,-0.0013138-0.00055008i,-0.0013006+0.00077886i,-0.00086128+0.0027123i,-0.0009315+0.0018498i,-0.00094098+4.2194e-05i,5.807e-05+0.00047843i,0.0013055+0.0014552i,0.0011842+0.0010826i,0.0011849+2.2766e-05i,0.00097243-0.00085758i,-0.00030161-0.00078184i,0.00016063-0.00055284i,0.0013162-0.00036592i,0.00078269-0.00039424i,-0.00030174-0.00031817i,-0.001208+0.0005311i,-0.0010061+0.0007026i,-6.9412e-05+7.6793e-05i,0.00029399-0.00039527i,7.9957e-05-0.00066741i,-0.00019812-0.00034088i
0.0013809+0.0009558i,0.00069707+0.00040719i,-0.0005275+0.0006281i,-0.00089558+0.00084873i,-0.00023956+0.00021291i,-0.00015467-2.9782e-05i,-1.7099e-05+0.00013031i,0.00070672+0.00045568i,0.00031611+0.00085927i,0.00036371+0.00037115i,0.00048971-0.00046412i,-0.00088387-0.00026841i,-0.0013744+1.0866e-05i,-0.00070501-0.00016529i,-0.00033366-0.00024988i,-0.0001514-9.8431e-05i,-0.00023892+0.00020563i,-0.0002296+0.00031514i,-0.00015853-6.1747e-06i,-0.00015667-2.1539e-05i,-4.1619e-05+0.00012992i,-0.00026356+0.0001444i,-0.00056683+0.00021735i
6.6677e-06+0.00023759i,-0.00010233-0.0011478i,0.00044684-0.00076916i,0.0018185+0.00017186i,0.0023696-5.3592e-05i,0.0011376-0.00080346i,-0.0001211-0.00044551i,-0.00061817+6.101e-06i,-0.00031521-0.0006716i,-0.00010166-0.00080895i,0.00030517-0.00065177i,0.00068563-0.00071819i,0.00097527-0.00013657i,0.00050991-0.00029135i,-0.00018197-0.00082769i,-0.00021362-0.00032627i,-0.00031214-4.3971e-05i,-0.00075695-3.2284e-05i,-0.00090225+3.9168e-05i,-0.00024473-8.6821e-05i,3.5868e-05-0.00073045i,-0.00049613-0.00044611i,-0.00064273+0.00064162i
0.0016665+0.0016404i,0.001597+0.0021727i,0.00063451+0.0021326i,0.00051838+0.0014929i,0.001052+0.00071848i,0.00080812+0.0006386i,0.00075395+0.00093916i,0.00076842-0.00022017i,0.0003673-0.0012134i,-0.00021459-0.00095588i,-0.00054103-0.00069835i,-0.00051055-0.000144i,-0.00080997+0.00042561i,-0.0010135+0.00028971i,-0.00045965-0.00024383i,0.00052127-0.00036136i,0.0014109-0.00012205i,0.0013317+0.00034122i,0.00046061+0.0010762i,3.6413e-05+0.0010287i,0.00016889+0.0001043i,-7.4032e-05+7.1223e-05i,-0.00033138+0.00027023i
0.00045586-0.0033921i,-0.0016547-0.0013201i,-0.003067-0.00051089i,-0.0029164-3.1229e-05i,-0.0018403+5.4223e-05i,-0.00064974-0.00034555i,-0.00030152-7.2669e-05i,0.00015678-0.00020568i,0.00081366-0.0011923i,0.00017669-0.0013025i,-0.00056283-0.00032266i,-0.0001033+0.00015532i,-3.4789e-05-0.00010089i,0.00011465-0.00034124i,0.00069863-0.00092682i,0.0007152-0.00056058i,0.00063398+0.00011855i,0.00034104-0.00013283i,0.00025668+0.00047376i,0.00014143+0.00031303i,0.00036147-1.438e-05i,-0.0003794+0.00037872i,-0.0012092+0.00023312i
3.6092e-05+0.0027015i,0.0013897+0.0023107i,0.0018223+0.0019341i,0.0012634+0.0023186i,0.00093424+0.0013052i,0.00073759-0.00037359i,-0.00014124-6.0593e-05i,0.00018209+0.00052995i,0.0014101-4.1398e-05i,0.00076676-0.0004931i,-0.00028865+3.1158e-05i,-8.2236e-05-1.5985e-05i,0.00083139-0.00084532i,0.0018975-0.0010491i,0.0017108-0.0001952i,0.00019944+0.00017109i,-0.00077402-0.00038639i,-0.00035654-0.00017954i,-1.0888e-05+0.0005101i,-9.5398e-05+0.00089075i,-8.9255e-05+0.00056335i,-0.00034092+0.00070876i,-0.00064633+0.00065119i
-0.00064407+0.00060317i,-0.0010432+0.00095402i,-0.0019387+0.00064598i,-0.0014626+0.00066074i,-0.00080989+0.00040007i,-0.00079794+5.2089e-05i,-0.00049353-0.00040145i,0.000244-9.2054e-05i,0.00099599+0.00063484i,0.00096306+0.00071842i,0.00060285+0.00073644i,0.00034669+0.00036887i,-0.00014277-0.00046878i,-0.0006451-0.00033881i,-0.00061198+4.0922e-05i,7.4272e-05-0.00030532i,-0.00016025+8.2041e-05i,-0.00068864+0.00058928i,-0.00030368+0.00014748i,0.00011442-0.00014945i,-6.9616e-05+0.00047491i,-0.00048614+0.00063718i,-0.00032387+0.00045012i
0.0022866-0.00074579i,0.0024793-0.0015088i,0.0023731-0.0015141i,0.0024552-0.00021219i,0.0026585+0.00039924i,0.0015758-0.00081703i,0.00020597-0.00080099i,1.8662e-08+6.647e-05i,-0.0001258+1.3855e-05i,-0.00023163-0.00027729i,0.00011867-0.00056133i,0.00041607-0.00069079i,0.00067228-3.3434e-05i,0.00095254+0.00078417i,0.0004474+0.00023316i,0.00021139-0.0013568i,0.00041223-0.0011995i,4.5063e-05-0.00021519i,-0.00055777-0.00037781i,0.00038368-0.0001114i,0.00080761+0.0003964i,-6.7825e-06+5.1261e-05i,-0.00046383-0.0004538i
-0.0015348+0.0027947i,-0.00067558+0.002721i,-0.00010612+0.002797i,-0.00017804+0.0032057i,-0.00040989+0.0017565i,1.2069e-05-3.3245e-05i,-0.00053871-3.1873e-05i,-0.00063081+0.00092604i,0.0004796+0.00067819i,0.00040167-0.00017626i,-0.00038866-0.0001784i,-0.0002475+0.0006677i,6.9362e-05+0.0010459i,0.00041241+0.00043211i,9.7004e-05-0.00038366i,-0.00050213-0.00043071i,-7.3857e-05+4.5277e-05i,0.00040971+0.00011433i,0.0006037+2.9137e-05i,0.00052402-2.1744e-05i,0.00087982-0.00018442i,0.0011867-0.0001838i,0.00035536+0.00015336i
0.0033125-0.00067033i,0.0027979-0.001394i,0.0022543-0.00092764i,0.0019761+0.00014607i,0.0017013-0.00013786i,0.0014108-0.0005848i,0.0010229-3.625e-05i,0.0013665-7.9688e-05i,0.0012734-0.00041218i,0.00067922-0.00078694i,3.371e-05-0.001167i,-0.00052937-0.00042374i,-0.00053102-0.00018165i,-0.00013971-0.00081204i,0.00023678-0.0010469i,-2.2651e-05-0.00027725i,8.7925e-05+0.00051652i,0.00048936+2.3798e-05i,0.00031732-0.00076613i,0.00043491-0.00092336i,0.00049535-0.00054533i,0.00045281+0.00033337i,0.00044806+0.00053697i
2.8127e-05+0.00081279i,0.00041002+0.00015678i,0.00012533+0.0009696i,0.00019948+0.0019555i,0.0006733+0.0011196i,0.00057191-0.0003727i,0.00012894+0.00066621i,0.00030355+0.0013537i,3.7156e-05+0.00061079i,3.9915e-05-0.00024629i,9.028e-05-0.00043765i,-0.00073064-0.00011997i,-0.00059882-0.00033118i,-0.00012057-0.00092754i,0.00016197-0.00061112i,0.00014726-0.00010128i,-0.00072325-0.0001051i,-0.00060857-0.00026534i,0.00052476+6.2059e-05i,0.0007753+0.00034409i,-8.3304e-05+0.00057013i,-0.00058456+0.0006771i,-7.7404e-05+0.00053528i
-0.0029785+0.0004639i,-0.0015056-0.00016367i,-0.0012884+0.00038348i,-0.0011767+0.0013021i,-0.00055659+0.00096415i,-0.00018643-0.00042994i,-5.2735e-05-0.00064321i,-0.0004612+0.00058206i,-0.00047488+0.00053476i,0.00013077-0.0005506i,7.6758e-06-0.00087604i,-0.00055937-0.00025058i,-0.00048704-0.00030545i,0.00017416-0.0011825i,0.00076084-0.00092721i,-6.4221e-05-0.00017497i,-0.00086454-0.0002893i,-0.00044398+2.1476e-05i,2.616e-06+0.00024947i,6.8834e-05+4.8676e-05i,0.000624+6.8049e-05i,0.00066416-0.00014359i,5.8742e-06-7.1443e-06i
0.0047192-0.0029163i,0.002627-0.0018078i,0.001192+5.8152e-05i,0.00069273+0.0015142i,-0.00010879+0.0011454i,0.00027424+0.00018709i,0.00055433+0.00029234i,-1.882e-06+9.3098e-05i,0.001023-0.00066929i,0.0018199+0.00011051i,0.001387+0.00028441i,0.00089897-0.00064021i,0.00049036-0.00059093i,7.8873e-05-0.00067246i,-0.00079979-0.0013806i,-0.00041495-0.0011168i,0.00082593+8.087e-05i,0.00048314+0.00071844i,9.8909e-06+0.00062123i,-8.9987e-05+0.00048921i,-0.00099077+0.00060218i,-0.00083619+0.0001424i,-0.00015027+5.4807e-05i
-0.00070861+0.0003996i,-0.0017705+0.0008352i,-0.001916+0.00039415i,-0.0017131-9.1053e-06i,-0.0012173+4.3209e-05i,-0.00093189+0.00040577i,-0.00086894+0.00055787i,0.00039107+0.00012086i,0.0014143-0.00012832i,0.00089237+4.1119e-05i,0.00011502-0.00014155i,0.00017306+0.00052235i,0.0010061+0.00081412i,0.00085137+0.00060764i,-0.00011133+0.0010434i,-0.00038068+0.00058866i,-0.00017391+0.00034245i,0.00031939+0.00027669i,7.3154e-05+0.00037782i,-0.00029284+0.00041847i,0.00027966-0.00029852i,0.00027859+7.5685e-05i,1.748e-05+0.00029186i
0.0014209-0.0017567i,0.00098194-0.00088218i,0.00011336+0.00035978i,4.5467e-05+0.00090153i,0.00059934+0.00074131i,0.00050071+0.00021495i,-0.00045368+0.00018545i,0.00015128+0.00054824i,0.00088645-0.00015628i,0.00097414-0.00048948i,0.0015236-0.00044859i,0.0013766-0.00042264i,0.00059998-0.00019208i,-7.1843e-06+2.0521e-05i,-0.00016668+8.1399e-06i,-0.00017174-5.1927e-05i,4.2072e-05-0.00059118i,-0.00018765-0.00052703i,-0.00019604+0.00022562i,-0.00035244+0.00014983i,-0.00077256-0.00037946i,-0.00062364+7.0429e-05i,2.1923e-05+8.7806e-05i
0.0019289+0.00057767i,0.0014953+0.00073973i,0.00045555+0.0009612i,0.00011567+0.00094978i,4.2832e-05+0.00058227i,-8.2197e-05+0.00036602i,-0.00039008+0.0003957i,-0.00087426-0.00021566i,-0.00045132-0.00023902i,-1.52e-05+0.00016907i,-8.1929e-05-0.00012877i,-0.00019129+0.00014282i,-0.00037361+0.00037879i,0.00031604+0.00026496i,0.000772+2.6439e-05i,0.00044061-0.00054522i,0.00020152-0.00028161i,-0.00038893+0.00043439i,-0.00029812+0.00057541i,0.00019242+0.00091521i,-0.00063306+0.00084019i,-0.00065925+0.00047381i,-0.00051374+0.0010705i
-0.004231+0.00012853i,-0.003866+0.002231i,-0.003714+0.0027645i,-0.0022537+0.0019246i,0.00013235+0.0013882i,0.00058509+0.00061496i,0.00016731+0.00021381i,0.0001878-9.5391e-05i,0.000228-0.00065061i,0.00038611-0.00027856i,0.00037514-0.00032577i,0.00037018-0.00062816i,0.00059789-0.00034827i,0.00085722+1.191e-06i,0.0004102-0.00021757i,-6.6953e-06-0.00091215i,0.00015894-0.00016025i,0.000199+0.0011036i,-0.00010631+0.00025703i,-0.00033325-0.00063312i,-0.00097984-0.00043073i,-0.0015259-6.9857e-05i,-0.0018108-0.00034772i
0.0027543+0.00041618i,0.0011962-0.00026251i,0.00090638-0.00019624i,0.00055327+0.00083557i,-3.9054e-06+0.00086634i,-0.00014478-0.00061985i,-0.00075203-0.0012276i,-0.00026673-0.00079286i,0.00079366+2.728e-05i,1.3661e-05+0.00058426i,-0.00045358+0.00061181i,4.1261e-05+0.000755i,-0.00042499+0.00030825i,-0.00080311-0.00077237i,-0.00088058-0.00067662i,-0.001517+0.00026434i,-0.0012536+0.00014099i,0.00035905-0.00019254i,0.00061865+0.00042265i,0.00057145+0.00080289i,0.0012681+7.5626e-05i,0.0010037-0.00071263i,0.00056503-0.00036481i
0.0017349+0.0011261i,0.0020258-1.9621e-05i,0.0025169+0.00045612i,0.0022582+0.0012846i,0.0014232+0.00078703i,9.9885e-05-0.00032858i,-0.000156+7.7343e-05i,0.00033905+0.00070717i,0.00021578-0.00040314i,0.00020438-0.0011638i,0.00074013-0.00014096i,0.00094819+0.00027694i,0.00062271-0.00010802i,0.00031901-0.00049744i,0.00011518-0.00088443i,-6.5614e-05-0.00083397i,-0.00039281-0.00018388i,-0.00033929+0.00051209i,0.00031623+8.3633e-05i,-5.6731e-06-0.00048488i,-0.00010934+7.5291e-05i,0.00078092+0.00031173i,0.00080137+0.00024638i
-3.3254e-05+0.00029246i,-0.0010913-0.00059011i,-0.001225-0.00041167i,0.00011863+0.0010711i,0.00093904+0.0019622i,0.0002441+0.00086953i,-0.00024132+0.0002814i,0.00037326+0.00097388i,0.00094976+0.00078424i,0.00082963-5.2218e-05i,0.00046958-2.4737e-05i,0.00045301-0.00027399i,-0.00012547-0.00041968i,-0.0011049-0.00017112i,-0.00084857+0.00021574i,-8.7131e-05+0.00013463i,0.00021805+6.0678e-05i,-2.0752e-05+0.00029483i,-0.00017756+1.5363e-05i,-0.00012539-0.00032714i,0.00051062-0.00016467i,0.00058108-0.00037243i,-0.000308-9.3538e-05i
0.0028208-0.00086431i,0.00092806-0.00089594i,-0.0004885+8.3553e-05i,-0.00095773+0.00095151i,-0.0020977+0.00048079i,-0.0023449-2.1251e-05i,-4.9754e-05+0.00040014i,0.00075698+0.00075829i,-0.00012476+0.00038134i,-0.00062847-0.00045868i,-0.00035142-0.00067352i,8.6663e-05-0.00026246i,0.00029604+0.00022355i,0.00025038+0.00037719i,-0.00013123+6.1251e-05i,-0.00025899-0.00019907i,-0.00030105+9.9691e-05i,-0.00041328-0.00020248i,0.00063806-0.00082867i,0.00097361-0.0007638i,0.00018505-0.00030419i,-0.0005404-0.00017407i,-0.00018889-0.00032192i
0.00017493+0.00019001i,-0.00081292+0.00059036i,-0.0018893+0.0011607i,-0.0013282+0.0015438i,-0.00068366+0.0015345i,0.00021512+0.00039827i,0.0016143+0.00042875i,0.0019453+0.00081171i,0.0013152-0.00030118i,0.0006843-1.1088e-05i,0.00028066+0.00077672i,0.00020885+0.00038833i,0.00057873-0.00042013i,0.00050261-0.00084974i,0.0001081-0.0013202i,-0.00048417-0.00060293i,-0.00067327+0.00043763i,0.00026795+0.00034622i,0.00079939+0.00019871i,0.00048686+4.83e-05i,0.00016602-0.00047142i,-0.00081984-0.00060503i,-0.0010186-1.6482e-05i
-0.0024034-0.0031587i,-0.0012566-0.0012243i,-0.00068986+0.0009988i,-0.00072683+0.0020641i,-0.00066532+0.0015642i,0.00027176-0.00023812i,0.00098153-0.00089163i,0.0012137+3.9992e-05i,0.00085633-0.00043121i,0.00062627-0.0011735i,2.7739e-05-0.00091476i,-0.0008655-0.0005358i,-0.0011767+0.00048252i,-0.00071772+0.0012244i,-0.00045629+0.00051457i,-0.00024575-0.00020099i,0.00024682-0.0001157i,0.00061126-1.6762e-05i,2.5791e-05-0.00045857i,-0.00033966-0.00027552i,-0.00017156+6.7155e-05i,-3.3521e-05+5.7917e-05i,-0.00029946+0.00071716i
0.0024264-0.0005008i,-8.7876e-08-0.00037819i,-0.0015681-6.3747e-06i,-0.0010456+0.00071807i,-0.00056422+0.00046254i,-0.00041369-0.00020595i,6.4788e-06-0.00045069i,0.00015722-0.00022689i,0.00082599-0.00029047i,0.0011257-9.9937e-05i,0.00071191-0.00014721i,0.00096449-0.00072889i,0.00098102-0.00061788i,0.00099116-5.5331e-05i,0.00073379-1.2144e-05i,0.00022866-0.00066612i,0.00034509-0.00073312i,0.00043662+0.00018139i,0.00049399+0.00019306i,0.00071539-0.00015522i,0.00039579-5.2675e-05i,1.4304e-05-3.6684e-05i,0.00029716-3.0658e-05i
0.00078768-0.0017224i,3.6032e-05-0.0017117i,-0.00027484-0.0012318i,-0.00090989+0.00069792i,-0.0013386+0.0010803i,-0.0012743+7.7466e-05i,-0.00087935-1.3918e-05i,-0.00038796+0.00067552i,-0.00024853+0.00025235i,-0.00089597-0.00086543i,-0.00098163-0.0014629i,-0.00077301-0.0006698i,-0.00095931-0.00019518i,-0.00033494-0.00037517i,5.0188e-06-0.0009445i,-0.00059861-0.00029793i,-0.0011622+0.00048597i,-0.00069568+0.00042385i,-0.00033724+6.5229e-05i,0.00015966+0.0001172i,0.00055255+0.00036449i,-6.5094e-05-0.00021812i,-6.4039e-05-0.00090314i
-0.001728+0.00050255i,-0.0012084+0.0012833i,-0.0011586+0.0024214i,0.00025352+0.0020013i,0.0020912+0.0010105i,0.0019339-0.00038884i,0.00059495-0.00095001i,-0.00032953-0.00025624i,-0.00026048+0.00044998i,0.00065069+0.00025245i,0.0010914-3.8141e-05i,-3.678e-05-9.9425e-05i,-0.00097324-0.00039941i,-0.00024614-0.00081211i,0.00014204-0.00078993i,-0.00044611-3.9416e-05i,-0.00058791+0.00040305i,-0.00021331-0.00013985i,-0.00030307-0.00063125i,-0.00029378-0.0003961i,1.101e-05-0.00040001i,0.00042306-0.00051485i,-0.00014791-0.0001241i
0.0026564+0.0011989i,0.002003+0.00039235i,0.00011762-0.00027189i,-0.00011946-0.00050276i,0.0011098-0.00022226i,0.0010053-0.0002193i,0.00024489+0.00028805i,0.00018999+0.00025806i,-0.00016096-0.0007296i,-0.00062463-0.00077817i,-7.2705e-05-9.8534e-05i,0.00090738-0.00028191i,0.0010594-0.00067978i,1.491e-05-0.00045995i,-0.00036659-0.00022589i,6.5761e-05-0.00043935i,0.00014711-0.00034396i,3.5842e-05-4.4936e-05i,3.3625e-05-0.00041934i,0.00025963-0.0007133i,-2.5817e-05-0.00084014i,3.8786e-05-0.00063039i,7.7811e-06-4.5338e-05i
-0.0009837+0.00058876i,0.00015913+0.00049494i,-0.00026466+0.0002896i,-0.00017684+0.00082226i,0.00091981+0.00052029i,0.001185+0.0001824i,0.00021747-0.0004454i,-0.00027033-0.00092852i,7.5351e-05-0.00077326i,9.223e-05+0.00021652i,1.1892e-05+0.00061737i,0.0006114+0.00051618i,0.00048567+0.00051396i,0.00014107+0.00049609i,0.00013351+5.6747e-05i,0.00070267+0.00026332i,0.00086241+0.00086142i,0.00041023+2.8541e-05i,-4.7634e-05+0.00022712i,-0.00024937+0.00099473i,-0.00034472+0.00070072i,-0.00080606+0.0003347i,-0.00044729+0.00013295i
0.00051064+0.0010497i,0.00028893+0.00094773i,-0.00034052+0.001914i,0.00015234+0.0022371i,0.0017859+0.0012024i,0.0017574-0.00060187i,0.00035527-0.00086206i,-0.00063088+0.00018212i,-0.00012947+0.00062629i,0.00096703+6.2509e-05i,0.0010407-0.0005537i,0.00017812-0.00023957i,-2.3811e-06-0.00028767i,-0.00011672-0.0010282i,-0.00015257-0.0012452i,-6.6e-05-0.00063152i,0.00063455-3.674e-05i,0.00065923+0.00066922i,-0.00013764+0.00031129i,8.4369e-05-0.00033244i,0.00024886+6.9104e-05i,0.00018973+0.00048643i,0.00014806+0.00020327i
0.0019674+0.00029498i,0.00093391+0.00080383i,-8.644e-05+0.0023858i,0.00020644+0.0027941i,0.00077217+0.00079285i,0.00057947+0.00014997i,-9.8685e-05+0.0013737i,-0.00057027+0.0016718i,9.6401e-05+0.00092556i,0.00045211+0.00060895i,0.00022128+0.00081737i,0.00050744+0.00063621i,-0.00010218-0.00044978i,-0.00072946-0.00092539i,-0.00034259-9.3756e-05i,-0.00045077+0.00019432i,-0.00075237-0.00027821i,-0.00018209+0.00023747i,0.0006531+0.00064053i,0.0010841-2.403e-05i,0.00061072-0.00018636i,0.00027053+0.0001722i,0.00034946+0.00079589i
-0.0019303+0.0005137i,-0.0020238+0.00044554i,-0.0026433+0.0011362i,-0.0021164+0.0015969i,-0.00053344+0.0013223i,0.00053698+0.0010847i,0.00065275+0.0015558i,0.00047098+0.002109i,0.00048333+0.0012026i,0.0006546+3.3631e-05i,4.9752e-05-0.00018772i,-0.00020978+0.00046118i,-0.00073418+0.00041598i,-0.00027288-0.00093299i,0.00076161-0.0006851i,4.2237e-05+0.0005302i,-0.001235+0.00027258i,-0.0018309-6.4384e-05i,-0.00085266-5.0054e-05i,3.4854e-05-0.00016271i,-0.00053148+5.8821e-07i,-0.00037186+0.00034568i,0.00044972+0.00093204i
0.0027255-0.0011292i,0.00080458-0.0023554i,-0.00065361-0.0021557i,-0.0011386+0.00012525i,-0.00053061+0.00039691i,6.2518e-05-0.00038226i,0.00031984+0.00021043i,0.00060104-2.4646e-05i,0.00029013-0.00082887i,8.3864e-05-0.00070163i,-9.8499e-05+0.00035933i,-0.00086878+0.0012536i,-0.00098309+0.0013417i,6.8913e-05+0.00069779i,0.00057295-0.0001888i,0.00043297-0.00023367i,0.00031599+3.7674e-05i,3.0569e-05-0.00044142i,-0.00012645-0.00063302i,-0.00013383-0.00018791i,-0.00039296-0.0001117i,-0.00083923-0.00040355i,-0.00096531-0.00073253i
