-0.0016656+0.0013501i,-9.0862e-05+0.0010856i,-0.00066262+0.0013291i,-0.00043905+0.0014584i,-0.00049302+0.0018332i,-0.00040263+0.0017943i,0.00018349+0.0018383i,9.07e-05+0.0023411i,0.00018801+0.0015804i,0.0010506+0.00023858i,0.0012973-0.0003437i,0.00036614-0.0002306i,-0.00066292+1.4627e-05i,-0.00088967-0.00026i,-0.00087948-0.00031021i,-0.0010216-0.00020755i,-0.00023437-0.00061325i,0.00027945-0.00026881i,0.00037271+0.00064277i,0.00046939+0.00092184i,9.2736e-05+0.00049524i,-9.4678e-05-0.00026354i,0.00014969-0.00027967i
0.0030483-0.0006652i,0.0028259-0.0013434i,0.0027589-0.0017804i,0.0023738-0.0015591i,0.0011642-0.0013767i,-0.00037997-0.0012986i,-0.0007072-0.00056529i,-0.00099879+7.8129e-06i,-0.0011498+7.3362e-05i,-0.00046132-0.00029825i,-0.00084317-0.00021307i,-0.0013185+0.00084902i,-0.00061799+0.00092781i,-0.00012871-1.4436e-05i,-0.00039613+0.00025635i,-0.00084987-2.9268e-05i,-0.00032031-0.00064051i,-0.00015745+0.00024732i,-0.00062491+6.1374e-05i,-0.00066641-0.00090988i,-0.0006957-0.00082842i,-0.00037871-0.00079072i,0.00025944-0.00058035i
-0.0002884-9.7839e-05i,-2.1828e-05+0.00094453i,-0.00013359+0.0018101i,-0.00050102+0.0025001i,-0.0012394+0.0022774i,-0.00086628+0.0025187i,0.00017846+0.002901i,0.00052153+0.0020532i,0.00035074+0.0011589i,0.00011632+0.0013347i,0.0003477+0.0011772i,0.00028093+0.00044153i,4.3562e-05+0.0002249i,0.00011206+0.00022824i,0.00022976+0.00021711i,5.2882e-06+0.00027261i,0.00015887-1.8148e-05i,0.00040625+0.00064346i,0.00012521+0.0011499i,-0.00029515+0.00049785i,-0.00072824+0.00045164i,-0.00094507+0.00070227i,-0.00088595+0.00056911i
-0.00071465+0.00050933i,-0.00040793-0.00060849i,-0.00012988-0.00086412i,-6.5528e-05+0.00034823i,0.00057516+0.0011619i,0.00060902+0.00076668i,0.0001795+0.00025763i,0.00043+0.00036999i,0.00097198-0.00016913i,0.00052563-0.00077637i,-1.7031e-05-0.0008514i,0.00010649-0.0011095i,0.00059999-0.00028961i,0.0012784+0.00021247i,0.0015754-7.4587e-05i,0.00064365-0.00087287i,0.00040993-0.00082785i,0.00067568-0.00023096i,0.0010563+0.00019472i,0.0010714-0.00014767i,0.00083067-0.00079936i,0.00093462-0.000357i,0.00095475-2.464e-06i
0.0011452-0.00057751i,0.0014635-0.00027542i,0.00055671-0.00072953i,-3.6988e-05-0.00089961i,0.0003371-0.00088184i,0.00057439-0.0011882i,0.00055802-0.00050789i,0.00011503+0.00027651i,-2.3698e-05+0.00033965i,0.00017067+0.00040808i,0.00035975+0.0006364i,0.00044992+8.024e-05i,0.00019355-0.00040165i,-0.00019172+7.6815e-05i,-0.00049387+0.0012055i,-0.00078718+0.00072669i,-0.0006639-0.00063455i,-0.0001487-0.00094302i,0.00026483-0.0010066i,0.00045643-0.00087015i,0.000376-0.00067743i,0.00083812-0.00060789i,0.0011094-0.00016149i
-0.00017965-5.9069e-05i,0.00030625-4.84e-05i,0.00010716+0.0010496i,0.00013643+0.0021501i,0.00022372+0.0019782i,0.00070357+0.0011272i,0.0008251+0.00030221i,0.00025303+0.00086593i,-0.00017917+0.0016471i,-0.00059993+0.0011332i,-0.00071223+0.00043188i,-0.00034643+0.0009242i,0.0005101+0.0011673i,0.00074484+0.00083088i,-0.00040436+0.00023593i,-0.00067443-0.00043232i,-0.00042038-0.00061344i,-0.0008492-0.00051698i,-0.0007012-0.00051622i,0.00010351+0.00015915i,0.00054979+0.00025469i,0.00064739-6.9208e-05i,0.0011135-1.8333e-05i
-0.00017389+0.00013735i,0.00056515+0.0008887i,0.00063744-0.00020556i,0.00060662-0.00091717i,0.00044836-0.00020146i,0.00043305+0.00053982i,0.00086209+0.00074486i,0.0009214+0.00055109i,0.00046917+0.0003625i,-0.00059758-0.00049395i,-0.00046099-0.0012823i,2.7514e-05-0.00053952i,-0.00015634+0.00037869i,0.00029838+7.2571e-05i,0.00079634+1.7006e-05i,0.00060582+0.00048214i,-3.1549e-05-0.00033467i,-0.00012873-0.00067163i,-0.00016875+6.3635e-05i,-0.00032252+0.00041298i,0.00014268+0.0001415i,0.00040919-0.00018037i,-6.4696e-05+0.0001606i
0.00045034+0.00097394i,0.0011237+0.00061014i,0.0017983+0.00096184i,0.0015133+0.00088515i,0.0012821+0.00011388i,0.0012375-0.00054814i,-6.1415e-05-0.00032631i,-0.0010064-5.5093e-05i,-0.00067864+9.1883e-05i,-0.00036485+7.8074e-05i,0.00010538+5.4979e-07i,0.00013485-1.0979e-05i,-8.8288e-05+0.00043295i,-0.00040078+0.00073309i,6.7907e-06+0.00086221i,0.00068089+0.00040703i,0.00035139+0.00075592i,-0.00071364+0.0010964i,-0.00091649+0.00014537i,-0.0005903-8.0656e-05i,0.0002434+0.00017083i,0.00098332+0.00018897i,0.001006+0.00026505i
0.00086245+0.00095096i,0.001467+0.00075498i,0.0012146+0.001169i,0.0016167+0.00089481i,0.0016709+0.00093841i,0.00014088+0.0011044i,-0.00038205+0.00070552i,-4.3842e-05+0.00044371i,-0.00071772+0.00039349i,-0.00092515-0.00026997i,-0.00037444+3.7393e-06i,-0.00053416+0.00066828i,-0.00041763+0.00050251i,0.00013325+0.00021853i,-0.00030762+0.00019258i,-4.6426e-05+0.00021298i,0.00050586+0.00021094i,0.00022787-0.0001305i,0.00033915-0.00033847i,0.0007108-0.00044278i,0.00056536-0.00035362i,-5.6609e-05+0.00011551i,-0.00039526+0.00047448i
-4.7089e-05+0.00035029i,-1.3905e-05+0.00010645i,0.00044302-0.00039045i,0.00093459-0.00049365i,0.0012643-0.00011646i,0.00097994-0.00018436i,0.00019223+1.2619e-05i,-0.00054672-0.00036439i,-0.00058716-0.00094991i,-0.00040102-5.7819e-05i,-8.2728e-05+0.0005021i,-0.00028596+0.00015194i,-0.0007875+0.00017422i,-9.9437e-05+0.00027335i,0.00064575+0.00031351i,0.00062158+0.00015712i,0.0007956-0.00018846i,0.00054935-7.2031e-05i,0.0002215+0.00046522i,0.00014156+0.00087478i,-0.00020812+0.0008393i,-0.00071545+0.00091287i,-0.0011391+0.00055101i
0.0020705+3.566e-05i,0.0019426-0.00057636i,0.0012939-0.00076808i,0.0007112-0.0012635i,6.6862e-05-0.0014774i,-0.0001228-0.00053853i,-0.00012292+0.00072526i,-0.00013567+0.00090054i,-0.00014029+0.00087852i,0.000491+0.0009102i,0.00077243+0.00064091i,-8.615e-05+0.00049489i,-0.0002167+0.0010477i,2.3859e-06+0.00080564i,-2.3159e-05+0.00021438i,-9.6312e-05-0.0001505i,0.00025039+0.00029269i,0.00051879+0.0010393i,-0.00025337+0.00066018i,-0.00080164-0.00030271i,0.00010834-0.00076612i,0.000673-0.00017661i,0.00089323+0.00022853i
-0.0008855-0.00036058i,-0.0010337+0.00057415i,-0.0013384+0.0013208i,-0.0016622+0.0017155i,-0.0012725+0.0014825i,-0.00074955+0.00085842i,-0.00057266-2.8085e-05i,-0.00071443-0.00014917i,-0.00051117+0.0004252i,-0.00018777+0.00023865i,0.00012471-0.00012063i,0.00054799-8.732e-05i,0.00097065-0.00031948i,0.0010014-0.00032014i,-0.00010655+9.3688e-05i,-0.00078465-0.00010331i,-0.00060861+1.349e-05i,-0.00082497+8.1422e-05i,-0.00026062-1.0856e-05i,-8.3106e-05+0.00012277i,-0.00029568-0.00013215i,-0.0001037-0.00012567i,-0.00030856+0.00039907i
0.00067877-0.00038103i,0.0014005-0.00095225i,0.0021357-0.0016897i,0.0016158-0.0020627i,0.00071258-0.0012749i,-0.00041538-0.00022273i,-0.0012774+0.00018097i,-0.0011139+4.7776e-05i,-0.00034403+0.00087347i,-0.0003645+0.00076411i,-0.00050496-6.2203e-05i,-0.00036581+0.00025809i,-0.000198+0.00011955i,-0.00012987-0.00056806i,0.00038523-0.00063681i,6.4399e-05-0.00057254i,-0.00069968-0.00061672i,2.5052e-05-0.00045073i,0.00091739-0.00021585i,0.00010898-0.00031667i,-0.00037045-0.00060773i,7.6119e-05-0.000121i,-0.00012412-0.00010389i
-0.0004249-0.00038427i,-0.00026256+0.00058252i,-0.00020963+0.0007901i,0.00026854-0.00036172i,0.0011232-0.00082332i,0.00038288-0.00063104i,-8.6432e-05-0.00047719i,-0.00051692-0.00052183i,-0.00098942+9.1828e-05i,-0.00049904+0.00043005i,-0.00045646-0.00016238i,-0.00069268-0.00074456i,0.00022293-0.0013799i,0.0006518-0.0009855i,7.0708e-05+3.2355e-07i,-0.00080897-0.00018524i,-0.00072631-0.00044752i,0.00015362-3.7785e-05i,0.00018276+8.8208e-05i,-0.00025396-0.00025217i,-0.00016218-0.00048988i,0.00012385-0.00075066i,0.00011577-0.0004137i
0.0011079-0.0002492i,0.0011809-0.00026601i,0.0010964+0.00035792i,0.00122-4.6167e-06i,0.00099486-0.00030206i,0.00049723+0.00051782i,0.00043922-5.7127e-05i,-0.00037046-0.001301i,-0.00083392-0.0013483i,-0.00072681-0.00075981i,-0.00027864-0.00056153i,0.00012182-7.0359e-05i,-2.4731e-05+0.00095557i,5.3797e-06+0.0014816i,-3.2729e-05+0.00060677i,-0.00039208+0.0002647i,-0.00031+0.00051354i,0.00015541+0.00013582i,0.00048743-0.00074807i,0.00010939-0.00071499i,-0.00051768+0.0004697i,-0.00019201+0.00051826i,0.0001337+9.6613e-05i
0.00055805-0.00049256i,-4.2964e-05-0.0011321i,0.0005449-0.0017552i,0.0010938-0.0012295i,0.00086648+0.00021065i,7.7784e-05+0.0014866i,-0.00053924+0.0010603i,-0.00039131+0.00015925i,0.00025665+0.0001243i,0.00029933+0.00032977i,-0.00096257+8.075e-05i,-0.0014479-0.00038295i,-0.0008747-0.0001869i,0.00026667+0.00070643i,0.0010652+0.00074107i,0.0012445-0.00026639i,0.0011527-0.00058535i,0.00045731+8.7588e-06i,-3.0524e-05+6.9588e-05i,5.7984e-05-6.2577e-05i,-0.00016061+0.0004878i,-0.00042023+0.0012802i,-0.00021825+0.00078632i
0.0011492+0.00011058i,0.0014963+0.00046524i,0.0015315+0.00074691i,0.0010207+0.0004396i,0.00094492+0.00056064i,0.001381+0.00097737i,0.00094914+0.00030626i,0.00065676-0.00068866i,0.00083939-0.00078071i,0.00060622-0.00083421i,0.00012609-0.00049408i,-0.0004995-0.0004031i,-0.0004078+0.00028631i,-0.00033672+0.00071349i,-0.00072538+0.00058369i,3.4738e-06+0.00018858i,0.001001-8.9548e-06i,0.00013957+0.00047747i,-0.00047456+0.00088721i,-0.00013608+0.00071435i,2.5019e-05+0.00063586i,0.00019241+0.0010504i,0.00048708+0.00060901i
-0.0027724+0.00075095i,-0.0024931+0.0018968i,-0.0024185+0.0022025i,-0.0014433+0.0015609i,0.00056203+0.0013345i,0.0010878+0.00045823i,0.00023111+3.9082e-05i,-0.00027668+0.00078742i,3.4212e-05+0.00068869i,0.00035037+0.00010207i,0.00042231-0.00025675i,-0.00026752-0.00056854i,-0.0002872-0.0010301i,-3.5586e-05-0.0011508i,-0.00052917-0.00017696i,-0.0012141+5.2506e-05i,-0.00096174-0.00035717i,-6.8782e-05+0.00010141i,3.0716e-08-4.3431e-05i,-4.4588e-05+0.00024848i,-0.00024922+0.0005404i,-0.00068716+0.00016407i,-0.00058912+0.00034572i
0.0010253-0.00037673i,0.0019945-0.00027146i,0.0023468-0.0014622i,0.0012666-0.0016904i,-0.00023857-0.00082047i,-0.00031911+0.0005379i,0.0001427+0.0013361i,4.6323e-05+0.00093753i,0.00010821+0.00051538i,-0.00015421+0.00015125i,-0.00038015-0.00036536i,-1.4517e-05-0.00068925i,0.00027911-0.00026452i,0.00098539+5.3748e-06i,0.0018532+0.00030971i,0.001028+0.00051648i,-9.4781e-05+0.00025836i,-0.00023183+0.00013078i,-0.00013683+0.00022437i,-0.00050367+0.00019558i,-0.0005857+0.00025956i,0.00040815+0.00069223i,0.00082831+0.00085527i
0.0010795+0.00033672i,0.0017827+0.00084395i,0.0012204+0.00085508i,0.0011254-0.00028145i,0.0014384-0.0010022i,0.00060157-0.00085854i,0.00027187-0.0003736i,0.00013397+0.00073038i,0.00014596+0.0013031i,0.00061365+0.0012251i,-0.00011336+0.00063145i,-0.0007891-0.00010978i,-0.00064588+6.8487e-05i,-0.00037396+0.00034982i,6.7054e-05+9.5312e-06i,0.00012238+3.5597e-05i,-3.6276e-05-0.0002065i,0.00026186-0.0006472i,0.00046736-0.00051272i,0.00079768-9.3148e-07i,0.00034861+0.00057496i,-0.0004481+0.00066981i,-0.00055244+0.0007222i
8.0418e-06-0.00055061i,-0.001764-0.00084055i,-0.0017043-0.00017887i,-0.0004463+0.00035835i,0.00025518+2.8101e-05i,-0.00013283-0.00014425i,-0.00095648+0.00027848i,-0.00084817+0.00040664i,1.6174e-05+0.00074478i,-0.0005272+0.00037593i,-0.0011642-0.00031471i,-0.00099029+0.00025704i,-0.00092852+0.00066877i,-0.00024687+0.00052791i,0.00030946+0.0002553i,0.00014912-1.7407e-05i,-0.00039727-2.9062e-05i,-0.00035752-0.00043731i,0.00019323-0.00092338i,0.00019218-0.00024473i,0.00038838+0.00063477i,0.0011413+0.00059243i,0.0011398+0.00044591i
0.0016942+0.00082937i,0.0026064+0.00077914i,0.0031367+0.00042514i,0.0020718+0.00056093i,0.00026472+0.00051658i,-0.00046798+0.00022164i,-0.00028906+0.00049181i,-0.000247+0.0003701i,-0.00074889-0.00014554i,-0.00022909-6.0588e-06i,0.00073776-0.00010721i,0.00021319-0.00079923i,-0.00012938-0.00045177i,0.00051901+0.00082071i,0.0003205+0.0012535i,-0.00014866+0.00023787i,-0.00010766-0.00029812i,-0.00022099-7.6662e-06i,-0.00037396+0.0008013i,-0.00045632+0.0010406i,0.00055343+0.00033011i,0.00080848+0.00051474i,0.00054556+0.00052412i
-4.6016e-05+0.00029214i,-0.00040184+0.00060865i,0.00029246+0.0015395i,0.00032293+0.0017152i,0.00036397+0.00082634i,0.00085134-2.3524e-06i,0.0006032+6.5832e-05i,-0.00027447+0.00032494i,-0.00092165+0.00015209i,-0.00020066+0.00035334i,0.00043472+1.4928e-05i,0.00027297-0.00049434i,-0.00015049+0.00037605i,-0.00014063+0.00039478i,-6.4931e-06+0.0003053i,-8.5229e-05+0.00016643i,-0.00018838-0.00040622i,-0.00024344-0.00028128i,9.9487e-05-6.3349e-05i,-1.2681e-05+2.3787e-05i,-8.1338e-05+0.00037659i,0.00013165+0.00025433i,0.00023398-0.00048324i
-0.0012369-3.1254e-05i,-0.0002836-0.00018424i,-0.0015445-6.5383e-05i,-0.0025841+0.0012637i,-0.0015996+0.0023622i,-0.00065156+0.0016955i,-0.00091329+0.00038152i,-0.0012695+0.00015056i,-0.00080281+0.00030263i,-1.3448e-05+0.00084052i,0.00039194+0.00096676i,0.00047079-7.389e-05i,0.00078023-0.00057006i,0.00084777-5.4661e-05i,0.00018566+0.0003177i,-4.992e-06+0.00041764i,0.00022155-8.0731e-05i,-0.00060778-0.00055264i,-0.00091484-0.00040718i,-0.00012906-0.00038167i,0.00048065-0.00057009i,0.00094703-1.1298e-05i,0.0010991-0.00017329i
0.00067565-0.00024077i,0.00028912-0.00053718i,0.00055757+9.7714e-05i,0.0011317+0.00066088i,0.0009541-7.1556e-05i,0.00054222+4.4405e-05i,0.00010024+0.00035263i,-7.7314e-05-0.00039163i,-0.00026271-0.00074449i,-0.00051957-0.00016535i,-0.00044916+0.00050716i,-0.00048503+0.00017741i,-0.00015497+4.9254e-05i,-2.7119e-05+0.00063831i,0.00029548+0.00044017i,0.00064287+1.4351e-05i,0.00010461-0.00047595i,-0.00062869-0.00050806i,-0.00081573-0.00031885i,-4.3813e-05-0.0009118i,0.00014152-0.0010116i,0.00019477-0.00060445i,0.00055137-0.00091808i
0.0029015+0.0031522i,0.0031437+0.0016412i,0.0043057+0.00070076i,0.0046365+0.00028771i,0.00362+5.8844e-05i,0.0014814-0.00057682i,5.9421e-05-0.00039742i,4.6725e-07+0.00038284i,0.00020035+0.00078134i,0.00053555+0.00030181i,0.00041325-0.00030294i,-0.00048531-0.00017182i,-0.0012899+0.00030603i,-0.0010253+9.6681e-05i,-0.00013684+0.00052805i,0.00018982+0.0011622i,0.00022744+0.001217i,0.00028443+0.000789i,0.00047409-2.6036e-05i,0.00044474-0.00011506i,-0.00039968-0.00036854i,-0.00086858-0.00078579i,-0.00043799-0.00089779i
-0.0007652-0.0005595i,-0.0011916-0.0013223i,-0.0013208-0.0019582i,-0.0014105-0.0015736i,-7.9338e-05-0.00088357i,0.00059561-0.00039015i,0.00044345+9.4917e-05i,0.00068175+0.00046902i,0.00038495+0.00043087i,-0.0010028+0.00021192i,-0.00056821-9.927e-05i,0.00078353-0.00023191i,0.00081883-0.00037905i,0.0001608-0.00022487i,-0.00019732-0.00010841i,-0.00057664-0.00033949i,-0.0006863-0.00033023i,-0.00020227+0.00064613i,0.00015024+0.00077486i,0.00034362+5.7583e-05i,-6.7429e-05-0.00041234i,-0.00092794-0.00051672i,-0.00070496+2.3242e-05i
0.0018055+0.00010406i,0.0016747+0.00082397i,0.0006005+0.0005337i,-0.0010409+0.00071111i,-0.0018133+0.0010302i,-0.00089535+0.0018959i,0.00015947+0.001938i,-0.00010869+0.0010828i,-0.00083847-3.6668e-05i,-0.00071479+9.5445e-05i,-0.0007913+0.00042308i,-0.0012916-0.00014404i,-0.0012262+0.00017578i,-0.00046863+0.00034489i,0.0006009-0.00033136i,0.0016504+0.00022427i,0.0010981+0.0012411i,2.7386e-05+0.0014267i,-0.00022492+0.0011026i,-0.00054968+0.00063052i,-0.00052601-0.00022338i,5.2388e-05-0.00023496i,0.00083856-6.5408e-05i
0.00025317+0.00061439i,0.00033321+0.0016529i,0.00012891+0.0015699i,0.00027448+0.00091506i,0.00068062+0.00098981i,0.0008281+9.9686e-05i,0.00068829-0.00068927i,0.00026685-0.00012714i,0.00070366+0.00020682i,0.00065743+0.0012249i,0.00028504+0.0014001i,0.00030403+9.833e-05i,2.6665e-05-0.00035019i,6.0085e-06-0.000115i,-0.00040969+0.00022082i,-0.00078044-0.00039669i,1.7271e-06-0.00060606i,-3.5276e-05-0.00021114i,-0.00060572+0.00023671i,-7.0821e-05+0.00098666i,0.00048717+0.0010041i,0.00010749+0.00071674i,-0.00010962+0.00037498i
0.00097639-0.0014411i,0.0013595-0.00091833i,0.00025257-0.0016191i,-0.00047864-0.0011364i,-0.0009154-0.00047275i,-0.00032296-0.00042554i,0.00090263+0.0002203i,0.00054026+0.00030059i,-0.00086496+0.00023233i,-0.00072356+3.9284e-05i,0.00031149-0.00043514i,0.00030755-0.00047529i,0.00066311-0.00043727i,0.0010431-5.2797e-06i,0.00044481+8.1819e-05i,0.00024263-5.7781e-05i,-0.00022796+2.9537e-05i,-0.00038468+5.6366e-05i,0.0002498+0.00023034i,0.00020083+0.00041779i,4.2648e-05+7.2197e-06i,-0.0001535-0.00046918i,-0.00043157+0.00033129i
-0.00013649+4.6566e-05i,-0.00021109-0.00038962i,-0.0013436-0.00092755i,-0.0018205-0.00047754i,-0.0013142-0.0001203i,-0.0011451-0.00043301i,-0.00042398-0.00037077i,-0.00029905-8.0799e-05i,-0.00094423-5.782e-05i,-0.00080397+0.00018663i,-0.00075833+0.00062723i,-0.00099836+0.00081145i,-0.00051078+0.00055546i,5.3573e-05-0.00011851i,-0.00037674-0.00055422i,-0.00083938-0.00014417i,-0.00032046-2.8427e-05i,0.0007882-0.00068367i,0.0015276-0.00058499i,0.0010539+0.0001498i,0.00031047+0.00020084i,0.00032388-1.7509e-05i,9.0217e-06+0.00041347i
-0.00057277+0.00018218i,-0.00070199+0.00073603i,-0.0011108+0.001022i,-0.00079715+0.00083058i,-3.9966e-05+0.00056804i,0.00053198-0.00044618i,0.00020315-0.00049698i,-0.00026331+0.00036865i,-0.00077477+0.0001943i,-0.0012355+0.00018336i,-0.0011986+0.00066287i,-0.00045644-0.00016266i,-6.3552e-05-8.9069e-05i,0.00029211-0.00017525i,-0.00071443+4.429e-05i,-0.0016224+0.0015179i,-0.0010153+0.00083139i,-0.00026154-0.00022042i,8.3437e-05+0.00015719i,0.00013685+4.8419e-05i,0.00035896+0.00011848i,0.00037933+0.00043669i,0.00026523+0.00011236i
