0.0011123-0.00079483i,0.00083912-0.0019356i,-2.1499e-05-0.0033936i,-0.0002778-0.0034572i,-0.00087343-0.0022236i,-0.0011394+0.00011565i,-0.00027617+0.001173i,0.00077678+0.0011887i,0.0013299+0.00064661i,0.0015393-0.00072285i,0.00063154-0.00080106i,-0.00048482-0.00072971i,-0.00018235-0.00049044i,-9.114e-05-4.7738e-05i,-0.0010282+0.00017547i,-0.0015539+0.00037477i,-0.00075576+1.6037e-05i,2.218e-05+0.00038602i,-0.0001615+0.00096401i,-0.00024899+0.0006166i,-0.00026907-0.00029484i,-0.0010289-0.00091236i,-0.00094164-0.0003435i
0.00092875-0.001865i,0.0011377-0.002795i,0.0017598-0.0031025i,0.00088142-0.001513i,-2.5568e-05-6.768e-05i,0.00054338-0.00017605i,0.0010716-0.00034211i,0.0010051-0.00023425i,0.00073855+8.1912e-05i,0.00033907-0.00043037i,0.00010264-0.0019984i,-0.00051585-0.0017654i,-0.0009051-0.00040478i,-0.0005705+0.00016067i,0.00016505-0.00024165i,0.00094025-0.00018964i,0.00094601-3.6844e-05i,0.00067235-0.00039578i,0.00048397-0.00040043i,-0.00018584-0.00031124i,-0.00044824+0.00013046i,-4.8353e-05+0.00020065i,0.00054704-0.00069447i
-0.00073253+0.00097197i,0.00043102-0.00010346i,0.00064007-0.00050213i,0.0008024-0.00078228i,0.00097205-0.00045417i,0.0015329-0.00043916i,0.0015497-0.00099575i,0.0011967-0.00084971i,0.0009119-0.00048569i,0.0012239-0.00017117i,0.00028899-5.2197e-05i,-0.0010056-0.00016419i,-0.00030843-0.0003679i,0.00060772-0.00038466i,0.00087798-0.00046905i,0.00020296-0.00030411i,1.4584e-05-0.0002924i,0.00016862-0.00016087i,-0.00018452-8.144e-05i,-0.00056994-0.00010169i,-0.00075427-0.00066776i,-0.00048106-1.6629e-05i,8.2483e-05-0.00015019i
-0.00028501+0.0016361i,-2.4422e-05+0.0012104i,0.00029156+0.0011711i,0.001358+0.0014776i,0.0023032+0.00036905i,0.0025074-0.001003i,0.0023489-0.00077695i,0.0012991-0.00033777i,0.0010814-0.00058596i,0.0013911-0.0001725i,0.0011367+0.00020248i,0.00056806-0.00043476i,-0.00084304-0.00077808i,-0.0011489-0.00072346i,-0.00023075-0.00078802i,0.00040007-0.0010921i,0.00029754-0.00070664i,0.00011019-0.00058371i,0.00029534-0.00053331i,0.00063054-0.0003957i,0.00046765-0.00035649i,0.00026277-0.00033618i,0.0008682-0.00041292i
-0.00031806-0.0006097i,-0.00011002+9.2089e-05i,-0.00013171-0.00025982i,0.00020598+9.4813e-05i,8.7912e-05+0.00083466i,0.00047208-0.00035857i,0.0015331-0.0014762i,0.0013141-0.0018706i,0.00048723-0.0014314i,-6.3275e-05-0.00058153i,-0.00079858-0.00037327i,-0.00080794-0.00061694i,-0.00037773-0.0010873i,0.00014556-0.00054824i,0.00040476+0.00028746i,0.00039818+0.00053454i,0.00066307+0.00031543i,0.00028431+0.00013171i,5.6053e-05+0.00070627i,4.0017e-05+7.4596e-05i,8.0486e-05-0.00062862i,0.00049435-0.00030239i,0.00023011+0.00018068i
-0.00029661+0.00061855i,-0.00020735+0.00012758i,-0.00042362-0.00024865i,-0.00039036-0.00055749i,0.00049228-0.00054778i,0.001595+0.0001296i,0.0020075+0.00034424i,0.0012345-0.00036109i,0.00057328-0.00057529i,0.00027574-3.2221e-05i,0.00032428-7.8461e-05i,0.00038933-0.00053293i,0.00027078-0.00052854i,0.0010297-0.00054702i,0.0011818-0.00054575i,-0.00017563-8.5905e-05i,-0.0004301-9.44e-05i,4.9558e-05-0.00022697i,9.8051e-05+0.00040281i,-2.0779e-05+9.291e-05i,9.1739e-05-0.00080275i,0.00019-0.0004504i,-0.00046826+9.4929e-06i
0.0019621+0.0006889i,0.0016682-0.00058519i,0.0023137-0.0023156i,0.0017088-0.0033609i,0.0005966-0.0023894i,0.00029328-0.0010045i,0.00054745-0.00072473i,0.00039674-0.00089068i,-0.00011561-0.00066823i,0.00030501-0.00019517i,0.00023492-0.00035456i,-0.0004144-0.00060518i,-0.00048989-0.00050889i,-0.00050418-0.00061928i,5.0726e-05-0.00037305i,0.00058496-0.00018106i,-0.00014872-0.00055333i,-0.00075917-0.0011148i,-8.5521e-05-0.00076451i,0.00052659+0.00011217i,0.00065527+0.00048116i,0.00042055-8.7356e-05i,0.00020926+0.00015007i
0.00085037+0.0020879i,0.0018642+0.000888i,0.002722+0.00034764i,0.0030483+5.766e-05i,0.0022967-0.0010013i,0.0015504-0.0015532i,0.00099689-0.0012648i,0.00048292-0.0011026i,0.00089563-0.00081627i,0.0010009-0.00032601i,0.00035563-0.00044878i,-0.0004007-0.0004223i,-0.00083738-0.00039171i,-0.00087741-0.00034507i,-0.0003158+4.6545e-05i,-0.00030182+0.00029805i,0.00026712+0.00067131i,0.00072317+0.0007473i,5.7695e-05-0.00063885i,0.00017154-0.001191i,-0.00045703-0.00040968i,-0.00068098+0.00024099i,-0.00068667-2.938e-05i
0.00021825-0.002014i,0.00036496-0.0013565i,-0.0010002-0.00073894i,-0.0016809-0.00076502i,-0.00091415-0.00021093i,0.00073862-7.4556e-05i,0.0017212-0.00031198i,0.0011728-0.00036317i,0.00012757-0.00060362i,0.00028649-0.00075381i,0.00076724-0.00068397i,0.00131-0.00091309i,0.0017186-0.00067845i,0.0011879-0.00090193i,-0.00016294-0.0012656i,-0.00024209-0.0011412i,0.00027645-0.0012323i,0.00072796-0.0012815i,0.00091639-0.0011387i,0.00053995-0.0010049i,0.00053396-0.0008226i,0.00070483-0.00070585i,0.00070202-0.00049778i
0.0016929+0.0024069i,0.0024075+0.00143i,0.002858+0.00041668i,0.0034148-2.048e-05i,0.0035945-0.00068286i,0.0020996-0.0015652i,0.0010149-0.0011875i,0.00061578-0.00034251i,7.4916e-05-0.0006729i,-0.00046861-0.00063672i,-0.00045069-0.00044498i,-0.00013135-0.00054482i,-4.6535e-05+9.2488e-05i,-0.00022851+0.0011407i,-0.00039956+0.0012236i,-2.0983e-05+0.00065243i,0.00044563+0.000137i,0.00042167+0.00026807i,0.00010049+0.0004566i,-0.00032814+0.00017842i,-0.00058964-0.00064463i,-0.00048618-0.00050992i,5.578e-05-0.00077683i
-0.0012958-0.00094114i,-0.00074368-0.00095505i,-0.00039795-0.0003288i,-8.873e-06+0.00076147i,0.0013814+0.0014016i,0.0021322+0.00020228i,0.0018698-0.001209i,0.00081953-0.0012706i,-0.0002093-0.00064769i,7.174e-05+7.1022e-05i,0.00018534-0.00014921i,0.00038086+4.4284e-05i,0.00047574+0.00052266i,0.00018239-0.00031958i,-0.00033149-0.00059343i,-0.0012464-0.00061004i,-0.001177-9.7815e-05i,1.8216e-05+0.00092492i,0.00070462+0.0012514i,0.00076163+0.00068905i,0.00025877+0.00040459i,0.00036895+0.00055309i,0.0003186-1.8199e-05i
9.0248e-05-0.00052084i,0.00038669-0.00014101i,6.0001e-05-0.00044988i,0.00075375-0.00085115i,0.0010467-0.0002842i,0.00091508+6.2236e-05i,0.0015607-0.00027805i,0.00082646-0.00056545i,-0.00024848-0.00053414i,0.00036328-0.00033868i,0.0010327+3.9885e-05i,0.00039274+3.7305e-05i,-0.00040262+6.8764e-05i,-0.00053287+4.8435e-05i,0.00028047-0.00089082i,0.00045612-0.0013616i,0.00013042-0.00056788i,0.00024027+0.00057836i,-0.00013447+0.00087019i,-0.00018601-0.00040913i,-4.2538e-05-0.00091115i,-0.00013444-0.00031879i,-6.2067e-06-0.00028691i
3.397e-07-0.0023497i,-0.0005397-0.0029373i,-0.0018039-0.003525i,-0.0020274-0.0020278i,-0.0010296-0.00077426i,0.00036233-0.00026247i,0.0012577+0.00049929i,0.00074709+0.00016832i,-6.4242e-05+6.5223e-05i,-0.00089854+0.00028113i,-0.001672-0.00079685i,-0.00079425-0.0012563i,0.00036764-0.00082792i,0.0005514-0.00039159i,0.0002015-1.7612e-05i,-0.00023883-0.00011358i,-0.000696+0.0001534i,-0.0009394+0.00018984i,-0.00066401+0.00030762i,-0.00011143+0.00072702i,-0.00035826+0.00075864i,-0.00042808+0.00025795i,0.00016008-0.00022848i
0.0010686+0.0010366i,0.0015471-0.00014772i,0.0016492-0.00037252i,0.0012607-0.00052161i,0.00076258-0.00061028i,0.00070044-0.0011241i,0.00069104-0.0013165i,-0.00028471-0.0012315i,-0.00061484-0.00065064i,-6.5199e-05-0.0002212i,-0.00067553-0.00053218i,-0.0009495-0.0010647i,-0.00088907-0.0005117i,-0.00070659-0.00028328i,-0.00023554-0.00050086i,-0.00012728-0.00037506i,-5.9868e-05+0.00012706i,-0.000203+0.00082232i,0.00011351+0.00033944i,-0.00012268-0.00026084i,-0.00030576-0.00053989i,-0.0001844-0.0010674i,0.00053356-0.0018587i
-0.0011423-0.00078516i,-0.001121-0.00026939i,-0.0010709-0.00026132i,-0.00041726-0.00062343i,0.00032665+2.1638e-05i,0.00088499-0.0003131i,0.0011354-0.00017518i,0.00081744+0.00029897i,0.00044599+0.00028325i,0.00025365+3.4745e-05i,0.00047307-0.00033576i,0.00042884+0.00019628i,-4.9136e-05+0.00018776i,0.00015223-0.00014675i,0.00027979+0.00020242i,-0.0003601+8.3066e-05i,-0.00032252-0.00036273i,-0.00021125-0.00049188i,-0.00040127-0.00041372i,0.00014196-0.00015705i,0.00047171+0.00059112i,0.00028972+0.00038123i,0.00010863-0.00038302i
-8.3415e-05-0.000335i,0.00046115+0.00017564i,0.00096478-0.00058327i,0.00022752-0.0010696i,-0.00014195-0.00078322i,0.00032201+0.00025797i,0.00054293+0.00062526i,0.00050505+0.00035032i,4.1821e-05-0.00024977i,0.00034769-0.00068929i,0.00054089-0.00089537i,0.00043996-0.0009437i,0.00043694-0.00087763i,0.00031274-0.00050675i,0.00069965-6.5349e-05i,0.00057601+0.00032002i,0.00039908+0.00096357i,0.00035001+0.0013565i,0.00069074+0.00074364i,0.00083991-0.00065394i,7.6105e-05-0.0011972i,-0.00075634-0.00062139i,-0.0003585-0.00023572i
-0.0019171+9.256e-05i,-0.0018986-0.00011338i,-0.0013433+0.00053835i,-0.00038038+0.00065321i,0.00096839+0.00073793i,0.0022773+0.001161i,0.0016067+0.00025952i,0.00048652-0.00093729i,0.00056607-0.00098505i,0.0010469-0.00028348i,0.00067788+0.00058665i,-8.0821e-05+0.00083742i,-0.00012753+0.00035197i,-6.43e-05-0.00065344i,-0.00023345-0.00043134i,-0.00031166+0.00061887i,-0.00050315+0.00096318i,-0.00057792+0.00014497i,-0.00033888-0.00056969i,5.1122e-05-0.00020377i,0.00017277+0.00027769i,0.00017646+0.00030051i,0.00021066-0.00011996i
0.00032789+0.00091646i,0.00078798-0.00038359i,0.00090007-0.0005101i,0.0013599-0.00017212i,0.0018735-0.00059903i,0.0017445-0.0012408i,0.0013363-0.0011854i,0.00031449-0.0001047i,-0.00029582-0.00016048i,-0.00015254-0.000841i,0.00021602-0.0012678i,0.00063402-0.00095115i,0.00029769-8.6593e-05i,-0.00018988+0.00028594i,-0.00055054-0.00030521i,-0.00057108-0.00085893i,-0.00030419-0.00033597i,-0.00028396+0.00057856i,3.0399e-06+0.0014107i,0.00029828+0.0007893i,9.3319e-05+5.9672e-06i,-0.00021918-0.00020705i,-0.00049851+7.5455e-05i
0.000617-0.00078809i,0.0002123-0.00096341i,0.00069147-0.002404i,0.00070017-0.0022467i,0.00058129-0.0010143i,0.00041899+2.9656e-05i,-0.00012809+0.00029087i,-0.00025099-9.6444e-05i,-0.00040886-0.00046348i,-0.0006609-0.00041544i,-0.00048134-0.00050684i,-2.9987e-05-0.00076489i,-9.9944e-05-0.00062535i,0.00013878+6.3439e-05i,0.00047858+0.00076497i,-6.6428e-05+0.00049752i,-0.00049714-5.2344e-05i,-0.00017025+0.00062446i,6.8496e-05+0.00062863i,0.00038021-0.00047829i,0.00054769-0.0003049i,-0.00018635+0.00057897i,-0.00033757+0.00018941i
-0.0013121-0.0011655i,-0.0014739-0.00096607i,-0.001487-0.00059158i,-0.0012123-0.00054158i,-0.00061055+0.00053828i,0.0014376+0.0014316i,0.0025321+0.00048552i,0.0011897-0.00038942i,0.00095198-0.00067686i,0.0011378-0.00064298i,0.00088505+7.3773e-05i,0.00082846+0.00066438i,0.00099118+0.00039209i,0.00028564-0.00024309i,-0.00030169-0.00021006i,-0.00040764+0.00023646i,-0.00010281+0.00096411i,2.1784e-05+0.0015229i,-0.00019465+0.0010324i,0.00049824+0.00056107i,0.00094707+0.00059232i,-0.00010782+0.00057745i,-0.00028215+0.00011301i
-0.0016449-0.00046009i,-0.0019652-0.00034256i,-0.0016485-0.0010209i,-0.0015318-0.0011724i,-0.00090092-0.0004143i,0.0011642-0.00035359i,0.0010828-0.00086485i,0.00045562-0.0013988i,0.00058512-0.0010901i,0.00041184-0.00021865i,0.0001661-4.9541e-05i,0.00018472-0.00021421i,0.00032508-0.00030379i,0.00064919+4.8993e-05i,0.00075373-2.1627e-05i,0.00036521-0.00090403i,-0.00060838-0.00043109i,-0.00075271+0.00044462i,0.00046305+0.0003469i,0.0006742-0.00022475i,0.00015459-0.00061662i,-0.00010274-0.0001206i,4.8884e-05+0.00068974i
5.6026e-05-0.0013189i,0.00010464-0.0010433i,0.00081971-0.0011416i,0.0017934-0.0014365i,0.0014107-0.00060912i,0.001032+9.9005e-05i,0.00072918+0.00020001i,0.00095574+0.00043075i,0.0016854+0.00021021i,0.0013378-0.00071412i,0.001047-0.00064737i,0.00055423+0.00015925i,0.00092247+0.00051318i,0.00094347+0.00022247i,0.00027267-0.00087202i,0.00066403-0.0016325i,0.001082-0.0013067i,0.00037606-9.6652e-05i,0.00012402-0.00013089i,0.00074747-0.00055706i,0.00034015+0.00014923i,0.00010869+0.00024622i,-0.00019824+9.3797e-05i
-3.5286e-05+0.0017098i,0.00061731+0.0016324i,0.0012347-1.6915e-05i,0.0012375-0.0014051i,0.00065402-0.0015425i,0.00073695-0.00030448i,0.0012443+0.00028106i,0.00073475-1.2667e-05i,0.0002332-0.000559i,0.00077494-0.00083763i,0.00078793-0.00048617i,-0.00012944+4.6535e-05i,-0.00054399+0.00047614i,-0.00086419+0.00042589i,-0.0011823+0.00030015i,-0.00043817+0.00055527i,0.00011597+0.00062024i,-0.00051297+0.00023142i,-0.00025379-6.0467e-05i,0.00040563+4.2595e-05i,0.00013909+0.00024324i,-0.00012246+0.0003139i,0.0006037+9.8829e-05i
-0.00151-0.00068504i,-0.00014832-0.00021583i,0.00040668+0.00048665i,0.0008208+0.0011154i,0.001369+0.0012389i,0.0019261+1.6078e-06i,0.0014791-0.00097477i,0.00050067-0.00079136i,0.00041528+0.00013441i,0.001074+0.00058426i,0.00098678-2.8955e-06i,0.00054928-0.0004437i,0.00039822-0.00078511i,0.00045922-0.0011905i,0.00033-0.00079864i,4.8856e-05-0.00050287i,-0.00026797-0.00085218i,-5.9042e-05-0.0011015i,0.00034229-0.00067858i,0.00036878-0.00052704i,0.00034697-0.00036086i,0.00021856+0.00077302i,0.00017794+0.00095235i
0.0012552+0.0003972i,0.00059455-0.0006971i,0.00095039-0.0015474i,0.0012363-0.001087i,0.0010394-0.00081825i,0.0010019-0.0017185i,0.00022429-0.0022173i,5.2633e-05-0.0009293i,0.00054876+0.00012363i,0.00016866-0.00018164i,-0.00019444-0.00033451i,-0.00022016-6.0842e-05i,-0.0002082+0.00049778i,-0.00031475+0.0012042i,-0.0007299+0.00077605i,-0.00098418-0.00027033i,-0.00085523-0.0006764i,-0.00039028-0.00066816i,0.00045177-0.00023414i,0.0012424-0.00010705i,0.0018746+0.00014381i,0.0013995+0.00075476i,0.0003947+0.00086304i
-0.0009123-0.00010684i,-0.00041605+0.00066368i,-0.0006997-0.0003699i,-0.00016983-9.737e-05i,0.00046783+0.0016621i,0.00081552+0.0015334i,0.0013005+0.00022921i,0.00097837-0.00074669i,0.00054043-0.00078182i,0.00097632+0.00028007i,0.00062613+0.00057683i,0.00085269+0.0002802i,0.0010655-1.3524e-05i,0.00025717-0.00027881i,0.00017657-0.00033781i,0.00013505-0.00069912i,-0.00029618-0.00029171i,-0.00034367+0.00082079i,-0.00017793+0.00064583i,0.00030071+0.00025383i,0.00049121+8.138e-05i,0.00035538-0.00010035i,8.3709e-05+0.00025264i
0.0018346-0.00090814i,0.0014389-0.00093115i,0.0025527-0.00050974i,0.0015568-0.0010599i,-0.00046436-0.0024344i,0.00043618-0.0019445i,0.0019202-0.00037066i,0.0018054-0.00050435i,0.00095819-0.00066329i,0.000344-0.00087421i,0.00024762-0.00089493i,-0.00043432-0.00050493i,-0.00043745+0.00015947i,-0.00033246+0.00084042i,-0.00019942+0.00088269i,-9.792e-05+0.00071938i,0.00012101+0.00038893i,0.00048185+0.00019447i,0.00034586+0.00059118i,0.00040487+0.0013578i,0.00043931+0.00081764i,0.00018084+0.00027369i,0.00081834-2.9461e-05i
0.0013233-0.00057354i,0.0021787-0.0010388i,0.0014324-0.0014848i,-0.0002496-0.0010287i,0.00027262-0.0011241i,0.0014314-0.00040773i,0.0014868+0.00046043i,0.00093067+0.00013877i,0.00051213-0.00024461i,0.00039263-0.0005052i,0.00032841-0.00042276i,0.00044103-9.8603e-05i,0.00059296-7.7999e-05i,0.00040548-0.00010646i,0.00034687-0.0006345i,0.00088871-0.00067174i,0.0006404+0.00016967i,-0.00033647+0.0002551i,6.8874e-05-0.00050544i,0.00076191-0.0013477i,-5.8874e-05-0.00144i,-0.00047612-0.00057421i,0.00012087-0.00028651i
0.0010818+0.0017919i,0.0015012+0.00083354i,0.0017696-0.00031996i,0.001586-0.00090858i,0.0022511-0.00050006i,0.0026104-0.00082296i,0.0013763-0.0009262i,-7.9516e-05-8.148e-05i,-0.00067724+0.00047839i,0.00015581+0.0001646i,0.0012447-0.00065389i,0.00081061-0.0010418i,-0.00016181-0.0010085i,-0.00084378-0.00062101i,-0.001103-0.00062355i,-0.00096042-0.00081459i,-0.00065656-0.00047658i,0.00050216-0.00033926i,0.00067086+0.00036301i,0.00013837+0.00071081i,0.00037978-2.6552e-05i,-7.8723e-05-0.00032112i,0.00015477-5.5157e-05i
-0.001964+0.0008062i,-0.001231+0.00020582i,-0.00054511-0.0003259i,-0.00026192-0.00040094i,4.0478e-05+5.7843e-06i,0.00078835+0.00011241i,0.00036107-2.0992e-05i,-0.00055476+0.00035312i,-0.00042695+0.000616i,-9.7889e-05+0.00085432i,-0.0001817+0.00041044i,-0.00011466-0.0004524i,0.00070581-0.0008821i,0.00052058-0.00067494i,-0.00024172-0.00022957i,-0.00038022-3.7638e-05i,-0.00066477+0.00021252i,1.2721e-05+0.0001885i,0.00050635-0.00010397i,-5.2348e-05+6.569e-05i,-0.00021925+5.715e-05i,0.0002046+0.0003054i,-4.1118e-05+0.00029041i
-9.0624e-05+0.0028045i,0.0012556+0.0022191i,0.0021928+0.0027395i,0.0020651+0.001719i,0.0021703+4.4647e-05i,0.0023977-0.00052949i,0.0016784-0.0011025i,0.00098315-0.0010032i,0.00094133-0.0011341i,0.00086974-0.0015439i,0.00044871-0.00076769i,0.00026345+0.00034957i,8.1418e-05+0.00012531i,-0.00039882-0.001363i,-0.0008824-0.0011513i,-0.0011486-0.00018522i,-0.00066004-0.00021895i,4.1982e-05-0.00024337i,0.00015816-8.6734e-06i,0.00032972+0.00010219i,0.00028574-0.00023752i,-0.00016491-0.00047036i,-0.00018353-0.00027674i
4.3059e-05-0.00044967i,-0.00031386-0.00085708i,-0.0011915-0.0010148i,-0.00089073-0.00059525i,-0.00010121+0.00038064i,0.00050489-0.00016514i,0.00049126-0.001431i,0.00044131-0.0013162i,0.00078764-0.0010673i,0.00087814-0.00054279i,0.00082123-0.00018512i,0.0011425-0.00069274i,0.0011518-0.00047921i,1.1789e-05-0.00046438i,-0.00064727-0.00082945i,-0.00018524-0.00010942i,-0.0008604+0.00040817i,-0.00093478-4.2709e-05i,0.00018468-0.00055583i,0.00062266-0.00036591i,-0.00025472-0.00013311i,-0.0007006+0.00029654i,0.00019895+0.00029057i
0.00070751+0.0015941i,0.0015552-0.00054026i,0.0032062-0.0015443i,0.0025923-0.0010772i,0.00096729-0.0011818i,0.00063955-0.00069609i,0.00055161+0.00036277i,0.00041563+0.00051258i,0.00075036-0.00021879i,0.00094918-0.00038875i,0.00033628+5.0469e-05i,8.4141e-05+0.00014947i,0.00022847+0.00039117i,0.00025684-0.00018159i,0.00076041-0.0004434i,0.0010784+0.00092846i,0.00047683+0.0012426i,-0.00043298-1.0601e-05i,-0.0011035-0.001018i,-0.00047423-0.0007038i,0.0002487-0.00030341i,0.00017235-0.00029298i,0.00038731+0.00012575i
