-0.0016792+0.0007926i,-0.0012047-0.00086569i,-0.0010798-0.00041442i,-0.00056443+0.0010469i,3.8229e-05+0.0016572i,3.0453e-05+0.00099918i,-2.2498e-05+0.00091133i,0.00013145+0.0012333i,0.00045658+0.00064335i,0.00069057-0.00027955i,0.0011584-0.00035216i,0.00078447+4.1782e-05i,6.8202e-05+6.4279e-05i,-0.00036971-0.00021672i,-0.00017882+0.00020825i,0.0002004+0.00042924i,1.7406e-05-0.00061173i,-0.00051444-0.00061861i,-0.00030869+0.00027817i,-0.00010166+0.00056728i,-0.00027709+0.0001958i,-0.00084941-0.00093973i,-0.0011278-0.00099937i
2.3355e-05+0.00059643i,0.0011003-0.00020074i,0.00081993+0.00015353i,0.0011472+0.00093109i,0.0017189+0.00024311i,0.00037034-0.0010384i,0.00019457-0.00059195i,0.0010141+0.00033498i,0.00103+0.0011727i,0.00036425+0.0016417i,-0.00052399+0.0011807i,-0.00032483-0.00028646i,0.00057867-0.0013417i,0.00012553-0.00094961i,-0.00061329-0.00021738i,-0.00028215+0.00033167i,-0.0004563+0.0004338i,-0.00066569+1.375e-05i,0.00017095-0.00033169i,0.00036488+0.00033848i,0.00022078+0.00029247i,0.00073004-0.00031912i,0.0012034-0.00047372i
-0.00020307+0.0010119i,-0.00038377+0.001139i,-3.9002e-06+0.00091106i,0.0003857+0.00047762i,0.00089903-0.00015555i,0.0012304-0.0010894i,0.00032283-0.0017593i,3.9332e-05-0.0017405i,8.4543e-05-0.0010354i,-0.00053222-1.2989e-05i,-0.00036015+0.00025085i,-0.00015226-7.9685e-05i,-0.00011362-0.0013001i,0.00086206-0.0014674i,0.00080721-0.00076628i,0.00058766-0.0008894i,0.00073937-6.0035e-05i,3.1002e-05+0.00037494i,-0.00020233-0.0006495i,-0.00013713-0.00098831i,-0.00033635-0.000776i,-5.4154e-05-0.00028046i,-2.0494e-05+0.00040116i
0.00074145+9.5295e-06i,0.00024403+3.2087e-05i,0.0003882-0.00025691i,0.00043251-0.00022778i,0.0005197-0.00015396i,0.0013912-0.00091999i,0.0017061-0.001443i,0.00099171-0.00099045i,0.00042525-5.0627e-05i,-6.2212e-05+0.00017434i,-0.00018776+0.00045995i,0.00063313+0.0011468i,0.00096449+0.0011819i,-7.9073e-05+0.000176i,-0.00095979-0.0010131i,-0.00077088-0.0011053i,-0.00017514-9.6533e-05i,0.00058948+0.00028234i,0.0003851-0.0002391i,-0.00032405-0.0002926i,-0.00057749-0.00049803i,-0.00037481-0.00052419i,0.00014874-5.1235e-05i
0.00032373-0.0024055i,-0.00076358-0.0014093i,-0.0021135-0.00010718i,-0.0017512+0.0010307i,-0.00027614+0.00094875i,0.00081411-0.00074726i,0.0005783-0.002149i,-0.00038973-0.0020005i,-0.0011759-0.0010263i,-0.0007174-0.00055471i,-8.8548e-05-0.00023682i,0.00013135+4.8472e-05i,0.00076419+0.00068215i,0.00086659+0.00098902i,0.00079614+0.00069171i,0.0005271+0.00080498i,-4.8913e-05+0.00066957i,-0.00055401+0.00024448i,-0.00020663+0.00039923i,0.00010085+0.00056075i,3.9943e-05+0.00075159i,-0.00029844+0.00014012i,1.6903e-05-0.00018533i
-0.00081346-0.0013142i,-0.00073056-0.00010501i,-0.00096971+0.00052858i,-0.00075827+0.00066902i,0.00020703+0.00070824i,0.00062093+0.00038082i,-0.00046037-0.00026793i,-0.0009757+0.00015009i,-0.00056916+0.00056603i,-0.00036785-4.7652e-05i,0.00034406-3.0961e-05i,7.413e-05+0.00081735i,-0.00088552+0.0011687i,-0.00069435+0.001063i,-0.0001667+0.00029133i,-0.00016065-0.00046548i,0.00062765-0.0004864i,0.0005417+0.00023849i,-0.00066623+0.00072792i,-0.00059375+0.0004601i,0.00029724+0.00019662i,0.00017712+6.205e-05i,-0.00015751+0.00074405i
0.00077738+0.00014025i,1.368e-05+4.4951e-05i,0.00070834+0.0014372i,0.00035995+0.0016752i,0.00017017+8.6753e-05i,0.00057465-0.00085567i,0.00043685-0.00090251i,-0.00013894-0.00067307i,0.0003602-0.0008208i,0.0011546-0.00078856i,0.00085343-0.00055844i,-0.00024929-0.00039029i,0.0001982-0.00087426i,0.0014307-0.00044749i,0.0012102+0.00010811i,0.0004289-0.00054573i,0.00079173-0.00061799i,0.00048397-7.0192e-05i,-0.0002134-0.00013257i,-0.00038404-0.00044808i,-0.00025026-0.00060584i,0.00064432-0.00017188i,0.0011134-9.118e-05i
-0.00038524+0.0020377i,0.00067236+0.0019389i,0.0020807+0.0021898i,0.0015349+0.0017526i,0.00096756+0.00058606i,0.00086639-0.00074468i,0.00052081-0.0013317i,6.9639e-05-0.00072707i,0.00019099+3.3911e-05i,0.00075839+0.00055628i,0.000521+0.00049885i,-0.00014255+0.00023755i,-0.00041918+0.00014114i,-0.00064447-6.0111e-05i,-0.00025083-0.00029387i,0.00066517-0.00021062i,0.00049608+0.00039161i,-6.0884e-06+0.00097556i,-0.00044516+0.00033697i,-0.00078484+6.7935e-05i,-0.00047282+0.00036964i,0.00032411-0.00033873i,0.00084053-0.00048934i
0.001372+0.0011678i,0.00095637+0.0013945i,0.00093824+0.00071612i,0.0016598+0.00057398i,0.0024623+4.1567e-05i,0.0015405-0.00041912i,0.00038348-0.0011478i,-0.0003476-0.0013178i,-0.0011766-0.00041096i,-0.0010645-0.00022302i,-0.00037563-0.0005107i,-2.8988e-05-0.001024i,0.00013616-0.00071242i,0.0003437-0.000308i,-0.00021471-0.00075691i,-0.00063633-0.00031316i,-0.00016887-0.00010255i,0.00056991-0.00054033i,0.0011497-0.00043357i,0.00086134+0.00013416i,0.00013762+0.00074999i,9.1271e-05+0.0006885i,0.00024829+0.00018607i
0.0017797+0.0012131i,0.00037327+0.0005921i,0.0003197+0.00010887i,0.00030651-0.00099361i,0.00093522-0.0023076i,0.0010196-0.0026992i,0.00050283-0.0017778i,0.00052903-0.00069608i,-0.00012926-0.00039204i,-0.00045849-0.00013984i,-5.9097e-05+0.00020848i,0.0004764+8.182e-05i,0.00090171-2.7609e-05i,0.00056333+0.00014921i,6.3192e-06-3.685e-05i,0.00032144+0.00023735i,0.00065604+8.0046e-05i,4.5585e-05-0.00061022i,-0.00035686-0.00019786i,-0.00037039+0.0006912i,-0.00018039+0.00049114i,-0.00041928-0.00053844i,-0.0003022-0.0002349i
0.00092912+0.0019543i,0.00097626+0.0011876i,0.0015171+0.00058195i,0.0017545+0.00055549i,0.001019+0.0004761i,0.00053242-9.542e-05i,0.00041829-0.0014535i,5.5067e-05-0.0015084i,-0.00011906-0.00071484i,-6.7596e-05+3.1459e-05i,0.00054651+0.0005312i,0.00052031+0.00059665i,-8.7876e-05+0.00028549i,-7.4408e-05-0.00039017i,-0.00035697-0.0004748i,-0.00033462-2.4257e-05i,-0.00030494-0.00062142i,-0.00079556-0.00079089i,-0.00090667-5.8171e-07i,-8.9335e-05+3.4672e-05i,0.00015866-0.00062135i,-4.3503e-05-0.00075828i,0.0004597-0.00024374i
-0.00052244-0.00080462i,-0.00090514-0.0011243i,-0.00073062-0.00060862i,0.00023415+0.00053136i,0.0011463+0.00085483i,0.0014854+0.00048686i,0.00097268-0.00052024i,0.00018316-0.0014764i,-0.00034933-0.0010393i,-0.00051108-0.00071372i,-0.00045968-0.00013547i,-0.00042476+7.251e-05i,-2.7223e-05-0.00055154i,0.00042861-0.00031974i,0.00074505+0.00081069i,0.0003817+0.00046638i,-0.00013782-0.00029622i,0.00038226-0.00048822i,0.0008234-0.00044698i,-0.00014085-0.00011939i,-0.00026835+0.0007155i,6.5228e-05+0.0011611i,4.4473e-05+0.00043754i
0.00054179+0.00015825i,0.00026762+0.00066521i,0.00075847+0.0007723i,0.0016574+0.00040353i,0.0015486+0.00043264i,0.00037074+0.00012508i,-0.00048546-0.00021855i,-0.00018747+0.00011889i,-1.6538e-05+1.4902e-05i,0.00023987-0.00010116i,0.00052064-0.00047738i,-7.2027e-06-0.00037258i,-0.00022319+8.3454e-05i,0.00024839+0.00051003i,-0.00029589+0.001419i,-0.00081474+0.0012487i,-0.00091842+0.0006072i,-0.0009228+5.8681e-05i,-0.0010642-0.00026454i,-0.000889-0.00015434i,-6.0903e-05-0.00023993i,-2.9527e-05-0.00016671i,-3.3186e-05-0.00030759i
-0.00025608+0.00074296i,0.00054236+0.0010901i,0.00068307+0.0015461i,0.001036+0.0016338i,0.0014142+0.00067844i,0.0017339-0.0012469i,0.0012374-0.0016382i,0.00062477-0.00045681i,-2.1951e-05-0.00019422i,-0.00036866-0.00036413i,-0.00016306+0.00027488i,-0.0005388+0.00018894i,-0.000152-0.00016332i,0.00041559+0.00015023i,0.00053011+0.00039077i,0.0006525+0.00045328i,0.0010368+0.00027606i,0.00096909+0.00036734i,0.00047525+4.4466e-05i,0.00014389-0.0002771i,-1.8652e-07-0.00038705i,0.00014628+3.7564e-05i,0.00050774-1.0005e-05i
-0.0019771-0.00076658i,-0.0010057+0.00050558i,-0.00023355+0.0023728i,0.0018183+0.0024227i,0.0025978+0.0013082i,0.0012791-0.0001049i,0.00055927-0.00078721i,-9.1198e-05-0.00032407i,-0.00011123+0.00067609i,0.00044328+0.0014361i,0.00038786+0.0011156i,0.00024807+0.0002058i,0.00061886+0.00024397i,0.00068413+0.00020974i,0.00044816-0.00040396i,0.00070089-0.00023754i,0.00079592+0.000189i,-2.2501e-05-0.00012123i,-0.00034949-0.00033147i,-0.00031672+0.00021912i,0.00032192+0.00013187i,0.00012976+0.00015344i,-0.00012023+1.2825e-05i
-0.00054933+0.0016259i,-0.00033477+0.0020389i,0.00064669+0.0023527i,0.0011307+0.0015773i,0.0014237+0.00050636i,0.00099516-0.00095113i,0.00068872-0.0014084i,0.00013981-0.00062926i,-0.00072196+0.00013712i,-0.000652+0.00011566i,-0.00038222+8.1455e-05i,-0.00016448-0.00053954i,0.00072905-0.00094992i,0.00048638-3.8823e-05i,-2.838e-05+0.00069699i,-0.00052262+0.00046528i,-0.0005185-0.00044667i,0.00027801-0.00031811i,0.0003798+0.00025151i,-0.00018026-0.00014595i,-0.00041307-0.00051848i,-0.00017483-0.00041119i,0.00014341-0.00014149i
-0.0011252+0.0010535i,-0.00026237+0.0010656i,0.0012201+0.0016251i,0.0022647+0.00083963i,0.001912+1.8166e-05i,0.0010476+0.00014899i,7.8221e-05+0.0003042i,-0.00032433-0.00049297i,-0.00048724-0.00055675i,-0.00011355-0.00020674i,0.00036474+7.7689e-05i,0.00033387+0.00037177i,0.00021891+0.00042712i,-0.00051355+0.00024031i,2.0765e-05-0.00039697i,0.0009108+6.0711e-05i,0.0006957+0.00068063i,0.00090482+0.00034561i,0.0007754+6.1037e-06i,0.00052607-0.00024321i,0.00048007+5.4217e-05i,0.00027939+0.00028446i,-5.5671e-05-3.8509e-05i
-0.00085463-4.7838e-05i,-0.0012094-0.00032876i,-0.00016628+0.00058925i,0.0013348+0.00086919i,0.0017079+0.00083652i,0.0010537+9.98e-06i,0.00039093-0.001089i,0.00030224-0.0008409i,0.000126+8.6736e-05i,-0.00042221+0.00055068i,6.7346e-05+0.00059924i,0.00062689+0.00085666i,0.00034145+0.00073159i,0.00029888+0.00082909i,0.00024468+0.0010544i,0.00036911+0.00084687i,0.00057835+0.00043514i,0.00070741-0.00031888i,0.00015323-0.0016138i,-0.00048283-0.0014003i,-0.00052426-0.00053468i,-0.00050804-0.00043278i,-0.00020379-0.00043617i
-0.00082968-0.00044966i,0.0005542-0.000195i,0.00044384+0.0012011i,-3.3352e-05+0.0027217i,0.00039915+0.002946i,0.0012757+0.0019629i,0.00098474+0.0010474i,0.00036911+5.4626e-05i,0.00083069-0.00028493i,0.0014388+5.238e-05i,0.0015196+0.0010718i,0.00091549+0.0011641i,0.00040668+0.000434i,2.2713e-05+0.00012091i,-0.00027468+0.00017333i,0.00016073+0.00021377i,6.0163e-05+7.6738e-05i,-0.00024752-0.0006496i,0.00027761-0.00061821i,0.00047859-0.00011254i,-0.00037866+1.6385e-05i,-0.00059118+0.00027359i,5.5929e-05-7.1729e-05i
-5.7289e-05+0.0016235i,-0.00033289+0.0012637i,-0.00046011+0.0015267i,0.00063664+0.0010712i,0.0011603+0.00019762i,0.00069692-0.0010838i,0.0006993-0.001752i,0.00039993-0.0013803i,-0.00018888-0.00043322i,-8.3846e-05+0.00057846i,0.00076767+0.00054007i,0.0007525+0.00018647i,0.00023727-0.00039208i,0.00030876-0.00079462i,0.00069269-0.00012816i,0.00091532+0.00038812i,0.00098183+0.00034803i,0.00014853+0.00017647i,-0.00084443+0.00014579i,-0.00054535-2.8142e-05i,0.0002774-4.0554e-05i,0.0002604+0.00030482i,0.00021472+0.00038526i
-0.0021629-4.063e-05i,-0.0015991+0.00094939i,-0.00016369+0.0014304i,0.00023223+0.0016317i,0.0006058+0.0017818i,0.00059676+0.00049321i,-0.00016278-0.0010984i,-0.0003569-0.0016669i,0.00023994-0.0011474i,0.00044792+0.00032784i,-9.5707e-05+0.00057427i,0.00016104+3.8595e-05i,0.00091337-0.00050422i,0.00017967-0.00049649i,-0.0001331+3.0641e-06i,0.000273+0.00030112i,-4.768e-05+7.6573e-05i,-6.5674e-05-0.00050043i,0.00050311-0.00053824i,0.0010001+0.00015633i,0.00089709+0.00046877i,1.3814e-05+9.8061e-05i,-0.00050859+0.00045539i
0.0015409+0.0004961i,0.0014431+0.00048349i,0.001267+0.00093144i,0.00083072+0.0012503i,0.00043534+0.00099085i,-6.6286e-05+0.00017995i,-0.00068831-0.0010561i,-0.00032991-0.0015971i,0.00044767-0.00052523i,0.00080526+0.00047327i,0.00067219+0.00034884i,0.00019397-0.00022284i,-0.00032186-0.00013594i,4.7551e-05-1.1317e-05i,-1.3343e-05+0.0001568i,-0.00022642+0.00031525i,8.7316e-05+0.00049953i,-2.4316e-06+4.5334e-05i,-0.00027629-0.00019201i,0.00023206+0.00038993i,0.00013776+0.0002917i,-0.00064954-0.00060334i,-0.0013548-0.0010907i
-0.001063+0.0023168i,-1.1017e-05+0.0023085i,0.00048759+0.0024574i,0.0014894+0.0022513i,0.0022225+0.0015108i,0.001691+0.0007477i,0.00067375-0.00024086i,9.9298e-05-0.00026464i,-0.00049108+0.00054192i,-0.00015764+0.00045878i,0.00093512+0.00071915i,0.0014464+0.00076823i,0.00056368+7.4882e-05i,-1.4876e-05-0.00051159i,0.00036143-0.00069916i,0.0006963-8.3047e-05i,0.00019132+0.00046035i,-0.00012369+0.00010393i,0.00039025-3.4088e-05i,-0.00033669-0.00010353i,-0.00066948-0.00035936i,3.7869e-05-0.00018888i,0.00050521-9.7572e-05i
0.00020564-0.00013781i,0.00065277+0.00034854i,0.00091955+0.0015134i,0.00041583+0.00078843i,0.00073852-0.00035343i,0.00087593-0.00055555i,2.3164e-05-0.00059777i,-0.00039972-0.0010047i,-5.5089e-05-0.00086387i,-0.00029964+0.00015812i,-0.00095478+0.00053054i,-0.00086333+5.3832e-05i,1.7676e-05+0.00042112i,0.00067815+0.00076103i,0.00030021+0.00065142i,-0.00068469+0.00047171i,-0.0012372-8.2339e-05i,-0.00034027-0.00036998i,0.00034494-6.5003e-05i,0.00011067+0.00052265i,0.00022571+0.00084353i,6.6932e-05+0.0010773i,-0.00063831+0.0010296i
-0.00034986+0.0012541i,0.00024131+0.00040864i,0.00062626+0.0017044i,0.00071043+0.001983i,0.00068967+0.00073829i,0.00073385+7.0539e-06i,0.0005438-0.0008993i,0.00048903-0.0011996i,0.0007785-0.00038454i,0.00081512+7.3684e-05i,0.00076666-0.00050443i,-1.2659e-05-0.00057705i,0.00034571-0.00024141i,0.0010402-0.00076965i,0.00026132-0.00097929i,2.5726e-05-0.00020729i,0.00046432+0.0003859i,0.00062328-5.4259e-05i,0.00059083-0.00076848i,0.00036784-0.00058833i,-0.00019934-0.00059312i,-0.00010587-0.00071023i,0.00077557-0.00050623i
-0.0019135+0.00081197i,-0.00092298+0.0011167i,0.00042735+0.0026317i,0.00092298+0.0031372i,0.0014233+0.0022922i,0.0018294+0.00013881i,0.0014167-0.0012987i,0.00078546-0.0013937i,-0.00027037-0.00043056i,-0.00053809+0.00044735i,0.00017987-0.00032886i,0.00062873-0.00089722i,0.0013134+1.3307e-05i,0.0010157-1.5632e-05i,0.0001024-0.00034748i,-0.00022475+0.00040724i,-0.00033697+0.00040465i,-0.00019384+0.00024907i,2.9688e-05+0.00072219i,-5.2202e-06+0.00025947i,-0.00053674-0.00071236i,-0.00052542-0.00094545i,0.00018796-0.00059032i
-0.00059049-0.00037432i,-0.00056332+0.00052418i,0.0002321+0.0006544i,0.00025633+1.1299e-05i,0.00092486+0.00030944i,0.0015341-5.2598e-05i,0.001175-0.00076174i,0.00083514-0.00037185i,0.00032046+0.00062629i,0.00031295+0.00082582i,0.00021376+0.00064362i,0.00018612+0.00011795i,0.00089023-0.00023208i,0.0013172+0.00046911i,0.00066734+0.00075826i,0.00024885+0.00013469i,0.00062689-0.00027812i,8.9241e-05-0.00016298i,-0.00085068-3.8403e-05i,-0.00082238-0.00064806i,-0.00030531-0.00052956i,0.00018979+3.2819e-05i,0.00042852-0.00071232i
0.0008225-0.00074907i,0.00054432+0.00086225i,-0.00016782+0.0025069i,-4.5841e-05+0.0025451i,0.00064576+0.0019845i,0.00078524+0.0008277i,0.00031617-0.00065527i,-3.8712e-05-0.00077167i,-0.00053947+0.0002252i,-0.00035086+0.00059862i,0.00030119+0.00041899i,0.00046585+5.3589e-05i,-0.00017526-0.00019265i,-0.0012732-0.00022729i,-0.0013236+0.00063794i,-0.00062642+0.000855i,-0.0003194+0.00010706i,0.00018176+3.587e-05i,9.9641e-05+0.00043413i,-0.00040868+0.00018798i,-0.00039871-0.00043933i,-0.00043992-0.00018302i,-0.00032881-0.00012111i
0.0009545+0.00043223i,0.00012778+0.0011736i,-0.00066362+0.0014133i,-0.00014191+0.0011454i,0.0011158+0.00062099i,0.0015941-0.00046189i,0.0014371-0.0014162i,0.0009395-0.0012296i,0.00061489-0.00077845i,0.00064433-0.00048164i,-0.00034609+0.00011653i,-0.0011069-0.00013056i,-1.559e-05-0.00035553i,7.4543e-05+0.00029856i,-0.0009572+0.00063893i,-0.00086049+0.00046211i,-0.00069346-8.2456e-05i,-0.0008525+0.00012897i,-0.00043259+0.0006459i,-0.00030172+0.00030007i,-0.00045733-8.1347e-05i,-0.0004241-0.00035155i,-0.00082932-0.000355i
-0.00033145+0.00037275i,-0.0001649+0.00063904i,-0.00035677+0.0014897i,-0.00017232+0.0017151i,0.0009196+0.0011399i,0.00092182+0.00024917i,-0.00016287-0.00046076i,-0.00053961-0.0013114i,-0.00066253-0.0013978i,-0.00057494-0.00086308i,0.00011568+0.00018848i,-4.3427e-05+0.00054442i,-0.00085798+3.0466e-05i,-0.00047603-0.00010425i,0.00029421-1.3852e-05i,5.9806e-05-6.791e-05i,0.0002274-5.6533e-05i,0.00093027+0.00080025i,0.0007863+0.0012536i,0.00010098+0.0003069i,0.00085567-0.00012751i,0.00096993-0.00028564i,0.00088498-0.00034611i
-0.0012016+0.0022345i,-0.00017733+0.0011569i,0.00019652+0.0012654i,0.0010425+0.0014098i,0.0019465+0.00093089i,0.0020394-0.00015265i,0.0012812-0.00055678i,0.00043277-0.00022393i,-4.3029e-05+0.00036787i,-0.0001245+0.00088096i,0.00070795+0.00065614i,0.00096747-0.00033039i,0.00067344-0.00049795i,4.811e-05-0.00078968i,-0.00059257-0.00041611i,0.00037498-0.00033694i,0.0008668-0.00057938i,-0.00030117-0.00041553i,-0.00073423+0.00010203i,-0.0010017+0.00052538i,-0.00081294-0.00066876i,-0.00015113-0.0014921i,0.00017664-0.00083604i
0.00038932+0.0013169i,-0.00018699+0.00088347i,0.0009429+0.0010123i,0.0020086+0.00069983i,0.0017489+0.00036246i,0.0010678-0.00023352i,0.0011485-0.00085031i,0.0009698-0.00091757i,0.00038325-0.00051945i,-2.5593e-05-0.00019101i,4.5554e-05+0.00010951i,9.0276e-05+9.3733e-05i,0.00017731-0.00030772i,5.2398e-05+1.2221e-05i,8.7416e-05+1.006e-05i,0.00052999-0.00077159i,0.00061422-0.00081173i,-3.0919e-05-5.4306e-05i,-0.00040646+0.00053983i,-0.00060975+0.00012675i,-0.00047723-5.6845e-05i,0.00012172+8.0547e-05i,0.00049792-0.00026253i
-0.00083844+0.00093936i,-0.000653+4.192e-05i,-0.00018574+0.00059118i,0.0010765+0.0012401i,0.0020988+0.00051799i,0.0016628-0.00049413i,0.00068507-0.00083165i,0.00025157-0.000773i,3.007e-05-0.00084924i,0.00086718-0.00059444i,0.0012496-0.00040906i,0.00066337-0.0010828i,0.000326-0.00082372i,-2.0722e-05-0.00013325i,-0.00083164-6.7496e-05i,-0.0011993+0.0002849i,-0.00054193+0.00063624i,-0.00032001+0.00018329i,-1.4687e-05-0.00043716i,0.00026579-0.00036471i,0.00033255-0.00049887i,0.00087083-0.00065963i,0.00068676-0.00015262i
