0.00054033-0.00020398i,0.00022933-0.00011183i,0.00049328-0.00021469i,0.00042912-0.00088061i,0.00077193-0.0011064i,0.00062487-2.9222e-05i,-0.00049025+0.00065496i,-0.00047762+0.0013895i,0.00057682+0.0015928i,0.001499+0.0012153i,0.0019667+0.00035845i,0.0010505-6.053e-05i,-0.00038912-7.0544e-05i,-0.00096293+0.00010918i,-0.00061654+0.00033952i,-0.00040964+0.00030627i,-0.00045764-0.00012993i,-4.0211e-05-0.00075454i,0.00027109-9.3707e-05i,-0.00017652+0.00029379i,-0.0006629-0.00036749i,-0.00041576-0.00073557i,-3.6847e-05-8.0529e-05i
-0.0010156+0.00051152i,-0.00043284+0.00065247i,9.6434e-05+0.00051492i,0.00044319+0.00037401i,0.00097624+1.9582e-05i,0.0022507-0.00048685i,0.0019688-0.00044877i,0.00014239-6.8538e-05i,-0.00090698+0.00050207i,-0.00070122+0.00070148i,-0.00046982+0.00058945i,-0.00056302+0.00016365i,-0.00043849+3.1288e-05i,-4.1496e-05+0.00054327i,0.00044338+0.00049809i,5.9878e-05-0.00021246i,-0.00032219-0.00083244i,-0.00051267-0.00060092i,-0.00034997+6.555e-05i,0.00043825-9.4517e-05i,0.0011875-0.00057138i,0.0010909-0.00064548i,0.00091706-0.00047212i
-0.00027602+0.00012532i,-0.00024406-0.00031343i,-0.00034804+0.00054096i,0.001161+0.00066452i,0.0029207-0.00038269i,0.0034743-0.00030824i,0.0025216+0.00014893i,0.001074+0.00059162i,-6.7565e-05+0.00081885i,-0.00044919+0.00029631i,-0.00012139+0.000238i,6.8787e-05+0.00036996i,2.1319e-05-0.00016035i,-0.00043102-0.0005915i,-0.00064875-0.00015823i,-0.00026702+0.00030692i,0.0001608+9.5398e-05i,-0.00014053+3.5605e-05i,-0.00043285-4.725e-05i,-0.00031375+4.5925e-05i,-0.00052985+0.00070481i,-0.00063732+0.00083252i,-0.00017998+9.379e-05i
0.00011468+0.0013673i,-0.00029585+0.0017258i,0.00086419+0.0013219i,0.002321+0.00075924i,0.0026093-8.5583e-05i,0.0025496-0.00093456i,0.00177-0.00046763i,0.00029147+0.00012237i,-0.00025594+0.00080423i,0.00021204+0.0009278i,0.00095329+9.8462e-05i,0.00017836-0.00045914i,-0.00040678-0.00038764i,-0.00013282-3.6879e-06i,-9.6758e-06+0.0003473i,0.00021928-3.5015e-05i,0.00041028+8.9673e-07i,2.4323e-05+0.00067476i,-6.5932e-07+0.0001816i,9.0318e-05-0.00013787i,0.00010446+7.3816e-05i,-9.1487e-06+0.00022856i,-0.00042891-6.2455e-05i
-0.0012697-0.0014523i,-0.0013617-0.00052265i,-0.0014638-0.00092664i,-0.00041514-0.00046498i,0.00051713-0.0002225i,0.0015696-0.0002759i,0.0019213-0.00028146i,0.00036528-0.00051612i,-0.00026578-3.9239e-05i,-0.00062423+0.00076449i,-0.00018713+0.0013402i,0.00056373+0.0014932i,0.00085137+0.0013088i,0.00044233+0.00083683i,0.00021384+7.6674e-06i,0.00048818-0.0001735i,0.00096331-0.00053162i,0.0010561-0.00075826i,0.00076076+0.00037993i,0.00045711+0.00053195i,-0.00016305+0.00013551i,-0.00049153-0.00062328i,-0.0001362-0.00018273i
0.00017352-0.0007824i,0.00016304+0.00023268i,0.00038529+0.00024799i,0.00091343-0.00013545i,0.0012708-0.00036355i,0.0013941+2.1503e-05i,0.0011621+0.00083991i,0.00038493+0.00058247i,0.00020289-0.00071922i,0.00037038-0.00088404i,1.079e-05-0.000183i,9.2675e-05+0.00013808i,0.00016748+0.00021409i,0.00019415+0.00048047i,0.00025899+0.00017806i,0.00013757-0.0006292i,-0.00024735-0.00042605i,0.00022332+0.00011936i,0.0012531+9.9919e-05i,0.0011312+0.00033574i,0.00044866+0.00085905i,-0.00018797+0.00050913i,-0.000242-7.8645e-05i
0.00052404-0.0019838i,-0.00042434-0.0019708i,-9.7465e-05-0.0022827i,0.00031316-0.0020134i,0.00030079-0.00059776i,0.00089178+0.00025797i,0.00093794-0.00010935i,-0.00022743-0.00041579i,-0.00071812+8.3332e-05i,-0.00062208+0.00023565i,-0.00084559+0.000521i,-0.00093388+0.00054578i,-0.00025525+0.00019065i,0.00033102-5.7299e-05i,0.00061054-0.00052154i,0.0010846+7.3993e-05i,0.00081481+0.00085884i,0.00022906+0.00013946i,0.00045147-0.00025728i,0.00019644+0.00052615i,-0.00054237+0.00094743i,-0.00026698+0.001299i,0.00014734+0.00040358i
-0.00081096-0.0019574i,-0.00012297-0.0010869i,0.00041957-0.00015941i,0.0011616+0.00076792i,0.001543+0.0018172i,0.001431+0.0010658i,0.00078523-0.0003765i,-0.00029393-0.00044047i,-0.00059035+0.00012487i,-0.00052024+0.00026823i,0.00062009+0.00053538i,0.002035+0.00092099i,0.0015026+0.00088794i,0.000558+0.00016115i,0.0004244-0.00041183i,-9.2286e-05-0.00030709i,-0.00050684-0.00059835i,6.5721e-05-0.00069285i,0.0002056+2.7792e-06i,-0.0005301+5.9686e-05i,-0.00070016-4.4224e-05i,1.4839e-05+0.00021488i,-0.00018927+0.00049536i
-0.0011425-0.0025836i,-0.0018153-0.00097228i,-0.0025541+0.00057391i,-0.0020703+0.00027432i,0.00051079+0.00051126i,0.0017716+0.0012026i,0.0012576+0.00063092i,0.00061026+0.00056i,-0.00015949+0.00079971i,-0.0007296+0.00046846i,-0.00071204+0.00043098i,-0.00044006+0.00070634i,-0.00056994+0.00047443i,-0.00041655+0.00014178i,0.00014684+0.00022266i,0.00039362+3.0798e-06i,0.00091245-0.00025874i,0.00073762-0.00023968i,0.00028642-0.00021812i,0.00015751+4.0296e-05i,2.0004e-06+0.00012807i,-8.6854e-05+0.00040052i,-0.0003526-3.791e-05i
0.00020847+0.0026539i,0.0014371+0.0010736i,0.0029138+0.00094091i,0.0030408+0.0012014i,0.0031016+0.00021202i,0.0032191-0.0005719i,0.0018252-0.00092129i,0.00027369-0.00052199i,-0.00013933+0.00079396i,0.00010665+0.0011318i,0.00067508+0.00074498i,0.00064679-4.884e-05i,0.00029748-0.0002922i,-0.00032123+1.7564e-05i,-0.00051098-0.000586i,-0.00041413-0.00040895i,-0.0010554+0.00020307i,-0.00062665+8.9194e-05i,-4.9404e-05+0.00010675i,0.00032128+0.00013917i,0.00082073+0.00037807i,0.0010742+0.00010102i,0.00029168-0.00074762i
-0.00041162+0.00026718i,-0.00015969-0.00020288i,2.3151e-05-0.00031673i,0.0010652-9.8213e-05i,0.0024357-0.0001194i,0.0025292-0.00048029i,0.0015002-0.00057899i,0.00046045+0.00016705i,0.00010326+0.00095779i,0.00021925+0.00062214i,7.0722e-05-0.00025835i,-0.00041998-0.00049693i,-0.00085006+9.9038e-05i,-0.0011634+0.00073837i,-0.00067322+0.00081492i,1.066e-05+0.00012075i,-4.613e-05+0.00054014i,-0.00051882+0.0011689i,-0.00072118+0.00092681i,-0.00050125+0.00051749i,-0.0006126-0.00049926i,-0.00017445-0.0013127i,0.00024234-0.00059012i
-0.00044406+0.0011491i,-0.00041411+0.0011302i,0.00020196+0.0014276i,0.0013439+0.00055611i,0.0022693-0.00087009i,0.002318-0.00049081i,0.0013878+2.1912e-05i,0.00065216+0.0001324i,0.00094938+0.00014641i,0.001009+0.00014193i,0.00040158+0.00029044i,0.00012799-6.2407e-05i,0.00047612-0.00028001i,0.00013356+6.4171e-05i,-0.00044087+0.00022191i,-0.0006916-0.00049368i,-0.00049773-0.00070836i,0.0001425-0.00057076i,0.00060924+0.00019446i,0.00015904-0.00014955i,-0.00058928-0.00062431i,-0.00038391-0.00029522i,1.3739e-05+0.00013948i
-0.0021495-0.00016426i,-0.0012372+0.00036297i,-0.0001018+0.001139i,-2.8466e-05+0.0011393i,0.00075352-0.00022401i,0.0025415-0.0016105i,0.002384-0.0013309i,0.0003276-0.00051104i,-0.00083281+0.00050517i,-0.00046355+0.0010286i,-0.00029896+0.0011728i,-0.00031491+0.00057499i,-0.00027699-0.00063722i,0.00014584-0.0013006i,0.000258-0.00091683i,-2.2713e-05+0.00013767i,-7.4746e-05+0.00042735i,-0.0005436+0.00018757i,-0.0008258-0.00039773i,-0.00027591-0.00046973i,0.00025144-0.00050515i,7.4138e-05-0.0005039i,-0.00021984-0.00035719i
