-0.0023658+0.00048132i,0.00036972-0.00010743i,0.0010114-0.00062195i,-0.00017441-0.00036568i,-0.0012687+0.00023553i,-0.00069643+0.0011003i,-9.4939e-06+0.0022823i,0.00028935+0.0026721i,0.0013259+0.0017777i,0.0019011+0.0011508i,0.0017014+0.00086905i,0.00089442-0.00058658i,0.00013082-0.0018904i,0.00084206-0.0016402i,0.00095426-0.00089452i,-6.4692e-05-0.00025191i,-0.00032968-0.00017296i,0.00073115+0.0002753i,0.0010894+0.00042294i,0.00050147-0.00048631i,0.00084214-0.00037557i,0.00050157+9.1757e-06i,-0.00017808+0.00036551i
0.0010198-0.0012681i,0.00081384-0.0018043i,0.00086679-0.0018881i,0.00049623-0.0016485i,-0.00084754-0.001126i,-0.0011378-0.00047803i,-0.00088009-0.00097062i,-0.00081304-0.00075975i,-0.00017376+0.00032714i,0.00072974+0.0007347i,0.0010533+0.00048628i,0.00094538+0.00061149i,0.00036343+0.0006766i,-0.00080141+0.00057846i,-0.00031908+0.00029994i,0.00077125+7.8811e-05i,0.0012091+0.00051621i,0.0011121+0.0010818i,0.00080151+0.00043639i,0.00024696-0.00040266i,6.8211e-06-0.00015568i,0.00026839-9.3534e-05i,0.00018213+0.00012317i
-0.0022494-0.0001036i,-0.0024355+0.00080973i,-0.0021045+0.00098883i,-0.00042674+0.00042327i,0.00076571-6.1167e-05i,0.0012915-0.00017644i,0.0014755-0.00023706i,0.00091108-0.0004848i,0.0001368-7.8734e-05i,0.00036943+0.0006477i,0.00054347-8.5823e-05i,0.00044956-0.0012616i,0.00091319-0.0015769i,0.00041112-0.0014792i,-0.00077503-0.00098011i,-0.00094969-0.0010042i,-0.00092676-0.0001817i,-0.00036433+3.0381e-05i,-0.00017529-0.00024336i,-0.00061226+0.00033225i,-0.00036643+0.0013801i,0.00016088+0.0012567i,0.00024344-6.853e-05i
-0.00064814+0.00036698i,0.0021844+0.00011506i,0.0031952+0.00052567i,0.0019267+0.00044903i,0.0011212-0.00083114i,0.0013642-0.001408i,0.00099719-0.00011706i,0.00017702+0.00066194i,0.00027287+0.00049568i,0.00022652-0.00027383i,-0.00015575-0.001099i,-0.0011908-0.0012972i,-0.0014386-0.00091476i,-0.00070917-0.00045367i,-0.00034631-0.00019852i,-0.00081542+0.00087156i,-0.00081141+0.0016264i,9.1755e-05+0.0018167i,0.00096781+0.00094796i,0.00074802+0.00013758i,0.00026241+0.00072522i,0.00033091+0.00054674i,-9.1649e-05-6.0513e-05i
-2.8664e-05+0.00078588i,-0.00048276+0.001348i,-0.00088846+0.0014395i,-0.00052741+0.00042466i,0.00056332-0.00025628i,0.0018007-0.00019959i,0.0019677+0.00027234i,0.0014196+0.00064187i,0.00078112+0.00075738i,-7.8238e-05+0.00066847i,-0.00048751+0.00076384i,-0.00047627+0.001215i,-0.00067553+0.0011694i,-0.00049147+0.00063241i,7.1623e-05+0.00035294i,0.00029665+0.00090901i,-0.00059969+0.0012508i,-0.0010198+0.00070235i,0.00021869+0.00017335i,0.00037011+0.00021975i,-0.00026744+0.00078936i,-0.00058122+0.00087654i,-0.00084515-0.00032624i
0.00022653+0.00081118i,-0.0010451-0.0010216i,-0.0011215-0.0022398i,-0.00060362-0.0022402i,-0.00084138-0.0019702i,-0.0002546-0.00099289i,0.00020144+0.00046806i,0.00013826+0.00069187i,-0.00026809+0.00054222i,-0.00033892+0.00037371i,-8.0529e-05-0.00032624i,0.0010056-0.00020946i,0.0012883+0.00071451i,-0.00029476+0.00077766i,-0.00082357+0.00065738i,-0.00017823+0.0011965i,0.00031619+0.0012904i,0.0008383+0.00078647i,0.0014128-5.8506e-05i,0.0016921-0.00015506i,0.00027848+0.00035314i,-0.00059597+0.00059401i,-0.0004239+0.00059679i
0.00057579-0.00086869i,0.00013904-0.0020814i,0.00077708-0.0029472i,9.2458e-05-0.0030404i,-0.00049107-0.0027077i,-9.5706e-05-0.0013909i,0.00042033-2.6456e-05i,0.0010111+0.00090633i,0.00079796+0.00095884i,0.00050153+0.0012383i,0.00075302+0.001267i,0.0010525+0.00095755i,0.00073838+0.00068021i,0.00059004+0.00029643i,0.00011879+0.00077795i,-0.00020209+0.0010801i,0.00034333+0.0012543i,0.00022428+0.0011352i,-0.00033075+7.1738e-05i,-0.00062413-0.00029328i,-0.0010436-5.716e-05i,-0.0010142+0.0001183i,-0.00075397+0.00020804i
-0.0013192-0.0008188i,0.00038357-0.0014637i,0.00021525-0.0014585i,-0.00037662-0.0016193i,-0.00029225-0.0015091i,0.00062409-0.0016292i,0.0012089-0.0015911i,0.00064612-0.00029037i,0.00073039+0.00083732i,0.00095518+0.00055274i,0.00088176-0.00055428i,0.00087188-0.001211i,0.0018107-0.0012133i,0.0020277-0.00084662i,0.0012722-0.00053992i,0.00048146+0.00047241i,0.00020864+0.0010255i,-0.000401+3.1293e-05i,-0.00059099-0.00097064i,0.00025558-0.00043418i,0.00010729+0.00035532i,2.5425e-05+0.00062243i,0.0007455+0.00068919i
0.00077905-0.00035762i,-0.00074878-0.00051728i,-0.00084794-0.0018845i,-4.527e-05-0.0022997i,0.00033124-0.0015928i,6.3173e-06-0.00030093i,-0.00021307+0.00097862i,0.00079567+0.00085837i,0.00098579+0.00088998i,0.0003701+0.0010437i,0.00012708+0.00051489i,0.00065381-0.00065595i,9.306e-05-0.0012116i,-0.00077014-0.00089655i,-0.00080762-0.00048709i,-0.0012622-0.0001687i,-0.0011355+0.00010772i,-3.1289e-06+6.4491e-05i,0.00050541+7.7669e-05i,-0.00011849+0.00022509i,-0.00086543+0.00093641i,-0.00017558+0.0015177i,1.7531e-05+0.00098737i
-0.00097052-0.001586i,1.9096e-05-0.0011607i,0.0006665-0.0016005i,0.00086364-0.0013156i,0.00036579-0.0010406i,0.00031467-0.0010547i,0.00015954-0.0006411i,-0.000208-0.00015944i,5.5011e-05+0.000308i,0.00013929+0.00057254i,-0.00037497+0.00033556i,-0.0010248+9.1363e-05i,-0.0010729-0.00020784i,-0.00048486-0.00026994i,-0.00033132+0.00035162i,-0.00064818+0.0009461i,-0.0005127+0.00050855i,-0.00049096+0.0001445i,-0.00019767+0.00067956i,0.00072681+0.0013175i,0.0010263+0.00061224i,0.00068887-0.00038207i,0.00056723-0.00051816i
-0.0016975+0.00059903i,-0.00079932+0.00067056i,-0.001316+0.00077013i,-0.0010975+0.0016092i,-0.00013288+0.0008863i,0.00020315+6.8056e-05i,0.0001012+0.0011612i,-1.5965e-05+0.0020237i,-0.00032692+0.0015463i,-0.00030457+0.00073532i,-0.00014644+6.4515e-06i,-0.00019921-0.00015034i,-0.00078365+0.00010427i,-0.0013119+0.00044433i,-0.00072744+0.00037025i,-0.0003999-0.00016059i,-0.00032357+0.00016809i,-0.00017484+0.0010229i,-0.00043129+0.0010546i,-0.00025097+0.00076853i,0.00026539+0.00043285i,0.00055256-0.00011021i,0.00010933-0.00056961i
0.00097505-0.00093197i,-0.00035949-0.0015686i,-0.00084897-0.003047i,-0.0010708-0.0044574i,-0.00092549-0.0037826i,7.0836e-05-0.0016659i,0.00098734+6.5823e-05i,0.00079755+0.0013395i,0.00041998+0.0021668i,0.0002614+0.0021757i,-0.00050263+0.0018737i,-0.00043771+0.0016197i,0.00020763+0.0007436i,0.00053251+0.00051875i,0.00064671+0.00074603i,0.00039999+0.00026383i,-5.582e-05+0.00031513i,-0.00026683+0.00082131i,-0.00025931+0.0008292i,0.00061903+0.00042842i,0.00095302+8.4962e-05i,-2.9843e-05-0.00033263i,-2.6712e-05-0.00057521i
0.00018213+0.00089417i,-0.00061379+6.2046e-05i,-0.00081175-0.0001558i,-0.00063973-0.0013198i,0.00020935-0.0025482i,0.00031884-0.0011588i,-0.00033963+0.00013576i,-0.00040413+0.00087321i,-0.00032005+0.0018164i,0.00016262+0.0016317i,0.00074636+0.00073672i,0.00098691+5.7928e-05i,0.0013516-0.00033484i,0.00084062-0.00014303i,-3.669e-05-0.00013938i,0.00027576-0.00018779i,0.00024632+0.00050254i,-0.00020704+0.0007973i,0.00040921+0.00050917i,0.00073862+0.00067974i,0.00052887+0.00076478i,-0.00016934+0.00076814i,-0.00035113+0.0010916i
0.00056845-0.00059399i,0.0026078-0.0017034i,0.0030608-0.0021704i,0.0029484-0.0030475i,0.0022138-0.0027213i,0.00057427-0.0018102i,-0.00025322-0.0009278i,0.00023648+0.00033106i,0.00036484+0.0010262i,0.0011088+0.00041612i,0.0013729-0.00041214i,0.00040786-0.00080315i,0.00035546-0.0006736i,-7.4012e-05-0.00025525i,-0.00034571+0.00019479i,-0.00044391-0.00015427i,-0.00048297-8.8234e-05i,-0.00010653+0.00034964i,-0.00021566+0.00011835i,4.536e-05+0.00057897i,0.00012394+0.00094435i,0.00013203+0.00021938i,0.00036791-0.00010225i
0.0015104+0.00046085i,0.0012596+0.00040994i,0.0011491-0.00061982i,0.00061763-0.0022957i,-0.0003465-0.0035274i,-0.00096062-0.0030935i,-0.00081275-0.0018228i,6.8615e-05-0.00079351i,0.0011336-0.00010561i,0.00114+0.00019655i,0.00056529+0.00010549i,0.00057325-0.00095842i,0.00058016-0.0010267i,-0.00011215-0.00018887i,-0.00029307+0.00043463i,0.00018783+0.00057224i,-0.00011989+0.00013298i,-6.4486e-05-0.00014979i,0.00029415+0.00027012i,2.6601e-05+0.00065494i,9.524e-05+0.00042543i,0.00091039+0.00023751i,0.0016702+0.00021887i
-0.00023494+0.0015857i,-0.00062477+0.0013973i,-0.0009497+0.0003965i,-3.4763e-05+0.00039111i,-0.00024197-0.00033131i,-0.00047301-0.0010917i,-0.00079967-0.00061473i,-0.001306+0.00011758i,-0.00029704+0.00053817i,0.00028685+0.00033823i,0.00023208-0.00013217i,0.00020902-0.00050819i,-0.00026516-0.0004951i,-0.0003438-0.00016767i,2.7974e-05+0.00037233i,0.00040352+0.00055941i,0.00045492-0.00046494i,0.00024191-0.0006221i,-0.00010117-0.0005092i,0.00029584-0.00081944i,0.00086707-0.0010329i,0.00042542-0.00048582i,8.259e-06+4.6293e-05i
0.00031839-8.9727e-05i,0.001634-0.0019573i,0.0023022-0.0035334i,0.0015294-0.0038011i,0.00090171-0.0031489i,0.00063198-0.0018575i,3.9068e-05-0.00056896i,-0.00032857+0.00046114i,-0.0007785+0.0010009i,-0.00048769+0.0011179i,7.0911e-05+0.00093925i,9.7186e-05+0.00029808i,-8.4045e-05+0.0002077i,0.00026023+0.00069756i,0.00042524+0.00067455i,0.00043294+0.00072465i,0.00053078+0.0012846i,0.00045737+0.0010824i,0.00013483+0.00091431i,-8.3983e-05+0.0005623i,0.00018944+0.00010193i,0.00024211-0.0003194i,0.00083149-0.00026973i
0.0012426+0.0012201i,0.0014946+0.00069113i,0.0015699-0.0012744i,0.001471-0.001823i,0.0011842-0.0019102i,0.00082451-0.0015771i,0.00022659-8.0758e-05i,-0.00034353+0.00082188i,-0.00084354+0.0010414i,-0.0010328+0.0015224i,-0.00073764+0.001008i,-0.00089571+0.00015783i,-0.00026871+0.00045952i,0.00011522+0.00076114i,-8.4919e-05+9.6043e-05i,0.00055896-9.159e-05i,0.00032078+0.00024981i,-0.00073598-3.7381e-06i,-0.00034927+5.9956e-05i,0.0004902+0.00070672i,0.00043807+0.00089509i,1.1868e-05+0.0012297i,0.00018401+0.0010791i
0.00088052-0.00010655i,0.0008113-0.00041888i,0.0017617-0.00046502i,0.0012113-0.00097117i,-0.00040224-0.0021052i,0.00032703-0.0019792i,0.0011893-0.00097553i,0.0010454+0.00016328i,0.00056276+0.0016051i,0.00039263+0.0011219i,0.00079625+0.00053071i,0.00059185+0.00065768i,0.00029192-1.5701e-05i,0.00016797-0.0005319i,-0.0004929+0.00025933i,-0.00048476+0.00044534i,0.00024174-3.4861e-05i,0.00033985-5.2e-06i,4.3337e-05+0.00027091i,-0.00023104+0.00026806i,-0.0012148+0.00040301i,-0.0013992+0.00054195i,-0.00023516+0.00011285i
-0.0010163-0.00032409i,-0.0018057-0.00045452i,-0.0015652-0.00053029i,-0.0013771-0.0011798i,-0.00085897-0.0015395i,-0.00027154-0.0013295i,-6.2951e-05-0.0010384i,0.00020974+4.9074e-05i,0.00028844+0.0012883i,0.00088535+0.0016008i,0.0012544+0.0003451i,0.00069451-0.00083841i,2.6257e-05-0.00082505i,-0.0011367-0.00043884i,-0.001728+7.9937e-06i,-0.00076704-0.00014208i,2.7804e-05-0.00031513i,-0.00055568-0.00010964i,-0.00021024+0.00049177i,0.000556+0.00070875i,-0.00019562+0.00038251i,-0.00046838+9.4652e-05i,-0.00012573+0.00045269i
0.00053466+0.00048692i,0.0013823-0.0016365i,0.0021214-0.0034252i,0.0014253-0.0036618i,0.00031362-0.0019546i,-0.00021419-0.0011686i,-0.00040948-0.0012679i,-0.00090205-0.00026305i,-0.00029139+1.3298e-06i,0.00072577-0.0002702i,0.0008001-0.00010294i,-6.7489e-05-0.0001877i,-0.00095901-0.00011749i,-0.0010569+0.00036647i,-0.0008115+0.00089104i,-0.00050009+0.0006293i,-0.00015449+0.00037982i,-0.00036077-1.6805e-05i,-0.00046152-0.00045001i,0.00032165-0.00025218i,0.0010096+0.00018767i,0.00027273+0.00035824i,0.00017138+0.00023399i
-0.00029422+0.0014997i,-0.0014294+0.0012931i,-0.0015339-8.2969e-05i,-0.00079066-0.00093868i,-0.00092716-0.0013873i,-0.0013427-0.0011265i,-0.0018461+0.00041025i,-0.0013716+0.0019479i,-0.00043383+0.0019798i,0.000201+0.0011329i,0.00031045+1.1171e-05i,-3.6595e-05-0.00011785i,-0.00016893-0.00018438i,-0.00047852-0.00058979i,-0.00047164-0.00090536i,-8.2511e-05-0.00051987i,-0.0005185+0.00057017i,-0.00017088+0.00039294i,0.00054223+7.6377e-05i,0.00025436+0.00089644i,0.0003898+0.0011791i,0.00057572+0.00065245i,0.0005225-0.00010649i
-0.00019778+0.00055463i,-0.00031748-0.00082054i,0.00021428-0.00099673i,0.00081733-0.0013663i,0.00085778-0.0019914i,0.00030521-0.0015327i,0.00038515-4.9131e-05i,0.00025495+0.00094811i,0.00012791+0.0012313i,8.9176e-05+0.0007566i,-0.00030342-8.4519e-05i,9.4807e-05+0.00010349i,0.0005518+0.00054682i,9.9375e-05+0.00032967i,-5.5822e-05-0.00055075i,0.00036621-0.00095127i,0.00077769-0.00010147i,0.00062036+0.00033351i,-7.9172e-05-0.00045134i,-0.00050613-0.00022016i,-6.0423e-06+0.00038813i,0.00039018+0.00034072i,0.0005364+0.00010379i
-0.00065805-0.0021926i,0.0002992-0.0019107i,0.0002123-0.0023233i,-0.0015611-0.0022387i,-0.0022738-0.0020119i,-0.0010381-0.00070754i,4.0283e-05+0.00099816i,0.00069396+0.0019008i,0.00056295+0.0022658i,-0.00014087+0.0017233i,-0.00067087+0.00069318i,-0.00097396+0.00031664i,-0.0006524+0.00038465i,-0.00068344-0.00013908i,-0.00058115-5.8137e-05i,-0.00011457+0.00057557i,-5.3718e-05+0.00035294i,1.2551e-06+0.00024636i,0.00037079+0.00066624i,0.00026645+0.00071338i,-7.5777e-05+0.000307i,-0.00030789+0.00033485i,-0.0011102+0.00039276i
-0.0001346+0.001001i,0.0012561-0.00011154i,0.0024862-0.00098957i,0.0023315-0.0005529i,0.0017632-0.00068204i,0.0014591-0.0014717i,0.00076198-0.00071548i,0.00057694+0.00072392i,0.00046504+0.00088057i,3.9221e-05+0.00073871i,-0.00038179+0.00045587i,-0.0003057-0.00041004i,0.00038169-0.00062092i,0.00051244-0.0003879i,0.00024813+0.00042664i,0.00023779+0.00034323i,0.00059827-0.00011026i,0.00054561+0.00050704i,0.00023762+0.00081665i,0.00034495+0.0010139i,0.00027986+0.00071951i,6.7127e-05+0.00018475i,0.00034687+0.00023989i
-0.00022756-0.0012592i,-0.0020819-0.00044879i,-0.0033299-0.00028564i,-0.00248-0.001744i,-0.0016894-0.001975i,-0.0017396-0.00020436i,-0.00011568+0.00049914i,0.00064922+0.0009301i,0.00024027+0.0016265i,0.00022082+0.0014096i,0.00032749+0.00075758i,-1.8323e-05-8.7499e-05i,-0.00017539+5.9378e-06i,-9.7826e-05+0.00046913i,9.226e-06+0.00051442i,0.00023401+0.00051245i,-0.00021497-0.00024688i,-0.00066812-0.00054854i,-0.00049973+0.00012912i,-0.00022289+0.00053156i,-0.00041629+0.00071959i,-0.00023499+1.8068e-05i,-0.00021576-0.00036158i
0.00043567-0.00016117i,-0.00054501-0.00047913i,-0.0013576-0.0019638i,-0.00053283-0.0023786i,0.00012667-0.00055155i,-0.00050361+0.00067065i,-0.00065557+0.00012995i,0.00019903+0.00016908i,0.0004093+0.00040903i,0.00027438-0.00021323i,0.00059671-0.00063627i,0.00046646-0.00025926i,0.00038482+0.00029159i,0.00032516+0.00032809i,-0.000655+0.00090969i,-0.0012736+0.00087942i,-0.0009399+0.0001801i,-0.0003513+0.00037388i,5.7264e-05+0.00066038i,-8.2968e-05+0.00092226i,-0.00026377+0.00091264i,0.00018645+0.00046753i,0.00037328-0.0002046i
-0.00086447-0.0010869i,-2.2256e-05-0.0010395i,0.0014182-0.0021155i,0.0018735-0.0018759i,0.00079558-0.00036679i,0.00059817+0.00018776i,-8.4337e-05+0.00045687i,-0.00088378+0.00040845i,-0.00069464+6.1161e-06i,-0.00015401+1.7024e-05i,2.6739e-05-0.0008497i,3.8207e-06-0.0013503i,-0.00052732-0.00061568i,-0.00016672+0.00020099i,0.00070122+0.0011205i,0.00048325+0.0015662i,-9.2929e-05+0.0014134i,-0.00042405+0.0008795i,5.3463e-05+0.00069705i,0.00070884+0.00088843i,0.0010353+0.0011549i,0.00025413+0.0012785i,-0.00080121+0.00083588i
0.00022506-0.00034564i,0.00083074+0.00016572i,0.0014581+0.000719i,0.0006405+0.00015054i,-0.00062299-0.00033643i,-0.00055278+3.1969e-05i,-0.00034298+0.0010536i,0.00011137+0.0014839i,0.00020674+0.0013065i,-0.00034824+0.00098305i,-0.0004102+0.00036701i,-0.00018563+0.00018773i,1.6703e-05-0.00023394i,0.00051291-0.00044296i,-4.241e-05-0.00052709i,-0.00045304+8.2433e-05i,-0.00058389+0.0011522i,-0.0016524+0.00066685i,-0.0010644-0.00023952i,0.00034017-0.00047099i,0.0012493+0.00014465i,0.00089089+0.00048742i,-5.9972e-05-5.0958e-05i
-0.00048439-0.0011627i,-0.0011676-0.0010816i,-0.0030082-0.00060996i,-0.0024127-0.00037389i,-0.00039965-0.0002671i,0.00078033+0.00024783i,0.00082579+0.00071051i,0.00053665+0.0011109i,0.00026346+0.0012304i,1.371e-05+0.0015034i,-0.00062053+0.0014511i,-0.00068468+0.0011784i,-0.00030206+0.00058744i,4.3293e-05-0.00016938i,0.00035576-7.8634e-05i,-3.9792e-05+0.00053614i,-0.00028258+0.00041038i,0.00032577-0.00065584i,0.0010126-0.00060861i,0.00043535+2.3622e-05i,-0.00030861+0.00012215i,-0.00024109+0.00049203i,-0.00021762+0.00054362i
0.0015006-0.00049695i,0.0020383-0.00051337i,0.0011125-0.0013869i,0.00020325-0.0019268i,-5.3027e-05-0.0014186i,-0.00019009-0.00097824i,0.00025154+4.8092e-05i,0.0010913+0.00087057i,0.001279+0.00077816i,0.0011367+0.00071954i,0.00066151+0.00044792i,-0.00021459-5.6807e-05i,-0.00037669+0.00018761i,-0.00010671+0.00026189i,0.00015344+0.0001728i,0.00025349+0.00058273i,0.00011205+0.0003068i,0.00032454+0.00057694i,0.00057621+0.00070602i,0.00015708+0.00017184i,-0.00051691+0.00027858i,-0.00061687+0.0006003i,-0.00066062+0.00033387i
-0.0022362+0.00047487i,-0.0023293-5.4491e-05i,-0.0019075-0.0010136i,-0.00096005-0.00075547i,0.0004499-0.0002751i,0.0015895-0.00045841i,0.0011225-0.00074537i,0.00032242-0.00069495i,0.00050664-0.00081864i,0.0010762-0.00035026i,0.0012087+0.0008993i,0.0015419+0.0016028i,0.0014381+0.0010797i,0.00058837+0.0007657i,0.00030036+0.00058849i,0.00036464+0.00019498i,0.00043866-0.00015218i,0.00066995-0.00039234i,0.00075296+5.1874e-05i,0.00067272+0.00055374i,0.00028256-0.00010677i,-0.00025209-0.0009249i,-0.0003533-0.00064357i
0.0013854-0.0018641i,0.00031947-0.0020519i,-0.00082316-0.0035446i,-0.0015613-0.0039889i,-0.0018905-0.0026155i,-0.0025319-0.00083509i,-0.0025141-0.00012738i,-0.0014639-0.00040996i,-0.0007202-0.00046573i,-0.00011145-0.00058015i,0.00045164-0.00104i,0.00018467-0.0010105i,-0.0004486-0.00057902i,-0.00023293-1.2239e-05i,0.00043571+0.0006514i,8.6271e-05+0.00055641i,-0.00062543-0.00031417i,-0.00069857-0.0001023i,-0.00043361+0.00020933i,8.7944e-05+0.00018817i,0.00063799+0.00071136i,0.00076175+0.00073675i,0.00037458-0.00054673i
