-0.0016653+0.00036581i,-0.0011446-6.3939e-05i,-0.0025222+0.00054694i,-0.0028317+0.00047766i,-0.0028594+0.0010966i,-0.0028705+0.0018523i,-0.0018232+0.0018353i,-0.00063539+0.0015676i,0.00015787+0.0011793i,0.001036+0.00069766i,0.0008079+0.00065608i,0.00095278+0.00053856i,0.0015773+0.0001547i,0.00082392-0.0006256i,0.00051603-0.00013538i,0.00017545+0.0004609i,-0.00079771+7.033e-05i,-0.00093606-0.0001847i,-0.0011213-4.0824e-06i,-0.001259+0.00011391i,-0.00026789-0.00026425i,0.00012521-0.00029306i,-5.0836e-05+1.5212e-05i
0.00044379+0.00033039i,-0.00074246-0.00023886i,-0.0017141-0.00094718i,-0.0013688-0.00071562i,-0.00049722+0.0003081i,-0.0004695+0.0010435i,-6.2984e-05+0.00075889i,0.00072426+0.00022776i,0.00055921+0.00058835i,-0.00058333+0.00074936i,-0.00094539+0.00025327i,0.00012536-5.0459e-05i,0.00096262-1.4855e-05i,0.0010951-0.000479i,0.00027626-0.00094153i,-0.00097732-0.00056727i,-0.0015797-0.00034068i,-0.0010617-0.00026835i,-8.2114e-05-0.00012254i,0.00024672+7.0612e-05i,7.9517e-05+0.00091354i,4.7215e-06+0.0012341i,0.00040325+0.00034191i
5.2252e-05-0.00011387i,0.00052962+0.00038479i,0.00058228-0.00025522i,0.00016656-0.00083167i,-0.00046386-0.00051807i,-0.0015488-7.9195e-05i,-0.0013714+0.00025908i,-0.00090519+0.000184i,-0.00072374+0.00034379i,4.8873e-05+0.0001986i,6.241e-05-0.00064931i,0.00054872-0.00074274i,0.00099779-0.00051403i,0.00030899-0.00039086i,-0.00023493-0.00013883i,-1.337e-05-0.0005427i,-4.4053e-05-0.00051146i,-0.00027463-7.265e-05i,-6.6889e-05-0.00076954i,0.00038249-0.0010413i,0.00057746-0.00017548i,0.00040551+2.6596e-05i,0.00054649-0.00028006i
0.00072906+0.0014807i,-0.00011364+0.00036687i,0.00068541-0.00072445i,0.0016527-0.001009i,0.001368+0.00012976i,0.00050509+0.00083634i,-0.00010382+0.00069614i,-0.00051914+0.00076549i,0.00011199-4.5235e-05i,0.00071772+0.00055572i,0.00026172+0.0012124i,0.00052854+0.00027248i,0.00078266-0.00026622i,0.00036374-0.00080847i,-9.8392e-05-0.0015627i,-0.0003826-0.0011507i,-9.3736e-06+9.1314e-07i,-0.00054643+0.00064069i,-0.0013013+0.00071089i,-0.00070636-1.3334e-05i,7.5062e-05-0.00043293i,-0.00036391-0.00050906i,-0.0003802-0.00051082i
0.0015874-0.0011092i,0.0012763-0.00062245i,0.00091198-0.0011813i,-0.00015494-0.0015548i,-0.0013663-0.00054043i,-0.0015586+0.000487i,-0.0004533+0.0003601i,-6.339e-05+0.00084869i,-6.0478e-05+0.00088125i,0.00068358+0.00056332i,0.00034919+0.0005858i,-8.9865e-05+0.00054069i,-0.00024244-0.00022515i,-0.00046233-0.00059976i,-0.00046872-0.00029561i,-0.0011222-0.00040959i,-0.0023841-0.00037889i,-0.0018513+0.00054572i,-0.00029741+0.0015592i,-0.00019853+0.00054193i,0.00056512-0.00063646i,0.0010369-0.0002112i,-0.00034676+3.905e-05i
0.0012761+0.0012649i,0.0018523+0.0017188i,0.0013211+0.0012036i,0.00036576+0.00036292i,-0.0004113-0.0003355i,-0.00072468-0.00042915i,-0.00081322+0.00024998i,-0.00064694+0.0011587i,-0.0001154+0.0018697i,0.00025793+0.0014823i,-0.00021345+0.0007378i,-0.00045256+0.00045082i,-0.00010293+0.00044614i,0.00022919+0.00075093i,0.00060925+0.00029892i,0.00056735-0.00014178i,0.00046416+0.00041021i,0.00036126+0.0008823i,0.00029376+0.00032325i,-0.00011479-0.0010245i,-0.00041335-0.00053184i,9.6832e-05+0.00076987i,0.00026346+0.0010002i
0.00068268+0.00024264i,0.00096477+0.00034222i,0.0019106-0.00015763i,0.0018424-0.00090684i,-0.00011832-0.00085956i,-0.0015549-0.00062707i,-0.0016299-7.171e-05i,-0.00036506+0.00032981i,0.00015158+0.00085852i,0.00038254+0.00078287i,0.00079589+0.0011082i,0.00052277+0.0012766i,0.00032442+0.00020926i,-2.4286e-05-0.00047726i,-0.00067203-0.00018538i,-0.00045869+0.00010077i,-0.00012502+3.2924e-05i,0.00012062-0.00029968i,0.00052391-0.00063653i,7.8638e-05-0.0010588i,-2.3875e-05-0.00058627i,-8.2435e-05-7.7632e-06i,-0.0003945+0.00014976i
-0.00034639-0.0014544i,-0.00076428-0.001594i,-0.0012678-0.0012917i,-0.0019449-0.00078734i,-0.0020246+0.00041969i,-0.0019083+0.0007085i,-0.001157+0.00019965i,-0.00011589+0.00014738i,0.00091809+0.00087855i,0.00068094+0.00082442i,0.00039208+0.00041498i,0.00090189+0.0012762i,0.00095062+0.0010963i,0.00063247+0.00015257i,0.00023162-9.8069e-05i,1.9718e-05+0.00019488i,-0.00011103+0.0005458i,1.0334e-05+0.00015144i,6.9703e-05+0.0002425i,0.0001588+0.00031849i,-0.00015592-0.00040098i,-0.00037464-0.00050816i,0.00012587+6.4551e-05i
2.9164e-05+0.00088684i,0.00078027+0.0010939i,0.0014976+0.0006664i,0.00091082+0.0011684i,-0.00095544+0.002136i,-0.0022106+0.0015212i,-0.0013608+0.0008645i,0.00021036+0.0011812i,0.00081501+0.0010041i,0.0010838+0.00063553i,0.0010839+0.00098182i,0.00051736+0.00080785i,-0.00021833-0.00057692i,-0.00076802-0.0008858i,-0.00057022+0.00034266i,-0.00025604+0.0011702i,-0.00064366+0.00091411i,-0.0005388+9.1386e-06i,-0.00012662+0.00021412i,-0.00030107+0.0012595i,-0.00054947+0.0015932i,0.00018161+0.00076607i,0.00020269+0.00019996i
-0.00068901+0.00010115i,0.00041251-0.00025596i,0.00077616+0.00067154i,0.00079756+0.0012104i,0.0011664+0.0011369i,0.0008809+0.0010268i,-0.00017023+0.0012366i,-0.00014099+0.0011593i,0.0010392+0.0010756i,0.00037151+0.0010368i,-0.00060192+0.00038806i,-0.0002713-0.00019499i,-4.1961e-05-0.00064938i,0.00043521-0.00049071i,0.00072635+0.00015264i,0.00022626-0.00016146i,-0.00041138-0.00041025i,-0.00083976-0.00036183i,-0.00074578-0.00012364i,-0.00041837+0.000282i,0.0003942-0.00025703i,0.0010832-0.00051955i,0.00067168-0.00019236i
-0.0002072-0.00024605i,-0.00023731-0.0001564i,-0.00026918-8.2358e-05i,-0.0013071+0.00021163i,-0.0015757+0.00072545i,-0.00096252+0.00087829i,-0.00053242+0.00084218i,-0.00098582+0.0010906i,-0.0015737+0.001112i,-0.0012936+0.0005153i,-0.00034397+0.00035752i,0.00017813+0.00055678i,9.5998e-05+0.00060251i,0.00046535+7.4033e-05i,0.00039109-0.00048744i,-0.00012244-0.00093927i,0.00015051-0.00071318i,-3.2191e-05-0.00039465i,-0.00036122-0.00028316i,-0.00048074+0.00030615i,-0.00028191+0.00023272i,-0.00014653-0.00014847i,-0.00028452-1.2885e-06i
-0.00095503+0.00021573i,-0.00097869+0.00047377i,-0.00039175+0.00058264i,7.1973e-05+0.0014333i,-0.00068876+0.0024099i,-0.0013005+0.0019996i,-0.0005505+0.00090177i,0.0002618+0.00053642i,0.00096709+0.0010116i,0.00097559+0.00079881i,0.00022752+0.00026027i,-0.00013368-0.00061269i,-0.00034237-0.0010448i,-0.00024472-0.0003677i,0.00012281+0.00025463i,0.00018763-0.00022171i,-0.00042403-0.0008637i,-0.0014256-0.00078536i,-0.001179-0.00014394i,0.00031656+0.00065189i,0.00015083+0.00082229i,-0.00022408+0.00044064i,-0.00024337+0.00015709i
-0.002506+0.0011154i,-0.0022019+0.0013572i,-0.0022754+0.0021823i,-0.0012714+0.0025416i,0.00056422+0.0015483i,0.0015354-5.5296e-05i,0.0013104-3.4647e-05i,-6.1817e-06+0.00097947i,-0.001207+0.00061339i,-0.0010749+0.00083233i,-0.00026287+0.001605i,-1.3284e-05+0.0014238i,-0.00019097+0.00051042i,5.4999e-05+0.00059083i,0.0001132+0.0016147i,-0.00017944+0.0012181i,0.00010896+0.00025119i,0.00014454-4.4859e-05i,-0.00048951+0.00024142i,-0.00053294-0.00013557i,-0.00027895-0.00094077i,6.7577e-05-0.00053245i,0.00033996-0.00016738i
0.00094114+0.00039124i,0.00095235+0.00069121i,0.001589+0.00014017i,0.0015443-0.00016709i,0.00087824+0.0003736i,0.0005667+0.00013176i,0.00027318-0.0003068i,0.00010914+0.00022784i,-0.00014134+0.00098971i,-0.00041805+0.0018772i,-0.00043207+0.0021515i,-0.00014774+0.0012434i,-8.6822e-05+0.00059891i,-0.00048331+0.00063256i,-0.00064916-5.4896e-05i,-0.00045261-0.00040544i,0.00027547-0.00027995i,-2.1322e-05-3.2576e-05i,-4.8787e-05+0.00020712i,0.00023687+0.00021414i,-0.00029656-4.678e-05i,-0.00038753+0.00026458i,-0.0009473+0.00047365i
0.0011339+0.00057015i,0.0013266+0.0010108i,0.000941+0.00083022i,0.00045409-6.4471e-05i,-0.0003714+3.194e-05i,-0.00065342+0.0011046i,-0.00041262+0.0014275i,-1.7827e-05+0.0011479i,-0.00044014+0.0016795i,-0.00085814+0.0020115i,0.00032519+0.00084901i,0.0011246-0.00045284i,0.00029464-0.00050111i,-0.00030597-0.00076863i,-0.00021956-0.0011214i,-0.00062542-0.00061439i,-0.0004541-0.00055568i,5.378e-05-0.00054323i,0.0003165+4.2766e-06i,0.00076476-7.571e-05i,0.00036113-0.00058822i,4.6418e-05-0.00046635i,0.00019262-0.00049093i
-0.0011033+0.0005889i,-0.0014532+0.001228i,-0.0019457+0.0012561i,-0.00086628+0.0011568i,0.00040494+0.0014429i,0.0010233+0.0013743i,0.00011875+0.0014717i,-0.00079974+0.0016084i,-0.00056452+0.0016577i,1.5288e-05+0.0016376i,0.00043808+0.0011623i,-4.2497e-05+0.00021129i,-0.00037424-9.6849e-05i,4.905e-06+0.00043003i,0.00054467+0.0010912i,0.0006001+0.00054104i,-0.0001516-0.00064574i,2.3706e-05-0.0011574i,0.00034701-0.00061171i,-0.00050703+0.00019298i,-0.00064812+0.00025511i,5.3844e-05-0.00021649i,0.00030639-0.00071452i
0.0021017+0.00021779i,0.001758-0.00065978i,0.000573-0.0011285i,-0.00032533-0.00077323i,-0.0013146-0.00011253i,-0.0010717+0.00044572i,-0.00025439+0.00090122i,-0.00037767+0.0012851i,-0.00022353+0.0011523i,-0.00015944+0.00067951i,2.4754e-06+0.00015816i,-0.00017815+5.7128e-05i,-0.00018547-0.00040627i,-3.3101e-06-0.00057735i,-0.00020806-0.00037089i,-0.00031739+0.00010822i,-0.0005073-7.6164e-05i,-0.0010185-0.00039209i,-0.0010685+0.00039238i,-0.00044246+0.00080949i,7.316e-05+0.00034325i,8.9439e-05+0.0004025i,0.00034491+0.0002885i
-0.0021457+0.0023594i,-0.0024497+0.0025861i,-0.0021324+0.002088i,-0.0022124+0.0012466i,-0.001555+0.0014632i,-0.00094551+0.0011092i,-0.00026608+0.00010469i,-0.00011276+0.00024583i,-0.00094143+0.00096757i,-0.00076039+0.00062578i,0.00028348+0.00021248i,0.00027519+0.00062298i,0.0002006+0.00011874i,8.4595e-05-3.4535e-05i,-0.00017772+0.00014988i,0.00015282+0.00020079i,-0.00030088-0.00033851i,-0.00058976-0.00034717i,0.00030758-0.0002312i,0.0011501-0.00071228i,0.0013498-0.00019004i,0.00020674+0.0003836i,-0.00049161-6.0137e-05i
0.00095922+0.0005696i,0.0012012-3.4467e-05i,0.00016835+0.00091607i,-0.00065497+0.00065583i,-0.00073516-3.3246e-05i,-0.00046983+0.00020367i,-0.00035564+0.00067787i,-0.00049946+0.0009367i,-0.00051622+0.0012552i,0.00027157+0.0014566i,0.00046101+0.0017161i,-0.00013718+0.0016397i,6.841e-06+0.00073037i,0.00061311+0.00019835i,0.00077196-0.00054311i,0.00016583-0.0010561i,-0.00037014-0.00076352i,-6.8524e-05+2.9031e-05i,-0.00019703+0.0005828i,-0.00051861+0.00071255i,-0.00055299-2.3822e-06i,-0.00057888-0.00013446i,8.9185e-05+1.0725e-05i
-0.0016225+0.00027841i,-0.0012042+0.00066834i,-0.0015112+0.0012809i,-0.001278+0.0013714i,-0.00060284+0.0016126i,-0.00027617+0.00083718i,-0.00025719+0.00028659i,-0.00010789+0.00037322i,-0.00047371+0.00077371i,-0.00075404+0.0011763i,-0.00032165+0.001342i,0.00036845+0.0011029i,0.00096911+0.00039057i,0.00088297-0.00044507i,0.00044823-0.00030506i,0.00010568+0.00028801i,-0.00046196-9.6915e-05i,-0.0011355-0.00028977i,-0.0010777+0.00010124i,-0.00060396+0.00033288i,-0.0005476+0.00059798i,-0.0002649+0.00063524i,0.00018841-0.00057556i
0.0010021-0.0001214i,0.0015138-0.0012333i,0.0012053-0.0011966i,-0.00026906-0.0012406i,-0.0010174-0.00084806i,-0.0014622-6.6645e-05i,-0.0011439-0.00025668i,-0.00064984-0.00015814i,-0.00060945-0.00012869i,-0.00062796-8.4617e-05i,-7.0683e-05+0.00039293i,-0.00024491+0.00066032i,-0.0013329+5.61e-06i,-0.0012202-0.00089836i,-1.263e-05-0.00054167i,0.000426-0.00023202i,0.00043093+0.00019168i,-0.00043917+0.00023037i,-0.00097574-0.00013147i,-0.00036202+0.00030205i,-0.0001544+0.00032855i,-0.00024507-0.00036592i,-0.00099572-0.00041029i
-0.00085239+0.0010338i,-0.0014311+0.00034452i,-0.0017071+0.00036755i,-0.0010728+0.0014953i,-0.00015443+0.0014513i,-0.00037519+0.00058258i,-0.00019035+0.00031302i,9.5628e-05+0.00053648i,-0.00033053+0.0010549i,0.00019677+0.0011127i,0.0008616-0.00018543i,0.00095361-0.00041928i,0.00082315+0.00029231i,0.00034956+7.5397e-05i,0.00027752+0.00034147i,-8.5641e-05+0.0003933i,-0.0011579-0.00021085i,-0.001159-0.00012489i,-0.00016982-2.4345e-05i,-0.00015727+0.00024316i,-0.00095088-0.00020706i,-0.00095577+9.0702e-05i,-0.00067452+0.00022214i
0.0013687+5.6683e-05i,0.001799+1.017e-05i,0.0014869-0.00036796i,0.00083819-0.00077917i,3.8094e-05-0.0006046i,-1.9835e-05-0.00045636i,-0.00010572-0.00052158i,-0.00020059-0.00075576i,-9.7406e-05-0.00028311i,0.00037684+0.00030009i,0.00043674+8.2602e-06i,0.00020401-0.00038536i,-0.0002465-1.7229e-05i,-0.00045349-0.00027613i,0.00051207-0.00036753i,0.00074099+0.00018455i,-7.5512e-06-0.00018311i,-0.00046522-0.00024177i,-0.00072726+9.0787e-05i,-0.00081506-0.00061037i,-0.00069832-0.0013283i,0.00010639-0.0010373i,0.00031909-8.3776e-05i
-0.0014492+0.00089793i,-0.00019312+0.00043688i,0.00078196+0.0004413i,0.00041239+0.00040684i,-0.00052561+0.00014389i,-0.00075438+0.00042558i,-0.00048504+0.0011896i,9.379e-05+0.001153i,0.0010437+0.00050081i,0.0013392+0.00068498i,0.00034033+0.0016204i,0.00019354+0.0016477i,0.00042428+0.00071561i,0.00010558-1.788e-05i,0.00027112-0.0010152i,0.00080786-0.0013806i,0.00055653-0.00078874i,-0.00043185-0.00048779i,-0.00022305-0.00061137i,0.00060322-0.00051694i,-0.00018799-0.00042211i,-7.6699e-05-0.0004114i,0.00077792-1.0949e-05i
-0.00063863-1.9007e-05i,-0.00032343+0.0006738i,-0.00015209+0.00085642i,-0.00037808+0.00097419i,-0.00123+0.00078133i,-0.0016023+0.00030022i,-0.0013093+0.00071439i,-2.8672e-05+0.00085395i,0.0010165+0.00016617i,-5.3034e-05+0.00054562i,-0.00065027+0.0014059i,-0.00027227+0.0014103i,-6.3903e-05+0.00028062i,-0.00026032+0.00012731i,-0.00022359+0.00085294i,-0.00039958+0.00050457i,-0.00093472-0.00048645i,-0.0016352-0.0009044i,-0.0016422-3.8287e-05i,-0.001258+0.00038387i,-0.0010366+0.00062231i,-0.00074092+0.00035372i,-0.00044045-0.0001643i
-0.0014043+0.0010984i,-0.0013252+0.00092078i,-0.0014651+0.0010526i,-0.001385+0.0017051i,-0.00057692+0.0020806i,0.00039562+0.0018949i,-0.00025459+0.0013714i,-0.00063183+0.0011085i,-0.00058945+0.00094792i,-0.00062439+0.00073898i,-3.5549e-05+0.0009025i,0.00022472+0.00097579i,0.00016864+0.00075583i,7.2525e-05+0.00029463i,0.00017196-1.7012e-05i,0.00021495+0.00045296i,-0.0001935+0.00058922i,-0.00030943+0.00032265i,0.00018253-7.2074e-05i,0.00083534-3.4337e-05i,0.00053853+0.0004373i,-0.00013766+0.00045036i,-0.00055663+0.00034952i
-0.00036793-0.00025601i,0.00055133-0.00069511i,-0.00011457-0.00085724i,-0.00085479-0.00025021i,-0.0014492+0.00068699i,-0.00060596+0.00085191i,2.8142e-07+0.00041891i,-0.00067571+0.00040239i,-0.0006997+0.00092881i,0.0004511+0.0014558i,0.0005952+0.0014791i,7.3846e-05+0.0010417i,-0.00030499+0.00081437i,-0.00063058+0.0002713i,-0.0002646+6.665e-05i,5.9868e-05+0.00028507i,0.00022073-1.2368e-05i,-6.2262e-05-0.00050031i,4.2766e-05-0.0006713i,0.00037347-0.0001346i,0.00054756+0.00034125i,0.00049504+0.00020491i,-0.00014205+0.00026444i
-0.0010531+0.0020642i,-0.0022395+0.0014172i,-0.0013229+0.00076657i,0.00040711+0.0007717i,0.00044711+0.0009371i,0.00019339+0.00048886i,-0.0003444-0.00040726i,-0.00063953+0.00018672i,0.00034581+0.0011677i,0.0005958+0.0012464i,0.00015211+0.00070127i,-0.00011906+0.00038083i,-0.00012223+0.00036265i,0.00044494+0.00055518i,0.00056168+0.00061677i,0.0005488+0.00058034i,-0.0002576+0.0001233i,-0.00059016-0.00039082i,0.00048978-0.00038121i,0.001036-0.00038267i,0.0012522-0.00029573i,0.00078724+0.00016891i,0.00040783+0.00026846i
-5.8511e-06-0.00081418i,0.00034171-0.001007i,-0.0003424-0.0006962i,-0.00031531-0.00013236i,9.4907e-06+0.00033295i,-0.00052063+0.00066808i,-0.00041626+0.00075246i,-0.00010404+0.00035185i,-0.00013967+0.001141i,-0.0004424+0.0020196i,-0.0005514+0.0012577i,9.46e-05+0.00061309i,0.0005734+0.00071457i,0.00018961+0.00045372i,5.4345e-05+0.00017515i,-4.445e-05+0.00024916i,-0.00050034-0.00012697i,-0.00070508-0.00020564i,-0.00024277-0.00018838i,0.00028706-0.00012368i,0.00056477+0.00042253i,0.00026855+0.00077749i,-0.00024334+0.00028686i
0.00086787-0.00050212i,0.00083603+0.00034822i,0.00066842+3.1864e-05i,0.00066422-0.00025482i,0.00064111+0.00041871i,-6.1548e-06+0.00086012i,5.4405e-05+0.00063836i,5.8263e-05+0.00055331i,-9.2526e-05+0.00057674i,0.00036118+0.00076978i,0.00027821+0.0012539i,-0.00020465+0.00094657i,-0.00070623+0.00046324i,-0.00096035+0.00047809i,-0.00045236+0.00017406i,0.00037942-0.00084648i,0.00058205-0.0012659i,0.00011186-0.00086908i,-0.00019734-0.0003939i,-0.00039456-0.0002808i,-0.00074648-0.00021883i,-0.00012835-0.00040887i,0.00061931-0.00031232i
-0.0016662-0.001571i,-0.0020682-0.002255i,-0.0021972-0.0017604i,-0.0021844-0.00072289i,-0.0022027-3.5213e-05i,-0.0017242+7.2375e-05i,-0.00084177+0.000165i,-0.00061296+0.00020772i,-0.00031539+0.00072155i,-0.00055959+0.00062395i,-0.00051322+0.00019013i,-0.0002456+0.00013488i,0.00013952+0.0006571i,0.00049527+0.0005442i,-2.1845e-05-0.00045256i,-0.00036156-0.00039518i,-0.00050032+0.00056431i,-0.00096464+0.00048835i,-0.00040527-9.8039e-05i,0.00029005-2.6495e-05i,-0.00022214+0.00023824i,-0.00060319+0.00062341i,-0.0001662+0.00045566i
7.5091e-05+0.00040897i,-0.0002689+0.0015471i,-0.00070622+0.0018374i,-0.000281+0.0011727i,0.00024479+0.00070167i,0.00040827+0.00082425i,0.00017768+0.00079702i,0.00036978+0.00087178i,0.00017583+0.00042139i,-0.00011203+5.1655e-05i,0.00097924+0.00036105i,0.0012029+0.00078499i,0.00012316+0.00072129i,-0.00013606+9.7684e-05i,-0.00024974-0.00038909i,-0.00076881-0.00037227i,-0.00070613+4.9344e-05i,-0.00049421+0.0010906i,-0.00049346+0.00086852i,0.00011062+0.00035005i,-6.6675e-05+0.00080482i,-0.00069933+0.00015278i,-0.00050061-0.00057621i
