-0.0021282-0.0013467i,-0.00085447-0.0028101i,-0.0024617-0.0023389i,-0.0032843-0.0010801i,-0.00082706+0.00083418i,0.0016249+0.0027532i,0.0016253+0.002283i,0.00037294+0.0009666i,-0.00020152-4.8045e-05i,0.0004938-0.00053515i,0.00066257-0.00046028i,8.9372e-05-0.0010299i,0.00064312-0.0008852i,0.0010303-0.00065595i,0.0010008-0.00058917i,0.00071221-0.00069309i,0.00026503+1.4415e-05i,0.00023524+0.00062236i,3.1462e-05-0.00030628i,-0.00053369-0.0015861i,-0.00013699-0.0013208i,0.00035911-0.00067788i,0.00043782-0.00013198i
0.0012342-0.0012571i,0.001361-0.0011834i,0.00085291-0.0015479i,0.00057863-0.00095822i,0.00021758+1.3089e-05i,-0.00032547+0.00085023i,-0.00044292+0.0012616i,0.0005281+0.00036809i,0.00068466-0.00055489i,-7.0236e-05-0.00058012i,-0.00072443-0.00021261i,-0.00048559-3.4604e-05i,0.00012868+0.00024481i,-0.00026347+0.00018598i,-0.00058395-0.00022561i,0.00029672-0.00064008i,-0.00011544-0.00016209i,-0.0012795+0.0001903i,-0.0011652+0.00042883i,-0.0011963+0.00056509i,-0.00074021+0.00018403i,-0.00018702+0.00026982i,-0.0001253-0.00030189i
-0.0010037+0.0020514i,0.00030499+0.0024606i,-0.00016289+0.0014965i,-0.0012892+0.00027632i,-0.00018652+0.00049652i,0.0011848+0.00091354i,0.00088434+0.0010584i,0.00035512+0.00073015i,0.00018545+4.2223e-05i,0.00029743+2.3063e-05i,0.00086312-9.6789e-05i,0.0011089-6.6044e-05i,0.00021774-0.00025864i,-9.1043e-05-0.00030676i,0.00018913-0.00033771i,-0.00011326-0.00069406i,-3.3487e-05-0.00067533i,9.9615e-06+3.7043e-06i,-0.00013391+0.00013963i,-2.09e-05+0.0004274i,3.1953e-05+0.0007686i,0.00021406+0.0006355i,2.7477e-05+0.00048454i
-0.0020619+0.0024774i,-0.0013733+0.0036451i,-0.0022158+0.0025055i,-0.0010117+0.00080247i,0.0011979+0.00077558i,0.0014043+0.00061102i,0.00080487+0.00014341i,-0.00028849+0.00031554i,-0.00055805+0.00036758i,0.00066767+4.3692e-05i,0.00080627-0.00012332i,-7.9292e-05-0.0004896i,0.00015984-0.00084215i,0.0002541-0.00073688i,-0.00014022-0.00055926i,9.8423e-05-0.00060199i,0.00039503-0.00041536i,9.9495e-05-0.00015778i,-6.5009e-05+0.00017407i,1.7476e-05+0.00058358i,-0.00033576+0.00083058i,-0.00086568+0.0005958i,-6.1304e-05-0.00011219i
-0.00050642-0.00074433i,-0.00095007-0.0016737i,-0.0020472-0.0032339i,-0.0028514-0.002673i,-0.0021083-0.00095296i,-0.00043399+0.00051092i,0.00068803+0.0011333i,0.0013457+0.00063666i,0.00032663+0.00037494i,-0.00089046+0.00096588i,-0.00090364+0.00056006i,0.00012613-0.00022645i,0.00061778-4.9756e-05i,0.0011568+0.00034216i,0.00088378+0.00053603i,-0.00082961+0.00026865i,-0.0011432-3.1164e-05i,-0.00076939-7.3189e-05i,-0.00057143-7.9158e-05i,-0.00023219-1.0608e-05i,0.00025131+0.00078133i,0.00013359+0.00083244i,-0.00023805+3.0435e-05i
0.0011174+0.001199i,0.0017177+0.0010699i,0.0014964+0.00031356i,0.0014041+0.00079033i,0.0018133+0.0014151i,0.001825+0.0010813i,0.0010029+0.00081869i,0.00055001+0.0013025i,-0.0001989+0.00097367i,-0.00093665+0.00080024i,-0.00091513+0.00074947i,-0.00043014-0.00015337i,-0.00032355-0.00073157i,-0.00039471-0.00051295i,-0.00053574-0.00023014i,2.1878e-05+9.8577e-05i,0.0012857+0.00038236i,0.0012399+3.2221e-05i,5.3027e-05-6.3285e-07i,-0.00085169+0.00026353i,-0.0014125-0.00053218i,-0.0013806-0.00051545i,-0.0014079+8.8384e-05i
-0.00097843+0.00303i,-0.00091545+0.0039083i,-0.0015329+0.0031658i,-0.0019705+0.0014816i,-0.00049063+0.00039953i,0.0016649+0.00081909i,0.0022271+0.0012941i,0.00081675+0.00074744i,-0.00037029+0.00073959i,-0.00036484+0.0010578i,-0.00036413+0.00059967i,-0.00011999+0.00027337i,0.00033458-0.00050017i,-0.00021156-0.0013092i,-0.00098068-0.00076735i,-0.00089115-0.0002795i,-0.00047527-0.00066682i,-0.00015788-0.0005924i,-0.0002676-0.00015428i,-0.0002992+0.00023276i,-0.00073566+0.00012206i,-0.0010309-0.00047883i,0.00016619-0.0003588i
-0.0034008-0.00059215i,-0.0025792+1.896e-05i,-0.002063-0.0006569i,-0.0015046-0.00069444i,-0.00028992+6.343e-05i,0.00074968+0.00085511i,0.0012228+0.0014481i,0.00088238+0.001141i,-4.9351e-05+0.00044473i,-0.00042468-0.00063495i,0.0003387-0.0014623i,0.0010098-0.0011828i,0.0011831-0.0012167i,0.0008405-0.00069044i,-0.00021457+0.00051669i,-0.0011817+0.00071398i,-0.00092877-0.00016094i,-0.00013851-0.00087638i,0.00023115-0.00064941i,0.00024559-7.3758e-05i,-7.6104e-05-7.7591e-05i,-0.00010029-0.00045067i,0.00033899-0.0010272i
0.0019911-0.0011595i,0.0011581-0.0013798i,0.00082617-0.0016445i,-0.00011885-0.0019816i,-0.0010452-0.0018145i,-0.00075633-0.00069889i,-0.00057426+0.00064545i,-0.0003126+0.00083461i,0.00022352+0.00066719i,7.2805e-05+0.0010159i,-0.00018536+0.00026962i,-2.9846e-07-0.00099197i,-0.00068253-0.0014262i,-0.00093522-0.00036739i,0.0001192+0.00045364i,0.00056078+5.4077e-05i,0.00010577-0.00086169i,-0.00030846-0.001191i,-0.00050737-0.00063899i,-0.0004838-0.00014785i,-0.00018084-0.00011993i,-8.0621e-05-1.4708e-05i,0.00028554+0.00012555i
0.0015577+0.0034895i,0.0015536+0.0028347i,0.0005798+0.0018522i,-0.00022042+0.0010322i,-0.00024993+0.0003003i,2.1475e-05+0.00084739i,0.00046086+0.0017353i,-9.4131e-05+0.0014794i,-0.001001+0.00093755i,-0.0010704+0.00063449i,-0.00024905+4.9306e-05i,5.6051e-05+0.00017224i,-0.00043458+0.0003205i,-0.00091926+0.00045201i,-0.0012644+0.00030961i,-0.0013079-0.00075006i,-0.00070719-0.0015732i,0.00051754-0.00063315i,0.0004497+0.00041799i,-0.00095523+0.00019249i,-0.0009331+0.00018974i,-0.00025391+0.00024328i,-9.9204e-05-7.0696e-05i
-0.000731+0.00056545i,-0.00098161-0.0010587i,-0.0012607-0.0016862i,-0.0011203-0.00087275i,-0.00045094+0.00017305i,-0.0003568+0.00070071i,-7.7168e-05+0.000872i,-8.6693e-05+0.00068444i,6.0194e-05+0.00072576i,0.00020124+0.00057699i,0.00053864-0.00014498i,0.00066072-0.00021712i,7.934e-05+0.00018629i,-0.00067974+0.00017572i,-0.00048674+0.00016636i,0.00020818-0.00016894i,0.00073885+0.00012046i,0.00044259+0.00018067i,-5.67e-05-0.00036845i,-0.0001979-0.00032548i,4.291e-07-0.00019171i,0.00023283-0.00024417i,-0.00014843-5.4029e-05i
