-0.0013493-0.00037496i,-0.0012879-0.00084549i,-0.0025044-0.00033884i,-0.0018284-0.00020589i,-0.00082961+0.00060695i,-0.0014281+0.0014282i,-0.0014903+0.0015245i,-0.00015116+0.0018987i,0.0011554+0.0019676i,0.0014121+0.0013944i,0.001291+0.00076517i,0.00083699+5.4971e-05i,1.4307e-05-0.00024059i,-2.0677e-05+0.00012881i,0.0001966-5.9746e-05i,-0.00016851+0.00017889i,-0.00070795+0.00093129i,-0.0006981+0.00067459i,-0.00058825+0.00021021i,-0.00042445+0.00014676i,6.283e-05+0.00042157i,0.00018892+0.00014522i,4.7326e-05-0.00023313i
-0.00060873-0.00067975i,-0.0011635+0.00071913i,-0.00066949+0.0010553i,-0.00037821+0.0005862i,-0.00038526+0.00080759i,-0.00061678+0.00092936i,-0.0011109+0.0010373i,-0.00083696+0.0006084i,0.00020831-0.00049538i,-0.00022337-0.00037291i,-0.0013025+0.00041025i,-0.00096742+3.1089e-05i,-0.00029342-0.0004477i,0.00025156+5.7943e-05i,6.8637e-05+0.00057416i,-0.00021657+0.00061189i,0.00016386+0.00045785i,0.0008364+0.00062594i,0.00096302+0.00057887i,4.497e-06+0.00025722i,-0.00017923+0.00059035i,0.00050558+0.00040941i,0.001129-0.00036353i
-0.0016245+0.00076099i,-0.00095605-0.00037665i,-0.00016411+0.0001546i,0.00065752+0.0010862i,0.0016706+0.00077475i,0.00095434-7.2091e-05i,-0.00075948-0.0002969i,-0.00097053+0.00014567i,0.00038861+0.0008395i,0.0011875+0.00031466i,0.00051157-0.00050619i,-0.00023941-0.00085525i,-0.00022405-0.00086955i,-0.00051964-0.00036734i,-0.00094532-0.00035826i,-0.00063213-0.00042034i,-0.00048262+0.00019317i,-0.00028638+0.00011549i,0.0002003+0.0005544i,0.0007015+0.00014239i,0.00026774-0.00054608i,-7.8471e-05-0.00025706i,9.8504e-05-5.0322e-05i
-0.00097232-0.0011449i,-0.00089689-0.0013013i,-0.0023994-0.00014952i,-0.0020367+0.0013061i,-0.00016189+0.0016964i,0.00023267+0.0010423i,-0.00063754-0.00012091i,-0.0012202-0.00012239i,-0.0011318+0.00065967i,-0.00053184+0.0011268i,0.00015903+0.00057168i,0.0003838-0.00061845i,0.00040215-0.00086244i,0.00041942-0.00096815i,0.0006117-0.00046056i,0.00093984-2.685e-05i,0.00024224-0.00080679i,-0.00024958-0.0010922i,-0.00012039-0.00040387i,-0.00024205-0.00040758i,-0.00017788-0.00079687i,-0.00046343-0.00069176i,-0.00037097-0.00065646i
0.00067811-0.00026515i,0.00038978+7.5482e-06i,0.00025108+0.0015693i,0.0002655+0.001663i,0.00015947+0.0005686i,-0.00026851+3.7357e-05i,-0.00085415+0.00030563i,-0.0012382+0.0013462i,-0.00074364+0.0012394i,0.0002043-0.00010406i,0.0010455-0.00052638i,0.00069569-0.00051955i,0.00016957-0.00056733i,0.00022992-0.00013689i,0.00017832-0.00012831i,0.00041878-0.00056852i,0.0005988-9.8824e-05i,0.00036964+2.2743e-05i,0.00090761-0.00021533i,0.00079563-6.0302e-05i,-0.00050745-0.00024999i,-0.00063517-0.00040095i,0.00038226-0.00024136i
0.00024375-0.0016367i,-0.00055962-0.0016484i,-0.001327-0.0013859i,-0.0012587-0.00073594i,-0.00076092-0.00034344i,-0.00027312-0.00095123i,-0.00053192-0.0012035i,-0.0006065-0.00013233i,-0.00043855+0.00032291i,-0.00060795-0.00042953i,-0.00050694-0.0011193i,-0.00039286-0.00068653i,-0.00054041+0.00040033i,-0.00015054+0.0008534i,-5.7141e-05+0.00057125i,-0.00038232+4.7615e-05i,-0.00039896+0.00010122i,-0.0005465+0.00063089i,-0.00040784+0.0007455i,0.00010186+0.00021951i,-2.1268e-05-0.00033628i,-0.00046256-0.00020046i,-0.00027709+0.00031984i
-0.00059184+0.00059431i,-0.0013153-0.00060804i,-0.0017154-0.0009798i,-0.00096237+0.0001589i,-0.00048728+0.00083394i,-0.00093227+6.5888e-05i,-0.0013858-0.00010165i,-0.0011988+0.00036363i,-0.00066174-0.00015118i,0.00031657-0.00030808i,0.00082826-7.9448e-05i,0.000244+8.4117e-05i,-0.00036605-0.00048989i,-0.00035049-0.000865i,-4.012e-05-5.0386e-05i,0.00016302-0.00048874i,-0.00017246-0.0010812i,-0.00050509-0.00049718i,-0.00026935-0.00018081i,-0.00081625+3.9158e-05i,-0.0012436+0.0004348i,-0.00090233+0.00076137i,-2.5485e-05+0.00034651i
-0.0013037+0.0008065i,-0.0015457+0.00096584i,-0.00069355+0.0021637i,0.00055771+0.0013764i,0.00091424+0.00022958i,-0.00026494-0.00062531i,-0.0014157-0.0011069i,-0.001265-0.00025003i,-0.00084029+0.0010128i,-0.00016048+0.00093524i,7.4006e-05-0.00026429i,-5.7199e-05-0.00067025i,0.0005902-0.00078297i,0.00087067-0.0010066i,0.00067502-0.00088668i,0.00027815-0.00056445i,0.00054147-0.00085775i,-4.9547e-05-0.001103i,-0.00049266-0.00055801i,-0.00054513-0.00032102i,-0.00056064-0.00035917i,-7.5618e-05-0.0002929i,-0.00012753+0.00016541i
0.0026328+0.0009973i,0.0025346+0.00022602i,0.0024907-0.00042201i,0.0018911-0.00057598i,0.00066535-0.00042734i,-0.0006227-0.00049597i,-0.0011104-0.00048382i,-0.00031725+0.00011732i,-7.8747e-05+0.00046238i,-0.00060379-0.00012107i,-0.00053654-0.0011853i,-0.00037035-0.001179i,-0.00061934+0.00020532i,-0.00099784+0.00088727i,-0.0012043+0.00056429i,-0.001212+0.00050374i,-0.00066717+0.00010492i,-6.9603e-05+2.8811e-05i,0.00030338+0.00039063i,7.6731e-05-3.6258e-05i,-0.00021662+0.00023414i,-0.00010355+0.00062595i,-0.00021757-0.00013506i
-0.00016709+0.00076437i,-0.00079774+0.00073739i,-0.0010819+5.852e-05i,-0.0005456-0.00059414i,-0.00011027-0.00045603i,-0.00036541-0.00031471i,-0.0013468-0.00025068i,-0.0017725-0.00014324i,-0.0011582-0.00027116i,-0.00038839-0.00081082i,0.00039402-0.00042932i,0.00014147-3.9932e-05i,-0.00029739-0.00022637i,-0.00035117-0.0004935i,0.00021037-0.00053896i,0.0011519-0.00022108i,0.00062302-7.3882e-05i,-0.00036105-0.00044673i,-0.00061705-0.00063426i,-0.00072075-0.00044594i,-0.0012314+2.7909e-05i,-0.0012679+7.1234e-05i,-0.00048421-0.00037662i
-0.00011286-0.0002785i,0.00032388+0.00035404i,0.00047746+0.00010471i,0.00083276+0.00066726i,0.0011325+0.001646i,-0.00015355+0.0012224i,-0.0018687+0.0012105i,-0.0019771+0.0017819i,-0.0006487+0.00101i,0.00028648+0.00050228i,0.00043733+0.00027653i,0.0003426-0.00058716i,0.00063459-0.00088457i,0.00075945-0.00051873i,0.00041923-0.00058976i,-4.5332e-05-0.00059888i,-0.0003327-4.8536e-05i,-0.0008954-0.00043694i,-0.00064196-0.00065153i,1.659e-05-0.00057768i,3.1364e-05-4.6524e-05i,-0.00036494+0.00041979i,-0.00040073+0.00045624i
0.00030573+0.00098956i,-0.00031503+0.001458i,0.00015292+0.0017741i,0.00086953+0.0011814i,0.0012169+3.0477e-05i,0.00080962-0.00030698i,-0.00028233-0.00015486i,-0.0007633+0.00015808i,-0.00039662+1.4271e-07i,-0.00045669-0.00044412i,-0.00086329-0.00032336i,-0.00053798-0.00062813i,-0.00027989-0.00077348i,-0.00041027-0.0013359i,-0.0006868-0.0014436i,-0.0001751-0.0010818i,0.00012269-0.00060057i,-0.00026621+0.00016939i,-0.00063302-0.00023289i,-0.000251-0.00032977i,0.0005335+0.00026137i,-6.5371e-05+0.00020545i,-0.00050704-0.00017889i
0.0012781+0.0014297i,0.0022012-0.00029179i,0.0021257-0.00088141i,0.0011415-0.00015015i,-3.8163e-05-0.0010916i,-0.0011354-0.0016658i,-0.0017182-0.00047595i,-0.00089505+0.0004077i,9.5208e-06+0.00066925i,-0.00023629-0.00034277i,-0.0005723-0.00036334i,-0.00074051+0.00041704i,-0.00078089+0.00011141i,-0.00052656-0.00050069i,-0.00071735-0.0010145i,-0.00071237-0.00056779i,-0.00049642+0.00046981i,-0.00032767+0.00068418i,-0.00033135+0.00012514i,-0.00023015-0.0002192i,0.00041668-0.00029948i,0.0007064-0.00039124i,0.0010488-0.00039837i
-0.0011408+0.00079387i,-0.0016281+0.00048514i,-0.0015183+0.00095546i,-0.0001937+0.001095i,0.00064197+0.00037418i,-4.3277e-06-0.00037669i,-0.00083689-0.00063548i,-0.00064763-0.00034681i,0.00032657+2.9996e-05i,0.0011572-0.00010043i,0.00080638-0.00074439i,0.00063971-0.0010874i,0.00028536-0.0011571i,8.789e-05-0.001031i,-0.00017063-0.00076399i,-8.6415e-05-0.00042865i,0.00017984-0.00036245i,0.00035623-0.00050837i,0.00022869-0.00065092i,-9.4881e-05-0.00025254i,-5.0943e-05-0.00010622i,-0.00052762-8.6977e-05i,-0.00085147+0.00052026i
0.000964+0.0011576i,0.001526-4.3167e-05i,0.0013564-0.00047538i,0.0013852+0.00035823i,0.00098213+0.00064503i,0.00023543-5.6815e-05i,-0.00035223+0.00059166i,-0.0005871+0.0010836i,-0.0003268+8.2032e-05i,-0.00012157-5.4298e-05i,-0.00031557+0.00018061i,0.00057998-0.00034303i,0.001051+7.8136e-05i,0.00039148-0.00031263i,-9.0559e-05-0.0010449i,-0.00018935-0.00092625i,-0.00053461-0.00068412i,-9.7536e-06-0.00011628i,0.00029356+0.00027965i,-0.00019925-0.00021343i,0.00041527-0.00032452i,0.0002495-0.00011487i,-0.00049217-0.00067876i
-0.0026564-0.00010307i,-0.0022718+0.00041084i,-0.0019768+0.0013609i,-0.0010597+0.0022368i,0.0003627+0.0018406i,0.00032619+0.00024815i,-0.00080002-0.001077i,-0.0014685-0.0015612i,-0.00084213-0.0010803i,-0.00019593-0.00013299i,-0.00028103-0.00069496i,-3.3612e-05-0.00094415i,0.00057753+0.000354i,0.00036598+0.00079094i,-0.00027434+0.00061394i,-0.00083068+0.00062458i,-3.9914e-05+0.0010418i,0.00034031+0.00092675i,-0.00056375+0.00066464i,-0.00029352+0.00012282i,0.0013471-0.00013866i,0.0014105+0.00023853i,0.00046417+0.00057189i
2.4462e-05+0.0015283i,-0.00040121+0.00074437i,-0.00038604+0.0002356i,-1.3638e-05-0.00059029i,0.00031989-0.00086167i,2.4038e-05-0.00097513i,-0.0011136-0.00042925i,-0.0011557-0.00029902i,0.00034763-0.00028797i,0.00088189-0.0006269i,0.0010579-0.00089637i,0.00080408-0.00062547i,-4.8588e-06-0.00021591i,-7.6471e-05+0.00016961i,-0.00032429-0.00015937i,-0.00047176-4.9538e-05i,0.00012893+0.00014064i,0.00036865+0.00038815i,0.00031028+0.0010853i,0.00045157+0.00074023i,0.00018909+0.00022715i,-0.00035749-0.00019022i,-0.00023231+0.00011828i
-1.5509e-05-0.00077016i,-2.0497e-05-0.00033782i,0.00054471+0.000273i,0.00062246+0.00033169i,0.00070636+0.00012082i,0.00050479-0.00036252i,-0.00020479-0.0012208i,-0.00039103-0.00053559i,-4.7593e-07-2.3591e-05i,9.8244e-05-0.00077028i,-2.738e-05-0.00092428i,-4.5992e-05-0.00097535i,0.0011418-0.00035691i,0.0014241+0.00028656i,0.00097293-9.2974e-05i,0.00076228+2.9152e-05i,-0.00029745+0.00021784i,-0.00057294+0.00024156i,-0.00015721-0.0001161i,-4.2306e-05-0.00083322i,0.00083821-0.00065857i,0.00055079-0.00055545i,-0.00041292-0.0006219i
0.00019119-0.00085697i,0.00074844-0.0012012i,0.00012668-0.0014826i,-0.00075368+0.00076657i,-6.4273e-06+0.0018678i,0.00096586+0.00062486i,7.7301e-05-0.00024715i,-0.0011586-0.00050697i,-0.00091805-0.00024339i,-0.00033924+0.00016543i,-0.00046692+0.00085663i,-0.00035003+0.00072776i,-2.1491e-05-0.00038842i,0.0003245-0.00025084i,0.00030121+0.00019565i,-0.00069122+0.00024679i,-0.00069047+0.00072705i,-1.9711e-05+0.00060242i,0.0003592-0.00026858i,0.00037367-0.00016741i,8.1426e-05+0.00092141i,8.3534e-06+0.00049605i,-2.6428e-05-0.0005756i
-0.0028882+0.0014938i,-0.0035801+0.0012892i,-0.0015767+0.0018681i,0.00067066+0.001287i,0.0016155+0.00077243i,0.00080446+0.00051274i,-0.00053045+0.00047049i,-0.0010423+0.0001667i,-0.00069498-0.00014345i,-0.00035337-0.00075338i,4.2884e-05-0.00094672i,7.894e-05-0.00022085i,-0.00077578-0.00076432i,-0.0008209-0.0017195i,-0.00043129-0.00098495i,-0.00019635+0.00026509i,-0.00040076+0.00055252i,-0.0011131-0.00035611i,-0.00091002-0.00084838i,-0.00059417-6.9642e-05i,-0.00042093+0.00042947i,-0.00019616+0.00037001i,-0.00023354+0.00021731i
0.0014444+0.00022666i,0.00052315-0.00021523i,0.00051641-0.00030159i,0.00061275-0.0010113i,0.00024327-0.0020227i,-0.0008141-0.0016196i,-0.0016993-1.6226e-05i,-0.0018272+0.00085372i,-0.0011457+0.00046968i,-0.00026003-0.00027892i,0.00046678-0.0012379i,-8.9045e-06-0.0015715i,7.0484e-05-0.0011212i,0.00047622-0.00051893i,0.00017267-0.00023489i,5.0163e-06-0.00055632i,-0.0001887-0.0003754i,-0.00070535+2.0203e-05i,-0.00048741-0.00039349i,0.00025193-0.00038232i,-3.9081e-05-0.00032189i,-0.00010671-0.00042008i,-0.00014667+0.00023853i
0.00052624-0.00091343i,6.5169e-05-0.00070094i,-2.872e-05-0.00075769i,-9.2096e-05-0.00022335i,-0.00040156-0.00017351i,-0.00010254-0.00052202i,-8.514e-05-0.00027059i,-0.00069549+0.00049842i,-0.00040273+0.00055915i,-0.00025692+0.0001039i,-0.00032748-0.00018923i,-9.5653e-05-0.00020808i,0.00045908-0.00023529i,0.00086327-0.00038913i,0.00013788-0.00032i,0.00010069+6.8836e-05i,-0.00020036+0.00017979i,-0.00069652+7.6986e-05i,-0.00027578+0.0002486i,6.9267e-06+0.00011832i,0.00018013-0.00039863i,8.3193e-05-0.00026211i,-0.00022991-0.0003903i
0.0008398-8.4875e-05i,-6.2228e-06-0.00046056i,-0.0010727-0.00049704i,-0.0010191+0.00078698i,-0.00033759+0.0026445i,-5.9068e-05+0.0025754i,-0.00055177+0.00072106i,-0.00062544-0.00015205i,-0.00038804+0.00013874i,-0.00070231+6.1753e-07i,7.1892e-05-0.0002353i,0.00040029-6.4226e-05i,-0.00024555+0.00035615i,7.2167e-05+0.00029989i,0.00052297-0.00027332i,0.00035945-0.00026355i,-0.00011213-0.00030503i,4.6176e-06-0.000428i,0.00018852-2.8474e-05i,-0.0007143-0.00037647i,-0.0009665-0.00043775i,-0.00040572-0.00011212i,-0.00031383-0.00041704i
-0.00021455+0.00026775i,-0.00083419-3.4495e-05i,-9.3493e-05+0.00034491i,0.00019754+0.00077173i,0.00016856+0.00032222i,-6.5904e-05-0.00032184i,-0.00066207-0.0012487i,0.00036368-0.0010919i,0.0010934+9.3406e-05i,0.0001264-0.00026113i,-0.00018761-0.00071019i,0.00053629-3.7053e-05i,0.00020593+0.0003876i,-0.00021335+0.00047416i,-0.00012197+0.00023008i,6.2236e-05+0.0001415i,0.00020444+0.00025776i,5.224e-05-0.00020235i,-3.5203e-05-0.00031759i,3.6921e-05+3.3879e-06i,-0.00044365+0.00044838i,-0.0010464+0.00047835i,-0.0006603-0.00045893i
-1.0114e-05+0.00038127i,0.0013391-0.00045592i,0.0015209-0.00010835i,0.0014405+3.0612e-05i,0.0013789-0.00043964i,-0.00016615-0.001196i,-0.0014961-0.00078426i,-0.0012904+0.00033047i,-2.4299e-05+0.00027951i,0.00067527-0.00041957i,0.00038304-0.00083831i,-0.00037112-0.00063716i,-0.00063843+3.2364e-05i,-8.9804e-05+0.00025998i,1.3429e-05+0.00052343i,-0.00084378+8.4082e-05i,-0.00094716-0.0011896i,-0.0002125-0.0011109i,0.00028293+4.7172e-05i,0.00032245+0.0004715i,0.00054906+0.0002481i,0.00029083+0.00027066i,-9.1212e-05-0.00031472i
-0.0006473-0.00049438i,-0.0013916-0.00052199i,-0.0010415-0.0001203i,-0.00015714+0.00046796i,-0.00013017+0.00090672i,-0.00094213+0.00019273i,-0.0016236-0.00095101i,-0.001899-0.00048975i,-0.0011729-0.00012249i,-0.00093423+0.00023313i,-0.00082317-0.00026506i,-7.7318e-05-0.00061023i,1.5252e-05-0.00084019i,-8.4249e-05-0.0012399i,4.9887e-05-0.00059336i,0.00022842+0.0001232i,-7.1924e-05+7.9518e-06i,-0.00026424+1.9708e-05i,0.00011002+0.00029545i,0.00010569+9.3807e-05i,0.00067953-6.6755e-06i,0.00097742+0.0004627i,0.000456+0.00058347i
0.00030827-0.001079i,0.00037576-0.0013748i,-0.00025834-0.0011899i,-0.00044978+0.00064785i,1.5996e-05+0.0017686i,-0.00042117+0.00090866i,-0.0013841+3.8587e-05i,-0.00099511+7.945e-05i,-0.00060094-0.00015745i,-0.00084822-0.00088374i,-0.00045561-0.00067983i,0.000735+0.00042594i,0.0009316+0.001001i,0.00011148+0.00054263i,1.2721e-05-3.1391e-06i,0.00033298+0.00036941i,-1.7593e-05+0.00011121i,-0.00039246-0.00036455i,-0.00052237+5.7667e-05i,-7.2428e-05+0.00016936i,0.00076201-3.8538e-05i,0.00016661-0.000328i,-0.00047321+0.00034998i
0.0019434+0.00073213i,0.0011334+9.6503e-05i,0.0011758+0.00026495i,0.0015683+0.00073597i,0.0018979-0.00048371i,0.00059164-0.0015269i,-0.00038242-0.00098231i,-0.00035776+5.6555e-05i,-0.00016378+0.00085102i,-0.00012339+0.00066815i,0.00011782+0.00024155i,0.00035194-9.3696e-05i,3.3689e-05-0.0007784i,5.6699e-05-0.001213i,-0.00067169-0.0010841i,-0.00098913-0.00050869i,-0.00026818+0.00039358i,7.1146e-05+9.9626e-05i,0.00048655-0.00037135i,0.00046709-0.00065312i,0.00012314-0.0010585i,0.00014873-0.0008071i,-4.2489e-05-0.00059843i
-0.0008682+0.00079472i,-0.00062942+0.00022809i,-0.00040885+0.00043857i,-0.00034054+0.0014213i,-0.00014322+0.0009594i,-0.00080373+9.364e-05i,-0.001836-0.00071263i,-0.0019028-0.00084646i,-0.0011585-0.00060163i,-1.0604e-05-0.00050786i,0.00063909-0.000203i,0.00045509-0.0001552i,0.00030067-0.00099416i,5.6916e-05-0.00080143i,-9.5939e-05+0.00017487i,-0.00035943+0.00038782i,-0.0002819+0.00012975i,-0.00036875+0.00031306i,-0.00013447+0.00040841i,0.00033346-0.00027426i,0.00040522+7.8153e-05i,0.00057884+0.00031186i,0.00025795+0.00065291i
0.00035647-0.00087151i,-0.00073906-0.0013209i,-0.0013594-0.0015586i,-0.0013702-0.00016667i,-0.00090103+0.00082869i,-0.00019612+0.00032483i,-0.00040124-2.5585e-05i,-0.00014866+0.00015265i,0.00085003-0.00017477i,0.00086942-0.00037106i,0.00066862-0.0002321i,0.00065359-9.0281e-05i,0.00057977+0.00030514i,0.00088878+0.00035732i,0.00073253+2.663e-05i,-0.00031845+0.00038347i,-0.00079891+0.00071698i,-0.00035193+0.00082181i,-0.00018058+0.00098481i,-0.00021099+0.00092015i,-0.00043916+0.00039324i,-0.00032615-0.00015151i,0.00053665-7.7277e-06i
-0.00019196+0.0026823i,-0.00011308+0.0016231i,-0.00027652+0.0012463i,5.5116e-05+0.00069139i,0.00176+8.1066e-05i,0.0015111-0.00078861i,0.00018559-0.0010456i,-6.3171e-05-0.00082857i,0.00024166-0.0004187i,0.0004086-0.00067624i,0.00019234-0.00092683i,-2.3211e-05-0.0013824i,2.4387e-06-0.0015759i,-8.6539e-05-0.00094796i,0.00049744-0.00058503i,0.00078548-0.0015191i,0.00072603-0.00076197i,0.00041178+0.00034797i,-0.00033884-1.0675e-06i,-0.00036394+8.1199e-05i,8.5922e-05+0.00015429i,0.00041902+6.525e-05i,0.00071299-0.00013301i
-0.0013224-0.0012142i,-0.00096912-0.0015021i,-0.0014541+0.00019868i,-0.00054556+0.0011218i,0.00016281+0.00048527i,-0.00057129-0.0010213i,-0.00074107-0.0011338i,-0.0012995+1.0982e-05i,-0.00094907+0.00015046i,0.00038165-6.5099e-05i,0.0012228-2.3476e-05i,0.0011156+0.00016933i,0.00047017-0.0002028i,0.00011701-0.00014084i,0.00023786-0.00012834i,2.6078e-05-6.1153e-05i,-0.00029903+1.6796e-05i,0.00013394-0.0003917i,0.0006674-0.00022504i,0.0004257+0.00017198i,0.00012152-5.4623e-05i,-9.1974e-05-0.00042097i,0.00076024-9.5881e-05i
