-0.00058055+0.00070936i,-0.00053697-0.0011452i,-0.0013007-0.0025335i,-0.0024106-0.0015462i,-0.003086+7.7178e-05i,-0.0025101+0.00099661i,-0.0014674+0.00084715i,-0.00020293+0.001061i,0.00055985+0.0010175i,0.00044153+0.00018289i,0.0002597-0.0005351i,0.00031027-0.00076892i,-0.00057422-0.00042396i,-0.00084505+9.2019e-05i,-0.00067135+0.00058934i,-0.00084932+0.00066819i,-0.00078201+0.00098655i,-0.0006662+0.0014206i,-6.8481e-05+0.00016433i,0.00016894-0.00067827i,0.0004694-0.00060731i,0.00035005-0.00089028i,-0.00066566-0.00055533i
-0.0007059-0.0005662i,0.00042469-0.0011427i,0.0012509-9.5797e-05i,0.0013262+0.0007337i,0.0013811-5.9695e-05i,0.0013171-0.00056117i,0.00078276+5.6516e-05i,2.6072e-05+0.00026774i,-0.00052112+9.2541e-05i,-0.00011193+4.3878e-05i,0.00023329+8.3195e-05i,-4.7812e-05+0.00019267i,-0.00013649-0.00024122i,0.0002363-0.00028179i,-0.00028888+0.0010133i,-0.00094052+0.0014929i,-0.0002727+0.00060995i,0.00053601-0.00040262i,0.00052044-0.00065473i,-0.00018921+0.00013847i,-0.00053386+0.00042232i,-0.00080048-0.00028895i,-0.00094261-0.0010723i
-4.7844e-05+0.0017973i,-0.00093971+0.0015694i,-0.0011754+0.00057849i,-0.0013036+0.00087172i,-0.00050987+0.00077735i,0.00033091-4.334e-06i,0.00045684-0.00017125i,-0.00022408-0.00045953i,0.00011305-0.00050403i,0.00024734-0.00029643i,0.00042093+0.00012018i,0.00035553+0.0006001i,-0.00028921+0.00038302i,-0.00040122+0.00017107i,9.3123e-05+0.00058148i,0.00038947-0.00049469i,0.00057549-0.00071039i,0.00038795-0.00011709i,0.00067806+2.3913e-05i,0.00069855+0.00059543i,0.00015377+0.00096919i,-0.00028093+0.00042838i,-0.00034987-0.00023369i
-0.00055837-0.00076542i,0.00047874-0.0022012i,-0.00023582-0.0021546i,-0.0011006-0.00083671i,-0.00077156-7.3585e-05i,-0.00051761+0.00017477i,-0.00094075+0.00083276i,-0.00063056+0.00066754i,-6.7361e-05-3.0509e-05i,-4.9633e-05-0.00019072i,3.1152e-05+0.0005339i,0.00049136+0.00093512i,0.00059972+0.00019422i,-0.00016565-1.6525e-06i,-0.00033197+0.00044818i,0.00047609+0.00019061i,0.00080012+0.00028411i,0.00032449+0.00043989i,-0.00016385+0.00020005i,0.00036886-3.2461e-05i,-1.0246e-05-9.0863e-05i,-0.00059546-0.00049686i,8.2596e-05-0.00070243i
-0.00094609-0.0008331i,-0.0018069-0.00071745i,-0.0019474+0.00039261i,-0.00057355+0.0011946i,0.0012827+0.0016899i,0.0015109+0.0019594i,0.0011795+0.0012491i,0.00055914+0.00025078i,-3.221e-05-0.0004929i,0.0013358+4.6031e-05i,0.0017079+0.00099592i,0.00054761+0.00044442i,0.00026684-0.00069999i,0.00042229-0.0011199i,0.00035303-0.0011451i,0.0006935-0.00053987i,0.00098184+0.00037484i,0.00043862+0.00058206i,0.00035105+0.00012329i,0.00066071-0.00029644i,0.00056064+0.0001803i,-0.00029889+0.00025036i,-0.00025817-0.00043008i
-0.00081715-0.0013256i,-0.0012687-0.00050711i,-0.0014554+0.00027506i,-0.00057771+0.00015508i,-0.00056282+1.9493e-05i,-0.00071794+0.00048817i,-0.00036089+0.00083873i,-0.00033139+0.0006224i,-0.00017788-0.00012086i,4.6652e-05-0.000393i,-0.00062289+1.8993e-05i,-0.00084029+0.00050325i,-0.00053767+0.00043868i,-0.00020377+7.7088e-05i,-0.00053883+0.00014821i,-0.00062305+0.00052698i,-0.0010462+0.00072039i,-0.0017183+0.00054241i,-0.00093821-9.6859e-05i,-0.00040321-0.00066217i,-0.0004487-0.0008041i,-0.00017875-0.00060319i,0.00034029+0.00017341i
0.00084518+0.00051007i,0.00045895+0.0012824i,-0.00045441+0.00052502i,-0.001074+0.00022693i,-0.0015088+2.4497e-05i,-0.0011132-0.00029682i,-1.6042e-05+0.00013209i,6.1867e-05+0.00021462i,0.0002969+0.00041724i,0.00060456+0.00018476i,-8.501e-05-0.00014607i,-0.00072427-0.00030796i,-0.001846-0.00015455i,-0.0021367-7.0207e-05i,-0.00089185-0.00034186i,-0.00046853-0.00020863i,-0.0006662-0.00052084i,8.8414e-06-0.0011714i,0.0002986-0.00081086i,9.0093e-05-7.43e-05i,9.5368e-05+0.00024015i,0.00033541+0.00033394i,0.00077431+0.00054035i
-0.0012181-0.0017215i,-0.0010444-0.0013052i,-0.0011144-6.5488e-05i,-0.0012693+0.00041644i,0.00033925-0.00019176i,0.0016398-0.00054426i,0.00079406-0.00069702i,-4.5516e-05-0.00062568i,-0.00043314-0.00063357i,-0.00075463-0.00080641i,-0.0006711+3.7373e-05i,0.0003478+0.00036812i,0.0012122+1.1868e-05i,0.00024348+0.00056348i,0.00018643+0.00025215i,0.00050587+0.00060092i,-0.00015537+0.00067876i,0.00013188-0.00010767i,0.0007309-0.00036826i,0.001171-0.00050672i,0.0012367-0.00039458i,0.0011162-0.00022599i,0.0011009+0.00029921i
-0.00017328+0.00089729i,0.00021276+0.0004284i,6.0388e-05+0.00080485i,-0.00047617+0.0014837i,-0.00079779+0.0010593i,-0.00046543+0.00028109i,-0.00050409-0.0003244i,-0.00057482-0.00042724i,-0.0011627+6.0826e-05i,-0.001443+0.00070453i,-0.00089758+0.00039656i,-0.00041975+0.00035002i,-0.00066645+0.00083745i,-0.0007202+0.0010141i,-0.00027858+0.00056679i,0.00024165-0.0004774i,0.00024589-0.0011329i,0.00036175-0.0011202i,0.0006644-0.00058306i,-0.00024536-0.0006585i,-0.00050461-0.00052129i,0.00027124-0.00069674i,-0.0001468-0.00073793i
-0.001088-0.0017113i,-0.00058182-0.0012587i,-0.00015629-0.00037685i,-0.00096946+0.00039333i,-0.0014846+0.00029988i,-0.00056891+2.199e-05i,9.8215e-05+8.3377e-05i,7.228e-05+0.00052966i,-0.00038223+0.00052862i,0.00011357-0.00014828i,0.0007292-0.00022037i,0.00010943+2.6653e-05i,-0.00020511+0.00047915i,-0.00023415+0.00087789i,-0.00018284+0.00085036i,-7.4032e-05-0.00024449i,-0.00057375-0.00075581i,-0.00060598-0.00043311i,-1.0658e-05-0.00039511i,0.00033519-0.00035099i,0.0001955-9.0027e-05i,1.3051e-05+0.00022406i,-7.0909e-05+0.00031832i
0.00052832+8.3692e-05i,8.0443e-05+9.9813e-05i,-0.00058043-0.0006296i,-0.00040561-0.00072764i,-0.0010274-0.00040288i,-0.0015669-9.4112e-05i,-0.0010838+0.00054617i,-0.00016403+0.0012217i,0.00063519+0.00070016i,0.0011829-0.00039208i,0.0012404-0.00040727i,0.00029844+0.00026143i,-0.00059708+0.00037438i,-0.00061064+0.00080821i,-0.00018835+0.0011691i,-0.00050253+0.00054617i,-0.0005333+0.00032654i,0.0005383+0.00020457i,0.00027619+0.00014969i,-0.00056057+0.00022896i,-0.00021816+0.00045572i,-0.00011258+0.00080636i,-0.00038478+0.00029038i
-0.00078387-0.0017175i,-0.00075631-0.0021981i,-0.00083686-0.0015165i,-0.0002531-0.00088523i,-0.00037518+0.00017052i,2.102e-05+0.00048989i,0.00039549-7.9358e-05i,-0.00035778-0.00060455i,-0.00041684-0.00040625i,0.00013717-1.7739e-05i,0.00035651-1.4971e-05i,-0.00019042+0.00039203i,-0.00035606+0.0010026i,-0.00012739+0.0011686i,-0.00023448+0.0010697i,-0.00069396+0.00028544i,-0.0009087+2.4427e-06i,-0.00036844+0.0002674i,-0.00020991+0.0003675i,-0.00035064+1.9933e-05i,0.00030852+0.00035948i,0.00047782+0.00038424i,0.00020718+9.3719e-05i
0.00054961-4.5695e-05i,-0.0002243-0.00053893i,-0.000418-0.00053918i,-0.00038466-0.00010764i,-0.0005788-0.0002615i,-0.00058502+0.00019077i,-4.977e-05+0.00039887i,5.8435e-05-0.00012601i,0.00043482-8.8868e-05i,0.00067127-0.00037357i,-0.00017497-0.0013318i,-0.0005551-0.0010484i,-0.00021185+0.00010443i,-0.00026707+0.00038555i,-0.0010296-0.00020433i,-0.0012768+3.2876e-05i,0.00016813-0.00010047i,0.0011403-0.00022328i,0.0010402-0.00027437i,0.00053469-0.00053704i,-9.3831e-05-0.0007802i,6.0215e-05-0.00057422i,-0.00027641-0.00010402i
0.00051821+0.00073645i,-0.00018538-0.00053619i,-0.00012169-0.0017447i,0.00062187-0.00178i,0.00056378-0.0014644i,-0.00085162-0.0013357i,-0.0012334-0.00098651i,-0.00040695-0.00047005i,0.00021127-0.00037009i,0.00018638-0.0005333i,-0.00010612-0.00045643i,-6.5441e-05-0.00030756i,-0.00057417+8.7579e-05i,-0.0011896+0.00033322i,-0.0014512+3.7799e-05i,-0.00071162-0.00025003i,-0.00035607+0.00035669i,-0.00066641+0.00036553i,-0.00052048-0.00030518i,0.00013718-0.0002631i,0.00070348+0.0003612i,0.00047233-0.00022183i,0.00077039-0.00071591i
-0.00059213+0.00087253i,-0.00071987-0.00054006i,-0.00083878-0.0012428i,-0.00050644-0.00083244i,-0.00027118-0.00032282i,-0.00014854-0.00027271i,-0.00026785-0.00084251i,0.00017237-0.00086754i,0.00082128-0.00043064i,0.00075166+0.00033708i,0.00042896+0.00074816i,-8.548e-05+0.00032367i,-0.00035987-8.628e-05i,-0.00078767-0.00030755i,-0.00063279-0.00072951i,8.1778e-05-0.00011904i,0.0002175+0.00035345i,0.00016922+2.3996e-05i,-0.00016771-0.0004417i,-0.00030129-0.00032172i,-0.00049279-0.00065833i,0.00010601+0.000157i,0.00092816+0.00054126i
8.4012e-05-0.00021975i,0.00043383+0.00028247i,0.00049734+0.00094199i,0.00048957+0.00027061i,0.00049969-0.00052765i,2.7969e-05-0.0010145i,7.3149e-05-0.0010661i,0.00076502-0.00087504i,0.00087947+8.3803e-05i,0.00053831+0.00039519i,0.00059397-0.00091611i,0.00052649-0.0011795i,0.00068594-0.00082524i,0.00069434-0.00023781i,-0.00024689+0.00029085i,-0.0009086-0.00039354i,-0.00095342-0.00038987i,-0.0013333+0.00019975i,-0.00084997+7.1747e-05i,-0.00061497-0.00011715i,-0.00061796+0.00057204i,-0.00047114+0.00088546i,-0.00024621+0.00058343i
-0.00067327+0.00024884i,-0.00041298+0.00096456i,-0.00089077+0.00091107i,-0.00061792+0.00083374i,-0.0003732+0.00068885i,3.6087e-05+2.2216e-05i,-0.00013808-0.00072957i,-0.00033893-0.00097781i,-0.00069476-0.00042303i,-0.00056099-0.00013807i,-0.0003428+0.00016223i,-0.00075783+0.0006344i,-0.0011108+0.00071291i,-0.0010103+0.00057543i,-0.00045181+0.00058473i,0.00016164+0.00037185i,0.00032761-4.2501e-05i,0.00025104-0.00052752i,0.00049558-0.00014755i,0.00030748+0.00031615i,-0.00011642+0.00040457i,-0.00016147+0.00043546i,0.0004876+3.7216e-05i
-0.0011203+0.00039803i,-0.0017089-0.0002795i,-0.00056847-0.00019115i,0.00049405-0.00084307i,0.00076759-0.0013697i,0.0004149-0.0016234i,-1.9965e-05-0.0010136i,-0.00023827+0.00019114i,-0.00089744+0.00048669i,-0.00085711+0.00028119i,-0.00064002+8.3893e-05i,-0.00027974-0.00044863i,2.3275e-05-0.00063793i,-0.00035565-0.00056398i,-0.00057156-0.00071252i,-1.9751e-05-0.00033529i,0.00075816+0.00046077i,-0.00017883+0.00019917i,-0.0010588-0.00085227i,-0.00021271+1.4067e-05i,0.00063661+0.00057377i,0.00013212-0.00013964i,-0.00048416+0.0004541i
-0.00077674-0.00073949i,-0.00077877+0.00017999i,-0.0016038+0.00060236i,-0.0016846+0.00029865i,-0.00093177+0.00049606i,-0.00011448-0.00015059i,0.00016024-0.00035975i,3.7187e-05-0.0001936i,0.00036775-0.00029429i,0.00025968-0.00033347i,-5.439e-05+8.2337e-05i,-2.2372e-05-0.00030203i,-0.00021956-0.0010515i,0.00015897-0.00063973i,0.00056344+0.00035837i,0.00049626+0.0004598i,0.00031939+8.6618e-05i,-5.7964e-05-0.00034113i,-0.00011299-0.00067296i,-0.00014389-0.00058824i,-4.7597e-05-0.00025714i,0.00015228-0.0003411i,-0.00026241-0.00062147i
-0.0024199-0.0020088i,-0.003598-0.0018093i,-0.0033832-0.0013786i,-0.0025206+0.00055925i,-0.0010178+0.0013509i,0.00073298+0.00074038i,0.00082411-2.6833e-05i,0.00048807-0.00077778i,-0.00011564-0.0010602i,-0.00079266-0.00013509i,-0.00032501+0.00026733i,0.0002108+0.00060733i,0.00063096+0.0010014i,0.00049279+0.0011403i,-3.2881e-05+0.00080605i,-0.00052977+0.00076245i,-0.00063964+0.0006463i,0.00021596-1.8504e-05i,0.00080456-0.00080698i,0.00106-0.0012858i,0.00098657-0.00057824i,0.00058581+0.00022309i,0.00012912-3.7682e-05i
-0.00061058+0.0012548i,-0.000657+0.00062537i,3.4606e-05-0.00046221i,0.00057926+9.3092e-05i,0.00025759+4.5723e-05i,6.3486e-05-0.00060159i,0.00048463-0.00046328i,0.00052215+0.00029788i,-3.5033e-05+0.0001891i,7.3253e-05-0.00032459i,0.00063993-0.00060175i,0.00036427-0.00081056i,0.00080811-0.00073317i,0.00097344-0.00042752i,2.6275e-05-0.00075546i,-0.00030655-0.0012481i,-0.00018551-0.0023033i,-0.00017594-0.0015433i,0.00039862-6.1625e-05i,0.0001415-6.6448e-05i,-0.00037625-0.00024841i,-0.00043973-0.00047892i,-0.00027915-0.00059201i
0.0016411-0.0024243i,4.1799e-05-0.0015217i,-0.001296-0.0015156i,-0.0017448-0.0011909i,-0.0015522-0.00078102i,-0.0015607-0.0004752i,-0.00089629+0.00058866i,-0.00011925+0.00096241i,0.00052033+1.6536e-05i,0.00025503-0.0002827i,-0.00091203-0.00013038i,-0.00077404+0.00016994i,-0.0001471+0.00053792i,-0.00084955+0.00084319i,-0.0016053+0.0010909i,-0.00088045+0.0012563i,-0.00029073+0.001137i,-0.00045428+0.00029686i,-0.00023436-0.00017567i,8.9872e-05+0.00018152i,-0.00035654+0.00029024i,-0.0011596+0.00035609i,-0.0012252+0.00052157i
