-0.0046856+0.0019898i,-0.0049944+0.0019981i,-0.0031861+0.0044641i,-0.0018504+0.004617i,-0.00031873+0.0027274i,0.0017167+0.0013619i,0.0015006+0.0015235i,0.0011972+0.001533i,0.0013934+0.0011902i,0.0010328+0.00073765i,0.0010916+0.00020267i,0.0014281-0.00056565i,0.00064167-0.00064437i,-0.00022171-0.00041275i,-0.0005997-1.206e-05i,-0.00050913+0.00022684i,-0.00077149+0.0013365i,-0.0008423+0.0020554i,0.000307+0.0009448i,0.00042097+0.00056636i,4.4799e-05-5.8921e-05i,-0.00027022-0.00050268i,-0.00070151-0.00026044i
-0.00036759+0.0010369i,0.00029601+0.0023558i,0.0011424+0.0029978i,0.001075+0.0026525i,0.00031126+0.0010694i,-0.00050846-0.00044141i,-0.00030228-0.00085647i,-0.00026208-0.00082163i,-0.00019604-0.00052286i,0.00020364-0.00094711i,0.00076963-0.0014288i,0.00062908-0.0010355i,0.00050504-0.00047048i,0.00057088-0.00082359i,0.00013684-0.0013608i,-7.8695e-05-0.00030572i,-0.00045415+0.00077164i,0.00021359+0.00018059i,0.0010494-0.000667i,0.00041192-0.00087494i,-0.00045018-0.00041874i,-0.00049406+0.00037454i,-0.00078561-0.00039749i
0.00119+0.0008445i,7.752e-05+0.001152i,0.0005276+0.00071363i,0.001547-0.0011975i,0.0010446-0.0016608i,-0.00034476-0.00085832i,-0.00089246-4.8064e-05i,-0.00088468+5.3846e-05i,-0.00052459-0.00016045i,-0.00016479-0.00050305i,-0.00028378-0.00059634i,-0.00039275-0.00025321i,-0.00059135+0.0002192i,-0.00089982+0.00043116i,5.2412e-05+0.00068088i,0.00091031+0.00030021i,0.00084113-0.00019233i,0.00080204+5.0587e-05i,0.00013377-0.00023295i,-0.00032971+0.00011447i,-0.00045807+0.00029696i,-0.00029169+8.678e-06i,0.00041905-8.043e-05i
-0.00042453-0.00038708i,-0.00016937+0.00059512i,-0.0010479+0.0019865i,-0.00067605+0.001848i,-0.00027461+0.0009541i,0.00017763+0.0001661i,0.0010898+5.6555e-06i,0.0009109-0.00018302i,0.00029276+0.00010143i,0.00011844+0.00048633i,-4.8443e-05+0.00043658i,5.0906e-05+0.00049841i,-0.00010741-0.00046301i,-0.00060774-0.00032646i,-0.00088194+2.2548e-05i,-0.0005471-0.00042313i,0.00062534-0.00039794i,0.0010788+6.924e-05i,0.00099206-2.3557e-05i,0.00066376+0.00031369i,7.1577e-05+0.00045801i,-0.00026268-0.00020166i,-0.00072799-1.8489e-05i
-0.0012477-0.00041239i,-0.00041889+0.0003221i,-0.00032413+0.0007343i,0.0001727+0.0010159i,0.0008404+0.00094669i,0.00058274+0.00030251i,-0.00014047-0.00065472i,-0.001123-0.00051571i,-0.00087422-0.00026594i,7.5455e-05-0.00016606i,-9.8172e-06+2.7027e-05i,-0.00022499-0.00093006i,0.00049727-0.0013123i,0.00088233-0.00097477i,0.00036652-0.0011607i,-3.6904e-06-0.00045739i,-0.0002932+0.00023223i,-0.0011357-0.00011005i,-0.0015398-0.00030919i,-0.00095273-0.00014054i,-0.00012292+0.00042719i,0.00044658+0.00051899i,0.00044317-8.9014e-05i
0.00093912-0.00026607i,0.00011269-0.00038293i,-0.00032636-0.00037565i,-0.00020133-0.0010152i,-0.0011418-0.001092i,-0.0011887+8.5186e-05i,-0.00037307+0.0013746i,0.00033544+0.0015167i,-0.00034605+0.00097631i,-0.0010427+0.00030026i,-0.0010356-0.00026186i,-0.00050022-2.0602e-05i,0.00013357+0.00047748i,0.00016226+0.0010576i,-0.00023281+0.00089922i,-0.00039268-6.4792e-06i,-0.00046636+0.00052079i,-0.00031996+0.00043168i,7.5645e-05-0.0003843i,-3.2238e-05-8.3375e-05i,-0.00048307+0.00050833i,-0.00067217+0.0006833i,-0.00057322-0.00015968i
-0.00032717+0.00051419i,-0.00040298+0.00051202i,-0.00047848+0.0017883i,-0.0006054+0.0022427i,-0.00023357+0.0012793i,0.00013349+5.9523e-05i,0.0006281-0.0010579i,0.00096078-0.001489i,0.00076958-0.00076296i,0.0004906+0.00041458i,-0.00012299+0.00064412i,-0.00067989-0.00021763i,-0.00061222-0.0012323i,-0.00014235-0.00072903i,7.9481e-05-2.1221e-05i,0.00019061+4.9178e-06i,0.00098235-0.00012965i,0.0014838+2.5427e-05i,0.00095019+0.00033404i,0.00042377+0.00047962i,0.0004277+0.00097527i,0.00035507+0.0007061i,0.00036395+1.7327e-05i
0.0010854+0.0011742i,0.00072265+0.0011166i,0.00050586+0.0018007i,0.00011159+0.00066856i,-0.00066714-5.0513e-05i,-8.904e-05+0.00027813i,0.00045476-0.00067744i,-0.00046251-0.00062543i,-0.00026648-0.0004892i,-8.1851e-05-0.00030512i,-0.00024554+0.00022555i,0.0006427+4.7015e-06i,0.0011107-0.00036689i,0.00048182-0.00029521i,-3.8435e-05-0.00078488i,0.00014683-0.00075547i,-4.6217e-05-0.00013354i,-0.00094182-6.69e-05i,-0.00097709-0.00038107i,-0.00035652-0.00068347i,-0.00049707+3.9516e-05i,-0.0018407+0.00017641i,-0.0022047-0.00035058i
0.0008117+0.00051118i,0.0015719+0.00019897i,0.0012594-2.3312e-05i,0.0003644-0.00043454i,0.00031303+0.00031008i,-0.00024859+0.0009283i,-0.00028279+0.00077386i,0.00024277+0.0009342i,0.00027344+0.00059773i,0.00020254-0.00023394i,5.0123e-05-0.00096009i,1.6614e-05-0.00083826i,-3.8365e-05-0.00055061i,-2.6876e-06-0.00053008i,0.00045562-0.00035522i,0.00064737+0.00024624i,0.00022471+0.00019104i,-0.00036458-6.9774e-05i,-0.00011434+0.00021307i,0.00063933+0.00052141i,0.00085194+0.00071093i,0.00066619+0.0011301i,0.00024915+0.00071668i
-3.5137e-05+0.00043739i,-0.00046662+0.0016396i,-0.00098435+0.00096094i,-0.0010071-0.00067812i,-0.00070407-0.00045601i,-0.00046237-0.00016686i,-0.0013668-0.00045479i,-0.001336-0.0006854i,-0.0005725-0.00046817i,-0.00012729-4.1976e-05i,4.5769e-05+8.5824e-05i,-0.00021711+0.00020893i,-0.00011796+0.00062823i,-0.00016061+0.0011574i,-0.0006551+0.00055423i,-4.4372e-05-0.00020876i,0.00084944-0.00026997i,0.00034146-0.00062995i,0.00035997-9.2586e-05i,0.00010563+0.0001856i,-0.00060992-0.00040764i,-0.00030731-0.00029233i,0.00012418+0.00026332i
-0.00049816-0.0018536i,-0.00037328-0.0013533i,-0.0011165+0.00015462i,-0.0014544+0.0010814i,-0.0010146+0.00064529i,-0.00053063+0.00084703i,0.00054692+0.0011464i,0.00077111+0.00037453i,6.0612e-05+0.00029134i,-0.00024109+0.00029144i,-0.0001969+0.00030203i,-0.00017057+0.000729i,-8.6792e-05+0.00037148i,-4.4539e-05-0.00032561i,-4.7929e-05-0.00083606i,6.0514e-05-0.00093594i,0.0001172-0.00040697i,0.00019254+0.00024408i,0.00019363+0.00049434i,-0.00052631+0.00026652i,-0.00083468-3.6835e-05i,-0.00064027-0.00051343i,-0.00081012-0.00082206i
-2.0646e-05+5.6382e-05i,0.00039391+7.5697e-05i,0.00081957+0.00079286i,0.00060079+0.00087485i,0.00074761-0.00049516i,0.00043166-0.0012925i,-7.1943e-05-0.00042517i,-4.1354e-05+3.1475e-05i,1.2234e-06-0.00018068i,0.00075227-7.1853e-05i,0.00086662-0.00034751i,0.00027842-0.00058937i,0.00028929-0.00029617i,0.00044459-0.00074884i,8.7033e-05-0.0012369i,0.00021183-0.00043542i,0.00023261+0.00046162i,0.00057442+0.00012635i,0.0012488-0.00039051i,0.0011754+0.00032959i,0.0009767+0.00071578i,0.00094595-0.00015999i,0.0010083-0.00060522i
0.00015235+0.0026617i,-0.00025439+0.0022672i,0.00057025+0.0024629i,0.0018639+0.0014231i,0.0012645-0.00028261i,-0.00035636-0.00088263i,-0.00046116-0.0006057i,-0.00028579-0.00050818i,0.00016193-0.00055986i,0.00032808-0.00041222i,0.00053478-0.00012612i,0.00040387-0.00021157i,-0.00030003-0.0004719i,-0.00025452-0.00016943i,0.00022657+0.00042417i,-4.1544e-07+6.7783e-05i,-0.00025751-0.0013603i,0.00017052-0.0012125i,5.365e-05-0.00011796i,9.4484e-05+0.0013352i,0.00053813+0.0017936i,-9.797e-06-6.9073e-05i,-0.00084916-0.00080774i
0.00084566-0.000267i,0.00096335-0.0005985i,-0.00026-0.00093004i,-0.00047034-0.0009263i,-0.00020947-1.6928e-05i,-4.661e-05+0.00049263i,-0.00028035-2.9356e-05i,-0.00058097-0.0003084i,-0.00069589-5.8822e-05i,-0.00010753-0.00022344i,0.00083681-0.00097732i,0.00093073-0.00066017i,0.00070807+5.391e-05i,0.00029906-0.00012207i,-0.00012832+0.00011389i,-0.00031588+0.0005164i,-0.0006381+0.00011137i,-0.00036287-0.00021376i,0.00059659-0.00034263i,0.00051273-0.00040937i,-0.00021916+0.0003054i,-0.00020343+0.00073187i,-0.00017923+0.00016869i
-0.0006808-0.001489i,-8.2308e-05-0.00033766i,-8.5533e-05+0.0011222i,-0.0011758+0.0014642i,-0.000888+0.0014626i,0.00056666+0.00067665i,0.00036143-1.145e-05i,-0.00018395-3.7642e-05i,0.0002312-0.00014441i,0.0005472-0.00025849i,-0.00014948-0.00039352i,-0.001004-0.00041189i,-0.00099368+0.00013433i,1.6831e-05+0.00030027i,0.00040426+0.00046643i,-0.00048508+0.00038279i,-0.00057266+2.1795e-05i,-0.00019163-0.00048269i,-0.00014432-0.00099849i,-0.00033028-0.00069724i,-1.6786e-05+5.8552e-06i,0.00050293-6.8825e-06i,0.00011799+5.5101e-05i
0.00017046-0.00030504i,-0.00010631+0.00064339i,-0.00050333+0.00046593i,-0.00060645+0.00071472i,-0.00011397+0.0010545i,0.00038908+0.00084218i,-0.00010068+0.00066875i,-0.00089221+0.00074086i,-0.0011618+0.00045757i,-0.000774+0.00045927i,-0.00030469+0.00033343i,7.1613e-06-7.6349e-05i,0.00011999+0.00014542i,-0.00042546+0.00054241i,-0.00035591+0.00047755i,-0.00024537-0.00036517i,-0.00014373-0.00078094i,0.00025423-0.00043328i,-0.00052224-0.00021777i,-0.00073872+4.0025e-05i,-0.00021593-4.1131e-07i,0.00019761+0.00028159i,7.6335e-05+0.00050623i
-0.00016518-0.00097895i,-0.00066579+0.00026171i,-0.0014423+0.00045728i,-0.0012764-3.2716e-05i,-0.00049543+0.00044332i,0.00019679+0.00069075i,0.00032937+0.00048838i,-0.00040844+0.00094641i,-0.0011767+0.00082755i,-0.0010784+0.00072305i,-0.00023222+0.00052577i,0.00040041+0.00054677i,0.00039888+0.0008013i,0.00059431+0.0002294i,0.00045091-4.0946e-05i,0.00030794-0.00013707i,0.00044174-0.00055336i,0.00039792-0.00034078i,0.00012381-0.00036237i,-6.5634e-05-0.00090597i,2.4094e-05-0.00038828i,-0.00017098+0.000269i,8.9143e-05+0.00064565i
-0.0008514+0.00011161i,-4.2489e-05+0.0009209i,0.00096976+0.0012081i,0.00092293+0.0011154i,0.00041814+8.4128e-05i,0.00013342-0.00042503i,0.00061253-0.00042501i,0.0006323+0.00023425i,0.00028485+0.00098416i,0.00015587+0.00086676i,0.00028504+0.00051404i,0.00073757-7.5472e-05i,0.00034682-0.00089312i,-0.00047693-0.00092224i,0.00012283-0.00048489i,7.753e-05-0.00029685i,-0.00017911-0.00018604i,3.1215e-06-0.00025952i,0.00015221-0.00022169i,0.00024654-0.0002306i,0.00038863-0.0005809i,0.00020808-0.00064493i,-0.00054282-0.00034537i
0.0010212+0.00075i,0.00067912+0.001171i,0.00089553+0.0012591i,0.00045789+6.4185e-05i,0.00038111-0.0012636i,-0.00069812-0.0010223i,-0.0013301-0.00048344i,-0.00092098-0.00022306i,-0.00041154-0.00045282i,9.3676e-05-0.0010113i,-0.00014552-0.0011194i,-0.00025569-0.00076027i,-0.00017228-0.00013697i,-0.00058497+0.0001183i,-0.00088166-0.00012661i,-0.00043914-0.00082961i,0.00020951-0.0011107i,6.5234e-05-0.00095058i,0.00026834-0.00053903i,0.00042267-0.00026539i,0.00031431+1.1517e-05i,0.00062731-1.6027e-05i,0.00046519-0.00062086i
-0.00046442+0.0019181i,-0.0011729+0.0018234i,0.0001575+0.0019899i,0.0011911+0.002552i,0.0010756+0.0019834i,0.00093805-0.00045593i,0.00085037-0.0010074i,0.00032344-0.00061123i,0.00011027-0.00012248i,0.00041767+0.00034946i,0.00027271-4.0864e-05i,0.00018788-0.00049961i,2.4574e-07-0.00034829i,-0.0006733-0.00011256i,-0.00019738-0.00023486i,-0.00043539-0.00014687i,-0.001331-0.00035701i,-0.00041999-4.9787e-05i,0.00029784+0.00024885i,7.8967e-05-0.00016386i,0.00026543-0.00023766i,0.00021536+0.00027802i,-0.00051079-4.4423e-05i
-0.00064611+0.0013547i,-0.00039863+0.001737i,-0.00070948+0.0026337i,-0.00050653+0.0018477i,0.00026198+0.00050771i,0.00067776+0.00024298i,0.00050477+0.00076349i,0.00025679+0.00022206i,0.00044285+0.00043056i,0.00020898+0.00083297i,-0.00026151+0.00043378i,-0.00020854-0.00042986i,0.00026686-0.0010371i,0.0006941-0.00061347i,0.00048605-0.00015409i,-0.00032031+6.3174e-05i,-0.00014748+0.00022654i,-3.6276e-05+0.00025717i,-0.00017894-0.00015172i,-0.00031487-0.00038354i,-0.00033028-9.4598e-05i,0.00015233-0.00012529i,-0.00013256-0.00036276i
0.00021859+0.0017913i,-1.9289e-05+0.0021641i,0.00054703+0.0017573i,0.00080793+0.00088587i,0.0012786+0.00055123i,0.00093461+2.3569e-05i,-0.00037967-0.0002885i,-6.0269e-05-8.7894e-05i,0.00072302+0.00036525i,0.00049556-0.00012545i,0.00043825-0.00043996i,0.00020656+0.00010125i,-0.00042051+0.00071264i,-0.00064699+0.00037907i,7.4134e-05-0.00050608i,0.00047745-0.00036294i,0.00019464+0.00021033i,-0.00063044+0.00025593i,-0.00024606-0.0002148i,0.00061935+0.00062199i,0.0003347+0.00051538i,0.00055055-0.00063961i,0.00075991-0.00063031i
0.00029006+0.0025059i,0.0017053+0.0031823i,0.0029409+0.0029098i,0.0019525+0.00058643i,0.00063384-0.0015376i,0.00022277-0.0012227i,-0.00034401-6.112e-05i,-0.00069564+0.00067927i,-0.00075916-0.00016795i,0.00039997-0.00084563i,0.0016009-0.00080754i,0.0011106-0.00038136i,0.00047997-0.00010173i,-0.00023412+0.00019905i,-0.00064468+0.00063572i,-0.00028013+0.00079869i,9.6788e-05+0.0009512i,0.00025075+0.00070222i,0.00031293+0.00017988i,0.00032644-0.00013816i,0.00032108-0.00018254i,0.00041461+0.00011087i,0.0010022+0.00061675i
-0.00060057+0.0021243i,0.00050234+0.0021213i,0.0010922+0.0025564i,0.00075779+0.00215i,0.00089817+0.00033613i,0.00051698-0.00051433i,-0.0001823+0.00028728i,-7.4638e-05+0.00049202i,0.00035602+0.00013606i,0.00051357-0.00055882i,0.00095881-0.001105i,0.00059802-0.0007224i,-0.00015683-0.00063117i,-0.00050742-0.00023543i,-0.0004844-0.00016901i,-0.00024675-0.00063165i,9.9086e-05-0.0005601i,0.00046655-0.00023961i,-6.5615e-06+0.00025894i,-0.00069654+0.00061823i,-0.00092773+0.00010181i,-0.0010348-0.00042248i,-0.00076196+0.00014955i
-8.6763e-05-0.000391i,0.00029163-0.00017759i,-0.0010248+0.00010253i,-0.0010322+0.00013916i,0.00077244-0.00037866i,0.0013026-8.0022e-05i,-0.00022706+0.00052332i,-0.00086918+1.0827e-05i,-4.4488e-05-0.00061393i,0.00047875-0.00016454i,0.00028946+0.00080215i,0.00016067+0.00096901i,0.00018162+0.00064135i,0.0003859-0.00019222i,5.957e-05-5.3877e-06i,-0.00062764+0.00038869i,-2.7315e-05+0.00050086i,0.000401+0.00091749i,8.1466e-05+0.00025192i,0.00032171+0.00021157i,0.00048408+7.1157e-05i,-0.00012093-8.0427e-05i,-0.0004713-0.0003294i
8.8159e-05-0.0010992i,0.00038982-0.00017034i,0.00052426-0.0012448i,-0.00027489-0.00089465i,-0.00086675+0.00027107i,-0.00016293-0.00015184i,1.3323e-05-0.00044255i,-0.00059995-0.0011016i,-9.7963e-05-0.0013881i,0.00078064-0.00065347i,0.00072973+2.3154e-05i,0.00050003+0.00028346i,0.00076751+0.00029268i,0.00098473+0.00067789i,0.00056999+0.0010991i,0.00038336+0.00072835i,0.00018019-4.1829e-05i,-5.9805e-05-0.00023128i,0.00073929-0.00039161i,0.0010286-0.0007074i,4.6085e-05-0.0007271i,-0.00040084+0.00012677i,-0.00030333+0.0012654i
0.0012442-0.00081754i,0.0013561-0.00073363i,0.0014554-0.00070503i,0.00080829+0.00020256i,-0.00038857-9.8008e-05i,-0.00048783-0.00010325i,-0.00015198+0.001289i,-0.00043475+0.00095183i,-0.00078311+4.6056e-05i,-0.00076998-0.00012152i,-0.00037728-0.00035501i,0.00018328-3.9532e-05i,0.00044988+0.00017087i,-5.2787e-05-5.1509e-06i,-5.4774e-05+0.00036829i,-0.00022633+0.00083957i,-0.00058577+0.00046784i,-0.00047037-0.00018638i,-0.00033771-0.00050175i,-4.866e-06-0.00072528i,0.00028761-0.00053578i,0.0009085-0.00059941i,0.0014887-0.00046952i
-0.00030129+0.0032934i,0.00014827+0.0041593i,0.0012953+0.0028955i,0.0018712+0.00078722i,0.0019575-0.00071234i,0.0011691-0.0014633i,-0.0001793-0.0014614i,-4.1151e-05-0.0011394i,0.00049127-0.0011086i,0.0001557-0.0013526i,6.314e-05-0.00085942i,0.00046077-0.00065627i,0.00029335-0.00079037i,-0.00060003-0.00066667i,-0.00072572-0.00011241i,-0.00048838+0.00079742i,-8.4927e-05+0.00026346i,0.000301+4.9431e-05i,0.00022824+0.00035108i,0.00043089-0.00032596i,0.00061625-0.00048641i,0.00036851-6.1628e-05i,0.00017354+5.5439e-05i
3.5642e-05+0.00041657i,0.00058982+0.00044254i,0.0008534+2.9583e-05i,0.00013949+8.3039e-05i,-0.00025827-0.00010006i,0.00017618-0.00050755i,-0.00037405-3.3819e-05i,-0.0012831+0.00026847i,-0.000585-0.00021567i,0.00019456-0.0010797i,0.00040168-0.0011621i,0.00025063-0.00082822i,0.00017165-0.00027256i,-0.00026495+0.00017985i,-0.00067789+0.00054894i,-0.0004442-0.0001157i,0.00037338-0.00087487i,0.00054133-0.00058693i,0.0003279-0.00028106i,-0.00028598-0.00041316i,-0.00010517-0.00087545i,0.00040267-0.001201i,0.00049855-0.00054817i
-0.0006537-0.00093639i,-0.0011131+0.00088796i,-0.0013152+0.0019628i,-0.00031993+0.0010529i,0.0002609-9.2759e-05i,0.00014209-0.00052215i,-0.00015809-9.9964e-05i,-7.0076e-05+0.00053951i,0.0003199+0.00054741i,-0.00029109-5.7841e-05i,-0.00016049-0.00032993i,0.00048533+0.00010012i,0.00019421+0.00055717i,0.0001163-9.7518e-06i,0.00039542-0.00048804i,0.00033554-0.0001723i,2.52e-05-0.00030662i,0.00056911-0.00038316i,0.0010758+0.00032328i,-0.00013364+0.00038392i,-0.001353+1.3329e-05i,-0.00080806-0.00034855i,0.00011289-0.00026497i
0.00013396-0.0031704i,0.0001771-0.0017522i,-0.00021152-0.00088773i,-0.0011514+0.00035666i,-0.0024178+0.0014654i,-0.0013742+0.0016042i,0.00022154+0.00031359i,-4.5066e-05-0.00049695i,-0.00050058-0.00036373i,-0.00065533-0.00031021i,-0.00052735+0.00063557i,-8.4793e-05+0.0019363i,-0.00076588+0.001522i,-0.00093247+0.00053396i,-0.00041011+0.00024665i,-0.00066419+7.6551e-05i,-0.00065468-0.00026028i,-0.00031182-8.6003e-05i,-0.00041153+0.00022632i,-2.4408e-05+0.00043579i,0.00011654+0.00027572i,0.00011933-4.8935e-05i,0.00073581-0.00010233i
0.0025615+0.0025657i,0.0025156+0.0025318i,0.0022284+0.00018843i,0.00079424-0.00099551i,-0.00062967-0.00092357i,-0.0011193-0.00076245i,-0.0012711-0.0002051i,-0.00088905+0.00057881i,-0.00071399+0.00084828i,-0.00072735+5.8027e-06i,-0.00035405-0.00068749i,-0.00011257-0.00050285i,-0.00014034-0.00014127i,-0.00044239-0.0002912i,-4.8638e-05-0.00069979i,0.0007888-0.00084263i,0.00067453-0.00066595i,0.0003407-0.00056293i,0.00044314-0.00067597i,0.00040243-0.00064696i,-0.00010584-0.00069072i,0.00037322+4.3331e-05i,0.0012357+0.00035867i
