-0.0016589+0.00077077i,-0.0012044+0.00035745i,-0.00067937+0.0011381i,0.00013536+0.00058002i,0.00048491+0.0011534i,0.00051934+0.0016293i,0.0012105+0.0007429i,0.0015898+0.0010336i,0.0016975+0.0010961i,0.0015548+0.00017683i,0.00096349-0.00064512i,-0.00034249-0.0006797i,-0.00064322-0.00079033i,-7.0142e-05-0.00081973i,6.7137e-06-0.00078747i,-0.00071942-0.00078056i,-0.00031296-0.00030583i,0.00017333+0.00054631i,-7.3162e-05+0.00063091i,-0.00017776-0.00016831i,-9.2404e-05-0.00040931i,-0.00012557-0.00067963i,-0.00050579-0.00063481i
0.00041426+0.0012371i,-0.00081037+0.0007749i,-0.0014479+0.00033147i,-0.00014638+0.00074428i,0.00083946+0.00089332i,0.0013203-0.00018611i,0.0012915-0.00044212i,0.00030316-0.00017863i,-0.00042817-9.4431e-05i,-0.00039302-0.00020607i,0.00026713-0.00036943i,0.00053669-0.00052766i,0.00073045-0.00014666i,0.00089838+4.7606e-05i,4.7512e-05-0.00015952i,-0.00042377-3.0855e-05i,-0.0003065-0.00013411i,-0.000715-0.00039872i,-0.0014257-0.00024944i,-0.00094909+0.000172i,-0.00026137+4.5759e-05i,-0.00025459-7.6691e-05i,-0.00020478+0.00043921i
0.00086211-0.0006206i,0.00081796-3.2024e-05i,0.0012434+0.00056784i,0.0012102+0.0014988i,0.00043305+0.0017961i,0.00043149+0.0013208i,0.00084006+0.00051485i,0.00099921+4.3169e-05i,0.0010974-0.00051134i,0.00063699-0.00059312i,-0.0001195-6.2592e-05i,2.7548e-05+0.00037308i,0.00067879+0.00040613i,0.00031819-4.1511e-05i,-0.00026781-0.00011465i,-2.2324e-05-0.00034318i,7.2716e-05+0.00013769i,-0.00012071+0.00089767i,5.9038e-06+0.00062696i,0.00029954-4.6205e-05i,0.00079655-1.084e-05i,0.0011865-4.49e-05i,0.00035788-1.0669e-05i
0.0011313+0.00051139i,0.00041484+0.00067544i,0.00056435+0.0014573i,0.0016498+0.001007i,0.001616+1.6596e-05i,0.0011111-0.00074054i,0.00081241-0.00088953i,0.00099521-0.00047557i,0.00067121-0.0003888i,0.00023261-0.00057782i,-0.00065961-0.0002787i,-0.00094978-0.00031816i,-0.00049499-0.00046173i,-0.00083165-7.1659e-05i,-0.0011827+0.00023979i,-0.00051677+0.00040799i,-0.00024364-0.00022254i,-7.8903e-05-0.00067664i,-5.2428e-05-0.00030944i,0.00022576-0.00030042i,0.00083067-0.00040876i,0.00056191-0.00062876i,5.9683e-06-9.5007e-05i
0.0002149+0.00080938i,0.0007399+0.00026567i,0.0010199-0.00056513i,0.00091472-0.00025079i,0.00049065+0.00037393i,0.00066495+0.00017716i,0.00086938-0.00026306i,0.00096041-0.00033185i,0.0011496-0.00064426i,0.00077973-0.00071967i,-0.00022832-0.00018852i,-0.00023969+0.00036117i,4.1237e-05+0.00016898i,-0.00042058-0.00022972i,-0.00094602+2.3455e-05i,-0.00063225+0.00010042i,-0.0003237-0.00059688i,5.9337e-05-0.0011894i,-7.2395e-05-0.0014029i,-0.00038996-0.0014438i,8.0883e-05-0.0012029i,0.0010776-0.00025174i,0.00091279-8.3829e-05i
-2.0813e-05-0.00011069i,-2.3277e-05+0.00029319i,-0.00040356+0.00036617i,3.8213e-05+0.00079518i,0.00060378+0.00091448i,0.00017724+0.00054389i,0.00054203+0.00027397i,0.0011155-0.00013013i,0.0010807-0.00020645i,0.00064383+0.000567i,-0.0007419+0.00091665i,-0.0015309+0.00053957i,-0.00052346+3.4028e-05i,0.00056082+0.00035281i,0.00014915+0.00022026i,-0.00047357-0.00040809i,-0.00057782-0.00027524i,-0.00044387-3.5093e-05i,-0.00065672+0.00016898i,-0.00024791+3.733e-05i,0.00023473-0.00056513i,-0.00028694-0.00077331i,-0.00050734-0.00046135i
-2.7819e-05+0.0001557i,-0.0003532+0.0009107i,-3.2144e-05+0.0015653i,0.00071274+0.0016332i,0.00032986+0.00037319i,-0.0002447-0.00092199i,1.69e-05-0.00080103i,0.00083167-0.00061803i,-7.0032e-07-0.00068941i,-0.0013955-0.00092523i,-0.0012159-0.00099739i,-0.00065149-0.00037044i,-0.00030037-0.00023289i,-0.00053987-0.00018443i,-0.00085074-0.00025366i,-0.00032543-0.00036977i,0.00034058+7.5639e-05i,0.00093455+0.00020904i,0.0011443-0.00014113i,0.00060538-0.00072692i,-0.00025372-0.00060684i,-0.00070604+0.00026281i,-0.00065993+0.00031216i
0.00038275+0.00059105i,0.0019112+7.6335e-05i,0.0032423-0.00017025i,0.0025778-0.00066465i,0.0013194-0.00066151i,0.00061587+0.00050769i,0.00021157+0.00091426i,-7.9037e-05+0.00060454i,0.00040651-5.2115e-05i,0.00080878-0.00015166i,0.00040771+0.00015731i,0.00039062+0.00027028i,0.00045802+0.00066849i,-0.00010434+0.00049254i,-8.588e-05+0.00012076i,0.00076364+0.00013889i,0.00080267-0.00057915i,-0.00010425-0.00033385i,-0.0012489+7.7911e-05i,-0.001022-0.00090569i,0.00017594-0.0012697i,0.0010082-0.00042421i,0.0011361+0.00023646i
0.00072265-0.00085426i,0.00028248-0.00057037i,-0.00056765+0.00027355i,-0.00027096+6.7414e-05i,0.00015272-0.00022269i,-2.7087e-05-0.00047954i,0.00060306-0.001146i,0.00054784-0.0010801i,-5.5618e-05-0.00033372i,-0.0005421+6.888e-05i,-0.00068902-0.00017973i,-0.00058165+0.00010147i,-0.0004812+0.00077482i,-0.00052828+0.00092198i,0.00021438+0.00052778i,0.00026999-0.00010019i,2.6614e-05-0.0005345i,0.00066192-0.0006885i,0.0010979-0.00039062i,0.00098108-0.00016055i,-3.4825e-05-0.00065266i,-0.00071254-0.0005644i,-0.0007215-0.0002396i
-0.00045076+0.0011214i,-0.0013395+0.0011555i,-0.00067422+0.0016064i,0.0005086+0.0017099i,0.0011181+0.001746i,0.00024398+0.0015871i,-0.00073656+0.00052676i,-0.00051132-9.9527e-05i,-0.00051103-0.00015286i,-0.00085084-0.00028489i,-0.00058018-6.3814e-05i,-0.00039546-0.0002911i,0.00037243-0.0012031i,0.00048452-0.0010354i,-0.00048845+0.00034836i,-0.00038147+0.00080893i,-0.00011311+0.00025819i,-7.3703e-05-0.00015259i,-0.00021142-0.00061081i,0.00056296-0.00059977i,0.0012818-0.00023664i,0.0010063+7.7638e-05i,0.00078393+0.00016653i
-0.00063406+0.00044155i,0.00018426-0.00012637i,0.0010397+0.00034122i,0.0024487+0.00092542i,0.0024796+0.0014425i,0.0012792+0.00048491i,0.00070824-0.00036545i,0.0006522-0.0006091i,0.00047618-0.00052758i,0.00014762-0.00059625i,0.00046162-0.00079107i,0.0010583-0.00012102i,0.00087044+0.00016032i,0.00078925+4.5137e-06i,0.0010896-0.00035266i,0.00071576-0.00059708i,-0.00018076+6.2039e-05i,-0.00043524-0.00012047i,-0.00056688-0.00033457i,-0.0010968-6.4231e-05i,-0.0010438+0.0006516i,-0.00043581+0.00082381i,0.00035783+0.00051303i
0.00067584-0.00064711i,-0.00015987+0.00034949i,0.00010313+0.00043656i,0.00022114+0.00073943i,-0.00023452+0.00069438i,-0.00050218+0.00091997i,-0.00023732+0.0012394i,0.00013886+0.00040865i,0.00019633-0.00066109i,0.00026579-0.00066693i,0.0011632-0.000835i,0.0010672-0.0002879i,0.00021091+0.0006773i,1.6434e-05+0.00086273i,-0.00010255+0.00021465i,0.00036787+0.00012057i,0.00053499+0.00012131i,-0.00022483-0.0006315i,-0.00041393-0.00083064i,0.00043676-0.00099106i,0.00099267-0.00088028i,0.00098075-0.00061532i,0.00051459-0.00048711i
-0.00088453-3.6898e-06i,-0.00011552+6.3038e-05i,0.0001897+0.00063263i,0.0010561+0.0013607i,0.0016346+0.0014954i,0.0013614+0.00026942i,0.00082163-0.00040475i,0.00077063-0.00034424i,0.0010042-0.00035995i,0.0015282+9.5467e-05i,0.0012135+0.0003738i,0.00070804+2.5442e-05i,0.00054604-0.00010502i,0.0012083-0.0001434i,0.0014574+1.9296e-05i,0.00068436+8.6106e-05i,-7.463e-06+0.00067933i,-0.00058425+0.00078642i,-2.8124e-05-0.00054841i,0.00047458-0.00075288i,0.00020832+0.00017916i,0.00043623+0.00099767i,0.00043598+0.00092244i
0.00064164-0.0006806i,0.00045833-0.00039833i,-5.2698e-05-0.00056878i,0.00011578-0.00099391i,3.5782e-05-0.00044305i,1.6905e-05+0.00030182i,0.00079966-0.00030242i,0.0012439-0.0010651i,2.881e-05-0.00084817i,-0.00098195-9.9997e-06i,-0.0010755-5.0116e-05i,-0.00091038-0.00054316i,0.00035384+5.7408e-05i,0.00064699+0.00042087i,0.00035741-0.00025592i,0.00068959-0.00077008i,0.00062601-0.00079139i,0.0005741-0.00060574i,0.00027847-0.00061206i,0.00032128-0.00061186i,0.00064517-0.00052996i,0.0011872-4.3256e-05i,0.0011613+0.00075676i
-0.002116+0.00099216i,-0.002015+0.0020122i,-0.001417+0.0038456i,0.00017048+0.0034388i,0.0019285+0.0018406i,0.0026509+0.0003351i,0.0016562-0.00016794i,0.00063422-0.00015272i,0.00081754+0.00027164i,0.00093221+0.00040104i,0.00071234+0.00020738i,0.00053876-0.00015035i,0.0010362-0.00020713i,0.0011147-0.00025288i,0.0015802-0.00070491i,0.00084372-0.000637i,-4.4413e-05-0.00010381i,-9.7905e-05+0.00013914i,0.00022653-0.00046468i,0.00088429-0.00070867i,0.0010147-0.00023569i,0.00046614+0.00044097i,-0.00068542+9.2625e-05i
5.6951e-05+0.0034551i,0.0004289+0.0029924i,0.0023255+0.0023869i,0.0021233+0.001512i,0.0010359+0.0011041i,0.00034337+0.00023165i,-0.00047538+0.00016523i,-0.00018975+0.00039842i,0.00024+0.00083596i,-4.553e-05+0.00096556i,0.00014383-0.00044015i,0.00023343-0.00088562i,-0.00030573-0.00085712i,-0.00058147-0.0014124i,-0.00084546-0.0013705i,-0.00087624-0.00075467i,-0.00047311-1.513e-05i,0.00010359-0.00040564i,-0.00020119-0.00064699i,5.5875e-05+0.00034735i,0.00068159+0.0005444i,0.000323-0.00033679i,0.00069781-0.00098106i
0.0002251-0.00071875i,-0.00045967+0.00087771i,-0.00023387+0.0021124i,0.00072039+0.0014542i,0.0012283+0.0010034i,0.00061956+0.0011202i,0.00087321+0.00046905i,0.0010518-0.0005063i,-2.0508e-06-0.00052532i,-0.00035546-0.00051184i,5.1101e-05-0.00081172i,-0.00016348-0.00085982i,-0.00080684-0.00082111i,5.6122e-06-0.00052955i,0.00080704+0.00062749i,0.00035046+0.0009442i,-0.00044741+0.00027652i,-0.00048325-0.00077682i,-8.4006e-05-0.00063038i,0.00023284-0.00014996i,0.00042845-0.00024594i,0.00030932-0.00068974i,-0.0001152-0.00033882i
-0.00066401-0.0005847i,-0.00098791-0.0014027i,-0.0014124-0.0013052i,-0.00049959-0.0001984i,0.00032585+0.00080331i,0.0011338+0.00035562i,0.0011074-0.00050427i,0.00086879-0.00030715i,0.0012586+5.1818e-05i,0.00094857+0.00019448i,0.00054024-0.00058897i,0.00049985-0.0012453i,0.00034459-0.00083899i,0.00051716-0.00049074i,0.00052479-0.00018774i,0.00017131-0.00014973i,5.5676e-05+5.6066e-05i,0.00021045+0.00060032i,0.0011934+0.00096695i,0.0009541+0.0004183i,0.00026442-0.00017746i,-0.00031941-9.8721e-05i,-0.00088262+0.00018498i
-0.00081679+0.0014825i,-0.0013247+0.0013157i,-0.00021402+0.0021353i,0.0014506+0.0019139i,0.0016489+0.0010887i,0.00091992+0.0008857i,0.00060888+0.00079375i,0.00084483+0.00069783i,0.00085665+0.00076693i,0.00070092+0.00089432i,0.00039506+0.00043692i,0.00025265-0.00069971i,0.0007259-0.0011608i,0.00052284-0.00088965i,-0.00026876-0.00044583i,-0.00081828+0.00017597i,-0.0003317+0.00042166i,-0.00012347+0.00030329i,-0.00038173-5.346e-05i,-0.00073105-0.00079267i,-0.00078157-0.00097799i,-0.00052527-0.00058998i,-0.00085869-0.00060721i
-5.7726e-05-0.0012139i,-4.3912e-05-0.00032457i,-0.00089197-0.00035475i,-0.00049534-0.00087337i,0.00074693-0.00097506i,0.00057156-0.00059778i,0.00038982-0.00074495i,0.00071777-0.00095976i,0.00073441+0.0002406i,0.0008398+0.00091294i,0.00038802+6.8691e-05i,0.00078838-0.0002941i,0.0009819+9.4548e-06i,-0.00017907+1.5215e-05i,-0.00045103+0.00012878i,0.00012743+0.00026307i,0.00023706+0.00025393i,-0.00027627+0.00065016i,-0.00029056+0.00073637i,0.00013239+0.00062605i,8.0319e-05+0.00048176i,0.00015057+0.00059829i,0.00024146+0.00058709i
-0.0012705-0.0002255i,-0.0010551+0.00014371i,-0.00020124+0.00034329i,0.00040994+0.00050022i,0.00015565+0.0012561i,0.0004442+0.001141i,0.00078158+0.00078006i,0.00079029+0.0006367i,0.0010141+0.0004655i,0.00049275+0.0010379i,0.00013665+0.00087153i,0.00050385+1.9216e-05i,0.00084394-0.00053989i,0.00053859-0.00058299i,0.00032448+0.00039935i,-0.00013894+0.00095051i,0.00021966+0.00056982i,0.0015188+0.00035462i,0.0015432+0.00046341i,0.0010216+0.00040072i,1.9894e-05-0.00023175i,-0.0010738-7.2003e-05i,-0.00054674+3.7663e-05i
8.7754e-05-0.00093709i,0.0011438+0.00065078i,0.00089506+0.0023735i,0.00020333+0.0029868i,0.0007838+0.0018429i,0.0011966+0.00041641i,0.00018068-0.00026019i,-2.2723e-05-0.00055114i,0.00060354-0.0002646i,0.00058692+0.00022506i,0.00070147+0.0003672i,0.00039423+0.00011026i,-0.0002509-0.00045676i,-0.00021382-0.00058386i,-0.00020655+2.2477e-05i,-0.00067904+0.0005339i,-0.0012955+0.0003114i,-0.00095797+0.00019009i,0.00031021+0.00047564i,0.00039924-0.00015009i,-0.00029197-0.00090561i,-0.00035153-0.00033913i,-0.00032264+0.0004245i
-0.0016048+0.0017798i,-0.0017647+0.0020655i,-0.0013658+0.0023329i,-0.00064453+0.001543i,0.0001961-0.00040504i,0.0010133-0.0011569i,0.00089337-0.0004276i,0.00044242-0.00014018i,0.0006926+0.00065029i,0.00085163+0.00041505i,0.00044931-0.00090307i,-3.2248e-05-0.0011374i,2.0758e-05-0.0003179i,-0.0004303+9.2641e-06i,-0.0010894-0.000612i,-0.00066309-0.00075837i,-6.666e-05-0.00027816i,1.0183e-05+0.00027853i,-0.00071546-0.00019306i,-0.00082262-1.8783e-05i,6.1664e-05+0.00023003i,0.0014276+0.0003495i,0.002064-0.00031514i
0.00092969+0.00054806i,0.001051+0.0018639i,0.0023724+0.0028411i,0.0025234+0.0020751i,0.00088938+0.00070098i,0.00049565+0.00010074i,0.00099602+0.00026253i,0.00089839+0.00037623i,0.00038474-0.00010765i,-0.00072424-0.0012173i,-0.00080663-0.00093659i,-0.00092042+9.5904e-05i,-0.00054845-0.00029901i,0.00019341-0.00060157i,8.6302e-05-0.001041i,-0.0001861-0.00058791i,-6.154e-05-2.9304e-05i,7.7477e-05+5.8605e-05i,0.00011572+0.00086822i,0.00061616+0.0010258i,0.00076506+0.00022575i,0.00010756-3.1492e-05i,-0.00034494-0.00072521i
0.00040847+0.001142i,-4.9473e-05+0.0015858i,-0.0013009+0.0019763i,-0.0011547+0.0017723i,0.00022054+0.0006915i,0.0010488-0.00048364i,0.00060865-0.00019167i,0.0004144+0.00012404i,-3.2848e-05+8.3824e-05i,-0.00057097+0.00043707i,-0.00080992+0.0015488i,-0.00029091+0.0010893i,-8.063e-05-0.0010117i,-0.00012067-0.001807i,0.00087564-0.0015172i,0.0012941-0.0011196i,0.00014699-0.00019482i,-0.00060171+0.00064504i,-0.0004665+0.00071138i,7.9589e-05-0.00029197i,0.00075774-0.00066242i,0.00065133+0.00018279i,0.00016955+0.00057498i
-0.0016429-0.0022388i,-0.0016153-0.0010459i,-0.0013509-0.0010437i,-0.00042651-0.00068872i,-0.00014682+0.0005269i,0.000187+0.0010533i,0.00092892+2.5785e-06i,0.00053631-0.00080423i,-0.00043753-0.00056029i,-0.00066836+4.2151e-05i,-0.00031202+0.00015128i,8.5158e-06-0.00051361i,-0.00016326-0.0002154i,0.00032543+0.00067381i,0.00095763+0.00022069i,0.00048885-0.00041448i,0.00021281+2.2248e-05i,0.00055903-0.00023379i,0.0003818-0.00063879i,3.8452e-06-0.00042655i,0.00047589-0.00011208i,6.805e-05+2.0955e-05i,-0.00080586-7.4451e-05i
-0.00057787+0.00048527i,0.00011276+0.0010116i,0.00073966+0.0021792i,0.00085629+0.0026684i,0.0002486+0.0017717i,-0.00021778+0.001055i,0.00040613-0.0003974i,0.00080893-0.0014143i,0.00065922-0.001021i,0.00023741-0.00029752i,-0.00028895-0.00047513i,-0.00078762-0.00055935i,-0.00042553-0.0006026i,-0.00060369-0.00079049i,-0.00099075-0.00039068i,-0.00045984+0.00014433i,-0.00038978-5.4877e-05i,-0.00041039-0.00038745i,0.00017066-0.00020113i,-0.0001141-0.00052708i,-0.00052355-0.00088389i,0.00017794-0.00064439i,0.00036879-0.00021797i
0.0015471-1.6829e-05i,0.0015374-0.00079518i,0.00080709-0.00068099i,0.00088743-0.00039606i,0.0012737-0.00063057i,0.00094188-0.00083394i,0.00073865-0.00037191i,0.00063688-0.00017834i,0.00055211-0.00061212i,0.00067308-0.00064518i,0.00080037-0.00019507i,-0.00016236+8.0113e-05i,-0.0013531-0.00019018i,-0.0015692-0.0001307i,-0.00098325+0.00068338i,-0.00043833+0.00011072i,-0.00038141-0.00049713i,0.00011005+0.00019615i,0.00075645+0.00016466i,0.00074171-0.00037002i,0.00049226-0.00063115i,0.00057814-0.00049633i,0.00042384-0.00055851i
-2.1992e-05+0.00025755i,0.00076693+0.00044462i,0.0016349-0.00014335i,0.0016483+0.00023197i,0.0012581+0.00076355i,0.00067458+0.00033633i,0.00044615-8.6686e-05i,0.00030011-0.00016589i,-0.00044896-0.00037275i,1.0551e-07-8.5695e-05i,0.001068+0.0011034i,0.00043062+0.00085138i,-0.00077781-0.00029908i,-0.00023341-0.00076495i,0.0007694-0.00057023i,4.2005e-05+0.00012386i,-0.00028695+0.00014707i,-0.00018203-5.4572e-05i,4.8422e-05-0.00055959i,0.00086407-0.001235i,0.00090569-0.0010449i,0.00077553-0.00060564i,0.00070438+7.1482e-06i
