-0.001314-0.00024794i,-0.00098128-0.0016207i,-0.0014251-0.0024388i,-0.001933-0.00098608i,-0.0026953+0.00015283i,-0.0021568+0.00051124i,-0.00030307+0.0014951i,0.0008886+0.0023106i,0.0010811+0.0021246i,0.00023636+0.00099912i,-8.7312e-05-0.00073349i,-0.0002981-0.0010657i,-0.00019872-0.00053504i,0.00041382-0.0003546i,0.00013869-2.0478e-05i,-0.00051594+0.00054372i,-0.00060914-9.5276e-05i,6.7697e-05-0.00060727i,0.00032103+8.9026e-05i,-0.00039388-4.4586e-05i,-0.00089425-0.00014464i,-0.00059148-0.00014648i,0.00013603-0.00039727i
0.00023161-0.0002202i,0.00069305-0.00065535i,0.00083839-0.00054853i,0.0005355-0.00021733i,0.00016129-0.00078529i,0.00040273-0.0005918i,0.00065695+2.228e-06i,0.00021611+0.00010705i,-0.00010169+0.00042427i,5.5548e-06+0.00060976i,-0.00022726+0.00050116i,-0.00064803+0.00010722i,-0.00067862-0.00018967i,0.000116+0.00024776i,0.0003161+0.00036494i,-4.8177e-05+5.1805e-05i,0.00025355-0.00023356i,0.00015945+4.0762e-05i,-0.00044952+0.00044099i,1.2535e-05+0.00030731i,0.00021199+0.00030303i,-0.00058952+0.00043339i,-0.0003612+4.3825e-05i
0.00035495-0.00076368i,-0.00044256-0.00042505i,-0.0010953-0.0013401i,-0.0014692-0.0026755i,-0.0016151-0.00174i,-0.0011488+0.00025058i,-0.00038782+0.0013342i,0.0002634+0.0012611i,-0.00016782+0.00057278i,-0.0010558+2.0111e-05i,-0.00049345-0.00012414i,0.00079037-1.5806e-05i,0.00055702+0.00044242i,-0.00015664+0.00043444i,-4.0007e-05+0.00039442i,0.00060035+0.00086595i,0.00010759+0.0008576i,-0.00076419+0.00071006i,-0.00011504+0.00025829i,0.00026974-0.000275i,0.00021323-4.6079e-06i,0.00040836+0.00012852i,-0.00088436+0.00020976i
0.0002661+3.2205e-05i,-0.00065091+0.0013099i,-0.00080166+0.0012973i,-0.0009453-0.00054088i,-0.00093084-0.0020506i,-0.00080686-0.0015106i,-0.00077619-3.043e-05i,-0.00071901+0.00067559i,-0.00058642+0.00063582i,-0.00042572+0.00085223i,-2.7357e-05+0.00013952i,0.00074244-0.00039942i,0.00040269+0.00057372i,0.00031076+0.0011072i,0.00054022+0.00059173i,-0.00020945-3.5924e-05i,-0.00062856-7.643e-06i,-0.00064821-0.00015949i,-0.0005321-0.00055802i,-0.00080992-0.00065481i,-0.00051296+0.00032831i,-0.00014927+0.00050604i,-0.00041644+0.00016808i
-0.0011252-0.00015789i,0.00021029+0.00012353i,-8.9415e-05+0.00081726i,-0.00059563+0.00099054i,-0.0010908+0.00098278i,-0.00085174+0.00045735i,5.9659e-05+0.00033599i,0.00030126+0.00076231i,0.00032341+0.0014004i,0.00018913+0.0016104i,3.8063e-06+0.00091799i,0.00010169+0.00062552i,0.00067188+0.00089301i,0.00072693+0.00084993i,0.00045819+0.00084557i,0.00089747+0.00062344i,0.00063084-0.00028562i,-0.00034442-0.00075298i,-0.00047609-0.00050999i,-0.00046721+0.00016984i,-0.0003725+0.00081611i,-0.00010715+0.0008147i,5.8437e-06+0.00048564i
-0.0026026+0.00072694i,-0.0013318+0.00058088i,0.00073632+0.0001948i,0.0010717+0.00085248i,-3.4886e-05+0.0010935i,0.00014701-0.00014959i,3.4e-05+1.7373e-05i,-0.00022138+0.0010782i,-0.00088779+0.0011854i,-0.00089723+0.00053522i,0.00027609+0.0003524i,0.00013378+0.0010513i,-0.00074776+0.0013353i,-0.00022945+8.9989e-05i,-0.00055734+4.8454e-06i,-0.001301+0.00046799i,-0.00043824+0.00045135i,0.0008455-0.00010655i,0.00097666-0.00055453i,0.00046607+8.9903e-05i,0.0006015+0.00051417i,6.5994e-05+0.00057857i,-0.00057562+3.859e-05i
-0.00079986-0.00091357i,-0.00027704-0.00023913i,0.0003634-0.00067706i,0.00080133-0.00017932i,-0.00042395+0.00036461i,-0.00092544-8.3393e-05i,-0.0002065+0.00050326i,-0.00014546+0.00099811i,-0.00058994+0.0007104i,-0.00053548+0.00062658i,-0.00022491+0.00099869i,-4.4604e-05+0.00053211i,0.00033708-0.00057271i,0.0010046-0.0010171i,0.00083955-0.00074946i,-4.2961e-05-0.00025558i,-0.00040667+2.4983e-05i,-0.00047532+0.00036501i,3.4077e-05+0.00032994i,0.00040074-0.00018726i,8.5492e-05-0.0004272i,-7.052e-05-0.00049882i,-2.3159e-05-0.00057242i
0.00042035+0.0023561i,0.0010867+0.0017072i,0.00083768+0.00019771i,0.00025331-0.00098861i,-0.00024851-0.0010311i,-0.00058181-0.00095187i,-0.00026467-0.00055992i,-0.00020746+0.0006079i,-0.00060295+0.0010363i,-0.00057439+0.0006571i,-0.00014913+0.00049723i,0.00045679+0.00088175i,0.00025448+0.0011514i,-0.00029642+0.00080857i,-0.00024054+0.000453i,0.00026999+0.00022765i,0.00059166-1.1946e-05i,0.0001037-0.00051686i,-0.00031875-0.00076036i,-0.00061949-0.00057111i,-0.00080581-0.00048086i,-0.00035439-0.00089833i,0.00023214-0.00065215i
-0.00021282+0.00055157i,0.00086622+0.00035349i,0.0012048+0.00045338i,0.0012862-0.00016205i,0.0010082-0.0012283i,-0.0002684-0.0014049i,-7.0593e-05-0.0001634i,0.00040395+0.00055355i,0.00027161-7.0457e-05i,-0.00040297-0.00042153i,-0.00053105-0.00018657i,-9.8144e-05+0.00014657i,-0.00047253+0.00063163i,-0.00080032-0.00021762i,-0.001102-0.0014656i,-0.0011289-0.00088183i,-0.00026336-0.0001151i,-0.00021416+8.2385e-05i,-0.0010004+6.0985e-05i,-0.00061871+0.00014874i,-0.00016479+0.00023922i,-0.00022079-0.00040695i,8.941e-05-2.6172e-05i
0.00097456+0.00029476i,-8.6069e-05+0.00031058i,-0.0014503+0.00034033i,-0.001912+0.00016825i,-0.0017692-7.2546e-05i,-0.0012956+8.2047e-05i,-0.0005509-0.00012771i,-0.00029865-8.1282e-06i,-0.0004192+0.00059728i,0.00019313+0.00044684i,0.00033773+0.00050301i,0.00021124+0.0012596i,0.0005903+0.0015212i,0.00041637+0.00094385i,0.00027783+0.00058445i,0.00085721+0.00066743i,0.0008136+0.00045677i,-0.00013437+0.0001955i,-0.0004256-0.00020452i,3.7196e-05-0.00092011i,0.0001991-0.000658i,-0.00034152-0.00017144i,-0.0010296-6.3988e-07i
-0.0011311-0.00095404i,-0.0019974-0.00015736i,-0.00083521-9.0214e-05i,-1.5554e-06+0.00049421i,-0.00051652+0.00078688i,-0.00036779+0.00012921i,-0.00025448+0.00058129i,-0.00042971+0.0010018i,-0.00025331+0.00057293i,0.00019159+0.00050134i,0.0001144+0.00053677i,0.00021609+6.8977e-05i,0.00058106-0.00018292i,0.00035428-0.0003472i,8.9549e-05-0.00037065i,0.00036997-0.000171i,0.00029785+1.9295e-05i,-0.00016543-1.2304e-07i,-0.00026324-0.0004794i,0.00030057-0.0006475i,0.00072298-0.00070223i,-6.5688e-05-0.00086687i,8.2743e-05-0.00068385i
-0.00048946+0.00057683i,0.0010159+0.0007104i,0.0012698+0.0015352i,0.0013557+0.0014223i,0.0017149+0.00097851i,0.0011288-0.00013214i,7.8067e-05-0.00085347i,-0.00031156+3.3774e-05i,-0.00024395+0.00072769i,-0.0001977+5.866e-05i,-0.00035086-0.00038499i,-0.00094235-0.00030329i,-0.0014628-0.0012571i,-0.00039244-0.0013273i,0.00031229-0.0003473i,9.0523e-05+0.0004515i,-0.00025172+0.001068i,-0.00053396+0.00020073i,5.316e-05-0.00047156i,0.00014214-0.00069646i,-1.7347e-05-0.00041528i,7.7978e-05+0.00016822i,0.00053668+0.00038688i
0.00081656-0.0012929i,0.00080018-0.0011759i,0.00033534-0.00069823i,-0.00033058-0.00071638i,-0.00085157-0.00082132i,-0.0016678-0.00049538i,-0.0016559-0.00053338i,-0.00045957-0.00027096i,-0.00022743+0.00030541i,-0.00049502+8.7236e-05i,-0.00054504+0.00021214i,-0.000233+0.00068335i,0.00035282+0.00088469i,0.00040748+0.00090166i,0.00063545+0.00088674i,0.00053193+0.00077064i,3.2869e-05+0.00012394i,0.00022449-0.00016589i,-7.7395e-05+0.00024669i,-0.00086706+0.00039596i,-0.00060415+3.8141e-05i,6.7518e-05-3.2874e-05i,0.00035564+0.00044714i
0.0015015+0.00079634i,0.0011569+0.00079339i,0.00018998+0.00048606i,-0.00021968+0.00022554i,-0.00089736-0.00040383i,-0.0017462-0.00047053i,-0.001309+0.00025777i,-0.00067777+0.00080598i,-0.00045716+0.0012836i,-7.1628e-05+0.0014038i,0.00018668+0.0010142i,5.9008e-05+0.00014372i,0.00023236+1.7814e-05i,0.00015339+0.00044039i,0.00058003+0.0002353i,0.0011151+0.00024728i,0.0010305+0.00076701i,0.0008641+0.0012766i,-8.3294e-05+0.00049498i,-0.00070616-0.00068993i,-0.0006666-0.0013081i,7.0917e-05-0.00084243i,0.00022928-0.00052978i
0.00063655-0.0013882i,0.00052233-0.00041314i,-0.0006698-0.00068965i,-0.0013265-0.0022439i,-0.00088145-0.0019893i,-0.0009379-0.00028718i,-0.00067179-0.00019417i,-8.8415e-05-0.00031885i,-6.1007e-05+0.00042941i,0.00019714+0.00089236i,0.00037088+0.0003256i,1.2536e-05-0.00052573i,-0.00033822+5.1016e-05i,0.00044537+0.00075926i,0.00078291+0.00011873i,-0.00031069-0.00042833i,-0.00087897-4.6557e-06i,-0.00051401+0.00046778i,-0.00028449-9.2277e-05i,-0.00019994-0.0010202i,0.00010985-0.00095962i,0.00038093-0.00048478i,0.0002826+0.00026946i
0.0012963-0.0011108i,0.00071636-0.00032184i,9.1566e-05-0.00029509i,-3.6669e-05+9.0285e-05i,1.2184e-05+0.00024019i,-0.00038727+0.00075985i,-0.000355+0.00062521i,-0.00010601+0.00034434i,0.00010518+0.00034282i,-9.7928e-05+0.00033724i,-0.00022691+0.00088406i,-0.00013446+0.00088579i,-0.0002841-0.00010864i,-0.00023148+6.0725e-05i,0.00021801-2.4264e-06i,0.00023668-0.00016814i,0.0005078-0.00025696i,0.00071195-0.0002251i,0.00086796+0.00023934i,0.00068597+6.0615e-05i,-0.00010701-0.00048111i,0.00011567-0.00069625i,0.0008096-0.00098613i
7.2985e-05+0.00063169i,0.00037464+0.00042983i,0.00032466+0.0005572i,0.00019774+0.00015757i,-0.0010682-0.00032683i,-0.0014607-0.00015612i,-0.0006691+0.00032425i,-8.355e-05+0.00093843i,0.00050306+0.00086381i,0.00032461+0.00062113i,-0.00078575+0.0011867i,-0.00093637+0.001302i,-0.00088697+0.00095495i,-0.0010643+0.00047119i,-0.0013301+0.00068781i,-0.00075095+0.00055048i,-0.00034327+9.7812e-05i,-0.00074316+0.00036661i,-0.00054921+0.00093486i,5.4324e-05+0.0010818i,0.0012195+0.00014098i,0.0014171-0.00049207i,0.00022685-0.00062676i
-0.0009956+0.00042542i,-0.00038385+0.00091243i,5.279e-05+0.0010925i,0.00026044+0.00082059i,0.0001799+0.00031522i,-0.00049216+9.9084e-05i,-0.00094847+0.00093061i,-0.00036429+0.00093688i,-3.2731e-05+0.0011031i,0.00065541+0.00092082i,0.0007417+0.00046159i,0.00042264+1.3038e-05i,0.00042126-0.00027024i,0.00053903+0.00015798i,0.00058738+0.00032118i,0.00042463+8.2086e-05i,0.00011999+0.00018006i,-0.00029364+0.000203i,-0.00027127+9.7029e-05i,6.3631e-05+5.3593e-05i,-0.00011944+0.00017683i,1.1957e-05+0.00041643i,0.0012114+0.00022879i
0.0018764-0.00051356i,0.002283-0.0016398i,0.0013031-0.0015733i,0.00021284-0.0021831i,0.00012862-0.0031788i,-0.00024056-0.0025805i,-0.000226-0.00087459i,6.5575e-05+0.00078068i,-0.00077154+0.0013697i,-0.0006231+0.0011317i,0.0002973+0.0013055i,0.00020917+0.0011227i,-0.00057403+0.0013293i,-0.00075958+0.00072478i,-0.00085307+1.6447e-05i,-0.00052692+0.00083462i,0.0002499+0.00073705i,0.00070181-0.0004639i,0.00085157-0.00088464i,0.00057959-0.00071592i,0.00026867-0.00073564i,-8.7964e-05-0.00017564i,-0.00026531+0.00042086i
-0.0016281-0.0008807i,-0.00094815-0.00083685i,-0.00031839-0.00042022i,-0.00022897-4.1017e-05i,-0.00033234-0.0001232i,-0.00041164-4.9785e-05i,-0.0010104+0.00073414i,-0.00070052+0.00090926i,6.6389e-05+0.00086004i,-0.00058232+0.00082785i,-0.00070883-0.00022215i,0.00011486-0.00070218i,0.00015928-0.00041118i,0.00019293+0.00026226i,0.00034127-0.00033175i,-3.3316e-05-0.0011592i,-0.00031426-0.00062222i,7.8023e-05-0.00011845i,1.1952e-05-0.00012552i,-9.0338e-06-0.00043847i,0.00016132-0.00065604i,-0.00014897-0.00093042i,-0.00011574-0.001063i
0.0019998+0.00095963i,0.001684-0.00055716i,0.00096959-0.0011403i,0.0010425-0.00061307i,0.00055027-0.00040868i,-0.00078302-0.001312i,-0.00040635-0.0011406i,0.00024033-0.00013086i,-0.00024951+0.00041818i,-0.00052774+0.0010156i,-0.00028989+0.00086928i,-0.00048351+0.00015373i,-0.00083797+0.00033522i,-0.00041149+0.0012598i,-2.6318e-05+0.001023i,0.00010308+0.00028829i,0.00032755+0.00038894i,0.00089918+0.00072453i,0.0013722+0.00048771i,0.0011896+0.00065757i,-2.3876e-05+0.00080067i,-0.00051502-2.1034e-05i,0.00035929-0.00029311i
0.002232-0.0017116i,0.0019502-0.0007577i,0.00086398-0.00079965i,-0.00015517-0.0010737i,-0.0011154-0.001239i,-0.0010436-0.00025945i,-0.0002472+0.00082375i,0.00078974+0.0015331i,0.0011102+0.0010712i,0.00078384+8.2953e-05i,0.000917+5.909e-05i,0.00079529-0.00032909i,0.00036628-0.00031189i,0.00033171-0.00024581i,7.6254e-05-0.00028996i,0.00038853+0.00015672i,0.00041439+0.00025775i,-0.00045803+0.00023245i,-0.00083734+0.00030169i,-0.000634-7.2866e-05i,8.8804e-06+8.7159e-05i,0.00016135+0.00022634i,-2.7245e-05-0.00032045i
0.0012044+0.0002511i,0.00022311-0.0010838i,-2.2681e-05-0.00088005i,0.00023646-0.001264i,-0.00018817-0.0018569i,-0.00038865-0.0015685i,0.00029079-0.00062752i,-0.00022773+9.3387e-05i,-0.00071851+0.00033175i,-0.00060166-1.059e-05i,-0.0011114-0.00062861i,-0.00088022-0.0001255i,-0.0007209+0.0009361i,-0.00052089+0.00081886i,0.00052505-9.2038e-05i,0.00036871-0.00052041i,0.00036627-0.00073905i,0.0003321-0.00060606i,-0.00033114-0.001071i,-0.0002378-0.0013875i,0.0001645-0.0007162i,0.00027572+6.3357e-05i,0.00010737+0.00029057i
0.00019726-0.0014189i,0.0007335-0.00064245i,-5.9916e-05-6.6391e-05i,-0.00082925-0.0009057i,-0.00099774-0.00097638i,-0.00080102-0.00026761i,-0.00032044-0.00015661i,3.2016e-05-0.00028627i,-0.00059216-5.3228e-05i,-0.00069799+0.00050615i,0.00034928+0.00057595i,0.00024568+0.00024426i,-0.00022483-0.00015989i,0.00014743-0.0001013i,-4.0757e-06-0.00023945i,-0.00043561-0.00087624i,-0.00024453-0.0015053i,0.00010173-0.0013771i,0.00042302-0.00051938i,0.00050821-2.1072e-05i,0.00020755+0.00015642i,-0.00021158+0.00032192i,3.6509e-06+0.00074014i
-0.0019452+0.0019648i,-0.00069075+0.0020695i,-4.0765e-05+0.001685i,0.00051098-0.00019126i,0.0004794-0.0013178i,-0.00078451-0.00023903i,-0.00066968+0.001128i,0.00024179+0.0014419i,-9.0303e-05+0.00099755i,7.8925e-05+0.0001234i,0.00058208-0.00073646i,0.00040583-0.00067214i,0.00027142-0.00010429i,-0.00013214-0.00029811i,-0.00011623-0.00071879i,0.00045609-7.3054e-05i,0.0010292+0.00024288i,0.00092498+0.00016196i,0.0001047+0.00036647i,-0.00032792+0.0011755i,-0.00037861+0.0013514i,-0.00061339+0.00032239i,-0.00049446+0.00054828i
0.00052309+0.00093065i,0.0015457+0.0017023i,0.0012706+0.001799i,0.0013988+0.00085421i,0.0016778-0.00075761i,0.00093235-0.0016019i,0.00070686-0.0011552i,0.00064041-0.00076698i,-5.8712e-06+2.9846e-05i,-0.00060447+0.00083822i,-0.00083484+0.00073565i,-0.00097513+7.9937e-05i,-0.00058168-0.0001244i,-0.00020668-0.00015911i,-0.00020313-0.00019163i,-0.00011467+0.00044305i,9.5988e-06+0.00017327i,-0.00010303-0.00029976i,0.00010278-0.00026887i,-7.4266e-05-0.00040275i,-0.00037468+9.0367e-05i,0.00019332+0.0005749i,0.0010427+0.00067042i
0.0006545+0.0010194i,0.0013357+0.00047336i,0.0011052+0.00041666i,0.00089801-4.9227e-05i,-0.00014569-0.0003474i,-0.00058152+9.2306e-05i,-9.9882e-05+0.00059618i,-0.00027477+0.00094308i,-0.00051347+0.00077659i,-0.00034023+0.00017097i,-0.00010515-6.1103e-05i,0.00022045-4.9184e-05i,-5.9384e-05+0.00019849i,-0.0005575+7.0244e-05i,-0.00015312+0.0001131i,0.00028785+4.6837e-05i,0.00019089+0.0007271i,0.00019209+0.0013463i,0.00018258+0.00076422i,0.0005785-0.00013128i,0.00069567-0.00045623i,0.00045358-0.00032916i,2.9297e-05-4.2315e-05i
-0.0018941-0.001648i,-6.1993e-05-0.00022491i,0.00026741+0.00085569i,-0.00056166+0.0013796i,-0.00037933+0.0009399i,5.7119e-05+0.00020817i,0.00026354+0.00043307i,-0.00011716-0.00021015i,-0.0012152-0.00017245i,-0.0012546+1.9756e-05i,-0.00032229+0.00025857i,0.00024333+0.00061562i,-0.00018084+0.00014125i,-0.00062721-0.0004693i,-0.00042859-0.00035798i,-0.00027016+0.00030038i,0.00013662+0.00018541i,-0.00030181+0.00039358i,-0.00060609+0.00076339i,0.00050131+0.00032939i,0.00060549-3.8996e-05i,7.9143e-05-0.00012829i,9.4972e-05+1.9996e-05i
0.00045787+0.00052524i,0.00015649-0.00049096i,0.0013406-0.00049551i,0.0012482-0.0019752i,0.00054648-0.0039844i,0.00033341-0.0025197i,0.00039869-0.00046621i,0.00046354-0.00010324i,6.1811e-05+0.00072707i,-0.0007978+0.0013653i,-0.00084879+0.0010801i,-0.00020442+0.00030405i,6.8697e-05-9.798e-05i,0.00026651+0.00013259i,0.00038731+0.00045793i,0.00055174+6.4615e-05i,0.00050829-0.00046184i,-0.00020522-0.00021836i,-0.0002255-0.00020828i,0.00029664-6.3324e-05i,0.00074158-0.0004027i,0.0007158-0.00038292i,0.00055906+0.00044798i
-0.00078841+0.00012096i,-0.00015071-0.0001367i,0.00021233+0.0002291i,0.00026976+6.3847e-05i,3.5321e-05-0.00038589i,-0.00076435-0.00049496i,-0.00049651-0.00041133i,1.2915e-05-5.5633e-06i,-0.00032052+0.0012222i,-0.00082016+0.0013565i,-0.00023308+0.0004623i,0.00036324+0.000269i,0.00031472-1.2089e-05i,0.0010357-2.2227e-05i,0.0014176+0.00013892i,0.00060976-0.00037207i,0.00019781-0.00012282i,0.00044449-4.0523e-05i,0.00082882-0.00043771i,0.00034798-0.00041539i,-0.00040823-0.00014621i,-0.00015411+0.00020245i,0.00041618+8.5463e-07i
-9.4055e-05-0.0017239i,-0.00084692-0.0018182i,-0.0014146-0.00061658i,-0.0015271+0.00012527i,-0.0014182+0.00013428i,-0.0015164+0.00037083i,-0.00020812+0.001154i,0.0011418+0.001852i,0.00014918+0.0018628i,-0.0012393+0.0019637i,-0.00045125+0.0015693i,0.00035548+0.00047127i,0.00016595+0.00018208i,1.6376e-05+0.00034038i,-1.6549e-05-0.00012295i,0.000561-0.00043633i,-0.00015763-1.5814e-05i,-0.00075133-5.1379e-05i,-1.4163e-05-0.00068405i,0.00051829-0.00059024i,0.00052194-0.00049849i,0.00048911-0.0002279i,0.00099496+0.00025421i
-0.0011403+0.00052355i,-0.0010084-0.00016909i,-0.0011386+1.8793e-05i,-0.00040248+0.00066825i,0.00072353+0.00044913i,0.00071194+1.6525e-05i,0.00052404+0.00018397i,0.00037847+0.00065465i,0.00046289+0.00043637i,0.00031367+2.799e-05i,0.0003088+0.00042517i,0.00024713-8.1241e-06i,8.4936e-05-0.00058031i,0.00037035+0.0001544i,0.0002512+0.00083296i,6.4985e-05+0.00083721i,7.4681e-05+0.00049923i,8.8373e-05+0.00012009i,-0.00030873+0.00036219i,-0.00037589+0.00078801i,0.00022645+0.0005492i,0.00050836-0.00039009i,0.0010743-0.00058762i
