0.0022586+0.00063179i,0.0028156-0.00080118i,0.0015656-0.0017763i,0.0012174-0.00068578i,0.0003628+0.00051098i,-0.0013648+0.00024389i,-0.0015466-0.00014175i,-0.00040298+0.00019335i,0.0010151-6.9812e-06i,0.0012572-0.00071684i,0.0008676-0.0012162i,0.00014252-0.0011497i,-0.00079746-0.00029318i,-0.00046681+7.0848e-05i,-0.00021039+0.00055369i,-0.00041668+0.00084423i,-0.00051675-0.0003569i,0.0001767-0.0010833i,0.0010181-0.00017007i,0.00025987+0.00094328i,0.00010207+0.0011356i,0.00032903+0.00077719i,0.00017469+0.00061449i
0.00066956-0.00043482i,0.00066385-0.0011063i,0.00062638-0.0015319i,-0.00064564-0.00076721i,-0.00046059-0.00034002i,0.00050159-0.0010608i,0.0010776-0.0014454i,0.0010212-0.0005044i,0.00072936+3.0571e-05i,0.0011548-0.00062187i,0.00061181-0.00095859i,-0.00073208-0.00055077i,-0.00035946-0.00033991i,0.00091312-0.00045421i,0.0010241+0.0001871i,0.00053595+0.0016119i,0.00078221+0.0014698i,0.00070314+0.0001108i,-0.00080681-0.00049163i,-0.0014908+0.00015407i,-0.0013657+0.00098402i,-0.0012427+0.00059599i,-0.00072186+0.0001032i
0.0011618-0.0012656i,0.00089504-0.0013542i,0.00033626-0.000982i,3.5749e-05+9.0206e-05i,0.00018772+0.00050548i,0.00029229-1.3423e-05i,-0.00035232-0.00071366i,-0.00012915-0.00045443i,0.00050005+0.00031699i,0.00066762+0.00048035i,0.00065954+0.00034214i,0.00036827+0.00017856i,0.00012641+0.00057342i,-8.9656e-05+0.0012438i,-0.00041049+0.0015102i,-0.00040683+0.00064048i,-0.00013476-0.00026704i,-0.00030936-1.2525e-06i,-0.0006451+0.00046016i,-0.00096385+0.00052922i,-0.0013312+0.000119i,-0.0011059+9.3361e-05i,-0.00057176-0.00021428i
3.4586e-05+0.00032472i,0.00026269+0.0013225i,0.00018113+0.0023078i,0.00090473+0.002278i,0.0013093+0.0008631i,0.0011033-0.00034359i,0.00067422-0.00064647i,-0.00012536-0.00069489i,0.00022463+0.00022347i,0.00072618+0.00083315i,0.00066358+0.00019241i,0.00046888-0.00011284i,-3.829e-05-0.00051159i,-0.00047501-0.0010674i,-0.00060661-0.00037303i,-0.00089788+0.00039806i,-0.00094501+0.00084412i,-0.00060464+0.0011575i,-0.00014409+0.00090628i,0.00045384+0.00095572i,0.00028546+0.001168i,-0.00023118+0.00082562i,1.4291e-05+0.00044165i
0.0010842-0.00015063i,0.0011878+0.00023861i,0.0016151-0.00012163i,0.0013214+2.1222e-05i,0.00070485+0.00066238i,0.00033899+8.7744e-05i,0.00069937-0.00094795i,0.00060324-0.0012037i,0.00023629-0.00059843i,0.0004626+0.00028098i,0.00023846+0.00035582i,-0.00054585-5.126e-05i,-0.00073053-0.00077443i,-0.0001456-0.0011325i,-0.00024212-0.0006203i,-0.00012387+0.00039228i,0.00013613+0.0010118i,-0.00027937+0.00036582i,-0.0005164+0.00061134i,-0.0003945+0.00070696i,-0.00033793+0.00068086i,0.00026174+0.00024908i,0.00027208-0.00028481i
-0.00070303-0.0010162i,0.00022117-0.00012145i,0.00085475+0.00092565i,0.00017874+0.00097737i,-0.00031571+7.0167e-05i,0.00029669-0.0010195i,0.0005474-0.0010038i,-0.00016266-7.6727e-05i,-5.6489e-05+6.4545e-06i,0.00040769-0.00059687i,7.9594e-05-0.00081284i,-0.00033686-0.0003864i,0.00028791-0.00036808i,0.00019183-0.00010898i,-0.00021891+0.00060564i,0.0002752+0.00089225i,0.00059266+0.00047873i,0.00039209+0.00030405i,-0.00012322+0.00028663i,-0.00045033+0.00021067i,-0.0012446+0.00015911i,-0.00093248-0.00029807i,-0.0001232+5.4723e-05i
-0.0010109-0.00056843i,-0.0006367-0.0007236i,-0.00014851-0.00034882i,0.00050918-0.00011194i,0.00092569-9.9757e-05i,0.00083602-0.00074143i,0.0010932-0.00072414i,0.00075407-0.00047976i,0.00053339-0.00053775i,0.00081823-0.00034761i,-4.8828e-05-0.00049007i,-0.00044113-0.0010092i,0.00033673-0.0005267i,0.00030973-6.3141e-05i,-0.00028064-0.00037541i,-0.00051888-3.9092e-05i,-0.0004956+0.0003091i,-0.00070451+0.00050712i,-0.00044548+0.00050446i,4.6897e-05+0.00030248i,-1.8847e-05+0.00033412i,0.00015854-1.1562e-05i,0.00037939+0.00014485i
0.00032045-0.0021898i,-0.00035242-0.0011041i,-0.0011991+0.00022365i,-0.00068733+0.00055266i,-0.00020311+0.00022664i,0.00068037-0.00043426i,0.00088861-0.00068759i,0.0012614-0.00033845i,0.00094797+0.00022629i,-0.00016633-0.00027141i,9.1697e-05-0.0013397i,-0.00018789-0.0013637i,-0.0010163-0.00082821i,-0.00096496-7.2731e-05i,-0.00069861+8.872e-05i,-0.00046084-0.00029246i,0.00032775-4.1152e-05i,0.00019853+1.4345e-05i,-0.00054941+0.00014323i,-0.001024+0.0013921i,-0.00086689+0.0011886i,-0.00037583-2.516e-05i,-0.00015563-0.00010615i
0.00034685+0.0029705i,4.1887e-05+0.0013368i,0.00021604+0.0011062i,0.00077339+0.00088302i,0.0014215+0.00012862i,0.0015676-0.001141i,0.00081038-0.0021606i,0.00058345-0.0014211i,0.00066889-6.8474e-05i,0.00097832+3.8911e-05i,0.00059308-0.00056047i,-0.00040928-0.00071514i,-0.00038722-0.00011691i,-0.0003617-0.00023014i,-0.00033499-0.00083594i,0.00025622-0.00059818i,0.00020966+0.00035993i,-0.00027767+0.0004631i,-0.00054626-0.00031675i,4.8897e-05-0.00031179i,0.00060261-0.00066146i,0.0003456-0.00077029i,-0.00036068-4.3345e-05i
0.0013753+0.00093995i,0.0019782+2.392e-05i,0.0015337-0.00016888i,0.00058657+2.1671e-05i,0.0010718-0.00096423i,0.0010148-0.0014958i,0.00039847-0.0011173i,0.00059257-0.00011582i,0.00076848+0.00030267i,0.00066288-0.00029376i,0.0010617-0.00069719i,0.00022668-0.00038217i,-0.00084482+0.0003123i,-0.00031349+0.00078575i,-0.0001598+0.00052348i,-0.00010199+0.0001825i,-2.1465e-05+0.00012441i,0.00012804+0.00043584i,-0.00027203+0.00071988i,-0.0012814-0.00017313i,-0.0011646-0.00034349i,-0.00049195+0.00023424i,-0.00059211+0.00044247i
-0.00025068-0.00032872i,-0.00029746-0.001383i,-0.00048843-0.0014363i,-9.1495e-05-0.00059724i,0.00042866+0.00041915i,0.00024059+0.00033984i,7.5536e-05-0.00082164i,0.00017677-0.0010363i,0.0004228-0.00015832i,-7.6281e-06+0.00024391i,-8.7292e-05+7.0932e-05i,-4.7574e-06-6.2014e-05i,-0.00023093-0.00053956i,-0.00055423-0.0012771i,-0.00021796-0.0010498i,0.00076572-0.00013628i,0.00085195+8.0077e-05i,0.00024863-0.00012663i,-0.00060545+0.00066759i,-0.0011401+0.0013042i,-0.0012377+0.00059638i,-0.0007032-0.00016624i,0.00021416-5.3797e-05i
0.001451+0.00066507i,0.0015019-0.00026038i,0.00075878+0.00085933i,0.00069396+0.0011923i,0.0010627+0.00056911i,0.001029+0.00020627i,0.0010794-0.00061711i,0.00097765-0.00078812i,0.00054598+0.00023641i,0.00047269+0.00099251i,0.00047122+0.00089571i,-9.864e-05+0.00054061i,-5.0462e-05+0.00018753i,0.00035485+9.4667e-05i,0.00019368+0.00016291i,0.00045468+0.00051184i,0.00058575+0.0009325i,0.00021336+0.0004644i,0.00010107-2.0795e-05i,-0.00035386+1.2344e-05i,-0.00024132+4.0216e-05i,0.00019312+0.00045276i,3.7884e-05+0.00084499i
-0.0010353-0.0027231i,-0.00082612-0.0014152i,-0.00092241+0.00055863i,-0.00017409+9.6105e-05i,0.00034774-0.00025401i,0.00025216+3.7099e-05i,0.00039787-0.0001133i,-0.00023169-3.9433e-05i,-0.0001423+7.5845e-05i,0.00059296+8.2978e-05i,0.0006735+0.00018759i,0.00021162+0.00060904i,2.2864e-05+0.0007158i,-0.0003056+0.0001428i,-0.0004692+2.9649e-05i,-0.0001208+0.00017248i,-8.4205e-05-0.00031027i,-0.00017024-6.9249e-05i,-0.00035379+0.00098269i,-0.00018257+0.00060644i,-9.2565e-05-0.00016118i,-1.4409e-05+8.8446e-05i,0.00034939+0.00014i
0.00044797+0.00019547i,0.00046235+0.00041869i,0.0018806+0.0013591i,0.0014556+0.0021836i,0.00029889+0.00078217i,0.00087118-0.00077885i,0.0010604-0.00083968i,-0.00032403-0.00045248i,-0.00064806+0.00023318i,0.00066224+0.00068146i,0.0005489+0.00059528i,-0.00051663+0.00030669i,-0.00078804-0.00013878i,-0.0004959+0.00045268i,-0.00078415+0.00080755i,-0.0010436+0.00033247i,-0.00038107+0.00092162i,1.8798e-05+0.0012332i,-1.9575e-06+0.0010668i,0.00016238+0.00075378i,-0.00035867+0.00050267i,-0.00078426+5.367e-05i,0.00011485-8.6761e-05i
0.00023254-0.00078652i,8.08e-05-0.00045935i,0.0012089-0.00021704i,0.00057442+0.00042547i,0.00012495+0.00057945i,0.00011086+0.00084546i,0.00053253+0.00024039i,0.0004856+0.00049354i,9.109e-05+0.0010612i,0.0002069+8.4904e-05i,0.00052205-0.00036273i,5.2833e-05+0.00029789i,-0.00068375+0.00073539i,-0.0002349+0.0007743i,0.00047998+0.00070567i,0.00030921+0.00035005i,-6.1921e-05+6.5197e-05i,0.00050618+0.0001694i,0.00043075-5.8229e-05i,-1.356e-05-0.00047839i,-0.00045401-0.00063444i,-0.00095368-0.00037077i,-0.0005443+0.00015076i
0.00071342-0.00020637i,-0.0003983+6.6485e-05i,-0.00060478+0.00024401i,0.00061503+0.00041031i,0.0017011+0.0011592i,0.0014303+0.0014543i,0.00081248+0.00072248i,0.00071133-0.00024631i,0.00042726-0.00096542i,0.0002241-0.00019696i,-0.00033489+0.00069459i,-0.00043903+0.00058244i,0.00017564+0.00075093i,0.00015488+0.0010134i,-6.4917e-05+0.0010567i,-0.00010792+0.00069302i,0.0004114+0.00027312i,0.00072004+0.00037897i,0.00030237+0.00023086i,0.00055423+0.00011941i,0.0003284+9.715e-05i,0.00010047-0.00027341i,3.0612e-05-0.00058408i
0.0006362-0.0010744i,0.0014667-0.001032i,0.0017047+4.3317e-05i,0.0013633+0.00057421i,0.00064899+0.00073153i,0.00041329+0.00056893i,4.5373e-05-0.00068231i,-0.00010406-0.00010172i,0.00051821+0.0012992i,0.00074486+0.0012573i,0.00036502+0.00034427i,-4.8052e-05-0.00026979i,-0.00081019-0.00045446i,-0.0010333-0.00060769i,-0.00085195+0.00011685i,-0.00086464+0.00081633i,-0.00093969+0.00079289i,-0.00047026+0.00064877i,-0.00030376-9.8301e-05i,-0.00016171-0.00051984i,0.00036556-0.00036947i,6.1816e-05-0.00084936i,-0.00093754-0.00039817i
0.00037102+0.00086618i,0.00013701+0.00073101i,-0.00063344+0.00096067i,-0.00057843+0.0013288i,-0.00039469+0.00084398i,1.0456e-05+0.0009236i,0.00011902+0.00060946i,1.7295e-05-0.0001164i,7.478e-05-0.00017947i,0.00040253-8.7814e-05i,-3.2796e-05-0.00010449i,-0.00073443-0.00055536i,-0.00044569-0.00053066i,-0.00011282+0.00033966i,6.8811e-05+0.00053345i,0.00010109+0.00023705i,-0.00023872+1.213e-05i,-0.00061028+0.0002716i,-0.0010076+0.00083086i,-0.00090297+0.0009594i,-0.00040116+0.00045591i,-0.00072159+0.00055192i,-0.0008241+0.00058486i
-0.0010526-0.0022051i,-0.0016931-0.00074891i,-0.0010245-0.00044374i,-0.00042584-0.00047965i,-0.0011442-0.0008602i,-0.00052485-0.0009718i,0.00067615-0.00040767i,-0.00029829+0.00054285i,-0.0005888+0.0013136i,-7.6334e-05+0.0011114i,0.00010623+0.00026425i,0.0002008+4.1724e-05i,0.00043062+0.00012608i,0.00057478+0.00038149i,0.00010905+0.00071744i,-0.00013051+0.00021086i,-0.00050003+0.0001915i,-0.0010506+0.00044809i,-0.00058708+0.00050717i,3.2947e-05+0.00097988i,-0.0003675+0.0015365i,-0.00038859+0.0012442i,-0.00047964+0.00047764i
0.0017637+2.435e-05i,0.0013112-9.8034e-05i,4.3908e-05+0.00015127i,-0.00071502+0.00044811i,0.00034971+5.1059e-05i,0.00048306+0.00030926i,-0.00085525+0.00027927i,-0.00068915+0.0003424i,-2.1884e-05+0.00038875i,-7.4089e-07-0.00056103i,-0.00012202-0.0010772i,-0.00022465-0.00037435i,-0.00052293-0.00016148i,-0.00037783+0.0001078i,0.00032597-3.2324e-05i,0.00029901-0.00010921i,-0.00031056+0.00030387i,-0.00077917-0.00010243i,-0.00068105-0.00069692i,-0.00064332-0.00010012i,-0.00075787+0.00026737i,-4.5577e-05-7.974e-05i,0.00033991+0.00013927i
-0.00048584+0.00041113i,-0.0005889+0.00085939i,-0.00062086+0.00079149i,-7.3716e-05+0.00021454i,0.00034477+9.7463e-05i,0.00071259-3.1269e-05i,0.00061542+2.386e-05i,0.00012253-3.7726e-06i,0.00023985+0.00020164i,0.00097364+0.00048659i,0.00033804+0.0002145i,-0.00048424-0.00046452i,8.1483e-05-0.00015634i,9.4424e-05+0.00033744i,-0.00012007-0.00037168i,-0.00021839-0.00077284i,0.00037119-0.00067846i,0.00067642-0.00032211i,5.3159e-05+0.00069169i,0.00023472+0.00040816i,0.00020171-0.0004931i,7.2186e-05-0.0010109i,0.00011114-0.0012282i
0.0018586+0.0015308i,0.00092406+0.00025809i,0.00071382+0.00094936i,0.0014081+0.00096855i,0.0015423-0.00042187i,0.00080612-0.0012904i,0.00037863-0.00089072i,0.00053487+0.00016628i,0.00063448+0.00074292i,0.00091299+0.00025401i,0.00069424-0.00048258i,0.00040228-0.00093229i,0.00098087-0.0008415i,0.0013371-0.00043583i,0.00039001+6.4666e-05i,-0.00051751+0.0007464i,-0.0001899+0.0009914i,-8.5142e-06+0.00031733i,-0.00022574-3.6283e-05i,-5.3609e-05-0.00014609i,-0.00016039-0.000188i,-0.00013655+0.00033262i,0.00012521+0.00092308i
0.00012383+0.0027373i,-0.00027776+0.0023983i,-0.0011953+0.0022462i,-0.0002145+0.0022573i,0.0016284+0.0018511i,0.0017235+0.00096376i,0.0010414-0.00043226i,0.00036014-0.0011975i,6.6599e-05-0.0010999i,0.00064885-0.00080056i,0.0015813-0.00054776i,0.0011128-0.00027291i,0.00078208-0.00031948i,0.00069848-0.00027855i,0.00030512-0.0002939i,0.00048938-0.00032795i,5.9985e-05+0.00065678i,-0.00030019+0.0011371i,-0.00095277+7.7726e-05i,-0.0010356-0.00083844i,-0.00067612-0.00049982i,-0.00084581-0.00012418i,-0.0012095-0.00063977i
-0.002257+0.0014576i,-0.00104+0.001645i,-0.00028144+0.0016163i,-0.00015448+0.0019406i,0.00038461+0.0014525i,0.0018355+0.00059219i,0.0021321+0.0003256i,0.00062411-3.3097e-05i,-0.00026078+6.6348e-05i,0.00053807+0.00046176i,0.00086378+0.00037927i,0.00048825-4.6606e-05i,0.00035035-2.9698e-05i,0.00035888-5.007e-05i,0.0002157-0.00027204i,-0.0001028-0.00024261i,-0.00021918+0.00040445i,-0.00058382+0.00030981i,-0.00084222+0.00018694i,-0.00052934+0.0007951i,-0.00027338+0.00045095i,-0.00034846-0.00030456i,-0.00022575-0.00084881i
0.00082428+0.0011786i,0.0015126+0.0011921i,0.0022943+0.00066246i,0.0024886+0.00038352i,0.0022439+0.0001776i,0.0010697-0.0011629i,0.00040679-0.0020839i,-0.00010999-0.00083828i,-0.00020968+0.0010757i,0.00010198+0.00089494i,0.00044885-0.00055019i,0.00042045-0.00076725i,-0.00075526-0.00023018i,-0.0017028+0.00023943i,-0.0014192+0.00065301i,-0.00086748+0.00013572i,-0.00034094-0.00069655i,-6.3227e-05-0.00044536i,1.4885e-06-0.00027473i,3.1218e-05-0.00030549i,-0.00036174-4.3418e-05i,-0.00030122+2.209e-05i,-0.00015174+6.0005e-05i
-0.0012604-0.0018671i,-0.001827-0.0010607i,-0.0025646+0.00064785i,-0.0019008+0.0016655i,-0.00016617+0.0019059i,0.00020431+0.00089044i,-0.00011988-0.0004274i,-0.00044224-0.00018602i,-0.00037256+0.0004126i,0.0008959+0.00072818i,0.0013609+0.00051905i,0.0012714-3.1972e-05i,0.001032-0.00053304i,0.00036868-9.0505e-05i,-0.00031087+0.00050788i,-0.00079093+0.00049245i,-0.00062109+0.00043007i,-0.00011822+0.00030311i,-0.00071677+0.0006036i,-0.0012298+0.0005068i,-0.00084517+6.5637e-06i,-0.00045341-3.8841e-05i,-0.00019759+5.5354e-05i
0.00031533+0.0030916i,0.00045741+0.0024268i,0.0019427+0.0018737i,0.0029326+0.0018456i,0.0023231+0.00094151i,0.0018473-0.00088426i,0.0019607-0.0014566i,0.0010487-0.0011081i,0.00070949-0.00011538i,0.0010046+0.00016217i,0.00082676-0.00055797i,0.00069644-0.00093274i,4.7331e-05-0.0008564i,-0.00064028-0.0012807i,-0.00059379-0.00065459i,7.2326e-05+0.00076167i,0.00026052+0.00077466i,0.00013443+0.00022756i,-0.00017966+0.00018074i,-0.00012507+0.00052579i,-8.2856e-05+0.00070481i,-0.00077846+0.00031805i,-0.00047705+0.00043129i
-0.0015555-0.0028734i,-0.00097141-0.0014527i,-7.497e-05+6.9228e-06i,4.4578e-05+0.00081125i,0.0001239+0.00036353i,0.00045798-5.5255e-05i,0.00021545-0.0007554i,-0.00025142-0.0010012i,-0.00019452+4.4058e-05i,0.0007606+0.00025522i,0.0010232-0.00075385i,0.00030942-0.00094527i,-0.00010443-0.00068407i,-0.00048588-0.00041659i,-0.00038168-0.00010225i,0.00036304-0.00045787i,0.00044008-0.0010069i,-0.0003665-0.00077907i,-0.00095515+0.00039535i,-0.00010139+0.00016779i,0.00018649-0.00098886i,-0.00018589-0.0012573i,-0.00024042-0.0008513i
0.00067161+0.0022939i,0.00093215+0.0023263i,-0.00018696+0.0020376i,0.0003244+0.0012821i,0.0021403+0.00079568i,0.0022284+5.0559e-05i,0.0015757-0.00072112i,0.00095099-0.00057169i,0.0012424+0.00043325i,0.0017208+0.00040655i,0.0015188-0.00037458i,0.00055393-0.00076097i,-2.883e-05-0.00012943i,8.8585e-05+0.0007546i,-0.00030734+0.00056926i,-0.00080247+0.00039871i,-0.00054492+0.0001635i,-0.00074468+0.00032717i,-0.0011871+0.00067729i,-0.00079498+0.00035648i,-0.00054728+0.00036019i,-0.00070662+0.00058799i,-0.00046809+0.00060083i
0.00064065+0.00012311i,0.00020535+0.00055485i,0.00037227+0.00030258i,0.00054966-0.00038625i,0.00070925-0.0004739i,0.00049821-0.00030073i,0.00090504-0.00093038i,0.0011605-0.001543i,0.00097994-0.00073049i,0.00084178-2.9176e-05i,0.00032482-0.00074705i,0.00055973-0.00101i,0.00089333-0.00035036i,0.00027828+0.00014236i,-0.00016174+0.00010964i,-0.00017078+9.7151e-05i,0.00079107-0.00022147i,0.0012414+0.00018415i,-3.3814e-05+0.00093851i,-0.00051015+0.0010505i,-0.00093543+0.0010173i,-0.00099233+0.0004692i,-0.00042365-0.00047009i
0.00028129-0.00093415i,0.00084023-0.0019807i,0.0012496-0.0009814i,0.00060056+0.00024719i,-0.00016686-0.00052482i,0.0005982-0.0017588i,0.0013043-0.001732i,0.00028372-0.00049409i,0.00017747-0.00021432i,0.001185+0.00032268i,0.0010678+0.00043282i,0.00015578-0.00059656i,-0.00026845-0.00076311i,-0.00067379+0.0001694i,-0.00097049+0.00038173i,-0.00056848+0.00016365i,-0.00075782-0.0002247i,-0.00071271-0.00094324i,-0.00073266-0.0012196i,-0.0014302-0.00077579i,-0.0012945+1.8486e-05i,-0.00019331+0.00034945i,-0.00029419+8.6561e-05i
0.0014943+0.004149i,0.0026786+0.0029419i,0.0034831+0.0024896i,0.0030892+0.0014268i,0.0022716+7.8257e-05i,0.0015252-0.0014705i,0.001086-0.002315i,0.00053259-0.0011839i,0.00063284+0.00035022i,0.001175-0.00014238i,0.00059401-0.00088287i,0.0004008-0.00074923i,0.00038925-0.00048784i,0.00070987-0.00012018i,0.00028905+0.00029868i,-0.00055974+0.00047771i,-0.00057259+0.00018535i,-0.00037601-0.00024869i,-0.0003299-6.0582e-05i,2.7727e-05-0.00017693i,0.00055797-8.0488e-05i,0.00031502+0.00055313i,-0.00024416+0.00095271i
0.0020912-0.0012298i,0.001296-0.0024336i,2.5338e-05-0.0027377i,-0.00069192-0.0017659i,-0.00032993-0.0013018i,-0.00034278-0.00090261i,-0.00037177-0.00049492i,-0.00030626-0.00018655i,-0.00055695-0.00011027i,0.00016049-5.9124e-05i,0.0002812+0.00017195i,0.00069335+0.00014166i,0.0012379+0.0002052i,0.000728+0.00060315i,0.00014537+0.00075642i,9.7248e-05+7.8391e-05i,-7.9814e-05-0.00052492i,-0.00030575-0.00027283i,-0.00014776-0.0002063i,-0.00028867+0.00018483i,-0.0012361+0.0002172i,-0.0011209-0.0003056i,-0.00043848-0.00049314i
