-0.004515+0.0020545i,-0.0033938+0.0013601i,-0.0025264+0.0011065i,-0.00078062+0.00091235i,0.00057142+0.0014787i,0.00067613+0.0020631i,3.8602e-05+0.0020043i,0.00042448+0.0015697i,0.00089078+0.00071635i,0.00064103-4.3868e-05i,0.00041311-0.00022053i,0.0002479-0.0003933i,6.8801e-05+0.00047036i,0.00022687+0.0010992i,0.00077021+0.00050294i,0.00088786+0.00073011i,0.00016401+0.0006637i,-0.00062653-0.00022376i,-0.00045041+0.00010016i,-0.0001276+0.001121i,-0.00014196+0.00070534i,-0.00027798+0.00033182i,-0.00094981+0.00079621i
-0.00093196-0.0013398i,-0.002149-0.0012032i,-0.002114-0.0011624i,-0.001838-0.00083339i,-0.0013001-0.00063409i,-0.00091144-0.00024238i,-0.0007228-0.00028758i,-0.00017675+0.00027349i,-0.00011098+0.00032479i,-0.00024303+0.00012299i,-0.00010204-0.00012056i,0.0002818-0.00059468i,0.00033619-0.00038234i,0.00028305+0.00016701i,-0.00012789+0.00043988i,-0.00087553-0.00034367i,-0.00033391-0.00055598i,0.00023894-0.00011565i,0.00058752-0.00015105i,0.00046433+0.00018262i,-0.00063938+0.00049285i,-0.0010291-0.00023294i,-0.0012963-0.00072101i
0.00076257-0.00038809i,0.0012627+0.00045503i,0.00036272+0.00092325i,-0.00025489+0.0013349i,0.00068172+0.0011129i,0.0012238+0.00061522i,0.00053669+0.00011014i,-9.6135e-05-0.00023824i,-5.3994e-05+0.00029796i,-0.00022048+0.0016132i,0.00034765+0.001117i,0.00040986+0.00042693i,-0.00015597+0.00017896i,-9.0461e-05+9.3392e-06i,0.00010492+0.00038416i,0.00081988+0.00072978i,0.00083694+0.00026479i,-0.00014725-0.00018028i,-1.5852e-05+5.6761e-05i,0.00025804+0.0003906i,-3.5877e-05+0.00060829i,0.00059367+0.00056628i,0.00040987+0.00023186i
-0.0015006-0.0010253i,-0.0025384-0.00032109i,-0.0031844-0.00056174i,-0.0023671-0.00063147i,-0.00091828-0.00023447i,0.00045508+0.00074058i,0.0010335+0.00062181i,-0.00010257+9.1639e-05i,-0.00066956-6.7243e-05i,-0.00079662+0.0004069i,-0.0010536+0.0011684i,-0.00098487+0.0010703i,-0.00048279+0.00022087i,-3.9029e-05-0.00028623i,0.00044945+0.00022291i,0.0007486+0.00024915i,-0.00017201-0.00017688i,-0.00057071-0.00078457i,-0.00025073-0.00047092i,0.00016389-0.00061123i,-8.5686e-05-0.00075464i,-7.6576e-05-0.00018253i,-1.9238e-05+0.00064624i
0.0019871+0.0017878i,0.00082134+0.001864i,0.00092558+0.0017833i,0.00069375+0.0010031i,0.00063804+0.00071049i,0.00064296+0.00068795i,0.00029753-0.00025536i,0.00042879-0.00087987i,0.00073889-0.00038302i,0.00051788+0.00036175i,0.00021836+0.00043016i,-0.00029051-6.2745e-05i,-0.00045013-0.00037176i,0.00027484-0.00030589i,0.00049455-0.00062266i,0.00029941-0.00061822i,0.00017366-0.00038577i,-0.00019945-0.00010458i,0.00049062-6.4514e-05i,0.00052832-4.9284e-05i,-0.00012076+0.00026018i,-0.00036918-8.2919e-05i,-4.0295e-05-0.0004674i
-0.0017003+0.0022401i,-0.0010995+0.0025031i,-0.00029601+0.0023432i,0.00033685+0.0017447i,0.00079325+0.0012831i,0.00055519+0.00095179i,-0.0004308+0.00023676i,-0.00080143-3.0266e-05i,-0.0007917+0.00042067i,-0.00011592+0.00076308i,0.00088126+0.00038699i,0.00091508+0.00014043i,-0.00019203+0.00027219i,-0.00041274-0.00011678i,0.00037064-0.00054302i,0.0010402+0.00028881i,0.00027851+0.0014022i,-0.00068113+0.0012199i,-0.00088896-0.00027583i,-0.00012476-0.00080845i,-0.00026935-0.00017145i,-0.00074866+0.00055241i,-0.00026748+0.00068607i
-0.0019702-0.0012633i,-0.0016824+0.00041515i,-0.0012242+0.0012428i,-0.00055886+0.00093417i,3.0246e-06+0.00080418i,3.7964e-05+0.00087117i,0.00016572+0.00044933i,-0.00014876+0.00068396i,-0.00039368+0.00096321i,1.1044e-05-4.7094e-05i,0.00039164-0.00049745i,0.00044677+0.00049989i,1.5703e-05+0.00064642i,5.7185e-05-0.00034067i,0.00046127-0.00045111i,0.00076624+0.00054807i,0.00065364+0.0004082i,-0.0004527+8.9805e-05i,-0.00074066+0.0007069i,-2.8958e-05-0.00026894i,0.00014522-0.0013576i,0.00040822-0.0012636i,0.00080144-0.00037304i
0.00023574+0.0020958i,0.00088692+0.0023897i,0.00031341+0.0021653i,0.00026729+0.0006957i,0.0013546+0.00022102i,0.0022849-0.00030831i,0.0015355+0.00032019i,1.3318e-05+0.00067952i,-0.00089745+0.00022526i,-0.0013592+0.0002709i,-0.00094788-0.00030044i,-0.00024245-0.00020369i,-3.8817e-05-9.6819e-06i,0.00016756-0.00028251i,-5.6683e-05-0.00014635i,-0.00048413-3.9726e-05i,-0.00020856+0.00025896i,4.7712e-05-2.0768e-05i,-5.6242e-05-0.00038883i,-0.00027853+0.00018827i,-0.00019764+0.00061553i,-5.8299e-05+0.00055622i,-4.7763e-05+0.00031339i
-0.0023164-0.00086632i,-0.0019553+0.00053167i,-0.00045864+0.0016959i,0.00051583+0.0023718i,0.00044223+0.0016091i,0.00089725+0.00026161i,0.0011851-0.00023189i,0.00050198-0.00069211i,0.00022919-7.0985e-05i,9.7581e-05+0.00011564i,8.923e-05-0.00037269i,-0.00054421+0.00021956i,-0.00047017+0.00020245i,-3.8744e-06-0.00052436i,-0.00035881-0.00082377i,-0.00010267-0.00015343i,8.3529e-05+0.00065394i,-3.1473e-05+0.00042698i,0.00018119+0.00010563i,0.00020663-0.00034979i,0.00046426-0.00048924i,0.00074703-0.00023424i,0.00052455-0.0003147i
0.00032193+0.0047463i,0.0011141+0.0041191i,0.0011713+0.0029393i,0.00074666+0.0013404i,0.0012426+0.00032398i,0.0018161+0.00057418i,0.0012757+0.0010826i,0.00058674+0.0011012i,-0.00016618+0.00088817i,8.0209e-05+0.00047868i,-0.00015218-0.00019888i,-0.0012034-0.0004636i,-0.00089569-0.00033824i,-0.00029248-0.00023927i,-0.00050941+0.00034267i,-0.00054407+0.00080305i,-0.00015905+0.00017521i,-0.00024093-0.00025839i,-0.00011832+0.00035163i,0.00095516+0.00097123i,0.00072835+0.00068572i,6.764e-05+0.00015477i,0.00015579-0.00011423i
-0.0026133-0.00019445i,-0.002375+0.00035201i,-0.001862+0.0018336i,-0.00097062+0.0024639i,9.3579e-05+0.0011672i,0.00071315+0.00040614i,0.00060123+0.00035573i,0.00022415-0.00014616i,-3.6028e-05-0.00020248i,-0.00083075-9.6236e-06i,-0.00089395-2.7558e-05i,0.00026721-7.7398e-05i,0.0002981-0.00024844i,-3.9026e-05-0.00037032i,-0.00060554-0.00036488i,-0.0008654+2.6492e-05i,-7.1042e-05+0.00018249i,0.00059976-0.00025411i,0.00038689-0.00036984i,2.6692e-05-0.00025522i,-9.1401e-06-0.00010785i,-5.4173e-05-0.00054401i,-0.0005883-0.00064752i
0.0033913-0.00078768i,0.001918-0.00021613i,0.00096611-0.00043775i,0.00032941-0.00080991i,0.00033406-0.0012046i,0.00079606-0.00066671i,7.2526e-05+0.0003625i,-9.9632e-05+0.0002621i,0.00040356+0.00019713i,-6.7979e-05-0.00023247i,-0.00040171-0.00083224i,-0.00013898-0.00055889i,0.00041646-0.00046333i,-8.464e-05-0.00069931i,-0.00090574+4.7402e-05i,-0.00038801+0.0002179i,0.00029515-0.00059888i,0.00029622-0.00049954i,-0.0006038-2.6619e-05i,-0.00091107+0.00010072i,-6.9859e-05+0.00057339i,-9.3564e-05+0.00056364i,0.00021443+0.00013491i
-0.0036725+0.0039236i,-0.0020827+0.0034561i,-0.00088151+0.0025828i,0.00036822+0.0020436i,0.0018014+0.0021i,0.0022308+0.0016539i,0.0012149+0.00010655i,0.0007571+0.00018361i,0.00030858+0.00064641i,-9.5969e-05+4.2342e-05i,0.00084143+0.00010974i,0.00083834+0.00056742i,7.5049e-06+0.00042081i,2.4028e-05+0.00049711i,0.00022649+0.00062138i,0.00031951+0.00016981i,-0.0005626+0.0001169i,-0.0015351-0.00024879i,-0.00084154-0.0006399i,0.00016071-0.00049941i,0.00048552-0.00013246i,0.00053389+0.00035745i,0.00071463+0.00033533i
-0.0011648-0.001718i,-0.0019097-0.0010166i,-0.0015455-0.00051212i,-0.00082361-0.00035369i,-0.00080613-0.00034779i,-1.5252e-05-0.00040101i,0.0004611-0.00090027i,0.00018856-0.00089266i,1.1133e-05-0.00091148i,-7.4059e-05-0.00085796i,-0.00045624+0.00012412i,-0.000446+0.00026628i,-0.00045526+9.8006e-05i,-0.00076115+0.00025537i,-0.00050147+0.00012753i,-0.00054686-0.00029628i,-0.00061579-1.969e-05i,-0.00010385-0.00041432i,-0.00028045-0.00078641i,8.1669e-05-0.00050261i,0.00030513-0.00029662i,-5.8581e-05-7.1353e-05i,0.00028023-0.00064528i
0.00032231+0.0010245i,0.00049335+0.0013251i,0.00021562+0.0013129i,0.00040264+0.0020121i,0.0012227+0.0023167i,0.0012064+0.0013447i,0.00064258+0.00021698i,0.00035742-0.00040197i,-0.00026561-0.00022188i,-0.00082171+0.00069373i,-0.00058023+0.00053973i,-0.00074712-0.0001303i,-0.0005674-0.00050761i,0.00012144-0.0002391i,0.00023385-0.0003928i,0.0010242-0.00062814i,0.00091024+9.6744e-05i,0.00043666+0.00036896i,0.001103-0.00040263i,0.0011328-0.00029801i,0.00058782+0.00032569i,-0.00016495+0.00023212i,-0.00013237+0.00033794i
-0.00041483-0.00056395i,-0.0013026-8.9292e-05i,-0.0008491-0.0001187i,-8.7752e-05-0.00031978i,-0.0008526-0.00022175i,-0.0010641-0.00079786i,0.00015524-0.0013242i,0.00071285-0.00062694i,0.00021709+0.00055036i,0.00026744+0.0004634i,0.00024779-0.00050197i,-0.0001755-4.9502e-05i,-0.00051018-7.1004e-05i,-0.00020793-0.00025612i,0.00019631+0.0002419i,-0.00047879+0.00014735i,-0.00074529+7.2646e-05i,-0.00052598-0.00042699i,-0.00094583-0.0005057i,-0.00075414-0.0007034i,-0.00049437-0.00068936i,-0.00055844-0.00046665i,-0.00067287+0.000125i
0.0010244+0.0010079i,0.0007939+0.0011417i,-0.00058495+0.0010314i,-0.00078056+0.00061798i,-0.00033957+0.00056185i,-0.00034658+0.00074919i,-0.00043155+0.0011665i,-0.00011555+0.00083284i,0.00068591-4.5664e-05i,0.00053736-0.00012833i,-0.00024448-0.00012846i,-5.0631e-05-0.00040257i,0.00025117-9.3241e-05i,-2.3964e-05-0.00010172i,9.0865e-05-0.00034717i,0.00032859-1.7573e-05i,0.00012666+0.00010322i,-0.00013335-0.0001083i,-5.5113e-05-0.00036423i,-3.5327e-05-0.00032128i,0.00017744-0.00048109i,0.00041833+0.00011158i,0.00023238+0.00069851i
-0.0031335+0.00033067i,-0.0017133+0.001539i,-0.00028894+0.0023052i,0.00056023+0.0019863i,0.0011564+0.0012815i,0.0015231+0.001119i,0.00073742+0.00044897i,0.00037315-0.00062189i,0.00013017-0.00078705i,0.00014048-5.4092e-06i,0.00044838+0.00034018i,0.00078933+0.00021716i,0.00053407+0.00014467i,0.0001801+0.0004699i,0.00063254+0.00075219i,0.0010503+0.0003115i,0.00082461-0.00037657i,0.00032673-0.00080951i,2.4017e-05-0.0012139i,-0.00053531-0.00081483i,-0.00060829-0.00019773i,-0.00021796-0.00026529i,4.1466e-05-0.00085424i
-0.00064931+0.00095463i,-0.0014458+0.00053824i,-0.0014331+0.00023033i,-7.405e-05+0.00046965i,0.0011907+0.0011654i,0.00072466+0.00038227i,0.00010276-0.00034386i,0.00045267+0.00028782i,0.00033023+0.00086771i,-0.00070492+0.00057554i,-0.00055133+0.00016971i,0.00047326-4.1871e-05i,0.0003422+7.6637e-05i,-0.0001316-0.00075463i,6.5383e-05-0.0015794i,3.9968e-05-0.00088505i,6.3421e-05+0.00012226i,0.00043491+0.00012891i,0.00055419-0.00034037i,-3.336e-05-0.00016507i,-0.00049549+0.00046768i,-0.00031023+0.00010012i,4.1264e-05-0.00035763i
0.00033137+0.0014346i,0.00038776+0.0010475i,-0.00029211+0.00056877i,-0.00035057+0.00077902i,0.00048183+0.00072542i,0.00029772-1.9457e-06i,-0.00042686+0.00041301i,-0.00068705+0.00074886i,-2.0194e-05+1.8148e-05i,0.00051171+8.8895e-05i,0.00031933-9.078e-05i,0.00045995-1.8902e-05i,0.00080814+2.041e-05i,0.0012054-0.0001174i,0.00082981+0.00023309i,-0.00059075+0.00012856i,-0.00085472+0.0002081i,-0.00068571+0.00018774i,-0.00019902-0.00031127i,0.00046037-0.00058181i,0.00093375-0.00041551i,0.0012286+0.0002335i,0.00071846+0.00055686i
-0.0011578-0.0025137i,-0.0017259-0.00068748i,-0.0019704+0.00082919i,-0.0017395+0.0010552i,-0.00032268+0.00029375i,0.00051282-0.00016156i,0.00061397+0.00010823i,0.00082681+0.00012175i,0.00041949+4.6351e-05i,-0.00033743+0.00034804i,-3.5163e-05+0.00059803i,-0.00085763+0.0004267i,-0.00087557+0.00018746i,-4.211e-05+0.00075054i,7.1462e-05+0.0011237i,9.5967e-05+0.00093471i,-0.00018661+0.00055589i,-0.0002677+0.00040702i,-9.6333e-05+0.0002703i,0.00020322+0.00045969i,0.00069488+0.00044528i,-0.00022864+0.00016816i,-0.00085747-0.00017963i
-0.00014147+0.0032779i,-0.00036336+0.0028498i,0.0002293+0.0018726i,0.0012805+0.00049567i,0.0016652+0.00010369i,0.0014805+0.00064829i,0.00093903+0.0002159i,0.00051113-0.00012773i,-0.00054807+0.00014562i,-0.001058+0.00054359i,-0.0010105+7.6166e-05i,-0.00086442-0.00060315i,-0.00072919+0.00039756i,4.1129e-05+0.0014917i,0.00017444+0.0010918i,-0.00046288-7.8642e-05i,-0.00032379-0.00091857i,0.00035952-0.00059399i,0.0010438-0.00023862i,0.00099985-0.00038773i,0.00011008+3.4068e-06i,-0.0010062+2.981e-05i,-0.0010391-0.00013511i
-0.00085322-0.00096721i,-0.0012259+1.8668e-05i,-0.00092044+0.0016927i,-0.00061826+0.0020273i,0.00041219+0.0013296i,0.00091022+0.00056469i,0.00010518+8.1706e-05i,-0.00024162-7.1795e-05i,0.00011719-0.00016982i,0.00020407-5.3965e-05i,9.2445e-06-0.00049324i,-0.00010921-0.00047166i,-0.00011433-6.1046e-05i,-0.00012071-0.00010235i,-0.00034428-0.00030399i,-0.00026419-0.0008592i,-1.2759e-05-0.00043712i,-0.00034226+0.00069275i,-0.00088949+0.00038363i,-0.00051957-0.00028751i,-9.1188e-05-0.00054135i,-8.8407e-05-0.00040283i,-9.8435e-05+0.00021779i
0.0020191+0.0013559i,0.00063587+0.001352i,-0.00070122+0.0010561i,-7.7621e-05+0.00084509i,0.00037427-0.00026445i,-0.00029147-0.00072719i,-0.0012271+0.00049234i,-0.0013627+0.00091617i,-0.00050104+0.00055294i,-0.00024539-0.00022026i,-0.00040665-0.00071974i,-0.00020454+3.3742e-05i,0.00018443+0.00032922i,0.00036148+0.0001353i,0.000587+0.00019045i,0.0003399+0.00033218i,-0.00027524+0.00084447i,-0.00075547+0.00049402i,-0.00070529-0.0010447i,-0.00026468-0.0015925i,0.00061724-0.0014018i,0.00060085-0.00048054i,-0.00043142+0.00056357i
-0.0034703+5.5572e-05i,-0.0032453+0.00049006i,-0.0019876+0.00060461i,-0.00076004+0.00089116i,-0.00013825+0.0011035i,0.00072884+0.001058i,0.0012297+0.00038831i,4.1007e-06-4.9215e-05i,-0.00079928+6.0035e-05i,-0.00019252-1.8933e-05i,0.00025122+0.00018272i,3.2885e-05+0.00027073i,-0.00014673+0.00046948i,8.6452e-05+4.8653e-05i,0.0006188+3.5515e-05i,0.00065879+0.00088627i,8.8807e-05+0.00065149i,0.00012582-1.4082e-05i,6.6815e-06+0.00022214i,0.00018101+6.3383e-05i,0.00084951-0.0006412i,0.00077411+4.8906e-06i,0.00054301+0.00042216i
-0.0010254+0.00095911i,-0.0008152+0.00022397i,-0.00055526+0.00069661i,0.00025002+0.0014593i,0.0014812+0.00084022i,0.0015633-0.00025865i,0.00051671-0.00039131i,-0.00017728+0.00012773i,-0.00036966+0.00062399i,-0.00015193+0.00011887i,0.00043289-0.00040977i,0.00088857-0.00054242i,0.00097603-5.3017e-05i,0.00029694+0.00082884i,-0.00015905+0.00048884i,0.00076545+1.2417e-05i,0.001333+5.9456e-05i,0.00080868+0.0001885i,0.00066958+0.00060933i,0.00051951+0.00039642i,-0.00042742-0.00027707i,-0.00040739-0.00031778i,-0.00012616-0.00063756i
-0.000406-0.00089043i,-0.00068262+4.1596e-05i,-0.0013344+0.00072202i,-0.00046628-0.00019907i,0.00044247-0.00013694i,0.00082023-0.00020922i,0.00057228-0.0001182i,0.00037483-0.00013765i,0.00049329-0.00085379i,0.00053078-0.00036589i,0.00035177+0.00050575i,-0.00044948+0.00051945i,-0.00049615+0.00012228i,0.00029445+0.00066307i,0.00014612+0.00079854i,0.00010682+0.00019177i,0.00067432-0.00030477i,0.00049931-0.00056131i,-0.00053492-0.00052512i,-0.00052031-0.00025475i,0.00027349-0.0007018i,0.00010391-0.0012543i,0.00014615-0.0008247i
0.0017178-6.4152e-05i,-0.00034167+0.00047235i,-0.0010778+6.0673e-05i,-0.00053933+0.00059446i,-0.00063247+0.0005646i,-0.00064221-5.0662e-05i,-0.0003628-0.00022885i,-0.001273-9.4643e-05i,-0.0017465+0.00019385i,-0.00088475-3.5831e-05i,0.00016671-0.00096825i,0.00050628-0.00096181i,0.00018793-0.00063049i,-1.7709e-05-0.00028219i,0.00027354+0.00022482i,-5.3558e-05+0.00033612i,-0.00010843+0.00021302i,0.00031911+4.8207e-05i,0.00022709-3.9424e-05i,-0.00024823+8.1813e-05i,0.00051993+0.00012706i,0.00064266-0.00023525i,-0.00049033-0.00022074i
