-0.003863+0.0015827i,-0.0019902+0.0024449i,-0.0018136+0.0039949i,-0.0011839+0.0032872i,-0.00041252+0.0014877i,0.00023884+0.00051495i,0.00033625+0.00047901i,0.00089409+0.00095584i,0.0015172+0.0010625i,0.0017053+0.00051916i,0.0012697-0.00011605i,0.00045771-0.00092629i,0.00040908-0.00070439i,4.6978e-05-2.7539e-06i,-0.00054271+0.00010113i,-5.0743e-05+0.0002729i,-0.00032407-7.2657e-05i,-0.00049521-0.00023774i,-0.00040394+0.00014348i,-0.00022341+0.0008353i,0.00024366+0.0011622i,0.00054396+0.00064989i,-0.00011659+0.00017719i
-0.00043038+0.00048066i,-0.00024106+0.00044025i,-0.00019268+0.00060834i,-0.00022097+0.00042454i,3.6411e-05+0.00038779i,9.8673e-05+0.00040759i,-0.00029816+6.0941e-05i,-0.00065966-0.00028571i,-0.00019357+9.922e-05i,-2.0245e-05+0.00072488i,-0.00036033+0.00054347i,-0.00091956+0.00014489i,-0.0012946+1.9269e-05i,-0.0010297+8.7308e-05i,-0.00063468-3.2805e-05i,-4.446e-05-0.00049108i,0.00020388-0.00040727i,-0.00013378+0.00043701i,-0.00042804+0.0011792i,-0.00048614+0.00084586i,0.00012144+0.00034514i,0.00039292+0.00021755i,0.00066029-0.00023779i
0.0018362+0.00070256i,0.0011731-0.00013221i,-0.00010463-0.0011122i,-3.7406e-05-0.002046i,0.00020315-0.0023947i,0.00017683-0.0019013i,0.00011776-0.00070897i,9.3892e-05-0.000292i,0.00037533-0.00030539i,0.00093719+0.00022323i,0.00047901-6.9679e-05i,-0.0003049-0.00019293i,6.9402e-05+0.00030502i,0.00043599+0.00036787i,6.8563e-05+0.0012658i,-0.00015445+0.00091871i,0.00017981-0.00019443i,0.00036271+5.1235e-05i,0.0003099+0.00020028i,-0.00025552-0.00013791i,-0.00088044-0.00011813i,-0.00032034+0.00040799i,0.00024066+0.00066832i
0.0024523+0.0011394i,0.0026333+0.00016867i,0.0018332-0.00012902i,0.00068407-0.00088506i,-0.00026045-0.00183i,-0.00057845-0.0017627i,1.491e-05-0.0011894i,0.00053949-0.00091784i,0.00052969-0.0002374i,0.00069959+0.00042745i,0.00080513+0.00034339i,-0.00018777-0.00043021i,-0.0010719-0.00093896i,-0.00073493-0.0010994i,-0.00086732-0.00074372i,-0.0010902+0.00040341i,-0.00043434+0.00052932i,0.0001717+0.00034897i,0.00026664-0.00028261i,0.0005531-0.0013495i,0.0010079-0.0010389i,0.00086843-0.00023742i,0.00093283-9.713e-05i
0.0019276-0.00048541i,0.0016892-0.0014763i,0.00093089-0.0020194i,-1.1441e-05-0.0014143i,-0.0016187-0.0010095i,-0.0014542-0.0013538i,-0.00063821-0.0021312i,-0.00040109-0.0019941i,0.00070409-0.00045203i,0.00084605+0.00075697i,0.00032176+0.00069645i,-0.00011493+8.3088e-05i,9.3887e-05+8.3989e-05i,0.0014298+0.00028041i,0.0012867+0.00027505i,0.00093277+0.00018909i,0.00034631+0.00018052i,-0.00049359+1.9911e-05i,-0.00077127-0.00014098i,-0.00067324-0.00021317i,-0.00060754-0.00035238i,-0.00068963-0.00037298i,-0.00018124-4.024e-05i
0.0012633-0.0014515i,0.0010678-0.0011178i,-0.00028653-0.0014135i,-0.00093135-0.0008441i,-0.00095805+0.00064424i,-0.00012212+0.00083954i,0.0003534-0.00011429i,-0.00023557-0.00073013i,-0.00042841-0.00052508i,0.00020918+0.00010128i,0.00029553+0.00079003i,0.00033072+0.00033737i,0.00044015+0.00026825i,-0.00025968+0.00062908i,-0.00072155+7.6493e-05i,-0.00025711-9.9061e-05i,-0.0002087-8.066e-05i,-0.00028604+0.00041673i,-0.00066219+0.00099691i,-0.0006912+0.00031029i,-0.00069554-0.00045554i,-0.00072258-0.00051051i,-0.00065431-0.00060223i
-0.00017466-0.00071532i,-0.00027166-0.00076937i,-0.0003195-0.00061303i,-0.00035448-0.00021941i,-0.00053877-0.00092364i,-0.00063058-0.00055358i,-0.00066865+0.00036349i,-0.00056408+0.00019721i,0.00038964-0.00037296i,0.00078995-0.00017937i,0.00040189+7.1747e-05i,0.00048746-0.0001024i,0.00074527-0.00026718i,0.00013144-0.00016274i,-0.00037888-0.00062758i,0.00010464-0.00055989i,0.00055214+0.00066941i,8.0732e-05+0.001395i,-0.00022093+0.0013526i,-0.0010386+0.00037421i,-0.00035886-0.00041925i,0.001019+0.00040351i,0.00032385+0.00052626i
8.1071e-06+0.00069222i,-0.00036052+0.0001572i,-0.0017441+7.4396e-05i,-0.0025152-0.00038115i,-0.0013536-0.0010537i,-7.4324e-05-0.00055285i,0.00028294-0.00050597i,-0.00018703-0.00058574i,-0.00014119+0.00024547i,0.00058554+0.00071696i,0.0013596-0.0005398i,0.0015481-0.00085348i,0.0011108+0.00030665i,0.00063413+0.00032535i,0.00068686+0.00011948i,0.00035126+1.4259e-05i,-2.5169e-05-0.00053882i,0.00040479-0.00080761i,0.00083994-0.00063405i,0.0006294-0.00072294i,0.00014045-0.00028577i,1.0582e-05-9.8897e-05i,0.0011208-0.00012439i
-0.0001766-8.3314e-05i,0.00064691-7.3395e-05i,0.0005999-0.00020552i,7.134e-05-0.00081553i,-0.00019923-0.0010704i,-0.00038605-0.00096126i,-0.00045739-0.00074738i,0.00012597-0.00037365i,0.00026839+0.0012485i,1.8471e-05+0.0018161i,-0.00038921+0.0011412i,-0.00064799+0.00026085i,-1.4501e-05-0.00061863i,0.00054811-0.00059247i,2.2324e-05-0.00015653i,-0.00044453-0.00024245i,-0.0013461-0.00046454i,-0.0012198-0.00011805i,-0.00029926+0.00073902i,-0.00035291+0.00072155i,0.00030295-0.00028236i,0.00059272-0.00023022i,3.3555e-05+0.000558i
-0.0011366-0.00057099i,-0.002427-0.00011127i,-0.0013352+0.00084504i,0.00023501+0.00066159i,0.00043313+0.00046389i,0.00057628+0.00058672i,0.00071648+1.2167e-05i,0.00075094-0.00047628i,0.00044009-0.00023475i,0.00038847+5.3914e-05i,0.00015288-0.0002319i,-0.0004739-0.00050714i,-0.00036738-4.0358e-05i,-3.8822e-05+0.00022585i,-0.0005228-2.4605e-05i,-0.0010996-1.2682e-05i,-0.0009155+8.8738e-05i,-0.00052425-0.00031192i,-5.3689e-05-0.00057467i,2.3913e-05-0.00052131i,-0.00034085-2.6437e-06i,-0.00056057+0.00034983i,-0.00051101-0.00031388i
0.00045202-0.0008418i,6.7322e-06-5.8085e-05i,-2.9753e-05-0.00057283i,-0.00044873-0.00068587i,-0.00061074+0.00013089i,-0.00036925+0.00041819i,-0.00038575-0.00031475i,-0.00027334-0.00089463i,-0.00014172-0.00039538i,0.00018262+0.00061466i,0.00085618+0.00039024i,0.00058422-0.00014461i,-0.00023551-7.4935e-05i,-0.00034013+0.00027079i,-0.00031485+0.00025726i,-0.00041461+4.9959e-05i,-0.00030028+0.0002546i,-0.00022592+0.00017534i,4.9153e-05+0.00022999i,-0.00050945+0.00053654i,-0.00075507+0.00028407i,-0.00022966+0.00014735i,-0.00011568-1.9078e-05i
0.00066573+7.3685e-05i,0.00035049-9.2374e-05i,-0.00012069-0.0010751i,-0.00014981-0.0012874i,0.00035069-0.00042739i,0.0004229-0.00066452i,-0.00040935-0.0015831i,-0.00072017-0.0010779i,0.00010358+0.00052223i,0.00033388+0.00089905i,0.00043159+0.00024035i,0.00032735-7.7409e-06i,-0.00033939+0.00053823i,-0.00027004+0.00073954i,0.00045174+0.00078064i,-0.00012624+0.00074i,-0.00072104+0.00023779i,-0.00084767+0.00035252i,-0.00067314+0.00082606i,-0.00065153+0.00065176i,-0.00062116+0.00038251i,-3.6541e-05+0.00030188i,-5.3679e-05+0.00069546i
-0.00030327-0.0010398i,0.00014907-0.00022837i,0.00048643+0.0002394i,-6.0169e-05-0.00013927i,-0.00083735-0.00036135i,-0.0011453-0.0009545i,-0.0012378-0.001271i,-0.00047398-0.0010753i,0.0004692-0.00025361i,0.00091039+0.001532i,0.0012332+0.0018764i,0.00097446+0.00088129i,-0.00030754+0.00010284i,-0.0006079+0.00042293i,0.00016756+0.00033143i,0.00046727-0.00030955i,0.00016657-0.0005139i,-0.00018001-0.00038196i,-0.00068518+0.00026403i,-0.00083352+0.00073926i,-0.00046028+0.00096089i,5.0124e-05+0.00095726i,0.00032645+0.00044659i
-0.0016334+0.0022908i,-0.0010876+0.0022399i,-1.7466e-05+0.0024881i,0.00071012+0.002538i,4.7104e-05+0.0018287i,0.00019168+0.0002946i,0.0015822-0.00061265i,0.0016063-0.00073263i,0.00079022+2.86e-05i,-5.2734e-05+7.7512e-05i,-0.00029834-0.00061294i,0.00010247-0.0012316i,0.00028236-0.0008342i,-0.00049101-4.7625e-06i,-0.0012508+6.972e-05i,-0.0011622-0.00035351i,-0.0010483+0.00060033i,-0.00086855+0.0015169i,-0.00043549+0.00099513i,0.00029505+0.00069897i,0.00019237+0.00030708i,-4.3857e-05-0.00028349i,0.00032529-0.00034364i
-3.7155e-05+0.00037569i,0.00069077+0.0011922i,0.0006697+0.0016449i,-0.00011247+0.00045938i,0.00043019-0.0014799i,0.0013749-0.0019717i,0.0014039-0.00095412i,0.0012317+0.00037237i,0.00073684+0.00078084i,0.00035128+0.00097643i,0.00021731+0.00045107i,-0.00012456-0.00021153i,-0.00046241+0.00039617i,-0.00067031+0.0014678i,-0.0008395+0.0013295i,-0.00064899+0.00029049i,-0.00013578+4.5418e-06i,0.00031127+0.00028792i,0.00028451+0.00074326i,1.6732e-05+0.00035649i,-3.5914e-05-0.00039836i,0.00036709-3.2082e-05i,0.00034458+0.00039811i
0.00054229-0.0014028i,-0.00041535-0.00093821i,-8.4821e-05-0.00028478i,0.00038544+0.00031853i,0.00041121+0.00040829i,0.0005689+0.00072003i,4.4669e-05+0.00010976i,-0.00014791-0.00079118i,0.00054392-0.00041124i,0.00057867+0.00037256i,0.0001816+0.00069564i,0.00026138+0.0003502i,0.00073228-1.7668e-05i,0.00055255+4.9686e-05i,-0.00042786-0.00011572i,-0.00079589-0.00057614i,-0.00056635-0.00044285i,-0.00028665+0.00046221i,-0.00012145+0.00065116i,-0.00023028+0.00019222i,-0.0003714-7.7995e-05i,0.00041244-0.00040717i,0.00069998-0.00023932i
9.3751e-05-0.0018378i,-0.00047505-0.0019326i,-0.00013148-0.0026673i,0.00036917-0.003065i,0.0001616-0.0016169i,4.4645e-05+7.1387e-05i,5.8754e-06-1.0835e-05i,-0.00054743-6.0757e-05i,-0.00097909-0.00041291i,-0.00034394-0.0009214i,0.00012428-0.00078719i,5.435e-05-0.00049245i,0.00034056-0.00011436i,0.00036094+0.00077928i,3.2031e-05+0.0018553i,-0.00038735+0.001543i,-0.00061688+0.00039551i,-0.00018896-0.0001185i,0.0006839-6.9886e-05i,0.000607+5.7814e-05i,-0.00018926-0.00029628i,-0.00068281-0.00056091i,-9.0514e-05-0.0003465i
-0.0015372+0.00099406i,-0.001407+0.00085511i,-0.0028187+0.0018106i,-0.0019737+0.0016852i,0.00032235+0.0010395i,1.4684e-05+0.00026911i,-0.00094681-0.00063466i,-0.0010944-0.0010235i,-7.5203e-05-0.0003956i,0.0011085+0.00042219i,0.00099851+0.00032517i,0.00079766+9.7418e-05i,0.00053845-0.00037451i,0.00087067-0.00083791i,0.0010839-0.00025688i,-0.00013025+8.7833e-05i,-0.00053164+6.3343e-05i,0.00027495-0.00015431i,0.00044862-0.00013735i,1.5046e-05+0.0002406i,0.00032862+4.688e-05i,0.00015341+5.1507e-05i,-0.00032866+0.00032058i
0.0011063-0.0003695i,0.0018985-0.00014935i,0.0013776-4.1995e-05i,0.00083931-0.00024241i,0.00064611-0.000287i,0.00049286-0.0010323i,6.4217e-05-0.0016937i,-0.00056587-0.0013619i,-0.00020615-2.296e-05i,0.00014318+0.00077234i,-0.00011405+0.00058258i,-0.00030191-0.00016101i,-9.727e-06-0.00038388i,-2.0858e-05+0.00033236i,-0.00045345+0.00062952i,-0.00092629+0.00053045i,-0.00041725+2.5812e-05i,2.4116e-05-0.00064908i,8.5324e-05-0.00065604i,0.00039163-0.00044698i,0.00021349-0.00069328i,0.00044535-0.0002177i,0.00040747+0.00042706i
-1.1768e-05+5.0309e-05i,-0.00038612-0.00090793i,-0.00022044-0.00014441i,-0.00023661+0.0011578i,-0.00058245+0.0011722i,-0.00037855-0.00072892i,2.4718e-06-0.0014314i,-0.00035964-0.0001115i,-0.00065316+0.00070857i,-8.5802e-05+0.00094806i,0.00010143+0.0011478i,1.9718e-05+0.00082252i,-0.00014716+0.00071919i,-0.00013951+0.00021563i,-0.00019956-0.00033908i,-0.00069106+0.00030873i,-0.00073687+0.00032401i,-0.00071153-0.00082936i,-0.0002528-0.00092226i,7.8843e-05-0.00068075i,1.5991e-05-0.00090094i,-2.9049e-06-0.00052267i,-0.00014099-0.00036449i
0.00089723+0.00069917i,0.00099853-0.00070945i,0.00053432+8.9617e-05i,0.0011265-0.00038466i,0.0014365-0.00062207i,0.00074019+0.00061694i,1.4293e-05+7.9644e-05i,3.852e-05-0.00060518i,0.00024938+6.9763e-05i,0.00032162+0.0007124i,0.00052227+0.00070886i,0.00050876+0.00019271i,-0.00070953+0.00054014i,-0.001312+0.0011477i,-0.00013815+0.00091783i,0.00013807+0.0011134i,-0.00025829+0.0016454i,-0.00038068+0.0011628i,-0.00019561+3.5292e-05i,-0.00045145-0.00031279i,-0.0012528-0.00033597i,-0.00061286-0.00047132i,0.00055328-0.00055472i
0.0020595+0.0015449i,0.0025019+0.0018342i,0.0024315+0.00098959i,0.0016873-0.00197i,0.00072738-0.003529i,-0.00013668-0.0030876i,-4.9709e-05-0.0020275i,-0.00013584-0.00044727i,-8.4272e-05+0.00029511i,0.00079871+0.00032961i,0.00094922+0.00093197i,-7.9005e-07+0.0012212i,-0.00060723+0.00049799i,-0.00034398+0.00071866i,-0.00082318+0.0015738i,-0.0013174+0.00058698i,-0.00095273-0.00056059i,-0.00054308-0.00026037i,-0.00073785+0.00046453i,-0.00073375+0.00069781i,-0.00068673+7.4425e-05i,-0.00023261-0.0006077i,0.00072051+0.00021169i
0.0015364+0.00052329i,0.00093506-0.00043951i,0.00086194-0.0013939i,-0.00023563-0.0029535i,-0.00046371-0.0038579i,-0.00040794-0.0030072i,-0.00055635-0.0022589i,4.772e-05-0.0020467i,0.00037285-0.0014091i,0.00076638-0.0010094i,0.00064263-0.00098276i,0.00018577-0.00046357i,-5.4771e-05+0.00021833i,0.00030375+0.00038251i,0.0010169+0.00036517i,0.00088558+0.00043758i,0.00034914+0.0012101i,-0.00028963+0.0011741i,-3.0672e-05+0.00034836i,0.00020437-3.2943e-05i,0.00010457-0.00051593i,0.001003-0.0007373i,0.00070743-0.00057218i
-0.00099763-0.0008415i,-0.00098728-0.0015032i,-0.0013361-0.001964i,-0.0017412-0.0011574i,-0.0012874-0.00038157i,-0.00041209+0.00017233i,0.00033337+0.0007549i,0.00053462+0.00070817i,0.00012596+0.00042206i,0.00056813+0.00049822i,0.0015088+0.00084958i,0.001188+0.0010123i,-0.0001209+0.0013735i,-0.00098599+0.0013445i,-0.00035867+0.00099055i,-0.00048351+0.00067673i,-0.00087716+0.00019398i,-0.00048459+0.00045595i,-0.00082852+0.00059589i,-0.001289+0.0003416i,-0.00063395+0.00049722i,0.00069629+0.00080357i,0.00026777+0.00020855i
5.3423e-05+0.0011137i,0.00058898+0.001285i,0.00061437+0.0013436i,0.001168+0.00096172i,0.0012208+0.00057601i,0.00058873-0.00038237i,0.00019633-0.00085315i,-4.5422e-05-0.0012237i,-0.00013685-0.00088066i,-0.00022961+6.1106e-05i,-0.00014442-0.00045731i,-9.0456e-05-0.00073207i,8.8713e-05+0.00039379i,0.00012353+0.00080757i,1.9876e-05+0.00032127i,-0.00011093+8.384e-05i,-0.00023798+7.2942e-05i,2.9199e-05+0.00031991i,0.00021275+3.7961e-05i,-4.6649e-05-0.00077224i,-0.00016048-0.00077699i,-0.00017102+0.00018532i,-0.000237+0.00056134i
0.0027755+0.0015825i,0.0026423+0.00090766i,0.002272-0.00070175i,0.0016213-0.0019744i,0.00051781-0.0021031i,0.00030663-0.0011748i,0.00074066-0.00040735i,0.0006112-0.00014891i,0.000202+0.00037109i,0.000336+0.0007678i,0.00078154+0.00038053i,-0.00030717+0.00061585i,-0.0016369+0.0014851i,-0.0013554+0.0015789i,-0.00018592+0.00074402i,0.00065328+0.001009i,0.00032621+0.00090768i,-0.00015006+0.00050566i,-0.00015686+0.00098932i,0.00053949+0.00070799i,0.00090352-0.00019064i,0.0010336-0.00037737i,0.00043572-4.9998e-05i
0.00043955+0.0019259i,0.0013662-0.00020849i,0.0027264-0.0011806i,0.0027593-0.0013371i,0.0013454-0.0014295i,-0.00039184-0.0024237i,-0.0010565-0.0033678i,-0.0013442-0.0024143i,-0.0010118-0.00092157i,0.00046073+0.0001655i,0.00083121+0.0003788i,-0.00021456-0.00047063i,-0.00066313-0.00048744i,-3.8307e-05-0.00010054i,0.00023866+0.00068729i,6.6734e-05+0.0012609i,0.00027596+0.001046i,0.00063966+1.6353e-05i,0.00085753-0.00036588i,0.00035827-9.4484e-05i,-0.00028493-0.00021831i,6.3737e-05+0.00011452i,-0.00016546-9.8107e-05i
-0.0026659-0.0012382i,-0.0028998-1.5412e-05i,-0.0033901+0.00059533i,-0.0032868+0.00066524i,-0.0020881+0.0009365i,-7.8206e-05+0.0010404i,0.00045693+0.00046287i,0.00012817-0.000175i,-0.00017911+0.00024384i,-0.00089973+0.00052327i,-0.00056841-8.564e-05i,0.00056354-0.00023388i,0.000886+8.3576e-05i,0.00068694-0.00072429i,0.0008239-0.0010645i,0.00073839-0.00019813i,-0.00019766+5.0175e-05i,-0.00017495+0.00074727i,0.000618+0.001038i,0.00064298+0.00095512i,-7.5463e-05+0.00075868i,-0.00086121+0.00040458i,-0.00034137+0.00062308i
-0.00066659+0.00048791i,-5.7947e-05-0.00037364i,6.5e-05-0.000179i,-0.0001514-0.00013466i,-6.5908e-05-0.00033288i,-4.2627e-05-0.00040656i,0.00050218-0.0013265i,0.0010851-0.0017389i,0.0011395-0.00076588i,0.0010896+4.9685e-05i,0.00046296-0.00017995i,0.00019413-8.087e-05i,0.00048401+9.7152e-05i,0.00035244+0.00041304i,-0.000179+0.00024999i,1.5202e-05-9.9544e-05i,0.00046328+0.00030658i,0.00074238+0.00031267i,4.0319e-05-0.0001669i,-0.00097996-0.00070945i,-0.00051216-0.00082319i,-1.6711e-05-0.00057904i,0.00043268-0.00049693i
-0.0019795+0.00044192i,-0.0017846+0.0016698i,-0.00070474+0.0026739i,-0.00021095+0.0021042i,-0.0010603+0.0014942i,-0.00037716-0.00031338i,0.00092411-0.00094313i,0.00049427-0.00053144i,-0.0002248-0.00036654i,0.00058518+0.00040532i,0.0014778+0.00030698i,0.00085624-0.00035263i,8.159e-05+0.00060454i,-1.141e-05+0.00060259i,0.00018967-0.00031428i,6.7458e-06+8.7838e-05i,0.0001093+0.00041908i,-2.1741e-05-2.0065e-06i,-0.00033836+0.00011235i,-0.00050992+0.0003033i,-0.0010941+0.00062121i,-0.0007603+0.0010459i,0.00044157+0.00078081i
0.00078219-2.5533e-05i,-0.00017444-0.00069116i,-0.0011437-0.0014726i,-0.0014696-0.0015364i,-0.00039348-0.0014002i,0.0002429-0.0014109i,0.0002352-0.0011188i,0.00014264+3.9756e-06i,-4.2275e-06+0.0012323i,0.00068715+0.0013565i,0.00099398+0.00086609i,0.00031569+0.00025774i,-0.00012544-0.00052252i,0.00033102-0.00058389i,0.00065349+0.00038251i,-6.844e-05+0.00051061i,-0.00034184+4.9916e-05i,-0.00043715+0.00030915i,-0.00022697+0.00020651i,0.00019924+0.00029152i,-0.00035493+0.00033804i,0.00010099+0.000159i,0.00072177-0.0002755i
-0.0018418-0.0012477i,-0.0021878-0.0012761i,-0.0025078-0.00098112i,-0.002285-0.00024244i,-0.0018741+0.00044392i,-0.00093352+0.00056523i,-0.0002859+0.0004116i,-0.0005275+0.0002i,-0.00021187+0.00051304i,2.3167e-05+0.0013945i,0.00033557+0.0010516i,-0.00017844+0.00025215i,-0.0009584-0.00036034i,-0.00060457-0.0011111i,0.00025523-0.0010112i,0.00026214-0.00065259i,5.0633e-05-0.00028899i,0.00010148+0.00040908i,-3.6383e-05+0.00074757i,-9.8851e-05+0.00025381i,-0.00052542-0.00054158i,-0.00027524-0.00054374i,0.000297-0.0002814i
