-0.0016858-0.0015898i,-0.0008725-0.0014153i,-0.00076592-0.0014235i,-0.00047998-0.0016679i,-0.00081926-0.00161i,-0.0013279-0.0012021i,-0.0014618-0.00045239i,-0.0010326+0.00032624i,-0.00027907+7.6246e-05i,0.00057473+0.00039312i,0.00083025+0.00030399i,0.00078816-0.0005576i,0.00066987-0.0011213i,0.00071819-0.0015667i,0.0004996-0.0011573i,-0.00041889-0.0012406i,-0.00064506-0.0012812i,-0.00098308-0.0008607i,-0.00080556-0.00068604i,0.00012174-0.00085041i,0.0013525-0.0003265i,0.0014091+0.00050376i,0.00063959+0.00096422i
0.00068086+0.00094881i,0.00056965+0.00036596i,0.0013042+5.5442e-05i,0.0022401-0.0012875i,0.0023094-0.0018761i,0.0006936-0.0023378i,-0.00079294-0.0031736i,-0.0010188-0.0020318i,-9.8602e-05-0.00012475i,0.00082958-1.9743e-05i,0.00086337-0.00071002i,0.00063845-0.00011369i,3.5867e-05+0.00017004i,-4.4762e-05-0.000414i,0.00050444-0.00041655i,0.00045975+6.2521e-05i,0.00012681-6.1955e-05i,6.9472e-05-0.00036071i,0.00063978+0.00011562i,0.00025409+0.00064028i,9.008e-05+0.00050077i,0.00045439+0.00067983i,0.00033797+0.00078813i
0.00032942+0.00026443i,0.0011027+0.00016801i,0.0017328-0.00067635i,0.0013718-0.0016651i,0.0011514-0.0018398i,0.000905-0.0022553i,0.0006713-0.0022931i,0.0010239-0.0019211i,0.0013891-0.0010279i,0.00094874-0.00030004i,0.00034923-0.00088101i,0.00041036-0.001346i,-0.00012724-0.00058755i,0.00021614+0.00027963i,0.00036415-0.00027452i,-0.00016633-0.0010993i,-7.1792e-05-0.00054636i,0.00038269+0.00017489i,0.00027813+0.0001741i,0.0002147-0.00027734i,0.00032124-0.00018967i,-0.00035386+0.00049941i,-0.00097823+5.3361e-05i
4.1037e-05+0.0004618i,0.0007795+0.00033325i,0.0017448+0.0010171i,0.0028054-6.0234e-05i,0.0024195-0.0012584i,0.00021474-0.0016981i,-0.00026582-0.0014046i,0.00017675-0.00070196i,0.00085549-8.5149e-05i,0.0011905+0.0006852i,0.0015415+0.00029344i,0.0020297+5.0252e-05i,0.0013443+0.00052482i,0.00097357+0.00020067i,0.0010837+5.3504e-05i,-9.1633e-05+0.00055187i,-0.0012541+0.00039125i,-0.0012868-0.00028993i,-0.00040368-0.00034586i,-0.00014698+0.00032306i,-1.0252e-05+0.00022981i,0.00050689+0.0001137i,0.00050513+0.00014618i
-0.0022713+0.00011317i,-0.0021121-8.4465e-05i,-0.0021327+4.8354e-05i,-0.0014151-0.00021265i,-0.00016171-0.00083282i,0.00069467-0.001541i,0.0013754-0.0016972i,0.0013256-0.0013647i,0.00040354-0.00098116i,0.00023741-0.00065153i,6.0588e-05+0.00011363i,-0.00017407+0.00076268i,-0.0003309-0.00065573i,-0.00036035-0.0018669i,-0.00060074-0.0010701i,-0.00078021-0.00067306i,-0.00043697-0.00078586i,-0.00082415-0.00026805i,-0.001572-5.5012e-05i,-0.0011065-0.0003058i,-0.00045504-0.00035153i,-0.00051486-0.00023644i,-0.00047681-0.00048756i
0.0013143-0.0019719i,0.0013474-0.0010337i,0.0018186-0.00099822i,0.001353-0.0016925i,0.00087486-0.0017774i,0.00046179-0.0015784i,0.00035829-0.00085551i,0.00014461-0.00052388i,8.1806e-05-0.0005404i,0.00033159-0.00022238i,-7.3884e-05+4.644e-05i,-0.00051223+0.00020865i,-7.9073e-05+0.00075052i,0.00031286+0.00041655i,0.00046087-0.0003794i,0.00035805-0.00097542i,-0.0001992-0.0011302i,0.00015646-0.0010146i,0.00065881-0.00090724i,0.00059575-0.00039779i,-4.3599e-05+8.1467e-05i,-0.00096922-8.4067e-05i,-0.00066911-0.00049722i
-0.00043533+0.00079294i,0.00088887+0.00072324i,0.00022432+0.00098055i,0.00035534+0.0010368i,0.0019178+8.6034e-05i,0.0022261-0.0016559i,0.0013721-0.002606i,0.00071223-0.0013598i,0.00019043-0.00043641i,0.0005342-0.00022015i,0.00096927+0.00011387i,0.00073594+6.0404e-05i,0.00051095-0.00048096i,0.00086846-0.00029862i,0.00086264-5.8667e-05i,0.00055113-0.0005696i,0.00020032-0.00024283i,6.5909e-05+0.00027691i,3.9453e-05+0.0002353i,0.00057984-0.00021603i,0.00025339-0.00051063i,-0.00069911+0.00029263i,-0.00038365+0.00068181i
0.0014067-0.00066088i,0.0018054-0.0011542i,0.0016654-0.0009003i,0.00077503-0.00081951i,0.00040378-0.0010622i,0.00012144-0.0012504i,0.00050218-0.0011681i,0.00089112-0.00060256i,0.00048931+0.00058649i,0.00097776+0.00077918i,0.0009997+0.00051395i,0.00051395-0.00014818i,0.0011741-0.00059567i,0.0014403-0.00038907i,0.0002363-0.00034421i,-0.00018333+0.00013507i,0.00064563+0.00082793i,0.00060861+0.00082226i,3.4063e-05-2.5102e-05i,-0.00056961-0.00044355i,-0.00040893+0.00017498i,0.00041177+0.00059407i,0.00090082+0.00057837i
0.00044136+2.6417e-05i,0.00023688-0.0010187i,0.00040534-0.0018662i,0.00058904-0.001355i,0.00032535-0.00080228i,0.00020624-0.0012844i,-7.7051e-05-0.0017412i,2.7717e-05-0.0011337i,0.00031331-0.00045116i,0.0011513-0.00097335i,0.0011267-0.0011208i,0.00025233-0.00021846i,-7.215e-05+0.00042209i,9.7836e-05+0.00049143i,0.0005114-0.00056931i,0.00066106-0.001145i,0.00070882-0.00087273i,0.00031282-0.0004706i,9.5777e-05+0.00049136i,-1.6659e-05+0.0010431i,-0.00046046+0.00054536i,-0.00067555-2.7144e-05i,-0.00043374-0.00015747i
0.00031553-0.00076741i,0.00063016-6.0913e-05i,0.00011018+0.00076194i,0.00031713+0.00058986i,0.0012756+0.00037485i,0.00078697-4.3547e-06i,0.0005023-0.00032826i,0.00062824-0.00036273i,0.00048655+0.00050625i,0.00086427+0.0010887i,0.0018293+0.00085936i,0.0010549+0.0001584i,0.00058541-0.00062343i,0.00077544-0.00081527i,0.00034091-0.00070518i,0.00018716-0.00072199i,0.00055222-0.0003598i,0.00076756+0.00050272i,0.00055978+0.00053513i,0.00032987+0.00029054i,0.00073018+0.00018743i,0.00078765+0.00046654i,0.00011797+0.00067093i
-0.0005512+0.00069167i,-0.00083791+0.00012036i,-0.0020286+3.688e-05i,-0.0016902+0.00047509i,7.4711e-05+0.00016556i,0.0011266-0.0011916i,0.0012993-0.0022167i,0.0010668-0.001993i,0.00046963-0.0011569i,0.00047019-0.00029937i,1.6783e-05+0.00010399i,-0.00044709-0.00047647i,0.0001866-0.00067832i,0.00032734-0.00069046i,-0.00015317-0.001023i,-0.00020449-0.000941i,-0.00023426+8.1706e-05i,-0.00029008+0.00071738i,-0.00018698+3.0733e-07i,0.00027251-0.00073235i,0.00046579-0.00020156i,5.5169e-05-6.089e-05i,0.00021456-0.00025179i
0.0006729-0.0009358i,-6.1664e-05-0.00098958i,-0.00046666-0.00053631i,0.00094508-0.00083408i,0.0017619-0.0012467i,0.0013165-0.0011167i,0.001497-0.0013158i,0.0015528-0.001072i,0.00093233-0.00048046i,0.0011204+1.5291e-05i,0.00089525+0.00013289i,-5.1953e-05+0.0005162i,-0.00046959+0.00088928i,-0.00055368+0.00060977i,0.00010261-0.0003219i,0.00029353-0.00058398i,-9.2255e-05-0.00033728i,0.0002005-0.00067854i,0.00052613-0.001019i,9.753e-05-0.00076091i,0.00013338-0.00064081i,0.0001398-0.0010339i,-9.5541e-05-0.00062017i
-0.00089748+0.00070154i,-0.00087293+0.00036544i,0.00041815+0.0015505i,0.00031491+0.0012614i,-0.00019365-0.00046757i,-3.444e-06-0.0013112i,-9.4932e-05-0.0010686i,-0.00067537-0.00016207i,-7.3029e-05+0.0010089i,0.00051243+0.0010922i,0.00035965-9.2298e-05i,0.00039462-0.00066222i,-5.0824e-05-0.0003003i,-0.0010732+0.00031829i,-0.0010863-0.00052195i,-0.00072539-0.00099783i,-0.00026726-0.0002045i,0.00023928-1.9944e-05i,0.00012865-0.00044588i,-0.00021575-0.00031781i,-0.00063277-0.00040071i,-0.00047999-0.00058773i,0.00012371-0.0004149i
-0.00086621-0.00015357i,-0.0016244+0.00058033i,-0.0012157+0.00063942i,-6.4832e-05+0.00063274i,0.0012614-4.7267e-05i,0.0016041-0.0012386i,0.0011031-0.00099555i,0.0002816-0.00047373i,0.00019026-0.00054291i,0.00039965-0.00012282i,0.00032033+0.0006662i,-0.00048871+0.0005141i,-0.00087511-0.00059829i,-0.00014434-0.0011892i,-0.00012987-0.00094671i,-0.00016881+7.908e-05i,0.00047548+0.00045841i,0.00061041-3.2757e-05i,-4.5173e-05-0.00032662i,-0.00094931-0.00021425i,-0.000736-0.00024003i,2.7122e-05-0.00046405i,0.00080903-0.00049768i
-0.0009752-0.00056461i,-6.9854e-05-0.00010139i,4.0733e-05-0.00037693i,-0.00090554-0.00039558i,-0.00013766-0.00065167i,0.0011143-0.0013506i,0.00099508-0.0018683i,0.00043507-0.0022273i,0.00066018-0.001509i,0.0010466-0.00059941i,0.0012034+0.00014849i,0.0011209+0.00053423i,0.001004+0.00019067i,0.0001542-0.00021186i,-0.00043443-0.00058327i,-0.00039126-0.00055947i,-0.00099686-0.00013542i,-0.001437-0.00033405i,-0.0011438-0.00023816i,-0.00084809+8.1626e-05i,-0.00031461-0.00022575i,-0.00039887-0.00018079i,-0.0012214+0.00012244i
-0.00054086-0.00028987i,-0.0025979+9.5624e-05i,-0.0017972+0.00090439i,3.9107e-05+0.00085539i,0.00022935-0.0010342i,-0.00029405-0.0020661i,-0.00047538-0.0021519i,-8.8075e-05-0.0019176i,0.00085538-0.0010667i,0.001207-0.00047847i,0.00048619-0.00047903i,-0.00035439-0.00087154i,-0.00018014-0.00051266i,-4.18e-05+4.2392e-05i,-0.00060414-0.00017605i,-0.0010448-0.00067411i,-0.00051222-0.00088183i,-0.00025736-0.00083171i,0.00060364+0.00016895i,0.00085866+0.0010451i,0.0002438+0.00074506i,0.00014082-0.0002619i,0.00032815-0.00075204i
-0.00027117-0.00022618i,0.00018635-0.00074199i,0.00048102-0.00027258i,0.000995-4.3233e-05i,0.00050661-0.00055656i,0.00024721-0.0015795i,-0.00014761-0.0017767i,-0.00054838-0.0010555i,-0.00047461-1.7601e-05i,-0.00054883+0.00066146i,0.00024015+0.00050024i,0.00057415+9.0608e-06i,0.0002233-0.000325i,0.00059818-0.00054006i,0.00080694-0.00027334i,0.00031735-5.2018e-05i,-0.00020923+0.00010575i,1.0248e-05-0.00038148i,0.00034014-0.0016503i,-9.248e-05-0.0017309i,-0.00037242-0.00086272i,-0.00015195-0.00037219i,-0.00010748+0.00021397i
0.00043582-0.00021272i,0.00022113-0.00014246i,0.00077985-0.00021808i,0.00043888-0.00069028i,0.00016233-0.0014457i,0.0011772-0.0010153i,0.0011821-0.0011905i,0.001352-0.0015978i,0.0015427-0.0011007i,0.0010251-0.0004776i,0.00054075-2.7308e-05i,0.00095391-0.00020362i,0.0013948-0.0003456i,0.00074645-0.00032556i,-0.00032427-0.00081947i,-0.0005872-0.00081441i,-0.00058423-0.00054603i,-0.00084332-0.00097232i,-0.00086791-0.0008365i,-0.0002532-0.00030032i,1.3049e-05-0.00037209i,-0.00019651+3.2775e-05i,-0.00037107+0.00063206i
-0.00025442-0.0014832i,-0.0012529-0.0011242i,-0.0022847+0.0001715i,-0.00083552+0.0010269i,0.00055976+0.00099143i,0.0011222-0.00063874i,0.000733-0.0019325i,0.00025908-0.001635i,6.6277e-05-0.00087389i,0.00041274-0.00031484i,0.00095167-0.0006214i,0.0010521-0.00083419i,0.0012933-0.00090547i,0.0014206-0.0010321i,0.00083416-0.00070486i,0.00056335-0.00082877i,0.00082253-0.00061811i,0.00027148+1.8878e-05i,7.0186e-06-2.294e-05i,0.0002473-0.0005205i,-0.00053996-0.00054011i,-0.000442-1.1365e-05i,0.00024577+0.00014636i
0.0019893-0.00050117i,0.0023264+0.00054793i,0.0015583+0.00030784i,0.00060537-0.0014895i,-0.00029352-0.0015641i,-0.00059019-0.00050025i,0.00051844-0.0011749i,0.0011152-0.0013162i,0.00069095-0.00057277i,0.00049934-4.454e-05i,0.00052207+6.4593e-05i,0.00020039-1.0618e-05i,0.00035036-0.00023918i,0.0003067-0.00015888i,0.00067499-0.00033227i,0.0010379-0.00058287i,0.00058783-0.00018401i,0.00054092+0.00054866i,0.00087144+0.00015307i,0.00035105-7.8902e-05i,-0.00064152+0.0009666i,-0.00047724+0.0013218i,0.00015494+0.00053786i
-0.00078078-0.00064486i,-0.00020702-0.0007087i,0.00083395-0.0014143i,0.00081917-0.0019699i,0.00053213-0.0022859i,0.00052999-0.0024285i,0.00045405-0.0021415i,-9.9765e-06-0.0018745i,-0.00017741-0.0010672i,0.00040595-0.00014258i,0.0004383+0.00072405i,-0.00017625+0.00089688i,-0.0010675+0.00049441i,-0.00077994-0.00045838i,0.00014153-0.001086i,0.00044751-0.0010844i,0.0004368-0.0007544i,-0.00054065-0.00021528i,-0.00080251-0.00014148i,6.1374e-05-0.00021485i,0.0005124-0.00026859i,0.00035242-0.00014803i,-0.00026594+0.0004995i
0.0010442-0.00029154i,0.00024871-0.00040728i,0.00060929-0.00095947i,0.00049018-0.0021691i,-0.00011464-0.002546i,-0.00027227-0.0023196i,-0.00048578-0.0022313i,-2.3327e-05-0.0015443i,0.0008008+0.00022508i,0.00014274+0.0012366i,-0.00058711+0.0013735i,0.00030218+0.00055331i,0.00060183-0.00013809i,0.00030492+7.0242e-05i,-0.0003261+0.00020949i,-0.00068852-0.00012171i,0.00031432-0.00061762i,0.00099339-0.00096603i,0.00054126-0.00054919i,-0.0001044-0.00034222i,-0.00099298-0.00051813i,-0.00010269-0.0008293i,0.00069555-0.00062245i
0.00019604-0.0013155i,-0.00039719-0.0018545i,-0.00073923-0.0029603i,-0.00071195-0.0021784i,-0.0013456-0.00078553i,-0.0014607-0.00047857i,7.0212e-05-0.00069138i,0.00075255-0.00011871i,0.00042532+0.00038429i,-0.00032626-0.00035651i,-0.00075938-0.00044481i,-0.0006284+0.0005124i,0.00035621+0.00081853i,0.00072861-7.7029e-06i,-5.7571e-05-0.00043564i,-0.00056187-0.00029955i,-0.00031934-5.7284e-05i,3.1264e-05-0.00064496i,0.00026956-0.00076776i,8.8217e-05+0.00029449i,-0.00019248+0.00041563i,-0.00050984+0.00024842i,-0.00043442+0.00054399i
-0.00329+0.00065142i,-0.0024176+0.0013642i,-0.0010533+0.0017013i,0.00016774+0.0019212i,0.00097224+0.0010133i,0.0014516-0.0010608i,0.00070536-0.0014981i,-2.9309e-06-0.0010111i,0.00032995+8.6514e-06i,0.00047844+0.0011084i,0.00058469+0.00069946i,0.00044737-0.00048958i,-0.00022737-0.00017929i,-0.00072559-0.00010176i,8.9471e-05-0.00041876i,0.00078171-0.00071669i,0.00045559-0.00060316i,0.00012865+0.00010723i,0.00025897+0.00017388i,-0.00011131-0.00011903i,-0.00039676-0.00031418i,-0.0003623+1.6276e-05i,-0.00077633+0.00025691i
-3.0432e-05-0.00064276i,-0.00040804-0.0011808i,0.00030099-0.00080094i,0.00081392-0.00010065i,-0.00021571+2.5182e-05i,0.00023295-0.00053543i,0.0011074-0.0014401i,0.00090589-0.0021376i,0.0005083-0.0019238i,0.00016875-0.001159i,0.00026497-0.00090735i,0.00060676-0.00024971i,0.00068046+0.00017168i,0.00093351-0.00027658i,0.00087649-0.00053279i,0.00019302-0.00027741i,-0.00067043+0.0005818i,-0.00056756+0.0011694i,0.00054395+0.00080949i,0.00062702+0.00023994i,0.00050449-0.00035925i,0.00080227-0.00030181i,0.00068971+6.6894e-05i
-0.0010005+0.00022082i,-0.00068165+0.0005853i,0.00032458+0.00032416i,0.00077844-6.7323e-05i,0.0010672-0.0010247i,0.0012433-0.0021521i,0.0010589-0.0016391i,0.00073638-0.00090087i,0.00088829-0.00054729i,0.00056546+0.00020458i,-1.0109e-05+0.00011722i,0.00041136+3.1897e-05i,0.00061873+0.0008904i,-2.7282e-05+0.00072032i,-0.0001599-0.00012631i,-8.8884e-05-0.00011823i,-0.00027606-0.0001379i,-0.00050735-0.00041002i,-2.9996e-06-0.00010407i,0.00011876+0.00036241i,0.00023016+0.00039338i,0.00047954-0.00012302i,0.00045333-0.00041567i
-0.0010819+0.00029887i,-0.0013674+0.001287i,-0.0016686+0.0022178i,-0.0004839+0.0012683i,0.0012188-0.00012221i,0.0016881-0.00062096i,0.0011254-0.00085219i,0.00032589-0.00090523i,-0.00050273-0.00039244i,-0.00024536+0.00053949i,0.00014829+0.00066924i,0.00043743+0.00010439i,0.0011493-0.00015372i,0.0010996-0.00043948i,0.00027759-3.3068e-05i,0.00024645-0.00025938i,-4.2085e-05-0.00052923i,-0.00076143-0.00041003i,6.7793e-05-0.00054006i,0.00085966-0.00034349i,0.00014046-0.00062974i,-1.5186e-05-0.00088256i,-0.0003397-0.00089839i
-0.00044892+0.00050012i,0.00090184+0.0019677i,0.0010791+0.0029199i,0.00078299+0.0013742i,0.0011893+0.00021243i,0.0019735-2.7924e-05i,0.0012844-0.00043965i,0.00037898-0.0011613i,0.00061294-0.00086176i,0.00057988+0.00039839i,0.00058127+0.00050992i,0.00099662+0.00052064i,0.00062075+0.00059704i,0.00071142-0.00095727i,0.0001659-0.0016652i,-0.00074737-0.0010995i,-0.00040915-0.00067798i,-0.00017171-0.00045972i,0.00017731-0.00012448i,0.00040156-0.00013371i,0.00064332+0.00012186i,-0.00011668+0.00038212i,-0.00071039+0.00039123i
